Orthogroup	Homo_sapiens	Fukomys_damarensis
OG0000206	sp|P25090|FPR2_HUMAN, sp|P25089|FPR3_HUMAN	tr|A0A091ELQ8|A0A091ELQ8_FUKDA, tr|A0A091DWL0|A0A091DWL0_FUKDA, tr|A0A091ELQ3|A0A091ELQ3_FUKDA, tr|A0A091E1D9|A0A091E1D9_FUKDA, tr|A0A091DZJ8|A0A091DZJ8_FUKDA
OG0000206	sp|P21462|FPR1_HUMAN	tr|A0A091E1T6|A0A091E1T6_FUKDA
OG0000207	sp|Q9NT68|TEN2_HUMAN	tr|A0A091EFK8|A0A091EFK8_FUKDA
OG0000207	sp|Q9P273|TEN3_HUMAN	tr|A0A091DTK0|A0A091DTK0_FUKDA
OG0000207	sp|Q9UKZ4|TEN1_HUMAN	tr|A0A091CRS3|A0A091CRS3_FUKDA
OG0000207	sp|Q6N022|TEN4_HUMAN	tr|A0A091DE90|A0A091DE90_FUKDA, tr|A0A091D3L8|A0A091D3L8_FUKDA
OG0000209	sp|Q14562|DHX8_HUMAN	tr|A0A091D1X3|A0A091D1X3_FUKDA, tr|A0A091E6V8|A0A091E6V8_FUKDA, tr|A0A091CN73|A0A091CN73_FUKDA, tr|A0A091D7F6|A0A091D7F6_FUKDA, tr|A0A091DXQ1|A0A091DXQ1_FUKDA, tr|A0A091D756|A0A091D756_FUKDA, tr|A0A091EHY0|A0A091EHY0_FUKDA, tr|A0A091CZM1|A0A091CZM1_FUKDA
OG0000210	sp|Q14833|GRM4_HUMAN	tr|A0A091CUD5|A0A091CUD5_FUKDA
OG0000210	sp|Q14831|GRM7_HUMAN, sp|O00222|GRM8_HUMAN	tr|A0A091E2L8|A0A091E2L8_FUKDA
OG0000210	sp|O15303|GRM6_HUMAN, sp|Q14832|GRM3_HUMAN, sp|Q14416|GRM2_HUMAN	tr|A0A091DKN4|A0A091DKN4_FUKDA
OG0000211	sp|Q09028|RBBP4_HUMAN	tr|A0A091EG53|A0A091EG53_FUKDA
OG0000211	sp|Q6X9E4|FBW12_HUMAN, sp|Q13610|PWP1_HUMAN	tr|A0A091D2L8|A0A091D2L8_FUKDA
OG0000211	sp|Q16576|RBBP7_HUMAN	tr|A0A091CSD5|A0A091CSD5_FUKDA
OG0000212	sp|P13765|DOB_HUMAN, sp|P01920|DQB1_HUMAN, sp|P05538|DQB2_HUMAN, sp|P04440|DPB1_HUMAN, sp|P13762|DRB4_HUMAN, sp|Q30154|DRB5_HUMAN, sp|P01911|DRB1_HUMAN, sp|P79483|DRB3_HUMAN	tr|A0A091CXW4|A0A091CXW4_FUKDA
OG0000213	sp|P35579|MYH9_HUMAN	tr|A0A091E240|A0A091E240_FUKDA
OG0000213	sp|P35749|MYH11_HUMAN	tr|A0A091CS53|A0A091CS53_FUKDA
OG0000213	sp|P35580|MYH10_HUMAN	tr|A0A091D7Q4|A0A091D7Q4_FUKDA
OG0000213	sp|Q7Z406|MYH14_HUMAN	tr|A0A091DTV7|A0A091DTV7_FUKDA, tr|A0A091D7H1|A0A091D7H1_FUKDA
OG0000214	sp|P00995|ISK1_HUMAN, sp|O60575|ISK4_HUMAN, sp|P20155|ISK2_HUMAN, sp|P58062|ISK7_HUMAN, sp|Q6IE38|ISK14_HUMAN, sp|Q5DT21|ISK9_HUMAN, sp|Q1W4C9|ISK13_HUMAN, sp|Q6UWN8|ISK6_HUMAN	tr|A0A091DNB8|A0A091DNB8_FUKDA
OG0000215	sp|A8MTY7|KRA97_HUMAN, tr|A0A140TA67|A0A140TA67_HUMAN, sp|Q9BYQ4|KRA92_HUMAN, sp|A8MVA2|KRA96_HUMAN, sp|Q9BYP9|KRA99_HUMAN, sp|Q9BYQ2|KRA94_HUMAN, sp|Q9BYQ0|KRA98_HUMAN, sp|Q9BYQ3|KRA93_HUMAN	tr|A0A091D8Q3|A0A091D8Q3_FUKDA
OG0000216	sp|Q08043|ACTN3_HUMAN	tr|A0A091DDL9|A0A091DDL9_FUKDA
OG0000216	sp|P12814|ACTN1_HUMAN	tr|A0A091D150|A0A091D150_FUKDA
OG0000216	sp|O43707|ACTN4_HUMAN	tr|A0A091DGI1|A0A091DGI1_FUKDA, tr|A0A091DBV0|A0A091DBV0_FUKDA
OG0000216	sp|P35609|ACTN2_HUMAN	tr|A0A091EFV2|A0A091EFV2_FUKDA
OG0000217	sp|Q16875|F263_HUMAN	tr|A0A091EGF1|A0A091EGF1_FUKDA, tr|A0A091CWI7|A0A091CWI7_FUKDA
OG0000217	sp|O60825|F262_HUMAN	tr|A0A091CPT8|A0A091CPT8_FUKDA
OG0000217	sp|Q16877|F264_HUMAN	tr|A0A091CLE6|A0A091CLE6_FUKDA
OG0000217	sp|P16118|F261_HUMAN	tr|A0A091CPJ0|A0A091CPJ0_FUKDA
OG0000218	sp|P07384|CAN1_HUMAN	tr|A0A091E012|A0A091E012_FUKDA
OG0000218	sp|P17655|CAN2_HUMAN	tr|A0A091DRE5|A0A091DRE5_FUKDA
OG0000218	sp|A6NHC0|CAN8_HUMAN	tr|A0A091D2Z4|A0A091D2Z4_FUKDA
OG0000218	sp|Q6ZSI9|CAN12_HUMAN, sp|Q9UMQ6|CAN11_HUMAN	tr|A0A091E0L9|A0A091E0L9_FUKDA
OG0000219	sp|Q9H361|PABP3_HUMAN	tr|A0A091DY94|A0A091DY94_FUKDA
OG0000219	sp|Q4VXU2|PAP1L_HUMAN	tr|A0A091DGS4|A0A091DGS4_FUKDA
OG0000219	sp|Q13310|PABP4_HUMAN	tr|A0A091DK51|A0A091DK51_FUKDA, tr|A0A091D8R4|A0A091D8R4_FUKDA
OG0000220	sp|Q14240|IF4A2_HUMAN	tr|A0A091DQ29|A0A091DQ29_FUKDA
OG0000220	sp|Q9UJV9|DDX41_HUMAN, sp|Q8TDD1|DDX54_HUMAN, sp|Q9UHI6|DDX20_HUMAN	tr|A0A091DYB8|A0A091DYB8_FUKDA
OG0000220	sp|P60842|IF4A1_HUMAN, sp|Q9H4L4|SENP3_HUMAN	tr|A0A091CLW9|A0A091CLW9_FUKDA
OG0000221	sp|Q86UP6|CUZD1_HUMAN	tr|A0A091EAF2|A0A091EAF2_FUKDA, tr|A0A091DHG7|A0A091DHG7_FUKDA, tr|A0A091DPJ4|A0A091DPJ4_FUKDA, tr|A0A091CRQ2|A0A091CRQ2_FUKDA, tr|A0A091DDN3|A0A091DDN3_FUKDA, tr|A0A091DSG8|A0A091DSG8_FUKDA, tr|A0A091CQ78|A0A091CQ78_FUKDA, tr|A0A091CQE6|A0A091CQE6_FUKDA
OG0000222	sp|O43866|CD5L_HUMAN, sp|Q8WTU2|SRB4D_HUMAN	tr|A0A091D527|A0A091D527_FUKDA
OG0000222	sp|Q96P31|FCRL3_HUMAN, sp|Q96LA6|FCRL1_HUMAN, sp|Q96LA5|FCRL2_HUMAN, sp|Q96PJ5|FCRL4_HUMAN, sp|Q96RD9|FCRL5_HUMAN	tr|A0A091DTN4|A0A091DTN4_FUKDA
OG0000223	sp|P62937|PPIA_HUMAN, sp|Q9Y536|PAL4A_HUMAN, sp|A0A075B767|PAL4H_HUMAN, sp|P0DN37|PAL4G_HUMAN, sp|A0A0B4J2A2|PAL4C_HUMAN, sp|A0A075B759|PAL4E_HUMAN, sp|P0DN26|PAL4F_HUMAN, sp|F5H284|PAL4D_HUMAN	tr|A0A091CZ43|A0A091CZ43_FUKDA
OG0000224	sp|P01023|A2MG_HUMAN	tr|A0A091CU99|A0A091CU99_FUKDA
OG0000224	sp|P20742|PZP_HUMAN, sp|Q8IZJ3|CPMD8_HUMAN, sp|A8K2U0|A2ML1_HUMAN, sp|Q6IE37|OVOS1_HUMAN, sp|Q6IE36|OVOS2_HUMAN, tr|A0A0G2JMS6|A0A0G2JMS6_HUMAN	tr|A0A091DGX4|A0A091DGX4_FUKDA
OG0000225	sp|P33260|CP2CI_HUMAN, sp|P33261|CP2CJ_HUMAN, sp|P11712|CP2C9_HUMAN, sp|P10632|CP2C8_HUMAN, tr|A0A1B0GTQ1|A0A1B0GTQ1_HUMAN, sp|A0A087X1C5|CP2D7_HUMAN, sp|P10635|CP2D6_HUMAN, tr|A0A0G2JQZ4|A0A0G2JQZ4_HUMAN	tr|A0A091DCP0|A0A091DCP0_FUKDA
OG0000228	sp|P23588|IF4B_HUMAN	tr|A0A091CSI8|A0A091CSI8_FUKDA, tr|A0A091DB11|A0A091DB11_FUKDA, tr|A0A091DIM8|A0A091DIM8_FUKDA, tr|A0A091DVV5|A0A091DVV5_FUKDA, tr|A0A091E271|A0A091E271_FUKDA, tr|A0A091CKS8|A0A091CKS8_FUKDA, tr|A0A091CP85|A0A091CP85_FUKDA
OG0000229	sp|P04899|GNAI2_HUMAN	tr|A0A091D772|A0A091D772_FUKDA, tr|A0A091CLA7|A0A091CLA7_FUKDA
OG0000229	sp|P08754|GNAI3_HUMAN	tr|A0A091DJ71|A0A091DJ71_FUKDA
OG0000229	sp|P63096|GNAI1_HUMAN	tr|A0A091DZL0|A0A091DZL0_FUKDA
OG0000230	sp|Q12967|GNDS_HUMAN	tr|A0A091DIJ3|A0A091DIJ3_FUKDA
OG0000230	sp|Q8IZJ4|RGDSR_HUMAN	tr|A0A091DU12|A0A091DU12_FUKDA, tr|A0A091CRY9|A0A091CRY9_FUKDA, tr|A0A091DBV1|A0A091DBV1_FUKDA, tr|A0A091DZA1|A0A091DZA1_FUKDA, tr|A0A091D2M9|A0A091D2M9_FUKDA
OG0000231	sp|Q8TD07|RAE1E_HUMAN, sp|Q9BZM4|ULBP3_HUMAN, sp|Q6H3X3|ULBP5_HUMAN, sp|Q5VY80|ULBP6_HUMAN, sp|Q9BZM5|ULBP2_HUMAN, sp|Q9BZM6|ULBP1_HUMAN	tr|A0A091DX85|A0A091DX85_FUKDA, tr|A0A091DH26|A0A091DH26_FUKDA
OG0000232	sp|Q9Y666|S12A7_HUMAN	tr|A0A091ERS8|A0A091ERS8_FUKDA
OG0000232	sp|Q9UP95|S12A4_HUMAN	tr|A0A091CPK7|A0A091CPK7_FUKDA
OG0000232	sp|Q9UHW9|S12A6_HUMAN	tr|A0A091DL87|A0A091DL87_FUKDA
OG0000232	sp|Q9H2X9|S12A5_HUMAN	tr|A0A091DQ62|A0A091DQ62_FUKDA
OG0000233	sp|O43451|MGA_HUMAN	tr|A0A091DD79|A0A091DD79_FUKDA
OG0000233	sp|Q2M2H8|MGAL_HUMAN	tr|A0A091CWG1|A0A091CWG1_FUKDA
OG0000233	sp|P14410|SUIS_HUMAN	tr|A0A091CXK2|A0A091CXK2_FUKDA
OG0000234	sp|Q14938|NFIX_HUMAN	tr|A0A091CNF5|A0A091CNF5_FUKDA
OG0000234	sp|Q12857|NFIA_HUMAN	tr|A0A091CWW3|A0A091CWW3_FUKDA
OG0000234	sp|P08651|NFIC_HUMAN	tr|A0A091D9P7|A0A091D9P7_FUKDA
OG0000234	sp|O00712|NFIB_HUMAN	tr|A0A091DIW6|A0A091DIW6_FUKDA
OG0000235	sp|Q13698|CAC1S_HUMAN	tr|A0A091D0B2|A0A091D0B2_FUKDA
OG0000235	sp|O60840|CAC1F_HUMAN	tr|A0A091DIQ3|A0A091DIQ3_FUKDA
OG0000235	sp|Q01668|CAC1D_HUMAN	tr|A0A091D2J1|A0A091D2J1_FUKDA
OG0000235	sp|Q13936|CAC1C_HUMAN	tr|A0A091DJZ9|A0A091DJZ9_FUKDA
OG0000236	sp|O60235|TM11D_HUMAN	tr|A0A091DC99|A0A091DC99_FUKDA
OG0000236	sp|Q86T26|TM11B_HUMAN	tr|A0A091CQM7|A0A091CQM7_FUKDA
OG0000236	sp|Q6ZWK6|TM11F_HUMAN	tr|A0A091CND9|A0A091CND9_FUKDA, tr|A0A091CRL2|A0A091CRL2_FUKDA
OG0000237	sp|P63252|KCNJ2_HUMAN	tr|A0A091DU44|A0A091DU44_FUKDA
OG0000237	sp|Q14500|KCJ12_HUMAN, sp|B7U540|KCJ18_HUMAN	tr|A0A091DZP4|A0A091DZP4_FUKDA
OG0000237	sp|P48549|KCNJ3_HUMAN, sp|Q9UNX9|KCJ14_HUMAN	tr|A0A091D2E3|A0A091D2E3_FUKDA
OG0000239	sp|P50453|SPB9_HUMAN	tr|A0A091DRP6|A0A091DRP6_FUKDA, tr|A0A091DTG6|A0A091DTG6_FUKDA
OG0000239	sp|P35237|SPB6_HUMAN	tr|A0A091DNQ4|A0A091DNQ4_FUKDA
OG0000239	sp|P50452|SPB8_HUMAN	tr|A0A091CNG6|A0A091CNG6_FUKDA
OG0000240	sp|Q9UJ14|GGT7_HUMAN, sp|P19440|GGT1_HUMAN, sp|A6NGU5|GGT3_HUMAN, sp|Q14390|GGTL2_HUMAN, sp|Q9BX51|GGTL1_HUMAN, sp|B5MD39|GGTL3_HUMAN, sp|P36268|GGT2_HUMAN	tr|A0A091CYE0|A0A091CYE0_FUKDA
OG0000241	sp|Q8IU54|IFNL1_HUMAN, sp|Q8IZJ0|IFNL2_HUMAN, sp|Q8IZI9|IFNL3_HUMAN	tr|A0A091CMC4|A0A091CMC4_FUKDA
OG0000241	sp|K9M1U5|IFNL4_HUMAN	tr|A0A091DEY3|A0A091DEY3_FUKDA, tr|A0A091CPC4|A0A091CPC4_FUKDA, tr|A0A091D873|A0A091D873_FUKDA
OG0000242	tr|A0A0G2JPF8|A0A0G2JPF8_HUMAN, sp|B7ZW38|HNRC3_HUMAN, sp|P0DMR1|HNRC4_HUMAN, tr|A0A0G2JNQ3|A0A0G2JNQ3_HUMAN, sp|B2RXH8|HNRC2_HUMAN, sp|O60812|HNRC1_HUMAN, sp|P07910|HNRPC_HUMAN	tr|A0A091DXM3|A0A091DXM3_FUKDA
OG0000243	sp|Q13554|KCC2B_HUMAN	tr|A0A091ECL5|A0A091ECL5_FUKDA
OG0000243	sp|Q13555|KCC2G_HUMAN	tr|A0A091DY02|A0A091DY02_FUKDA
OG0000243	sp|Q9UQM7|KCC2A_HUMAN	tr|A0A091DNE7|A0A091DNE7_FUKDA
OG0000243	sp|Q13557|KCC2D_HUMAN	tr|A0A091E2C6|A0A091E2C6_FUKDA
OG0000244	sp|Q14722|KCAB1_HUMAN	tr|A0A091DCB7|A0A091DCB7_FUKDA, tr|A0A091DFC9|A0A091DFC9_FUKDA, tr|A0A091D720|A0A091D720_FUKDA
OG0000244	sp|O43448|KCAB3_HUMAN	tr|A0A091D7N5|A0A091D7N5_FUKDA
OG0000244	sp|Q13303|KCAB2_HUMAN	tr|A0A091DI62|A0A091DI62_FUKDA
OG0000245	sp|Q14982|OPCM_HUMAN	tr|A0A091E1X2|A0A091E1X2_FUKDA
OG0000245	sp|Q7Z3B1|NEGR1_HUMAN	tr|A0A091CUM2|A0A091CUM2_FUKDA
OG0000245	sp|Q13449|LSAMP_HUMAN	tr|A0A091DJV1|A0A091DJV1_FUKDA
OG0000246	sp|Q14643|ITPR1_HUMAN	tr|A0A091CU82|A0A091CU82_FUKDA
OG0000246	sp|Q14573|ITPR3_HUMAN	tr|A0A091CUD0|A0A091CUD0_FUKDA
OG0000246	sp|Q14571|ITPR2_HUMAN	tr|A0A091DZN5|A0A091DZN5_FUKDA
OG0000247	sp|Q15438|CYH1_HUMAN	tr|A0A091DX77|A0A091DX77_FUKDA
OG0000247	sp|Q9UIA0|CYH4_HUMAN	tr|A0A091E081|A0A091E081_FUKDA
OG0000247	sp|O43739|CYH3_HUMAN	tr|A0A091D4A2|A0A091D4A2_FUKDA
OG0000247	sp|Q99418|CYH2_HUMAN	tr|A0A091D715|A0A091D715_FUKDA
OG0000248	sp|Q15418|KS6A1_HUMAN	tr|A0A091E589|A0A091E589_FUKDA
OG0000248	sp|Q9UK32|KS6A6_HUMAN	tr|A0A091DAD9|A0A091DAD9_FUKDA
OG0000248	sp|P51812|KS6A3_HUMAN	tr|A0A091DQ83|A0A091DQ83_FUKDA
OG0000248	sp|Q15349|KS6A2_HUMAN	tr|A0A091DDA8|A0A091DDA8_FUKDA
OG0000250	sp|Q6ZMS7|ZN783_HUMAN, sp|Q8N393|ZN786_HUMAN, sp|Q6IV72|ZN425_HUMAN, sp|Q9ULD5|ZN777_HUMAN, sp|Q75MW2|ZN767_HUMAN, sp|Q6NUN9|ZN746_HUMAN, sp|Q9UDV7|ZN282_HUMAN	tr|A0A091D9J4|A0A091D9J4_FUKDA
OG0000251	sp|P20020|AT2B1_HUMAN	tr|A0A091CNH9|A0A091CNH9_FUKDA
OG0000251	sp|P23634|AT2B4_HUMAN	tr|A0A091D2F4|A0A091D2F4_FUKDA
OG0000251	sp|Q01814|AT2B2_HUMAN	tr|A0A091E6Y3|A0A091E6Y3_FUKDA
OG0000251	sp|Q16720|AT2B3_HUMAN	tr|A0A091DMF3|A0A091DMF3_FUKDA
OG0000252	sp|P42261|GRIA1_HUMAN	tr|A0A091D8I5|A0A091D8I5_FUKDA
OG0000252	sp|P42263|GRIA3_HUMAN	tr|A0A091CK40|A0A091CK40_FUKDA
OG0000252	sp|P48058|GRIA4_HUMAN	tr|A0A091DS90|A0A091DS90_FUKDA
OG0000252	sp|P42262|GRIA2_HUMAN	tr|A0A091E953|A0A091E953_FUKDA
OG0000253	sp|O95758|PTBP3_HUMAN	tr|A0A091D940|A0A091D940_FUKDA
OG0000253	sp|Q9UKA9|PTBP2_HUMAN	tr|A0A091D7R8|A0A091D7R8_FUKDA
OG0000253	sp|P26599|PTBP1_HUMAN	tr|A0A091D9V7|A0A091D9V7_FUKDA
OG0000254	sp|Q9HAV0|GBB4_HUMAN	tr|A0A091DHS5|A0A091DHS5_FUKDA
OG0000254	sp|P62873|GBB1_HUMAN	tr|A0A091DL25|A0A091DL25_FUKDA
OG0000254	sp|P16520|GBB3_HUMAN	tr|A0A091CN05|A0A091CN05_FUKDA
OG0000254	sp|P62879|GBB2_HUMAN	tr|A0A091DXM5|A0A091DXM5_FUKDA
OG0000255	sp|Q9Y6N3|CLCA3_HUMAN	tr|A0A091DYX4|A0A091DYX4_FUKDA
OG0000255	sp|Q9UQC9|CLCA2_HUMAN	tr|A0A091DAB7|A0A091DAB7_FUKDA
OG0000255	sp|A8K7I4|CLCA1_HUMAN	tr|A0A091D7C8|A0A091D7C8_FUKDA
OG0000256	sp|Q9BY31|ZN717_HUMAN	tr|A0A091DPR5|A0A091DPR5_FUKDA, tr|A0A091DRG5|A0A091DRG5_FUKDA
OG0000256	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A091D3U0|A0A091D3U0_FUKDA, tr|A0A091E476|A0A091E476_FUKDA, tr|A0A091CRS2|A0A091CRS2_FUKDA, tr|A0A091CTD9|A0A091CTD9_FUKDA
OG0000258	sp|O75051|PLXA2_HUMAN	tr|A0A091CNS0|A0A091CNS0_FUKDA
OG0000258	sp|Q9HCM2|PLXA4_HUMAN	tr|A0A091CQ53|A0A091CQ53_FUKDA
OG0000258	sp|Q9UIW2|PLXA1_HUMAN	tr|A0A091DZD4|A0A091DZD4_FUKDA
OG0000258	sp|P51805|PLXA3_HUMAN	tr|A0A091D937|A0A091D937_FUKDA
OG0000259	sp|Q08499|PDE4D_HUMAN	tr|A0A091DNU1|A0A091DNU1_FUKDA
OG0000259	sp|Q07343|PDE4B_HUMAN	tr|A0A091CUK7|A0A091CUK7_FUKDA
OG0000259	sp|P27815|PDE4A_HUMAN	tr|A0A091DE66|A0A091DE66_FUKDA
OG0000259	sp|Q08493|PDE4C_HUMAN	tr|A0A091DII9|A0A091DII9_FUKDA
OG0000260	sp|Q6PKH6|DR4L2_HUMAN, sp|P0CG22|DR4L1_HUMAN, sp|Q9BTZ2|DHRS4_HUMAN	tr|A0A091D8S9|A0A091D8S9_FUKDA
OG0000260	sp|Q13268|DHRS2_HUMAN	tr|A0A091DAG6|A0A091DAG6_FUKDA
OG0000260	sp|Q6UWP2|DHR11_HUMAN	tr|A0A091DXD6|A0A091DXD6_FUKDA
OG0000261	sp|O43791|SPOP_HUMAN	tr|A0A091DJZ2|A0A091DJZ2_FUKDA
OG0000261	sp|Q6IQ16|SPOPL_HUMAN	tr|A0A091DWV1|A0A091DWV1_FUKDA, tr|A0A091DIH3|A0A091DIH3_FUKDA, tr|A0A091CL46|A0A091CL46_FUKDA, tr|A0A091CW98|A0A091CW98_FUKDA, tr|A0A091CWZ3|A0A091CWZ3_FUKDA
OG0000264	sp|P08842|STS_HUMAN	tr|A0A091CNF0|A0A091CNF0_FUKDA
OG0000264	sp|P51690|ARSL_HUMAN	tr|A0A091CY01|A0A091CY01_FUKDA
OG0000264	sp|Q5FYA8|ARSH_HUMAN, sp|P54793|ARSF_HUMAN, sp|P51689|ARSD_HUMAN	tr|A0A091CX20|A0A091CX20_FUKDA
OG0000266	sp|Q8NH09|OR8S1_HUMAN	tr|A0A091DAI1|A0A091DAI1_FUKDA, tr|A0A091D865|A0A091D865_FUKDA, tr|A0A091DWS0|A0A091DWS0_FUKDA, tr|A0A091D9W4|A0A091D9W4_FUKDA, tr|A0A091D582|A0A091D582_FUKDA, tr|A0A091EDK9|A0A091EDK9_FUKDA, tr|A0A091DQT6|A0A091DQT6_FUKDA
OG0000267	sp|O14986|PI51B_HUMAN	tr|A0A091DJB7|A0A091DJB7_FUKDA
OG0000267	sp|O60331|PI51C_HUMAN	tr|A0A091DEE7|A0A091DEE7_FUKDA
OG0000267	sp|Q99755|PI51A_HUMAN, sp|A2A3N6|PIPSL_HUMAN	tr|A0A091DKI6|A0A091DKI6_FUKDA, tr|A0A091CLK1|A0A091CLK1_FUKDA
OG0000268	sp|P42330|AK1C3_HUMAN, sp|P52895|AK1C2_HUMAN, sp|Q04828|AK1C1_HUMAN, sp|P17516|AK1C4_HUMAN, sp|P51857|AK1D1_HUMAN, sp|Q5T2L2|AKCL1_HUMAN	tr|A0A091D7X4|A0A091D7X4_FUKDA, tr|A0A091CM50|A0A091CM50_FUKDA
OG0000269	sp|Q7Z6B7|SRGP1_HUMAN	tr|A0A091D1W5|A0A091D1W5_FUKDA
OG0000269	sp|O43295|SRGP3_HUMAN	tr|A0A091E4Q4|A0A091E4Q4_FUKDA
OG0000269	sp|P0DJJ0|SRG2C_HUMAN, sp|P0DMP2|SRG2B_HUMAN, sp|O75044|SRGP2_HUMAN	tr|A0A091CLI4|A0A091CLI4_FUKDA
OG0000270	sp|P35221|CTNA1_HUMAN	tr|A0A091CMZ9|A0A091CMZ9_FUKDA
OG0000270	sp|Q9UI47|CTNA3_HUMAN	tr|A0A091E0P9|A0A091E0P9_FUKDA
OG0000270	sp|P26232|CTNA2_HUMAN	tr|A0A091DIB0|A0A091DIB0_FUKDA, tr|A0A091EMR4|A0A091EMR4_FUKDA, tr|A0A091E563|A0A091E563_FUKDA
OG0000271	sp|P52848|NDST1_HUMAN	tr|A0A091DNF2|A0A091DNF2_FUKDA
OG0000271	sp|P52849|NDST2_HUMAN	tr|A0A091E2S0|A0A091E2S0_FUKDA
OG0000271	sp|O95803|NDST3_HUMAN	tr|A0A091E0C2|A0A091E0C2_FUKDA
OG0000271	sp|Q9H3R1|NDST4_HUMAN	tr|A0A091DG27|A0A091DG27_FUKDA
OG0000272	sp|P61077|UB2D3_HUMAN, sp|P62837|UB2D2_HUMAN, sp|Q9Y2X8|UB2D4_HUMAN, sp|Q8IWF7|U2D2L_HUMAN, sp|P63146|UBE2B_HUMAN, sp|Q5VVX9|UBE2U_HUMAN, sp|P51668|UB2D1_HUMAN	tr|A0A091D5V8|A0A091D5V8_FUKDA
OG0000273	sp|P49792|RBP2_HUMAN, sp|Q7Z3J3|RGPD4_HUMAN, sp|A6NKT7|RGPD3_HUMAN, sp|P0DJD1|RGPD2_HUMAN, sp|P0DJD0|RGPD1_HUMAN, sp|Q99666|RGPD5_HUMAN, sp|O14715|RGPD8_HUMAN	tr|A0A091E2Q8|A0A091E2Q8_FUKDA
OG0000275	sp|Q9NY91|SC5A4_HUMAN	tr|A0A091D0K3|A0A091D0K3_FUKDA, tr|A0A091DLK6|A0A091DLK6_FUKDA
OG0000275	sp|P13866|SC5A1_HUMAN	tr|A0A091CVL2|A0A091CVL2_FUKDA
OG0000275	sp|A0PJK1|SC5AA_HUMAN, sp|P31639|SC5A2_HUMAN	tr|A0A091D0P1|A0A091D0P1_FUKDA
OG0000276	sp|P07315|CRGC_HUMAN	tr|A0A091D654|A0A091D654_FUKDA
OG0000276	sp|P11844|CRGA_HUMAN, sp|P07320|CRGD_HUMAN, sp|P22914|CRYGS_HUMAN, sp|Q8WXF5|CRGN_HUMAN, sp|P07316|CRGB_HUMAN	tr|A0A091CMQ5|A0A091CMQ5_FUKDA
OG0000277	sp|Q13507|TRPC3_HUMAN	tr|A0A091E0D8|A0A091E0D8_FUKDA, tr|A0A091CNV1|A0A091CNV1_FUKDA
OG0000277	sp|Q9Y210|TRPC6_HUMAN	tr|A0A091D0L3|A0A091D0L3_FUKDA
OG0000277	sp|Q9HCX4|TRPC7_HUMAN	tr|A0A091D1E3|A0A091D1E3_FUKDA, tr|A0A091CMS4|A0A091CMS4_FUKDA
OG0000278	sp|Q96S37|S22AC_HUMAN	tr|A0A091DBI5|A0A091DBI5_FUKDA
OG0000278	sp|Q8N4F4|S22AO_HUMAN, sp|Q6T423|S22AP_HUMAN, sp|Q8IVM8|S22A9_HUMAN, sp|Q63ZE4|S22AA_HUMAN, sp|Q9NSA0|S22AB_HUMAN	tr|A0A091DD59|A0A091DD59_FUKDA
OG0000279	sp|P40426|PBX3_HUMAN	tr|A0A091CQ96|A0A091CQ96_FUKDA
OG0000279	sp|P40424|PBX1_HUMAN	tr|A0A091DDD9|A0A091DDD9_FUKDA
OG0000279	sp|Q9BYU1|PBX4_HUMAN	tr|A0A091D7D7|A0A091D7D7_FUKDA
OG0000279	sp|P40425|PBX2_HUMAN	tr|A0A091CPR5|A0A091CPR5_FUKDA
OG0000280	sp|P52736|ZN133_HUMAN, sp|Q9Y3M9|ZN337_HUMAN, sp|P0CG23|ZN853_HUMAN, sp|Q6P1L6|ZN343_HUMAN, sp|Q86UQ0|ZN589_HUMAN, sp|Q14929|ZN169_HUMAN, sp|P10072|ZN875_HUMAN	tr|A0A091E1T9|A0A091E1T9_FUKDA
OG0000281	sp|Q6NUI6|CHADL_HUMAN, sp|P35858|ALS_HUMAN, sp|Q6EMK4|VASN_HUMAN	tr|A0A091CVI0|A0A091CVI0_FUKDA
OG0000281	sp|Q9BZR6|RTN4R_HUMAN, sp|Q86UN3|R4RL2_HUMAN, sp|Q86UN2|R4RL1_HUMAN	tr|A0A091D4S5|A0A091D4S5_FUKDA
OG0000282	sp|Q8N4C8|MINK1_HUMAN	tr|A0A091DJE2|A0A091DJE2_FUKDA
OG0000282	sp|O95819|M4K4_HUMAN	tr|A0A091DBG5|A0A091DBG5_FUKDA
OG0000282	sp|Q9UKE5|TNIK_HUMAN	tr|A0A091DCE5|A0A091DCE5_FUKDA
OG0000282	sp|Q7Z2Y5|NRK_HUMAN	tr|A0A091D6T6|A0A091D6T6_FUKDA
OG0000283	sp|Q9H223|EHD4_HUMAN	tr|A0A091ECC0|A0A091ECC0_FUKDA
OG0000283	sp|Q9NZN4|EHD2_HUMAN	tr|A0A091D5F4|A0A091D5F4_FUKDA
OG0000283	sp|Q9NZN3|EHD3_HUMAN	tr|A0A091ENH0|A0A091ENH0_FUKDA
OG0000283	sp|Q9H4M9|EHD1_HUMAN	tr|A0A091D8H6|A0A091D8H6_FUKDA
OG0000284	sp|Q8N2I2|ZN619_HUMAN, sp|Q6ZSS3|ZN621_HUMAN, sp|Q6ZNG0|ZN620_HUMAN, sp|A6NM28|ZFP92_HUMAN, sp|Q5FWF6|ZN789_HUMAN, sp|Q5JNZ3|ZN311_HUMAN, sp|Q9BSG1|ZNF2_HUMAN	tr|A0A091D5H4|A0A091D5H4_FUKDA
