Orthogroup	Homo_sapiens	Eschrichtius_robustus
OG0001305	sp|Q5VV17|OTUD1_HUMAN, sp|Q9NP73|ALG13_HUMAN, sp|Q01804|OTUD4_HUMAN	tr|A0A2F0B5G5|A0A2F0B5G5_ESCRO
OG0001306	sp|Q12851|M4K2_HUMAN, sp|Q8IVH8|M4K3_HUMAN, sp|Q9Y4K4|M4K5_HUMAN	tr|A0A2F0B8C2|A0A2F0B8C2_ESCRO
OG0001307	sp|Q9NSD4|ZN275_HUMAN, sp|P10075|GLI4_HUMAN, sp|Q96LW9|ZSC31_HUMAN	tr|A0A2F0BB22|A0A2F0BB22_ESCRO
OG0001308	sp|P30968|GNRHR_HUMAN	tr|A0A2F0AUD1|A0A2F0AUD1_ESCRO
OG0001308	sp|Q96P88|GNRR2_HUMAN	tr|A0A2F0BBV9|A0A2F0BBV9_ESCRO
OG0001309	sp|O95067|CCNB2_HUMAN, sp|Q8WWL7|CCNB3_HUMAN, sp|P14635|CCNB1_HUMAN	tr|A0A2F0AXR5|A0A2F0AXR5_ESCRO
OG0001310	sp|P43694|GATA4_HUMAN	tr|A0A2F0B1V8|A0A2F0B1V8_ESCRO
OG0001310	sp|Q9BWX5|GATA5_HUMAN	tr|A0A2F0B575|A0A2F0B575_ESCRO
OG0001311	sp|P02768|ALBU_HUMAN, sp|P43652|AFAM_HUMAN, sp|P02771|FETA_HUMAN	tr|A0A2F0B5P2|A0A2F0B5P2_ESCRO
OG0001312	sp|P32745|SSR3_HUMAN	tr|A0A2F0B855|A0A2F0B855_ESCRO
OG0001312	sp|P35346|SSR5_HUMAN	tr|A0A2F0B439|A0A2F0B439_ESCRO
OG0001313	sp|Q6NSW7|NANP8_HUMAN, sp|Q8N7R0|NANG2_HUMAN, sp|Q9H9S0|NANOG_HUMAN	tr|A0A2F0BB64|A0A2F0BB64_ESCRO
OG0001314	sp|Q6H9L7|ISM2_HUMAN	tr|A0A2F0BCQ5|A0A2F0BCQ5_ESCRO
OG0001314	sp|B1AKI9|ISM1_HUMAN	tr|A0A2F0B0I5|A0A2F0B0I5_ESCRO
OG0001315	sp|P11234|RALB_HUMAN, sp|P11233|RALA_HUMAN	tr|A0A2F0B8T5|A0A2F0B8T5_ESCRO, tr|A0A2F0BEI6|A0A2F0BEI6_ESCRO
OG0001316	sp|P49796|RGS3_HUMAN, sp|P41220|RGS2_HUMAN, sp|P57771|RGS8_HUMAN	tr|A0A2F0BGF6|A0A2F0BGF6_ESCRO
OG0001317	sp|O94905|ERLN2_HUMAN, sp|O75477|ERLN1_HUMAN	tr|A0A2F0AV07|A0A2F0AV07_ESCRO, tr|A0A2F0BLA3|A0A2F0BLA3_ESCRO
OG0001318	sp|P20916|MAG_HUMAN, sp|P20273|CD22_HUMAN, sp|Q9BZZ2|SN_HUMAN	tr|A0A2F0B0D1|A0A2F0B0D1_ESCRO
OG0001319	sp|P98177|FOXO4_HUMAN	tr|A0A2F0BNJ0|A0A2F0BNJ0_ESCRO
OG0001319	sp|A0A2Z4LIS9|FXO3B_HUMAN	tr|A0A2F0B0H8|A0A2F0B0H8_ESCRO
OG0001320	sp|Q9UIJ5|ZDHC2_HUMAN, sp|Q5W0Z9|ZDH20_HUMAN, sp|Q96MV8|ZDH15_HUMAN	tr|A0A2F0B3F9|A0A2F0B3F9_ESCRO
OG0001321	sp|P43686|PRS6B_HUMAN	tr|A0A2F0B3R6|A0A2F0B3R6_ESCRO
OG0001321	sp|P62191|PRS4_HUMAN	tr|A0A2F0B7E3|A0A2F0B7E3_ESCRO
OG0001322	sp|P21217|FUT3_HUMAN, sp|P51993|FUT6_HUMAN, sp|Q11128|FUT5_HUMAN	tr|A0A2F0BAI7|A0A2F0BAI7_ESCRO
OG0001323	sp|P38936|CDN1A_HUMAN, sp|P49918|CDN1C_HUMAN, sp|P46527|CDN1B_HUMAN	tr|A0A2F0BCY3|A0A2F0BCY3_ESCRO
OG0001324	sp|Q13133|NR1H3_HUMAN	tr|A0A2F0BHW8|A0A2F0BHW8_ESCRO
OG0001324	sp|P55055|NR1H2_HUMAN	tr|A0A2F0BJ97|A0A2F0BJ97_ESCRO
OG0001325	sp|Q92698|RAD54_HUMAN, sp|Q03468|ERCC6_HUMAN, sp|Q9Y620|RA54B_HUMAN	tr|A0A2F0AUK9|A0A2F0AUK9_ESCRO
OG0001326	sp|Q96GN5|CDA7L_HUMAN	tr|A0A2F0B8Q0|A0A2F0B8Q0_ESCRO
OG0001326	sp|Q9BWT1|CDCA7_HUMAN	tr|A0A2F0AVE2|A0A2F0AVE2_ESCRO
OG0001327	sp|Q6WN34|CRDL2_HUMAN	tr|A0A2F0BCK5|A0A2F0BCK5_ESCRO
OG0001327	sp|Q9BU40|CRDL1_HUMAN	tr|A0A2F0BNR2|A0A2F0BNR2_ESCRO
OG0001328	sp|Q8WYH8|ING5_HUMAN, sp|Q9UK53|ING1_HUMAN, sp|Q9H160|ING2_HUMAN	tr|A0A2F0BDL2|A0A2F0BDL2_ESCRO
OG0001329	sp|Q96N03|VTM2L_HUMAN, sp|A6NLU5|VTM2B_HUMAN, sp|Q8TAG5|VTM2A_HUMAN	tr|A0A2F0BGK0|A0A2F0BGK0_ESCRO
OG0001330	sp|O94810|RGS11_HUMAN	tr|A0A2F0BN05|A0A2F0BN05_ESCRO
OG0001330	sp|O75916|RGS9_HUMAN	tr|A0A2F0BGX7|A0A2F0BGX7_ESCRO
OG0001331	sp|Q9UGI8|TES_HUMAN	tr|A0A2F0AXH9|A0A2F0AXH9_ESCRO
OG0001331	sp|O43900|PRIC3_HUMAN	tr|A0A2F0BPS8|A0A2F0BPS8_ESCRO
OG0001332	sp|P14618|KPYM_HUMAN	tr|A0A2F0AXA3|A0A2F0AXA3_ESCRO
OG0001332	sp|P30613|KPYR_HUMAN	tr|A0A2F0AZS1|A0A2F0AZS1_ESCRO
OG0001333	sp|Q06210|GFPT1_HUMAN	tr|A0A2F0B759|A0A2F0B759_ESCRO
OG0001333	sp|O94808|GFPT2_HUMAN	tr|A0A2F0AYR1|A0A2F0AYR1_ESCRO
OG0001334	sp|Q9H2J7|S6A15_HUMAN, sp|Q96N87|S6A18_HUMAN, sp|Q9H1V8|S6A17_HUMAN	tr|A0A2F0B9E7|A0A2F0B9E7_ESCRO
OG0001335	sp|O00506|STK25_HUMAN, sp|Q9P289|STK26_HUMAN, sp|Q9Y6E0|STK24_HUMAN	tr|A0A2F0BCD2|A0A2F0BCD2_ESCRO
OG0001336	sp|Q5SYE7|NHSL1_HUMAN, sp|Q5HYW2|NHSL2_HUMAN, sp|Q6T4R5|NHS_HUMAN	tr|A0A2F0BJU2|A0A2F0BJU2_ESCRO
OG0001337	sp|Q9C029|TRIM7_HUMAN, sp|Q6ZMU5|TRI72_HUMAN, sp|Q86XT4|TRI50_HUMAN	tr|A0A2F0B384|A0A2F0B384_ESCRO
OG0001338	sp|P05026|AT1B1_HUMAN, sp|P54709|AT1B3_HUMAN, sp|P14415|AT1B2_HUMAN	tr|A0A2F0BHE0|A0A2F0BHE0_ESCRO
OG0001339	sp|P07911|UROM_HUMAN	tr|A0A2F0AV41|A0A2F0AV41_ESCRO
OG0001339	sp|P55259|GP2_HUMAN	tr|A0A2F0BK80|A0A2F0BK80_ESCRO
OG0001340	sp|Q9NXN4|GDAP2_HUMAN, sp|A1Z1Q3|MACD2_HUMAN, sp|Q9BQ69|MACD1_HUMAN	tr|A0A2F0AVW7|A0A2F0AVW7_ESCRO
OG0001341	sp|Q13324|CRFR2_HUMAN	tr|A0A2F0B308|A0A2F0B308_ESCRO
OG0001341	sp|P34998|CRFR1_HUMAN	tr|A0A2F0B0Q3|A0A2F0B0Q3_ESCRO
OG0001342	sp|Q9H8W4|PKHF2_HUMAN, sp|Q15075|EEA1_HUMAN, sp|Q96S99|PKHF1_HUMAN	tr|A0A2F0BD53|A0A2F0BD53_ESCRO
OG0001343	sp|Q8IZU9|KIRR3_HUMAN	tr|A0A2F0AWN8|A0A2F0AWN8_ESCRO
OG0001343	sp|Q96J84|KIRR1_HUMAN	tr|A0A2F0BGK7|A0A2F0BGK7_ESCRO
OG0001344	sp|Q5VU57|CBPC6_HUMAN, sp|Q8NEM8|CBPC3_HUMAN, sp|Q5U5Z8|CBPC2_HUMAN	tr|A0A2F0BKU9|A0A2F0BKU9_ESCRO
OG0001345	sp|A7E2Y1|MYH7B_HUMAN	tr|A0A2F0BAS3|A0A2F0BAS3_ESCRO, tr|A0A2F0B9Q9|A0A2F0B9Q9_ESCRO, tr|A0A2F0B3C1|A0A2F0B3C1_ESCRO
OG0001346	sp|P23219|PGH1_HUMAN	tr|A0A2F0BIF8|A0A2F0BIF8_ESCRO
OG0001346	sp|P35354|PGH2_HUMAN	tr|A0A2F0B6E5|A0A2F0B6E5_ESCRO
OG0001347	sp|Q99747|SNAG_HUMAN, sp|Q9H115|SNAB_HUMAN, sp|P54920|SNAA_HUMAN	tr|A0A2F0BCB4|A0A2F0BCB4_ESCRO
OG0001348	sp|P21817|RYR1_HUMAN, sp|Q15413|RYR3_HUMAN, sp|Q92736|RYR2_HUMAN	tr|A0A2F0BCE3|A0A2F0BCE3_ESCRO
OG0001349	sp|P49336|CDK8_HUMAN	tr|A0A2F0B0Q4|A0A2F0B0Q4_ESCRO
OG0001349	sp|Q9BWU1|CDK19_HUMAN	tr|A0A2F0BG54|A0A2F0BG54_ESCRO
OG0001350	sp|P52298|NCBP2_HUMAN	tr|A0A2F0BKZ8|A0A2F0BKZ8_ESCRO
OG0001350	sp|A6PVI3|NCB2L_HUMAN	tr|A0A2F0BQ98|A0A2F0BQ98_ESCRO
OG0001351	sp|Q8IV76|PASD1_HUMAN, sp|O15516|CLOCK_HUMAN, sp|Q99743|NPAS2_HUMAN	tr|A0A2F0B0C5|A0A2F0B0C5_ESCRO
OG0001352	sp|P43007|SATT_HUMAN	tr|A0A2F0BNB7|A0A2F0BNB7_ESCRO
OG0001352	sp|Q15758|AAAT_HUMAN	tr|A0A2F0B365|A0A2F0B365_ESCRO
OG0001353	sp|Q93096|TP4A1_HUMAN	tr|A0A2F0BBH9|A0A2F0BBH9_ESCRO
OG0001353	sp|Q12974|TP4A2_HUMAN	tr|A0A2F0B5R7|A0A2F0B5R7_ESCRO
OG0001354	sp|Q9NYR9|KBRS2_HUMAN	tr|A0A2F0AZD0|A0A2F0AZD0_ESCRO
OG0001354	sp|Q9NYS0|KBRS1_HUMAN	tr|A0A2F0B6Q8|A0A2F0B6Q8_ESCRO
OG0001355	sp|P61163|ACTZ_HUMAN	tr|A0A2F0B8X1|A0A2F0B8X1_ESCRO
OG0001355	sp|P42025|ACTY_HUMAN	tr|A0A2F0AUL9|A0A2F0AUL9_ESCRO
OG0001356	sp|P16152|CBR1_HUMAN, sp|O75828|CBR3_HUMAN	tr|A0A2F0B9R0|A0A2F0B9R0_ESCRO, tr|A0A2F0B9R8|A0A2F0B9R8_ESCRO
OG0001357	sp|P26992|CNTFR_HUMAN, sp|Q14626|I11RA_HUMAN, sp|Q14213|IL27B_HUMAN	tr|A0A2F0BCH9|A0A2F0BCH9_ESCRO
OG0001358	sp|Q16513|PKN2_HUMAN, sp|Q16512|PKN1_HUMAN, sp|Q6P5Z2|PKN3_HUMAN	tr|A0A2F0B3U7|A0A2F0B3U7_ESCRO
OG0001359	sp|Q14004|CDK13_HUMAN, sp|Q9NYV4|CDK12_HUMAN, sp|P50750|CDK9_HUMAN	tr|A0A2F0B5R4|A0A2F0B5R4_ESCRO
OG0001360	sp|O94910|AGRL1_HUMAN, sp|Q9HAR2|AGRL3_HUMAN, sp|O95490|AGRL2_HUMAN	tr|A0A2F0B8S3|A0A2F0B8S3_ESCRO
OG0001361	sp|Q9BXS9|S26A6_HUMAN, sp|Q8NG04|S2610_HUMAN, sp|Q96RN1|S26A8_HUMAN	tr|A0A2F0BEX3|A0A2F0BEX3_ESCRO
OG0001362	sp|P58004|SESN2_HUMAN, sp|Q9Y6P5|SESN1_HUMAN, sp|P58005|SESN3_HUMAN	tr|A0A2F0BCB0|A0A2F0BCB0_ESCRO
OG0001363	sp|Q5SYB0|FRPD1_HUMAN, sp|Q5JV73|FRPD3_HUMAN, sp|Q14CM0|FRPD4_HUMAN	tr|A0A2F0BCJ8|A0A2F0BCJ8_ESCRO
OG0001364	sp|O95166|GBRAP_HUMAN, sp|Q9BY60|GBRL3_HUMAN, sp|Q9H0R8|GBRL1_HUMAN	tr|A0A2F0BNN4|A0A2F0BNN4_ESCRO
OG0001365	sp|Q8WVX9|FACR1_HUMAN	tr|A0A2F0AX13|A0A2F0AX13_ESCRO
OG0001365	sp|Q96K12|FACR2_HUMAN	tr|A0A2F0BBG1|A0A2F0BBG1_ESCRO
OG0001366	sp|O75751|S22A3_HUMAN, sp|O15245|S22A1_HUMAN, sp|O15244|S22A2_HUMAN	tr|A0A2F0B1J3|A0A2F0B1J3_ESCRO
OG0001367	sp|P50281|MMP14_HUMAN	tr|A0A2F0AY93|A0A2F0AY93_ESCRO
OG0001367	sp|P51511|MMP15_HUMAN	tr|A0A2F0B421|A0A2F0B421_ESCRO
OG0001368	sp|Q5T197|DCST1_HUMAN, sp|Q9H295|DCSTP_HUMAN, sp|Q5T1A1|DCST2_HUMAN	tr|A0A2F0BAH9|A0A2F0BAH9_ESCRO
OG0001369	sp|P08912|ACM5_HUMAN, sp|P11229|ACM1_HUMAN, sp|P20309|ACM3_HUMAN	tr|A0A2F0BKS5|A0A2F0BKS5_ESCRO
OG0001370	sp|Q96Q80|DERL3_HUMAN, sp|Q9BUN8|DERL1_HUMAN, sp|Q9GZP9|DERL2_HUMAN	tr|A0A2F0B3Z5|A0A2F0B3Z5_ESCRO
OG0001371	sp|Q6ZSZ6|TSH1_HUMAN	tr|A0A2F0BM52|A0A2F0BM52_ESCRO
OG0001371	sp|Q63HK5|TSH3_HUMAN	tr|A0A2F0B7N5|A0A2F0B7N5_ESCRO
OG0001372	sp|Q9NZW5|PALS2_HUMAN	tr|A0A2F0B3B0|A0A2F0B3B0_ESCRO
OG0001372	sp|Q14168|MPP2_HUMAN	tr|A0A2F0B8N6|A0A2F0B8N6_ESCRO
OG0001373	sp|Q5F1R6|DJC21_HUMAN, sp|Q96KC8|DNJC1_HUMAN, sp|Q99543|DNJC2_HUMAN	tr|A0A2F0B8T7|A0A2F0B8T7_ESCRO
OG0001374	sp|Q96L73|NSD1_HUMAN, sp|Q9BZ95|NSD3_HUMAN, sp|O96028|NSD2_HUMAN	tr|A0A2F0BFJ2|A0A2F0BFJ2_ESCRO
OG0001375	sp|P19484|TFEB_HUMAN	tr|A0A2F0BGW9|A0A2F0BGW9_ESCRO
OG0001375	sp|O75030|MITF_HUMAN	tr|A0A2F0AXB4|A0A2F0AXB4_ESCRO
OG0001376	sp|Q5VUB5|F1711_HUMAN, sp|Q6P995|F171B_HUMAN, sp|A8MVW0|F1712_HUMAN	tr|A0A2F0BKJ4|A0A2F0BKJ4_ESCRO
OG0001377	sp|Q1A5X6|IQCJ_HUMAN, sp|P0DPB3|SCHI1_HUMAN, sp|B3KU38|IQIP1_HUMAN	tr|A0A2F0BNF9|A0A2F0BNF9_ESCRO
OG0001378	sp|P05165|PCCA_HUMAN, sp|Q96RQ3|MCCA_HUMAN, sp|P11498|PYC_HUMAN	tr|A0A2F0AZZ1|A0A2F0AZZ1_ESCRO
OG0001379	sp|Q2TAL5|SMTL2_HUMAN, sp|P53814|SMTN_HUMAN, sp|A8MU46|SMTL1_HUMAN	tr|A0A2F0B2H5|A0A2F0B2H5_ESCRO
OG0001380	sp|Q9Y219|JAG2_HUMAN, sp|P78504|JAG1_HUMAN, sp|Q9NR61|DLL4_HUMAN	tr|A0A2F0B7J7|A0A2F0B7J7_ESCRO
OG0001381	sp|O00750|P3C2B_HUMAN, sp|O75747|P3C2G_HUMAN, sp|O00443|P3C2A_HUMAN	tr|A0A2F0BEL0|A0A2F0BEL0_ESCRO
OG0001382	sp|P78324|SHPS1_HUMAN, sp|O00241|SIRB1_HUMAN, sp|Q9P1W8|SIRPG_HUMAN	tr|A0A2F0AXW7|A0A2F0AXW7_ESCRO
OG0001383	sp|Q86TC9|MYPN_HUMAN, sp|Q9UBF9|MYOTI_HUMAN, sp|Q8WX93|PALLD_HUMAN	tr|A0A2F0B7H3|A0A2F0B7H3_ESCRO
OG0001384	sp|P29401|TKT_HUMAN, sp|Q9H0I9|TKTL2_HUMAN, sp|P51854|TKTL1_HUMAN	tr|A0A2F0AWA7|A0A2F0AWA7_ESCRO
OG0001385	sp|Q9H1J5|WNT8A_HUMAN	tr|A0A2F0B4V1|A0A2F0B4V1_ESCRO
OG0001385	sp|Q93098|WNT8B_HUMAN	tr|A0A2F0AXE6|A0A2F0AXE6_ESCRO
OG0001386	sp|Q9P2G1|AKIB1_HUMAN, sp|Q9Y4X5|ARI1_HUMAN, sp|O95376|ARI2_HUMAN	tr|A0A2F0AXN0|A0A2F0AXN0_ESCRO
OG0001387	sp|O00273|DFFA_HUMAN, sp|Q96AQ7|CIDEC_HUMAN, sp|O60543|CIDEA_HUMAN	tr|A0A2F0B056|A0A2F0B056_ESCRO
OG0001388	sp|O43307|ARHG9_HUMAN	tr|A0A2F0BJ94|A0A2F0BJ94_ESCRO
OG0001388	sp|Q96N96|SPT13_HUMAN	tr|A0A2F0B460|A0A2F0B460_ESCRO
OG0001389	sp|Q96AA8|JKIP2_HUMAN, sp|Q5VZ66|JKIP3_HUMAN, sp|Q96N16|JKIP1_HUMAN	tr|A0A2F0B9J4|A0A2F0B9J4_ESCRO
OG0001390	sp|P54132|BLM_HUMAN, sp|Q14191|WRN_HUMAN, sp|P46063|RECQ1_HUMAN	tr|A0A2F0BGR5|A0A2F0BGR5_ESCRO
OG0001391	sp|P07196|NFL_HUMAN	tr|A0A2F0AUQ0|A0A2F0AUQ0_ESCRO
OG0001391	sp|P07197|NFM_HUMAN	tr|A0A2F0B5F1|A0A2F0B5F1_ESCRO
OG0001392	sp|P12643|BMP2_HUMAN	tr|A0A2F0B0W4|A0A2F0B0W4_ESCRO
OG0001392	sp|P12644|BMP4_HUMAN	tr|A0A2F0B526|A0A2F0B526_ESCRO
OG0001393	sp|Q0D2K0|NIPA4_HUMAN	tr|A0A2F0BHJ9|A0A2F0BHJ9_ESCRO
OG0001393	sp|Q6NVV3|NIPA3_HUMAN	tr|A0A2F0B5U5|A0A2F0B5U5_ESCRO
OG0001394	sp|O75928|PIAS2_HUMAN, sp|O75925|PIAS1_HUMAN, sp|Q9Y6X2|PIAS3_HUMAN	tr|A0A2F0B8T0|A0A2F0B8T0_ESCRO
OG0001395	sp|Q9P0L9|PK2L1_HUMAN, sp|Q9NZM6|PK2L2_HUMAN, sp|Q13563|PKD2_HUMAN	tr|A0A2F0BCP0|A0A2F0BCP0_ESCRO
OG0001396	sp|P07237|PDIA1_HUMAN	tr|A0A2F0B894|A0A2F0B894_ESCRO
OG0001396	sp|Q13087|PDIA2_HUMAN	tr|A0A2F0BGX5|A0A2F0BGX5_ESCRO
OG0001397	sp|Q9H0J9|PAR12_HUMAN, sp|Q7Z2W4|ZCCHV_HUMAN, sp|Q96H79|ZCCHL_HUMAN	tr|A0A2F0BGX8|A0A2F0BGX8_ESCRO
OG0001398	sp|Q9UP38|FZD1_HUMAN, sp|Q14332|FZD2_HUMAN, sp|O75084|FZD7_HUMAN	tr|A0A2F0AYI6|A0A2F0AYI6_ESCRO
OG0001399	sp|A0A1B0GVS7|MDFI2_HUMAN, sp|Q99750|MDFI_HUMAN, sp|Q9P1T7|MDFIC_HUMAN	tr|A0A2F0B050|A0A2F0B050_ESCRO
OG0001400	sp|O14813|PHX2A_HUMAN	tr|A0A2F0BG90|A0A2F0BG90_ESCRO
OG0001400	sp|Q99453|PHX2B_HUMAN	tr|A0A2F0B8Z7|A0A2F0B8Z7_ESCRO
OG0001401	sp|P0C7P4|UCRIL_HUMAN, sp|P47985|UCRI_HUMAN	tr|A0A2F0BAK5|A0A2F0BAK5_ESCRO, tr|A0A2F0BDI6|A0A2F0BDI6_ESCRO
OG0001402	sp|P17540|KCRS_HUMAN	tr|A0A2F0BCA2|A0A2F0BCA2_ESCRO
OG0001402	sp|P12532|KCRU_HUMAN	tr|A0A2F0BF76|A0A2F0BF76_ESCRO
OG0001403	sp|P51674|GPM6A_HUMAN, sp|Q13491|GPM6B_HUMAN, sp|P60201|MYPR_HUMAN	tr|A0A2F0BHR1|A0A2F0BHR1_ESCRO
OG0001404	sp|Q9NYF0|DACT1_HUMAN, sp|Q96B18|DACT3_HUMAN, sp|Q5SW24|DACT2_HUMAN	tr|A0A2F0BJD3|A0A2F0BJD3_ESCRO
OG0001405	sp|Q8N135|LGI4_HUMAN, sp|Q8N0V4|LGI2_HUMAN, sp|Q8N145|LGI3_HUMAN	tr|A0A2F0BKV4|A0A2F0BKV4_ESCRO
OG0001406	sp|Q9H427|KCNKF_HUMAN, sp|Q9NPC2|KCNK9_HUMAN, sp|O14649|KCNK3_HUMAN	tr|A0A2F0BLJ6|A0A2F0BLJ6_ESCRO
OG0001407	sp|Q96PX1|RN157_HUMAN	tr|A0A2F0BIE4|A0A2F0BIE4_ESCRO
OG0001407	sp|O60291|MGRN1_HUMAN	tr|A0A2F0B610|A0A2F0B610_ESCRO
OG0001408	sp|Q04771|ACVR1_HUMAN	tr|A0A2F0BCN3|A0A2F0BCN3_ESCRO
OG0001408	sp|P37023|ACVL1_HUMAN	tr|A0A2F0BCT8|A0A2F0BCT8_ESCRO
OG0001409	sp|P62917|RL8_HUMAN	tr|A0A2F0BKF1|A0A2F0BKF1_ESCRO, tr|A0A2F0BPV7|A0A2F0BPV7_ESCRO, tr|A0A2F0B4C8|A0A2F0B4C8_ESCRO
OG0001410	sp|Q00839|HNRPU_HUMAN	tr|A0A2F0BJX3|A0A2F0BJX3_ESCRO
OG0001410	sp|Q1KMD3|HNRL2_HUMAN	tr|A0A2F0BP32|A0A2F0BP32_ESCRO
OG0001411	sp|Q6ZMT1|STAC2_HUMAN	tr|A0A2F0B195|A0A2F0B195_ESCRO
OG0001411	sp|Q99469|STAC_HUMAN	tr|A0A2F0B3K8|A0A2F0B3K8_ESCRO
OG0001412	sp|P0C264|SBK3_HUMAN, sp|Q52WX2|SBK1_HUMAN, sp|P0C263|SBK2_HUMAN	tr|A0A2F0B2I9|A0A2F0B2I9_ESCRO
OG0001413	sp|Q9NUQ3|TXLNG_HUMAN, sp|Q9BZA5|TXNG2_HUMAN, sp|P40222|TXLNA_HUMAN	tr|A0A2F0B5J7|A0A2F0B5J7_ESCRO
OG0001414	sp|Q8IYB7|DI3L2_HUMAN, sp|Q9Y2L1|RRP44_HUMAN, sp|Q8TF46|DI3L1_HUMAN	tr|A0A2F0B5X1|A0A2F0B5X1_ESCRO
OG0001415	sp|Q13547|HDAC1_HUMAN, sp|Q92769|HDAC2_HUMAN, sp|Q9BY41|HDAC8_HUMAN	tr|A0A2F0B8G3|A0A2F0B8G3_ESCRO
OG0001416	sp|Q8TAA5|GRPE2_HUMAN	tr|A0A2F0B4H5|A0A2F0B4H5_ESCRO
OG0001416	sp|Q9HAV7|GRPE1_HUMAN	tr|A0A2F0BGL1|A0A2F0BGL1_ESCRO
OG0001417	sp|P08253|MMP2_HUMAN	tr|A0A2F0AWL9|A0A2F0AWL9_ESCRO
OG0001417	sp|P14780|MMP9_HUMAN	tr|A0A2F0BIG2|A0A2F0BIG2_ESCRO
OG0001418	sp|Q13614|MTMR2_HUMAN, sp|Q13496|MTM1_HUMAN, sp|Q13613|MTMR1_HUMAN	tr|A0A2F0B5Z5|A0A2F0B5Z5_ESCRO
OG0001419	sp|O43312|MTSS1_HUMAN	tr|A0A2F0BBZ0|A0A2F0BBZ0_ESCRO
OG0001419	sp|Q765P7|MTSS2_HUMAN	tr|A0A2F0B4B5|A0A2F0B4B5_ESCRO
OG0001420	sp|P18669|PGAM1_HUMAN, sp|Q8N0Y7|PGAM4_HUMAN, sp|P15259|PGAM2_HUMAN	tr|A0A2F0BHE4|A0A2F0BHE4_ESCRO
OG0001421	sp|P30939|5HT1F_HUMAN	tr|A0A2F0BMU8|A0A2F0BMU8_ESCRO
OG0001421	sp|P28566|5HT1E_HUMAN	tr|A0A2F0BMG4|A0A2F0BMG4_ESCRO
OG0001422	sp|Q9UIX4|KCNG1_HUMAN, sp|Q8TAE7|KCNG3_HUMAN, sp|Q9UJ96|KCNG2_HUMAN	tr|A0A2F0BN22|A0A2F0BN22_ESCRO
OG0001423	sp|O60755|GALR3_HUMAN, sp|O43603|GALR2_HUMAN, sp|Q969F8|KISSR_HUMAN	tr|A0A2F0AVD7|A0A2F0AVD7_ESCRO
OG0001424	sp|O43251|RFOX2_HUMAN, sp|Q9NWB1|RFOX1_HUMAN, sp|A6NFN3|RFOX3_HUMAN	tr|A0A2F0AVY3|A0A2F0AVY3_ESCRO
OG0001425	sp|Q96T37|RBM15_HUMAN, sp|Q96T58|MINT_HUMAN, sp|Q8NDT2|RB15B_HUMAN	tr|A0A2F0B0N3|A0A2F0B0N3_ESCRO
OG0001426	sp|P23246|SFPQ_HUMAN, sp|Q15233|NONO_HUMAN, sp|Q8WXF1|PSPC1_HUMAN	tr|A0A2F0B6H6|A0A2F0B6H6_ESCRO
OG0001427	sp|Q14651|PLSI_HUMAN, sp|P13797|PLST_HUMAN, sp|P13796|PLSL_HUMAN	tr|A0A2F0BDV3|A0A2F0BDV3_ESCRO
OG0001428	sp|A8K979|ERI2_HUMAN, sp|O43414|ERI3_HUMAN, sp|Q8IV48|ERI1_HUMAN	tr|A0A2F0BDZ6|A0A2F0BDZ6_ESCRO
OG0001429	sp|P21399|ACOHC_HUMAN	tr|A0A2F0B077|A0A2F0B077_ESCRO
OG0001429	sp|P48200|IREB2_HUMAN	tr|A0A2F0BHK4|A0A2F0BHK4_ESCRO
OG0001430	sp|O95365|ZBT7A_HUMAN, sp|A1YPR0|ZBT7C_HUMAN, sp|O15156|ZBT7B_HUMAN	tr|A0A2F0BCS5|A0A2F0BCS5_ESCRO
OG0001431	sp|Q9ULP0|NDRG4_HUMAN, sp|Q92597|NDRG1_HUMAN, sp|Q9UGV2|NDRG3_HUMAN	tr|A0A2F0AUY8|A0A2F0AUY8_ESCRO
OG0001432	sp|Q5H9I0|TFDP3_HUMAN, sp|Q14186|TFDP1_HUMAN, sp|Q14188|TFDP2_HUMAN	tr|A0A2F0B2Q4|A0A2F0B2Q4_ESCRO
OG0001433	sp|Q9H114|CSTL1_HUMAN, sp|Q9H112|CST11_HUMAN, sp|O60676|CST8_HUMAN	tr|A0A2F0B314|A0A2F0B314_ESCRO
OG0001434	sp|Q96P48|ARAP1_HUMAN, sp|Q8WZ64|ARAP2_HUMAN, sp|Q8WWN8|ARAP3_HUMAN	tr|A0A2F0B8V1|A0A2F0B8V1_ESCRO
OG0001435	sp|Q8TCX1|DC2L1_HUMAN, sp|Q9Y6G9|DC1L1_HUMAN, sp|O43237|DC1L2_HUMAN	tr|A0A2F0BJ34|A0A2F0BJ34_ESCRO
OG0001436	sp|Q86Z02|HIPK1_HUMAN	tr|A0A2F0B9N6|A0A2F0B9N6_ESCRO
OG0001436	sp|Q9H2X6|HIPK2_HUMAN	tr|A0A2F0BJL3|A0A2F0BJL3_ESCRO
OG0001437	sp|Q8N4L4|SPEM1_HUMAN, sp|A0A1B0GUW6|SPEM3_HUMAN, sp|Q0P670|SPEM2_HUMAN	tr|A0A2F0B0K5|A0A2F0B0K5_ESCRO
OG0001438	sp|Q76N89|HECW1_HUMAN	tr|A0A2F0BDP6|A0A2F0BDP6_ESCRO
OG0001438	sp|Q9P2P5|HECW2_HUMAN	tr|A0A2F0B1J8|A0A2F0B1J8_ESCRO
