Orthogroup	Homo_sapiens	Lynx_canadensis
OG0000234	sp|Q9NT68|TEN2_HUMAN	tr|A0A667FYJ6|A0A667FYJ6_LYNCA
OG0000234	sp|Q9UKZ4|TEN1_HUMAN	tr|A0A667I2D9|A0A667I2D9_LYNCA
OG0000234	sp|Q6N022|TEN4_HUMAN	tr|A0A667HYN4|A0A667HYN4_LYNCA
OG0000234	sp|Q9P273|TEN3_HUMAN	tr|A0A667G228|A0A667G228_LYNCA
OG0000235	sp|P18621|RL17_HUMAN	tr|A0A667GZ62|A0A667GZ62_LYNCA, tr|A0A667I7A1|A0A667I7A1_LYNCA, tr|A0A667IGJ2|A0A667IGJ2_LYNCA, tr|A0A667IRB7|A0A667IRB7_LYNCA, tr|A0A667I4W5|A0A667I4W5_LYNCA, tr|A0A667GTQ7|A0A667GTQ7_LYNCA, tr|A0A667FQM8|A0A667FQM8_LYNCA
OG0000236	sp|A0A0A6YYK1|TVA81_HUMAN, sp|A0A0A6YYJ7|TVA83_HUMAN	tr|A0A667FXF9|A0A667FXF9_LYNCA, tr|A0A667H3C7|A0A667H3C7_LYNCA, tr|A0A667FSR5|A0A667FSR5_LYNCA, tr|A0A667GBZ8|A0A667GBZ8_LYNCA, tr|A0A667H385|A0A667H385_LYNCA, tr|A0A667GF90|A0A667GF90_LYNCA
OG0000240	sp|A0PJE2|DHR12_HUMAN, sp|Q8N5I4|DHRSX_HUMAN	tr|A0A667GPG2|A0A667GPG2_LYNCA
OG0000240	sp|Q96NR8|RDH12_HUMAN	tr|A0A667FTR2|A0A667FTR2_LYNCA
OG0000240	sp|Q8TC12|RDH11_HUMAN	tr|A0A667H3B3|A0A667H3B3_LYNCA
OG0000242	sp|P20813|CP2B6_HUMAN	tr|A0A667I8W6|A0A667I8W6_LYNCA, tr|A0A667I5K4|A0A667I5K4_LYNCA, tr|A0A667I5F5|A0A667I5F5_LYNCA, tr|A0A667I895|A0A667I895_LYNCA, tr|A0A667H738|A0A667H738_LYNCA, tr|A0A667GJJ8|A0A667GJJ8_LYNCA
OG0000243	sp|Q9Y5P1|O51B2_HUMAN	tr|A0A667H6Z0|A0A667H6Z0_LYNCA
OG0000243	sp|Q9H340|O51B6_HUMAN	tr|A0A667GJ97|A0A667GJ97_LYNCA
OG0000243	sp|Q9H339|O51B5_HUMAN	tr|A0A667H3Z8|A0A667H3Z8_LYNCA
OG0000244	sp|Q99518|FMO2_HUMAN	tr|A0A667I1N5|A0A667I1N5_LYNCA
OG0000244	sp|O60774|FMO6_HUMAN	tr|A0A667HJ92|A0A667HJ92_LYNCA
OG0000244	sp|P31513|FMO3_HUMAN	tr|A0A667I3N8|A0A667I3N8_LYNCA
OG0000245	sp|P06733|ENOA_HUMAN	tr|A0A667G0K5|A0A667G0K5_LYNCA
OG0000245	sp|P13929|ENOB_HUMAN	tr|A0A667H7C8|A0A667H7C8_LYNCA
OG0000245	sp|P09104|ENOG_HUMAN	tr|A0A667FW82|A0A667FW82_LYNCA
OG0000246	sp|A6NLU0|RFPLA_HUMAN, sp|F8VTS6|RFAL1_HUMAN, sp|O75678|RFPL2_HUMAN, sp|O75677|RFPL1_HUMAN, sp|O75679|RFPL3_HUMAN, sp|Q6ZWI9|RFPLB_HUMAN	tr|A0A667HME5|A0A667HME5_LYNCA
OG0000247	sp|Q8NGU2|OR9A4_HUMAN	tr|A0A667H5L3|A0A667H5L3_LYNCA
OG0000247	sp|Q8NGU1|OR9A1_HUMAN	tr|A0A667IG72|A0A667IG72_LYNCA
OG0000247	sp|Q8NGT5|OR9A2_HUMAN	tr|A0A667HTK7|A0A667HTK7_LYNCA, tr|A0A667HS33|A0A667HS33_LYNCA
OG0000248	sp|Q13507|TRPC3_HUMAN	tr|A0A667GZW3|A0A667GZW3_LYNCA
OG0000248	sp|Q9HCX4|TRPC7_HUMAN	tr|A0A667FZ93|A0A667FZ93_LYNCA
OG0000248	sp|Q9Y210|TRPC6_HUMAN	tr|A0A667GG24|A0A667GG24_LYNCA, tr|A0A667H5X8|A0A667H5X8_LYNCA
OG0000250	sp|Q86W10|CP4Z1_HUMAN, sp|Q8N1L4|CP4Z2_HUMAN, sp|Q5TCH4|CP4AM_HUMAN, sp|Q02928|CP4AB_HUMAN	tr|A0A667HUF1|A0A667HUF1_LYNCA, tr|A0A667IJT9|A0A667IJT9_LYNCA, tr|A0A667IJQ4|A0A667IJQ4_LYNCA
OG0000251	sp|Q6K0P9|IFIX_HUMAN, sp|Q16666|IF16_HUMAN, sp|P41218|MNDA_HUMAN	tr|A0A667I3Y7|A0A667I3Y7_LYNCA
OG0000251	sp|O14862|AIM2_HUMAN, sp|W6CW81|PYDC5_HUMAN	tr|A0A667IQB7|A0A667IQB7_LYNCA
OG0000252	sp|Q9UBU9|NXF1_HUMAN	tr|A0A667IHS4|A0A667IHS4_LYNCA
OG0000252	sp|Q9H4D5|NXF3_HUMAN, sp|Q9GZY0|NXF2_HUMAN, sp|Q9H1B4|NXF5_HUMAN	tr|A0A667I783|A0A667I783_LYNCA, tr|A0A667IVJ9|A0A667IVJ9_LYNCA
OG0000254	sp|Q15366|PCBP2_HUMAN	tr|A0A667GQ86|A0A667GQ86_LYNCA
OG0000254	sp|Q15365|PCBP1_HUMAN	tr|A0A667G5L2|A0A667G5L2_LYNCA
OG0000254	sp|P57721|PCBP3_HUMAN	tr|A0A667HCQ6|A0A667HCQ6_LYNCA, tr|A0A667HS26|A0A667HS26_LYNCA
OG0000255	sp|P20718|GRAH_HUMAN, sp|P10144|GRAB_HUMAN	tr|A0A667J1U0|A0A667J1U0_LYNCA, tr|A0A667IES9|A0A667IES9_LYNCA
OG0000255	sp|P08311|CATG_HUMAN	tr|A0A667I294|A0A667I294_LYNCA, tr|A0A667HZT8|A0A667HZT8_LYNCA
OG0000256	sp|Q5VZR2|NTM2G_HUMAN, sp|A1L443|NTM2F_HUMAN, sp|Q5VT03|NTM2D_HUMAN, sp|A6NNL0|NTM2B_HUMAN, sp|B1AL46|NTM2E_HUMAN, sp|Q8IVF1|NTM2A_HUMAN	tr|A0A667HWR5|A0A667HWR5_LYNCA
OG0000257	sp|Q9UDX3|S14L4_HUMAN	tr|A0A667H039|A0A667H039_LYNCA
OG0000257	sp|O76054|S14L2_HUMAN	tr|A0A667IAZ7|A0A667IAZ7_LYNCA
OG0000257	sp|Q9UDX4|S14L3_HUMAN	tr|A0A667H369|A0A667H369_LYNCA
OG0000259	sp|P10588|NR2F6_HUMAN	tr|A0A667FVH0|A0A667FVH0_LYNCA
OG0000259	sp|P10589|COT1_HUMAN	tr|A0A667FPA3|A0A667FPA3_LYNCA
OG0000259	sp|P24468|COT2_HUMAN	tr|A0A667I959|A0A667I959_LYNCA, tr|A0A667GI77|A0A667GI77_LYNCA
OG0000260	sp|P31644|GBRA5_HUMAN	tr|A0A667GND2|A0A667GND2_LYNCA
OG0000260	sp|P47869|GBRA2_HUMAN	tr|A0A667GJ24|A0A667GJ24_LYNCA
OG0000260	sp|P14867|GBRA1_HUMAN	tr|A0A667GGM8|A0A667GGM8_LYNCA
OG0000261	sp|Q9UL19|PLAT4_HUMAN	tr|A0A667J1U3|A0A667J1U3_LYNCA
OG0000261	sp|Q9HDD0|PLAT1_HUMAN, sp|P53816|PLAT3_HUMAN, sp|Q9NWW9|PLAT2_HUMAN	tr|A0A667I1A1|A0A667I1A1_LYNCA, tr|A0A667IKD7|A0A667IKD7_LYNCA
OG0000262	sp|Q99928|GBRG3_HUMAN	tr|A0A667HB79|A0A667HB79_LYNCA
OG0000262	sp|Q8N1C3|GBRG1_HUMAN	tr|A0A667H805|A0A667H805_LYNCA
OG0000262	sp|P18507|GBRG2_HUMAN	tr|A0A667GGH0|A0A667GGH0_LYNCA
OG0000264	sp|P09914|IFIT1_HUMAN	tr|A0A667IKF0|A0A667IKF0_LYNCA
OG0000264	sp|Q13325|IFIT5_HUMAN	tr|A0A667HE88|A0A667HE88_LYNCA
OG0000264	sp|O14879|IFIT3_HUMAN	tr|A0A667IFV9|A0A667IFV9_LYNCA
OG0000266	sp|P47870|GBRB2_HUMAN	tr|A0A667H582|A0A667H582_LYNCA
OG0000266	sp|P28472|GBRB3_HUMAN	tr|A0A667GT16|A0A667GT16_LYNCA
OG0000266	sp|Q9UN88|GBRT_HUMAN, sp|P18505|GBRB1_HUMAN	tr|A0A667GGS0|A0A667GGS0_LYNCA
OG0000267	sp|Q6NUI1|C144L_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|A2RUR9|C144A_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q9UPS8|ANR26_HUMAN	tr|A0A667GN54|A0A667GN54_LYNCA
OG0000268	sp|Q99895|CTRC_HUMAN	tr|A0A667I9R1|A0A667I9R1_LYNCA
OG0000268	sp|P08217|CEL2A_HUMAN, sp|P08218|CEL2B_HUMAN, sp|P09093|CEL3A_HUMAN, sp|P08861|CEL3B_HUMAN	tr|A0A667H2I7|A0A667H2I7_LYNCA
OG0000269	sp|P40425|PBX2_HUMAN	tr|A0A667G4X7|A0A667G4X7_LYNCA
OG0000269	sp|P40426|PBX3_HUMAN	tr|A0A667IB78|A0A667IB78_LYNCA
OG0000269	sp|P40424|PBX1_HUMAN	tr|A0A667I809|A0A667I809_LYNCA
OG0000270	sp|P51689|ARSD_HUMAN	tr|A0A667HJT1|A0A667HJT1_LYNCA
OG0000270	sp|Q5FYA8|ARSH_HUMAN	tr|A0A667I5B3|A0A667I5B3_LYNCA
OG0000270	sp|P54793|ARSF_HUMAN	tr|A0A667I2K7|A0A667I2K7_LYNCA
OG0000271	sp|P61204|ARF3_HUMAN	tr|A0A667HUM3|A0A667HUM3_LYNCA
OG0000271	sp|P84077|ARF1_HUMAN	tr|A0A667HPX8|A0A667HPX8_LYNCA, tr|A0A667FZZ0|A0A667FZZ0_LYNCA, tr|A0A667HLT1|A0A667HLT1_LYNCA, tr|A0A667H9F2|A0A667H9F2_LYNCA
OG0000272	sp|O14990|IPP2C_HUMAN	tr|A0A667IPU3|A0A667IPU3_LYNCA, tr|A0A667IJS9|A0A667IJS9_LYNCA
OG0000272	sp|Q96PQ5|IPP2L_HUMAN, sp|P41236|IPP2_HUMAN, sp|Q6NXS1|IPP2B_HUMAN	tr|A0A667GV38|A0A667GV38_LYNCA
OG0000273	sp|Q9C030|TRIM6_HUMAN	tr|A0A667GQ21|A0A667GQ21_LYNCA
OG0000273	sp|Q8IYM9|TRI22_HUMAN, sp|Q9BYJ4|TRI34_HUMAN, sp|Q9C035|TRIM5_HUMAN	tr|A0A667GKC7|A0A667GKC7_LYNCA, tr|A0A667H5G7|A0A667H5G7_LYNCA
OG0000274	sp|Q6IF99|O10K2_HUMAN, sp|Q8NGX5|O10K1_HUMAN, sp|Q8NH08|O10AC_HUMAN, sp|Q8NGX6|O10R2_HUMAN, sp|Q8NGX3|O10T2_HUMAN	tr|A0A667I6E0|A0A667I6E0_LYNCA, tr|A0A667I6I8|A0A667I6I8_LYNCA
OG0000275	sp|Q9UJU3|ZN112_HUMAN	tr|A0A667HI25|A0A667HI25_LYNCA
OG0000275	sp|Q14590|ZN235_HUMAN, sp|A6NK53|ZN233_HUMAN, sp|Q9NYT6|ZN226_HUMAN, sp|Q86WZ6|ZN227_HUMAN	tr|A0A667HGB8|A0A667HGB8_LYNCA
OG0000276	sp|P0C628|O5AC1_HUMAN	tr|A0A667HQM2|A0A667HQM2_LYNCA
OG0000276	sp|Q9NZP5|O5AC2_HUMAN	tr|A0A667HQI5|A0A667HQI5_LYNCA, tr|A0A667HQA0|A0A667HQA0_LYNCA, tr|A0A667IUA5|A0A667IUA5_LYNCA, tr|A0A667I9U9|A0A667I9U9_LYNCA
OG0000277	sp|A0A075B6T8|TVA91_HUMAN	tr|A0A667GE83|A0A667GE83_LYNCA
OG0000277	sp|A0A087WT02|TVA92_HUMAN	tr|A0A667FT09|A0A667FT09_LYNCA, tr|A0A667GEA2|A0A667GEA2_LYNCA, tr|A0A667GEB0|A0A667GEB0_LYNCA, tr|A0A667FT84|A0A667FT84_LYNCA
OG0000279	sp|Q9NZI7|UBIP1_HUMAN	tr|A0A667I0N5|A0A667I0N5_LYNCA
OG0000279	sp|Q12800|TFCP2_HUMAN	tr|A0A667H4U6|A0A667H4U6_LYNCA
OG0000279	sp|Q9NZI6|TF2L1_HUMAN	tr|A0A667IQW0|A0A667IQW0_LYNCA, tr|A0A667IPI2|A0A667IPI2_LYNCA
OG0000280	sp|Q9H1V8|S6A17_HUMAN	tr|A0A667HDP7|A0A667HDP7_LYNCA
OG0000280	sp|Q9H2J7|S6A15_HUMAN	tr|A0A667G542|A0A667G542_LYNCA
OG0000280	sp|Q9GZN6|S6A16_HUMAN	tr|A0A667ICK3|A0A667ICK3_LYNCA, tr|A0A667HWE9|A0A667HWE9_LYNCA
OG0000281	sp|Q8IUX4|ABC3F_HUMAN, sp|Q96AK3|ABC3D_HUMAN, sp|Q9NRW3|ABC3C_HUMAN, sp|Q9HC16|ABC3G_HUMAN, sp|P31941|ABC3A_HUMAN, sp|Q9UH17|ABC3B_HUMAN	tr|A0A667G4R2|A0A667G4R2_LYNCA
OG0000282	sp|Q00536|CDK16_HUMAN	tr|A0A667HQ83|A0A667HQ83_LYNCA, tr|A0A667IG26|A0A667IG26_LYNCA
OG0000282	sp|Q07002|CDK18_HUMAN	tr|A0A667HD33|A0A667HD33_LYNCA
OG0000282	sp|Q00537|CDK17_HUMAN	tr|A0A667FW88|A0A667FW88_LYNCA
OG0000283	sp|P26232|CTNA2_HUMAN	tr|A0A667GSL4|A0A667GSL4_LYNCA
OG0000283	sp|Q9UI47|CTNA3_HUMAN	tr|A0A667IKH7|A0A667IKH7_LYNCA
OG0000283	sp|P35221|CTNA1_HUMAN	tr|A0A667GM85|A0A667GM85_LYNCA, tr|A0A667GM73|A0A667GM73_LYNCA
OG0000284	sp|Q13231|CHIT1_HUMAN	tr|A0A667IFL5|A0A667IFL5_LYNCA
OG0000284	sp|Q9BZP6|CHIA_HUMAN	tr|A0A667I347|A0A667I347_LYNCA
OG0000284	sp|Q15782|CH3L2_HUMAN, sp|Q12889|OVGP1_HUMAN	tr|A0A667I442|A0A667I442_LYNCA
OG0000285	sp|P52736|ZN133_HUMAN	tr|A0A667G246|A0A667G246_LYNCA
OG0000285	sp|Q86UQ0|ZN589_HUMAN, sp|Q6P1L6|ZN343_HUMAN, sp|Q9Y3M9|ZN337_HUMAN, sp|P10072|ZN875_HUMAN	tr|A0A667I1A4|A0A667I1A4_LYNCA
OG0000286	sp|O75311|GLRA3_HUMAN	tr|A0A667HAD6|A0A667HAD6_LYNCA
OG0000286	sp|P23415|GLRA1_HUMAN	tr|A0A667HBI7|A0A667HBI7_LYNCA
OG0000286	sp|P23416|GLRA2_HUMAN	tr|A0A667IX07|A0A667IX07_LYNCA, tr|A0A667ID51|A0A667ID51_LYNCA
OG0000287	sp|P51814|ZNF41_HUMAN	tr|A0A667I7T2|A0A667I7T2_LYNCA
OG0000287	sp|P51508|ZNF81_HUMAN	tr|A0A667HSU7|A0A667HSU7_LYNCA
OG0000287	sp|Q9Y473|ZN175_HUMAN	tr|A0A667IC07|A0A667IC07_LYNCA
OG0000288	sp|Q03013|GSTM4_HUMAN	tr|A0A667H5S2|A0A667H5S2_LYNCA
OG0000288	sp|P46439|GSTM5_HUMAN, sp|P09488|GSTM1_HUMAN, sp|P28161|GSTM2_HUMAN, sp|P21266|GSTM3_HUMAN	tr|A0A667HQF2|A0A667HQF2_LYNCA
OG0000289	sp|Q2M2H8|MGAL_HUMAN	tr|A0A667HSC0|A0A667HSC0_LYNCA
OG0000289	sp|P14410|SUIS_HUMAN	tr|A0A667H1N6|A0A667H1N6_LYNCA
OG0000289	sp|O43451|MGA_HUMAN	tr|A0A667IGG8|A0A667IGG8_LYNCA
OG0000290	sp|P52789|HXK2_HUMAN	tr|A0A667HBA2|A0A667HBA2_LYNCA
OG0000290	sp|P52790|HXK3_HUMAN	tr|A0A667GPB4|A0A667GPB4_LYNCA
OG0000290	sp|Q2TB90|HKDC1_HUMAN, sp|P19367|HXK1_HUMAN	tr|A0A667I699|A0A667I699_LYNCA
OG0000292	sp|Q9HCM2|PLXA4_HUMAN	tr|A0A667H153|A0A667H153_LYNCA
OG0000292	sp|O75051|PLXA2_HUMAN	tr|A0A667I322|A0A667I322_LYNCA
OG0000292	sp|P51805|PLXA3_HUMAN, sp|Q9UIW2|PLXA1_HUMAN	tr|A0A667FHQ4|A0A667FHQ4_LYNCA
OG0000293	sp|P51668|UB2D1_HUMAN	tr|A0A667H9Y1|A0A667H9Y1_LYNCA
OG0000293	sp|P61077|UB2D3_HUMAN	tr|A0A667GZZ0|A0A667GZZ0_LYNCA
OG0000293	sp|P62837|UB2D2_HUMAN	tr|A0A667G1D9|A0A667G1D9_LYNCA
OG0000294	sp|Q92688|AN32B_HUMAN	tr|A0A667HEL4|A0A667HEL4_LYNCA
OG0000294	sp|P39687|AN32A_HUMAN	tr|A0A667FV86|A0A667FV86_LYNCA
OG0000294	sp|O95626|AN32D_HUMAN, sp|O43423|AN32C_HUMAN	tr|A0A667HKP7|A0A667HKP7_LYNCA
OG0000295	sp|A6NGU5|GGT3_HUMAN, sp|Q14390|GGTL2_HUMAN, sp|Q9BX51|GGTL1_HUMAN, sp|B5MD39|GGTL3_HUMAN, sp|P36268|GGT2_HUMAN, sp|P19440|GGT1_HUMAN	tr|A0A667H9F9|A0A667H9F9_LYNCA
OG0000296	sp|Q8NGY3|OR6K3_HUMAN	tr|A0A667I251|A0A667I251_LYNCA
OG0000296	sp|Q8NGY2|OR6K2_HUMAN	tr|A0A667IQP3|A0A667IQP3_LYNCA
OG0000296	sp|Q8NGW6|OR6K6_HUMAN	tr|A0A667I4R3|A0A667I4R3_LYNCA
OG0000297	sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A0B4J280|TVA40_HUMAN	tr|A0A667GEX8|A0A667GEX8_LYNCA
OG0000298	sp|Q86VQ3|TXND2_HUMAN	tr|A0A667H1F1|A0A667H1F1_LYNCA
OG0000298	sp|P10599|THIO_HUMAN	tr|A0A667H3Q1|A0A667H3Q1_LYNCA, tr|A0A667HC06|A0A667HC06_LYNCA, tr|A0A667HMD3|A0A667HMD3_LYNCA, tr|A0A667FPN2|A0A667FPN2_LYNCA
OG0000299	sp|Q70Z44|5HT3D_HUMAN	tr|A0A667GWX3|A0A667GWX3_LYNCA
OG0000299	sp|Q8WXA8|5HT3C_HUMAN	tr|A0A667GSQ4|A0A667GSQ4_LYNCA, tr|A0A667GWY9|A0A667GWY9_LYNCA
OG0000299	sp|A5X5Y0|5HT3E_HUMAN	tr|A0A667GSV1|A0A667GSV1_LYNCA
OG0000300	sp|Q9Y4C0|NRX3A_HUMAN	tr|A0A667GBN7|A0A667GBN7_LYNCA, tr|A0A667H4C6|A0A667H4C6_LYNCA
OG0000300	sp|Q9ULB1|NRX1A_HUMAN	tr|A0A667FSQ2|A0A667FSQ2_LYNCA
OG0000300	sp|Q9P2S2|NRX2A_HUMAN	tr|A0A667GRQ9|A0A667GRQ9_LYNCA
OG0000301	sp|E9PAV3|NACAM_HUMAN	tr|A0A667INQ8|A0A667INQ8_LYNCA, tr|A0A667IBZ1|A0A667IBZ1_LYNCA
OG0000301	sp|Q9BZK3|NACP4_HUMAN, sp|O15069|NACAD_HUMAN, sp|Q9H009|NACA2_HUMAN	tr|A0A667G090|A0A667G090_LYNCA
OG0000302	sp|P14678|RSMB_HUMAN	tr|A0A667HVU5|A0A667HVU5_LYNCA
OG0000302	sp|Q9BRA0|LSMD1_HUMAN	tr|A0A667HGI7|A0A667HGI7_LYNCA, tr|A0A667II49|A0A667II49_LYNCA
OG0000302	sp|P63162|RSMN_HUMAN	tr|A0A667GQL5|A0A667GQL5_LYNCA
OG0000303	sp|P10114|RAP2A_HUMAN	tr|A0A667FFD0|A0A667FFD0_LYNCA
OG0000303	sp|P61225|RAP2B_HUMAN	tr|A0A667HWH3|A0A667HWH3_LYNCA
OG0000303	sp|Q9Y3L5|RAP2C_HUMAN	tr|A0A667FPL5|A0A667FPL5_LYNCA, tr|A0A667HQ79|A0A667HQ79_LYNCA
OG0000304	sp|P34982|OR1D2_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN	tr|A0A667I4Z8|A0A667I4Z8_LYNCA, tr|A0A667HF75|A0A667HF75_LYNCA, tr|A0A667HKE8|A0A667HKE8_LYNCA, tr|A0A667GT75|A0A667GT75_LYNCA
OG0000305	sp|P07737|PROF1_HUMAN, sp|P35080|PROF2_HUMAN	tr|A0A667H4N7|A0A667H4N7_LYNCA, tr|A0A667H818|A0A667H818_LYNCA, tr|A0A667FQ37|A0A667FQ37_LYNCA, tr|A0A667GPS3|A0A667GPS3_LYNCA, tr|A0A667HFQ4|A0A667HFQ4_LYNCA
OG0000306	sp|P11908|PRPS2_HUMAN	tr|A0A667HS24|A0A667HS24_LYNCA
OG0000306	sp|P60891|PRPS1_HUMAN	tr|A0A667IHX0|A0A667IHX0_LYNCA
OG0000306	sp|P21108|PRPS3_HUMAN	tr|A0A667G8V8|A0A667G8V8_LYNCA
OG0000307	sp|Q8NH19|O10AG_HUMAN	tr|A0A667GXV8|A0A667GXV8_LYNCA, tr|A0A667HPB9|A0A667HPB9_LYNCA, tr|A0A667HR25|A0A667HR25_LYNCA, tr|A0A667GW90|A0A667GW90_LYNCA, tr|A0A667HMI5|A0A667HMI5_LYNCA, tr|A0A667GW19|A0A667GW19_LYNCA
OG0000308	sp|Q5JT25|RAB41_HUMAN	tr|A0A667IGA1|A0A667IGA1_LYNCA
OG0000308	sp|Q9NRW1|RAB6B_HUMAN, sp|Q53S08|RAB6D_HUMAN, sp|Q9H0N0|RAB6C_HUMAN, sp|P20340|RAB6A_HUMAN	tr|A0A667HHY4|A0A667HHY4_LYNCA
OG0000309	sp|P22352|GPX3_HUMAN	tr|A0A667GMP6|A0A667GMP6_LYNCA
OG0000309	sp|O75715|GPX5_HUMAN	tr|A0A667GXD2|A0A667GXD2_LYNCA
OG0000309	tr|A3KN74|A3KN74_HUMAN, sp|P59796|GPX6_HUMAN	tr|A0A667G9S1|A0A667G9S1_LYNCA
OG0000310	sp|A8K4G0|CLM7_HUMAN	tr|A0A667IK37|A0A667IK37_LYNCA
OG0000310	sp|Q6UXZ3|CLM5_HUMAN	tr|A0A667IP85|A0A667IP85_LYNCA, tr|A0A667I7U4|A0A667I7U4_LYNCA, tr|A0A667IK55|A0A667IK55_LYNCA, tr|A0A667J509|A0A667J509_LYNCA
OG0000311	sp|P62753|RS6_HUMAN	tr|A0A667J301|A0A667J301_LYNCA, tr|A0A667HE27|A0A667HE27_LYNCA, tr|A0A667HF35|A0A667HF35_LYNCA, tr|A0A667HG16|A0A667HG16_LYNCA, tr|A0A667FZA7|A0A667FZA7_LYNCA, tr|A0A667J2A2|A0A667J2A2_LYNCA
OG0000312	sp|Q9Y5Q0|FADS3_HUMAN	tr|A0A667IV09|A0A667IV09_LYNCA
OG0000312	sp|O95864|FADS2_HUMAN	tr|A0A667HQU3|A0A667HQU3_LYNCA
OG0000312	sp|A8MWK0|FS2P1_HUMAN	tr|A0A667I0B2|A0A667I0B2_LYNCA, tr|A0A667HIE8|A0A667HIE8_LYNCA
OG0000313	sp|P56134|ATPK_HUMAN	tr|A0A667II32|A0A667II32_LYNCA, tr|A0A667FX43|A0A667FX43_LYNCA, tr|A0A667I1N6|A0A667I1N6_LYNCA, tr|A0A667GDZ2|A0A667GDZ2_LYNCA, tr|A0A667GQ00|A0A667GQ00_LYNCA, tr|A0A667G271|A0A667G271_LYNCA
OG0000314	sp|Q8NGW1|OR6B3_HUMAN, sp|Q6IFH4|OR6B2_HUMAN	tr|A0A667HCY2|A0A667HCY2_LYNCA, tr|A0A667GRJ1|A0A667GRJ1_LYNCA, tr|A0A667IKL0|A0A667IKL0_LYNCA, tr|A0A667IAJ0|A0A667IAJ0_LYNCA, tr|A0A667IAK5|A0A667IAK5_LYNCA
OG0000315	sp|Q8NH18|OR5J2_HUMAN	tr|A0A667GYC5|A0A667GYC5_LYNCA
OG0000315	sp|P0C626|OR5G3_HUMAN	tr|A0A667HHB7|A0A667HHB7_LYNCA, tr|A0A667HFF5|A0A667HFF5_LYNCA, tr|A0A667HZR5|A0A667HZR5_LYNCA, tr|A0A667HFW3|A0A667HFW3_LYNCA
OG0000316	sp|Q8ND71|GIMA8_HUMAN	tr|A0A667FLC4|A0A667FLC4_LYNCA
OG0000316	sp|Q8NHV1|GIMA7_HUMAN	tr|A0A667GWM0|A0A667GWM0_LYNCA, tr|A0A667I1P8|A0A667I1P8_LYNCA, tr|A0A667G5W5|A0A667G5W5_LYNCA, tr|A0A667G6P2|A0A667G6P2_LYNCA
OG0000324	sp|P33947|ERD22_HUMAN	tr|A0A667IXG0|A0A667IXG0_LYNCA
OG0000324	sp|P24390|ERD21_HUMAN	tr|A0A667HLQ6|A0A667HLQ6_LYNCA
OG0000324	sp|O43731|ERD23_HUMAN	tr|A0A667GN53|A0A667GN53_LYNCA
OG0000325	sp|Q71UI9|H2AV_HUMAN	tr|A0A667FXA5|A0A667FXA5_LYNCA
OG0000325	sp|P0C0S5|H2AZ_HUMAN	tr|A0A667GLK0|A0A667GLK0_LYNCA, tr|A0A667I653|A0A667I653_LYNCA, tr|A0A667GE59|A0A667GE59_LYNCA
OG0000326	sp|Q92904|DAZL_HUMAN, sp|Q9NR90|DAZ3_HUMAN, sp|Q13117|DAZ2_HUMAN, sp|Q86SG3|DAZ4_HUMAN, sp|Q9NQZ3|DAZ1_HUMAN	tr|A0A667GTK1|A0A667GTK1_LYNCA
OG0000327	sp|Q9H7D0|DOCK5_HUMAN	tr|A0A667FMN4|A0A667FMN4_LYNCA
OG0000327	sp|Q14185|DOCK1_HUMAN	tr|A0A667GT52|A0A667GT52_LYNCA
OG0000327	sp|Q92608|DOCK2_HUMAN	tr|A0A667GYQ0|A0A667GYQ0_LYNCA
OG0000328	sp|Q6IB77|GLYAT_HUMAN	tr|A0A667HPY9|A0A667HPY9_LYNCA
OG0000328	sp|A0A0U1RQE8|GLYLB_HUMAN, sp|Q969I3|GLYL1_HUMAN, sp|Q8WU03|GLYL2_HUMAN	tr|A0A667HQ51|A0A667HQ51_LYNCA
OG0000329	sp|Q9BWG4|SSBP4_HUMAN	tr|A0A667HEU9|A0A667HEU9_LYNCA
OG0000329	sp|Q9BWW4|SSBP3_HUMAN	tr|A0A667IPI8|A0A667IPI8_LYNCA
OG0000329	sp|P81877|SSBP2_HUMAN	tr|A0A667FPN4|A0A667FPN4_LYNCA
OG0000330	sp|Q9P241|AT10D_HUMAN	tr|A0A667H7K3|A0A667H7K3_LYNCA
OG0000330	sp|O60312|AT10A_HUMAN	tr|A0A667H7Z8|A0A667H7Z8_LYNCA
OG0000330	sp|O94823|AT10B_HUMAN	tr|A0A667FVN9|A0A667FVN9_LYNCA
OG0000331	sp|Q9NYC9|DYH9_HUMAN	tr|A0A667HV87|A0A667HV87_LYNCA
OG0000331	sp|Q96DT5|DYH11_HUMAN	tr|A0A667GY53|A0A667GY53_LYNCA
OG0000331	sp|Q9UFH2|DYH17_HUMAN	tr|A0A667HHJ3|A0A667HHJ3_LYNCA
OG0000332	sp|Q9UI42|CBPA4_HUMAN	tr|A0A667GF14|A0A667GF14_LYNCA
