Orthogroup	Homo_sapiens	Mus_spicilegus
OG0001848	sp|Q96HA4|CA159_HUMAN	tr|A0A8C6HBB1|A0A8C6HBB1_MUSSI, tr|A0A8C6IH44|A0A8C6IH44_MUSSI
OG0001849	sp|Q96RE7|NACC1_HUMAN	tr|A0A8C6H7S2|A0A8C6H7S2_MUSSI, tr|A0A8C6GQ98|A0A8C6GQ98_MUSSI
OG0001850	sp|O43193|MTLR_HUMAN, sp|Q92847|GHSR_HUMAN	tr|A0A8C6HUE1|A0A8C6HUE1_MUSSI
OG0001851	sp|P43353|AL3B1_HUMAN, sp|P48448|AL3B2_HUMAN	tr|A0A8C6H2M3|A0A8C6H2M3_MUSSI
OG0001852	sp|P13928|ANXA8_HUMAN, sp|Q5VT79|AXA81_HUMAN	tr|A0A8C6H4I6|A0A8C6H4I6_MUSSI
OG0001853	sp|Q7Z602|GP141_HUMAN	tr|A0A8C6HHA7|A0A8C6HHA7_MUSSI, tr|A0A8C6HJE9|A0A8C6HJE9_MUSSI
OG0001854	sp|Q86WT1|TT30A_HUMAN, sp|Q8N4P2|TT30B_HUMAN	tr|A0A8C6IEI0|A0A8C6IEI0_MUSSI
OG0001855	sp|Q9H6K5|PRR36_HUMAN, sp|Q5XKL5|BTBD8_HUMAN	tr|A0A8C6HI22|A0A8C6HI22_MUSSI
OG0001856	sp|Q9NYV7|T2R16_HUMAN	tr|A0A8C6MWR4|A0A8C6MWR4_MUSSI, tr|A0A8C6GWK0|A0A8C6GWK0_MUSSI
OG0001858	sp|O14796|SH21B_HUMAN	tr|A0A8C6MV01|A0A8C6MV01_MUSSI, tr|A0A8C6H345|A0A8C6H345_MUSSI
OG0001859	sp|P02489|CRYAA_HUMAN, tr|A0A096LPJ9|A0A096LPJ9_HUMAN	tr|A0A8C6H1E3|A0A8C6H1E3_MUSSI
OG0001860	sp|Q9NRH3|TBG2_HUMAN, sp|P23258|TBG1_HUMAN	tr|A0A8C6GII0|A0A8C6GII0_MUSSI
OG0001861	sp|P37837|TALDO_HUMAN	tr|A0A8C6I8D3|A0A8C6I8D3_MUSSI, tr|A0A8C6HTW0|A0A8C6HTW0_MUSSI
OG0001862	sp|Q8WW43|APH1B_HUMAN	tr|A0A8C6HTU4|A0A8C6HTU4_MUSSI, tr|A0A8C6N0D1|A0A8C6N0D1_MUSSI
OG0001863	sp|Q9BWD3|RTL8A_HUMAN, sp|Q17RB0|RTL8B_HUMAN	tr|A0A8C6G4F0|A0A8C6G4F0_MUSSI
OG0001864	sp|Q96HB5|CC120_HUMAN, sp|Q9Y2L6|FRM4B_HUMAN	tr|A0A8C6GH27|A0A8C6GH27_MUSSI
OG0001865	sp|P01876|IGHA1_HUMAN, sp|P01877|IGHA2_HUMAN	tr|A0A8C6MR51|A0A8C6MR51_MUSSI
OG0001866	sp|Q14657|LAGE3_HUMAN	tr|A0A8C6GNL9|A0A8C6GNL9_MUSSI, tr|A0A8C6HRG0|A0A8C6HRG0_MUSSI
OG0001867	sp|Q6PI47|KCD18_HUMAN	tr|A0A8C6HXW6|A0A8C6HXW6_MUSSI, tr|A0A8C6G8R4|A0A8C6G8R4_MUSSI
OG0001868	sp|Q659C4|LAR1B_HUMAN, sp|Q6PKG0|LARP1_HUMAN	tr|A0A8C6GE81|A0A8C6GE81_MUSSI
OG0001869	sp|Q8N9H8|MUT7_HUMAN, sp|Q9NVH0|EXD2_HUMAN	tr|A0A8C6HA10|A0A8C6HA10_MUSSI
OG0001870	sp|Q96HE9|PRR11_HUMAN	tr|A0A8C6GQC7|A0A8C6GQC7_MUSSI, tr|A0A8C6GRJ1|A0A8C6GRJ1_MUSSI
OG0001871	sp|Q9BXA7|TSSK1_HUMAN, sp|Q96PF2|TSSK2_HUMAN	tr|A0A8C6MZ87|A0A8C6MZ87_MUSSI
OG0001872	sp|Q9BYG3|MK67I_HUMAN	tr|A0A8C6HBH0|A0A8C6HBH0_MUSSI, tr|A0A8C6HXI0|A0A8C6HXI0_MUSSI
OG0001873	sp|Q9P2J5|SYLC_HUMAN	tr|A0A8C6GNY1|A0A8C6GNY1_MUSSI, tr|A0A8C6I1J9|A0A8C6I1J9_MUSSI
OG0001874	sp|Q13573|SNW1_HUMAN	tr|A0A8C6H2W8|A0A8C6H2W8_MUSSI, tr|A0A8C6MZZ5|A0A8C6MZZ5_MUSSI
OG0001875	sp|Q5EE01|CENPW_HUMAN	tr|A0A8C6N4W1|A0A8C6N4W1_MUSSI, tr|A0A8C6MNM7|A0A8C6MNM7_MUSSI
OG0001876	sp|Q6JQN1|ACD10_HUMAN	tr|A0A8C6GWY0|A0A8C6GWY0_MUSSI, tr|A0A8C6GY28|A0A8C6GY28_MUSSI
OG0001877	sp|Q6PIY7|GLD2_HUMAN	tr|A0A8C6H1A2|A0A8C6H1A2_MUSSI, tr|A0A8C6I075|A0A8C6I075_MUSSI
OG0001879	sp|Q9NZK5|ADA2_HUMAN, sp|Q01432|AMPD3_HUMAN	tr|A0A8C6IAX7|A0A8C6IAX7_MUSSI
OG0001880	sp|Q9UHJ9|PGAP2_HUMAN	tr|A0A8C6GBX8|A0A8C6GBX8_MUSSI, tr|A0A8C6GZM4|A0A8C6GZM4_MUSSI
OG0001881	sp|Q9Y3Y2|CHTOP_HUMAN	tr|A0A8C6G6B7|A0A8C6G6B7_MUSSI, tr|A0A8C6N551|A0A8C6N551_MUSSI
OG0001882	sp|Q16563|SYPL1_HUMAN	tr|A0A8C6GIZ0|A0A8C6GIZ0_MUSSI, tr|A0A8C6MQG0|A0A8C6MQG0_MUSSI
OG0001883	sp|Q8N365|CIART_HUMAN	tr|A0A8C6G686|A0A8C6G686_MUSSI, tr|A0A8C6GLZ2|A0A8C6GLZ2_MUSSI
OG0001884	sp|O15496|PA2GX_HUMAN	tr|A0A8C6HTC4|A0A8C6HTC4_MUSSI, tr|A0A8C6H8Y4|A0A8C6H8Y4_MUSSI
OG0001885	sp|P53667|LIMK1_HUMAN	tr|A0A8C6HYU4|A0A8C6HYU4_MUSSI, tr|A0A8C6HFF8|A0A8C6HFF8_MUSSI
OG0001886	sp|P68543|UBX2A_HUMAN	tr|A0A8C6GBX4|A0A8C6GBX4_MUSSI, tr|A0A8C6HRB2|A0A8C6HRB2_MUSSI
OG0001887	sp|Q5FBB7|SGO1_HUMAN	tr|A0A8C6MST5|A0A8C6MST5_MUSSI, tr|A0A8C6I875|A0A8C6I875_MUSSI
OG0001888	sp|Q8NFR9|I17RE_HUMAN, sp|Q6ZVW7|I17EL_HUMAN	tr|A0A8C6I633|A0A8C6I633_MUSSI
OG0001889	sp|Q8N755|S66A3_HUMAN	tr|A0A8C6MUJ3|A0A8C6MUJ3_MUSSI, tr|A0A8C6GDW1|A0A8C6GDW1_MUSSI
OG0001890	sp|Q8TB37|NUBPL_HUMAN	tr|A0A8C6MVR7|A0A8C6MVR7_MUSSI, tr|A0A8C6GEJ4|A0A8C6GEJ4_MUSSI
OG0001891	sp|Q96DR5|BPIA2_HUMAN	tr|A0A8C6HLE6|A0A8C6HLE6_MUSSI, tr|A0A8C6HJE7|A0A8C6HJE7_MUSSI
OG0001892	sp|Q96NJ6|ZFP3_HUMAN, sp|Q9UC06|ZNF70_HUMAN	tr|A0A8C6N1M0|A0A8C6N1M0_MUSSI
OG0001893	sp|A0A075B6X5|TVA18_HUMAN	tr|A0A8C6GR98|A0A8C6GR98_MUSSI, tr|A0A8C6GBY4|A0A8C6GBY4_MUSSI
OG0001894	sp|Q6ZVS7|F183B_HUMAN, sp|A6NL82|F183A_HUMAN	tr|A0A8C6HSN1|A0A8C6HSN1_MUSSI
OG0001895	sp|Q6UXN2|TRML4_HUMAN, sp|O95944|NCTR2_HUMAN	tr|A0A8C6MRS4|A0A8C6MRS4_MUSSI
OG0001896	sp|P01031|CO5_HUMAN	tr|A0A8C6HB76|A0A8C6HB76_MUSSI, tr|A0A8C6MWP6|A0A8C6MWP6_MUSSI
OG0001897	sp|P23588|IF4B_HUMAN	tr|A0A8C6GLT3|A0A8C6GLT3_MUSSI, tr|A0A8C6HE05|A0A8C6HE05_MUSSI
OG0001898	sp|Q9NV66|TYW1_HUMAN, sp|Q6NUM6|TYW1B_HUMAN	tr|A0A8C6HQ58|A0A8C6HQ58_MUSSI
OG0001899	sp|Q96A19|C102A_HUMAN, sp|Q68D86|C102B_HUMAN	tr|A0A8C6GDY1|A0A8C6GDY1_MUSSI
OG0001900	tr|A0A096LPK6|A0A096LPK6_HUMAN, sp|Q9UJW3|DNM3L_HUMAN	tr|A0A8C6I623|A0A8C6I623_MUSSI
OG0001901	sp|O00506|STK25_HUMAN	tr|A0A8C6H9L9|A0A8C6H9L9_MUSSI, tr|A0A8C6G878|A0A8C6G878_MUSSI
OG0001902	sp|P15813|CD1D_HUMAN	tr|A0A8C6HQA3|A0A8C6HQA3_MUSSI, tr|A0A8C6HSP1|A0A8C6HSP1_MUSSI
OG0001903	sp|Q5DID0|UROL1_HUMAN	tr|A0A8C6GWW5|A0A8C6GWW5_MUSSI, tr|A0A8C6G8V0|A0A8C6G8V0_MUSSI
OG0001904	sp|Q5VUE5|CA053_HUMAN	tr|A0A8C6I696|A0A8C6I696_MUSSI, tr|A0A8C6IBX2|A0A8C6IBX2_MUSSI
OG0001905	sp|Q8IXK2|GLT12_HUMAN, sp|Q8N4A0|GALT4_HUMAN	tr|A0A8C6HQ92|A0A8C6HQ92_MUSSI
OG0001906	sp|Q8N1A6|CD033_HUMAN	tr|A0A8C6GTF2|A0A8C6GTF2_MUSSI, tr|A0A8C6N3Z2|A0A8C6N3Z2_MUSSI
OG0001907	sp|Q6RI45|BRWD3_HUMAN, sp|Q8WWQ0|PHIP_HUMAN	tr|A0A8C6HQQ5|A0A8C6HQQ5_MUSSI
OG0001908	sp|Q8WXD5|GEMI6_HUMAN	tr|A0A8C6GEX4|A0A8C6GEX4_MUSSI, tr|A0A8C6GN54|A0A8C6GN54_MUSSI
OG0001909	sp|O75152|ZC11A_HUMAN, sp|A0A1B0GTU1|ZC11B_HUMAN	tr|A0A8C6HI58|A0A8C6HI58_MUSSI
OG0001910	sp|A6NMY6|AXA2L_HUMAN, sp|P07355|ANXA2_HUMAN	tr|A0A8C6HY62|A0A8C6HY62_MUSSI
OG0001911	sp|Q86TS9|RM52_HUMAN	tr|A0A8C6HB41|A0A8C6HB41_MUSSI, tr|A0A8C6GMB3|A0A8C6GMB3_MUSSI
OG0001912	sp|Q93075|TATD2_HUMAN	tr|A0A8C6H3K1|A0A8C6H3K1_MUSSI, tr|A0A8C6I2J5|A0A8C6I2J5_MUSSI
OG0001913	sp|Q96KW9|SPAC7_HUMAN	tr|A0A8C6GT31|A0A8C6GT31_MUSSI, tr|A0A8C6GRZ6|A0A8C6GRZ6_MUSSI
OG0001914	sp|Q96JG8|MAGD4_HUMAN, sp|Q9Y5V3|MAGD1_HUMAN	tr|A0A8C6IGQ2|A0A8C6IGQ2_MUSSI
OG0001915	sp|A1Z1Q3|MACD2_HUMAN	tr|A0A8C6I2L0|A0A8C6I2L0_MUSSI, tr|A0A8C6N599|A0A8C6N599_MUSSI
OG0001916	sp|Q13614|MTMR2_HUMAN	tr|A0A8C6ICK1|A0A8C6ICK1_MUSSI, tr|A0A8C6H9W8|A0A8C6H9W8_MUSSI
OG0001917	sp|Q9NY28|GALT8_HUMAN, sp|Q6P9A2|GLT18_HUMAN	tr|A0A8C6IDE2|A0A8C6IDE2_MUSSI
OG0001918	sp|Q15417|CNN3_HUMAN	tr|A0A8C6HHG8|A0A8C6HHG8_MUSSI, tr|A0A8C6IAC7|A0A8C6IAC7_MUSSI
OG0001919	sp|P30559|OXYR_HUMAN, sp|Q6W5P4|NPSR1_HUMAN	tr|A0A8C6I9Y2|A0A8C6I9Y2_MUSSI
OG0001920	sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN	tr|A0A8C6G8F0|A0A8C6G8F0_MUSSI
OG0001921	sp|Q969Y0|NXPE3_HUMAN	tr|A0A8C6GD90|A0A8C6GD90_MUSSI, tr|A0A8C6HTQ8|A0A8C6HTQ8_MUSSI
OG0001922	sp|Q96CX2|KCD12_HUMAN	tr|A0A8C6H5K6|A0A8C6H5K6_MUSSI, tr|A0A8C6GUS5|A0A8C6GUS5_MUSSI
OG0001923	sp|Q99816|TS101_HUMAN	tr|A0A8C6H3Y6|A0A8C6H3Y6_MUSSI, tr|A0A8C6GI52|A0A8C6GI52_MUSSI
OG0001924	sp|Q6AWC2|WWC2_HUMAN, sp|Q9ULE0|WWC3_HUMAN	tr|A0A8C6IHU7|A0A8C6IHU7_MUSSI
OG0001925	sp|O60687|SRPX2_HUMAN, sp|P78539|SRPX_HUMAN	tr|A0A8C6MYR3|A0A8C6MYR3_MUSSI
OG0001926	sp|P20674|COX5A_HUMAN	tr|A0A8C6HDB3|A0A8C6HDB3_MUSSI, tr|A0A8C6GPX3|A0A8C6GPX3_MUSSI
OG0001927	sp|Q96HU8|DIRA2_HUMAN, sp|O95661|DIRA3_HUMAN	tr|A0A8C6GLN8|A0A8C6GLN8_MUSSI
OG0001928	sp|Q9Y2P0|ZN835_HUMAN, sp|Q8N8Y5|ZFP41_HUMAN	tr|A0A8C6MZX4|A0A8C6MZX4_MUSSI
OG0001929	sp|Q5XX13|FBW10_HUMAN, sp|O95170|CDRT1_HUMAN	tr|A0A8C6HDY8|A0A8C6HDY8_MUSSI
OG0001930	sp|O00305|CACB4_HUMAN, sp|P54284|CACB3_HUMAN	tr|A0A8C6G672|A0A8C6G672_MUSSI
OG0001931	sp|Q8N6F7|GCSAM_HUMAN, sp|Q5JQS6|GSAML_HUMAN	tr|A0A8C6HVX3|A0A8C6HVX3_MUSSI
OG0001932	sp|P28845|DHI1_HUMAN, sp|Q7Z5J1|DHI1L_HUMAN	tr|A0A8C6HZS6|A0A8C6HZS6_MUSSI
OG0001933	sp|Q8IY51|TIGD4_HUMAN, sp|Q17RP2|TIGD6_HUMAN	tr|A0A8C6HPK2|A0A8C6HPK2_MUSSI
OG0001934	sp|Q8TBF5|PIGX_HUMAN	tr|A0A8C6G8T1|A0A8C6G8T1_MUSSI, tr|A0A8C6ICT1|A0A8C6ICT1_MUSSI
OG0001935	sp|A6NKX4|S22AV_HUMAN, sp|Q8WUG5|S22AH_HUMAN	tr|A0A8C6HEW4|A0A8C6HEW4_MUSSI
OG0001936	sp|Q6ZUV0|BACHL_HUMAN, sp|O00154|BACH_HUMAN	tr|A0A8C6H458|A0A8C6H458_MUSSI
OG0001937	sp|P0DMW5|SIL2B_HUMAN, sp|P0DMW4|SIL2A_HUMAN	tr|A0A8C6IF10|A0A8C6IF10_MUSSI
OG0001938	sp|P51946|CCNH_HUMAN	tr|A0A8C6GX22|A0A8C6GX22_MUSSI, tr|A0A8C6I4S9|A0A8C6I4S9_MUSSI
OG0001939	sp|Q5TZA2|CROCC_HUMAN, sp|Q8IVE0|CROL2_HUMAN	tr|A0A8C6H475|A0A8C6H475_MUSSI
OG0001940	sp|Q969E2|SCAM4_HUMAN	tr|A0A8C6GJ29|A0A8C6GJ29_MUSSI, tr|A0A8C6HU90|A0A8C6HU90_MUSSI
OG0001941	sp|O43432|IF4G3_HUMAN, sp|Q04637|IF4G1_HUMAN	tr|A0A8C6H108|A0A8C6H108_MUSSI
OG0001942	sp|P0CG34|TB15A_HUMAN, sp|P0CG35|TB15B_HUMAN	tr|A0A8C6GNQ2|A0A8C6GNQ2_MUSSI
OG0001943	sp|P51864|TDGF3_HUMAN, sp|P13385|TDGF1_HUMAN	tr|A0A8C6I455|A0A8C6I455_MUSSI
OG0001944	sp|Q53FT3|HIKES_HUMAN	tr|A0A8C6G920|A0A8C6G920_MUSSI, tr|A0A8C6MVJ1|A0A8C6MVJ1_MUSSI
OG0001945	sp|Q86YF9|DZIP1_HUMAN	tr|A0A8C6I540|A0A8C6I540_MUSSI, tr|A0A8C6I717|A0A8C6I717_MUSSI
OG0001946	sp|Q9BQ48|RM34_HUMAN	tr|A0A8C6MW77|A0A8C6MW77_MUSSI, tr|A0A8C6IH61|A0A8C6IH61_MUSSI
OG0001947	sp|Q9HCT0|FGF22_HUMAN, sp|O15520|FGF10_HUMAN	tr|A0A8C6GCT6|A0A8C6GCT6_MUSSI
OG0001948	sp|Q9UMF0|ICAM5_HUMAN	tr|A0A8C6I260|A0A8C6I260_MUSSI, tr|A0A8C6HEJ0|A0A8C6HEJ0_MUSSI
OG0001949	sp|A0A1B0GUS4|UB2L5_HUMAN, sp|P68036|UB2L3_HUMAN	tr|A0A8C6HIG5|A0A8C6HIG5_MUSSI
OG0001950	sp|Q9NRG1|PRDC1_HUMAN, sp|P00492|HPRT_HUMAN	tr|A0A8C6GAB8|A0A8C6GAB8_MUSSI
OG0001951	sp|P03956|MMP1_HUMAN	tr|A0A8C6HHC4|A0A8C6HHC4_MUSSI, tr|A0A8C6HI30|A0A8C6HI30_MUSSI
OG0001952	sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2|GAL3A_HUMAN	tr|A0A8C6I5K9|A0A8C6I5K9_MUSSI
OG0001953	sp|P13196|HEM1_HUMAN, sp|P22557|HEM0_HUMAN	tr|A0A8C6GYD2|A0A8C6GYD2_MUSSI
OG0001954	sp|Q9HCN6|GPVI_HUMAN, sp|P24071|FCAR_HUMAN	tr|A0A8C6GD80|A0A8C6GD80_MUSSI
OG0001955	sp|P31947|1433S_HUMAN	tr|A0A8C6G476|A0A8C6G476_MUSSI, tr|A0A8C6N2E7|A0A8C6N2E7_MUSSI
OG0001956	sp|P60022|DEFB1_HUMAN	tr|A0A8C6GBW2|A0A8C6GBW2_MUSSI, tr|A0A8C6G876|A0A8C6G876_MUSSI
OG0001957	sp|P21675|TAF1_HUMAN, sp|Q8IZX4|TAF1L_HUMAN	tr|A0A8C6H5S5|A0A8C6H5S5_MUSSI
OG0001958	sp|Q8N5W8|FA24B_HUMAN, sp|A6NFZ4|FA24A_HUMAN	tr|A0A8C6N146|A0A8C6N146_MUSSI
OG0001959	sp|Q8NBP0|TTC13_HUMAN	tr|A0A8C6GBE0|A0A8C6GBE0_MUSSI, tr|A0A8C6GWM5|A0A8C6GWM5_MUSSI
OG0001960	sp|Q9BRG2|SH23A_HUMAN, sp|O75815|BCAR3_HUMAN	tr|A0A8C6H6R6|A0A8C6H6R6_MUSSI
OG0001961	sp|O75936|BODG_HUMAN, sp|Q9NVH6|TMLH_HUMAN	tr|A0A8C6IFP6|A0A8C6IFP6_MUSSI
OG0001963	sp|O75940|SPF30_HUMAN	tr|A0A8C6IJU3|A0A8C6IJU3_MUSSI, tr|A0A8C6MW86|A0A8C6MW86_MUSSI
OG0001964	sp|P52788|SPSY_HUMAN, sp|P19623|SPEE_HUMAN	tr|A0A8C6MUF8|A0A8C6MUF8_MUSSI
OG0001965	sp|Q9H1U9|S2551_HUMAN, sp|Q3SY17|S2552_HUMAN	tr|A0A8C6HM00|A0A8C6HM00_MUSSI
OG0001966	sp|Q4G0T1|SRCRM_HUMAN	tr|A0A8C6G8Y1|A0A8C6G8Y1_MUSSI, tr|A0A8C6I6K7|A0A8C6I6K7_MUSSI
OG0001967	sp|Q6P161|RM54_HUMAN	tr|A0A8C6MR04|A0A8C6MR04_MUSSI, tr|A0A8C6HZU6|A0A8C6HZU6_MUSSI
OG0001968	sp|O15392|BIRC5_HUMAN	tr|A0A8C6GCH4|A0A8C6GCH4_MUSSI, tr|A0A8C6N5X5|A0A8C6N5X5_MUSSI
OG0001969	sp|Q96IZ6|MET2A_HUMAN, sp|Q6P1Q9|MET2B_HUMAN	tr|A0A8C6I7E4|A0A8C6I7E4_MUSSI
OG0001971	sp|A6NGB0|T191C_HUMAN, sp|P0C7N4|T191B_HUMAN	tr|A0A8C6HGH5|A0A8C6HGH5_MUSSI
OG0001972	sp|B6A8C7|TARM1_HUMAN, sp|Q6UX27|VSTM1_HUMAN	tr|A0A8C6GLU0|A0A8C6GLU0_MUSSI
OG0001973	sp|P0DMR2|SG1C2_HUMAN, sp|Q8TD33|SG1C1_HUMAN	tr|A0A8C6GR63|A0A8C6GR63_MUSSI
OG0001974	sp|P32942|ICAM3_HUMAN, sp|P05362|ICAM1_HUMAN	tr|A0A8C6HFK5|A0A8C6HFK5_MUSSI
OG0001975	sp|Q13950|RUNX2_HUMAN, sp|Q01196|RUNX1_HUMAN	tr|A0A8C6GT15|A0A8C6GT15_MUSSI
OG0001976	sp|Q8N680|ZBTB2_HUMAN	tr|A0A8C6GPP5|A0A8C6GPP5_MUSSI, tr|A0A8C6IEV5|A0A8C6IEV5_MUSSI
OG0001977	sp|Q9BWT1|CDCA7_HUMAN	tr|A0A8C6GM52|A0A8C6GM52_MUSSI, tr|A0A8C6HC25|A0A8C6HC25_MUSSI
OG0001978	sp|Q9BWW9|APOL5_HUMAN, sp|Q9BWW8|APOL6_HUMAN	tr|A0A8C6N0F8|A0A8C6N0F8_MUSSI
OG0001979	sp|Q9GZS9|CHST5_HUMAN, sp|Q9GZX3|CHST6_HUMAN	tr|A0A8C6HND9|A0A8C6HND9_MUSSI
OG0001980	sp|P0CK97|S35E2_HUMAN, sp|P0CK96|S352B_HUMAN	tr|A0A8C6MVZ4|A0A8C6MVZ4_MUSSI
OG0001981	sp|P17098|ZNF8_HUMAN	tr|A0A8C6HA76|A0A8C6HA76_MUSSI, tr|A0A8C6GAP1|A0A8C6GAP1_MUSSI
OG0001982	sp|Q14995|NR1D2_HUMAN	tr|A0A8C6GBB4|A0A8C6GBB4_MUSSI, tr|A0A8C6GKT6|A0A8C6GKT6_MUSSI
OG0001983	sp|O15530|PDPK1_HUMAN, sp|Q6A1A2|PDPK2_HUMAN	tr|A0A8C6GE48|A0A8C6GE48_MUSSI
OG0001984	sp|Q8IWZ8|SUGP1_HUMAN	tr|A0A8C6G899|A0A8C6G899_MUSSI, tr|A0A8C6N5V2|A0A8C6N5V2_MUSSI
OG0001985	sp|Q96IK1|BOD1_HUMAN, sp|Q8IYS8|BD1L2_HUMAN	tr|A0A8C6I0W7|A0A8C6I0W7_MUSSI
OG0001986	sp|Q7Z628|ARHG8_HUMAN, sp|Q9NR81|ARHG3_HUMAN	tr|A0A8C6I9A8|A0A8C6I9A8_MUSSI
OG0001987	sp|P01106|MYC_HUMAN	tr|A0A8C6H515|A0A8C6H515_MUSSI, tr|A0A8C6IEM5|A0A8C6IEM5_MUSSI
OG0001988	sp|P11279|LAMP1_HUMAN, sp|P13473|LAMP2_HUMAN	tr|A0A8C6GKG9|A0A8C6GKG9_MUSSI
OG0001989	sp|P63000|RAC1_HUMAN, sp|P15153|RAC2_HUMAN	tr|A0A8C6HSW7|A0A8C6HSW7_MUSSI
OG0001990	sp|Q15836|VAMP3_HUMAN, sp|P63027|VAMP2_HUMAN	tr|A0A8C6GWA1|A0A8C6GWA1_MUSSI
OG0001991	sp|Q96JY6|PDLI2_HUMAN	tr|A0A8C6H055|A0A8C6H055_MUSSI, tr|A0A8C6IJQ4|A0A8C6IJQ4_MUSSI
OG0001992	sp|Q9BWH2|FUND2_HUMAN	tr|A0A8C6GT45|A0A8C6GT45_MUSSI, tr|A0A8C6IKY3|A0A8C6IKY3_MUSSI
OG0001993	sp|Q13907|IDI1_HUMAN, sp|Q9BXS1|IDI2_HUMAN	tr|A0A8C6H461|A0A8C6H461_MUSSI
OG0001994	sp|O43374|RASL2_HUMAN, sp|C9J798|RAS4B_HUMAN	tr|A0A8C6H0G9|A0A8C6H0G9_MUSSI
OG0001995	sp|O75533|SF3B1_HUMAN	tr|A0A8C6GY16|A0A8C6GY16_MUSSI, tr|A0A8C6MYI1|A0A8C6MYI1_MUSSI
OG0001996	sp|P20645|MPRD_HUMAN	tr|A0A8C6N4C0|A0A8C6N4C0_MUSSI, tr|A0A8C6GDI1|A0A8C6GDI1_MUSSI
OG0001997	sp|Q06187|BTK_HUMAN, sp|P51813|BMX_HUMAN	tr|A0A8C6HBZ9|A0A8C6HBZ9_MUSSI
OG0001998	sp|Q14129|DGCR6_HUMAN, sp|Q9BY27|DGC6L_HUMAN	tr|A0A8C6HM90|A0A8C6HM90_MUSSI
OG0001999	sp|Q5MJ68|SPDYC_HUMAN, sp|Q5MJ70|SPDYA_HUMAN	tr|A0A8C6HBU6|A0A8C6HBU6_MUSSI
OG0002000	sp|Q6ZNC4|ZN704_HUMAN, sp|Q9NR83|S2A4R_HUMAN	tr|A0A8C6HC03|A0A8C6HC03_MUSSI
OG0002001	sp|Q96ET8|TV23C_HUMAN, sp|Q9NYZ1|TV23B_HUMAN	tr|A0A8C6HDL7|A0A8C6HDL7_MUSSI
OG0002002	sp|O95714|HERC2_HUMAN, sp|Q9BVR0|HRC23_HUMAN	tr|A0A8C6G8C3|A0A8C6G8C3_MUSSI
OG0002003	sp|Q9HAI6|TASL_HUMAN	tr|A0A8C6HVB3|A0A8C6HVB3_MUSSI, tr|A0A8C6GD36|A0A8C6GD36_MUSSI
OG0002004	sp|A9Z1Z3|FR1L4_HUMAN, sp|Q2WGJ9|FR1L6_HUMAN	tr|A0A8C6HAZ6|A0A8C6HAZ6_MUSSI
OG0002005	sp|Q53GS7|GLE1_HUMAN	tr|A0A8C6GND2|A0A8C6GND2_MUSSI, tr|A0A8C6HF69|A0A8C6HF69_MUSSI
OG0002006	sp|A0A0U1RQI7|KLF18_HUMAN, sp|Q5JT82|KLF17_HUMAN	tr|A0A8C6H6D5|A0A8C6H6D5_MUSSI
OG0002007	sp|P22676|CALB2_HUMAN, sp|P05937|CALB1_HUMAN	tr|A0A8C6I3X4|A0A8C6I3X4_MUSSI
OG0002008	sp|P37059|DHB2_HUMAN, sp|P80365|DHI2_HUMAN	tr|A0A8C6HBK0|A0A8C6HBK0_MUSSI
OG0002009	sp|P60006|APC15_HUMAN	tr|A0A8C6N3V9|A0A8C6N3V9_MUSSI, tr|A0A8C6HAF4|A0A8C6HAF4_MUSSI
OG0002010	sp|Q68D85|NR3L1_HUMAN, sp|Q9BX59|TPSNR_HUMAN	tr|A0A8C6GKG6|A0A8C6GKG6_MUSSI
OG0002011	sp|Q86UP8|GTD2A_HUMAN, sp|Q6EKJ0|GTD2B_HUMAN	tr|A0A8C6HLY0|A0A8C6HLY0_MUSSI
OG0002012	sp|Q9BRT9|SLD5_HUMAN	tr|A0A8C6HPD5|A0A8C6HPD5_MUSSI, tr|A0A8C6GD83|A0A8C6GD83_MUSSI
OG0002013	sp|Q9Y6X9|MORC2_HUMAN	tr|A0A8C6HUM4|A0A8C6HUM4_MUSSI, tr|A0A8C6GCB7|A0A8C6GCB7_MUSSI
OG0002014	sp|O43164|PJA2_HUMAN, sp|Q8NG27|PJA1_HUMAN	tr|A0A8C6H4I2|A0A8C6H4I2_MUSSI
OG0002015	sp|O94876|TMCC1_HUMAN	tr|A0A8C6GU91|A0A8C6GU91_MUSSI, tr|A0A8C6G7Z7|A0A8C6G7Z7_MUSSI
OG0002016	sp|P0C0L4|CO4A_HUMAN, sp|P0C0L5|CO4B_HUMAN	tr|A0A8C6G7R1|A0A8C6G7R1_MUSSI
OG0002017	sp|P35670|ATP7B_HUMAN, sp|Q04656|ATP7A_HUMAN	tr|A0A8C6HVB6|A0A8C6HVB6_MUSSI
OG0002018	sp|P41231|P2RY2_HUMAN	tr|A0A8C6I3B1|A0A8C6I3B1_MUSSI, tr|A0A8C6IAA4|A0A8C6IAA4_MUSSI
OG0002019	sp|P48729|KC1A_HUMAN, sp|Q8N752|KC1AL_HUMAN	tr|A0A8C6GBZ2|A0A8C6GBZ2_MUSSI
OG0002020	sp|P20264|PO3F3_HUMAN, sp|P49335|PO3F4_HUMAN	tr|A0A8C6HBJ8|A0A8C6HBJ8_MUSSI
