Orthogroup	Homo_sapiens	Delphinapterus_leucas
OG0001798	sp|Q13769|THOC5_HUMAN	tr|A0A2Y9LA03|A0A2Y9LA03_DELLE, tr|A0A2Y9LUQ5|A0A2Y9LUQ5_DELLE
OG0001799	sp|Q9NWD9|BEX4_HUMAN	tr|A0A2Y9MYJ1|A0A2Y9MYJ1_DELLE, tr|A0A2Y9LMV2|A0A2Y9LMV2_DELLE
OG0001800	sp|A4D1T9|PRS37_HUMAN	tr|A0A7F8K6B9|A0A7F8K6B9_DELLE, tr|A0A2Y9NV58|A0A2Y9NV58_DELLE
OG0001801	sp|P36578|RL4_HUMAN	tr|A0A2Y9LLA2|A0A2Y9LLA2_DELLE, tr|A0A2Y9NWJ6|A0A2Y9NWJ6_DELLE
OG0001802	sp|Q9NS75|CLTR2_HUMAN, sp|Q9Y271|CLTR1_HUMAN	tr|A0A2Y9N8F5|A0A2Y9N8F5_DELLE
OG0001803	sp|Q7Z6K4|NRARP_HUMAN, sp|B4E2M5|ANR66_HUMAN	tr|A0A2Y9NI82|A0A2Y9NI82_DELLE
OG0001804	sp|Q5JPH6|SYEM_HUMAN	tr|A0A2Y9M713|A0A2Y9M713_DELLE, tr|A0A2Y9PLR9|A0A2Y9PLR9_DELLE
OG0001805	sp|Q6ZP29|LAAT1_HUMAN, sp|A1A4F0|S66AL_HUMAN	tr|A0A2Y9LKU0|A0A2Y9LKU0_DELLE
OG0001806	sp|P02489|CRYAA_HUMAN, tr|A0A096LPJ9|A0A096LPJ9_HUMAN	tr|A0A2Y9LTN5|A0A2Y9LTN5_DELLE
OG0001807	sp|Q3KR37|ASTRB_HUMAN	tr|A0A2Y9MF15|A0A2Y9MF15_DELLE, tr|A0A2Y9M2H3|A0A2Y9M2H3_DELLE
OG0001808	sp|Q5ZPR3|CD276_HUMAN	tr|A0A2Y9MKB5|A0A2Y9MKB5_DELLE, tr|A0A2Y9NXR2|A0A2Y9NXR2_DELLE
OG0001809	sp|P49756|RBM25_HUMAN	tr|A0A7F8KAV5|A0A7F8KAV5_DELLE, tr|A0A2Y9NHC6|A0A2Y9NHC6_DELLE
OG0001810	sp|P62952|BLCAP_HUMAN	tr|A0A2Y9PYD4|A0A2Y9PYD4_DELLE, tr|A0A2Y9PWR1|A0A2Y9PWR1_DELLE
OG0001812	sp|O14788|TNF11_HUMAN, sp|Q6UY13|YB003_HUMAN	tr|A0A2Y9N775|A0A2Y9N775_DELLE
OG0001813	sp|Q86YF9|DZIP1_HUMAN	tr|A0A7F8K4M5|A0A7F8K4M5_DELLE, tr|A0A2Y9NMN1|A0A2Y9NMN1_DELLE
OG0001814	sp|Q9NUV9|GIMA4_HUMAN	tr|A0A2Y9NL02|A0A2Y9NL02_DELLE, tr|A0A7F8K0X2|A0A7F8K0X2_DELLE
OG0001815	sp|Q8WUW1|BRK1_HUMAN	tr|A0A7F8K309|A0A7F8K309_DELLE, tr|A0A2Y9MTE8|A0A2Y9MTE8_DELLE
OG0001816	sp|Q8TA86|RP9_HUMAN	tr|A0A2Y9P870|A0A2Y9P870_DELLE, tr|A0A2Y9P2C7|A0A2Y9P2C7_DELLE
OG0001817	sp|Q6PH85|DCNL2_HUMAN, sp|Q96GG9|DCNL1_HUMAN	tr|A0A2Y9MYS5|A0A2Y9MYS5_DELLE
OG0001818	sp|Q9UMW8|UBP18_HUMAN, sp|Q3LFD5|UBP41_HUMAN	tr|A0A2Y9NIN4|A0A2Y9NIN4_DELLE
OG0001819	sp|Q6NUM6|TYW1B_HUMAN, sp|Q9NV66|TYW1_HUMAN	tr|A0A2Y9PKP1|A0A2Y9PKP1_DELLE
OG0001820	sp|Q96RP7|G3ST4_HUMAN, sp|Q9H3Q3|G3ST2_HUMAN	tr|A0A7F8KGU6|A0A7F8KGU6_DELLE
OG0001821	sp|Q7L1T6|NB5R4_HUMAN	tr|A0A2Y9MTV5|A0A2Y9MTV5_DELLE, tr|A0A2Y9PJQ3|A0A2Y9PJQ3_DELLE
OG0001822	sp|P54108|CRIS3_HUMAN, sp|P16562|CRIS2_HUMAN	tr|A0A2Y9NT03|A0A2Y9NT03_DELLE
OG0001823	sp|P0C7P4|UCRIL_HUMAN, sp|P47985|UCRI_HUMAN	tr|A0A2Y9PG36|A0A2Y9PG36_DELLE
OG0001824	sp|Q53RD9|FBLN7_HUMAN	tr|A0A2Y9N1J2|A0A2Y9N1J2_DELLE, tr|A0A2Y9QB27|A0A2Y9QB27_DELLE
OG0001825	sp|Q8IZA3|H18_HUMAN	tr|A0A2Y9MBY5|A0A2Y9MBY5_DELLE, tr|A0A7F8KGH3|A0A7F8KGH3_DELLE
OG0001826	sp|Q9UKI2|BORG2_HUMAN	tr|A0A2Y9NA21|A0A2Y9NA21_DELLE, tr|A0A2Y9M1K6|A0A2Y9M1K6_DELLE
OG0001827	sp|P08138|TNR16_HUMAN	tr|A0A2Y9NC50|A0A2Y9NC50_DELLE, tr|A0A2Y9LVT9|A0A2Y9LVT9_DELLE
OG0001828	sp|O00292|LFTY2_HUMAN, sp|O75610|LFTY1_HUMAN	tr|A0A2Y9NM03|A0A2Y9NM03_DELLE
OG0001829	sp|Q9UM82|SPAT2_HUMAN	tr|A0A2Y9P7B6|A0A2Y9P7B6_DELLE, tr|A0A2Y9Q6Q3|A0A2Y9Q6Q3_DELLE
OG0001830	sp|Q969S6|TM203_HUMAN	tr|A0A2Y9NLP3|A0A2Y9NLP3_DELLE, tr|A0A2Y9P7Y2|A0A2Y9P7Y2_DELLE
OG0001831	sp|Q14183|DOC2A_HUMAN	tr|A0A2Y9PUE5|A0A2Y9PUE5_DELLE, tr|A0A2Y9PAS6|A0A2Y9PAS6_DELLE
OG0001832	sp|O60320|EREP2_HUMAN	tr|A0A7F8KIE7|A0A7F8KIE7_DELLE, tr|A0A7F8KG82|A0A7F8KG82_DELLE
OG0001833	sp|O15254|ACOX3_HUMAN	tr|A0A2Y9LL80|A0A2Y9LL80_DELLE, tr|A0A2Y9LTL7|A0A2Y9LTL7_DELLE
OG0001834	sp|A0A2Z4LIS9|FXO3B_HUMAN, sp|O43524|FOXO3_HUMAN	tr|A0A2Y9LLQ9|A0A2Y9LLQ9_DELLE
OG0001835	sp|P62829|RL23_HUMAN	tr|A0A2Y9LY88|A0A2Y9LY88_DELLE, tr|A0A2Y9PPI3|A0A2Y9PPI3_DELLE
OG0001836	sp|P42331|RHG25_HUMAN	tr|A0A2Y9MJS2|A0A2Y9MJS2_DELLE, tr|A0A2Y9MYT1|A0A2Y9MYT1_DELLE
OG0001837	sp|P30559|OXYR_HUMAN, sp|P37288|V1AR_HUMAN	tr|A0A2Y9MXI7|A0A2Y9MXI7_DELLE
OG0001838	sp|P12524|MYCL_HUMAN, sp|P12525|MYCP1_HUMAN	tr|A0A2Y9N8G2|A0A2Y9N8G2_DELLE
OG0001839	sp|P12872|MOTI_HUMAN	tr|A0A2Y9NV01|A0A2Y9NV01_DELLE, tr|A0A2Y9P3E2|A0A2Y9P3E2_DELLE
OG0001840	sp|Q8N9V7|TOPZ1_HUMAN	tr|A0A2Y9LWG3|A0A2Y9LWG3_DELLE, tr|A0A2Y9P935|A0A2Y9P935_DELLE
OG0001841	sp|Q8NES8|DB124_HUMAN, sp|Q30KP9|DB135_HUMAN	tr|A0A2Y9PYP8|A0A2Y9PYP8_DELLE
OG0001842	sp|P29350|PTN6_HUMAN	tr|A0A2Y9NJV6|A0A2Y9NJV6_DELLE, tr|A0A7F8K736|A0A7F8K736_DELLE
OG0001843	sp|Q9UBY0|SL9A2_HUMAN	tr|A0A2Y9QBJ3|A0A2Y9QBJ3_DELLE, tr|A0A2Y9NZE4|A0A2Y9NZE4_DELLE
OG0001844	sp|Q2VPA4|CR1L_HUMAN, sp|P17927|CR1_HUMAN	tr|A0A2Y9PUN0|A0A2Y9PUN0_DELLE
OG0001845	sp|O75791|GRAP2_HUMAN	tr|A0A2Y9Q010|A0A2Y9Q010_DELLE, tr|A0A2Y9Q410|A0A2Y9Q410_DELLE
OG0001846	sp|Q9Y3C0|WASC3_HUMAN	tr|A0A7F8K4K4|A0A7F8K4K4_DELLE, tr|A0A2Y9QDX2|A0A2Y9QDX2_DELLE
OG0001848	sp|Q6P5S2|LEG1H_HUMAN	tr|A0A2Y9M609|A0A2Y9M609_DELLE, tr|A0A2Y9M618|A0A2Y9M618_DELLE
OG0001849	sp|O95206|PCDH8_HUMAN	tr|A0A2Y9NF64|A0A2Y9NF64_DELLE, tr|A0A2Y9N7E6|A0A2Y9N7E6_DELLE
OG0001850	sp|Q9BRL6|SRSF8_HUMAN, sp|Q01130|SRSF2_HUMAN	tr|A0A2Y9PPF9|A0A2Y9PPF9_DELLE
OG0001851	sp|P60953|CDC42_HUMAN	tr|A0A2Y9LCK9|A0A2Y9LCK9_DELLE, tr|A0A7F8K693|A0A7F8K693_DELLE
OG0001852	sp|A4D256|CC14C_HUMAN, sp|O60729|CC14B_HUMAN	tr|A0A2Y9MB19|A0A2Y9MB19_DELLE
OG0001853	sp|Q9BWQ8|LFG2_HUMAN	tr|A0A2Y9MZM1|A0A2Y9MZM1_DELLE, tr|A0A2Y9PFQ2|A0A2Y9PFQ2_DELLE
OG0001854	sp|Q2TV78|MST1L_HUMAN, sp|P26927|HGFL_HUMAN	tr|A0A2Y9N2B0|A0A2Y9N2B0_DELLE
OG0001855	sp|P54252|ATX3_HUMAN, sp|Q9H3M9|ATX3L_HUMAN	tr|A0A2Y9NCV4|A0A2Y9NCV4_DELLE
OG0001856	sp|Q9Y228|T3JAM_HUMAN	tr|A0A2Y9PVH6|A0A2Y9PVH6_DELLE, tr|A0A2Y9PQN1|A0A2Y9PQN1_DELLE
OG0001857	sp|P62750|RL23A_HUMAN	tr|A0A2Y9PXI6|A0A2Y9PXI6_DELLE, tr|A0A7F8KB22|A0A7F8KB22_DELLE
OG0001858	sp|P61289|PSME3_HUMAN	tr|A0A2Y9LVT1|A0A2Y9LVT1_DELLE, tr|A0A2Y9M8X0|A0A2Y9M8X0_DELLE
OG0001859	sp|Q92956|TNR14_HUMAN, sp|P25942|TNR5_HUMAN	tr|A0A2Y9MFP5|A0A2Y9MFP5_DELLE
OG0001860	sp|P41222|PTGDS_HUMAN	tr|A0A2Y9NVX8|A0A2Y9NVX8_DELLE, tr|A0A2Y9NLU1|A0A2Y9NLU1_DELLE
OG0001861	sp|Q99613|EIF3C_HUMAN, sp|B5ME19|EIFCL_HUMAN	tr|A0A2Y9PDX4|A0A2Y9PDX4_DELLE
OG0001862	sp|Q2M385|MPEG1_HUMAN	tr|A0A7F8KH57|A0A7F8KH57_DELLE, tr|A0A2Y9PPG7|A0A2Y9PPG7_DELLE
OG0001863	sp|Q5EBL2|ZN628_HUMAN	tr|A0A2Y9PEG2|A0A2Y9PEG2_DELLE, tr|A0A7F8KGS3|A0A7F8KGS3_DELLE
OG0001864	sp|Q8NBQ5|DHB11_HUMAN, sp|Q7Z5P4|DHB13_HUMAN	tr|A0A2Y9M6P3|A0A2Y9M6P3_DELLE
OG0001865	sp|Q8WWU7|ITLN2_HUMAN, sp|Q8WWA0|ITLN1_HUMAN	tr|A0A7F8K2B3|A0A7F8K2B3_DELLE
OG0001866	sp|Q9H5I5|PIEZ2_HUMAN	tr|A0A7F8KFE4|A0A7F8KFE4_DELLE, tr|A0A7F8K7I5|A0A7F8K7I5_DELLE
OG0001867	sp|Q8IZ96|CKLF1_HUMAN, sp|Q9UBR5|CKLF_HUMAN	tr|A0A7F8K7V2|A0A7F8K7V2_DELLE
OG0001868	sp|Q9Y4W6|AFG32_HUMAN	tr|A0A2Y9LNQ3|A0A2Y9LNQ3_DELLE, tr|A0A2Y9P8H2|A0A2Y9P8H2_DELLE
OG0001869	sp|Q8N0T1|RBIS_HUMAN	tr|A0A2Y9MQV5|A0A2Y9MQV5_DELLE, tr|A0A2Y9LM11|A0A2Y9LM11_DELLE
OG0001870	sp|Q9NTJ5|SAC1_HUMAN	tr|A0A2Y9N7W0|A0A2Y9N7W0_DELLE, tr|A0A2Y9LQ73|A0A2Y9LQ73_DELLE
OG0001871	sp|P13987|CD59_HUMAN	tr|A0A2Y9PAG6|A0A2Y9PAG6_DELLE, tr|A0A2Y9MGB5|A0A2Y9MGB5_DELLE
OG0001872	sp|Q13867|BLMH_HUMAN	tr|A0A2Y9Q1Q3|A0A2Y9Q1Q3_DELLE, tr|A0A2Y9Q1Z6|A0A2Y9Q1Z6_DELLE
OG0001873	sp|O00754|MA2B1_HUMAN, sp|Q9Y2E5|MA2B2_HUMAN	tr|A0A2Y9LZG0|A0A2Y9LZG0_DELLE
OG0001874	sp|Q14520|HABP2_HUMAN	tr|A0A2Y9N7N8|A0A2Y9N7N8_DELLE, tr|A0A2Y9MU14|A0A2Y9MU14_DELLE
OG0001875	sp|Q9NP66|HM20A_HUMAN	tr|A0A2Y9MP72|A0A2Y9MP72_DELLE, tr|A0A2Y9P151|A0A2Y9P151_DELLE
OG0001876	sp|Q9Y673|ALG5_HUMAN	tr|A0A2Y9NFZ6|A0A2Y9NFZ6_DELLE, tr|A0A2Y9NBW2|A0A2Y9NBW2_DELLE
OG0001877	sp|Q8N6L0|KASH5_HUMAN	tr|A0A2Y9P6H1|A0A2Y9P6H1_DELLE, tr|A0A2Y9NQ79|A0A2Y9NQ79_DELLE
OG0001878	sp|P15374|UCHL3_HUMAN	tr|A0A7F8K6R0|A0A7F8K6R0_DELLE, tr|A0A2Y9PNU2|A0A2Y9PNU2_DELLE
OG0001879	sp|O95178|NDUB2_HUMAN	tr|A0A2Y9NMU6|A0A2Y9NMU6_DELLE, tr|A0A2Y9P537|A0A2Y9P537_DELLE
OG0001880	sp|P39019|RS19_HUMAN	tr|A0A2Y9P7K3|A0A2Y9P7K3_DELLE, tr|A0A2Y9Q4N2|A0A2Y9Q4N2_DELLE
OG0001881	sp|Q6UWB4|PRS55_HUMAN, sp|A0A1B0GVH4|PRS51_HUMAN	tr|A0A2Y9Q5C0|A0A2Y9Q5C0_DELLE
OG0001882	sp|Q96NS8|CLUP3_HUMAN, sp|O75153|CLU_HUMAN	tr|A0A2Y9Q7B9|A0A2Y9Q7B9_DELLE
OG0001883	sp|Q8NCK3|ZN485_HUMAN, sp|Q5EBM4|ZN542_HUMAN	tr|A0A7F8JZP1|A0A7F8JZP1_DELLE
OG0001884	sp|O14744|ANM5_HUMAN	tr|A0A2Y9P3M2|A0A2Y9P3M2_DELLE, tr|A0A2Y9LKP8|A0A2Y9LKP8_DELLE
OG0001885	sp|P55786|PSA_HUMAN, sp|A6NEC2|PSAL_HUMAN	tr|A0A2Y9M2E6|A0A2Y9M2E6_DELLE
OG0001886	sp|Q3MJ62|ZSC23_HUMAN	tr|A0A2Y9MEB1|A0A2Y9MEB1_DELLE, tr|A0A2Y9M7Z7|A0A2Y9M7Z7_DELLE
OG0001887	sp|Q08752|PPID_HUMAN	tr|A0A2Y9P6X6|A0A2Y9P6X6_DELLE, tr|A0A2Y9MAC1|A0A2Y9MAC1_DELLE
OG0001888	sp|P11230|ACHB_HUMAN	tr|A0A2Y9MNF6|A0A2Y9MNF6_DELLE, tr|A0A7F8KCG3|A0A7F8KCG3_DELLE
OG0001889	sp|Q9P2F6|RHG20_HUMAN	tr|A0A7F8K199|A0A7F8K199_DELLE, tr|A0A2Y9M5A5|A0A2Y9M5A5_DELLE
OG0001890	sp|Q9BXS1|IDI2_HUMAN, sp|Q13907|IDI1_HUMAN	tr|A0A2Y9LYC9|A0A2Y9LYC9_DELLE
OG0001891	sp|Q8TC17|GRAPL_HUMAN, sp|Q13588|GRAP_HUMAN	tr|A0A2Y9M603|A0A2Y9M603_DELLE
OG0001892	sp|P19404|NDUV2_HUMAN	tr|A0A2Y9MRE4|A0A2Y9MRE4_DELLE, tr|A0A2Y9LB14|A0A2Y9LB14_DELLE
OG0001893	sp|Q8WXC3|PYDC1_HUMAN, sp|Q9ULZ3|ASC_HUMAN	tr|A0A2Y9PAE2|A0A2Y9PAE2_DELLE
OG0001894	sp|Q8IVV2|LOXH1_HUMAN	tr|A0A7F8K991|A0A7F8K991_DELLE, tr|A0A2Y9MEN9|A0A2Y9MEN9_DELLE
OG0001895	sp|Q96LA6|FCRL1_HUMAN, sp|Q96LA5|FCRL2_HUMAN	tr|A0A2Y9MCC4|A0A2Y9MCC4_DELLE
OG0001896	sp|P09466|PAEP_HUMAN	tr|A0A2Y9NGB4|A0A2Y9NGB4_DELLE, tr|A0A2Y9NWN4|A0A2Y9NWN4_DELLE
OG0001897	sp|Q6UWV6|ENPP7_HUMAN	tr|A0A2Y9PRT7|A0A2Y9PRT7_DELLE, tr|A0A7F8KDD2|A0A7F8KDD2_DELLE
OG0001898	sp|Q9NXV6|CARF_HUMAN	tr|A0A2Y9N5B8|A0A2Y9N5B8_DELLE, tr|A0A2Y9PGX1|A0A2Y9PGX1_DELLE
OG0001899	sp|Q8WVC0|LEO1_HUMAN	tr|A0A2Y9NJJ2|A0A2Y9NJJ2_DELLE, tr|A0A2Y9NVL0|A0A2Y9NVL0_DELLE
OG0001900	sp|Q9P0B6|CC167_HUMAN	tr|A0A7F8K691|A0A7F8K691_DELLE, tr|A0A2Y9QJA0|A0A2Y9QJA0_DELLE
OG0001901	sp|P62891|RL39_HUMAN	tr|A0A2Y9P5D2|A0A2Y9P5D2_DELLE, tr|A0A2Y9MNH0|A0A2Y9MNH0_DELLE
OG0001902	sp|P13196|HEM1_HUMAN	tr|A0A2Y9N372|A0A2Y9N372_DELLE, sp|Q9XS79|HEM1_DELLE
OG0001903	sp|Q8N7P3|CLD22_HUMAN, sp|A6NM45|CLD24_HUMAN	tr|A0A2Y9N6T3|A0A2Y9N6T3_DELLE
OG0001904	sp|Q9H098|F107B_HUMAN	tr|A0A2Y9NQK2|A0A2Y9NQK2_DELLE, tr|A0A2Y9NMC3|A0A2Y9NMC3_DELLE
OG0001905	sp|Q6DKI1|RL7L_HUMAN	tr|A0A2Y9MZ19|A0A2Y9MZ19_DELLE, tr|A0A2Y9NXH5|A0A2Y9NXH5_DELLE
OG0001906	sp|Q2VIR3|IF2GL_HUMAN, sp|P41091|IF2G_HUMAN	tr|A0A2Y9M265|A0A2Y9M265_DELLE
OG0001907	sp|Q96F24|NRBF2_HUMAN	tr|A0A2Y9NB19|A0A2Y9NB19_DELLE, tr|A0A2Y9M5E3|A0A2Y9M5E3_DELLE
OG0001908	sp|Q9HC62|SENP2_HUMAN	tr|A0A2Y9MDC4|A0A2Y9MDC4_DELLE, tr|A0A2Y9MW31|A0A2Y9MW31_DELLE
OG0001909	sp|Q13241|KLRD1_HUMAN, sp|Q9NY25|CLC5A_HUMAN	tr|A0A2Y9NK69|A0A2Y9NK69_DELLE
OG0001910	sp|Q8IVL6|P3H3_HUMAN	tr|A0A2Y9NP93|A0A2Y9NP93_DELLE, tr|A0A2Y9NUH7|A0A2Y9NUH7_DELLE
OG0001911	sp|O94782|UBP1_HUMAN	tr|A0A2Y9NY10|A0A2Y9NY10_DELLE, tr|A0A2Y9NVI6|A0A2Y9NVI6_DELLE
OG0001912	sp|P61925|IPKA_HUMAN, sp|Q9C010|IPKB_HUMAN	tr|A0A2Y9LRM8|A0A2Y9LRM8_DELLE
OG0001913	sp|Q8NDV2|GPR26_HUMAN, sp|Q96P69|GPR78_HUMAN	tr|A0A2Y9MPK0|A0A2Y9MPK0_DELLE
OG0001914	sp|Q14978|NOLC1_HUMAN	tr|A0A7F8K4T5|A0A7F8K4T5_DELLE, tr|A0A2Y9MZY3|A0A2Y9MZY3_DELLE
OG0001915	sp|Q8NC67|NETO2_HUMAN	tr|A0A2Y9N1X6|A0A2Y9N1X6_DELLE, tr|A0A2Y9LMH8|A0A2Y9LMH8_DELLE
OG0001916	sp|Q9UN81|LORF1_HUMAN, sp|Q5T7N2|LITD1_HUMAN	tr|A0A7F8KGT9|A0A7F8KGT9_DELLE
OG0001917	sp|P53671|LIMK2_HUMAN	tr|A0A2Y9LMN6|A0A2Y9LMN6_DELLE, tr|A0A2Y9LA57|A0A2Y9LA57_DELLE
OG0001918	sp|Q9Y2H6|FND3A_HUMAN	tr|A0A2Y9NC82|A0A2Y9NC82_DELLE, tr|A0A7F8K3T4|A0A7F8K3T4_DELLE
OG0001919	sp|A6NJ78|MET15_HUMAN, sp|P0C7V9|ME15P_HUMAN	tr|A0A2Y9P7Y3|A0A2Y9P7Y3_DELLE
OG0001920	sp|Q3KP44|ANR55_HUMAN, sp|O75762|TRPA1_HUMAN	tr|A0A7F8K2K0|A0A7F8K2K0_DELLE
OG0001921	sp|Q7L4S7|ARMX6_HUMAN	tr|A0A2Y9NR51|A0A2Y9NR51_DELLE, tr|A0A7F8K2X2|A0A7F8K2X2_DELLE
OG0001922	sp|Q8N7B9|EFCB3_HUMAN	tr|A0A2Y9PPQ2|A0A2Y9PPQ2_DELLE, tr|A0A7F8K5F3|A0A7F8K5F3_DELLE
OG0001923	sp|Q96RI1|NR1H4_HUMAN	tr|A0A7F8K7N3|A0A7F8K7N3_DELLE, tr|A0A2Y9Q991|A0A2Y9Q991_DELLE
OG0001924	sp|P0C0L4|CO4A_HUMAN, sp|P0C0L5|CO4B_HUMAN	tr|A0A2Y9MIR4|A0A2Y9MIR4_DELLE
OG0001925	sp|Q9UID6|ZN639_HUMAN	tr|A0A2Y9NE11|A0A2Y9NE11_DELLE, tr|A0A2Y9LNH9|A0A2Y9LNH9_DELLE
OG0001926	sp|Q9ULW6|NP1L2_HUMAN	tr|A0A2Y9P2T1|A0A2Y9P2T1_DELLE, tr|A0A2Y9NMT4|A0A2Y9NMT4_DELLE
OG0001927	sp|Q9UBD9|CLCF1_HUMAN	tr|A0A2Y9PL19|A0A2Y9PL19_DELLE, tr|A0A2Y9PP11|A0A2Y9PP11_DELLE
OG0001928	sp|Q8N8D7|NKAI3_HUMAN	tr|A0A2Y9Q655|A0A2Y9Q655_DELLE, tr|A0A2Y9Q6S7|A0A2Y9Q6S7_DELLE
OG0001929	sp|P02144|MYG_HUMAN	sp|P83682|MYG_DELLE, tr|A0A140GN53|A0A140GN53_DELLE
OG0001930	sp|Q01469|FABP5_HUMAN, sp|A8MUU1|FB5L3_HUMAN	tr|A0A2Y9LPT2|A0A2Y9LPT2_DELLE
OG0001931	sp|Q9UQR0|SCML2_HUMAN	tr|A0A2Y9MAM3|A0A2Y9MAM3_DELLE, tr|A0A2Y9MFZ8|A0A2Y9MFZ8_DELLE
OG0001932	sp|Q8TE49|OTU7A_HUMAN	tr|A0A7F8KHH8|A0A7F8KHH8_DELLE, tr|A0A2Y9NPJ6|A0A2Y9NPJ6_DELLE
OG0001933	sp|Q8IYR6|TEFF1_HUMAN, sp|Q9UIK5|TEFF2_HUMAN	tr|A0A2Y9Q9U0|A0A2Y9Q9U0_DELLE
OG0001934	sp|O43772|MCAT_HUMAN	tr|A0A2Y9N7B5|A0A2Y9N7B5_DELLE, tr|A0A2Y9NBV0|A0A2Y9NBV0_DELLE
OG0001935	sp|Q96LB9|PGRP3_HUMAN, sp|Q96LB8|PGRP4_HUMAN	tr|A0A2Y9M036|A0A2Y9M036_DELLE
OG0001936	sp|O15529|GPR42_HUMAN, sp|O14843|FFAR3_HUMAN	tr|A0A2Y9P5X4|A0A2Y9P5X4_DELLE
OG0001937	sp|P10176|COX8A_HUMAN	tr|A0A2Y9MPJ3|A0A2Y9MPJ3_DELLE, tr|A0A2Y9PKE2|A0A2Y9PKE2_DELLE
OG0001938	sp|Q15306|IRF4_HUMAN	tr|A0A2Y9PNG7|A0A2Y9PNG7_DELLE, tr|A0A2Y9P573|A0A2Y9P573_DELLE
OG0001939	sp|Q9HAC7|SUCHY_HUMAN, sp|Q9UHK6|AMACR_HUMAN	tr|A0A2Y9PU60|A0A2Y9PU60_DELLE
OG0001940	sp|Q9P0M4|IL17C_HUMAN, sp|Q9H293|IL25_HUMAN	tr|A0A7F8K2N9|A0A7F8K2N9_DELLE
OG0001941	sp|Q5BKZ1|ZN326_HUMAN	tr|A0A2Y9LPN5|A0A2Y9LPN5_DELLE, tr|A0A2Y9MQM1|A0A2Y9MQM1_DELLE
OG0001942	sp|P18440|ARY1_HUMAN, sp|P11245|ARY2_HUMAN	tr|A0A2Y9MXE0|A0A2Y9MXE0_DELLE
OG0001943	sp|P26439|3BHS2_HUMAN, sp|P14060|3BHS1_HUMAN	tr|A0A2Y9P2Q8|A0A2Y9P2Q8_DELLE
OG0001944	sp|Q96B70|LENG9_HUMAN, sp|O15504|NUP42_HUMAN	tr|A0A2Y9P8V3|A0A2Y9P8V3_DELLE
OG0001945	sp|P02771|FETA_HUMAN	tr|A0A2Y9QJ04|A0A2Y9QJ04_DELLE, tr|A0A7F8KHM3|A0A7F8KHM3_DELLE
OG0001946	sp|A0A0B4J2F2|SIK1B_HUMAN, sp|P57059|SIK1_HUMAN	tr|A0A2Y9LGA5|A0A2Y9LGA5_DELLE
OG0001947	sp|O14771|ZN213_HUMAN, sp|O60304|ZN500_HUMAN	tr|A0A2Y9PUE3|A0A2Y9PUE3_DELLE
OG0001948	sp|Q96DZ5|CLIP3_HUMAN	tr|A0A2Y9P9V3|A0A2Y9P9V3_DELLE, tr|A0A7F8K6Y2|A0A7F8K6Y2_DELLE
OG0001949	sp|Q460N3|PAR15_HUMAN, sp|Q460N5|PAR14_HUMAN	tr|A0A2Y9MV31|A0A2Y9MV31_DELLE
OG0001950	sp|Q8WXK1|ASB15_HUMAN, sp|Q9P2S6|ANKY1_HUMAN	tr|A0A2Y9PHQ9|A0A2Y9PHQ9_DELLE
OG0001951	sp|Q16204|CCDC6_HUMAN	tr|A0A2Y9MB89|A0A2Y9MB89_DELLE, tr|A0A7F8K2Q4|A0A7F8K2Q4_DELLE
OG0001952	sp|Q9BZ11|ADA33_HUMAN	tr|A0A2Y9PZJ5|A0A2Y9PZJ5_DELLE, tr|A0A7F8KEV5|A0A7F8KEV5_DELLE
OG0001953	sp|P03973|SLPI_HUMAN	tr|A0A7F8KFV6|A0A7F8KFV6_DELLE, tr|A0A7F8K9T1|A0A7F8K9T1_DELLE
OG0001954	sp|Q02878|RL6_HUMAN	tr|A0A2Y9NJU5|A0A2Y9NJU5_DELLE, tr|A0A2Y9LA85|A0A2Y9LA85_DELLE
OG0001955	sp|P09001|RM03_HUMAN	tr|A0A2Y9M5T0|A0A2Y9M5T0_DELLE, tr|A0A2Y9MEM4|A0A2Y9MEM4_DELLE
OG0001956	sp|P23610|HAP40_HUMAN	tr|A0A7F8K9P0|A0A7F8K9P0_DELLE, tr|A0A2Y9MM06|A0A2Y9MM06_DELLE
OG0001957	sp|A0A1B0GTK4|F237A_HUMAN, sp|A0A1B0GVD1|F237B_HUMAN	tr|A0A2Y9N403|A0A2Y9N403_DELLE
OG0001958	sp|Q96QR1|SG3A1_HUMAN, sp|Q96PL1|SG3A2_HUMAN	tr|A0A2Y9PIK7|A0A2Y9PIK7_DELLE
OG0001959	sp|Q9NVW2|RNF12_HUMAN	tr|A0A2Y9NRF4|A0A2Y9NRF4_DELLE, tr|A0A2Y9MKQ3|A0A2Y9MKQ3_DELLE
OG0001960	sp|O95298|NDUC2_HUMAN, sp|E9PQ53|NDUCR_HUMAN	tr|A0A2Y9Q2P2|A0A2Y9Q2P2_DELLE
OG0001962	sp|Q9BTL3|RAMAC_HUMAN, tr|A0A3B3IU46|A0A3B3IU46_HUMAN	tr|A0A2Y9LN96|A0A2Y9LN96_DELLE
OG0001963	sp|P19652|A1AG2_HUMAN, sp|P02763|A1AG1_HUMAN	tr|A0A2Y9NI62|A0A2Y9NI62_DELLE
OG0001964	sp|Q5H9U9|DDX6L_HUMAN, sp|Q8IY21|DDX60_HUMAN	tr|A0A2Y9Q4Q8|A0A2Y9Q4Q8_DELLE
