Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0000463	sp|Q2M2H8|MGAL_HUMAN	tr|G3VEQ8|G3VEQ8_SARHA
OG0000463	sp|P14410|SUIS_HUMAN	tr|A0A7N4NYB7|A0A7N4NYB7_SARHA
OG0000463	sp|O43451|MGA_HUMAN	tr|G3W0F0|G3W0F0_SARHA
OG0000464	sp|P62701|RS4X_HUMAN, sp|P22090|RS4Y1_HUMAN, sp|Q8TD47|RS4Y2_HUMAN	tr|G3VVD0|G3VVD0_SARHA, tr|G3W1M2|G3W1M2_SARHA, tr|G3VTI3|G3VTI3_SARHA
OG0000465	sp|Q9HB55|CP343_HUMAN, sp|P24462|CP3A7_HUMAN, sp|P08684|CP3A4_HUMAN, sp|P20815|CP3A5_HUMAN	tr|G3W271|G3W271_SARHA, tr|A0A7N4PQF6|A0A7N4PQF6_SARHA
OG0000466	sp|A8MYZ5|IQCF6_HUMAN, sp|P0C7M6|IQCF3_HUMAN, sp|Q8IXL9|IQCF2_HUMAN, sp|A8MTL0|IQCF5_HUMAN, sp|Q8N6M8|IQCF1_HUMAN	tr|A0A7N4NKP7|A0A7N4NKP7_SARHA
OG0000467	sp|A6ND01|JUNO_HUMAN	tr|A0A7N4NLC7|A0A7N4NLC7_SARHA
OG0000467	sp|P15328|FOLR1_HUMAN, sp|P41439|FOLR3_HUMAN, sp|P14207|FOLR2_HUMAN	tr|A0A7N4PJ61|A0A7N4PJ61_SARHA
OG0000468	sp|O00629|IMA3_HUMAN	tr|G3WXE1|G3WXE1_SARHA
OG0000468	sp|P52292|IMA1_HUMAN, sp|A9QM74|IMA8_HUMAN, sp|O00505|IMA4_HUMAN	tr|G3VHN7|G3VHN7_SARHA
OG0000469	sp|P02100|HBE_HUMAN, sp|P69891|HBG1_HUMAN, sp|P69892|HBG2_HUMAN, sp|P68871|HBB_HUMAN, sp|P02042|HBD_HUMAN	tr|G3WEX2|G3WEX2_SARHA
OG0000470	sp|Q9Y2E4|DIP2C_HUMAN	tr|A0A7N4NKK4|A0A7N4NKK4_SARHA
OG0000470	sp|Q14689|DIP2A_HUMAN	tr|A0A7N4PFH7|A0A7N4PFH7_SARHA
OG0000470	sp|Q9P265|DIP2B_HUMAN	tr|G3VU77|G3VU77_SARHA
OG0000471	sp|P08118|MSMB_HUMAN	tr|A0A7N4V2G9|A0A7N4V2G9_SARHA, tr|A0A7N4P2J1|A0A7N4P2J1_SARHA, tr|A0A7N4NRV9|A0A7N4NRV9_SARHA, tr|G3VGM4|G3VGM4_SARHA, tr|G3WS55|G3WS55_SARHA
OG0000472	sp|Q9NR56|MBNL1_HUMAN	tr|G3X1Y1|G3X1Y1_SARHA
OG0000472	sp|Q9NUK0|MBNL3_HUMAN	tr|G3WM69|G3WM69_SARHA
OG0000472	sp|Q5VZF2|MBNL2_HUMAN	tr|G3WAU5|G3WAU5_SARHA
OG0000473	sp|P11215|ITAM_HUMAN	tr|A0A7N4Q0I3|A0A7N4Q0I3_SARHA
OG0000473	sp|P20702|ITAX_HUMAN, sp|Q13349|ITAD_HUMAN	tr|G3WMV8|G3WMV8_SARHA, tr|A0A7N4PXR1|A0A7N4PXR1_SARHA
OG0000474	sp|Q14651|PLSI_HUMAN	tr|A0A7N4NG23|A0A7N4NG23_SARHA
OG0000474	sp|P13797|PLST_HUMAN	tr|G3W4P2|G3W4P2_SARHA
OG0000474	sp|P13796|PLSL_HUMAN	tr|G3WJN6|G3WJN6_SARHA
OG0000475	sp|Q96PH6|DB118_HUMAN, sp|Q30KQ5|DB115_HUMAN	tr|A0A7N4NLW5|A0A7N4NLW5_SARHA, tr|A0A7N4PJH4|A0A7N4PJH4_SARHA, tr|A0A7N4PGX2|A0A7N4PGX2_SARHA, tr|A0A7N4PZ10|A0A7N4PZ10_SARHA
OG0000476	sp|Q9UGI6|KCNN3_HUMAN	tr|G3WPX5|G3WPX5_SARHA
OG0000476	sp|Q92952|KCNN1_HUMAN	tr|G3VX00|G3VX00_SARHA
OG0000476	sp|Q9H2S1|KCNN2_HUMAN	tr|A0A7N4NYU5|A0A7N4NYU5_SARHA
OG0000477	sp|B7U540|KCJ18_HUMAN, sp|Q14500|KCJ12_HUMAN	tr|A0A7N4PB28|A0A7N4PB28_SARHA
OG0000477	sp|Q9UNX9|KCJ14_HUMAN, sp|P63252|KCNJ2_HUMAN	tr|A0A7N4NQT0|A0A7N4NQT0_SARHA
OG0000478	sp|P33121|ACSL1_HUMAN	tr|A0A7N4P911|A0A7N4P911_SARHA
OG0000478	sp|Q9ULC5|ACSL5_HUMAN	tr|A0A7N4PBM1|A0A7N4PBM1_SARHA
OG0000478	sp|Q9UKU0|ACSL6_HUMAN	tr|G3W0J6|G3W0J6_SARHA
OG0000479	sp|Q8WWQ0|PHIP_HUMAN	tr|G3W5F5|G3W5F5_SARHA
OG0000479	sp|Q9NSI6|BRWD1_HUMAN	tr|G3VI81|G3VI81_SARHA
OG0000479	sp|Q6RI45|BRWD3_HUMAN	tr|G3WZX3|G3WZX3_SARHA
OG0000480	sp|O43497|CAC1G_HUMAN	tr|A0A7N4PDK0|A0A7N4PDK0_SARHA
OG0000480	sp|Q9P0X4|CAC1I_HUMAN	tr|A0A7N4NWY1|A0A7N4NWY1_SARHA
OG0000480	sp|O95180|CAC1H_HUMAN	tr|G3WE27|G3WE27_SARHA
OG0000481	sp|Q9NZI8|IF2B1_HUMAN	tr|G3WMV5|G3WMV5_SARHA
OG0000481	sp|O00425|IF2B3_HUMAN	tr|G3VYL4|G3VYL4_SARHA
OG0000481	sp|Q9Y6M1|IF2B2_HUMAN	tr|G3WJ23|G3WJ23_SARHA
OG0000482	sp|P04746|AMYP_HUMAN, sp|P19961|AMY2B_HUMAN, sp|P0DTE8|AMY1C_HUMAN, sp|P0DUB6|AMY1A_HUMAN, sp|P0DTE7|AMY1B_HUMAN	tr|G3WEL2|G3WEL2_SARHA
OG0000483	sp|Q16281|CNGA3_HUMAN	tr|G3WAS9|G3WAS9_SARHA
OG0000483	sp|P29973|CNGA1_HUMAN	tr|G3VDU3|G3VDU3_SARHA
OG0000483	sp|Q16280|CNGA2_HUMAN	tr|A0A7N4PG76|A0A7N4PG76_SARHA
OG0000485	sp|Q13003|GRIK3_HUMAN	tr|A0A7N4NJZ3|A0A7N4NJZ3_SARHA
OG0000485	sp|P39086|GRIK1_HUMAN	tr|G3VXY3|G3VXY3_SARHA
OG0000485	sp|Q13002|GRIK2_HUMAN	tr|A0A7N4PMS6|A0A7N4PMS6_SARHA
OG0000486	sp|Q08209|PP2BA_HUMAN	tr|G3VKE1|G3VKE1_SARHA
OG0000486	sp|P48454|PP2BC_HUMAN	tr|A0A7N4NPH4|A0A7N4NPH4_SARHA
OG0000486	sp|P16298|PP2BB_HUMAN	tr|A0A7N4V5F4|A0A7N4V5F4_SARHA
OG0000487	sp|O75366|AVIL_HUMAN	tr|A0A7N4Q1I7|A0A7N4Q1I7_SARHA
OG0000487	sp|P09327|VILI_HUMAN	tr|G3WU16|G3WU16_SARHA
OG0000487	sp|O15195|VILL_HUMAN	tr|A0A7N4V2U2|A0A7N4V2U2_SARHA
OG0000488	sp|Q9NR34|MA1C1_HUMAN	tr|A0A7N4PWB4|A0A7N4PWB4_SARHA
OG0000488	sp|P33908|MA1A1_HUMAN	tr|G3WDB3|G3WDB3_SARHA
OG0000488	sp|O60476|MA1A2_HUMAN	tr|G3VVB6|G3VVB6_SARHA
OG0000489	sp|Q92830|KAT2A_HUMAN	tr|G3VUP0|G3VUP0_SARHA
OG0000489	sp|Q92831|KAT2B_HUMAN	tr|G3W1X8|G3W1X8_SARHA
OG0000489	sp|Q12830|BPTF_HUMAN	tr|A0A7N4NKV6|A0A7N4NKV6_SARHA
OG0000490	sp|P35247|SFTPD_HUMAN	tr|A0A7N4P322|A0A7N4P322_SARHA, tr|G3VA46|G3VA46_SARHA, tr|A0A7N4PPT7|A0A7N4PPT7_SARHA, tr|G3VN93|G3VN93_SARHA, tr|G3VKV6|G3VKV6_SARHA
OG0000491	sp|P52569|CTR2_HUMAN	tr|G3W8Y1|G3W8Y1_SARHA
OG0000491	sp|Q8WY07|CTR3_HUMAN, sp|O43246|CTR4_HUMAN, sp|P30825|CTR1_HUMAN	tr|G3VUD6|G3VUD6_SARHA
OG0000492	sp|Q01629|IFM2_HUMAN, sp|Q01628|IFM3_HUMAN, sp|C9JQL5|DSA2D_HUMAN, sp|P13164|IFM1_HUMAN, sp|A6NMD0|IFM10_HUMAN	tr|A0A7N4NMP0|A0A7N4NMP0_SARHA
OG0000493	sp|Q9UNU6|CP8B1_HUMAN	tr|A0A7N4V657|A0A7N4V657_SARHA, tr|G3VEL7|G3VEL7_SARHA, tr|G3VG24|G3VG24_SARHA, tr|A0A7N4P5T4|A0A7N4P5T4_SARHA, tr|A0A7N4P9U7|A0A7N4P9U7_SARHA
OG0000494	sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN	tr|G3W4I7|G3W4I7_SARHA, tr|G3W4U2|G3W4U2_SARHA, tr|A0A7N4V619|A0A7N4V619_SARHA, tr|A0A7N4UY89|A0A7N4UY89_SARHA
OG0000495	sp|P22607|FGFR3_HUMAN	tr|A0A7N4P363|A0A7N4P363_SARHA
OG0000495	sp|P21802|FGFR2_HUMAN	tr|G3VVF1|G3VVF1_SARHA
OG0000495	sp|P11362|FGFR1_HUMAN	tr|A0A7N4PKV0|A0A7N4PKV0_SARHA
OG0000496	sp|Q70Z44|5HT3D_HUMAN, sp|A5X5Y0|5HT3E_HUMAN, sp|Q8WXA8|5HT3C_HUMAN	tr|A0A7N4NKG6|A0A7N4NKG6_SARHA, tr|A0A7N4PZG6|A0A7N4PZG6_SARHA, tr|A0A7N4P122|A0A7N4P122_SARHA
OG0000497	sp|Q9P2S2|NRX2A_HUMAN	tr|A0A7N4P225|A0A7N4P225_SARHA
OG0000497	sp|Q9ULB1|NRX1A_HUMAN	tr|G3WMX2|G3WMX2_SARHA
OG0000497	sp|Q9Y4C0|NRX3A_HUMAN	tr|A0A7N4PH50|A0A7N4PH50_SARHA
OG0000498	sp|Q9BZ29|DOCK9_HUMAN	tr|A0A7N4P7D7|A0A7N4P7D7_SARHA
OG0000498	sp|Q5JSL3|DOC11_HUMAN	tr|A0A7N4NK83|A0A7N4NK83_SARHA
OG0000498	sp|Q96BY6|DOC10_HUMAN	tr|G3X2A3|G3X2A3_SARHA
OG0000499	sp|P31751|AKT2_HUMAN	tr|A0A7N4NXN1|A0A7N4NXN1_SARHA
OG0000499	sp|P31749|AKT1_HUMAN	tr|G3W4L9|G3W4L9_SARHA
OG0000499	sp|Q9Y243|AKT3_HUMAN	tr|A0A7N4V1M4|A0A7N4V1M4_SARHA
OG0000500	sp|Q8IWY4|SCUB1_HUMAN	tr|A0A7N4PHS2|A0A7N4PHS2_SARHA
OG0000500	sp|Q9NQ36|SCUB2_HUMAN	tr|A0A7N4PHL7|A0A7N4PHL7_SARHA
OG0000500	sp|Q8IX30|SCUB3_HUMAN	tr|A0A7N4V768|A0A7N4V768_SARHA
OG0000502	sp|Q9UPW8|UN13A_HUMAN	tr|A0A7N4PPK5|A0A7N4PPK5_SARHA
OG0000502	sp|Q8NB66|UN13C_HUMAN	tr|G3W1G2|G3W1G2_SARHA
OG0000502	sp|O14795|UN13B_HUMAN	tr|G3WSP3|G3WSP3_SARHA
OG0000503	sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47883|OR3A4_HUMAN	tr|G3VVC1|G3VVC1_SARHA, tr|G3VFX1|G3VFX1_SARHA
OG0000504	sp|P49619|DGKG_HUMAN	tr|A0A7N4P8Z7|A0A7N4P8Z7_SARHA
OG0000504	sp|Q9Y6T7|DGKB_HUMAN	tr|A0A7N4V4X8|A0A7N4V4X8_SARHA
OG0000504	sp|P23743|DGKA_HUMAN	tr|G3W1Q3|G3W1Q3_SARHA
OG0000505	sp|P48378|RFX2_HUMAN	tr|G3VU22|G3VU22_SARHA
OG0000505	sp|P22670|RFX1_HUMAN	tr|A0A7N4NGA6|A0A7N4NGA6_SARHA
OG0000505	sp|P48380|RFX3_HUMAN	tr|A0A7N4P4Y2|A0A7N4P4Y2_SARHA
OG0000506	sp|Q9BZK3|NACP4_HUMAN, sp|E9PAV3|NACAM_HUMAN	tr|A0A7N4NI44|A0A7N4NI44_SARHA
OG0000506	sp|Q9H009|NACA2_HUMAN, sp|O15069|NACAD_HUMAN	tr|A0A7N4V3M1|A0A7N4V3M1_SARHA
OG0000507	sp|Q9BZ23|PANK2_HUMAN	tr|A0A7N4V4R9|A0A7N4V4R9_SARHA
OG0000507	sp|Q8TE04|PANK1_HUMAN	tr|A0A7N4P026|A0A7N4P026_SARHA
OG0000507	sp|Q9H999|PANK3_HUMAN	tr|G3WUD1|G3WUD1_SARHA
OG0000508	sp|Q99758|ABCA3_HUMAN	tr|A0A7N4V2Y0|A0A7N4V2Y0_SARHA, tr|A0A7N4NQS2|A0A7N4NQS2_SARHA, tr|A0A7N4PC93|A0A7N4PC93_SARHA, tr|G3VFU0|G3VFU0_SARHA, tr|G3VCU2|G3VCU2_SARHA
OG0000509	sp|Q9Y3Q0|NALD2_HUMAN	tr|G3W8E3|G3W8E3_SARHA
OG0000509	sp|Q9UQQ1|NALDL_HUMAN, sp|Q04609|FOLH1_HUMAN, sp|Q9HBA9|FOH1B_HUMAN	tr|A0A7N4NPE8|A0A7N4NPE8_SARHA
OG0000510	sp|P09467|F16P1_HUMAN	tr|G3W697|G3W697_SARHA, tr|A0A7N4V1V9|A0A7N4V1V9_SARHA
OG0000510	sp|O00757|F16P2_HUMAN	tr|G3WI87|G3WI87_SARHA, tr|A0A7N4NVY4|A0A7N4NVY4_SARHA
OG0000511	sp|Q9UK17|KCND3_HUMAN	tr|A0A7N4UXE7|A0A7N4UXE7_SARHA
OG0000511	sp|Q9NSA2|KCND1_HUMAN	tr|G3VJ68|G3VJ68_SARHA
OG0000511	sp|Q9NZV8|KCND2_HUMAN	tr|G3VYU2|G3VYU2_SARHA
OG0000512	sp|Q06520|ST2A1_HUMAN	tr|A0A7N4PJT5|A0A7N4PJT5_SARHA, tr|A0A7N4NQU0|A0A7N4NQU0_SARHA, tr|A0A7N4PY06|A0A7N4PY06_SARHA, tr|A0A7N4V0P0|A0A7N4V0P0_SARHA, tr|A0A7N4Q1J1|A0A7N4Q1J1_SARHA
OG0000513	sp|Q9Y6M7|S4A7_HUMAN	tr|G3WWU2|G3WWU2_SARHA
OG0000513	sp|Q2Y0W8|S4A8_HUMAN	tr|G3W0B1|G3W0B1_SARHA
OG0000513	sp|Q6U841|S4A10_HUMAN	tr|A0A7N4PWV5|A0A7N4PWV5_SARHA
OG0000514	sp|Q8N3T6|T132C_HUMAN	tr|G3WQX5|G3WQX5_SARHA
OG0000514	sp|Q14C87|T132D_HUMAN	tr|A0A7N4NIR8|A0A7N4NIR8_SARHA
OG0000514	sp|Q14DG7|T132B_HUMAN	tr|G3VLC3|G3VLC3_SARHA
OG0000515	sp|Q92736|RYR2_HUMAN	tr|A0A7N4PM31|A0A7N4PM31_SARHA
OG0000515	sp|Q15413|RYR3_HUMAN	tr|G3W4H4|G3W4H4_SARHA
OG0000515	sp|P21817|RYR1_HUMAN	tr|A0A7N4NVA1|A0A7N4NVA1_SARHA
OG0000516	sp|P04201|MAS_HUMAN	tr|G3VEL3|G3VEL3_SARHA, tr|A0A7N4PE87|A0A7N4PE87_SARHA, tr|A0A7N4NNC3|A0A7N4NNC3_SARHA, tr|A0A7N4P285|A0A7N4P285_SARHA, tr|G3VFC0|G3VFC0_SARHA
OG0000517	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A7N4PCT1|A0A7N4PCT1_SARHA, tr|G3VEY2|G3VEY2_SARHA, tr|G3VPM5|G3VPM5_SARHA, tr|G3VCN2|G3VCN2_SARHA, tr|G3W879|G3W879_SARHA
OG0000518	sp|Q9HAR2|AGRL3_HUMAN	tr|A0A7N4NWW8|A0A7N4NWW8_SARHA
OG0000518	sp|O95490|AGRL2_HUMAN	tr|G3WVR0|G3WVR0_SARHA
OG0000518	sp|O94910|AGRL1_HUMAN	tr|A0A7N4PWM1|A0A7N4PWM1_SARHA
OG0000519	sp|Q9HA82|CERS4_HUMAN	tr|A0A7N4NZ53|A0A7N4NZ53_SARHA, tr|A0A7N4PQC4|A0A7N4PQC4_SARHA, tr|G3VMJ3|G3VMJ3_SARHA, tr|G3VFK8|G3VFK8_SARHA, tr|G3VEX5|G3VEX5_SARHA
OG0000520	sp|P07320|CRGD_HUMAN	tr|G3WCC2|G3WCC2_SARHA, tr|A0A7N4P1D1|A0A7N4P1D1_SARHA, tr|A0A7N4V0Z0|A0A7N4V0Z0_SARHA, tr|G3WBN1|G3WBN1_SARHA, tr|G3WD05|G3WD05_SARHA
OG0000521	sp|Q14332|FZD2_HUMAN	tr|A0A7N4NR23|A0A7N4NR23_SARHA
OG0000521	sp|O75084|FZD7_HUMAN	tr|G3WII5|G3WII5_SARHA
OG0000521	sp|Q9UP38|FZD1_HUMAN	tr|A0A7N4NIA5|A0A7N4NIA5_SARHA
OG0000522	sp|P05129|KPCG_HUMAN	tr|A0A7N4P410|A0A7N4P410_SARHA
OG0000522	sp|P05771|KPCB_HUMAN	tr|A0A7N4V6I6|A0A7N4V6I6_SARHA
OG0000522	sp|P17252|KPCA_HUMAN	tr|G3W6T1|G3W6T1_SARHA
OG0000523	sp|Q9P232|CNTN3_HUMAN	tr|A0A7N4NZ95|A0A7N4NZ95_SARHA
OG0000523	sp|Q9UQ52|CNTN6_HUMAN	tr|A0A7N4NSP4|A0A7N4NSP4_SARHA
OG0000523	sp|Q8IWV2|CNTN4_HUMAN	tr|A0A7N4V1E0|A0A7N4V1E0_SARHA
OG0000524	sp|Q13332|PTPRS_HUMAN	tr|A0A7N4PUS8|A0A7N4PUS8_SARHA
OG0000524	sp|P10586|PTPRF_HUMAN	tr|A0A7N4PB08|A0A7N4PB08_SARHA
OG0000524	sp|P23468|PTPRD_HUMAN	tr|A0A7N4P2K4|A0A7N4P2K4_SARHA
OG0000525	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A7N4PWI7|A0A7N4PWI7_SARHA, tr|A0A7N4P7Z5|A0A7N4P7Z5_SARHA, tr|A0A7N4NL49|A0A7N4NL49_SARHA, tr|A0A7N4P0H5|A0A7N4P0H5_SARHA, tr|A0A7N4V0F8|A0A7N4V0F8_SARHA
OG0000526	sp|P36383|CXG1_HUMAN	tr|A0A7N4P0Q2|A0A7N4P0Q2_SARHA
OG0000526	sp|Q5T442|CXG2_HUMAN	tr|A0A7N4NZW2|A0A7N4NZW2_SARHA, tr|A0A7N4PME5|A0A7N4PME5_SARHA, tr|A0A7N4PE54|A0A7N4PE54_SARHA
OG0000527	sp|Q96RQ9|OXLA_HUMAN	tr|A0A7N4P333|A0A7N4P333_SARHA, tr|G3VLP6|G3VLP6_SARHA, tr|A0A7N4V3C4|A0A7N4V3C4_SARHA, tr|A0A7N4NU83|A0A7N4NU83_SARHA, tr|A0A7N4PVT2|A0A7N4PVT2_SARHA
OG0000528	sp|Q8NH06|OR1P1_HUMAN	tr|G3VSX7|G3VSX7_SARHA
OG0000528	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A7N4NZ76|A0A7N4NZ76_SARHA, tr|A0A7N4PRP3|A0A7N4PRP3_SARHA, tr|A0A7N4PJL9|A0A7N4PJL9_SARHA
OG0000529	sp|Q8TED4|G6PT3_HUMAN	tr|A0A7N4NP55|A0A7N4NP55_SARHA, tr|A0A7N4PTI0|A0A7N4PTI0_SARHA, tr|G3WTW9|G3WTW9_SARHA, tr|A0A7N4NN54|A0A7N4NN54_SARHA, tr|A0A7N4P0U7|A0A7N4P0U7_SARHA
OG0000540	sp|P23193|TCEA1_HUMAN	tr|A0A7N4NXV8|A0A7N4NXV8_SARHA
OG0000540	sp|Q15560|TCEA2_HUMAN	tr|G3VC70|G3VC70_SARHA, tr|A0A7N4P459|A0A7N4P459_SARHA
OG0000541	sp|Q8N7R0|NANG2_HUMAN, sp|Q9H9S0|NANOG_HUMAN, sp|Q6NSW7|NANP8_HUMAN	tr|A0A7N4NSI2|A0A7N4NSI2_SARHA, tr|A0A7N4V3G6|A0A7N4V3G6_SARHA
OG0000542	sp|Q7Z7K6|CENPV_HUMAN, sp|A0A0U1RRI6|CENL3_HUMAN, sp|A0A0U1RR11|CENL1_HUMAN, sp|P0DPI3|CENL2_HUMAN	tr|A0A7N4V822|A0A7N4V822_SARHA
OG0000543	sp|P03901|NU4LM_HUMAN	tr|A0A7N4PX06|A0A7N4PX06_SARHA, tr|A0A7N4NFW2|A0A7N4NFW2_SARHA, tr|A0A7N4NU64|A0A7N4NU64_SARHA, tr|A0A7N4NNF5|A0A7N4NNF5_SARHA
OG0000544	sp|Q8NCW6|GLT11_HUMAN	tr|A0A7N4NL52|A0A7N4NL52_SARHA
OG0000544	sp|Q7Z4T8|GLTL5_HUMAN	tr|A0A7N4PJU7|A0A7N4PJU7_SARHA, tr|A0A7N4V4Q1|A0A7N4V4Q1_SARHA
OG0000545	sp|P59817|Z280A_HUMAN, sp|Q86YH2|Z280B_HUMAN, sp|Q8ND82|Z280C_HUMAN, sp|Q6N043|Z280D_HUMAN	tr|A0A7N4P047|A0A7N4P047_SARHA
OG0000548	sp|P39900|MMP12_HUMAN	tr|G3WNV3|G3WNV3_SARHA
OG0000548	sp|P09238|MMP10_HUMAN, sp|P08254|MMP3_HUMAN	tr|G3WNE3|G3WNE3_SARHA
OG0000549	sp|Q75LS8|FKB9L_HUMAN	tr|A0A7N4PKB9|A0A7N4PKB9_SARHA
OG0000549	sp|O95302|FKBP9_HUMAN, sp|Q96AY3|FKB10_HUMAN	tr|G3VJU8|G3VJU8_SARHA
OG0000550	sp|Q8TCX5|RHPN1_HUMAN	tr|G3WI94|G3WI94_SARHA
OG0000550	sp|A8MT19|RHN2P_HUMAN, sp|Q8IUC4|RHPN2_HUMAN	tr|G3WUK3|G3WUK3_SARHA
OG0000551	sp|O95154|ARK73_HUMAN, sp|Q8NHP1|ARK74_HUMAN, sp|O43488|ARK72_HUMAN	tr|A0A7N4PJE9|A0A7N4PJE9_SARHA, tr|G3W2A2|G3W2A2_SARHA
OG0000553	sp|P50851|LRBA_HUMAN	tr|A0A7N4PH11|A0A7N4PH11_SARHA
OG0000553	sp|P0C6P0|BCL8_HUMAN, sp|Q8NFP9|NBEA_HUMAN	tr|A0A7N4V4F4|A0A7N4V4F4_SARHA
OG0000556	sp|Q13547|HDAC1_HUMAN	tr|A0A7N4V3R1|A0A7N4V3R1_SARHA
OG0000556	sp|O15379|HDAC3_HUMAN, sp|Q92769|HDAC2_HUMAN	tr|A0A7N4PGU8|A0A7N4PGU8_SARHA
OG0000557	sp|Q8IWN7|RP1L1_HUMAN, sp|P56715|RP1_HUMAN	tr|G3W7H5|G3W7H5_SARHA
OG0000557	sp|Q8IVV2|LOXH1_HUMAN	tr|G3X066|G3X066_SARHA
OG0000558	sp|Q9ULV4|COR1C_HUMAN	tr|A0A7N4P8Q5|A0A7N4P8Q5_SARHA
OG0000558	sp|Q9BR76|COR1B_HUMAN, sp|P31146|COR1A_HUMAN	tr|G3WC09|G3WC09_SARHA
OG0000559	sp|Q9HCH3|CPNE5_HUMAN	tr|A0A7N4PUV4|A0A7N4PUV4_SARHA
OG0000559	sp|Q86YQ8|CPNE8_HUMAN, sp|Q8IYJ1|CPNE9_HUMAN	tr|A0A7N4PH09|A0A7N4PH09_SARHA
OG0000560	sp|P13861|KAP2_HUMAN	tr|A0A7N4NNT4|A0A7N4NNT4_SARHA
OG0000560	sp|P31323|KAP3_HUMAN	tr|G3W7Y2|G3W7Y2_SARHA, tr|G3WDD3|G3WDD3_SARHA
OG0000561	sp|P29992|GNA11_HUMAN	tr|G3VV35|G3VV35_SARHA
OG0000561	sp|P30679|GNA15_HUMAN, sp|P50148|GNAQ_HUMAN	tr|G3W7B2|G3W7B2_SARHA
OG0000562	sp|Q5SR56|MF14B_HUMAN, sp|Q5VZR4|MF14C_HUMAN	tr|G3W6U1|G3W6U1_SARHA
OG0000562	sp|Q96MC6|MF14A_HUMAN	tr|G3WBU9|G3WBU9_SARHA
OG0000564	sp|Q14119|VEZF1_HUMAN, sp|Q8NAF0|ZN579_HUMAN, sp|Q96SL8|FIZ1_HUMAN, sp|Q9NSD4|ZN275_HUMAN	tr|A0A7N4PGQ9|A0A7N4PGQ9_SARHA
OG0000565	sp|Q96NX9|DACH2_HUMAN	tr|G3WHG7|G3WHG7_SARHA
OG0000565	sp|Q9UI36|DACH1_HUMAN	tr|G3X0B5|G3X0B5_SARHA, tr|A0A7N4UXN6|A0A7N4UXN6_SARHA
OG0000566	sp|Q8TBH0|ARRD2_HUMAN	tr|G3VZ30|G3VZ30_SARHA
OG0000566	sp|A6NEK1|ARRD5_HUMAN, sp|Q96B67|ARRD3_HUMAN	tr|G3WH02|G3WH02_SARHA
OG0000567	sp|Q9UIB8|SLAF5_HUMAN, sp|Q9HBG7|LY9_HUMAN, sp|Q96DU3|SLAF6_HUMAN	tr|G3VIH6|G3VIH6_SARHA, tr|A0A7N4NYA6|A0A7N4NYA6_SARHA
OG0000568	sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN	tr|G3VJN7|G3VJN7_SARHA, tr|G3VDS2|G3VDS2_SARHA, tr|G3WHJ4|G3WHJ4_SARHA
OG0000569	sp|Q3SXY8|AR13B_HUMAN, sp|Q5H913|AR13A_HUMAN	tr|A0A7N4PUK1|A0A7N4PUK1_SARHA, tr|G3VB29|G3VB29_SARHA, tr|A0A7N4NUN4|A0A7N4NUN4_SARHA
OG0000570	sp|Q9BQ87|TBL1Y_HUMAN, sp|O60907|TBL1X_HUMAN	tr|G3WYV6|G3WYV6_SARHA
OG0000570	sp|Q9BZK7|TBL1R_HUMAN	tr|G3VTP6|G3VTP6_SARHA
OG0000571	sp|P07451|CAH3_HUMAN, sp|P00915|CAH1_HUMAN, sp|Q8N1Q1|CAH13_HUMAN, sp|P00918|CAH2_HUMAN	tr|A0A7N4PFF5|A0A7N4PFF5_SARHA
OG0000572	sp|P50226|ST1A2_HUMAN, sp|P0DMM9|ST1A3_HUMAN, sp|P0DMN0|ST1A4_HUMAN, sp|P50225|ST1A1_HUMAN	tr|G3WCK6|G3WCK6_SARHA
OG0000573	sp|Q5GLZ8|HERC4_HUMAN	tr|G3WFX6|G3WFX6_SARHA
OG0000573	sp|Q9UII4|HERC5_HUMAN, sp|Q8IVU3|HERC6_HUMAN	tr|A0A7N4PG86|A0A7N4PG86_SARHA
OG0000574	sp|Q96PU4|UHRF2_HUMAN	tr|A0A7N4NVD5|A0A7N4NVD5_SARHA
OG0000574	sp|Q96T88|UHRF1_HUMAN	tr|G3VAX7|G3VAX7_SARHA, tr|A0A7N4NS52|A0A7N4NS52_SARHA
OG0000575	sp|P51854|TKTL1_HUMAN, sp|Q9H0I9|TKTL2_HUMAN	tr|G3W8C3|G3W8C3_SARHA
OG0000575	sp|P29401|TKT_HUMAN	tr|A0A7N4Q2A6|A0A7N4Q2A6_SARHA
OG0000579	sp|P49407|ARRB1_HUMAN	tr|A0A7N4PPY8|A0A7N4PPY8_SARHA
OG0000579	sp|P36575|ARRC_HUMAN, sp|P32121|ARRB2_HUMAN	tr|G3VAC5|G3VAC5_SARHA
OG0000581	sp|O75095|MEGF6_HUMAN	tr|A0A7N4PFA8|A0A7N4PFA8_SARHA
OG0000581	sp|Q0D2K5|EGFEM_HUMAN, sp|Q9UHF1|EGFL7_HUMAN	tr|G3VAM3|G3VAM3_SARHA
