Orthogroup	Homo_sapiens	Cricetulus_griseus
OG0000791	sp|Q15833|STXB2_HUMAN	tr|G3HWW8|G3HWW8_CRIGR
OG0000791	sp|P61764|STXB1_HUMAN	tr|G3HV15|G3HV15_CRIGR, tr|G3H7A4|G3H7A4_CRIGR
OG0000792	sp|Q96HC4|PDLI5_HUMAN	tr|G3IK70|G3IK70_CRIGR
OG0000792	sp|O75112|LDB3_HUMAN, sp|Q9NR12|PDLI7_HUMAN	tr|G3H168|G3H168_CRIGR
OG0000793	sp|Q9Y5R2|MMP24_HUMAN	tr|G3HAQ1|G3HAQ1_CRIGR
OG0000793	sp|P51512|MMP16_HUMAN	tr|G3IPB4|G3IPB4_CRIGR, tr|G3HUE2|G3HUE2_CRIGR
OG0000794	sp|O00219|HYAS3_HUMAN	tr|G3HKU6|G3HKU6_CRIGR
OG0000794	sp|Q92839|HYAS1_HUMAN, sp|Q92819|HYAS2_HUMAN	tr|G3IPF7|G3IPF7_CRIGR
OG0000795	sp|Q8NGE3|O10P1_HUMAN	tr|G3INS4|G3INS4_CRIGR, tr|G3IEC5|G3IEC5_CRIGR, tr|G3IEC4|G3IEC4_CRIGR, tr|G3ICF6|G3ICF6_CRIGR
OG0000796	sp|Q9H2J7|S6A15_HUMAN	tr|G3HSR4|G3HSR4_CRIGR
OG0000796	sp|Q9H1V8|S6A17_HUMAN	tr|G3IG28|G3IG28_CRIGR, tr|G3IJ03|G3IJ03_CRIGR
OG0000798	sp|Q9H2T7|RBP17_HUMAN	tr|G3IBF2|G3IBF2_CRIGR, tr|G3HTH4|G3HTH4_CRIGR
OG0000798	sp|Q9UIA9|XPO7_HUMAN	tr|G3GUX2|G3GUX2_CRIGR
OG0000799	sp|O60806|TBX19_HUMAN	tr|G3HE57|G3HE57_CRIGR
OG0000799	sp|O15178|TBXT_HUMAN	tr|G3ICY3|G3ICY3_CRIGR, tr|G3I4D0|G3I4D0_CRIGR
OG0000800	sp|Q9UHI7|S23A1_HUMAN	tr|G3HVH2|G3HVH2_CRIGR
OG0000800	sp|Q6PIS1|S23A3_HUMAN, sp|Q9UGH3|S23A2_HUMAN	tr|G3H414|G3H414_CRIGR
OG0000801	sp|Q9HAU6|TCTP8_HUMAN, sp|Q56UQ5|TPT1L_HUMAN, sp|P13693|TCTP_HUMAN	tr|G3HBF3|G3HBF3_CRIGR, tr|G3H832|G3H832_CRIGR
OG0000802	sp|Q92536|YLAT2_HUMAN	tr|G3HKV8|G3HKV8_CRIGR
OG0000802	sp|Q8TCU3|S7A13_HUMAN, sp|Q9UM01|YLAT1_HUMAN	tr|G3HRC9|G3HRC9_CRIGR
OG0000804	sp|Q14123|PDE1C_HUMAN	tr|G3HJL0|G3HJL0_CRIGR
OG0000804	sp|Q01064|PDE1B_HUMAN, sp|P54750|PDE1A_HUMAN	tr|G3HDP0|G3HDP0_CRIGR
OG0000805	sp|Q9HC98|NEK6_HUMAN	tr|G3I9D2|G3I9D2_CRIGR
OG0000805	sp|P51957|NEK4_HUMAN, sp|Q8TDX7|NEK7_HUMAN	tr|G3HM24|G3HM24_CRIGR
OG0000806	sp|O95497|VNN1_HUMAN	tr|G3I740|G3I740_CRIGR
OG0000806	sp|P43251|BTD_HUMAN, sp|O95498|VNN2_HUMAN	tr|G3I739|G3I739_CRIGR
OG0000807	sp|P07998|RNAS1_HUMAN, sp|P34096|RNAS4_HUMAN, sp|P03950|ANGI_HUMAN, sp|Q5GAN4|RNS12_HUMAN	tr|G3I1R9|G3I1R9_CRIGR
OG0000808	sp|Q9UBC0|HNF6_HUMAN	tr|G3GRJ0|G3GRJ0_CRIGR
OG0000808	sp|O95948|ONEC2_HUMAN, sp|O60422|ONEC3_HUMAN	tr|G3HF92|G3HF92_CRIGR
OG0000809	sp|Q8N335|GPD1L_HUMAN	tr|G3GV81|G3GV81_CRIGR
OG0000809	sp|P21695|GPDA_HUMAN	tr|G3HB59|G3HB59_CRIGR, tr|G3HX67|G3HX67_CRIGR
OG0000810	sp|P10827|THA_HUMAN	tr|G3I5M4|G3I5M4_CRIGR
OG0000810	sp|P10828|THB_HUMAN	tr|G3IPG9|G3IPG9_CRIGR, tr|G3H1F7|G3H1F7_CRIGR
OG0000811	sp|Q8IY17|PLPL6_HUMAN	tr|G3HWW4|G3HWW4_CRIGR
OG0000811	sp|Q6ZV29|PLPL7_HUMAN	tr|G3I5Y5|G3I5Y5_CRIGR, tr|G3I5Y4|G3I5Y4_CRIGR
OG0000812	sp|Q5HYJ3|FA76B_HUMAN, sp|Q8TAV0|FA76A_HUMAN	tr|G3H7D7|G3H7D7_CRIGR, tr|G3H206|G3H206_CRIGR, tr|G3IC57|G3IC57_CRIGR
OG0000813	sp|Q9Y698|CCG2_HUMAN	tr|G3IJ30|G3IJ30_CRIGR
OG0000813	sp|Q8WXS5|CCG8_HUMAN, sp|O60359|CCG3_HUMAN	tr|G3I988|G3I988_CRIGR
OG0000814	sp|P56279|TCL1A_HUMAN, sp|P56278|MTCP1_HUMAN, sp|O95988|TCL1B_HUMAN	tr|G3HHC4|G3HHC4_CRIGR, tr|G3IDW6|G3IDW6_CRIGR
OG0000815	sp|Q8NH19|O10AG_HUMAN	tr|G3HNM3|G3HNM3_CRIGR, tr|G3HNL9|G3HNL9_CRIGR, tr|G3HNL8|G3HNL8_CRIGR, tr|G3HNM4|G3HNM4_CRIGR
OG0000816	sp|O95747|OXSR1_HUMAN	tr|G3HQV2|G3HQV2_CRIGR, tr|G3IGR6|G3IGR6_CRIGR
OG0000816	sp|Q9UEW8|STK39_HUMAN	tr|G3HUE0|G3HUE0_CRIGR
OG0000817	sp|O60729|CC14B_HUMAN, sp|A4D256|CC14C_HUMAN	tr|G3IBD6|G3IBD6_CRIGR
OG0000817	sp|Q9UNH5|CC14A_HUMAN	tr|G3IFW2|G3IFW2_CRIGR
OG0000818	sp|Q8IW92|GLBL2_HUMAN	tr|G3HW22|G3HW22_CRIGR
OG0000818	sp|Q8NCI6|GLBL3_HUMAN	tr|G3GTV4|G3GTV4_CRIGR, tr|G3GTV3|G3GTV3_CRIGR
OG0000819	sp|Q5K651|SAMD9_HUMAN	tr|G3GXH5|G3GXH5_CRIGR
OG0000819	sp|Q8IVG5|SAM9L_HUMAN	tr|G3GXH6|G3GXH6_CRIGR, tr|G3GXH7|G3GXH7_CRIGR
OG0000820	sp|Q86Z23|C1QL4_HUMAN, sp|O75973|C1QRF_HUMAN, sp|Q5VWW1|C1QL3_HUMAN	tr|G3HN64|G3HN64_CRIGR, tr|G3HLL9|G3HLL9_CRIGR
OG0000821	sp|A8MWK0|FS2P1_HUMAN	tr|G3HR14|G3HR14_CRIGR
OG0000821	sp|O60427|FADS1_HUMAN, sp|O95864|FADS2_HUMAN	tr|G3IEF5|G3IEF5_CRIGR
OG0000822	sp|O15296|LX15B_HUMAN	tr|G3GY57|G3GY57_CRIGR
OG0000822	sp|O75342|LX12B_HUMAN, sp|Q9BYJ1|LOXE3_HUMAN	tr|G3GY56|G3GY56_CRIGR
OG0000823	sp|P16157|ANK1_HUMAN	tr|G3HHI1|G3HHI1_CRIGR
OG0000823	sp|Q12955|ANK3_HUMAN	tr|G3IM85|G3IM85_CRIGR, tr|G3HVL0|G3HVL0_CRIGR
OG0000824	sp|Q8N127|O5AS1_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN	tr|G3HR39|G3HR39_CRIGR
OG0000825	sp|Q9Y581|INSL6_HUMAN, sp|Q14641|INSL4_HUMAN, sp|P04090|REL2_HUMAN, sp|P04808|REL1_HUMAN	tr|G3I7L0|G3I7L0_CRIGR
OG0000826	sp|O95199|RCBT2_HUMAN	tr|G3HR85|G3HR85_CRIGR
OG0000826	sp|Q92834|RPGR_HUMAN, sp|Q8NDN9|RCBT1_HUMAN	tr|G3IBM3|G3IBM3_CRIGR
OG0000827	sp|Q8TE73|DYH5_HUMAN	tr|G3HAM0|G3HAM0_CRIGR
OG0000827	sp|Q96JB1|DYH8_HUMAN	tr|G3HLD2|G3HLD2_CRIGR, tr|G3HLD3|G3HLD3_CRIGR
OG0000828	sp|A6NC98|CC88B_HUMAN	tr|G3I398|G3I398_CRIGR
OG0000828	sp|Q9P219|DAPLE_HUMAN, sp|Q3V6T2|GRDN_HUMAN	tr|G3HJT0|G3HJT0_CRIGR
OG0000829	sp|Q9HC35|EMAL4_HUMAN	tr|G3GV30|G3GV30_CRIGR
OG0000829	sp|O00423|EMAL1_HUMAN, sp|O95834|EMAL2_HUMAN	tr|G3HPE9|G3HPE9_CRIGR
OG0000830	sp|Q8TB05|UBAD1_HUMAN	tr|G3HUG7|G3HUG7_CRIGR, tr|G3H6R0|G3H6R0_CRIGR, tr|G3INZ9|G3INZ9_CRIGR, tr|G3HS59|G3HS59_CRIGR
OG0000831	sp|Q969I6|S38A4_HUMAN	tr|G3I5L7|G3I5L7_CRIGR
OG0000831	sp|Q99624|S38A3_HUMAN, sp|Q96QD8|S38A2_HUMAN	tr|G3I5M1|G3I5M1_CRIGR
OG0000832	sp|P40429|RL13A_HUMAN	tr|G3HE86|G3HE86_CRIGR
OG0000832	sp|Q6NVV1|R13P3_HUMAN	tr|G3H9W5|G3H9W5_CRIGR, tr|G3I003|G3I003_CRIGR
OG0000833	sp|Q96S94|CCNL2_HUMAN	tr|G3I426|G3I426_CRIGR
OG0000833	sp|Q9UK58|CCNL1_HUMAN	tr|G3I427|G3I427_CRIGR, tr|G3H220|G3H220_CRIGR
OG0000834	sp|Q9NYL9|TMOD3_HUMAN	tr|G3GRH9|G3GRH9_CRIGR
OG0000834	sp|P28289|TMOD1_HUMAN, sp|Q9NZR1|TMOD2_HUMAN	tr|G3GRH7|G3GRH7_CRIGR
OG0000835	sp|Q8TDN1|KCNG4_HUMAN, sp|Q9UIX4|KCNG1_HUMAN, sp|Q6PIU1|KCNV1_HUMAN, sp|Q9UJ96|KCNG2_HUMAN	tr|G3GRX8|G3GRX8_CRIGR
OG0000836	sp|Q13085|ACACA_HUMAN	tr|G3H9D1|G3H9D1_CRIGR
OG0000836	sp|O00763|ACACB_HUMAN	tr|G3IC10|G3IC10_CRIGR, tr|G3HI85|G3HI85_CRIGR
OG0000837	sp|P09429|HMGB1_HUMAN, sp|B2RPK0|HGB1A_HUMAN, sp|P23497|SP100_HUMAN, sp|P26583|HMGB2_HUMAN	tr|G3HKY0|G3HKY0_CRIGR
OG0000838	sp|Q8IUC4|RHPN2_HUMAN, sp|A8MT19|RHN2P_HUMAN	tr|G3HF12|G3HF12_CRIGR
OG0000838	sp|Q8TCX5|RHPN1_HUMAN	tr|G3I5H9|G3I5H9_CRIGR
OG0000840	sp|Q86WD7|SPA9_HUMAN, sp|P05154|IPSP_HUMAN, sp|Q6UXR4|SPA13_HUMAN, sp|P29622|KAIN_HUMAN	tr|G3I298|G3I298_CRIGR
OG0000841	sp|P34982|OR1D2_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN	tr|G3I9I6|G3I9I6_CRIGR, tr|G3IM25|G3IM25_CRIGR
OG0000842	sp|Q9BYC2|SCOT2_HUMAN	tr|G3HN75|G3HN75_CRIGR, tr|G3HN82|G3HN82_CRIGR
OG0000842	sp|P55809|SCOT1_HUMAN	tr|G3HHF3|G3HHF3_CRIGR
OG0000843	sp|Q96PF2|TSSK2_HUMAN, sp|Q6SA08|TSSK4_HUMAN, sp|Q9BXA6|TSSK6_HUMAN, sp|Q9BXA7|TSSK1_HUMAN	tr|G3HER3|G3HER3_CRIGR
OG0000844	sp|Q9Y2H1|ST38L_HUMAN	tr|G3I0W5|G3I0W5_CRIGR
OG0000844	sp|Q15208|STK38_HUMAN, sp|Q09013|DMPK_HUMAN	tr|G3HKC1|G3HKC1_CRIGR
OG0000845	sp|Q9UL62|TRPC5_HUMAN	tr|G3HPA2|G3HPA2_CRIGR
OG0000845	sp|P48995|TRPC1_HUMAN, sp|Q9UBN4|TRPC4_HUMAN	tr|G3ID96|G3ID96_CRIGR
OG0000846	sp|P20265|PO3F2_HUMAN, sp|Q03052|PO3F1_HUMAN, sp|P20264|PO3F3_HUMAN, sp|P49335|PO3F4_HUMAN	tr|G3HPU7|G3HPU7_CRIGR
OG0000847	sp|Q9UM21|MGT4A_HUMAN	tr|G3H1P6|G3H1P6_CRIGR
OG0000847	sp|A6NG13|MGT4D_HUMAN, sp|Q9UQ53|MGT4B_HUMAN	tr|G3HP67|G3HP67_CRIGR
OG0000848	sp|Q96K83|ZN521_HUMAN	tr|G3HKT9|G3HKT9_CRIGR
OG0000848	sp|Q2M1K9|ZN423_HUMAN	tr|G3HKT8|G3HKT8_CRIGR, tr|G3H5N1|G3H5N1_CRIGR
OG0000849	sp|P14410|SUIS_HUMAN	tr|G3HQU7|G3HQU7_CRIGR
OG0000849	sp|Q2M2H8|MGAL_HUMAN, sp|O43451|MGA_HUMAN	tr|G3HU95|G3HU95_CRIGR
OG0000850	sp|Q8NG84|O2AK2_HUMAN	tr|G3INS8|G3INS8_CRIGR, tr|G3I8J5|G3I8J5_CRIGR, tr|G3I8J4|G3I8J4_CRIGR, tr|G3I8J6|G3I8J6_CRIGR
OG0000851	sp|P68402|PA1B2_HUMAN	tr|G3I0Q4|G3I0Q4_CRIGR
OG0000851	sp|Q15102|PA1B3_HUMAN	tr|G3IAJ1|G3IAJ1_CRIGR, tr|G3I0M2|G3I0M2_CRIGR
OG0000852	sp|Q96MC6|MF14A_HUMAN	tr|G3IEJ3|G3IEJ3_CRIGR
OG0000852	sp|Q5SR56|MF14B_HUMAN, sp|Q5VZR4|MF14C_HUMAN	tr|G3IGM1|G3IGM1_CRIGR
OG0000853	sp|Q15119|PDK2_HUMAN	tr|G3HJQ9|G3HJQ9_CRIGR
OG0000853	sp|Q16654|PDK4_HUMAN, sp|Q15118|PDK1_HUMAN	tr|G3GUB9|G3GUB9_CRIGR
OG0000854	sp|Q5T764|IFT1B_HUMAN, sp|P09914|IFIT1_HUMAN, sp|Q13325|IFIT5_HUMAN, sp|O14879|IFIT3_HUMAN	tr|G3IJK4|G3IJK4_CRIGR
OG0000855	sp|Q3MIR4|CC50B_HUMAN	tr|G3HSU2|G3HSU2_CRIGR
OG0000855	sp|A0ZSE6|CC50C_HUMAN, sp|Q9NV96|CC50A_HUMAN	tr|G3HH32|G3HH32_CRIGR
OG0000856	sp|Q16515|ASIC2_HUMAN	tr|G3GTT0|G3GTT0_CRIGR
OG0000856	sp|Q9UHC3|ASIC3_HUMAN, sp|P78348|ASIC1_HUMAN	tr|G3HX64|G3HX64_CRIGR
OG0000857	sp|Q6ZN68|D19P2_HUMAN, sp|Q6NUT2|D19L2_HUMAN, sp|Q6NXN4|D19P1_HUMAN, sp|Q2PZI1|D19L1_HUMAN	tr|G3HHW0|G3HHW0_CRIGR
OG0000858	sp|O95503|CBX6_HUMAN	tr|G3I2J3|G3I2J3_CRIGR
OG0000858	sp|O95502|NPTXR_HUMAN, sp|P47972|NPTX2_HUMAN	tr|G3HY92|G3HY92_CRIGR
OG0000859	sp|A6NIE6|RN3P2_HUMAN	tr|G3I3M7|G3I3M7_CRIGR
OG0000859	sp|Q9NYV6|RRN3_HUMAN, sp|Q2M238|RN3P1_HUMAN	tr|G3HFN9|G3HFN9_CRIGR
OG0000860	sp|Q16537|2A5E_HUMAN	tr|G3H4Y5|G3H4Y5_CRIGR
OG0000860	sp|Q15172|2A5A_HUMAN, sp|Q15173|2A5B_HUMAN	tr|G3I6G3|G3I6G3_CRIGR
OG0000861	sp|Q9C0K3|ARP3C_HUMAN	tr|G3HYZ9|G3HYZ9_CRIGR
OG0000861	sp|Q9P1U1|ARP3B_HUMAN, sp|P61158|ARP3_HUMAN	tr|G3GZE6|G3GZE6_CRIGR
OG0000862	sp|Q13105|ZBT17_HUMAN	tr|G3IHY8|G3IHY8_CRIGR, tr|G3HUG1|G3HUG1_CRIGR, tr|G3IFX7|G3IFX7_CRIGR, tr|G3I867|G3I867_CRIGR
OG0000863	sp|Q86YW9|MD12L_HUMAN	tr|G3HG52|G3HG52_CRIGR
OG0000863	sp|Q93074|MED12_HUMAN	tr|G3HG47|G3HG47_CRIGR, tr|G3I7K2|G3I7K2_CRIGR
OG0000864	sp|O75636|FCN3_HUMAN	tr|G3IHA1|G3IHA1_CRIGR
OG0000864	sp|O00602|FCN1_HUMAN, sp|Q15485|FCN2_HUMAN	tr|G3IJW4|G3IJW4_CRIGR
OG0000865	sp|P35626|ARBK2_HUMAN	tr|G3HTB1|G3HTB1_CRIGR, tr|G3HVI5|G3HVI5_CRIGR
OG0000865	sp|P25098|ARBK1_HUMAN	tr|G3I409|G3I409_CRIGR
OG0000866	sp|U3KPV4|A3LT2_HUMAN	tr|G3H924|G3H924_CRIGR
OG0000866	sp|Q7Z4J2|GL6D1_HUMAN	tr|G3HX87|G3HX87_CRIGR, tr|G3HX86|G3HX86_CRIGR
OG0000867	sp|P19876|CXCL3_HUMAN, sp|P09341|GROA_HUMAN, sp|P19875|CXCL2_HUMAN	tr|A4URF0|A4URF0_CRIGR, tr|G3I473|G3I473_CRIGR
OG0000868	sp|Q9BYT5|KRA22_HUMAN, sp|Q9BYU5|KRA21_HUMAN, sp|P0C7H8|KRA23_HUMAN, sp|Q9BYR9|KRA24_HUMAN	tr|G3IGG5|G3IGG5_CRIGR
OG0000869	sp|O00470|MEIS1_HUMAN, sp|Q99687|MEIS3_HUMAN, sp|A8K0S8|ME3L2_HUMAN, sp|A6NDR6|ME3L1_HUMAN	tr|G3H117|G3H117_CRIGR
OG0000870	sp|Q5VT66|MARC1_HUMAN	tr|G3GRD3|G3GRD3_CRIGR
OG0000870	sp|Q969Z3|MARC2_HUMAN	tr|G3GRD4|G3GRD4_CRIGR, tr|G3HA75|G3HA75_CRIGR
OG0000871	sp|O15054|KDM6B_HUMAN	tr|G3GY63|G3GY63_CRIGR
OG0000871	sp|O14607|UTY_HUMAN, sp|O15550|KDM6A_HUMAN	tr|G3H6Q4|G3H6Q4_CRIGR
OG0000872	sp|Q13137|CACO2_HUMAN	tr|G3IBP6|G3IBP6_CRIGR, tr|G3IBP5|G3IBP5_CRIGR, tr|G3I549|G3I549_CRIGR, tr|G3HJN1|G3HJN1_CRIGR
OG0000873	sp|P11216|PYGB_HUMAN	tr|G3H6Z4|G3H6Z4_CRIGR
OG0000873	sp|P11217|PYGM_HUMAN, sp|P06737|PYGL_HUMAN	tr|G3ILF9|G3ILF9_CRIGR
OG0000874	sp|O60343|TBCD4_HUMAN	tr|G3HNA2|G3HNA2_CRIGR
OG0000874	sp|Q86TI0|TBCD1_HUMAN	tr|G3HNA3|G3HNA3_CRIGR, tr|G3IJ61|G3IJ61_CRIGR
OG0000875	sp|O75317|UBP12_HUMAN	tr|G3HVQ2|G3HVQ2_CRIGR
OG0000875	sp|P62068|UBP46_HUMAN	tr|G3GWI9|G3GWI9_CRIGR, tr|G3IDG6|G3IDG6_CRIGR
OG0000876	sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN	tr|G3HR44|G3HR44_CRIGR, tr|G3HR43|G3HR43_CRIGR
OG0000877	sp|Q96CX2|KCD12_HUMAN	tr|G3I8K4|G3I8K4_CRIGR
OG0000877	sp|Q6ZWB6|KCTD8_HUMAN, sp|Q68DU8|KCD16_HUMAN	tr|G3I271|G3I271_CRIGR
OG0000878	sp|Q12800|TFCP2_HUMAN	tr|G3IHH3|G3IHH3_CRIGR
OG0000878	sp|Q9NZI7|UBIP1_HUMAN, sp|Q9NZI6|TF2L1_HUMAN	tr|G3H139|G3H139_CRIGR
OG0000879	sp|P35241|RADI_HUMAN	tr|G3HFP1|G3HFP1_CRIGR
OG0000879	sp|P26038|MOES_HUMAN, sp|P15311|EZRI_HUMAN	tr|G3HWC3|G3HWC3_CRIGR
OG0000880	sp|Q6ZMV5|P4R3C_HUMAN, sp|Q5MIZ7|P4R3B_HUMAN	tr|G3HJT2|G3HJT2_CRIGR
OG0000880	sp|Q6IN85|P4R3A_HUMAN	tr|G3I399|G3I399_CRIGR
OG0000881	sp|P55795|HNRH2_HUMAN	tr|G3H605|G3H605_CRIGR
OG0000881	sp|P31943|HNRH1_HUMAN, sp|P52597|HNRPF_HUMAN	tr|G3HP71|G3HP71_CRIGR
OG0000882	sp|Q96G23|CERS2_HUMAN	tr|G3H2X8|G3H2X8_CRIGR
OG0000882	sp|Q9HA82|CERS4_HUMAN, sp|Q8IU89|CERS3_HUMAN	tr|G3H595|G3H595_CRIGR
OG0000883	sp|P27348|1433T_HUMAN	tr|G3H132|G3H132_CRIGR, tr|G3IEY9|G3IEY9_CRIGR, tr|G3HL86|G3HL86_CRIGR, tr|G3ICC6|G3ICC6_CRIGR
OG0000884	sp|Q99961|SH3G1_HUMAN	tr|G3HCF8|G3HCF8_CRIGR
OG0000884	sp|Q99962|SH3G2_HUMAN, sp|Q99963|SH3G3_HUMAN	tr|G3I2Z8|G3I2Z8_CRIGR
OG0000885	sp|Q96HU8|DIRA2_HUMAN	tr|G3HIA6|G3HIA6_CRIGR
OG0000885	sp|O95661|DIRA3_HUMAN, sp|O95057|DIRA1_HUMAN	tr|G3HSM5|G3HSM5_CRIGR
OG0000886	sp|Q9H013|ADA19_HUMAN	tr|G3HFT4|G3HFT4_CRIGR
OG0000886	sp|Q9BZ11|ADA33_HUMAN, sp|O43184|ADA12_HUMAN	tr|G3IEN0|G3IEN0_CRIGR
OG0000888	sp|P62899|RL31_HUMAN	tr|G3IHX8|G3IHX8_CRIGR, tr|G3H7J9|G3H7J9_CRIGR, tr|G3HMM5|G3HMM5_CRIGR, tr|G3HHK3|G3HHK3_CRIGR
OG0000889	sp|P11387|TOP1_HUMAN	tr|G3HWN6|G3HWN6_CRIGR
OG0000889	sp|Q969P6|TOP1M_HUMAN	tr|G3I5I0|G3I5I0_CRIGR, tr|G3IQ64|G3IQ64_CRIGR
OG0000890	sp|A0PJE2|DHR12_HUMAN, sp|Q8N5I4|DHRSX_HUMAN, sp|Q8TC12|RDH11_HUMAN, sp|Q96NR8|RDH12_HUMAN	tr|G3H1L6|G3H1L6_CRIGR
OG0000891	sp|Q8IYJ1|CPNE9_HUMAN	tr|G3GX88|G3GX88_CRIGR
OG0000891	sp|Q86YQ8|CPNE8_HUMAN, sp|Q9HCH3|CPNE5_HUMAN	tr|G3HKC8|G3HKC8_CRIGR
OG0000892	sp|O14682|ENC1_HUMAN	tr|G3HUS3|G3HUS3_CRIGR
OG0000892	sp|Q8NAB2|KBTB3_HUMAN, sp|Q9H0H3|KLH25_HUMAN	tr|G3I353|G3I353_CRIGR
OG0000893	sp|Q15165|PON2_HUMAN	tr|G3HT86|G3HT86_CRIGR
OG0000893	sp|Q15166|PON3_HUMAN, sp|P27169|PON1_HUMAN	tr|G3HT85|G3HT85_CRIGR
OG0000894	sp|O15244|S22A2_HUMAN	tr|G3HGQ4|G3HGQ4_CRIGR
OG0000894	sp|O75751|S22A3_HUMAN, sp|O15245|S22A1_HUMAN	tr|G3HGQ3|G3HGQ3_CRIGR
OG0000895	sp|Q8WWL7|CCNB3_HUMAN	tr|G3HQG2|G3HQG2_CRIGR
OG0000895	sp|Q9H8S5|CCNP_HUMAN, sp|P14635|CCNB1_HUMAN	tr|G3HRW5|G3HRW5_CRIGR
OG0000896	sp|Q07812|BAX_HUMAN	tr|G3ICQ2|G3ICQ2_CRIGR, tr|G3H219|G3H219_CRIGR, tr|G3I9P7|G3I9P7_CRIGR, tr|G3HZX7|G3HZX7_CRIGR
OG0000897	sp|Q58G82|SY14L_HUMAN, sp|Q8N9U0|TAC2N_HUMAN, sp|Q8NB59|SYT14_HUMAN, sp|Q17RD7|SYT16_HUMAN	tr|G3H4X9|G3H4X9_CRIGR
OG0000898	sp|Q8N3J6|CADM2_HUMAN	tr|G3H717|G3H717_CRIGR
OG0000898	sp|Q8NFZ8|CADM4_HUMAN, sp|Q8N126|CADM3_HUMAN	tr|G3H810|G3H810_CRIGR
OG0000899	sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN	tr|G3HR40|G3HR40_CRIGR, tr|G3HR42|G3HR42_CRIGR
OG0000900	sp|Q8TDI0|CHD5_HUMAN	tr|G3ICL9|G3ICL9_CRIGR
OG0000900	sp|Q12873|CHD3_HUMAN, sp|Q14839|CHD4_HUMAN	tr|G3GUN0|G3GUN0_CRIGR
OG0000901	sp|Q8NH90|O5AK2_HUMAN, sp|Q8NH89|O5AK3_HUMAN	tr|G3HR13|G3HR13_CRIGR, tr|G3HR12|G3HR12_CRIGR, tr|G3HR11|G3HR11_CRIGR
OG0000902	sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN	tr|G3HR45|G3HR45_CRIGR, tr|G3HNN5|G3HNN5_CRIGR
OG0000903	sp|Q9H902|REEP1_HUMAN	tr|G3HJK6|G3HJK6_CRIGR
OG0000903	sp|Q9BRK0|REEP2_HUMAN, sp|Q6NUK4|REEP3_HUMAN	tr|G3H9I2|G3H9I2_CRIGR
OG0000904	sp|O95714|HERC2_HUMAN, sp|Q9BVR0|HRC23_HUMAN	tr|G3HT71|G3HT71_CRIGR
OG0000904	sp|Q15751|HERC1_HUMAN	tr|G3H523|G3H523_CRIGR
OG0000905	sp|Q08431|MFGM_HUMAN	tr|G3ICD3|G3ICD3_CRIGR
OG0000905	sp|O43854|EDIL3_HUMAN	tr|G3IK05|G3IK05_CRIGR, tr|G3HKH8|G3HKH8_CRIGR
OG0000906	sp|Q9UKU6|TRHDE_HUMAN	tr|G3H4Q4|G3H4Q4_CRIGR
OG0000906	sp|Q6Q4G3|AMPQ_HUMAN, sp|P15144|AMPN_HUMAN	tr|G3ILM6|G3ILM6_CRIGR
OG0000907	sp|P00450|CERU_HUMAN	tr|G3I0U6|G3I0U6_CRIGR
OG0000907	sp|Q6MZM0|HPHL1_HUMAN, sp|Q9BQS7|HEPH_HUMAN	tr|G3HYK1|G3HYK1_CRIGR
OG0000908	sp|O60256|KPRB_HUMAN	tr|G3GVJ8|G3GVJ8_CRIGR
OG0000908	sp|Q14558|KPRA_HUMAN	tr|G3GVJ7|G3GVJ7_CRIGR, tr|G3HTX6|G3HTX6_CRIGR
OG0000909	sp|P35080|PROF2_HUMAN	tr|G3IA72|G3IA72_CRIGR
OG0000909	sp|P60673|PROF3_HUMAN, sp|P07737|PROF1_HUMAN	tr|G3GYC6|G3GYC6_CRIGR
OG0000910	sp|O95389|CCN6_HUMAN	tr|G3HJG9|G3HJG9_CRIGR
OG0000910	sp|O95388|CCN4_HUMAN, sp|P29279|CCN2_HUMAN	tr|G3IAP3|G3IAP3_CRIGR
OG0000911	sp|P22732|GTR5_HUMAN	tr|G3IK23|G3IK23_CRIGR
OG0000911	sp|Q9BYW1|GTR11_HUMAN, sp|Q6PXP3|GTR7_HUMAN	tr|G3IK22|G3IK22_CRIGR
OG0000912	sp|Q99755|PI51A_HUMAN	tr|G3H2Z6|G3H2Z6_CRIGR
OG0000912	sp|O14986|PI51B_HUMAN, sp|O60331|PI51C_HUMAN	tr|G3HSK5|G3HSK5_CRIGR
OG0000913	sp|Q7Z5Q1|CPEB2_HUMAN	tr|G3HTN3|G3HTN3_CRIGR
OG0000913	sp|Q8NE35|CPEB3_HUMAN, sp|Q17RY0|CPEB4_HUMAN	tr|G3H9Q8|G3H9Q8_CRIGR
OG0000914	sp|Q9Y625|GPC6_HUMAN	tr|G3GTT5|G3GTT5_CRIGR, tr|G3GS92|G3GS92_CRIGR
