Orthogroup	Homo_sapiens	Pteropus_vampyrus
OG0001119	sp|Q8IYD1|ERF3B_HUMAN	tr|A0A6P3RPA3|A0A6P3RPA3_PTEVA
OG0001119	sp|P15170|ERF3A_HUMAN	tr|A0A6P3PZI5|A0A6P3PZI5_PTEVA
OG0001120	sp|Q8NEM7|SP20H_HUMAN, sp|Q3ZLR7|SP201_HUMAN, sp|P0C7V6|SP202_HUMAN	tr|A0A6P3Q729|A0A6P3Q729_PTEVA
OG0001121	sp|Q96JB1|DYH8_HUMAN	tr|A0A6P3PT06|A0A6P3PT06_PTEVA
OG0001121	sp|Q8TE73|DYH5_HUMAN	tr|A0A6P6CP52|A0A6P6CP52_PTEVA
OG0001122	sp|O95319|CELF2_HUMAN	tr|A0A6P3QGS9|A0A6P3QGS9_PTEVA
OG0001122	sp|Q92879|CELF1_HUMAN	tr|A0A6P3Q735|A0A6P3Q735_PTEVA
OG0001123	sp|Q9NZH7|IL36B_HUMAN, sp|Q9NZH8|IL36G_HUMAN, sp|Q9UHA7|IL36A_HUMAN	tr|A0A6P6BRJ2|A0A6P6BRJ2_PTEVA
OG0001124	sp|Q9NUU7|DD19A_HUMAN	tr|A0A6P6BWD3|A0A6P6BWD3_PTEVA
OG0001124	sp|Q9UMR2|DD19B_HUMAN	tr|A0A6P3RE80|A0A6P3RE80_PTEVA
OG0001125	sp|Q9Y5S2|MRCKB_HUMAN	tr|A0A6P6D169|A0A6P6D169_PTEVA
OG0001125	sp|Q5VT25|MRCKA_HUMAN	tr|A0A6P6CH55|A0A6P6CH55_PTEVA
OG0001126	sp|A0PJX4|SHSA3_HUMAN, sp|Q96DD7|SHSA4_HUMAN, sp|Q8N114|SHSA5_HUMAN	tr|A0A6P3Q958|A0A6P3Q958_PTEVA
OG0001127	sp|P10644|KAP0_HUMAN	tr|A0A6P6CWZ5|A0A6P6CWZ5_PTEVA
OG0001127	sp|P31321|KAP1_HUMAN	tr|A0A6P6CMJ1|A0A6P6CMJ1_PTEVA
OG0001128	sp|P30989|NTR1_HUMAN	tr|A0A6P3QZB9|A0A6P3QZB9_PTEVA
OG0001128	sp|O95665|NTR2_HUMAN	tr|A0A6P3QFZ3|A0A6P3QFZ3_PTEVA
OG0001129	sp|P55895|RAG2_HUMAN	tr|A0A6P3Q1A3|A0A6P3Q1A3_PTEVA, tr|A0A6P3S047|A0A6P3S047_PTEVA, tr|A0A6P3QA99|A0A6P3QA99_PTEVA
OG0001130	sp|P60842|IF4A1_HUMAN	tr|A0A6P3Q309|A0A6P3Q309_PTEVA
OG0001130	sp|Q14240|IF4A2_HUMAN	tr|A0A6P3RH38|A0A6P3RH38_PTEVA
OG0001131	sp|Q659C4|LAR1B_HUMAN	tr|A0A6P3Q9T1|A0A6P3Q9T1_PTEVA
OG0001131	sp|Q6PKG0|LARP1_HUMAN	tr|A0A6P3PWG8|A0A6P3PWG8_PTEVA
OG0001132	sp|Q8IY49|PAQRA_HUMAN	tr|A0A6P3QFF8|A0A6P3QFF8_PTEVA
OG0001132	sp|Q15546|PAQRB_HUMAN	tr|A0A6P3QNB0|A0A6P3QNB0_PTEVA
OG0001133	sp|Q06830|PRDX1_HUMAN	tr|A0A6P3QMW0|A0A6P3QMW0_PTEVA
OG0001133	sp|P32119|PRDX2_HUMAN	tr|A0A6P3RPJ1|A0A6P3RPJ1_PTEVA
OG0001134	sp|Q0VDD8|DYH14_HUMAN	tr|A0A6P3Q762|A0A6P3Q762_PTEVA
OG0001134	sp|Q9C0G6|DYH6_HUMAN	tr|A0A6P6CXF3|A0A6P6CXF3_PTEVA
OG0001135	sp|Q9Y605|MOFA1_HUMAN, sp|Q96HT8|MR1L1_HUMAN, sp|B2RBV5|MRUPP_HUMAN	tr|A0A6P3RNA9|A0A6P3RNA9_PTEVA
OG0001136	sp|P11532|DMD_HUMAN	tr|A0A6P3R7T7|A0A6P3R7T7_PTEVA
OG0001136	sp|P46939|UTRN_HUMAN	tr|A0A6P6C9M9|A0A6P6C9M9_PTEVA
OG0001137	sp|P15421|GLPE_HUMAN, sp|P06028|GLPB_HUMAN, sp|P02724|GLPA_HUMAN	tr|A0A6P3QGF9|A0A6P3QGF9_PTEVA
OG0001138	sp|P21579|SYT1_HUMAN	tr|A0A6P3QZF2|A0A6P3QZF2_PTEVA
OG0001138	sp|Q8N9I0|SYT2_HUMAN	tr|A0A6P6CSZ9|A0A6P6CSZ9_PTEVA
OG0001139	sp|Q15822|ACHA2_HUMAN	tr|A0A6P6CGU2|A0A6P6CGU2_PTEVA
OG0001139	sp|P43681|ACHA4_HUMAN	tr|A0A6P6BKS6|A0A6P6BKS6_PTEVA
OG0001140	sp|P46019|KPB2_HUMAN	tr|A0A6P3Q9N2|A0A6P3Q9N2_PTEVA
OG0001140	sp|P46020|KPB1_HUMAN	tr|A0A6P6C021|A0A6P6C021_PTEVA
OG0001141	sp|P55286|CADH8_HUMAN	tr|A0A6P3Q6H7|A0A6P3Q6H7_PTEVA
OG0001141	sp|P55287|CAD11_HUMAN	tr|A0A6P3PWB3|A0A6P3PWB3_PTEVA
OG0001142	sp|Q8IUQ0|CLVS1_HUMAN	tr|A0A6P3Q157|A0A6P3Q157_PTEVA
OG0001142	sp|Q5SYC1|CLVS2_HUMAN	tr|A0A6P3Q0A5|A0A6P3Q0A5_PTEVA
OG0001143	sp|Q6MZW2|FSTL4_HUMAN	tr|A0A6P3QI01|A0A6P3QI01_PTEVA
OG0001143	sp|Q8N475|FSTL5_HUMAN	tr|A0A6P3QRE5|A0A6P3QRE5_PTEVA
OG0001144	sp|Q7RTU3|OLIG3_HUMAN, sp|Q8TAK6|OLIG1_HUMAN, sp|Q8NDY6|BHE23_HUMAN	tr|A0A6P3Q5D0|A0A6P3Q5D0_PTEVA
OG0001145	sp|Q86SR1|GLT10_HUMAN	tr|A0A6P3Q9N6|A0A6P3Q9N6_PTEVA
OG0001145	sp|Q49A17|GLTL6_HUMAN	tr|A0A6P3Q878|A0A6P3Q878_PTEVA
OG0001146	sp|Q8TDG2|ACTT1_HUMAN	tr|A0A6P3RMZ3|A0A6P3RMZ3_PTEVA
OG0001146	sp|Q8TDY3|ACTT2_HUMAN	tr|A0A6P3QZX7|A0A6P3QZX7_PTEVA
OG0001147	sp|Q8WVX9|FACR1_HUMAN	tr|A0A6P6BKU5|A0A6P6BKU5_PTEVA
OG0001147	sp|Q96K12|FACR2_HUMAN	tr|A0A6P3QQ46|A0A6P3QQ46_PTEVA
OG0001148	sp|P25800|RBTN1_HUMAN	tr|A0A6P3RA04|A0A6P3RA04_PTEVA
OG0001148	sp|Q8TAP4|LMO3_HUMAN	tr|A0A6P3RBC0|A0A6P3RBC0_PTEVA
OG0001149	sp|Q8TDI8|TMC1_HUMAN	tr|A0A6P3QV19|A0A6P3QV19_PTEVA
OG0001149	sp|Q8TDI7|TMC2_HUMAN	tr|A0A6P3R710|A0A6P3R710_PTEVA
OG0001150	sp|Q9NUG4|CCM2L_HUMAN	tr|A0A6P3RDB4|A0A6P3RDB4_PTEVA
OG0001150	sp|Q9BSQ5|CCM2_HUMAN	tr|A0A6P6C285|A0A6P6C285_PTEVA
OG0001151	sp|Q8IU85|KCC1D_HUMAN	tr|A0A6P3Q262|A0A6P3Q262_PTEVA
OG0001151	sp|Q14012|KCC1A_HUMAN	tr|A0A6P3R6A2|A0A6P3R6A2_PTEVA
OG0001152	sp|Q9UBR4|LHX3_HUMAN	tr|A0A6P3R524|A0A6P3R524_PTEVA
OG0001152	sp|Q969G2|LHX4_HUMAN	tr|A0A6P3QFR5|A0A6P3QFR5_PTEVA
OG0001153	sp|Q9NRF8|PYRG2_HUMAN	tr|A0A6P3QDL0|A0A6P3QDL0_PTEVA
OG0001153	sp|P17812|PYRG1_HUMAN	tr|A0A6P3R8I2|A0A6P3R8I2_PTEVA
OG0001154	sp|Q9ULV0|MYO5B_HUMAN	tr|A0A6P6CK31|A0A6P6CK31_PTEVA
OG0001154	sp|Q9Y4I1|MYO5A_HUMAN	tr|A0A6P6C8A6|A0A6P6C8A6_PTEVA
OG0001155	sp|P09936|UCHL1_HUMAN	tr|A0A6P3QIX7|A0A6P3QIX7_PTEVA
OG0001155	sp|P15374|UCHL3_HUMAN	tr|A0A6P6CXA7|A0A6P6CXA7_PTEVA
OG0001156	sp|P31944|CASPE_HUMAN	tr|A0A6P6BPJ6|A0A6P6BPJ6_PTEVA, tr|A0A6P3PXN8|A0A6P3PXN8_PTEVA, tr|A0A6P3RLU7|A0A6P3RLU7_PTEVA
OG0001157	sp|Q14D33|RTP5_HUMAN	tr|A0A6P6BP62|A0A6P6BP62_PTEVA
OG0001157	sp|Q9BQQ7|RTP3_HUMAN	tr|A0A6P3Q0A4|A0A6P3Q0A4_PTEVA
OG0001158	sp|P48169|GBRA4_HUMAN	tr|A0A6P3QJ15|A0A6P3QJ15_PTEVA
OG0001158	sp|Q16445|GBRA6_HUMAN	tr|A0A6P3Q9I9|A0A6P3Q9I9_PTEVA
OG0001159	sp|Q16620|NTRK2_HUMAN	tr|A0A6P6D2W3|A0A6P6D2W3_PTEVA
OG0001159	sp|Q16288|NTRK3_HUMAN	tr|A0A6P6BYR5|A0A6P6BYR5_PTEVA
OG0001160	sp|Q9Y217|MTMR6_HUMAN	tr|A0A6P3RGV0|A0A6P3RGV0_PTEVA
OG0001160	sp|Q96EF0|MTMR8_HUMAN	tr|A0A6P3RY59|A0A6P3RY59_PTEVA
OG0001161	sp|Q9BPW8|NIPS1_HUMAN	tr|A0A6P3QXZ2|A0A6P3QXZ2_PTEVA
OG0001161	sp|O75323|NIPS2_HUMAN	tr|A0A6P6CSV8|A0A6P6CSV8_PTEVA
OG0001162	sp|P62508|ERR3_HUMAN	tr|A0A6P6CQV0|A0A6P6CQV0_PTEVA
OG0001162	sp|O95718|ERR2_HUMAN	tr|A0A6P3PX18|A0A6P3PX18_PTEVA
OG0001163	sp|P06396|GELS_HUMAN	tr|A0A6P6CIJ9|A0A6P6CIJ9_PTEVA
OG0001163	sp|Q9Y6U3|SCIN_HUMAN	tr|A0A6P6CLE8|A0A6P6CLE8_PTEVA
OG0001164	sp|Q96L21|RL10L_HUMAN	tr|A0A6P3RI65|A0A6P3RI65_PTEVA
OG0001164	sp|P27635|RL10_HUMAN	tr|A0A6P3QFP2|A0A6P3QFP2_PTEVA
OG0001165	sp|P36544|ACHA7_HUMAN, sp|Q494W8|CRFM7_HUMAN, tr|A0A1W2PN81|A0A1W2PN81_HUMAN	tr|A0A6P3RGE2|A0A6P3RGE2_PTEVA
OG0001166	sp|Q4KWH8|PLCH1_HUMAN	tr|A0A6P6BY10|A0A6P6BY10_PTEVA
OG0001166	sp|O75038|PLCH2_HUMAN	tr|A0A6P3R5Q1|A0A6P3R5Q1_PTEVA
OG0001167	sp|Q9ULM0|PKHH1_HUMAN	tr|A0A6P6C5P5|A0A6P6C5P5_PTEVA
OG0001167	sp|Q8IVE3|PKHH2_HUMAN	tr|A0A6P6CI01|A0A6P6CI01_PTEVA
OG0001168	sp|Q9P2F6|RHG20_HUMAN	tr|A0A6P6CPR5|A0A6P6CPR5_PTEVA, tr|A0A6P3QER4|A0A6P3QER4_PTEVA, tr|A0A6P3QKL2|A0A6P3QKL2_PTEVA
OG0001169	sp|O94925|GLSK_HUMAN	tr|A0A6P6CBT8|A0A6P6CBT8_PTEVA
OG0001169	sp|Q9UI32|GLSL_HUMAN	tr|A0A6P6BMY6|A0A6P6BMY6_PTEVA
OG0001170	sp|O00144|FZD9_HUMAN	tr|A0A6P3QTS0|A0A6P3QTS0_PTEVA
OG0001170	sp|Q9ULW2|FZD10_HUMAN	tr|A0A6P3R113|A0A6P3R113_PTEVA
OG0001171	sp|Q9C000|NLRP1_HUMAN	tr|A0A6P3QQJ7|A0A6P3QQJ7_PTEVA
OG0001171	sp|P59046|NAL12_HUMAN	tr|A0A6P3RM65|A0A6P3RM65_PTEVA
OG0001172	sp|Q8N3H0|TAFA2_HUMAN, sp|Q7Z5A7|TAFA5_HUMAN, sp|Q96LR4|TAFA4_HUMAN	tr|A0A6P3RLA1|A0A6P3RLA1_PTEVA
OG0001173	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6P3RZY6|A0A6P3RZY6_PTEVA, tr|A0A6P3RTH2|A0A6P3RTH2_PTEVA, tr|A0A6P3RZZ6|A0A6P3RZZ6_PTEVA
OG0001174	sp|Q96HU8|DIRA2_HUMAN	tr|A0A6P3QUP2|A0A6P3QUP2_PTEVA
OG0001174	sp|O95057|DIRA1_HUMAN	tr|A0A6P3QV75|A0A6P3QV75_PTEVA
OG0001175	sp|Q9H9B4|SFXN1_HUMAN	tr|A0A6P6C123|A0A6P6C123_PTEVA
OG0001175	sp|Q9BWM7|SFXN3_HUMAN	tr|A0A6P6BT62|A0A6P6BT62_PTEVA
OG0001176	sp|P51449|RORG_HUMAN	tr|A0A6P6BRA1|A0A6P6BRA1_PTEVA
OG0001176	sp|P35398|RORA_HUMAN	tr|A0A6P6CLG5|A0A6P6CLG5_PTEVA
OG0001177	sp|P41208|CETN2_HUMAN	tr|A0A6P3RKH4|A0A6P3RKH4_PTEVA
OG0001177	sp|Q12798|CETN1_HUMAN	tr|A0A6P3Q3W2|A0A6P3Q3W2_PTEVA
OG0001178	sp|Q9P283|SEM5B_HUMAN	tr|A0A6P6BML3|A0A6P6BML3_PTEVA
OG0001178	sp|Q13591|SEM5A_HUMAN	tr|A0A6P3QVA4|A0A6P3QVA4_PTEVA
OG0001179	sp|Q9NTI5|PDS5B_HUMAN	tr|A0A6P6CJ87|A0A6P6CJ87_PTEVA
OG0001179	sp|Q29RF7|PDS5A_HUMAN	tr|A0A6P3Q929|A0A6P3Q929_PTEVA
OG0001180	sp|Q6ZSZ6|TSH1_HUMAN	tr|A0A6P3QMB7|A0A6P3QMB7_PTEVA
OG0001180	sp|Q63HK5|TSH3_HUMAN	tr|A0A6P3RT60|A0A6P3RT60_PTEVA
OG0001181	sp|O00219|HYAS3_HUMAN	tr|A0A6P3RC37|A0A6P3RC37_PTEVA
OG0001181	sp|Q92819|HYAS2_HUMAN	tr|A0A6P3QJM3|A0A6P3QJM3_PTEVA
OG0001182	sp|Q86YM7|HOME1_HUMAN	tr|A0A6P3R5D5|A0A6P3R5D5_PTEVA
OG0001182	sp|Q9NSB8|HOME2_HUMAN	tr|A0A6P6BNV2|A0A6P6BNV2_PTEVA
OG0001183	sp|Q9BY11|PACN1_HUMAN	tr|A0A6P3RCJ3|A0A6P3RCJ3_PTEVA
OG0001183	sp|Q9UNF0|PACN2_HUMAN	tr|A0A6P3R349|A0A6P3R349_PTEVA
OG0001184	sp|Q9UQ26|RIMS2_HUMAN	tr|A0A6P3QXT7|A0A6P3QXT7_PTEVA
OG0001184	sp|Q86UR5|RIMS1_HUMAN	tr|A0A6P6BVZ4|A0A6P6BVZ4_PTEVA
OG0001185	sp|P0DMW5|SIL2B_HUMAN, sp|P0DMW4|SIL2A_HUMAN	tr|A0A6P3RPJ9|A0A6P3RPJ9_PTEVA, tr|A0A6P6BYW6|A0A6P6BYW6_PTEVA
OG0001186	sp|Q5VWW1|C1QL3_HUMAN	tr|A0A6P6C552|A0A6P6C552_PTEVA
OG0001186	sp|O75973|C1QRF_HUMAN	tr|A0A6P3RDE2|A0A6P3RDE2_PTEVA
OG0001187	sp|Q92536|YLAT2_HUMAN	tr|A0A6P6BW05|A0A6P6BW05_PTEVA
OG0001187	sp|Q9UM01|YLAT1_HUMAN	tr|A0A6P6D353|A0A6P6D353_PTEVA
OG0001188	sp|Q9Y3R0|GRIP1_HUMAN	tr|A0A6P6BN07|A0A6P6BN07_PTEVA
OG0001188	sp|Q9C0E4|GRIP2_HUMAN	tr|A0A6P3PXT3|A0A6P3PXT3_PTEVA
OG0001189	sp|Q9NRM7|LATS2_HUMAN	tr|A0A6P6CHL5|A0A6P6CHL5_PTEVA
OG0001189	sp|O95835|LATS1_HUMAN	tr|A0A6P3PZI3|A0A6P3PZI3_PTEVA
OG0001190	sp|Q13107|UBP4_HUMAN	tr|A0A6P6BMQ8|A0A6P6BMQ8_PTEVA
OG0001190	sp|Q9Y4E8|UBP15_HUMAN	tr|A0A6P3RYZ8|A0A6P3RYZ8_PTEVA
OG0001191	sp|P84022|SMAD3_HUMAN	tr|A0A6P3S2W7|A0A6P3S2W7_PTEVA
OG0001191	sp|Q15796|SMAD2_HUMAN	tr|A0A6P6CHS7|A0A6P6CHS7_PTEVA
OG0001192	sp|Q86XN8|MEX3D_HUMAN	tr|A0A6P3R0L7|A0A6P3R0L7_PTEVA
OG0001192	sp|Q5U5Q3|MEX3C_HUMAN	tr|A0A6P3QIY1|A0A6P3QIY1_PTEVA
OG0001193	sp|Q9H5I5|PIEZ2_HUMAN	tr|A0A6P6CQX4|A0A6P6CQX4_PTEVA
OG0001193	sp|Q92508|PIEZ1_HUMAN	tr|A0A6P3R243|A0A6P3R243_PTEVA
OG0001194	sp|Q9NRD9|DUOX1_HUMAN	tr|A0A6P3Q5S0|A0A6P3Q5S0_PTEVA
OG0001194	sp|Q9NRD8|DUOX2_HUMAN	tr|A0A6P3PW35|A0A6P3PW35_PTEVA
OG0001195	sp|Q9NZM1|MYOF_HUMAN	tr|A0A6P6CIU8|A0A6P6CIU8_PTEVA
OG0001195	sp|O75923|DYSF_HUMAN	tr|A0A6P6CQ00|A0A6P6CQ00_PTEVA
OG0001196	sp|Q8N961|ABTB2_HUMAN	tr|A0A6P3PWK5|A0A6P3PWK5_PTEVA
OG0001196	sp|A6QL63|ABTB3_HUMAN	tr|A0A6P6C6X5|A0A6P6C6X5_PTEVA
OG0001197	sp|Q9NRG1|PRDC1_HUMAN	tr|A0A6P3QRR2|A0A6P3QRR2_PTEVA
OG0001197	sp|P00492|HPRT_HUMAN	tr|A0A6P6C171|A0A6P6C171_PTEVA
OG0001198	sp|P13196|HEM1_HUMAN	tr|A0A6P6CP38|A0A6P6CP38_PTEVA
OG0001198	sp|P22557|HEM0_HUMAN	tr|A0A6P3RHS0|A0A6P3RHS0_PTEVA
OG0001199	sp|Q8NFF2|NCKX4_HUMAN	tr|A0A6P3QWC0|A0A6P3QWC0_PTEVA
OG0001199	sp|Q9HC58|NCKX3_HUMAN	tr|A0A6P3QSA1|A0A6P3QSA1_PTEVA
OG0001200	sp|Q9NVJ2|ARL8B_HUMAN, sp|Q96BM9|ARL8A_HUMAN	tr|A0A6P3RZ13|A0A6P3RZ13_PTEVA, tr|A0A6P3QTJ1|A0A6P3QTJ1_PTEVA
OG0001201	sp|O60476|MA1A2_HUMAN	tr|A0A6P3QKP1|A0A6P3QKP1_PTEVA
OG0001201	sp|P33908|MA1A1_HUMAN	tr|A0A6P3QEP4|A0A6P3QEP4_PTEVA
OG0001202	sp|Q9NP87|DPOLM_HUMAN	tr|A0A6P6C2F5|A0A6P6C2F5_PTEVA
OG0001202	sp|P04053|TDT_HUMAN	tr|A0A6P3R0H0|A0A6P3R0H0_PTEVA
OG0001203	sp|P0C5Z0|H2AB2_HUMAN, sp|P0C5Y9|H2AB1_HUMAN	tr|A0A6P3RVE8|A0A6P3RVE8_PTEVA, tr|A0A6P3R3M1|A0A6P3R3M1_PTEVA
OG0001204	sp|P49590|SYHM_HUMAN	tr|A0A6P3RP34|A0A6P3RP34_PTEVA
OG0001204	sp|P12081|HARS1_HUMAN	tr|A0A6P3RFK4|A0A6P3RFK4_PTEVA
OG0001205	sp|Q8WXR4|MYO3B_HUMAN	tr|A0A6P6CAW4|A0A6P6CAW4_PTEVA
OG0001205	sp|Q8NEV4|MYO3A_HUMAN	tr|A0A6P3R764|A0A6P3R764_PTEVA
OG0001206	sp|Q96BD6|SPSB1_HUMAN	tr|A0A6P6BZ67|A0A6P6BZ67_PTEVA
OG0001206	sp|Q96A44|SPSB4_HUMAN	tr|A0A6P3Q098|A0A6P3Q098_PTEVA
OG0001207	sp|Q96A57|TM230_HUMAN	tr|A0A6P3QSM6|A0A6P3QSM6_PTEVA, tr|A0A6P6CNM4|A0A6P6CNM4_PTEVA, tr|A0A6P3RSF3|A0A6P3RSF3_PTEVA
OG0001208	sp|Q13363|CTBP1_HUMAN	tr|A0A6P3R1S7|A0A6P3R1S7_PTEVA
OG0001208	sp|P56545|CTBP2_HUMAN	tr|A0A6P3QIL0|A0A6P3QIL0_PTEVA
OG0001209	sp|O75912|DGKI_HUMAN	tr|A0A6P6CF76|A0A6P6CF76_PTEVA
OG0001209	sp|Q13574|DGKZ_HUMAN	tr|A0A6P6CAS3|A0A6P6CAS3_PTEVA
OG0001210	sp|Q13950|RUNX2_HUMAN	tr|A0A6P3PSW8|A0A6P3PSW8_PTEVA
OG0001210	sp|Q01196|RUNX1_HUMAN	tr|A0A6P3QIY6|A0A6P3QIY6_PTEVA
OG0001211	sp|Q15155|NOMO1_HUMAN, sp|Q5JPE7|NOMO2_HUMAN, sp|P69849|NOMO3_HUMAN	tr|A0A6P6CDG1|A0A6P6CDG1_PTEVA
OG0001212	sp|Q6VY07|PACS1_HUMAN	tr|A0A6P6CVD3|A0A6P6CVD3_PTEVA
OG0001212	sp|Q86VP3|PACS2_HUMAN	tr|A0A6P3RLN3|A0A6P3RLN3_PTEVA
OG0001213	sp|P59780|AP3S2_HUMAN	tr|A0A6P3RA98|A0A6P3RA98_PTEVA
OG0001213	sp|Q92572|AP3S1_HUMAN	tr|A0A6P3Q9K2|A0A6P3Q9K2_PTEVA
OG0001214	sp|P36959|GMPR1_HUMAN	tr|A0A6P3Q9C5|A0A6P3Q9C5_PTEVA
OG0001214	sp|Q9P2T1|GMPR2_HUMAN	tr|A0A6P6C3F4|A0A6P6C3F4_PTEVA
OG0001215	sp|P07996|TSP1_HUMAN	tr|A0A6P3Q5F4|A0A6P3Q5F4_PTEVA
OG0001215	sp|P35442|TSP2_HUMAN	tr|A0A6P6BQY3|A0A6P6BQY3_PTEVA
OG0001216	sp|Q8TAG9|EXOC6_HUMAN	tr|A0A6P3Q8Q7|A0A6P3Q8Q7_PTEVA
OG0001216	sp|Q9Y2D4|EXC6B_HUMAN	tr|A0A6P3QPD2|A0A6P3QPD2_PTEVA
OG0001217	sp|Q01959|SC6A3_HUMAN	tr|A0A6P6BKD0|A0A6P6BKD0_PTEVA
OG0001217	sp|P23975|SC6A2_HUMAN	tr|A0A6P3Q3B9|A0A6P3Q3B9_PTEVA
OG0001218	sp|Q5JWF2|GNAS1_HUMAN	tr|A0A6P3S6A0|A0A6P3S6A0_PTEVA
OG0001218	sp|P38405|GNAL_HUMAN	tr|A0A6P3RFQ4|A0A6P3RFQ4_PTEVA
OG0001219	sp|Q8N130|NPT2C_HUMAN	tr|A0A6P6CXI3|A0A6P6CXI3_PTEVA
OG0001219	sp|Q06495|NPT2A_HUMAN	tr|A0A6P3Q9Z3|A0A6P3Q9Z3_PTEVA
OG0001220	sp|Q8WV16|DCAF4_HUMAN, sp|Q8NA75|DC4L2_HUMAN, sp|Q3SXM0|DC4L1_HUMAN	tr|A0A6P6CZM5|A0A6P6CZM5_PTEVA
OG0001221	sp|Q02817|MUC2_HUMAN	tr|A0A6P3RSX4|A0A6P3RSX4_PTEVA
OG0001221	sp|Q7Z5P9|MUC19_HUMAN	tr|A0A6P3QJN9|A0A6P3QJN9_PTEVA
OG0001222	sp|Q8WYH8|ING5_HUMAN	tr|A0A6P6BP37|A0A6P6BP37_PTEVA
OG0001222	sp|Q9UNL4|ING4_HUMAN	tr|A0A6P6CQL7|A0A6P6CQL7_PTEVA
OG0001223	sp|Q13907|IDI1_HUMAN, sp|Q9BXS1|IDI2_HUMAN	tr|A0A6P3RCJ6|A0A6P3RCJ6_PTEVA, tr|A0A6P3RSQ0|A0A6P3RSQ0_PTEVA
OG0001224	sp|P15882|CHIN_HUMAN	tr|A0A6P3PXD7|A0A6P3PXD7_PTEVA
OG0001224	sp|P52757|CHIO_HUMAN	tr|A0A6P3QM01|A0A6P3QM01_PTEVA
OG0001225	sp|P52179|MYOM1_HUMAN	tr|A0A6P3Q3X9|A0A6P3Q3X9_PTEVA
OG0001225	sp|P54296|MYOM2_HUMAN	tr|A0A6P6C3V6|A0A6P6C3V6_PTEVA
OG0001226	sp|Q9BVR0|HRC23_HUMAN	tr|A0A6P6C5M1|A0A6P6C5M1_PTEVA
OG0001226	sp|O95714|HERC2_HUMAN	tr|A0A6P6BWB7|A0A6P6BWB7_PTEVA
OG0001227	sp|P49281|NRAM2_HUMAN	tr|A0A6P6CWA5|A0A6P6CWA5_PTEVA
OG0001227	sp|P49279|NRAM1_HUMAN	tr|A0A6P3PZY3|A0A6P3PZY3_PTEVA
OG0001228	sp|Q6UX46|ALKL2_HUMAN	tr|A0A6P3S040|A0A6P3S040_PTEVA
OG0001228	sp|Q6UXT8|ALKL1_HUMAN	tr|A0A6P3Q5V1|A0A6P3Q5V1_PTEVA
OG0001229	sp|Q8NI60|COQ8A_HUMAN	tr|A0A6P6CH20|A0A6P6CH20_PTEVA
OG0001229	sp|Q96D53|COQ8B_HUMAN	tr|A0A6P6D1N0|A0A6P6D1N0_PTEVA
OG0001230	sp|Q96DS6|M4A6E_HUMAN, sp|Q9H2W1|M4A6A_HUMAN	tr|A0A6P3RZ36|A0A6P3RZ36_PTEVA, tr|A0A6P6BU85|A0A6P6BU85_PTEVA
OG0001231	sp|Q96FA3|PELI1_HUMAN	tr|A0A6P3REM9|A0A6P3REM9_PTEVA
OG0001231	sp|Q9HAT8|PELI2_HUMAN	tr|A0A6P3RLR5|A0A6P3RLR5_PTEVA
OG0001232	sp|Q4W5G0|TIGD2_HUMAN	tr|A0A6P3PZV1|A0A6P3PZV1_PTEVA
OG0001232	sp|Q9Y4A0|JERKL_HUMAN	tr|A0A6P3R0D4|A0A6P3R0D4_PTEVA
OG0001233	sp|O60245|PCDH7_HUMAN	tr|A0A6P3QQB6|A0A6P3QQB6_PTEVA
OG0001233	sp|Q08174|PCDH1_HUMAN	tr|A0A6P3QTA3|A0A6P3QTA3_PTEVA
OG0001234	sp|P35670|ATP7B_HUMAN	tr|A0A6P6D016|A0A6P6D016_PTEVA
OG0001234	sp|Q04656|ATP7A_HUMAN	tr|A0A6P3RNF5|A0A6P3RNF5_PTEVA
OG0001235	sp|P20264|PO3F3_HUMAN	tr|A0A6P3QQZ9|A0A6P3QQZ9_PTEVA
OG0001235	sp|P49335|PO3F4_HUMAN	tr|A0A6P3Q7S8|A0A6P3Q7S8_PTEVA
OG0001236	sp|P62888|RL30_HUMAN	tr|A0A6P3QVP2|A0A6P3QVP2_PTEVA, tr|A0A6P3RH07|A0A6P3RH07_PTEVA, tr|A0A6P3QM82|A0A6P3QM82_PTEVA
OG0001237	sp|Q8NDF8|PAPD5_HUMAN	tr|A0A6P3QDG8|A0A6P3QDG8_PTEVA
OG0001237	sp|Q5XG87|PAPD7_HUMAN	tr|A0A6P3RJB0|A0A6P3RJB0_PTEVA
OG0001238	sp|Q969G9|NKD1_HUMAN	tr|A0A6P3QDI8|A0A6P3QDI8_PTEVA
OG0001238	sp|Q969F2|NKD2_HUMAN	tr|A0A6P6BKB0|A0A6P6BKB0_PTEVA
OG0001239	sp|Q9NR22|ANM8_HUMAN	tr|A0A6P3QNE8|A0A6P3QNE8_PTEVA
OG0001239	sp|Q99873|ANM1_HUMAN	tr|A0A6P3R1G6|A0A6P3R1G6_PTEVA
OG0001240	sp|O43613|OX1R_HUMAN	tr|A0A6P3QCW2|A0A6P3QCW2_PTEVA
OG0001240	sp|O43614|OX2R_HUMAN	tr|A0A6P3R8S9|A0A6P3R8S9_PTEVA
OG0001241	sp|O60706|ABCC9_HUMAN	tr|A0A6P3RE24|A0A6P3RE24_PTEVA
OG0001241	sp|Q09428|ABCC8_HUMAN	tr|A0A6P6BS67|A0A6P6BS67_PTEVA
