Orthogroup	Homo_sapiens	Myotis_myotis
OG0001297	sp|Q9Y4G8|RPGF2_HUMAN	tr|A0A7J7XJJ2|A0A7J7XJJ2_MYOMY
OG0001298	sp|Q9BY50|SC11C_HUMAN, sp|P0C7V7|SC11B_HUMAN, sp|P67812|SC11A_HUMAN	tr|A0A7J7W0Y9|A0A7J7W0Y9_MYOMY
OG0001299	sp|P15104|GLNA_HUMAN	tr|A0A7J7SQD4|A0A7J7SQD4_MYOMY, tr|A0A7J8ALP1|A0A7J8ALP1_MYOMY, tr|A0A7J7XZZ4|A0A7J7XZZ4_MYOMY
OG0001300	sp|Q02218|ODO1_HUMAN	tr|A0A7J7V4L3|A0A7J7V4L3_MYOMY
OG0001300	sp|Q9ULD0|OGDHL_HUMAN	tr|A0A7J7RMQ5|A0A7J7RMQ5_MYOMY
OG0001301	sp|Q14738|2A5D_HUMAN	tr|A0A7J7WX33|A0A7J7WX33_MYOMY
OG0001301	sp|Q13362|2A5G_HUMAN	tr|A0A7J8AP94|A0A7J8AP94_MYOMY
OG0001302	sp|Q6PH85|DCNL2_HUMAN	tr|A0A7J7Z1I3|A0A7J7Z1I3_MYOMY
OG0001302	sp|Q96GG9|DCNL1_HUMAN	tr|A0A7J7ZTT9|A0A7J7ZTT9_MYOMY
OG0001303	sp|A6NKB5|PCX2_HUMAN	tr|A0A7J7RV02|A0A7J7RV02_MYOMY
OG0001303	sp|Q9H6A9|PCX3_HUMAN	tr|A0A7J7VJY4|A0A7J7VJY4_MYOMY
OG0001304	sp|P49711|CTCF_HUMAN	tr|A0A7J7SB03|A0A7J7SB03_MYOMY, tr|A0A7J7SC07|A0A7J7SC07_MYOMY, tr|A0A7J7SBY1|A0A7J7SBY1_MYOMY
OG0001305	sp|Q13705|AVR2B_HUMAN	tr|A0A7J7UB33|A0A7J7UB33_MYOMY
OG0001305	sp|P27037|AVR2A_HUMAN	tr|A0A7J7WF56|A0A7J7WF56_MYOMY
OG0001306	sp|P20382|MCH_HUMAN, sp|Q9BQD1|MCHL2_HUMAN, sp|Q16048|MCHL1_HUMAN	tr|A0A7J7Z7I3|A0A7J7Z7I3_MYOMY
OG0001307	sp|Q8NFJ6|PKR2_HUMAN	tr|A0A7J7W009|A0A7J7W009_MYOMY
OG0001307	sp|Q8TCW9|PKR1_HUMAN	tr|A0A7J7U635|A0A7J7U635_MYOMY
OG0001308	sp|P30926|ACHB4_HUMAN	tr|A0A7J7RSE5|A0A7J7RSE5_MYOMY
OG0001308	sp|P17787|ACHB2_HUMAN	tr|A0A7J7SQ60|A0A7J7SQ60_MYOMY
OG0001309	sp|O14718|OPSX_HUMAN, sp|Q9H1Y3|OPN3_HUMAN, sp|Q6U736|OPN5_HUMAN	tr|A0A7J8ARH8|A0A7J8ARH8_MYOMY
OG0001310	sp|Q9NQ29|LUC7L_HUMAN	tr|A0A7J7R7H9|A0A7J7R7H9_MYOMY
OG0001310	sp|Q9Y383|LC7L2_HUMAN	tr|A0A7J7V3Q5|A0A7J7V3Q5_MYOMY
OG0001311	sp|P09619|PGFRB_HUMAN	tr|A0A7J7XJG3|A0A7J7XJG3_MYOMY
OG0001311	sp|P16234|PGFRA_HUMAN	tr|A0A7J8AKD3|A0A7J8AKD3_MYOMY
OG0001312	sp|Q5TD94|RSH4A_HUMAN	tr|A0A7J7WXB2|A0A7J7WXB2_MYOMY
OG0001312	sp|Q9H0K4|RSH6A_HUMAN	tr|A0A7J7R9B9|A0A7J7R9B9_MYOMY
OG0001313	sp|Q8TDD1|DDX54_HUMAN	tr|A0A7J7S1B0|A0A7J7S1B0_MYOMY, tr|A0A7J7RMR9|A0A7J7RMR9_MYOMY, tr|A0A7J7YDQ1|A0A7J7YDQ1_MYOMY
OG0001314	sp|Q00536|CDK16_HUMAN	tr|A0A7J7YCI1|A0A7J7YCI1_MYOMY
OG0001314	sp|Q00537|CDK17_HUMAN	tr|A0A7J7Z2F6|A0A7J7Z2F6_MYOMY
OG0001315	sp|Q9UPR0|PLCL2_HUMAN	tr|A0A7J7UE03|A0A7J7UE03_MYOMY
OG0001315	sp|Q15111|PLCL1_HUMAN	tr|A0A7J7WIU5|A0A7J7WIU5_MYOMY
OG0001316	sp|Q8NFW8|NEUA_HUMAN	tr|A0A7J7Z258|A0A7J7Z258_MYOMY, tr|A0A7J7YE43|A0A7J7YE43_MYOMY, tr|A0A7J7YDZ8|A0A7J7YDZ8_MYOMY
OG0001317	sp|Q70Z35|PREX2_HUMAN	tr|A0A7J7TJA5|A0A7J7TJA5_MYOMY
OG0001317	sp|Q8TCU6|PREX1_HUMAN	tr|A0A7J7W095|A0A7J7W095_MYOMY
OG0001318	sp|Q9BZF1|OSBL8_HUMAN	tr|A0A7J7Z8B7|A0A7J7Z8B7_MYOMY
OG0001318	sp|Q9H0X9|OSBL5_HUMAN	tr|A0A7J7RHQ6|A0A7J7RHQ6_MYOMY
OG0001319	sp|Q9HCJ2|LRC4C_HUMAN	tr|A0A7J7VIK0|A0A7J7VIK0_MYOMY
OG0001319	sp|Q9HBW1|LRRC4_HUMAN	tr|A0A7J7V3Y3|A0A7J7V3Y3_MYOMY
OG0001320	sp|P03951|FA11_HUMAN, sp|P03952|KLKB1_HUMAN	tr|A0A7J7Z4H6|A0A7J7Z4H6_MYOMY, tr|A0A7J7Z410|A0A7J7Z410_MYOMY
OG0001321	sp|Q04759|KPCT_HUMAN	tr|A0A7J8AQF4|A0A7J8AQF4_MYOMY
OG0001321	sp|Q05655|KPCD_HUMAN	tr|A0A7J7UE35|A0A7J7UE35_MYOMY
OG0001322	sp|Q07869|PPARA_HUMAN	tr|A0A7J7Z7B1|A0A7J7Z7B1_MYOMY
OG0001322	sp|Q03181|PPARD_HUMAN	tr|A0A7J7WX24|A0A7J7WX24_MYOMY
OG0001323	sp|Q15833|STXB2_HUMAN	tr|A0A7J7XIZ6|A0A7J7XIZ6_MYOMY
OG0001323	sp|P61764|STXB1_HUMAN	tr|A0A7J7URF1|A0A7J7URF1_MYOMY
OG0001324	sp|Q66K14|TBC9B_HUMAN	tr|A0A7J7XKZ3|A0A7J7XKZ3_MYOMY
OG0001324	sp|Q6ZT07|TBCD9_HUMAN	tr|A0A7J7XLS5|A0A7J7XLS5_MYOMY
OG0001325	sp|Q8NH19|O10AG_HUMAN	tr|A0A7J7VJ89|A0A7J7VJ89_MYOMY, tr|A0A7J7VJP9|A0A7J7VJP9_MYOMY, tr|A0A7J7VJM4|A0A7J7VJM4_MYOMY
OG0001326	sp|P11234|RALB_HUMAN	tr|A0A7J7WJE5|A0A7J7WJE5_MYOMY
OG0001326	sp|P11233|RALA_HUMAN	tr|A0A7J7V4P1|A0A7J7V4P1_MYOMY
OG0001327	sp|Q6VN20|RBP10_HUMAN	tr|A0A7J7SD13|A0A7J7SD13_MYOMY
OG0001327	sp|Q96S59|RANB9_HUMAN	tr|A0A7J8A0N4|A0A7J8A0N4_MYOMY
OG0001328	sp|P0C869|PA24B_HUMAN, sp|Q9UP65|PA24C_HUMAN, sp|Q86XP0|PA24D_HUMAN	tr|A0A7J8APX3|A0A7J8APX3_MYOMY
OG0001329	sp|Q9BYT8|NEUL_HUMAN	tr|A0A7J7Y1D3|A0A7J7Y1D3_MYOMY
OG0001329	sp|P52888|THOP1_HUMAN	tr|A0A7J7XL00|A0A7J7XL00_MYOMY
OG0001330	sp|P05813|CRBA1_HUMAN, sp|P53673|CRBA4_HUMAN, sp|P53672|CRBA2_HUMAN	tr|A0A7J7T446|A0A7J7T446_MYOMY
OG0001331	sp|Q96L14|C170L_HUMAN	tr|A0A7J7R1P5|A0A7J7R1P5_MYOMY
OG0001331	sp|Q5SW79|CE170_HUMAN	tr|A0A7J7RUR6|A0A7J7RUR6_MYOMY
OG0001332	sp|Q6ZS30|NBEL1_HUMAN	tr|A0A7J7WIG7|A0A7J7WIG7_MYOMY
OG0001332	sp|Q6ZNJ1|NBEL2_HUMAN	tr|A0A7J7UDG0|A0A7J7UDG0_MYOMY
OG0001333	sp|Q8N6G6|ATL1_HUMAN	tr|A0A7J7UMG1|A0A7J7UMG1_MYOMY
OG0001333	sp|P82987|ATL3_HUMAN	tr|A0A7J7QT50|A0A7J7QT50_MYOMY
OG0001334	sp|P27105|STOM_HUMAN, sp|Q9UBI4|STML1_HUMAN, sp|Q8TAV4|STML3_HUMAN	tr|A0A7J7URB9|A0A7J7URB9_MYOMY
OG0001335	sp|O60664|PLIN3_HUMAN	tr|A0A7J7XJM2|A0A7J7XJM2_MYOMY
OG0001335	sp|Q96Q06|PLIN4_HUMAN	tr|A0A7J7XJ82|A0A7J7XJ82_MYOMY
OG0001336	sp|Q9UMX0|UBQL1_HUMAN	tr|A0A7J7URW3|A0A7J7URW3_MYOMY
OG0001336	sp|Q9UHD9|UBQL2_HUMAN	tr|A0A7J7YG78|A0A7J7YG78_MYOMY
OG0001337	sp|Q9UQ88|CD11A_HUMAN, sp|P21127|CD11B_HUMAN	tr|A0A7J7QWM4|A0A7J7QWM4_MYOMY, tr|A0A7J8AJM3|A0A7J8AJM3_MYOMY
OG0001338	sp|Q14161|GIT2_HUMAN	tr|A0A7J7S268|A0A7J7S268_MYOMY
OG0001338	sp|Q9Y2X7|GIT1_HUMAN	tr|A0A7J7T4X8|A0A7J7T4X8_MYOMY
OG0001339	sp|P12277|KCRB_HUMAN	tr|A0A7J7R1Q4|A0A7J7R1Q4_MYOMY
OG0001339	sp|P06732|KCRM_HUMAN	tr|A0A7J7SAJ9|A0A7J7SAJ9_MYOMY
OG0001340	sp|O95759|TBCD8_HUMAN	tr|A0A7J7RTC6|A0A7J7RTC6_MYOMY
OG0001340	sp|Q0IIM8|TBC8B_HUMAN	tr|A0A7J7YFL3|A0A7J7YFL3_MYOMY
OG0001341	sp|Q6H9L7|ISM2_HUMAN	tr|A0A7J8AL29|A0A7J8AL29_MYOMY
OG0001341	sp|B1AKI9|ISM1_HUMAN	tr|A0A7J7VYN6|A0A7J7VYN6_MYOMY
OG0001342	sp|O43795|MYO1B_HUMAN	tr|A0A7J7WIB0|A0A7J7WIB0_MYOMY
OG0001342	sp|Q9UBC5|MYO1A_HUMAN	tr|A0A7J7Z6L0|A0A7J7Z6L0_MYOMY
OG0001343	sp|Q9UJV3|TRIM1_HUMAN	tr|A0A7J7YEN5|A0A7J7YEN5_MYOMY
OG0001343	sp|O15344|TRI18_HUMAN	tr|A0A7J7YFQ3|A0A7J7YFQ3_MYOMY
OG0001344	sp|O43815|STRN_HUMAN	tr|A0A7J7U6N4|A0A7J7U6N4_MYOMY
OG0001344	sp|Q13033|STRN3_HUMAN	tr|A0A7J8ARP1|A0A7J8ARP1_MYOMY
OG0001345	sp|P14598|NCF1_HUMAN, sp|A8MVU1|NCF1C_HUMAN, sp|A6NI72|NCF1B_HUMAN	tr|A0A7J7Y0R9|A0A7J7Y0R9_MYOMY
OG0001346	sp|P41743|KPCI_HUMAN	tr|A0A7J8A0S3|A0A7J8A0S3_MYOMY
OG0001346	sp|Q05513|KPCZ_HUMAN	tr|A0A7J7QWB1|A0A7J7QWB1_MYOMY
OG0001347	sp|Q08050|FOXM1_HUMAN	tr|A0A7J7YDL7|A0A7J7YDL7_MYOMY, tr|A0A7J7WW20|A0A7J7WW20_MYOMY, tr|A0A7J7Z2R7|A0A7J7Z2R7_MYOMY
OG0001348	sp|P83105|HTRA4_HUMAN	tr|A0A7J7Z330|A0A7J7Z330_MYOMY
OG0001348	sp|Q92743|HTRA1_HUMAN	tr|A0A7J7QW22|A0A7J7QW22_MYOMY
OG0001349	sp|P13995|MTDC_HUMAN	tr|A0A7J7U5V2|A0A7J7U5V2_MYOMY
OG0001349	sp|Q9H903|MTD2L_HUMAN	tr|A0A7J8APG8|A0A7J8APG8_MYOMY
OG0001351	sp|Q06520|ST2A1_HUMAN	tr|A0A7J7QUC3|A0A7J7QUC3_MYOMY, tr|A0A7J7WXW2|A0A7J7WXW2_MYOMY, tr|A0A7J7R0A7|A0A7J7R0A7_MYOMY
OG0001352	sp|Q9Y597|KCTD3_HUMAN	tr|A0A7J7RUL7|A0A7J7RUL7_MYOMY
OG0001352	sp|Q8TBC3|SHKB1_HUMAN	tr|A0A7J7SDD9|A0A7J7SDD9_MYOMY
OG0001353	sp|P07942|LAMB1_HUMAN	tr|A0A7J7V3V2|A0A7J7V3V2_MYOMY
OG0001353	sp|P55268|LAMB2_HUMAN	tr|A0A7J7UCS2|A0A7J7UCS2_MYOMY
OG0001354	sp|P39880|CUX1_HUMAN	tr|A0A7J7XZ31|A0A7J7XZ31_MYOMY
OG0001354	sp|O14529|CUX2_HUMAN	tr|A0A7J7S159|A0A7J7S159_MYOMY
OG0001355	sp|Q8TE57|ATS16_HUMAN	tr|A0A7J7XXX4|A0A7J7XXX4_MYOMY
OG0001355	sp|Q8TE60|ATS18_HUMAN	tr|A0A7J7SAC3|A0A7J7SAC3_MYOMY
OG0001356	sp|P28347|TEAD1_HUMAN	tr|A0A7J7VKS8|A0A7J7VKS8_MYOMY
OG0001356	sp|Q15561|TEAD4_HUMAN	tr|A0A7J7ZAY8|A0A7J7ZAY8_MYOMY
OG0001357	sp|Q8TB72|PUM2_HUMAN	tr|A0A7J7U6C4|A0A7J7U6C4_MYOMY
OG0001357	sp|Q14671|PUM1_HUMAN	tr|A0A7J8A159|A0A7J8A159_MYOMY
OG0001358	sp|Q96G75|RMD5B_HUMAN	tr|A0A7J7XJR0|A0A7J7XJR0_MYOMY
OG0001358	sp|Q9H871|RMD5A_HUMAN	tr|A0A7J7U6D9|A0A7J7U6D9_MYOMY
OG0001359	sp|O14770|MEIS2_HUMAN	tr|A0A7J8AMT4|A0A7J8AMT4_MYOMY
OG0001359	sp|O00470|MEIS1_HUMAN	tr|A0A7J7U5L7|A0A7J7U5L7_MYOMY
OG0001360	sp|O95932|TGM3L_HUMAN, sp|P49221|TGM4_HUMAN, sp|Q08188|TGM3_HUMAN	tr|A0A7J7W1L7|A0A7J7W1L7_MYOMY
OG0001361	sp|P12268|IMDH2_HUMAN	tr|A0A7J7UCD0|A0A7J7UCD0_MYOMY
OG0001361	sp|P20839|IMDH1_HUMAN	tr|A0A7J7V3P9|A0A7J7V3P9_MYOMY
OG0001362	sp|P16562|CRIS2_HUMAN	tr|A0A7J7WUQ1|A0A7J7WUQ1_MYOMY
OG0001362	sp|P54108|CRIS3_HUMAN	tr|A0A7J7WUT7|A0A7J7WUT7_MYOMY
OG0001363	sp|O95832|CLD1_HUMAN, sp|O95471|CLD7_HUMAN, sp|O75508|CLD11_HUMAN	tr|A0A7J7ZU64|A0A7J7ZU64_MYOMY
OG0001364	sp|O15523|DDX3Y_HUMAN	tr|A0A7J7XI47|A0A7J7XI47_MYOMY
OG0001364	sp|O00571|DDX3X_HUMAN	tr|A0A7J7YDN1|A0A7J7YDN1_MYOMY
OG0001365	sp|Q96MM6|HS12B_HUMAN	tr|A0A7J7VYI6|A0A7J7VYI6_MYOMY
OG0001365	sp|O43301|HS12A_HUMAN	tr|A0A7J7TTD5|A0A7J7TTD5_MYOMY
OG0001366	sp|O14682|ENC1_HUMAN	tr|A0A7J7XYW5|A0A7J7XYW5_MYOMY
OG0001366	sp|Q9H0H3|KLH25_HUMAN	tr|A0A7J7RSK5|A0A7J7RSK5_MYOMY
OG0001367	sp|Q8IWA4|MFN1_HUMAN	tr|A0A7J7ZZ08|A0A7J7ZZ08_MYOMY
OG0001367	sp|O95140|MFN2_HUMAN	tr|A0A7J7ZZQ9|A0A7J7ZZQ9_MYOMY
OG0001368	sp|P07205|PGK2_HUMAN	tr|A0A7J7WWW2|A0A7J7WWW2_MYOMY
OG0001368	sp|P00558|PGK1_HUMAN	tr|A0A7J7YEQ4|A0A7J7YEQ4_MYOMY
OG0001369	sp|P48730|KC1D_HUMAN	tr|A0A7J7R3D6|A0A7J7R3D6_MYOMY
OG0001369	sp|P49674|KC1E_HUMAN	tr|A0A7J7Z2E3|A0A7J7Z2E3_MYOMY
OG0001370	sp|Q8TD30|ALAT2_HUMAN	tr|A0A7J7SBI7|A0A7J7SBI7_MYOMY
OG0001370	sp|P24298|ALAT1_HUMAN	tr|A0A7J7R452|A0A7J7R452_MYOMY
OG0001371	sp|Q9P121|NTRI_HUMAN	tr|A0A7J7S349|A0A7J7S349_MYOMY
OG0001371	sp|Q14982|OPCM_HUMAN	tr|A0A7J7S2F0|A0A7J7S2F0_MYOMY
OG0001372	sp|Q9BX70|BTBD2_HUMAN	tr|A0A7J7XE07|A0A7J7XE07_MYOMY
OG0001372	sp|Q9H0C5|BTBD1_HUMAN	tr|A0A7J7R1U6|A0A7J7R1U6_MYOMY
OG0001373	sp|Q15475|SIX1_HUMAN	tr|A0A7J8ARG2|A0A7J8ARG2_MYOMY
OG0001373	sp|Q9NPC8|SIX2_HUMAN	tr|A0A7J7U6L0|A0A7J7U6L0_MYOMY
OG0001374	sp|P29375|KDM5A_HUMAN	tr|A0A7J7Z3G7|A0A7J7Z3G7_MYOMY
OG0001374	sp|Q9UGL1|KDM5B_HUMAN	tr|A0A7J7RUK4|A0A7J7RUK4_MYOMY
OG0001375	sp|Q8IWF6|DEN6A_HUMAN	tr|A0A7J7UBW2|A0A7J7UBW2_MYOMY
OG0001375	sp|Q8NEG7|DEN6B_HUMAN	tr|A0A7J7QUH9|A0A7J7QUH9_MYOMY
OG0001376	sp|O00562|PITM1_HUMAN	tr|A0A7J7VIE2|A0A7J7VIE2_MYOMY
OG0001376	sp|Q9BZ72|PITM2_HUMAN	tr|A0A7J7S3C9|A0A7J7S3C9_MYOMY
OG0001377	sp|Q9NQZ7|ENTP7_HUMAN	tr|A0A7J7TT20|A0A7J7TT20_MYOMY
OG0001377	sp|Q9Y227|ENTP4_HUMAN	tr|A0A7J7XFA5|A0A7J7XFA5_MYOMY
OG0001378	sp|O43390|HNRPR_HUMAN	tr|A0A7J7ZVL9|A0A7J7ZVL9_MYOMY
OG0001378	sp|O60506|HNRPQ_HUMAN	tr|A0A7J7WXK4|A0A7J7WXK4_MYOMY
OG0001379	sp|Q13247|SRSF6_HUMAN	tr|A0A7J7W0Y3|A0A7J7W0Y3_MYOMY
OG0001379	sp|Q08170|SRSF4_HUMAN	tr|A0A7J8A1J6|A0A7J8A1J6_MYOMY
OG0001380	sp|P29558|RBMS1_HUMAN	tr|A0A7J7WIV6|A0A7J7WIV6_MYOMY
OG0001380	sp|Q15434|RBMS2_HUMAN	tr|A0A7J7Z9H3|A0A7J7Z9H3_MYOMY
OG0001381	sp|Q16526|CRY1_HUMAN	tr|A0A7J7Z198|A0A7J7Z198_MYOMY
OG0001381	sp|Q49AN0|CRY2_HUMAN	tr|A0A7J7VGH9|A0A7J7VGH9_MYOMY
OG0001382	sp|Q9NZ08|ERAP1_HUMAN	tr|A0A7J7XYD9|A0A7J7XYD9_MYOMY
OG0001382	sp|Q6P179|ERAP2_HUMAN	tr|A0A7J7XYX0|A0A7J7XYX0_MYOMY
OG0001383	sp|Q96HR9|REEP6_HUMAN	tr|A0A7J7XKB8|A0A7J7XKB8_MYOMY
OG0001383	sp|Q00765|REEP5_HUMAN	tr|A0A7J7Y238|A0A7J7Y238_MYOMY
OG0001384	sp|Q9NU19|TB22B_HUMAN	tr|A0A7J7WXV9|A0A7J7WXV9_MYOMY
OG0001384	sp|Q8WUA7|TB22A_HUMAN	tr|A0A7J7Z937|A0A7J7Z937_MYOMY
OG0001385	sp|Q9P0M6|H2AW_HUMAN	tr|A0A7J7TT78|A0A7J7TT78_MYOMY
OG0001385	sp|O75367|H2AY_HUMAN	tr|A0A7J7XG35|A0A7J7XG35_MYOMY
OG0001386	sp|P17844|DDX5_HUMAN	tr|A0A7J7T4N4|A0A7J7T4N4_MYOMY
OG0001386	sp|Q92841|DDX17_HUMAN	tr|A0A7J7Z228|A0A7J7Z228_MYOMY
OG0001387	sp|Q9HCE7|SMUF1_HUMAN	tr|A0A7J7XKG9|A0A7J7XKG9_MYOMY
OG0001387	sp|Q9HAU4|SMUF2_HUMAN	tr|A0A7J7T8Z6|A0A7J7T8Z6_MYOMY
OG0001388	sp|Q14155|ARHG7_HUMAN	tr|A0A7J7Z014|A0A7J7Z014_MYOMY
OG0001388	sp|Q15052|ARHG6_HUMAN	tr|A0A7J7YBY1|A0A7J7YBY1_MYOMY
OG0001389	sp|Q96QT4|TRPM7_HUMAN	tr|A0A7J8ARR5|A0A7J8ARR5_MYOMY
OG0001389	sp|Q9BX84|TRPM6_HUMAN	tr|A0A7J7URR9|A0A7J7URR9_MYOMY
OG0001390	sp|O43306|ADCY6_HUMAN	tr|A0A7J7Z090|A0A7J7Z090_MYOMY
OG0001390	sp|O95622|ADCY5_HUMAN	tr|A0A7J7ZRY1|A0A7J7ZRY1_MYOMY
OG0001391	sp|P78356|PI42B_HUMAN	tr|A0A7J7T893|A0A7J7T893_MYOMY
OG0001391	sp|P48426|PI42A_HUMAN	tr|A0A7J8AQF3|A0A7J8AQF3_MYOMY
OG0001392	sp|P46926|GNPI1_HUMAN	tr|A0A7J7XG44|A0A7J7XG44_MYOMY
OG0001392	sp|Q8TDQ7|GNPI2_HUMAN	tr|A0A7J8AKZ9|A0A7J8AKZ9_MYOMY
OG0001393	sp|Q9BYT9|ANO3_HUMAN	tr|A0A7J7VG71|A0A7J7VG71_MYOMY
OG0001393	sp|Q32M45|ANO4_HUMAN	tr|A0A7J7Z0B6|A0A7J7Z0B6_MYOMY
OG0001394	sp|Q86UL3|GPAT4_HUMAN	tr|A0A7J7Z382|A0A7J7Z382_MYOMY
OG0001394	sp|Q53EU6|GPAT3_HUMAN	tr|A0A7J8AJW3|A0A7J8AJW3_MYOMY
OG0001395	sp|P21728|DRD1_HUMAN	tr|A0A7J7XF36|A0A7J7XF36_MYOMY
OG0001395	sp|P21918|DRD5_HUMAN	tr|A0A7J8AIY8|A0A7J8AIY8_MYOMY
OG0001396	sp|Q9NVM6|DJC17_HUMAN	tr|A0A7J8AJK2|A0A7J8AJK2_MYOMY, tr|A0A7J7VHY1|A0A7J7VHY1_MYOMY, tr|A0A7J7VIN7|A0A7J7VIN7_MYOMY
OG0001397	sp|Q13635|PTC1_HUMAN	tr|A0A7J7UQQ9|A0A7J7UQQ9_MYOMY
OG0001397	sp|Q9Y6C5|PTC2_HUMAN	tr|A0A7J8A140|A0A7J8A140_MYOMY
OG0001398	sp|Q6UB35|C1TM_HUMAN	tr|A0A7J7WWA4|A0A7J7WWA4_MYOMY
OG0001398	sp|P11586|C1TC_HUMAN	tr|A0A7J8AP22|A0A7J8AP22_MYOMY
OG0001399	sp|Q6IQ26|DEN5A_HUMAN	tr|A0A7J7VGX9|A0A7J7VGX9_MYOMY
OG0001399	sp|Q6ZUT9|DEN5B_HUMAN	tr|A0A7J7Z1T4|A0A7J7Z1T4_MYOMY
OG0001400	sp|Q8TDC3|BRSK1_HUMAN	tr|A0A7J7R0J8|A0A7J7R0J8_MYOMY
OG0001400	sp|Q8IWQ3|BRSK2_HUMAN	tr|A0A7J7VG59|A0A7J7VG59_MYOMY
OG0001401	sp|O14576|DC1I1_HUMAN	tr|A0A7J7V2L0|A0A7J7V2L0_MYOMY
OG0001401	sp|Q13409|DC1I2_HUMAN	tr|A0A7J7WGD1|A0A7J7WGD1_MYOMY
OG0001402	sp|Q496J9|SV2C_HUMAN	tr|A0A7J7Y2F4|A0A7J7Y2F4_MYOMY
OG0001402	sp|Q7L0J3|SV2A_HUMAN	tr|A0A7J7STK4|A0A7J7STK4_MYOMY
OG0001403	sp|O95271|TNKS1_HUMAN	tr|A0A7J7ZA03|A0A7J7ZA03_MYOMY
OG0001403	sp|Q9H2K2|TNKS2_HUMAN	tr|A0A7J7TV56|A0A7J7TV56_MYOMY
OG0001404	sp|Q9HB90|RRAGC_HUMAN	tr|A0A7J8A209|A0A7J8A209_MYOMY
OG0001404	sp|Q9NQL2|RRAGD_HUMAN	tr|A0A7J7WXA5|A0A7J7WXA5_MYOMY
OG0001405	sp|Q86UG4|SO6A1_HUMAN	tr|A0A7J7Y263|A0A7J7Y263_MYOMY
OG0001405	sp|Q6ZQN7|SO4C1_HUMAN	tr|A0A7J7Y272|A0A7J7Y272_MYOMY
OG0001406	sp|Q8IWY9|CDAN1_HUMAN	tr|A0A7J8AJ47|A0A7J8AJ47_MYOMY, tr|A0A7J7XZQ3|A0A7J7XZQ3_MYOMY, tr|A0A7J7XZJ6|A0A7J7XZJ6_MYOMY
OG0001407	sp|P51531|SMCA2_HUMAN	tr|A0A7J7UR91|A0A7J7UR91_MYOMY
OG0001407	sp|P51532|SMCA4_HUMAN	tr|A0A7J7XKC5|A0A7J7XKC5_MYOMY
OG0001408	sp|Q13972|RGRF1_HUMAN	tr|A0A7J7RSP2|A0A7J7RSP2_MYOMY
OG0001408	sp|O14827|RGRF2_HUMAN	tr|A0A7J7Y1K7|A0A7J7Y1K7_MYOMY
OG0001409	sp|Q9C026|TRIM9_HUMAN	tr|A0A7J8ARV5|A0A7J8ARV5_MYOMY
OG0001409	sp|Q6ZTA4|TRI67_HUMAN	tr|A0A7J7RV96|A0A7J7RV96_MYOMY
OG0001410	sp|P17600|SYN1_HUMAN	tr|A0A7J7YG14|A0A7J7YG14_MYOMY
OG0001410	sp|Q92777|SYN2_HUMAN	tr|A0A7J7UEH3|A0A7J7UEH3_MYOMY
OG0001411	sp|Q9H1H9|KI13A_HUMAN	tr|A0A7J7ZXK2|A0A7J7ZXK2_MYOMY
OG0001411	sp|Q9NQT8|KI13B_HUMAN	tr|A0A7J7XGV6|A0A7J7XGV6_MYOMY
OG0001412	sp|P24386|RAE1_HUMAN	tr|A0A7J7YDM6|A0A7J7YDM6_MYOMY
OG0001412	sp|P26374|RAE2_HUMAN	tr|A0A7J7RU80|A0A7J7RU80_MYOMY
OG0001413	sp|Q15777|MPPD2_HUMAN	tr|A0A7J7VIP2|A0A7J7VIP2_MYOMY
OG0001413	sp|O15442|MPPD1_HUMAN	tr|A0A7J7Z6U0|A0A7J7Z6U0_MYOMY
OG0001414	sp|Q3L8U1|CHD9_HUMAN	tr|A0A7J7SAI8|A0A7J7SAI8_MYOMY
OG0001414	sp|Q9P2D1|CHD7_HUMAN	tr|A0A7J7TJ01|A0A7J7TJ01_MYOMY
OG0001415	sp|Q4ZG55|GREB1_HUMAN	tr|A0A7J7U522|A0A7J7U522_MYOMY
OG0001415	sp|Q9C091|GRB1L_HUMAN	tr|A0A7J7VY66|A0A7J7VY66_MYOMY
OG0001416	sp|P22732|GTR5_HUMAN	tr|A0A7J8A178|A0A7J8A178_MYOMY
OG0001416	sp|Q6PXP3|GTR7_HUMAN	tr|A0A7J8A1W6|A0A7J8A1W6_MYOMY
OG0001417	sp|Q96ND8|ZN583_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q6ZN57|ZFP2_HUMAN	tr|A0A7J7R0A2|A0A7J7R0A2_MYOMY
OG0001418	sp|P0CW24|PNM6A_HUMAN	tr|A0A7J7YFD6|A0A7J7YFD6_MYOMY, tr|A0A7J7YF66|A0A7J7YF66_MYOMY, tr|A0A7J7YDG6|A0A7J7YDG6_MYOMY
OG0001419	sp|Q04917|1433F_HUMAN	tr|A0A7J7S3L1|A0A7J7S3L1_MYOMY
OG0001419	sp|P61981|1433G_HUMAN	tr|A0A7J7Y3E1|A0A7J7Y3E1_MYOMY
OG0001420	sp|Q9H1J7|WNT5B_HUMAN	tr|A0A7J7ZBX1|A0A7J7ZBX1_MYOMY
OG0001420	sp|P41221|WNT5A_HUMAN	tr|A0A7J7UF77|A0A7J7UF77_MYOMY
OG0001421	sp|Q9H310|RHBG_HUMAN	tr|A0A7J7STJ8|A0A7J7STJ8_MYOMY
OG0001421	sp|Q9UBD6|RHCG_HUMAN	tr|A0A7J7RS06|A0A7J7RS06_MYOMY
