Orthogroup	Homo_sapiens	Octodon_degus
OG0000387	sp|P28827|PTPRM_HUMAN	tr|A0A6P6EV13|A0A6P6EV13_OCTDE
OG0000388	sp|Q12840|KIF5A_HUMAN	tr|A0A6P3V8I3|A0A6P3V8I3_OCTDE
OG0000388	sp|P33176|KINH_HUMAN	tr|A0A6P3FPA9|A0A6P3FPA9_OCTDE
OG0000388	sp|O60282|KIF5C_HUMAN	tr|A0A6P3FFK2|A0A6P3FFK2_OCTDE
OG0000389	sp|P54793|ARSF_HUMAN, sp|P51689|ARSD_HUMAN, sp|Q5FYA8|ARSH_HUMAN, sp|P51690|ARSL_HUMAN, sp|P08842|STS_HUMAN	tr|A0A6P3FHE7|A0A6P3FHE7_OCTDE
OG0000390	sp|Q8NGI1|O56B2_HUMAN	tr|A0A6P6DDZ8|A0A6P6DDZ8_OCTDE
OG0000390	sp|Q8NH76|O56B4_HUMAN	tr|A0A6P3FAT6|A0A6P3FAT6_OCTDE
OG0000390	sp|Q8NGI3|O56B1_HUMAN	tr|A0A6P3VDW1|A0A6P3VDW1_OCTDE
OG0000391	sp|Q6NXS1|IPP2B_HUMAN, sp|P41236|IPP2_HUMAN, sp|Q96PQ5|IPP2L_HUMAN	tr|A0A6P3FSS4|A0A6P3FSS4_OCTDE, tr|A0A6P6DJR9|A0A6P6DJR9_OCTDE, tr|A0A6P6F3H3|A0A6P6F3H3_OCTDE
OG0000392	sp|Q5MIZ7|P4R3B_HUMAN	tr|A0A6P3F5S1|A0A6P3F5S1_OCTDE
OG0000392	sp|Q6IN85|P4R3A_HUMAN	tr|A0A6P3F9U6|A0A6P3F9U6_OCTDE
OG0000392	sp|Q6ZMV5|P4R3C_HUMAN	tr|A0A6P3F848|A0A6P3F848_OCTDE
OG0000393	sp|Q8NA70|FA47B_HUMAN, sp|Q5HY64|FA47C_HUMAN, sp|Q5JRC9|FA47A_HUMAN, sp|A6NHR8|FA47D_HUMAN, sp|Q6ZV65|FA47E_HUMAN	tr|A0A6P3FHI9|A0A6P3FHI9_OCTDE
OG0000394	tr|A0A5F9ZGZ6|A0A5F9ZGZ6_HUMAN, sp|A5YM69|ARG35_HUMAN, tr|A0A2R8YFR7|A0A2R8YFR7_HUMAN, sp|Q12774|ARHG5_HUMAN, tr|A0A2R8YF49|A0A2R8YF49_HUMAN	tr|A0A6P3EPA3|A0A6P3EPA3_OCTDE
OG0000395	sp|Q8NI29|FBX27_HUMAN	tr|A0A6P3FCP6|A0A6P3FCP6_OCTDE, tr|A0A6P6EYF5|A0A6P6EYF5_OCTDE, tr|A0A6P6EY77|A0A6P6EY77_OCTDE
OG0000395	sp|Q96EF6|FBX17_HUMAN	tr|A0A6P3FGC5|A0A6P3FGC5_OCTDE
OG0000396	sp|P50416|CPT1A_HUMAN	tr|A0A6P3EZJ4|A0A6P3EZJ4_OCTDE
OG0000396	sp|Q8TCG5|CPT1C_HUMAN	tr|A0A6P6DQR0|A0A6P6DQR0_OCTDE
OG0000396	sp|Q92523|CPT1B_HUMAN	tr|A0A6P6DE17|A0A6P6DE17_OCTDE
OG0000397	sp|Q6UWF7|NXPE4_HUMAN	tr|A0A6P6EXV2|A0A6P6EXV2_OCTDE
OG0000397	sp|Q96DL1|NXPE2_HUMAN	tr|A0A6P6EXE9|A0A6P6EXE9_OCTDE
OG0000397	sp|Q8N323|NXPE1_HUMAN	tr|A0A6P3FFA5|A0A6P3FFA5_OCTDE
OG0000399	sp|Q9P0S9|TM14C_HUMAN, sp|A8MWL7|TM14D_HUMAN, sp|Q9NUH8|TM14B_HUMAN	tr|A0A6P6E6D4|A0A6P6E6D4_OCTDE, tr|A0A6P6DL33|A0A6P6DL33_OCTDE, tr|A0A6P3VBM9|A0A6P3VBM9_OCTDE
OG0000400	sp|Q9Y226|S22AD_HUMAN	tr|A0A6P6DD82|A0A6P6DD82_OCTDE, tr|A0A6P6DCY8|A0A6P6DCY8_OCTDE, tr|A0A6P6DDH6|A0A6P6DDH6_OCTDE, tr|A0A6P3FA75|A0A6P3FA75_OCTDE, tr|A0A6P3EZD3|A0A6P3EZD3_OCTDE
OG0000401	sp|P22001|KCNA3_HUMAN	tr|A0A6P3F226|A0A6P3F226_OCTDE
OG0000401	sp|P16389|KCNA2_HUMAN	tr|A0A6P6EYY3|A0A6P6EYY3_OCTDE
OG0000401	sp|Q09470|KCNA1_HUMAN	tr|A0A6P3FNR6|A0A6P3FNR6_OCTDE
OG0000402	sp|P20591|MX1_HUMAN, sp|P20592|MX2_HUMAN	tr|A0A6P3VB90|A0A6P3VB90_OCTDE, tr|A0A6P6EQ51|A0A6P6EQ51_OCTDE, tr|A0A6P6ER51|A0A6P6ER51_OCTDE, tr|A0A6P3F8V4|A0A6P3F8V4_OCTDE
OG0000404	sp|P26038|MOES_HUMAN	tr|A0A6P3FQK6|A0A6P3FQK6_OCTDE
OG0000404	sp|P35241|RADI_HUMAN	tr|A0A6P3EV04|A0A6P3EV04_OCTDE
OG0000404	sp|P15311|EZRI_HUMAN	tr|A0A6P3EZ54|A0A6P3EZ54_OCTDE
OG0000405	sp|P51790|CLCN3_HUMAN	tr|A0A6P3F741|A0A6P3F741_OCTDE
OG0000405	sp|P51793|CLCN4_HUMAN	tr|A0A6P6ESI3|A0A6P6ESI3_OCTDE
OG0000405	sp|P51795|CLCN5_HUMAN	tr|A0A6P6DQR5|A0A6P6DQR5_OCTDE
OG0000407	sp|Q07108|CD69_HUMAN, sp|Q8IZS7|CLCL1_HUMAN, sp|Q9UHP7|CLC2D_HUMAN, sp|Q92478|CLC2B_HUMAN, sp|Q6UVW9|CLC2A_HUMAN	tr|A0A6P3FXZ2|A0A6P3FXZ2_OCTDE
OG0000408	sp|P35556|FBN2_HUMAN	tr|A0A6P3F7Z4|A0A6P3F7Z4_OCTDE
OG0000408	sp|Q75N90|FBN3_HUMAN	tr|A0A6P6DMH7|A0A6P6DMH7_OCTDE
OG0000408	sp|P35555|FBN1_HUMAN	tr|A0A6P3FJR2|A0A6P3FJR2_OCTDE
OG0000409	sp|P11277|SPTB1_HUMAN	tr|A0A6P6DB35|A0A6P6DB35_OCTDE
OG0000409	sp|O15020|SPTN2_HUMAN	tr|A0A6P6E1X8|A0A6P6E1X8_OCTDE
OG0000409	sp|Q01082|SPTB2_HUMAN	tr|A0A6P3FCX9|A0A6P3FCX9_OCTDE
OG0000410	sp|Q6L9T8|FA72D_HUMAN, sp|H0Y354|FA72C_HUMAN, sp|Q5TYM5|FA72A_HUMAN, sp|Q86X60|FA72B_HUMAN	tr|A0A6P6F0J8|A0A6P6F0J8_OCTDE, tr|A0A6P3F8I0|A0A6P3F8I0_OCTDE
OG0000411	sp|P49662|CASP4_HUMAN, sp|P51878|CASP5_HUMAN	tr|A0A6P6DZA0|A0A6P6DZA0_OCTDE
OG0000411	sp|P29466|CASP1_HUMAN, sp|Q6UXS9|CASPC_HUMAN	tr|A0A6P3EV09|A0A6P3EV09_OCTDE
OG0000412	sp|P35221|CTNA1_HUMAN	tr|A0A6P6DGF4|A0A6P6DGF4_OCTDE
OG0000412	sp|P26232|CTNA2_HUMAN	tr|A0A6P3FBE7|A0A6P3FBE7_OCTDE
OG0000412	sp|Q9UI47|CTNA3_HUMAN	tr|A0A6P3VBF9|A0A6P3VBF9_OCTDE
OG0000413	sp|P17858|PFKAL_HUMAN	tr|A0A6P3F710|A0A6P3F710_OCTDE
OG0000413	sp|Q01813|PFKAP_HUMAN	tr|A0A6P3VDL3|A0A6P3VDL3_OCTDE
OG0000413	sp|P08237|PFKAM_HUMAN	tr|A0A6P3FJ37|A0A6P3FJ37_OCTDE
OG0000414	sp|P09669|COX6C_HUMAN	tr|A0A6P3FL37|A0A6P3FL37_OCTDE, tr|A0A6P3FUC0|A0A6P3FUC0_OCTDE, tr|A0A6P3F630|A0A6P3F630_OCTDE, tr|A0A6P3F774|A0A6P3F774_OCTDE, tr|A0A6P3V9E9|A0A6P3V9E9_OCTDE
OG0000415	sp|Q96S21|RB40C_HUMAN	tr|A0A6P3EML0|A0A6P3EML0_OCTDE
OG0000415	sp|P0C0E4|RB40L_HUMAN, sp|Q8WXH6|RB40A_HUMAN, sp|Q12829|RB40B_HUMAN	tr|A0A6P3F5Z3|A0A6P3F5Z3_OCTDE
OG0000416	sp|A6NJ08|MB3L5_HUMAN, sp|A6NDZ8|MB3L4_HUMAN, sp|A6NE82|MB3L3_HUMAN, sp|A0A1B0GVZ6|MB3LB_HUMAN, sp|Q8NHZ7|MB3L2_HUMAN	tr|A0A6P3FUB0|A0A6P3FUB0_OCTDE
OG0000417	sp|Q09028|RBBP4_HUMAN	tr|A0A6P3VAP5|A0A6P3VAP5_OCTDE, tr|A0A6P6DAX6|A0A6P6DAX6_OCTDE
OG0000417	sp|Q16576|RBBP7_HUMAN	tr|A0A6P6EPW1|A0A6P6EPW1_OCTDE, tr|A0A6P3FDR1|A0A6P3FDR1_OCTDE
OG0000418	sp|P29016|CD1B_HUMAN, sp|P29017|CD1C_HUMAN, sp|P06126|CD1A_HUMAN, sp|P15812|CD1E_HUMAN, sp|P15813|CD1D_HUMAN	tr|A0A6P3V9C5|A0A6P3V9C5_OCTDE
OG0000419	sp|Q04721|NOTC2_HUMAN, tr|A0A8I5KY86|A0A8I5KY86_HUMAN, sp|P0DPK3|NT2NB_HUMAN, sp|Q7Z3S9|NT2NA_HUMAN, sp|P0DPK4|NT2NC_HUMAN	tr|A0A6P3FVG6|A0A6P3FVG6_OCTDE
OG0000420	sp|A8MTJ3|GNAT3_HUMAN	tr|A0A6P3FGM4|A0A6P3FGM4_OCTDE
OG0000420	sp|P11488|GNAT1_HUMAN	tr|A0A6P3EIX4|A0A6P3EIX4_OCTDE
OG0000420	sp|P19087|GNAT2_HUMAN	tr|A0A6P6EYY6|A0A6P6EYY6_OCTDE
OG0000421	sp|Q13177|PAK2_HUMAN	tr|A0A6P6DKN8|A0A6P6DKN8_OCTDE
OG0000421	sp|O75914|PAK3_HUMAN	tr|A0A6P6D6G4|A0A6P6D6G4_OCTDE
OG0000421	sp|Q13153|PAK1_HUMAN	tr|A0A6P6EK82|A0A6P6EK82_OCTDE
OG0000422	sp|P01009|A1AT_HUMAN	tr|A0A6P6EST7|A0A6P6EST7_OCTDE
OG0000422	sp|P20848|A1ATR_HUMAN	tr|A0A6P6ET29|A0A6P6ET29_OCTDE, tr|A0A6P6ESY6|A0A6P6ESY6_OCTDE, tr|A0A6P6ESY2|A0A6P6ESY2_OCTDE
OG0000423	sp|P11216|PYGB_HUMAN	tr|A0A6P3FDS7|A0A6P3FDS7_OCTDE
OG0000423	sp|P11217|PYGM_HUMAN	tr|A0A6P3FNZ9|A0A6P3FNZ9_OCTDE
OG0000423	sp|P06737|PYGL_HUMAN	tr|A0A6P3FJA9|A0A6P3FJA9_OCTDE
OG0000424	sp|P09429|HMGB1_HUMAN	tr|A0A6P3VCI4|A0A6P3VCI4_OCTDE
OG0000424	sp|P23497|SP100_HUMAN, sp|B2RPK0|HGB1A_HUMAN, sp|P26583|HMGB2_HUMAN	tr|A0A6P3F8G6|A0A6P3F8G6_OCTDE
OG0000425	sp|P29323|EPHB2_HUMAN	tr|A0A6P3FHH9|A0A6P3FHH9_OCTDE
OG0000425	sp|P54753|EPHB3_HUMAN	tr|A0A6P6D8W2|A0A6P6D8W2_OCTDE
OG0000425	sp|P54762|EPHB1_HUMAN	tr|A0A6P3EKI7|A0A6P3EKI7_OCTDE
OG0000426	sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN	tr|A0A6P3EXW3|A0A6P3EXW3_OCTDE, tr|A0A6P3EMV0|A0A6P3EMV0_OCTDE, tr|A0A6P3F2K9|A0A6P3F2K9_OCTDE, tr|A0A6P3VA64|A0A6P3VA64_OCTDE
OG0000427	sp|P57103|NAC3_HUMAN	tr|A0A6P6DDK9|A0A6P6DDK9_OCTDE
OG0000427	sp|Q9UPR5|NAC2_HUMAN	tr|A0A6P3FPS4|A0A6P3FPS4_OCTDE
OG0000427	sp|P32418|NAC1_HUMAN	tr|A0A6P6E3Y8|A0A6P6E3Y8_OCTDE
OG0000429	sp|P50570|DYN2_HUMAN	tr|A0A6P6EKU1|A0A6P6EKU1_OCTDE
OG0000429	sp|Q05193|DYN1_HUMAN	tr|A0A6P6D7J0|A0A6P6D7J0_OCTDE
OG0000429	sp|Q9UQ16|DYN3_HUMAN	tr|A0A6P3V9L4|A0A6P3V9L4_OCTDE
OG0000430	sp|O43451|MGA_HUMAN	tr|A0A6P6E8E4|A0A6P6E8E4_OCTDE
OG0000430	sp|P14410|SUIS_HUMAN	tr|A0A6P6DPP7|A0A6P6DPP7_OCTDE
OG0000430	sp|Q2M2H8|MGAL_HUMAN	tr|A0A6P6E872|A0A6P6E872_OCTDE
OG0000431	sp|Q9NZH6|IL37_HUMAN	tr|A0A6P6ELH7|A0A6P6ELH7_OCTDE
OG0000431	sp|Q9UHA7|IL36A_HUMAN	tr|A0A6P3EWE5|A0A6P3EWE5_OCTDE
OG0000431	sp|Q9NZH8|IL36G_HUMAN	tr|A0A6P6EL81|A0A6P6EL81_OCTDE
OG0000432	sp|Q8N6M8|IQCF1_HUMAN	tr|A0A6P3VEB0|A0A6P3VEB0_OCTDE
OG0000432	sp|A8MTL0|IQCF5_HUMAN	tr|A0A6P6DRY1|A0A6P6DRY1_OCTDE, tr|A0A6P6DK19|A0A6P6DK19_OCTDE, tr|A0A6P6DQW6|A0A6P6DQW6_OCTDE
OG0000433	sp|Q2TB90|HKDC1_HUMAN	tr|A0A6P6F463|A0A6P6F463_OCTDE
OG0000433	sp|P19367|HXK1_HUMAN	tr|A0A6P6F459|A0A6P6F459_OCTDE
OG0000433	sp|P52789|HXK2_HUMAN	tr|A0A6P3FC68|A0A6P3FC68_OCTDE
OG0000434	sp|Q14689|DIP2A_HUMAN	tr|A0A6P6EIK2|A0A6P6EIK2_OCTDE
OG0000434	sp|Q9P265|DIP2B_HUMAN	tr|A0A6P3F3C8|A0A6P3F3C8_OCTDE
OG0000434	sp|Q9Y2E4|DIP2C_HUMAN	tr|A0A6P6DAK6|A0A6P6DAK6_OCTDE
OG0000435	sp|P20702|ITAX_HUMAN	tr|A0A6P6D6H5|A0A6P6D6H5_OCTDE
OG0000435	sp|P11215|ITAM_HUMAN	tr|A0A6P3EI82|A0A6P3EI82_OCTDE
OG0000435	sp|Q13349|ITAD_HUMAN	tr|A0A6P6D7I4|A0A6P6D7I4_OCTDE
OG0000436	sp|Q14651|PLSI_HUMAN	tr|A0A6P6E995|A0A6P6E995_OCTDE
OG0000436	sp|P13797|PLST_HUMAN	tr|A0A6P6D6J0|A0A6P6D6J0_OCTDE
OG0000436	sp|P13796|PLSL_HUMAN	tr|A0A6P3FID7|A0A6P3FID7_OCTDE
OG0000437	sp|P48065|S6A12_HUMAN	tr|A0A6P6EM72|A0A6P6EM72_OCTDE
OG0000437	sp|Q9NSD5|S6A13_HUMAN	tr|A0A6P6EMH6|A0A6P6EMH6_OCTDE
OG0000437	sp|P48066|S6A11_HUMAN	tr|A0A6P6DP18|A0A6P6DP18_OCTDE
OG0000438	sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN	tr|A0A6P6DBH0|A0A6P6DBH0_OCTDE
OG0000439	sp|Q92952|KCNN1_HUMAN	tr|A0A6P3FGY6|A0A6P3FGY6_OCTDE
OG0000439	sp|Q9UGI6|KCNN3_HUMAN	tr|A0A6P3ERK7|A0A6P3ERK7_OCTDE
OG0000439	sp|Q9H2S1|KCNN2_HUMAN	tr|A0A6P3FIW7|A0A6P3FIW7_OCTDE
OG0000440	sp|P33121|ACSL1_HUMAN	tr|A0A6P3FHK1|A0A6P3FHK1_OCTDE
OG0000440	sp|Q9ULC5|ACSL5_HUMAN	tr|A0A6P3F8B3|A0A6P3F8B3_OCTDE
OG0000440	sp|Q9UKU0|ACSL6_HUMAN	tr|A0A6P3EQZ7|A0A6P3EQZ7_OCTDE
OG0000441	sp|Q16281|CNGA3_HUMAN	tr|A0A6P3FAW6|A0A6P3FAW6_OCTDE
OG0000441	sp|Q16280|CNGA2_HUMAN	tr|A0A6P6DPV9|A0A6P6DPV9_OCTDE
OG0000441	sp|P29973|CNGA1_HUMAN	tr|A0A6P3FRX4|A0A6P3FRX4_OCTDE
OG0000442	sp|P78368|KC1G2_HUMAN	tr|A0A6P3EVC2|A0A6P3EVC2_OCTDE
OG0000442	sp|Q9Y6M4|KC1G3_HUMAN	tr|A0A6P6EFJ8|A0A6P6EFJ8_OCTDE
OG0000442	sp|Q9HCP0|KC1G1_HUMAN	tr|A0A6P6E8L3|A0A6P6E8L3_OCTDE
OG0000443	sp|Q13002|GRIK2_HUMAN	tr|A0A6P3FH75|A0A6P3FH75_OCTDE
OG0000443	sp|Q13003|GRIK3_HUMAN	tr|A0A6P3FN80|A0A6P3FN80_OCTDE
OG0000443	sp|P39086|GRIK1_HUMAN	tr|A0A6P3FIC5|A0A6P3FIC5_OCTDE
OG0000444	sp|Q5VST6|AB17B_HUMAN	tr|A0A6P6EZE0|A0A6P6EZE0_OCTDE
OG0000444	sp|Q6PCB6|AB17C_HUMAN	tr|A0A6P3EU01|A0A6P3EU01_OCTDE
OG0000444	sp|Q96GS6|AB17A_HUMAN	tr|A0A6P3FA08|A0A6P3FA08_OCTDE
OG0000445	sp|Q8IZP2|ST134_HUMAN	tr|A0A6P6E6C2|A0A6P6E6C2_OCTDE
OG0000445	sp|P50502|F10A1_HUMAN, sp|Q8NFI4|F10A5_HUMAN	tr|A0A6P3EV60|A0A6P3EV60_OCTDE, tr|A0A6P6ERI2|A0A6P6ERI2_OCTDE
OG0000446	sp|P10276|RARA_HUMAN	tr|A0A6P3FAH1|A0A6P3FAH1_OCTDE
OG0000446	sp|P13631|RARG_HUMAN	tr|A0A6P6F1V5|A0A6P6F1V5_OCTDE
OG0000446	sp|P10826|RARB_HUMAN	tr|A0A6P3FC96|A0A6P3FC96_OCTDE
OG0000447	sp|Q8N0T1|RBIS_HUMAN	tr|A0A6P3V8A0|A0A6P3V8A0_OCTDE, tr|A0A6P3VDW8|A0A6P3VDW8_OCTDE, tr|A0A6P3VCV2|A0A6P3VCV2_OCTDE, tr|A0A6P3FRI3|A0A6P3FRI3_OCTDE, tr|A0A6P3V8F7|A0A6P3V8F7_OCTDE
OG0000448	sp|P07948|LYN_HUMAN	tr|A0A6P6EMI7|A0A6P6EMI7_OCTDE
OG0000448	sp|P08631|HCK_HUMAN	tr|A0A6P3ESW0|A0A6P3ESW0_OCTDE
OG0000448	sp|P51451|BLK_HUMAN	tr|A0A6P3F724|A0A6P3F724_OCTDE
OG0000449	sp|Q9NYZ1|TV23B_HUMAN, sp|Q96ET8|TV23C_HUMAN	tr|A0A6P3F583|A0A6P3F583_OCTDE, tr|A0A6P6DHZ1|A0A6P6DHZ1_OCTDE, tr|A0A6P6F3P3|A0A6P6F3P3_OCTDE, tr|A0A6P6DP70|A0A6P6DP70_OCTDE
OG0000450	sp|P13164|IFM1_HUMAN, sp|Q01629|IFM2_HUMAN, sp|C9JQL5|DSA2D_HUMAN, sp|Q01628|IFM3_HUMAN	tr|A0A6P3FI55|A0A6P3FI55_OCTDE, tr|A0A6P3F3N4|A0A6P3F3N4_OCTDE
OG0000451	sp|Q86VQ3|TXND2_HUMAN	tr|A0A6P3VE39|A0A6P3VE39_OCTDE
OG0000451	sp|P10599|THIO_HUMAN	tr|A0A6P3FIU4|A0A6P3FIU4_OCTDE, tr|A0A6P3FET4|A0A6P3FET4_OCTDE, tr|A0A6P6DZ39|A0A6P6DZ39_OCTDE
OG0000452	sp|P45983|MK08_HUMAN	tr|A0A6P3FU63|A0A6P3FU63_OCTDE
OG0000452	sp|P45984|MK09_HUMAN	tr|A0A6P6E9B7|A0A6P6E9B7_OCTDE
OG0000452	sp|P53779|MK10_HUMAN	tr|A0A6P6E8T7|A0A6P6E8T7_OCTDE
OG0000453	sp|Q3LI67|KRA63_HUMAN, sp|Q3LI64|KRA61_HUMAN, sp|Q3LI66|KRA62_HUMAN	tr|A0A6P3FIF6|A0A6P3FIF6_OCTDE, tr|A0A6P3FGB0|A0A6P3FGB0_OCTDE, tr|A0A6P3FVS5|A0A6P3FVS5_OCTDE
OG0000454	sp|P00374|DYR_HUMAN, sp|Q86XF0|DYR2_HUMAN	tr|A0A6P6D9H5|A0A6P6D9H5_OCTDE, tr|A0A6P3V9K5|A0A6P3V9K5_OCTDE, tr|A0A6P6DXX9|A0A6P6DXX9_OCTDE, tr|A0A6P3VCS5|A0A6P3VCS5_OCTDE
OG0000455	sp|Q96EI5|TCAL4_HUMAN, sp|Q9H3H9|TCAL2_HUMAN, sp|Q5H9L2|TCAL5_HUMAN, sp|Q6IPX3|TCAL6_HUMAN, sp|Q969E4|TCAL3_HUMAN	tr|A0A6P6DHV5|A0A6P6DHV5_OCTDE
OG0000456	sp|P22607|FGFR3_HUMAN	tr|A0A6P6D7B0|A0A6P6D7B0_OCTDE
OG0000456	sp|P11362|FGFR1_HUMAN	tr|A0A6P6F0H2|A0A6P6F0H2_OCTDE
OG0000456	sp|P21802|FGFR2_HUMAN	tr|A0A6P6DXV1|A0A6P6DXV1_OCTDE
OG0000457	sp|Q9H223|EHD4_HUMAN	tr|A0A6P3EPT8|A0A6P3EPT8_OCTDE
OG0000457	sp|Q9NZN3|EHD3_HUMAN	tr|A0A6P6E3I1|A0A6P6E3I1_OCTDE
OG0000457	sp|Q9H4M9|EHD1_HUMAN	tr|A0A6P3FSI9|A0A6P3FSI9_OCTDE
OG0000458	sp|Q86VB7|C163A_HUMAN	tr|A0A6P6DTA3|A0A6P6DTA3_OCTDE
OG0000458	sp|Q9UGM3|DMBT1_HUMAN	tr|A0A6P6DY43|A0A6P6DY43_OCTDE
OG0000458	sp|Q9NR16|C163B_HUMAN	tr|A0A6P6DX70|A0A6P6DX70_OCTDE
OG0000459	sp|Q9P2S2|NRX2A_HUMAN	tr|A0A6P3FDJ4|A0A6P3FDJ4_OCTDE
OG0000459	sp|Q9ULB1|NRX1A_HUMAN	tr|A0A6P6DGV6|A0A6P6DGV6_OCTDE
OG0000459	sp|Q9Y4C0|NRX3A_HUMAN	tr|A0A6P3EI91|A0A6P3EI91_OCTDE
OG0000460	sp|P59666|DEF3_HUMAN, sp|P59665|DEF1_HUMAN, sp|Q01523|DEF5_HUMAN, sp|Q01524|DEF6_HUMAN, sp|P12838|DEF4_HUMAN	tr|A0A6P6DE79|A0A6P6DE79_OCTDE
OG0000461	sp|P31751|AKT2_HUMAN	tr|A0A6P6DVE5|A0A6P6DVE5_OCTDE
OG0000461	sp|P31749|AKT1_HUMAN	tr|A0A6P6DP52|A0A6P6DP52_OCTDE
OG0000461	sp|Q9Y243|AKT3_HUMAN	tr|A0A6P6E1R0|A0A6P6E1R0_OCTDE
OG0000462	sp|P28161|GSTM2_HUMAN	tr|A0A6P3F1U3|A0A6P3F1U3_OCTDE
OG0000462	sp|P09488|GSTM1_HUMAN, sp|P46439|GSTM5_HUMAN, sp|Q03013|GSTM4_HUMAN	tr|A0A6P6EZN3|A0A6P6EZN3_OCTDE
OG0000463	sp|P26715|NKG2A_HUMAN, sp|P26717|NKG2C_HUMAN, sp|O43908|NKG2F_HUMAN, sp|Q07444|NKG2E_HUMAN	tr|A0A6P6E289|A0A6P6E289_OCTDE, tr|A0A6P6E246|A0A6P6E246_OCTDE
OG0000464	sp|Q13136|LIPA1_HUMAN	tr|A0A6P6E2S4|A0A6P6E2S4_OCTDE
OG0000464	sp|O75334|LIPA2_HUMAN	tr|A0A6P6ENC8|A0A6P6ENC8_OCTDE
OG0000464	sp|O75335|LIPA4_HUMAN	tr|A0A6P6DVT3|A0A6P6DVT3_OCTDE
OG0000465	sp|P02794|FRIH_HUMAN	tr|A0A6P6DS18|A0A6P6DS18_OCTDE
OG0000465	sp|Q9BXU8|FHL17_HUMAN, sp|P0C7X4|FHL19_HUMAN, sp|Q8N4E7|FTMT_HUMAN	tr|A0A6P3ETL2|A0A6P3ETL2_OCTDE
OG0000466	sp|Q9NZA1|CLIC5_HUMAN	tr|A0A6P6ESN0|A0A6P6ESN0_OCTDE
OG0000466	sp|Q9Y696|CLIC4_HUMAN	tr|A0A6P3FDU3|A0A6P3FDU3_OCTDE
OG0000466	sp|Q96NY7|CLIC6_HUMAN	tr|A0A6P3F8S1|A0A6P3F8S1_OCTDE
OG0000467	sp|P37235|HPCL1_HUMAN	tr|A0A6P6DE07|A0A6P6DE07_OCTDE
OG0000467	sp|P84074|HPCA_HUMAN	tr|A0A6P3FMG2|A0A6P3FMG2_OCTDE
OG0000467	sp|P61601|NCALD_HUMAN	tr|A0A6P6DEQ7|A0A6P6DEQ7_OCTDE
OG0000468	sp|P32298|GRK4_HUMAN	tr|A0A6P6D821|A0A6P6D821_OCTDE
OG0000468	sp|P43250|GRK6_HUMAN	tr|A0A6P3EUW6|A0A6P3EUW6_OCTDE
OG0000468	sp|P34947|GRK5_HUMAN	tr|A0A6P3EY38|A0A6P3EY38_OCTDE
OG0000469	sp|P12724|ECP_HUMAN, sp|P10153|RNAS2_HUMAN, sp|Q93091|RNAS6_HUMAN, sp|Q9H1E1|RNAS7_HUMAN, sp|Q8TDE3|RNAS8_HUMAN	tr|A0A6P3V9G1|A0A6P3V9G1_OCTDE
OG0000470	sp|O60741|HCN1_HUMAN	tr|A0A6P3FVU7|A0A6P3FVU7_OCTDE
OG0000470	sp|Q9P1Z3|HCN3_HUMAN	tr|A0A6P3ERJ2|A0A6P3ERJ2_OCTDE
OG0000470	sp|Q9UL51|HCN2_HUMAN	tr|A0A6P3EVX4|A0A6P3EVX4_OCTDE
OG0000471	sp|P18085|ARF4_HUMAN	tr|A0A6P3VAN5|A0A6P3VAN5_OCTDE, tr|A0A6P6EGX7|A0A6P6EGX7_OCTDE
OG0000471	sp|P84085|ARF5_HUMAN	tr|A0A6P6E7D1|A0A6P6E7D1_OCTDE, tr|A0A6P3FR17|A0A6P3FR17_OCTDE
OG0000472	sp|Q9H0N0|RAB6C_HUMAN, sp|Q53S08|RAB6D_HUMAN, sp|Q9NRW1|RAB6B_HUMAN, sp|Q5JT25|RAB41_HUMAN, sp|P20340|RAB6A_HUMAN	tr|A0A6P3FAD2|A0A6P3FAD2_OCTDE
OG0000473	sp|Q2Y0W8|S4A8_HUMAN	tr|A0A6P3FEC9|A0A6P3FEC9_OCTDE
OG0000473	sp|Q6U841|S4A10_HUMAN	tr|A0A6P3F1L2|A0A6P3F1L2_OCTDE
OG0000473	sp|Q9Y6M7|S4A7_HUMAN	tr|A0A6P6EQM0|A0A6P6EQM0_OCTDE
OG0000474	sp|Q8N3T6|T132C_HUMAN	tr|A0A6P3FF15|A0A6P3FF15_OCTDE
OG0000474	sp|Q14C87|T132D_HUMAN	tr|A0A6P3F0J8|A0A6P3F0J8_OCTDE
OG0000474	sp|Q14DG7|T132B_HUMAN	tr|A0A6P3VBK8|A0A6P3VBK8_OCTDE
OG0000475	sp|P21817|RYR1_HUMAN	tr|A0A6P6EYM8|A0A6P6EYM8_OCTDE
OG0000475	sp|Q92736|RYR2_HUMAN	tr|A0A6P6D913|A0A6P6D913_OCTDE
OG0000475	sp|Q15413|RYR3_HUMAN	tr|A0A6P6DG70|A0A6P6DG70_OCTDE
OG0000476	sp|P07307|ASGR2_HUMAN	tr|A0A6P6F479|A0A6P6F479_OCTDE
OG0000476	sp|P07306|ASGR1_HUMAN	tr|A0A6P3FIZ3|A0A6P3FIZ3_OCTDE
OG0000476	sp|Q8IUN9|CLC10_HUMAN	tr|A0A6P3FIP6|A0A6P3FIP6_OCTDE
