Orthogroup	Homo_sapiens	Saimiri_boliviensis_boliviensis
OG0000324	sp|Q6STE5|SMRD3_HUMAN	tr|A0A2K6SPI7|A0A2K6SPI7_SAIBB
OG0000324	sp|Q92925|SMRD2_HUMAN	tr|A0A2K6U1M0|A0A2K6U1M0_SAIBB
OG0000325	sp|P19784|CSK22_HUMAN	tr|A0A2K6TJ34|A0A2K6TJ34_SAIBB
OG0000325	sp|P68400|CSK21_HUMAN	tr|A0A2K6S3Q6|A0A2K6S3Q6_SAIBB
OG0000325	sp|Q8NEV1|CSK23_HUMAN	tr|A0A2K6U2X9|A0A2K6U2X9_SAIBB
OG0000326	sp|Q9Y3U8|RL36_HUMAN	tr|A0A2K6U9L7|A0A2K6U9L7_SAIBB, tr|A0A2K6S9H9|A0A2K6S9H9_SAIBB, tr|A0A2K6V8M6|A0A2K6V8M6_SAIBB, tr|A0A2K6SB90|A0A2K6SB90_SAIBB, tr|A0A2K6UV13|A0A2K6UV13_SAIBB
OG0000327	sp|Q8N6D2|RN182_HUMAN, tr|A0A7I2V3R4|A0A7I2V3R4_HUMAN, sp|A6NIN4|RN227_HUMAN, sp|Q9NXI6|RN186_HUMAN, tr|A0A2R8Y4M4|A0A2R8Y4M4_HUMAN	tr|A0A2K6SDZ4|A0A2K6SDZ4_SAIBB
OG0000328	sp|Q9BWT3|PAPOG_HUMAN	tr|A0A2K6THV4|A0A2K6THV4_SAIBB
OG0000328	sp|P51003|PAPOA_HUMAN	tr|A0A2K6T6L3|A0A2K6T6L3_SAIBB
OG0000328	sp|Q9NRJ5|PAPOB_HUMAN	tr|A0A2K6SAJ0|A0A2K6SAJ0_SAIBB
OG0000329	sp|P62910|RL32_HUMAN	tr|A0A2K6SFQ8|A0A2K6SFQ8_SAIBB, tr|A0A2K6S716|A0A2K6S716_SAIBB, tr|A0A2K6S4I7|A0A2K6S4I7_SAIBB, tr|A0A2K6S4M5|A0A2K6S4M5_SAIBB, tr|A0A2K6SAF8|A0A2K6SAF8_SAIBB
OG0000330	sp|O75369|FLNB_HUMAN	tr|A0A2K6V4V1|A0A2K6V4V1_SAIBB
OG0000330	sp|P21333|FLNA_HUMAN	tr|A0A2K6V5B6|A0A2K6V5B6_SAIBB
OG0000330	sp|Q14315|FLNC_HUMAN	tr|A0A2K6TEW6|A0A2K6TEW6_SAIBB
OG0000331	sp|O94806|KPCD3_HUMAN	tr|A0A2K6TRS4|A0A2K6TRS4_SAIBB
OG0000331	sp|Q15139|KPCD1_HUMAN	tr|A0A2K6V3G4|A0A2K6V3G4_SAIBB
OG0000331	sp|Q9BZL6|KPCD2_HUMAN	tr|A0A2K6V3A7|A0A2K6V3A7_SAIBB
OG0000332	sp|Q15878|CAC1E_HUMAN	tr|A0A2K6TR98|A0A2K6TR98_SAIBB
OG0000332	sp|O00555|CAC1A_HUMAN	tr|A0A2K6T8P4|A0A2K6T8P4_SAIBB
OG0000332	sp|Q00975|CAC1B_HUMAN	tr|A0A2K6SGH6|A0A2K6SGH6_SAIBB
OG0000333	sp|Q96QE4|LR37B_HUMAN, sp|Q49AS3|L37A5_HUMAN, sp|O60309|L37A3_HUMAN, sp|A6NM11|L37A2_HUMAN, sp|A6NMS7|L37A1_HUMAN	tr|A0A2K6SJ44|A0A2K6SJ44_SAIBB
OG0000334	sp|Q8IYJ1|CPNE9_HUMAN	tr|A0A2K6TI90|A0A2K6TI90_SAIBB
OG0000334	sp|Q86YQ8|CPNE8_HUMAN	tr|A0A2K6UUI4|A0A2K6UUI4_SAIBB
OG0000334	sp|Q9HCH3|CPNE5_HUMAN	tr|A0A2K6TLY5|A0A2K6TLY5_SAIBB
OG0000335	sp|P01229|LSHB_HUMAN, sp|P0DN87|CGB7_HUMAN, sp|Q6NT52|CGB2_HUMAN, sp|P0DN86|CGB3_HUMAN, sp|A6NKQ9|CGB1_HUMAN	sp|Q3S2X5|CGHB_SAIBB
OG0000336	sp|P31323|KAP3_HUMAN	tr|A0A2K6V8H0|A0A2K6V8H0_SAIBB
OG0000336	sp|P13861|KAP2_HUMAN	tr|A0A2K6UXI3|A0A2K6UXI3_SAIBB, tr|A0A2K6TKH4|A0A2K6TKH4_SAIBB, tr|A0A2K6UXU9|A0A2K6UXU9_SAIBB
OG0000337	sp|O95837|GNA14_HUMAN	tr|A0A2K6TNR0|A0A2K6TNR0_SAIBB
OG0000337	sp|P50148|GNAQ_HUMAN	tr|A0A2K6SNQ6|A0A2K6SNQ6_SAIBB
OG0000337	sp|P29992|GNA11_HUMAN	tr|A0A2K6S8P8|A0A2K6S8P8_SAIBB
OG0000338	sp|Q17RB0|RTL8B_HUMAN, sp|Q9BWD3|RTL8A_HUMAN, sp|A6NKG5|RTL1_HUMAN, sp|Q6ICC9|RTL6_HUMAN, sp|Q7L3V2|BOP_HUMAN	tr|A0A2K6S745|A0A2K6S745_SAIBB
OG0000339	sp|P63096|GNAI1_HUMAN	tr|A0A2K6U687|A0A2K6U687_SAIBB
OG0000339	sp|P08754|GNAI3_HUMAN	tr|A0A2K6SZC8|A0A2K6SZC8_SAIBB
OG0000339	sp|P04899|GNAI2_HUMAN	tr|A0A2K6TVW1|A0A2K6TVW1_SAIBB
OG0000340	sp|Q9NR30|DDX21_HUMAN	tr|A0A2K6TFD7|A0A2K6TFD7_SAIBB
OG0000340	sp|Q9BQ39|DDX50_HUMAN	tr|A0A2K6T5A7|A0A2K6T5A7_SAIBB, tr|A0A2K6S5U0|A0A2K6S5U0_SAIBB, tr|A0A2K6S630|A0A2K6S630_SAIBB
OG0000341	sp|A6NC57|ANR62_HUMAN	tr|A0A2K6V287|A0A2K6V287_SAIBB
OG0000341	sp|Q8N2N9|AN36B_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|Q5JPF3|AN36C_HUMAN	tr|A0A2K6UG66|A0A2K6UG66_SAIBB
OG0000342	sp|P00966|ASSY_HUMAN	tr|A0A2K6TPL1|A0A2K6TPL1_SAIBB, tr|A0A2K6TRW3|A0A2K6TRW3_SAIBB, tr|A0A2K6T0H7|A0A2K6T0H7_SAIBB, tr|A0A2K6TP17|A0A2K6TP17_SAIBB, tr|A0A2K6SRE5|A0A2K6SRE5_SAIBB
OG0000343	sp|Q07283|TRHY_HUMAN, sp|Q6XPR3|RPTN_HUMAN, sp|P20930|FILA_HUMAN, sp|P23297|S10A1_HUMAN, sp|P04271|S100B_HUMAN	tr|A0A2K6TQS6|A0A2K6TQS6_SAIBB
OG0000344	sp|O00220|TR10A_HUMAN	tr|A0A2K6UBJ8|A0A2K6UBJ8_SAIBB
OG0000344	sp|O14798|TR10C_HUMAN, sp|Q9UBN6|TR10D_HUMAN, sp|O14763|TR10B_HUMAN	tr|A0A2K6UF14|A0A2K6UF14_SAIBB
OG0000345	sp|O94911|ABCA8_HUMAN	tr|A0A2K6V0Y7|A0A2K6V0Y7_SAIBB
OG0000345	sp|Q8IUA7|ABCA9_HUMAN, sp|Q8WWZ4|ABCAA_HUMAN, sp|Q8N139|ABCA6_HUMAN	tr|A0A2K6UHJ2|A0A2K6UHJ2_SAIBB
OG0000346	sp|P14649|MYL6B_HUMAN	tr|A0A2K6SXU4|A0A2K6SXU4_SAIBB
OG0000346	sp|P60660|MYL6_HUMAN	tr|A0A2K6SAK6|A0A2K6SAK6_SAIBB, tr|A0A2K6U786|A0A2K6U786_SAIBB, tr|A0A2K6T7V4|A0A2K6T7V4_SAIBB
OG0000347	sp|Q969M7|UBE2F_HUMAN	tr|A0A2K6SKF6|A0A2K6SKF6_SAIBB, tr|A0A2K6TFR0|A0A2K6TFR0_SAIBB, tr|A0A2K6ULG0|A0A2K6ULG0_SAIBB, tr|A0A2K6S5P8|A0A2K6S5P8_SAIBB, tr|A0A2K6SQU2|A0A2K6SQU2_SAIBB
OG0000348	sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A087X0M5|TVB18_HUMAN	tr|A0A2K6S6A6|A0A2K6S6A6_SAIBB
OG0000349	sp|P17655|CAN2_HUMAN	tr|A0A2K6V2S7|A0A2K6V2S7_SAIBB
OG0000349	sp|A6NHC0|CAN8_HUMAN	tr|A0A2K6SKQ9|A0A2K6SKQ9_SAIBB
OG0000349	sp|P07384|CAN1_HUMAN	tr|A0A2K6TWM1|A0A2K6TWM1_SAIBB
OG0000350	sp|A6NF01|P121B_HUMAN, sp|Q96HA1|P121A_HUMAN, sp|A8CG34|P121C_HUMAN, sp|Q96KW2|P12L2_HUMAN, sp|Q8N7R1|P1L12_HUMAN	tr|A0A2K6USJ1|A0A2K6USJ1_SAIBB
OG0000351	tr|A0A087WWU0|A0A087WWU0_HUMAN	tr|A0A2K6TYS7|A0A2K6TYS7_SAIBB
OG0000351	tr|A0A0U1RQG5|A0A0U1RQG5_HUMAN, sp|Q5JQC4|CT47A_HUMAN, sp|P0C2W7|CT47B_HUMAN	tr|A0A2K6U5I3|A0A2K6U5I3_SAIBB
OG0000352	sp|Q12837|PO4F2_HUMAN	tr|A0A2K6U440|A0A2K6U440_SAIBB
OG0000352	sp|Q15319|PO4F3_HUMAN	tr|A0A2K6UAH6|A0A2K6UAH6_SAIBB
OG0000352	sp|Q01851|PO4F1_HUMAN	tr|A0A2K6SH28|A0A2K6SH28_SAIBB
OG0000353	sp|Q8N4C8|MINK1_HUMAN	tr|A0A2K6TKX3|A0A2K6TKX3_SAIBB
OG0000353	sp|Q9UKE5|TNIK_HUMAN	tr|A0A2K6TW77|A0A2K6TW77_SAIBB
OG0000353	sp|O95819|M4K4_HUMAN	tr|A0A2K6TVX2|A0A2K6TVX2_SAIBB
OG0000354	sp|P10589|COT1_HUMAN	tr|A0A2K6SQS2|A0A2K6SQS2_SAIBB
OG0000354	sp|P10588|NR2F6_HUMAN	tr|A0A2K6SJZ8|A0A2K6SJZ8_SAIBB
OG0000354	sp|P24468|COT2_HUMAN	tr|A0A2K6SHZ2|A0A2K6SHZ2_SAIBB
OG0000355	sp|O14983|AT2A1_HUMAN	tr|A0A2K6UVN2|A0A2K6UVN2_SAIBB
OG0000355	sp|P16615|AT2A2_HUMAN	tr|A0A2K6V6P7|A0A2K6V6P7_SAIBB
OG0000355	sp|Q93084|AT2A3_HUMAN	tr|A0A2K6TGI1|A0A2K6TGI1_SAIBB
OG0000356	sp|Q9NYQ7|CELR3_HUMAN	tr|A0A2K6T9V7|A0A2K6T9V7_SAIBB
OG0000356	sp|Q9NYQ6|CELR1_HUMAN	tr|A0A2K6TP98|A0A2K6TP98_SAIBB
OG0000356	sp|Q9HCU4|CELR2_HUMAN	tr|A0A2K6SGS3|A0A2K6SGS3_SAIBB
OG0000357	sp|Q9Y6L7|TLL2_HUMAN	tr|A0A2K6SZR2|A0A2K6SZR2_SAIBB
OG0000357	sp|P13497|BMP1_HUMAN	tr|A0A2K6UUU7|A0A2K6UUU7_SAIBB
OG0000357	sp|O43897|TLL1_HUMAN	tr|A0A2K6S655|A0A2K6S655_SAIBB
OG0000358	sp|Q04837|SSBP_HUMAN	tr|A0A2K6TUP7|A0A2K6TUP7_SAIBB, tr|A0A2K6U417|A0A2K6U417_SAIBB, tr|A0A2K6UHJ0|A0A2K6UHJ0_SAIBB, tr|A0A2K6S7F2|A0A2K6S7F2_SAIBB, tr|A0A2K6UED7|A0A2K6UED7_SAIBB
OG0000359	sp|Q7Z3Y9|K1C26_HUMAN	tr|A0A2K6UDP0|A0A2K6UDP0_SAIBB
OG0000359	sp|Q7Z3Y8|K1C27_HUMAN, sp|Q7Z3Z0|K1C25_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN	tr|A0A2K6UQ79|A0A2K6UQ79_SAIBB
OG0000360	sp|Q99463|NPY6R_HUMAN, sp|Q9NQS5|GPR84_HUMAN, sp|P0DQD5|NPY42_HUMAN, sp|P50391|NPY4R_HUMAN, sp|P25929|NPY1R_HUMAN	tr|A0A2K6T171|A0A2K6T171_SAIBB
OG0000361	sp|P62820|RAB1A_HUMAN	tr|A0A2K6TCJ6|A0A2K6TCJ6_SAIBB
OG0000361	sp|Q9H0U4|RAB1B_HUMAN, sp|Q92928|RAB1C_HUMAN	tr|A0A2K6T2U0|A0A2K6T2U0_SAIBB, tr|A0A2K6US98|A0A2K6US98_SAIBB
OG0000362	sp|O00469|PLOD2_HUMAN	tr|A0A2K6U8W9|A0A2K6U8W9_SAIBB
OG0000362	sp|O60568|PLOD3_HUMAN	tr|A0A2K6SG97|A0A2K6SG97_SAIBB
OG0000362	sp|Q02809|PLOD1_HUMAN	tr|A0A2K6SN18|A0A2K6SN18_SAIBB
OG0000363	sp|Q9BYR8|KRA31_HUMAN, sp|Q9BYR6|KRA33_HUMAN, sp|Q9BYR7|KRA32_HUMAN, sp|Q8IUC1|KR111_HUMAN, sp|Q3LI83|KR241_HUMAN	tr|A0A2K6SMZ0|A0A2K6SMZ0_SAIBB
OG0000364	sp|P30613|KPYR_HUMAN	tr|A0A2K6U7D8|A0A2K6U7D8_SAIBB
OG0000364	sp|P14618|KPYM_HUMAN	tr|A0A2K6TTP4|A0A2K6TTP4_SAIBB, tr|A0A2K6TF90|A0A2K6TF90_SAIBB, tr|A0A2K6UEG6|A0A2K6UEG6_SAIBB
OG0000365	sp|O60307|MAST3_HUMAN	tr|A0A2K6U414|A0A2K6U414_SAIBB
OG0000365	sp|Q9Y2H9|MAST1_HUMAN	tr|A0A2K6SIK9|A0A2K6SIK9_SAIBB
OG0000365	sp|Q6P0Q8|MAST2_HUMAN	tr|A0A2K6TMW5|A0A2K6TMW5_SAIBB
OG0000366	sp|O75094|SLIT3_HUMAN	tr|A0A2K6SKB5|A0A2K6SKB5_SAIBB
OG0000366	sp|O94813|SLIT2_HUMAN	tr|A0A2K6S982|A0A2K6S982_SAIBB
OG0000366	sp|O75093|SLIT1_HUMAN	tr|A0A2K6SMG8|A0A2K6SMG8_SAIBB
OG0000367	sp|P27448|MARK3_HUMAN	tr|A0A2K6UWH2|A0A2K6UWH2_SAIBB
OG0000367	sp|Q9P0L2|MARK1_HUMAN	tr|A0A2K6S9Q6|A0A2K6S9Q6_SAIBB
OG0000367	sp|Q7KZI7|MARK2_HUMAN	tr|A0A2K6SHT3|A0A2K6SHT3_SAIBB
OG0000368	sp|O60684|IMA7_HUMAN	tr|A0A2K6TJD1|A0A2K6TJD1_SAIBB
OG0000368	sp|O15131|IMA6_HUMAN	tr|A0A2K6SJ59|A0A2K6SJ59_SAIBB
OG0000368	sp|P52294|IMA5_HUMAN	tr|A0A2K6TT02|A0A2K6TT02_SAIBB
OG0000369	sp|P28472|GBRB3_HUMAN	tr|A0A2K6UGW4|A0A2K6UGW4_SAIBB
OG0000369	sp|P47870|GBRB2_HUMAN	tr|A0A2K6S1V7|A0A2K6S1V7_SAIBB
OG0000369	sp|P18505|GBRB1_HUMAN	tr|A0A2K6U539|A0A2K6U539_SAIBB
OG0000370	sp|Q96IX9|A26L1_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q8IYA2|C144C_HUMAN, sp|A2RUR9|C144A_HUMAN	tr|A0A2K6UE38|A0A2K6UE38_SAIBB
OG0000371	sp|P07477|TRY1_HUMAN, sp|P07478|TRY2_HUMAN, sp|P35030|TRY3_HUMAN, sp|Q8NHM4|TRY6_HUMAN	tr|A0A2K6UX57|A0A2K6UX57_SAIBB, tr|A0A2K6UUL2|A0A2K6UUL2_SAIBB
OG0000372	sp|Q96N96|SPT13_HUMAN	tr|A0A2K6TGY2|A0A2K6TGY2_SAIBB
OG0000372	sp|O43307|ARHG9_HUMAN	tr|A0A2K6T2T5|A0A2K6T2T5_SAIBB
OG0000372	sp|Q9NR80|ARHG4_HUMAN	tr|A0A2K6TAV0|A0A2K6TAV0_SAIBB
OG0000373	sp|Q12840|KIF5A_HUMAN	tr|A0A2K6TR51|A0A2K6TR51_SAIBB
OG0000373	sp|P33176|KINH_HUMAN	tr|A0A2K6V6G4|A0A2K6V6G4_SAIBB
OG0000373	sp|O60282|KIF5C_HUMAN	tr|A0A2K6S619|A0A2K6S619_SAIBB
OG0000374	sp|Q6NUT2|D19L2_HUMAN, sp|Q6NXN4|D19P1_HUMAN	tr|A0A2K6SKT9|A0A2K6SKT9_SAIBB
OG0000374	sp|Q6ZN68|D19P2_HUMAN, sp|Q2PZI1|D19L1_HUMAN	tr|A0A2K6T7A9|A0A2K6T7A9_SAIBB
OG0000375	sp|Q96MD7|CI085_HUMAN, sp|Q8N976|YG039_HUMAN, sp|Q8N2A0|CX062_HUMAN, sp|Q5T7P6|TMM78_HUMAN, sp|A6NIU2|CU037_HUMAN	tr|A0A2K6UDZ9|A0A2K6UDZ9_SAIBB
OG0000376	sp|P09210|GSTA2_HUMAN, sp|P08263|GSTA1_HUMAN, sp|Q7RTV2|GSTA5_HUMAN, sp|Q16772|GSTA3_HUMAN	tr|A0A2K6S711|A0A2K6S711_SAIBB, tr|A0A2K6SZM1|A0A2K6SZM1_SAIBB
OG0000377	sp|A6NHR8|FA47D_HUMAN	tr|A0A2K6USS2|A0A2K6USS2_SAIBB
OG0000377	sp|Q8NA70|FA47B_HUMAN, sp|Q5HY64|FA47C_HUMAN, sp|Q5JRC9|FA47A_HUMAN	tr|A0A2K6S5X3|A0A2K6S5X3_SAIBB
OG0000378	sp|Q4W5G0|TIGD2_HUMAN, sp|Q9Y4A0|JERKL_HUMAN, sp|Q53EQ6|TIGD5_HUMAN, sp|Q96MW7|TIGD1_HUMAN, sp|B2RD01|CENP1_HUMAN	tr|A0A2K6SA12|A0A2K6SA12_SAIBB
OG0000379	tr|A0A2R8YF49|A0A2R8YF49_HUMAN, tr|A0A5F9ZGZ6|A0A5F9ZGZ6_HUMAN, sp|A5YM69|ARG35_HUMAN, tr|A0A2R8YFR7|A0A2R8YFR7_HUMAN, sp|Q12774|ARHG5_HUMAN	tr|A0A2K6U0B5|A0A2K6U0B5_SAIBB
OG0000380	sp|A6NJ88|SGE2P_HUMAN	tr|A0A2K6T1F9|A0A2K6T1F9_SAIBB
OG0000380	sp|Q9UL03|INT6_HUMAN	tr|A0A2K6UNG9|A0A2K6UNG9_SAIBB
OG0000380	sp|Q5JSJ4|INT6L_HUMAN	tr|A0A2K6S5N1|A0A2K6S5N1_SAIBB
OG0000381	sp|Q7Z739|YTHD3_HUMAN	tr|A0A2K6V2X6|A0A2K6V2X6_SAIBB
OG0000381	sp|Q9Y5A9|YTHD2_HUMAN	tr|A0A2K6UVC4|A0A2K6UVC4_SAIBB
OG0000381	sp|Q9BYJ9|YTHD1_HUMAN	tr|A0A2K6TP75|A0A2K6TP75_SAIBB
OG0000382	sp|O95477|ABCA1_HUMAN	tr|A0A2K6V2P5|A0A2K6V2P5_SAIBB
OG0000382	sp|Q8IZY2|ABCA7_HUMAN	tr|A0A2K6SJZ0|A0A2K6SJZ0_SAIBB
OG0000382	sp|P78363|ABCA4_HUMAN	tr|A0A2K6S869|A0A2K6S869_SAIBB
OG0000383	sp|Q8TCG5|CPT1C_HUMAN	tr|A0A2K6SUY8|A0A2K6SUY8_SAIBB
OG0000383	sp|P50416|CPT1A_HUMAN	tr|A0A2K6TP11|A0A2K6TP11_SAIBB
OG0000383	sp|Q92523|CPT1B_HUMAN	tr|A0A2K6UEZ4|A0A2K6UEZ4_SAIBB
OG0000384	sp|Q6UWF7|NXPE4_HUMAN	tr|A0A2K6T3F7|A0A2K6T3F7_SAIBB
OG0000384	sp|Q96DL1|NXPE2_HUMAN	tr|A0A2K6SU13|A0A2K6SU13_SAIBB
OG0000384	sp|Q8N323|NXPE1_HUMAN	tr|A0A2K6TN25|A0A2K6TN25_SAIBB
OG0000385	sp|Q5JTY5|ZNG1C_HUMAN, sp|Q4V339|ZNG1F_HUMAN, sp|Q5RIA9|ZNG1E_HUMAN, sp|Q9BRT8|ZNG1A_HUMAN, sp|Q8IUF1|ZNG1B_HUMAN	tr|A0A2K6UES8|A0A2K6UES8_SAIBB
OG0000387	sp|P39019|RS19_HUMAN	tr|A0A2K6S1H7|A0A2K6S1H7_SAIBB, tr|A0A2K6TM60|A0A2K6TM60_SAIBB, tr|A0A2K6TIX8|A0A2K6TIX8_SAIBB, tr|A0A2K6SCP9|A0A2K6SCP9_SAIBB, tr|A0A2K6TXG0|A0A2K6TXG0_SAIBB
OG0000388	sp|P49903|SPS1_HUMAN	tr|A0A2K6V1P5|A0A2K6V1P5_SAIBB
OG0000388	sp|Q99611|SPS2_HUMAN	tr|A0A2K6S0K6|A0A2K6S0K6_SAIBB, tr|A0A2K6TKP4|A0A2K6TKP4_SAIBB, tr|A0A2K6US43|A0A2K6US43_SAIBB
OG0000389	sp|P51793|CLCN4_HUMAN	tr|A0A2K6U3D5|A0A2K6U3D5_SAIBB
OG0000389	sp|P51790|CLCN3_HUMAN	tr|A0A2K6TYI3|A0A2K6TYI3_SAIBB
OG0000389	sp|P51795|CLCN5_HUMAN	tr|A0A2K6UCT6|A0A2K6UCT6_SAIBB
OG0000391	sp|Q9UHD1|CHRD1_HUMAN	tr|A0A2K6SK92|A0A2K6SK92_SAIBB, tr|A0A2K6T110|A0A2K6T110_SAIBB, tr|A0A2K6UMT0|A0A2K6UMT0_SAIBB, tr|A0A2K6UZM8|A0A2K6UZM8_SAIBB, tr|A0A2K6T192|A0A2K6T192_SAIBB
OG0000392	sp|Q75N90|FBN3_HUMAN	tr|A0A2K6TNL8|A0A2K6TNL8_SAIBB
OG0000392	sp|P35555|FBN1_HUMAN	tr|A0A2K6T9W8|A0A2K6T9W8_SAIBB
OG0000392	sp|P35556|FBN2_HUMAN	tr|A0A2K6UUZ8|A0A2K6UUZ8_SAIBB
OG0000393	sp|Q9H7M6|ZSWM4_HUMAN	tr|A0A2K6S3Q2|A0A2K6S3Q2_SAIBB
OG0000393	sp|Q9P217|ZSWM5_HUMAN	tr|A0A2K6V5U4|A0A2K6V5U4_SAIBB
OG0000393	sp|Q9HCJ5|ZSWM6_HUMAN	tr|A0A2K6UM09|A0A2K6UM09_SAIBB
OG0000394	sp|P08237|PFKAM_HUMAN	tr|A0A2K6UBR4|A0A2K6UBR4_SAIBB
OG0000394	sp|Q01813|PFKAP_HUMAN	tr|A0A2K6U5N7|A0A2K6U5N7_SAIBB
OG0000394	sp|P17858|PFKAL_HUMAN	tr|A0A2K6T5B8|A0A2K6T5B8_SAIBB
OG0000395	sp|Q15173|2A5B_HUMAN	tr|A0A2K6V5U7|A0A2K6V5U7_SAIBB
OG0000395	sp|Q15172|2A5A_HUMAN	tr|A0A2K6UDH2|A0A2K6UDH2_SAIBB
OG0000395	sp|Q16537|2A5E_HUMAN	tr|A0A2K6V4C0|A0A2K6V4C0_SAIBB
OG0000396	sp|Q96S21|RB40C_HUMAN	tr|A0A2K6S7Y9|A0A2K6S7Y9_SAIBB
OG0000396	sp|Q12829|RB40B_HUMAN, sp|Q8WXH6|RB40A_HUMAN, sp|P0C0E4|RB40L_HUMAN	tr|A0A2K6U1C5|A0A2K6U1C5_SAIBB
OG0000397	sp|P42892|ECE1_HUMAN	tr|A0A2K6UCY4|A0A2K6UCY4_SAIBB
OG0000397	sp|P0DPD6|ECE2_HUMAN, sp|P0DPD7|EFMT4_HUMAN, sp|P0DPD8|EFCE2_HUMAN	tr|A0A2K6ULW8|A0A2K6ULW8_SAIBB
OG0000398	sp|Q14722|KCAB1_HUMAN	tr|A0A2K6SWF7|A0A2K6SWF7_SAIBB
OG0000398	sp|Q13303|KCAB2_HUMAN	tr|A0A2K6TIJ2|A0A2K6TIJ2_SAIBB
OG0000398	sp|O43448|KCAB3_HUMAN	tr|A0A2K6T9T7|A0A2K6T9T7_SAIBB
OG0000399	sp|Q04721|NOTC2_HUMAN, tr|A0A8I5KY86|A0A8I5KY86_HUMAN, sp|Q7Z3S9|NT2NA_HUMAN, sp|P0DPK4|NT2NC_HUMAN, sp|P0DPK3|NT2NB_HUMAN	tr|A0A2K6RZK7|A0A2K6RZK7_SAIBB
OG0000400	sp|O75914|PAK3_HUMAN	tr|A0A2K6SQV3|A0A2K6SQV3_SAIBB
OG0000400	sp|Q13177|PAK2_HUMAN	tr|A0A2K6UTV6|A0A2K6UTV6_SAIBB
OG0000400	sp|Q13153|PAK1_HUMAN	tr|A0A2K6V2F4|A0A2K6V2F4_SAIBB
OG0000401	sp|Q8TDW7|FAT3_HUMAN	tr|A0A2K6SL25|A0A2K6SL25_SAIBB
OG0000401	sp|Q9NYQ8|FAT2_HUMAN	tr|A0A2K6SVE5|A0A2K6SVE5_SAIBB
OG0000401	sp|Q14517|FAT1_HUMAN	tr|A0A2K6T1Q2|A0A2K6T1Q2_SAIBB
OG0000402	sp|P11217|PYGM_HUMAN	tr|A0A2K6U0F7|A0A2K6U0F7_SAIBB
OG0000402	sp|P11216|PYGB_HUMAN	tr|A0A2K6SMQ6|A0A2K6SMQ6_SAIBB
OG0000402	sp|P06737|PYGL_HUMAN	tr|A0A2K6S333|A0A2K6S333_SAIBB
OG0000403	sp|P57103|NAC3_HUMAN	tr|A0A2K6TVN4|A0A2K6TVN4_SAIBB
OG0000403	sp|Q9UPR5|NAC2_HUMAN	tr|A0A2K6UPJ8|A0A2K6UPJ8_SAIBB
OG0000403	sp|P32418|NAC1_HUMAN	tr|A0A2K6SNG9|A0A2K6SNG9_SAIBB
OG0000405	sp|Q6H3X3|ULBP5_HUMAN, sp|Q5VY80|ULBP6_HUMAN, sp|Q9BZM5|ULBP2_HUMAN, sp|Q8TD07|RAE1E_HUMAN, sp|Q9BZM6|ULBP1_HUMAN	tr|A0A2K6S4W2|A0A2K6S4W2_SAIBB
OG0000407	sp|Q9UQ16|DYN3_HUMAN	tr|A0A2K6TX75|A0A2K6TX75_SAIBB
OG0000407	sp|P50570|DYN2_HUMAN	tr|A0A2K6ST03|A0A2K6ST03_SAIBB
OG0000407	sp|Q05193|DYN1_HUMAN	tr|A0A2K6SC69|A0A2K6SC69_SAIBB
OG0000408	sp|Q2M2H8|MGAL_HUMAN	tr|A0A2K6SYK9|A0A2K6SYK9_SAIBB
OG0000408	sp|O43451|MGA_HUMAN	tr|A0A2K6UC06|A0A2K6UC06_SAIBB
OG0000408	sp|P14410|SUIS_HUMAN	tr|A0A2K6TGJ3|A0A2K6TGJ3_SAIBB
OG0000409	sp|P08069|IGF1R_HUMAN	tr|A0A2K6SSM8|A0A2K6SSM8_SAIBB
OG0000409	sp|P06213|INSR_HUMAN	tr|A0A2K6T1L4|A0A2K6T1L4_SAIBB
OG0000409	sp|P14616|INSRR_HUMAN	tr|A0A2K6UW08|A0A2K6UW08_SAIBB
OG0000410	sp|P15328|FOLR1_HUMAN	tr|A0A2K6UMR7|A0A2K6UMR7_SAIBB
OG0000410	sp|P14207|FOLR2_HUMAN	tr|A0A2K6UA21|A0A2K6UA21_SAIBB
OG0000410	sp|P41439|FOLR3_HUMAN	tr|A0A2K6TR25|A0A2K6TR25_SAIBB
OG0000411	sp|Q14689|DIP2A_HUMAN	tr|A0A2K6TTF8|A0A2K6TTF8_SAIBB
OG0000411	sp|Q9P265|DIP2B_HUMAN	tr|A0A2K6SMP3|A0A2K6SMP3_SAIBB
OG0000411	sp|Q9Y2E4|DIP2C_HUMAN	tr|A0A2K6TEG5|A0A2K6TEG5_SAIBB
OG0000412	sp|Q14590|ZN235_HUMAN	tr|A0A2K6TV79|A0A2K6TV79_SAIBB
OG0000412	sp|A6NK53|ZN233_HUMAN, sp|Q9UJW7|ZN229_HUMAN, sp|Q9NYT6|ZN226_HUMAN	tr|A0A2K6TAR5|A0A2K6TAR5_SAIBB
OG0000413	sp|Q13349|ITAD_HUMAN	tr|A0A2K6SWU2|A0A2K6SWU2_SAIBB
