Orthogroup	Homo_sapiens	Panthera_tigris_altaica
OG0001268	sp|Q16706|MA2A1_HUMAN	tr|A0A8C9JFX4|A0A8C9JFX4_PANTA
OG0001268	sp|P49641|MA2A2_HUMAN	tr|A0A8C9MC15|A0A8C9MC15_PANTA
OG0001269	sp|Q8TDI7|TMC2_HUMAN	tr|A0A8C9M675|A0A8C9M675_PANTA
OG0001269	sp|Q8TDI8|TMC1_HUMAN	tr|A0A8C9JVU2|A0A8C9JVU2_PANTA
OG0001270	sp|Q99500|S1PR3_HUMAN, sp|P34972|CNR2_HUMAN, sp|P21554|CNR1_HUMAN	tr|A0A8C9JST6|A0A8C9JST6_PANTA
OG0001271	sp|Q5SZK8|FREM2_HUMAN	tr|A0A8C9K5S8|A0A8C9K5S8_PANTA
OG0001271	sp|P0C091|FREM3_HUMAN	tr|A0A8C9KJ75|A0A8C9KJ75_PANTA
OG0001272	sp|Q8TE59|ATS19_HUMAN	tr|A0A8C9K3M3|A0A8C9K3M3_PANTA
OG0001272	sp|Q8TE56|ATS17_HUMAN	tr|A0A8C9KKJ8|A0A8C9KKJ8_PANTA
OG0001273	sp|Q8WWF5|ZNRF4_HUMAN	tr|A0A8C9JDB3|A0A8C9JDB3_PANTA
OG0001273	sp|Q9H6Y7|RN167_HUMAN	tr|A0A8C9K172|A0A8C9K172_PANTA
OG0001274	sp|Q92750|TAF4B_HUMAN	tr|A0A8C9JBU3|A0A8C9JBU3_PANTA
OG0001274	sp|O00268|TAF4_HUMAN	tr|A0A8C9J9G6|A0A8C9J9G6_PANTA
OG0001275	sp|P17812|PYRG1_HUMAN	tr|A0A8C9KIP1|A0A8C9KIP1_PANTA
OG0001275	sp|Q9NRF8|PYRG2_HUMAN	tr|A0A8C9KHS7|A0A8C9KHS7_PANTA
OG0001276	sp|Q6GQQ9|OTU7B_HUMAN	tr|A0A8C9KBH3|A0A8C9KBH3_PANTA
OG0001276	sp|Q8TE49|OTU7A_HUMAN	tr|A0A8C9KAD4|A0A8C9KAD4_PANTA
OG0001277	sp|Q9BPW8|NIPS1_HUMAN	tr|A0A8C9IZA8|A0A8C9IZA8_PANTA
OG0001277	sp|O75323|NIPS2_HUMAN	tr|A0A8C9KQS4|A0A8C9KQS4_PANTA
OG0001278	sp|O75541|ZN821_HUMAN, sp|Q96MM3|ZFP42_HUMAN, sp|Q92766|RREB1_HUMAN	tr|A0A8C9KT15|A0A8C9KT15_PANTA
OG0001279	sp|O75665|OFD1_HUMAN	tr|A0A8C9KR59|A0A8C9KR59_PANTA, tr|A0A8C9KM15|A0A8C9KM15_PANTA, tr|A0A8C9JV50|A0A8C9JV50_PANTA
OG0001280	sp|P62508|ERR3_HUMAN	tr|A0A8C9MDT1|A0A8C9MDT1_PANTA
OG0001280	sp|O95718|ERR2_HUMAN	tr|A0A8C9K3U0|A0A8C9K3U0_PANTA
OG0001281	sp|Q9Y6U3|SCIN_HUMAN	tr|A0A8C9K7Y3|A0A8C9K7Y3_PANTA
OG0001281	sp|P06396|GELS_HUMAN	tr|A0A8C9KAR8|A0A8C9KAR8_PANTA
OG0001282	sp|P36544|ACHA7_HUMAN, tr|A0A1W2PN81|A0A1W2PN81_HUMAN, sp|Q494W8|CRFM7_HUMAN	tr|A0A8C9JYL2|A0A8C9JYL2_PANTA
OG0001283	sp|Q8IVE3|PKHH2_HUMAN	tr|A0A8C9K9F5|A0A8C9K9F5_PANTA
OG0001283	sp|Q9ULM0|PKHH1_HUMAN	tr|A0A8C9KTT1|A0A8C9KTT1_PANTA
OG0001284	sp|O94925|GLSK_HUMAN	tr|A0A8C9M367|A0A8C9M367_PANTA
OG0001284	sp|Q9UI32|GLSL_HUMAN	tr|A0A8C9MBC9|A0A8C9MBC9_PANTA
OG0001285	sp|P52803|EFNA5_HUMAN, sp|O43921|EFNA2_HUMAN, sp|P52797|EFNA3_HUMAN	tr|A0A8C9JGL6|A0A8C9JGL6_PANTA
OG0001286	sp|Q9ULW2|FZD10_HUMAN	tr|A0A8C9J3W1|A0A8C9J3W1_PANTA
OG0001286	sp|O00144|FZD9_HUMAN	tr|A0A8C9J919|A0A8C9J919_PANTA
OG0001288	sp|P59046|NAL12_HUMAN, sp|Q9C000|NLRP1_HUMAN, sp|P59044|NLRP6_HUMAN	tr|A0A8C9JIC8|A0A8C9JIC8_PANTA
OG0001289	sp|P60866|RS20_HUMAN	tr|A0A8C9JDT8|A0A8C9JDT8_PANTA, tr|A0A8C9KZ83|A0A8C9KZ83_PANTA, tr|A0A8C9IZL4|A0A8C9IZL4_PANTA
OG0001290	sp|Q9BWM7|SFXN3_HUMAN	tr|A0A8C9KKS0|A0A8C9KKS0_PANTA
OG0001290	sp|Q9H9B4|SFXN1_HUMAN	tr|A0A8C9M5R4|A0A8C9M5R4_PANTA
OG0001291	sp|Q13591|SEM5A_HUMAN	tr|A0A8C9IZM3|A0A8C9IZM3_PANTA
OG0001291	sp|Q9P283|SEM5B_HUMAN	tr|A0A8C9JGD7|A0A8C9JGD7_PANTA
OG0001292	sp|Q29RF7|PDS5A_HUMAN	tr|A0A8C9JCX9|A0A8C9JCX9_PANTA
OG0001292	sp|Q9NTI5|PDS5B_HUMAN	tr|A0A8C9JN54|A0A8C9JN54_PANTA
OG0001294	sp|O75339|CILP1_HUMAN	tr|A0A8C9IZW2|A0A8C9IZW2_PANTA
OG0001294	sp|Q8IUL8|CILP2_HUMAN	tr|A0A8C9JXQ9|A0A8C9JXQ9_PANTA
OG0001295	sp|Q9ULN7|PNM8B_HUMAN, sp|Q9H0W5|CCDC8_HUMAN, sp|A0A1B0GUJ8|PNM8C_HUMAN	tr|A0A8C9JG37|A0A8C9JG37_PANTA
OG0001296	sp|Q86UR5|RIMS1_HUMAN	tr|A0A8C9KRH5|A0A8C9KRH5_PANTA
OG0001296	sp|Q9UQ26|RIMS2_HUMAN	tr|A0A8C9KPB4|A0A8C9KPB4_PANTA
OG0001297	sp|P53992|SC24C_HUMAN	tr|A0A8C9JTE1|A0A8C9JTE1_PANTA
OG0001297	sp|O94855|SC24D_HUMAN	tr|A0A8C9JS72|A0A8C9JS72_PANTA
OG0001299	sp|P55064|AQP5_HUMAN	tr|A0A8C9M911|A0A8C9M911_PANTA
OG0001299	sp|P41181|AQP2_HUMAN	tr|A0A8C9M8E8|A0A8C9M8E8_PANTA
OG0001300	sp|Q5GH73|XKR6_HUMAN	tr|A0A8C9J860|A0A8C9J860_PANTA
OG0001300	sp|Q5GH76|XKR4_HUMAN	tr|A0A8C9KJ09|A0A8C9KJ09_PANTA
OG0001301	sp|Q8TAC9|SCAM5_HUMAN	tr|A0A8C9KUZ2|A0A8C9KUZ2_PANTA
OG0001301	sp|Q969E2|SCAM4_HUMAN	tr|A0A8C9KQL3|A0A8C9KQL3_PANTA
OG0001302	sp|Q99999|G3ST1_HUMAN, sp|Q96A11|G3ST3_HUMAN, sp|Q9H3Q3|G3ST2_HUMAN	tr|A0A8C9MC64|A0A8C9MC64_PANTA
OG0001303	sp|Q9Y3R0|GRIP1_HUMAN	tr|A0A8C9JFK3|A0A8C9JFK3_PANTA
OG0001303	sp|Q9C0E4|GRIP2_HUMAN	tr|A0A8C9M733|A0A8C9M733_PANTA
OG0001304	sp|Q9NRM7|LATS2_HUMAN	tr|A0A8C9KX91|A0A8C9KX91_PANTA
OG0001304	sp|O95835|LATS1_HUMAN	tr|A0A8C9KAX2|A0A8C9KAX2_PANTA
OG0001305	sp|P35968|VGFR2_HUMAN	tr|A0A8C9K9I2|A0A8C9K9I2_PANTA
OG0001305	sp|P17948|VGFR1_HUMAN	tr|A0A8C9JD13|A0A8C9JD13_PANTA
OG0001306	sp|P84022|SMAD3_HUMAN	tr|A0A8C9M6S1|A0A8C9M6S1_PANTA
OG0001306	sp|Q15796|SMAD2_HUMAN	tr|A0A8C9K622|A0A8C9K622_PANTA
OG0001307	sp|Q8IZF7|AGRF2_HUMAN	tr|A0A8C9MDB9|A0A8C9MDB9_PANTA
OG0001307	sp|Q8IZF3|AGRF4_HUMAN	tr|A0A8C9KKA2|A0A8C9KKA2_PANTA
OG0001308	sp|P50502|F10A1_HUMAN, sp|Q8IZP2|ST134_HUMAN, sp|Q8NFI4|F10A5_HUMAN	tr|A0A8C9M951|A0A8C9M951_PANTA
OG0001309	sp|O95259|KCNH1_HUMAN	tr|A0A8C9KVH0|A0A8C9KVH0_PANTA
OG0001309	sp|Q8NCM2|KCNH5_HUMAN	tr|A0A8C9J6R2|A0A8C9J6R2_PANTA
OG0001310	sp|O75923|DYSF_HUMAN	tr|A0A8C9J8V7|A0A8C9J8V7_PANTA
OG0001310	sp|Q9NZM1|MYOF_HUMAN	tr|A0A8C9J217|A0A8C9J217_PANTA
OG0001311	sp|Q8N961|ABTB2_HUMAN	tr|A0A8C9M6V0|A0A8C9M6V0_PANTA
OG0001311	sp|A6QL63|ABTB3_HUMAN	tr|A0A8C9JJX3|A0A8C9JJX3_PANTA
OG0001312	sp|P00492|HPRT_HUMAN	tr|A0A8C9JGF3|A0A8C9JGF3_PANTA, tr|A0A8C9MAJ1|A0A8C9MAJ1_PANTA, tr|A0A8C9JZR6|A0A8C9JZR6_PANTA
OG0001313	sp|P30711|GSTT1_HUMAN	tr|A0A8C9JJL3|A0A8C9JJL3_PANTA, tr|A0A8C9JBF1|A0A8C9JBF1_PANTA, tr|A0A8C9JES2|A0A8C9JES2_PANTA
OG0001314	sp|Q5HYI7|MTX3_HUMAN	tr|A0A8C9K6P7|A0A8C9K6P7_PANTA
OG0001314	sp|Q13505|MTX1_HUMAN	tr|A0A8C9KQ51|A0A8C9KQ51_PANTA
OG0001315	sp|O95258|UCP5_HUMAN	tr|A0A8C9KM99|A0A8C9KM99_PANTA
OG0001315	sp|Q5SVS4|KMCP1_HUMAN	tr|A0A8C9JND7|A0A8C9JND7_PANTA
OG0001316	sp|Q3ZCN5|OTOGL_HUMAN	tr|A0A8C9KC38|A0A8C9KC38_PANTA
OG0001316	sp|Q6ZRI0|OTOG_HUMAN	tr|A0A8C9JVJ5|A0A8C9JVJ5_PANTA
OG0001317	sp|Q8TDR2|STK35_HUMAN	tr|A0A8C9MED2|A0A8C9MED2_PANTA
OG0001317	sp|Q8N165|PDK1L_HUMAN	tr|A0A8C9K0L4|A0A8C9K0L4_PANTA
OG0001318	sp|Q99453|PHX2B_HUMAN, sp|O14813|PHX2A_HUMAN, sp|Q96QS3|ARX_HUMAN	tr|A0A8C9JMP9|A0A8C9JMP9_PANTA
OG0001319	sp|P41229|KDM5C_HUMAN	tr|A0A8C9K347|A0A8C9K347_PANTA
OG0001319	sp|Q9BY66|KDM5D_HUMAN	tr|A0A8C9K5W8|A0A8C9K5W8_PANTA
OG0001320	sp|Q96BM9|ARL8A_HUMAN, sp|Q9NVJ2|ARL8B_HUMAN	tr|A0A8C9JUP7|A0A8C9JUP7_PANTA, tr|A0A8C9MCB9|A0A8C9MCB9_PANTA
OG0001321	sp|Q641Q3|METRL_HUMAN	tr|A0A8C9K3J5|A0A8C9K3J5_PANTA
OG0001321	sp|Q9UJH8|METRN_HUMAN	tr|A0A8C9J2H8|A0A8C9J2H8_PANTA
OG0001322	sp|Q9UJL9|ZF69B_HUMAN	tr|A0A8C9KD34|A0A8C9KD34_PANTA
OG0001322	sp|Q49AA0|ZFP69_HUMAN	tr|A0A8C9KHP6|A0A8C9KHP6_PANTA
OG0001323	sp|Q8TDN4|CABL1_HUMAN	tr|A0A8C9MCL0|A0A8C9MCL0_PANTA
OG0001323	sp|Q9BTV7|CABL2_HUMAN	tr|A0A8C9JM72|A0A8C9JM72_PANTA
OG0001324	sp|Q9UM13|APC10_HUMAN	tr|A0A8C9MDK8|A0A8C9MDK8_PANTA, tr|A0A8C9KXX5|A0A8C9KXX5_PANTA, tr|A0A8C9JLE9|A0A8C9JLE9_PANTA
OG0001325	sp|P49590|SYHM_HUMAN	tr|A0A8C9M439|A0A8C9M439_PANTA
OG0001325	sp|P12081|HARS1_HUMAN	tr|A0A8C9KMQ6|A0A8C9KMQ6_PANTA
OG0001326	sp|Q8WXR4|MYO3B_HUMAN	tr|A0A8C9KZ15|A0A8C9KZ15_PANTA
OG0001326	sp|Q8NEV4|MYO3A_HUMAN	tr|A0A8C9J3Y5|A0A8C9J3Y5_PANTA
OG0001327	sp|Q96BD6|SPSB1_HUMAN	tr|A0A8C9KLQ4|A0A8C9KLQ4_PANTA
OG0001327	sp|Q96A44|SPSB4_HUMAN	tr|A0A8C9K1L1|A0A8C9K1L1_PANTA
OG0001328	sp|P0CG47|UBB_HUMAN	tr|A0A8C9JIV2|A0A8C9JIV2_PANTA
OG0001328	sp|P0CG48|UBC_HUMAN	tr|A0A8C9J6D3|A0A8C9J6D3_PANTA
OG0001329	sp|P32942|ICAM3_HUMAN	tr|A0A8C9M4J0|A0A8C9M4J0_PANTA
OG0001329	sp|P05362|ICAM1_HUMAN	tr|A0A8C9JJQ4|A0A8C9JJQ4_PANTA
OG0001330	sp|O75912|DGKI_HUMAN	tr|A0A8C9M898|A0A8C9M898_PANTA
OG0001330	sp|Q13574|DGKZ_HUMAN	tr|A0A8C9JV18|A0A8C9JV18_PANTA
OG0001331	sp|Q13950|RUNX2_HUMAN, sp|Q01196|RUNX1_HUMAN, sp|Q13761|RUNX3_HUMAN	tr|A0A8C9KLA5|A0A8C9KLA5_PANTA
OG0001332	sp|Q15155|NOMO1_HUMAN, sp|Q5JPE7|NOMO2_HUMAN, sp|P69849|NOMO3_HUMAN	tr|A0A8C9K2L7|A0A8C9K2L7_PANTA
OG0001333	sp|Q8N0T1|RBIS_HUMAN	tr|A0A8C9J1Y6|A0A8C9J1Y6_PANTA, tr|A0A8C9M2H2|A0A8C9M2H2_PANTA, tr|A0A8C9KJE1|A0A8C9KJE1_PANTA
OG0001334	sp|Q92572|AP3S1_HUMAN	tr|A0A8C9KFJ1|A0A8C9KFJ1_PANTA
OG0001334	sp|P59780|AP3S2_HUMAN	tr|A0A8C9JE95|A0A8C9JE95_PANTA
OG0001335	sp|Q9P2T1|GMPR2_HUMAN	tr|A0A8C9JYK3|A0A8C9JYK3_PANTA
OG0001335	sp|P36959|GMPR1_HUMAN	tr|A0A8C9K9E7|A0A8C9K9E7_PANTA
OG0001336	sp|P07996|TSP1_HUMAN	tr|A0A8C9JTQ9|A0A8C9JTQ9_PANTA
OG0001336	sp|P35442|TSP2_HUMAN	tr|A0A8C9K2Q3|A0A8C9K2Q3_PANTA
OG0001338	sp|Q13387|JIP2_HUMAN	tr|A0A8C9JED0|A0A8C9JED0_PANTA
OG0001338	sp|Q9UQF2|JIP1_HUMAN	tr|A0A8C9JMB2|A0A8C9JMB2_PANTA
OG0001339	sp|Q9Y2D4|EXC6B_HUMAN	tr|A0A8C9K203|A0A8C9K203_PANTA
OG0001339	sp|Q8TAG9|EXOC6_HUMAN	tr|A0A8C9M9F1|A0A8C9M9F1_PANTA
OG0001340	sp|Q7Z628|ARHG8_HUMAN	tr|A0A8C9K7D4|A0A8C9K7D4_PANTA
OG0001340	sp|Q9NR81|ARHG3_HUMAN	tr|A0A8C9JUG0|A0A8C9JUG0_PANTA
OG0001341	sp|Q01959|SC6A3_HUMAN	tr|A0A8C9JMG2|A0A8C9JMG2_PANTA
OG0001341	sp|P23975|SC6A2_HUMAN	tr|A0A8C9JGH4|A0A8C9JGH4_PANTA
OG0001342	sp|Q5JWF2|GNAS1_HUMAN	tr|A0A8C9M7H7|A0A8C9M7H7_PANTA
OG0001342	sp|P38405|GNAL_HUMAN	tr|A0A8C9K5Q3|A0A8C9K5Q3_PANTA
OG0001343	sp|Q8NA75|DC4L2_HUMAN, sp|Q3SXM0|DC4L1_HUMAN, sp|Q8WV16|DCAF4_HUMAN	tr|A0A8C9MA59|A0A8C9MA59_PANTA
OG0001344	sp|P52757|CHIO_HUMAN	tr|A0A8C9K4A7|A0A8C9K4A7_PANTA
OG0001344	sp|P15882|CHIN_HUMAN	tr|A0A8C9JC68|A0A8C9JC68_PANTA
OG0001345	sp|Q86UX6|ST32C_HUMAN	tr|A0A8C9JTY2|A0A8C9JTY2_PANTA
OG0001345	sp|Q9NY57|ST32B_HUMAN	tr|A0A8C9JG83|A0A8C9JG83_PANTA
OG0001346	sp|Q9H336|CRLD1_HUMAN	tr|A0A8C9JL47|A0A8C9JL47_PANTA
OG0001346	sp|Q9H0B8|CRLD2_HUMAN	tr|A0A8C9J3J6|A0A8C9J3J6_PANTA
OG0001347	sp|Q5SW79|CE170_HUMAN, sp|Q9Y4F5|C170B_HUMAN, sp|Q96L14|C170L_HUMAN	tr|A0A8C9JY38|A0A8C9JY38_PANTA
OG0001348	sp|P43403|ZAP70_HUMAN	tr|A0A8C9J2S9|A0A8C9J2S9_PANTA
OG0001348	sp|P43405|KSYK_HUMAN	tr|A0A8C9JS35|A0A8C9JS35_PANTA
OG0001349	sp|P49279|NRAM1_HUMAN	tr|A0A8C9M2M0|A0A8C9M2M0_PANTA
OG0001349	sp|P49281|NRAM2_HUMAN	tr|A0A8C9JMP4|A0A8C9JMP4_PANTA
OG0001350	sp|P52742|ZN135_HUMAN	tr|A0A8C9KJ86|A0A8C9KJ86_PANTA
OG0001350	sp|Q8N859|ZN713_HUMAN	tr|A0A8C9KJM5|A0A8C9KJM5_PANTA
OG0001351	sp|A9Z1Z3|FR1L4_HUMAN	tr|A0A8C9KIL0|A0A8C9KIL0_PANTA
OG0001351	sp|Q2WGJ9|FR1L6_HUMAN	tr|A0A8C9M8Z8|A0A8C9M8Z8_PANTA
OG0001352	sp|Q5T3F8|CSCL2_HUMAN	tr|A0A8C9J4B1|A0A8C9J4B1_PANTA
OG0001352	sp|O94886|CSCL1_HUMAN	tr|A0A8C9KHH7|A0A8C9KHH7_PANTA
OG0001353	sp|Q9NRC1|ST7_HUMAN	tr|A0A8C9KP52|A0A8C9KP52_PANTA
OG0001353	sp|Q8TDW4|ST7L_HUMAN	tr|A0A8C9J436|A0A8C9J436_PANTA
OG0001354	sp|Q92802|N42L2_HUMAN	tr|A0A8C9J7J8|A0A8C9J7J8_PANTA
OG0001354	sp|Q5TBK1|N42L1_HUMAN	tr|A0A8C9J7X0|A0A8C9J7X0_PANTA
OG0001355	sp|Q9NQ39|RS10L_HUMAN, sp|P46783|RS10_HUMAN	tr|A0A8C9KQ13|A0A8C9KQ13_PANTA, tr|A0A8C9J7D1|A0A8C9J7D1_PANTA
OG0001356	sp|Q06330|SUH_HUMAN	tr|A0A8C9J5K6|A0A8C9J5K6_PANTA
OG0001356	sp|Q9UBG7|RBPJL_HUMAN	tr|A0A8C9M5K4|A0A8C9M5K4_PANTA
OG0001357	sp|P10599|THIO_HUMAN	tr|A0A8C9JL61|A0A8C9JL61_PANTA
OG0001357	sp|Q86VQ3|TXND2_HUMAN	tr|A0A8C9JSB9|A0A8C9JSB9_PANTA
OG0001358	sp|Q04656|ATP7A_HUMAN	tr|A0A8C9KLI0|A0A8C9KLI0_PANTA
OG0001358	sp|P35670|ATP7B_HUMAN	tr|A0A8C9JKJ4|A0A8C9JKJ4_PANTA
OG0001359	sp|P41231|P2RY2_HUMAN, sp|Q15077|P2RY6_HUMAN, sp|P51582|P2RY4_HUMAN	tr|A0A8C9IYJ0|A0A8C9IYJ0_PANTA
OG0001360	sp|Q3KQV3|ZN792_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q8TAW3|ZN671_HUMAN	tr|A0A8C9MBD7|A0A8C9MBD7_PANTA
OG0001361	sp|Q5XG87|PAPD7_HUMAN	tr|A0A8C9JUE2|A0A8C9JUE2_PANTA
OG0001361	sp|Q8NDF8|PAPD5_HUMAN	tr|A0A8C9MDD7|A0A8C9MDD7_PANTA
OG0001362	sp|Q9Y519|T184B_HUMAN	tr|A0A8C9KPU6|A0A8C9KPU6_PANTA
OG0001362	sp|Q6ZMB5|T184A_HUMAN	tr|A0A8C9KNE6|A0A8C9KNE6_PANTA
OG0001363	sp|Q9NR22|ANM8_HUMAN	tr|A0A8C9K892|A0A8C9K892_PANTA
OG0001363	sp|Q99873|ANM1_HUMAN	tr|A0A8C9KDD4|A0A8C9KDD4_PANTA
OG0001364	sp|Q14590|ZN235_HUMAN	tr|A0A8C9KLM2|A0A8C9KLM2_PANTA
OG0001364	sp|Q9NYT6|ZN226_HUMAN	tr|A0A8C9MBJ6|A0A8C9MBJ6_PANTA
OG0001365	sp|O60706|ABCC9_HUMAN	tr|A0A8C9J853|A0A8C9J853_PANTA
OG0001365	sp|Q09428|ABCC8_HUMAN	tr|A0A8C9JRS8|A0A8C9JRS8_PANTA
OG0001366	sp|P22059|OSBP1_HUMAN	tr|A0A8C9MBX3|A0A8C9MBX3_PANTA
OG0001366	sp|Q969R2|OSBP2_HUMAN	tr|A0A8C9JXD8|A0A8C9JXD8_PANTA
OG0001367	sp|P23443|KS6B1_HUMAN	tr|A0A8C9KZ76|A0A8C9KZ76_PANTA
OG0001367	sp|Q9UBS0|KS6B2_HUMAN	tr|A0A8C9JV52|A0A8C9JV52_PANTA
OG0001368	sp|Q14137|BOP1_HUMAN, sp|Q9BV38|WDR18_HUMAN, sp|Q9Y3F4|STRAP_HUMAN	tr|A0A8C9JCX3|A0A8C9JCX3_PANTA
OG0001369	sp|Q16478|GRIK5_HUMAN	tr|A0A8C9KH04|A0A8C9KH04_PANTA
OG0001369	sp|Q16099|GRIK4_HUMAN	tr|A0A8C9K2J4|A0A8C9K2J4_PANTA
OG0001370	sp|Q16822|PCKGM_HUMAN	tr|A0A8C9KRY1|A0A8C9KRY1_PANTA
OG0001370	sp|P35558|PCKGC_HUMAN	tr|A0A8C9JUJ2|A0A8C9JUJ2_PANTA
OG0001371	sp|Q3SY69|AL1L2_HUMAN	tr|A0A8C9M9A6|A0A8C9M9A6_PANTA
OG0001371	sp|O75891|AL1L1_HUMAN	tr|A0A8C9K140|A0A8C9K140_PANTA
OG0001372	sp|Q8N2S1|LTBP4_HUMAN	tr|A0A8C9M9I0|A0A8C9M9I0_PANTA
OG0001372	sp|Q14767|LTBP2_HUMAN	tr|A0A8C9MA95|A0A8C9MA95_PANTA
OG0001373	sp|Q8WVJ9|TWST2_HUMAN, sp|Q96SQ7|ATOH8_HUMAN, sp|Q15672|TWST1_HUMAN	tr|A0A8C9J6E2|A0A8C9J6E2_PANTA
OG0001374	sp|Q70CQ1|UBP49_HUMAN	tr|A0A8C9M6Y9|A0A8C9M6Y9_PANTA
OG0001374	sp|Q9H0E7|UBP44_HUMAN	tr|A0A8C9KS03|A0A8C9KS03_PANTA
OG0001375	sp|Q9NYV4|CDK12_HUMAN	tr|A0A8C9JRB0|A0A8C9JRB0_PANTA
OG0001375	sp|Q14004|CDK13_HUMAN	tr|A0A8C9J4U1|A0A8C9J4U1_PANTA
OG0001376	sp|Q32MK0|MYLK3_HUMAN	tr|A0A8C9JW13|A0A8C9JW13_PANTA
OG0001376	sp|Q86YV6|MYLK4_HUMAN	tr|A0A8C9M8D2|A0A8C9M8D2_PANTA
OG0001377	sp|Q5VZM2|RRAGB_HUMAN	tr|A0A8C9M1V3|A0A8C9M1V3_PANTA
OG0001377	sp|Q7L523|RRAGA_HUMAN	tr|A0A8C9M2U3|A0A8C9M2U3_PANTA
OG0001378	sp|Q8N6R1|SERP2_HUMAN, sp|Q9Y6X1|SERP1_HUMAN	tr|A0A8C9MCS9|A0A8C9MCS9_PANTA, tr|A0A8C9K9A4|A0A8C9K9A4_PANTA
OG0001379	sp|Q9GZM3|RPB1B_HUMAN, sp|Q9H1A7|RPB1C_HUMAN, sp|P52435|RPB11_HUMAN	tr|A0A8C9MB31|A0A8C9MB31_PANTA
OG0001380	sp|Q9H2K8|TAOK3_HUMAN	tr|A0A8C9JFE8|A0A8C9JFE8_PANTA
OG0001380	sp|Q7L7X3|TAOK1_HUMAN	tr|A0A8C9KMW6|A0A8C9KMW6_PANTA
OG0001381	sp|Q9H6R0|DHX33_HUMAN	tr|A0A8C9KEM8|A0A8C9KEM8_PANTA
OG0001381	sp|Q9H5Z1|DHX35_HUMAN	tr|A0A8C9JRL3|A0A8C9JRL3_PANTA
OG0001382	sp|Q8N8J0|PI4P1_HUMAN, sp|A4QPH2|PI4P2_HUMAN, sp|P42356|PI4KA_HUMAN	tr|A0A8C9K6M0|A0A8C9K6M0_PANTA
OG0001383	sp|Q8N431|RGF1C_HUMAN	tr|A0A8C9KQA5|A0A8C9KQA5_PANTA
OG0001383	sp|Q0VAM2|RGF1B_HUMAN	tr|A0A8C9L0R9|A0A8C9L0R9_PANTA
OG0001384	sp|Q96G03|PGM2_HUMAN	tr|A0A8C9JBB1|A0A8C9JBB1_PANTA
OG0001384	sp|Q6PCE3|PGM2L_HUMAN	tr|A0A8C9KBS3|A0A8C9KBS3_PANTA
OG0001385	sp|Q99748|NRTN_HUMAN, sp|O60542|PSPN_HUMAN, sp|Q5T4W7|ARTN_HUMAN	tr|A0A8C9JTM9|A0A8C9JTM9_PANTA
OG0001386	sp|Q96P26|5NT1B_HUMAN	tr|A0A8C9JNK1|A0A8C9JNK1_PANTA
OG0001386	sp|Q9BXI3|5NT1A_HUMAN	tr|A0A8C9M1V7|A0A8C9M1V7_PANTA
OG0001387	sp|Q9HBH7|BEX1_HUMAN, sp|Q9BXY8|BEX2_HUMAN	tr|A0A8C9JM58|A0A8C9JM58_PANTA, tr|A0A8C9JKF5|A0A8C9JKF5_PANTA
OG0001388	sp|Q9UPW6|SATB2_HUMAN	tr|A0A8C9K096|A0A8C9K096_PANTA
OG0001388	sp|Q01826|SATB1_HUMAN	tr|A0A8C9K0A4|A0A8C9K0A4_PANTA
OG0001389	sp|O75843|AP1G2_HUMAN	tr|A0A8C9K3V9|A0A8C9K3V9_PANTA
OG0001389	sp|O43747|AP1G1_HUMAN	tr|A0A8C9KZE9|A0A8C9KZE9_PANTA
OG0001390	sp|O14638|ENPP3_HUMAN	tr|A0A8C9JS84|A0A8C9JS84_PANTA
OG0001390	sp|P22413|ENPP1_HUMAN	tr|A0A8C9JC72|A0A8C9JC72_PANTA
OG0001391	sp|P52566|GDIR2_HUMAN	tr|A0A8C9JH85|A0A8C9JH85_PANTA
OG0001391	sp|P52565|GDIR1_HUMAN	tr|A0A8C9J432|A0A8C9J432_PANTA
OG0001392	sp|Q719H9|KCTD1_HUMAN	tr|A0A8C9JHF5|A0A8C9JHF5_PANTA
OG0001392	sp|Q96SI1|KCD15_HUMAN	tr|A0A8C9J3T5|A0A8C9J3T5_PANTA
OG0001393	sp|Q9H857|NT5D2_HUMAN	tr|A0A8C9KD92|A0A8C9KD92_PANTA
OG0001393	sp|Q86UY8|NT5D3_HUMAN	tr|A0A8C9J7R9|A0A8C9J7R9_PANTA
OG0001394	sp|O95500|CLD14_HUMAN	tr|A0A8C9M318|A0A8C9M318_PANTA
OG0001394	sp|P57739|CLD2_HUMAN	tr|A0A8C9JH72|A0A8C9JH72_PANTA
OG0001395	sp|Q9NVI7|ATD3A_HUMAN, sp|Q5T9A4|ATD3B_HUMAN, sp|Q5T2N8|ATD3C_HUMAN	tr|A0A8C9KSH6|A0A8C9KSH6_PANTA
OG0001396	sp|Q9UKC9|FBXL2_HUMAN	tr|A0A8C9KBT9|A0A8C9KBT9_PANTA
OG0001396	sp|Q96IG2|FXL20_HUMAN	tr|A0A8C9KT33|A0A8C9KT33_PANTA
OG0001397	sp|Q9H160|ING2_HUMAN	tr|A0A8C9JV05|A0A8C9JV05_PANTA
OG0001397	sp|Q9UK53|ING1_HUMAN	tr|A0A8C9KWG3|A0A8C9KWG3_PANTA
OG0001398	sp|Q9ULC4|MCTS1_HUMAN, sp|A0A3B3IRV3|MCTS2_HUMAN	tr|A0A8C9JXA5|A0A8C9JXA5_PANTA, tr|A0A8C9JQR3|A0A8C9JQR3_PANTA
