Orthogroup	Homo_sapiens	Mandrillus_leucophaeus
OG0000443	sp|Q92819|HYAS2_HUMAN	tr|A0A2K5XMR2|A0A2K5XMR2_MANLE
OG0000443	sp|Q92839|HYAS1_HUMAN	tr|A0A2K5ZFR6|A0A2K5ZFR6_MANLE
OG0000443	sp|O00219|HYAS3_HUMAN	tr|A0A2K6ACK6|A0A2K6ACK6_MANLE
OG0000445	sp|P17028|ZNF24_HUMAN, sp|P57086|SCND1_HUMAN, sp|Q8N0Y2|ZN444_HUMAN, sp|Q9Y2P0|ZN835_HUMAN, sp|Q96N95|ZN396_HUMAN	tr|A0A2K5Z933|A0A2K5Z933_MANLE
OG0000446	sp|Q08ER8|ZN543_HUMAN	tr|A0A2K5YD02|A0A2K5YD02_MANLE
OG0000446	sp|O43296|ZN264_HUMAN	tr|A0A2K5YFA2|A0A2K5YFA2_MANLE
OG0000446	sp|Q5CZA5|ZN805_HUMAN	tr|A0A2K5Y4K3|A0A2K5Y4K3_MANLE
OG0000447	sp|P29973|CNGA1_HUMAN	tr|A0A2K5ZU38|A0A2K5ZU38_MANLE
OG0000447	sp|Q16281|CNGA3_HUMAN	tr|A0A2K5XH60|A0A2K5XH60_MANLE
OG0000447	sp|Q16280|CNGA2_HUMAN	tr|A0A2K5XCZ6|A0A2K5XCZ6_MANLE
OG0000448	sp|P08865|RSSA_HUMAN	tr|A0A2K5Y6K7|A0A2K5Y6K7_MANLE, tr|A0A2K6AAH0|A0A2K6AAH0_MANLE
OG0000448	tr|A0A8I5KQE6|A0A8I5KQE6_HUMAN	tr|A0A2K5YMY7|A0A2K5YMY7_MANLE, tr|A0A2K5XKU2|A0A2K5XKU2_MANLE
OG0000449	sp|Q13002|GRIK2_HUMAN	tr|A0A2K5YFR1|A0A2K5YFR1_MANLE
OG0000449	sp|Q13003|GRIK3_HUMAN	tr|A0A2K5YEJ2|A0A2K5YEJ2_MANLE
OG0000449	sp|P39086|GRIK1_HUMAN	tr|A0A2K5YKW4|A0A2K5YKW4_MANLE
OG0000451	sp|P54317|LIPR2_HUMAN	tr|A0A2K6AGB3|A0A2K6AGB3_MANLE
OG0000451	sp|P54315|LIPR1_HUMAN	tr|A0A2K5YHG4|A0A2K5YHG4_MANLE
OG0000451	sp|P16233|LIPP_HUMAN	tr|A0A2K5ZRA1|A0A2K5ZRA1_MANLE
OG0000452	sp|Q8WXF7|ATLA1_HUMAN	tr|A0A2K5Y2W1|A0A2K5Y2W1_MANLE
OG0000452	sp|Q8NHH9|ATLA2_HUMAN	tr|A0A2K5Y2V9|A0A2K5Y2V9_MANLE
OG0000452	sp|Q6DD88|ATLA3_HUMAN	tr|A0A2K5ZXE4|A0A2K5ZXE4_MANLE
OG0000453	tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN, sp|P36507|MP2K2_HUMAN	tr|A0A2K5YI82|A0A2K5YI82_MANLE
OG0000453	sp|Q02750|MP2K1_HUMAN	tr|A0A2K5YWG9|A0A2K5YWG9_MANLE, tr|A0A2K5ZAM0|A0A2K5ZAM0_MANLE
OG0000454	sp|Q6PCB6|AB17C_HUMAN	tr|A0A2K5YVW4|A0A2K5YVW4_MANLE
OG0000454	sp|Q96GS6|AB17A_HUMAN	tr|A0A2K6ACF6|A0A2K6ACF6_MANLE
OG0000454	sp|Q5VST6|AB17B_HUMAN	tr|A0A2K6A5I9|A0A2K6A5I9_MANLE
OG0000455	sp|A0A1B0GUS4|UB2L5_HUMAN	tr|A0A2K5XEY9|A0A2K5XEY9_MANLE
OG0000455	sp|P68036|UB2L3_HUMAN	tr|A0A2K5YAP0|A0A2K5YAP0_MANLE, tr|A0A2K6AHH6|A0A2K6AHH6_MANLE, tr|A0A2K5YZD2|A0A2K5YZD2_MANLE
OG0000456	sp|P48454|PP2BC_HUMAN	tr|A0A2K5XJT0|A0A2K5XJT0_MANLE
OG0000456	sp|Q08209|PP2BA_HUMAN	tr|A0A2K5Y3D8|A0A2K5Y3D8_MANLE
OG0000456	sp|P16298|PP2BB_HUMAN	tr|A0A2K5Z992|A0A2K5Z992_MANLE
OG0000457	sp|P33908|MA1A1_HUMAN	tr|A0A2K5XW79|A0A2K5XW79_MANLE
OG0000457	sp|Q9NR34|MA1C1_HUMAN	tr|A0A2K5YMG5|A0A2K5YMG5_MANLE
OG0000457	sp|O60476|MA1A2_HUMAN	tr|A0A2K6A4A0|A0A2K6A4A0_MANLE
OG0000458	sp|P10276|RARA_HUMAN	tr|A0A2K6A937|A0A2K6A937_MANLE
OG0000458	sp|P10826|RARB_HUMAN	tr|A0A2K5Z0E7|A0A2K5Z0E7_MANLE
OG0000458	sp|P13631|RARG_HUMAN	tr|A0A2K5XRE9|A0A2K5XRE9_MANLE
OG0000460	sp|Q13363|CTBP1_HUMAN	tr|A0A2K5YB91|A0A2K5YB91_MANLE
OG0000460	sp|P56545|CTBP2_HUMAN	tr|A0A2K5Y280|A0A2K5Y280_MANLE, tr|A0A2K6AL04|A0A2K6AL04_MANLE, tr|A0A2K5YGF0|A0A2K5YGF0_MANLE
OG0000461	sp|Q9BYT5|KRA22_HUMAN, sp|P0C7H8|KRA23_HUMAN, sp|Q9BYR9|KRA24_HUMAN, sp|Q9BYU5|KRA21_HUMAN	tr|A0A2K5XLQ4|A0A2K5XLQ4_MANLE, tr|A0A2K5XD40|A0A2K5XD40_MANLE
OG0000462	sp|Q86VQ3|TXND2_HUMAN	tr|A0A2K5YL75|A0A2K5YL75_MANLE
OG0000462	sp|P10599|THIO_HUMAN	tr|A0A2K5Z9R7|A0A2K5Z9R7_MANLE, tr|A0A2K5ZXH7|A0A2K5ZXH7_MANLE, tr|A0A2K5XPA1|A0A2K5XPA1_MANLE
OG0000463	sp|P45983|MK08_HUMAN	tr|A0A2K5YJB3|A0A2K5YJB3_MANLE
OG0000463	sp|P53779|MK10_HUMAN	tr|A0A2K5XSQ9|A0A2K5XSQ9_MANLE
OG0000463	sp|P45984|MK09_HUMAN	tr|A0A2K5XWA4|A0A2K5XWA4_MANLE
OG0000464	sp|P48729|KC1A_HUMAN	tr|A0A2K5YKG0|A0A2K5YKG0_MANLE, tr|A0A2K5YJT3|A0A2K5YJT3_MANLE
OG0000464	sp|Q8N752|KC1AL_HUMAN	tr|A0A2K5YVH6|A0A2K5YVH6_MANLE, tr|A0A2K6A276|A0A2K6A276_MANLE
OG0000465	sp|O00762|UBE2C_HUMAN	tr|A0A2K5XY29|A0A2K5XY29_MANLE, tr|A0A2K5XFS3|A0A2K5XFS3_MANLE, tr|A0A2K5XBV2|A0A2K5XBV2_MANLE, tr|A0A2K5YJ39|A0A2K5YJ39_MANLE, tr|A0A2K5ZUX1|A0A2K5ZUX1_MANLE
OG0000466	sp|P22607|FGFR3_HUMAN	tr|A0A2K5YBJ5|A0A2K5YBJ5_MANLE
OG0000466	sp|P21802|FGFR2_HUMAN	tr|A0A2K5XUY7|A0A2K5XUY7_MANLE
OG0000466	sp|P11362|FGFR1_HUMAN	tr|A0A2K5Y6L9|A0A2K5Y6L9_MANLE
OG0000467	sp|Q70Z44|5HT3D_HUMAN	tr|A0A2K5Z2J8|A0A2K5Z2J8_MANLE
OG0000467	sp|A5X5Y0|5HT3E_HUMAN	tr|A0A2K5ZL78|A0A2K5ZL78_MANLE
OG0000467	sp|Q8WXA8|5HT3C_HUMAN	tr|A0A2K5YJA8|A0A2K5YJA8_MANLE
OG0000468	sp|Q9Y689|ARL5A_HUMAN	tr|A0A2K5ZSL2|A0A2K5ZSL2_MANLE, tr|A0A2K5Z8D5|A0A2K5Z8D5_MANLE
OG0000468	sp|A6NH57|ARL5C_HUMAN, sp|Q96KC2|ARL5B_HUMAN	tr|A0A2K5Y6N4|A0A2K5Y6N4_MANLE
OG0000469	sp|Q9P2S2|NRX2A_HUMAN	tr|A0A2K5Z7K8|A0A2K5Z7K8_MANLE
OG0000469	sp|Q9ULB1|NRX1A_HUMAN	tr|A0A2K5XAA7|A0A2K5XAA7_MANLE
OG0000469	sp|Q9Y4C0|NRX3A_HUMAN	tr|A0A2K5Z3L9|A0A2K5Z3L9_MANLE
OG0000470	sp|Q9BZ29|DOCK9_HUMAN	tr|A0A2K5XWM7|A0A2K5XWM7_MANLE
OG0000470	sp|Q5JSL3|DOC11_HUMAN	tr|A0A2K5XJ32|A0A2K5XJ32_MANLE
OG0000470	sp|Q96BY6|DOC10_HUMAN	tr|A0A2K5ZQC5|A0A2K5ZQC5_MANLE
OG0000471	sp|Q9Y243|AKT3_HUMAN	tr|A0A2K6AA78|A0A2K6AA78_MANLE
OG0000471	sp|P31751|AKT2_HUMAN	tr|A0A2K5Z269|A0A2K5Z269_MANLE
OG0000471	sp|P31749|AKT1_HUMAN	tr|A0A2K5ZJA3|A0A2K5ZJA3_MANLE
OG0000472	sp|Q9UPW8|UN13A_HUMAN	tr|A0A2K5YY24|A0A2K5YY24_MANLE
OG0000472	sp|Q8NB66|UN13C_HUMAN	tr|A0A2K5YPU5|A0A2K5YPU5_MANLE
OG0000472	sp|O14795|UN13B_HUMAN	tr|A0A2K5Z3W4|A0A2K5Z3W4_MANLE
OG0000473	sp|P47881|OR3A1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47883|OR3A4_HUMAN	tr|A0A2K5XI00|A0A2K5XI00_MANLE, tr|A0A2K5XT16|A0A2K5XT16_MANLE
OG0000474	sp|O75335|LIPA4_HUMAN	tr|A0A2K6A799|A0A2K6A799_MANLE
OG0000474	sp|O75334|LIPA2_HUMAN	tr|A0A2K6A9A8|A0A2K6A9A8_MANLE
OG0000474	sp|Q13136|LIPA1_HUMAN	tr|A0A2K5ZY52|A0A2K5ZY52_MANLE
OG0000475	sp|P60174|TPIS_HUMAN	tr|A0A2K5XP91|A0A2K5XP91_MANLE, tr|A0A2K5XFB4|A0A2K5XFB4_MANLE, tr|A0A2K5XYY5|A0A2K5XYY5_MANLE, tr|A0A2K5ZET7|A0A2K5ZET7_MANLE, tr|A0A2K5XE45|A0A2K5XE45_MANLE
OG0000476	sp|Q5H9I0|TFDP3_HUMAN	tr|A0A2K5Y6D2|A0A2K5Y6D2_MANLE
OG0000476	sp|Q14186|TFDP1_HUMAN	tr|A0A2K5Z9B2|A0A2K5Z9B2_MANLE, tr|A0A2K5YLS0|A0A2K5YLS0_MANLE, tr|A0A2K5Y9H2|A0A2K5Y9H2_MANLE
OG0000477	sp|Q99643|C560_HUMAN	tr|A0A2K5YWS8|A0A2K5YWS8_MANLE, tr|A0A2K6A6T3|A0A2K6A6T3_MANLE, tr|A0A2K5YLN8|A0A2K5YLN8_MANLE, tr|A0A2K6AAG5|A0A2K6AAG5_MANLE, tr|A0A2K5ZYD5|A0A2K5ZYD5_MANLE
OG0000478	sp|P84074|HPCA_HUMAN	tr|A0A2K5Z6E7|A0A2K5Z6E7_MANLE
OG0000478	sp|P37235|HPCL1_HUMAN	tr|A0A2K5ZQP8|A0A2K5ZQP8_MANLE
OG0000478	sp|P61601|NCALD_HUMAN	tr|A0A2K5Y826|A0A2K5Y826_MANLE
OG0000479	sp|Q96N16|JKIP1_HUMAN	tr|A0A2K5ZYI0|A0A2K5ZYI0_MANLE
OG0000479	sp|Q96AA8|JKIP2_HUMAN	tr|A0A2K5Y4P4|A0A2K5Y4P4_MANLE
OG0000479	sp|Q5VZ66|JKIP3_HUMAN	tr|A0A2K5ZJV3|A0A2K5ZJV3_MANLE
OG0000480	sp|Q6PH85|DCNL2_HUMAN	tr|A0A2K6AJF2|A0A2K6AJF2_MANLE
OG0000480	sp|Q96GG9|DCNL1_HUMAN	tr|A0A2K5ZSS2|A0A2K5ZSS2_MANLE, tr|A0A2K5ZHY5|A0A2K5ZHY5_MANLE, tr|A0A2K5YXF7|A0A2K5YXF7_MANLE
OG0000481	sp|P61225|RAP2B_HUMAN	tr|A0A2K5XUF3|A0A2K5XUF3_MANLE
OG0000481	sp|Q9Y3L5|RAP2C_HUMAN	tr|A0A2K5YRG5|A0A2K5YRG5_MANLE
OG0000481	sp|P10114|RAP2A_HUMAN	tr|A0A2K5XEV6|A0A2K5XEV6_MANLE
OG0000482	sp|Q8IVF7|FMNL3_HUMAN	tr|A0A2K6AEH2|A0A2K6AEH2_MANLE
OG0000482	sp|O95466|FMNL1_HUMAN	tr|A0A2K5Y5T3|A0A2K5Y5T3_MANLE
OG0000482	sp|Q96PY5|FMNL2_HUMAN	tr|A0A2K5ZV67|A0A2K5ZV67_MANLE
OG0000483	sp|P07948|LYN_HUMAN	tr|A0A2K5XDX8|A0A2K5XDX8_MANLE
OG0000483	sp|P08631|HCK_HUMAN	tr|A0A2K5ZFJ9|A0A2K5ZFJ9_MANLE
OG0000483	sp|P06239|LCK_HUMAN	tr|A0A2K5YHU8|A0A2K5YHU8_MANLE
OG0000484	sp|Q06710|PAX8_HUMAN	tr|A0A2K5XCW8|A0A2K5XCW8_MANLE
OG0000484	sp|Q02548|PAX5_HUMAN	tr|A0A2K5Y6U0|A0A2K5Y6U0_MANLE
OG0000484	sp|Q02962|PAX2_HUMAN	tr|A0A2K5ZNU3|A0A2K5ZNU3_MANLE
OG0000485	sp|Q9UK17|KCND3_HUMAN	tr|A0A2K6AAE9|A0A2K6AAE9_MANLE
OG0000485	sp|Q9NZV8|KCND2_HUMAN	tr|A0A2K5YH77|A0A2K5YH77_MANLE
OG0000485	sp|Q9NSA2|KCND1_HUMAN	tr|A0A2K6AIJ7|A0A2K6AIJ7_MANLE
OG0000486	sp|P20337|RAB3B_HUMAN	tr|A0A2K6AGW3|A0A2K6AGW3_MANLE
OG0000486	sp|Q96E17|RAB3C_HUMAN	tr|A0A2K5Y8L8|A0A2K5Y8L8_MANLE
OG0000486	sp|P20336|RAB3A_HUMAN	tr|A0A2K5ZY83|A0A2K5ZY83_MANLE
OG0000487	sp|Q9NRW1|RAB6B_HUMAN	tr|A0A2K5ZRY9|A0A2K5ZRY9_MANLE
OG0000487	sp|P20340|RAB6A_HUMAN, sp|Q53S08|RAB6D_HUMAN, sp|Q9H0N0|RAB6C_HUMAN	tr|A0A2K5ZN05|A0A2K5ZN05_MANLE
OG0000488	sp|Q6U841|S4A10_HUMAN	tr|A0A2K6A8F7|A0A2K6A8F7_MANLE
OG0000488	sp|Q2Y0W8|S4A8_HUMAN	tr|A0A2K5YU71|A0A2K5YU71_MANLE
OG0000488	sp|Q9Y6M7|S4A7_HUMAN	tr|A0A2K5YDQ9|A0A2K5YDQ9_MANLE
OG0000489	sp|Q92736|RYR2_HUMAN	tr|A0A2K5Y2P1|A0A2K5Y2P1_MANLE
OG0000489	sp|P21817|RYR1_HUMAN	tr|A0A2K5ZPV5|A0A2K5ZPV5_MANLE
OG0000489	sp|Q15413|RYR3_HUMAN	tr|A0A2K6AEX2|A0A2K6AEX2_MANLE
OG0000490	sp|P23141|EST1_HUMAN, sp|Q9UKY3|CES1P_HUMAN, sp|Q5XG92|EST4A_HUMAN, sp|Q6UWW8|EST3_HUMAN	tr|A0A2K5XHN3|A0A2K5XHN3_MANLE, tr|A0A2K6ALF0|A0A2K6ALF0_MANLE
OG0000491	sp|Q15561|TEAD4_HUMAN	tr|A0A2K5YFK1|A0A2K5YFK1_MANLE
OG0000491	sp|P28347|TEAD1_HUMAN	tr|A0A2K5ZJP7|A0A2K5ZJP7_MANLE
OG0000491	sp|Q99594|TEAD3_HUMAN	tr|A0A2K5YYL8|A0A2K5YYL8_MANLE
OG0000492	sp|Q9NPD5|SO1B3_HUMAN	tr|A0A2K5ZU81|A0A2K5ZU81_MANLE
OG0000492	sp|Q9Y6L6|SO1B1_HUMAN	tr|A0A2K5YQS9|A0A2K5YQS9_MANLE
OG0000492	sp|G3V0H7|SO1B7_HUMAN	tr|A0A2K5YRM5|A0A2K5YRM5_MANLE
OG0000493	sp|P13866|SC5A1_HUMAN	tr|A0A2K5YKU4|A0A2K5YKU4_MANLE
OG0000493	sp|Q9NY91|SC5A4_HUMAN	tr|A0A2K5XXR3|A0A2K5XXR3_MANLE
OG0000493	sp|P31639|SC5A2_HUMAN	tr|A0A2K5ZN75|A0A2K5ZN75_MANLE
OG0000494	sp|P24534|EF1B_HUMAN	tr|A0A2K5Z9E3|A0A2K5Z9E3_MANLE, tr|A0A2K5Z9X3|A0A2K5Z9X3_MANLE, tr|A0A2K5XQD3|A0A2K5XQD3_MANLE, tr|A0A2K5YHV2|A0A2K5YHV2_MANLE, tr|A0A2K6AK70|A0A2K6AK70_MANLE
OG0000495	sp|O15347|HMGB3_HUMAN	tr|A0A2K6AA39|A0A2K6AA39_MANLE, tr|A0A2K5YRH1|A0A2K5YRH1_MANLE, tr|A0A2K5ZMZ4|A0A2K5ZMZ4_MANLE, tr|A0A2K5Z0K1|A0A2K5Z0K1_MANLE, tr|A0A2K5YVW7|A0A2K5YVW7_MANLE
OG0000496	sp|Q06278|AOXA_HUMAN	tr|A0A2K5ZQZ2|A0A2K5ZQZ2_MANLE
OG0000496	sp|P47989|XDH_HUMAN	tr|A0A2K5XKD2|A0A2K5XKD2_MANLE, tr|A0A2K5XIG7|A0A2K5XIG7_MANLE, tr|A0A2K5ZJZ0|A0A2K5ZJZ0_MANLE
OG0000497	sp|Q92769|HDAC2_HUMAN	tr|A0A2K5ZYV4|A0A2K5ZYV4_MANLE
OG0000497	sp|Q13547|HDAC1_HUMAN	tr|A0A2K5YS57|A0A2K5YS57_MANLE, tr|A0A2K6AEA9|A0A2K6AEA9_MANLE, tr|A0A2K5ZI19|A0A2K5ZI19_MANLE
OG0000498	sp|O75122|CLAP2_HUMAN	tr|A0A2K5XVB1|A0A2K5XVB1_MANLE, tr|A0A2K5YNW2|A0A2K5YNW2_MANLE, tr|A0A2K6A5J3|A0A2K6A5J3_MANLE
OG0000498	sp|Q7Z460|CLAP1_HUMAN	tr|A0A2K6AK14|A0A2K6AK14_MANLE
OG0000499	sp|O95490|AGRL2_HUMAN	tr|A0A2K5YFR8|A0A2K5YFR8_MANLE
OG0000499	sp|Q9HAR2|AGRL3_HUMAN	tr|A0A2K5XTP8|A0A2K5XTP8_MANLE
OG0000499	sp|O94910|AGRL1_HUMAN	tr|A0A2K6A057|A0A2K6A057_MANLE
OG0000500	sp|P18507|GBRG2_HUMAN	tr|A0A2K5XNZ6|A0A2K5XNZ6_MANLE
OG0000500	sp|Q99928|GBRG3_HUMAN	tr|A0A2K5ZNG9|A0A2K5ZNG9_MANLE
OG0000500	sp|Q8N1C3|GBRG1_HUMAN	tr|A0A2K5Y3I5|A0A2K5Y3I5_MANLE
OG0000501	sp|P23528|COF1_HUMAN	tr|A0A2K5XBJ4|A0A2K5XBJ4_MANLE, tr|A0A2K5YWQ4|A0A2K5YWQ4_MANLE, tr|A0A2K5XR42|A0A2K5XR42_MANLE, tr|A0A2K5XKI8|A0A2K5XKI8_MANLE, tr|A0A2K5ZZH2|A0A2K5ZZH2_MANLE
OG0000502	sp|O95478|NSA2_HUMAN	tr|A0A2K5XA41|A0A2K5XA41_MANLE, tr|A0A2K5XJD7|A0A2K5XJD7_MANLE, tr|A0A2K5YJK8|A0A2K5YJK8_MANLE, tr|A0A2K5YSP9|A0A2K5YSP9_MANLE, tr|A0A2K5Z1T7|A0A2K5Z1T7_MANLE
OG0000503	sp|P05129|KPCG_HUMAN	tr|A0A2K5ZA71|A0A2K5ZA71_MANLE
OG0000503	sp|P17252|KPCA_HUMAN	tr|A0A2K5YZI3|A0A2K5YZI3_MANLE
OG0000503	sp|P05771|KPCB_HUMAN	tr|A0A2K5Z9H5|A0A2K5Z9H5_MANLE
OG0000504	sp|P62753|RS6_HUMAN	tr|A0A2K5XNM1|A0A2K5XNM1_MANLE, tr|A0A2K5Z0V5|A0A2K5Z0V5_MANLE, tr|A0A2K5ZWJ3|A0A2K5ZWJ3_MANLE, tr|A0A2K5ZPG7|A0A2K5ZPG7_MANLE, tr|A0A2K5ZVA3|A0A2K5ZVA3_MANLE
OG0000505	sp|Q13332|PTPRS_HUMAN	tr|A0A2K5XBZ9|A0A2K5XBZ9_MANLE
OG0000505	sp|P10586|PTPRF_HUMAN	tr|A0A2K5Y7Q0|A0A2K5Y7Q0_MANLE
OG0000505	sp|P23468|PTPRD_HUMAN	tr|A0A2K6A4P9|A0A2K6A4P9_MANLE
OG0000506	sp|P26439|3BHS2_HUMAN	tr|A0A2K5YIH1|A0A2K5YIH1_MANLE
OG0000506	sp|P14060|3BHS1_HUMAN	tr|A0A2K5ZVM5|A0A2K5ZVM5_MANLE, tr|A0A2K5Y4H9|A0A2K5Y4H9_MANLE, tr|A0A2K5YH57|A0A2K5YH57_MANLE
OG0000507	sp|O15143|ARC1B_HUMAN	tr|A0A2K6A381|A0A2K6A381_MANLE
OG0000507	sp|Q92747|ARC1A_HUMAN	tr|A0A2K5YHE5|A0A2K5YHE5_MANLE, tr|A0A2K5ZJX1|A0A2K5ZJX1_MANLE, tr|A0A2K5YNM7|A0A2K5YNM7_MANLE
OG0000508	sp|P60953|CDC42_HUMAN	tr|A0A2K6A6F2|A0A2K6A6F2_MANLE, tr|A0A2K5YSY0|A0A2K5YSY0_MANLE, tr|A0A2K5XXZ3|A0A2K5XXZ3_MANLE, tr|A0A2K5YS95|A0A2K5YS95_MANLE, tr|A0A2K6A3J4|A0A2K6A3J4_MANLE
OG0000509	sp|Q7L273|KCTD9_HUMAN	tr|A0A2K5YXE6|A0A2K5YXE6_MANLE, tr|A0A2K5ZVI4|A0A2K5ZVI4_MANLE, tr|A0A2K5YF27|A0A2K5YF27_MANLE, tr|A0A2K6AA38|A0A2K6AA38_MANLE, tr|A0A2K5Y5P4|A0A2K5Y5P4_MANLE
OG0000510	sp|P61978|HNRPK_HUMAN	tr|A0A2K6A2W9|A0A2K6A2W9_MANLE, tr|A0A2K6A4F6|A0A2K6A4F6_MANLE, tr|A0A2K6A4F5|A0A2K6A4F5_MANLE, tr|A0A2K6AGE3|A0A2K6AGE3_MANLE, tr|A0A2K5ZRK5|A0A2K5ZRK5_MANLE
OG0000511	sp|Q9UJS0|S2513_HUMAN	tr|A0A2K5ZP36|A0A2K5ZP36_MANLE
OG0000511	sp|O75746|S2512_HUMAN	tr|A0A2K5ZZL0|A0A2K5ZZL0_MANLE, tr|A0A2K5ZPH4|A0A2K5ZPH4_MANLE, tr|A0A2K5ZAM7|A0A2K5ZAM7_MANLE
OG0000512	sp|Q9H2J4|PDCL3_HUMAN	tr|A0A2K5Z9R9|A0A2K5Z9R9_MANLE, tr|A0A2K5XT40|A0A2K5XT40_MANLE, tr|A0A2K5ZWA4|A0A2K5ZWA4_MANLE, tr|A0A2K5ZVY3|A0A2K5ZVY3_MANLE, tr|A0A2K6ABH0|A0A2K6ABH0_MANLE
OG0000527	sp|Q6ZQQ2|S31D1_HUMAN	tr|A0A2K6ABW7|A0A2K6ABW7_MANLE
OG0000527	sp|P0C874|S31D3_HUMAN, sp|Q6ZUB0|S31D4_HUMAN	tr|A0A2K5YKU6|A0A2K5YKU6_MANLE
OG0000528	sp|Q7Z7K6|CENPV_HUMAN, sp|A0A0U1RRI6|CENL3_HUMAN, sp|A0A0U1RR11|CENL1_HUMAN, sp|P0DPI3|CENL2_HUMAN	tr|A0A2K5YXI2|A0A2K5YXI2_MANLE
OG0000529	sp|Q8N3U4|STAG2_HUMAN	tr|A0A2K5Z7A0|A0A2K5Z7A0_MANLE
OG0000529	sp|Q8TBR4|ST3L4_HUMAN, sp|Q8WVM7|STAG1_HUMAN	tr|A0A2K5YCP0|A0A2K5YCP0_MANLE
OG0000530	sp|P01034|CYTC_HUMAN, sp|P09228|CYTT_HUMAN, sp|P01037|CYTN_HUMAN, sp|P01036|CYTS_HUMAN	tr|A0A2K5Y8F4|A0A2K5Y8F4_MANLE
OG0000531	sp|O95199|RCBT2_HUMAN	tr|A0A2K5YY25|A0A2K5YY25_MANLE
OG0000531	sp|Q92834|RPGR_HUMAN, sp|Q8NDN9|RCBT1_HUMAN	tr|A0A2K5YB63|A0A2K5YB63_MANLE
OG0000532	sp|Q9Y4C2|TCAF1_HUMAN	tr|A0A2K5YQK1|A0A2K5YQK1_MANLE
OG0000532	sp|A6NFQ2|TCAF2_HUMAN, tr|A0A1B0GVM2|A0A1B0GVM2_HUMAN	tr|A0A2K6ADG4|A0A2K6ADG4_MANLE
OG0000533	sp|B3EWG3|FM25A_HUMAN, sp|B3EWG6|FM25G_HUMAN, sp|B3EWG5|FM25C_HUMAN, sp|A8MYX2|FM25E_HUMAN	tr|A0A2K5YJD7|A0A2K5YJD7_MANLE
OG0000534	sp|P50851|LRBA_HUMAN	tr|A0A2K5Y3U6|A0A2K5Y3U6_MANLE
OG0000534	sp|P0C6P0|BCL8_HUMAN, sp|Q8NFP9|NBEA_HUMAN	tr|A0A2K5Y8S3|A0A2K5Y8S3_MANLE
OG0000536	sp|P19784|CSK22_HUMAN	tr|A0A2K5XTX7|A0A2K5XTX7_MANLE
OG0000536	sp|Q8NEV1|CSK23_HUMAN, sp|P68400|CSK21_HUMAN	tr|A0A2K5ZH87|A0A2K5ZH87_MANLE
OG0000537	sp|Q9Y698|CCG2_HUMAN	tr|A0A2K5YK70|A0A2K5YK70_MANLE
OG0000537	sp|Q8WXS5|CCG8_HUMAN, sp|O60359|CCG3_HUMAN	tr|A0A2K5YY90|A0A2K5YY90_MANLE
OG0000538	sp|Q7Z7H5|TMED4_HUMAN	tr|A0A2K6ACB6|A0A2K6ACB6_MANLE
OG0000538	sp|Q9BVK6|TMED9_HUMAN	tr|A0A2K5YKK4|A0A2K5YKK4_MANLE, tr|A0A2K5ZGF2|A0A2K5ZGF2_MANLE
OG0000539	sp|Q9NR31|SAR1A_HUMAN	tr|A0A2K5ZLT6|A0A2K5ZLT6_MANLE
OG0000539	sp|Q9Y6B6|SAR1B_HUMAN	tr|A0A2K5ZFZ5|A0A2K5ZFZ5_MANLE, tr|A0A2K5ZLX3|A0A2K5ZLX3_MANLE
OG0000540	sp|F8VTS6|RFAL1_HUMAN, sp|A6NLU0|RFPLA_HUMAN	tr|A0A2K5YC18|A0A2K5YC18_MANLE, tr|A0A2K5XLK7|A0A2K5XLK7_MANLE, tr|A0A2K5YU44|A0A2K5YU44_MANLE
OG0000541	sp|P62910|RL32_HUMAN	tr|A0A2K5XR53|A0A2K5XR53_MANLE, tr|A0A2K5XKN3|A0A2K5XKN3_MANLE, tr|A0A2K5YTR0|A0A2K5YTR0_MANLE, tr|A0A2K5XSC3|A0A2K5XSC3_MANLE
OG0000543	sp|Q5H9J9|T11X2_HUMAN	tr|A0A2K5YCW5|A0A2K5YCW5_MANLE
OG0000543	sp|B4DZS4|T11X1_HUMAN, sp|Q8WWU5|TCP11_HUMAN	tr|A0A2K5ZMQ1|A0A2K5ZMQ1_MANLE
OG0000544	sp|Q96RL6|SIG11_HUMAN	tr|A0A2K5Z7J8|A0A2K5Z7J8_MANLE
OG0000544	sp|A6NMB1|SIG16_HUMAN, sp|Q96LC7|SIG10_HUMAN	tr|A0A2K5ZKL9|A0A2K5ZKL9_MANLE
OG0000545	sp|P25440|BRD2_HUMAN	tr|A0A2K5YH89|A0A2K5YH89_MANLE, tr|A0A2K6A8M8|A0A2K6A8M8_MANLE
OG0000545	sp|Q15059|BRD3_HUMAN	tr|A0A2K5XKP2|A0A2K5XKP2_MANLE
OG0000546	sp|Q8N988|ZN557_HUMAN	tr|A0A2K5ZZQ3|A0A2K5ZZQ3_MANLE
OG0000546	sp|A6NDX5|ZN840_HUMAN, sp|Q96NG5|ZN558_HUMAN	tr|A0A2K5YM30|A0A2K5YM30_MANLE
OG0000547	sp|Q5VZR4|MF14C_HUMAN, sp|Q5SR56|MF14B_HUMAN	tr|A0A2K5XPP3|A0A2K5XPP3_MANLE
