Orthogroup	Homo_sapiens	Molossus_molossus
OG0001076	sp|P09429|HMGB1_HUMAN, sp|P23497|SP100_HUMAN, sp|B2RPK0|HGB1A_HUMAN	tr|A0A7J8FYD4|A0A7J8FYD4_MOLMO
OG0001077	sp|Q13454|TUSC3_HUMAN	tr|A0A7J8GMA8|A0A7J8GMA8_MOLMO
OG0001077	sp|Q9H0U3|MAGT1_HUMAN	tr|A0A7J8J807|A0A7J8J807_MOLMO
OG0001078	sp|Q13464|ROCK1_HUMAN	tr|A0A7J8HKE5|A0A7J8HKE5_MOLMO
OG0001078	sp|O75116|ROCK2_HUMAN	tr|A0A7J8E473|A0A7J8E473_MOLMO
OG0001079	sp|Q9NR77|PXMP2_HUMAN, sp|Q2QL34|MP17L_HUMAN, sp|P39210|MPV17_HUMAN	tr|A0A7J8BZC3|A0A7J8BZC3_MOLMO
OG0001080	sp|Q6ZQY3|GADL1_HUMAN	tr|A0A7J8DB56|A0A7J8DB56_MOLMO
OG0001080	sp|Q9Y600|CSAD_HUMAN	tr|A0A7J8FWN2|A0A7J8FWN2_MOLMO
OG0001081	sp|Q7Z442|PK1L2_HUMAN	tr|A0A7J8C8V0|A0A7J8C8V0_MOLMO
OG0001081	sp|Q7Z443|PK1L3_HUMAN	tr|A0A7J8CA14|A0A7J8CA14_MOLMO
OG0001082	sp|Q8IYK4|GT252_HUMAN	tr|A0A7J8CQ94|A0A7J8CQ94_MOLMO
OG0001082	sp|Q8NBJ5|GT251_HUMAN	tr|A0A7J8I4N7|A0A7J8I4N7_MOLMO
OG0001083	sp|P49758|RGS6_HUMAN	tr|A0A7J8JZG7|A0A7J8JZG7_MOLMO
OG0001083	sp|P49802|RGS7_HUMAN	tr|A0A7J8BNK2|A0A7J8BNK2_MOLMO
OG0001084	sp|Q16644|MAPK3_HUMAN	tr|A0A7J8DCK4|A0A7J8DCK4_MOLMO
OG0001084	sp|P49137|MAPK2_HUMAN	tr|A0A7J8CS34|A0A7J8CS34_MOLMO
OG0001085	sp|Q9H920|RN121_HUMAN	tr|A0A7J8EU09|A0A7J8EU09_MOLMO
OG0001085	sp|Q8N4F7|RN175_HUMAN	tr|A0A7J8IBA9|A0A7J8IBA9_MOLMO
OG0001086	sp|Q9Y4G6|TLN2_HUMAN	tr|A0A7J8K1X8|A0A7J8K1X8_MOLMO
OG0001086	sp|Q9Y490|TLN1_HUMAN	tr|A0A7J8EGL6|A0A7J8EGL6_MOLMO
OG0001088	sp|P43353|AL3B1_HUMAN	tr|A0A7J8ES26|A0A7J8ES26_MOLMO
OG0001088	sp|P48448|AL3B2_HUMAN	tr|A0A7J8ESP4|A0A7J8ESP4_MOLMO
OG0001089	sp|P56750|CLD17_HUMAN	tr|A0A7J8HZ63|A0A7J8HZ63_MOLMO
OG0001089	sp|P56748|CLD8_HUMAN	tr|A0A7J8HZ60|A0A7J8HZ60_MOLMO
OG0001090	sp|Q8NG50|RDM1_HUMAN	tr|A0A7J8D1C6|A0A7J8D1C6_MOLMO
OG0001090	sp|Q4G112|HSF5_HUMAN	tr|A0A7J8CYW8|A0A7J8CYW8_MOLMO
OG0001091	sp|Q5TAQ9|DCAF8_HUMAN, sp|P0C7V8|DC8L2_HUMAN, sp|A6NGE4|DC8L1_HUMAN	tr|A0A7J8CRX2|A0A7J8CRX2_MOLMO
OG0001092	sp|Q86WT1|TT30A_HUMAN, sp|Q8N4P2|TT30B_HUMAN	tr|A0A7J8FUJ9|A0A7J8FUJ9_MOLMO, tr|A0A7J8FUP1|A0A7J8FUP1_MOLMO
OG0001093	sp|Q8N9E0|F133A_HUMAN	tr|A0A7J8J5S8|A0A7J8J5S8_MOLMO
OG0001093	sp|Q5BKY9|F133B_HUMAN	tr|A0A7J8HBH5|A0A7J8HBH5_MOLMO
OG0001094	sp|P02511|CRYAB_HUMAN, tr|A0A096LPJ9|A0A096LPJ9_HUMAN, sp|P02489|CRYAA_HUMAN	tr|A0A7J8EPB9|A0A7J8EPB9_MOLMO
OG0001095	sp|P06748|NPM_HUMAN	tr|A0A7J8IB28|A0A7J8IB28_MOLMO, tr|A0A7J8J7L2|A0A7J8J7L2_MOLMO, tr|A0A7J8ER86|A0A7J8ER86_MOLMO
OG0001096	sp|Q9NRH3|TBG2_HUMAN	tr|A0A7J8D3G4|A0A7J8D3G4_MOLMO
OG0001096	sp|P23258|TBG1_HUMAN	tr|A0A7J8D3Q6|A0A7J8D3Q6_MOLMO
OG0001097	sp|P48751|B3A3_HUMAN	tr|A0A7J8FU13|A0A7J8FU13_MOLMO
OG0001097	sp|P04920|B3A2_HUMAN	tr|A0A7J8HDE4|A0A7J8HDE4_MOLMO
OG0001098	sp|P61163|ACTZ_HUMAN	tr|A0A7J8DNC4|A0A7J8DNC4_MOLMO
OG0001098	sp|P42025|ACTY_HUMAN	tr|A0A7J8E057|A0A7J8E057_MOLMO
OG0001099	sp|Q8TD47|RS4Y2_HUMAN, sp|P22090|RS4Y1_HUMAN, sp|P62701|RS4X_HUMAN	tr|A0A7J8J949|A0A7J8J949_MOLMO
OG0001100	sp|O75185|AT2C2_HUMAN	tr|A0A7J8C5N4|A0A7J8C5N4_MOLMO
OG0001100	sp|P98194|AT2C1_HUMAN	tr|A0A7J8DA63|A0A7J8DA63_MOLMO
OG0001101	sp|Q5VTQ0|TT39B_HUMAN	tr|A0A7J8EH05|A0A7J8EH05_MOLMO
OG0001101	sp|Q5SRH9|TT39A_HUMAN	tr|A0A7J8FD54|A0A7J8FD54_MOLMO
OG0001102	sp|P15170|ERF3A_HUMAN	tr|A0A7J8IY49|A0A7J8IY49_MOLMO
OG0001102	sp|Q8IYD1|ERF3B_HUMAN	tr|A0A7J8J5T9|A0A7J8J5T9_MOLMO
OG0001103	sp|Q8TDM5|SACA4_HUMAN	tr|A0A7J8CB89|A0A7J8CB89_MOLMO, tr|A0A7J8J9L0|A0A7J8J9L0_MOLMO, tr|A0A7J8J863|A0A7J8J863_MOLMO
OG0001104	sp|Q96JB1|DYH8_HUMAN	tr|A0A7J8GQ08|A0A7J8GQ08_MOLMO
OG0001104	sp|Q8TE73|DYH5_HUMAN	tr|A0A7J8IY09|A0A7J8IY09_MOLMO
OG0001105	sp|Q92879|CELF1_HUMAN	tr|A0A7J8EP39|A0A7J8EP39_MOLMO
OG0001105	sp|O95319|CELF2_HUMAN	tr|A0A7J8JT13|A0A7J8JT13_MOLMO
OG0001106	sp|P31321|KAP1_HUMAN	tr|A0A7J8IBF3|A0A7J8IBF3_MOLMO
OG0001106	sp|P10644|KAP0_HUMAN	tr|A0A7J8D1G1|A0A7J8D1G1_MOLMO
OG0001107	sp|Q5JSJ4|INT6L_HUMAN	tr|A0A7J8J5X9|A0A7J8J5X9_MOLMO
OG0001107	sp|Q9UL03|INT6_HUMAN	tr|A0A7J8GKM9|A0A7J8GKM9_MOLMO
OG0001108	sp|Q6PKG0|LARP1_HUMAN	tr|A0A7J8I8U0|A0A7J8I8U0_MOLMO
OG0001108	sp|Q659C4|LAR1B_HUMAN	tr|A0A7J8I7M4|A0A7J8I7M4_MOLMO
OG0001109	sp|Q8TDD5|MCLN3_HUMAN	tr|A0A7J8FB51|A0A7J8FB51_MOLMO
OG0001109	sp|Q8IZK6|MCLN2_HUMAN	tr|A0A7J8F9U4|A0A7J8F9U4_MOLMO
OG0001110	sp|Q96PF2|TSSK2_HUMAN, sp|Q9BXA7|TSSK1_HUMAN, sp|Q96PN8|TSSK3_HUMAN	tr|A0A7J8FE89|A0A7J8FE89_MOLMO
OG0001111	sp|P30988|CALCR_HUMAN	tr|A0A7J8H9I9|A0A7J8H9I9_MOLMO
OG0001111	sp|Q16602|CALRL_HUMAN	tr|A0A7J8FQD1|A0A7J8FQD1_MOLMO
OG0001112	sp|Q0VDD8|DYH14_HUMAN	tr|A0A7J8BLG2|A0A7J8BLG2_MOLMO
OG0001112	sp|Q9C0G6|DYH6_HUMAN	tr|A0A7J8E182|A0A7J8E182_MOLMO
OG0001113	sp|P59047|NALP5_HUMAN	tr|A0A7J8C9P2|A0A7J8C9P2_MOLMO
OG0001113	sp|Q86W24|NAL14_HUMAN	tr|A0A7J8ES77|A0A7J8ES77_MOLMO
OG0001114	sp|Q8N9I0|SYT2_HUMAN	tr|A0A7J8BNR3|A0A7J8BNR3_MOLMO
OG0001114	sp|P21579|SYT1_HUMAN	tr|A0A7J8G1K7|A0A7J8G1K7_MOLMO
OG0001115	sp|P43681|ACHA4_HUMAN	tr|A0A7J8HF84|A0A7J8HF84_MOLMO
OG0001115	sp|Q15822|ACHA2_HUMAN	tr|A0A7J8I649|A0A7J8I649_MOLMO
OG0001116	sp|P46020|KPB1_HUMAN	tr|A0A7J8J8M5|A0A7J8J8M5_MOLMO
OG0001116	sp|P46019|KPB2_HUMAN	tr|A0A7J8J897|A0A7J8J897_MOLMO
OG0001117	sp|P55286|CADH8_HUMAN	tr|A0A7J8BKR7|A0A7J8BKR7_MOLMO
OG0001117	sp|P55287|CAD11_HUMAN	tr|A0A7J8C686|A0A7J8C686_MOLMO
OG0001118	sp|Q8IUQ0|CLVS1_HUMAN	tr|A0A7J8DT40|A0A7J8DT40_MOLMO
OG0001118	sp|Q5SYC1|CLVS2_HUMAN	tr|A0A7J8GP23|A0A7J8GP23_MOLMO
OG0001119	sp|Q6MZW2|FSTL4_HUMAN	tr|A0A7J8I600|A0A7J8I600_MOLMO
OG0001119	sp|Q8N475|FSTL5_HUMAN	tr|A0A7J8I7J7|A0A7J8I7J7_MOLMO
OG0001120	sp|O94818|NOL4_HUMAN	tr|A0A7J8HJX2|A0A7J8HJX2_MOLMO
OG0001120	sp|Q96MY1|NOL4L_HUMAN	tr|A0A7J8HI74|A0A7J8HI74_MOLMO
OG0001121	sp|O94830|DDHD2_HUMAN	tr|A0A7J8GK73|A0A7J8GK73_MOLMO
OG0001121	sp|Q9Y6Y8|S23IP_HUMAN	tr|A0A7J8DR99|A0A7J8DR99_MOLMO
OG0001122	sp|Q49A17|GLTL6_HUMAN	tr|A0A7J8I806|A0A7J8I806_MOLMO
OG0001122	sp|Q86SR1|GLT10_HUMAN	tr|A0A7J8I648|A0A7J8I648_MOLMO
OG0001123	sp|Q8TF64|GIPC3_HUMAN	tr|A0A7J8I778|A0A7J8I778_MOLMO
OG0001123	sp|O14908|GIPC1_HUMAN	tr|A0A7J8I6G0|A0A7J8I6G0_MOLMO
OG0001124	sp|Q8WVX9|FACR1_HUMAN	tr|A0A7J8EQ08|A0A7J8EQ08_MOLMO
OG0001124	sp|Q96K12|FACR2_HUMAN	tr|A0A7J8FXA6|A0A7J8FXA6_MOLMO
OG0001125	sp|Q9Y5Y0|FLVC1_HUMAN	tr|A0A7J8CQT2|A0A7J8CQT2_MOLMO
OG0001125	sp|Q9UPI3|FLVC2_HUMAN	tr|A0A7J8JUG0|A0A7J8JUG0_MOLMO
OG0001127	sp|Q6UXN2|TRML4_HUMAN, sp|O95944|NCTR2_HUMAN, sp|Q5T2D2|TRML2_HUMAN	tr|A0A7J8GQH5|A0A7J8GQH5_MOLMO
OG0001128	sp|P05114|HMGN1_HUMAN	tr|A0A7J8I0G6|A0A7J8I0G6_MOLMO, tr|A0A7J8HGG1|A0A7J8HGG1_MOLMO, tr|A0A7J8C7P3|A0A7J8C7P3_MOLMO
OG0001129	sp|P16109|LYAM3_HUMAN	tr|A0A7J8CTV8|A0A7J8CTV8_MOLMO
OG0001129	sp|P16581|LYAM2_HUMAN	tr|A0A7J8CTV4|A0A7J8CTV4_MOLMO
OG0001130	sp|Q8TAP4|LMO3_HUMAN	tr|A0A7J8FZF6|A0A7J8FZF6_MOLMO
OG0001130	sp|P25800|RBTN1_HUMAN	tr|A0A7J8EQW6|A0A7J8EQW6_MOLMO
OG0001131	sp|Q16706|MA2A1_HUMAN	tr|A0A7J8IZV6|A0A7J8IZV6_MOLMO
OG0001131	sp|P49641|MA2A2_HUMAN	tr|A0A7J8BLF1|A0A7J8BLF1_MOLMO
OG0001132	sp|Q9HCQ5|GALT9_HUMAN	tr|A0A7J8BXW6|A0A7J8BXW6_MOLMO
OG0001132	sp|Q6IS24|GLT17_HUMAN	tr|A0A7J8IZ43|A0A7J8IZ43_MOLMO
OG0001133	sp|Q8TDI7|TMC2_HUMAN	tr|A0A7J8HLG8|A0A7J8HLG8_MOLMO
OG0001133	sp|Q8TDI8|TMC1_HUMAN	tr|A0A7J8EGX0|A0A7J8EGX0_MOLMO
OG0001134	sp|Q8IU85|KCC1D_HUMAN	tr|A0A7J8JT34|A0A7J8JT34_MOLMO
OG0001134	sp|Q14012|KCC1A_HUMAN	tr|A0A7J8DAG2|A0A7J8DAG2_MOLMO
OG0001135	sp|Q8TE59|ATS19_HUMAN	tr|A0A7J8I467|A0A7J8I467_MOLMO
OG0001135	sp|Q8TE56|ATS17_HUMAN	tr|A0A7J8BJN4|A0A7J8BJN4_MOLMO
OG0001136	sp|Q6RI45|BRWD3_HUMAN	tr|A0A7J8J4L0|A0A7J8J4L0_MOLMO
OG0001136	sp|Q8WWQ0|PHIP_HUMAN	tr|A0A7J8GRX5|A0A7J8GRX5_MOLMO
OG0001137	sp|Q9NRF8|PYRG2_HUMAN	tr|A0A7J8J542|A0A7J8J542_MOLMO
OG0001137	sp|P17812|PYRG1_HUMAN	tr|A0A7J8F870|A0A7J8F870_MOLMO
OG0001138	sp|Q9Y4I1|MYO5A_HUMAN	tr|A0A7J8JX72|A0A7J8JX72_MOLMO
OG0001138	sp|Q9ULV0|MYO5B_HUMAN	tr|A0A7J8HIF0|A0A7J8HIF0_MOLMO
OG0001139	sp|O95907|MOT3_HUMAN	tr|A0A7J8G1N2|A0A7J8G1N2_MOLMO
OG0001139	sp|O15427|MOT4_HUMAN	tr|A0A7J8D2K4|A0A7J8D2K4_MOLMO
OG0001140	sp|A6NMY6|AXA2L_HUMAN, sp|P07355|ANXA2_HUMAN	tr|A0A7J8JQ16|A0A7J8JQ16_MOLMO, tr|A0A7J8JRN0|A0A7J8JRN0_MOLMO
OG0001141	sp|Q96DX8|RTP4_HUMAN, sp|Q14D33|RTP5_HUMAN, sp|Q9BQQ7|RTP3_HUMAN	tr|A0A7J8I2E2|A0A7J8I2E2_MOLMO
OG0001142	sp|P48169|GBRA4_HUMAN	tr|A0A7J8JTJ0|A0A7J8JTJ0_MOLMO
OG0001142	sp|Q16445|GBRA6_HUMAN	tr|A0A7J8I6Y3|A0A7J8I6Y3_MOLMO
OG0001143	sp|Q8IUX7|AEBP1_HUMAN	tr|A0A7J8H9A8|A0A7J8H9A8_MOLMO
OG0001143	sp|Q8N436|CPXM2_HUMAN	tr|A0A7J8DNK5|A0A7J8DNK5_MOLMO
OG0001144	sp|Q8TE49|OTU7A_HUMAN	tr|A0A7J8BKL8|A0A7J8BKL8_MOLMO
OG0001144	sp|Q6GQQ9|OTU7B_HUMAN	tr|A0A7J8CSN8|A0A7J8CSN8_MOLMO
OG0001145	sp|Q9Y217|MTMR6_HUMAN	tr|A0A7J8FZR4|A0A7J8FZR4_MOLMO
OG0001145	sp|Q96EF0|MTMR8_HUMAN	tr|A0A7J8J864|A0A7J8J864_MOLMO
OG0001146	sp|Q9Y5V3|MAGD1_HUMAN, sp|Q12816|TROP_HUMAN, sp|Q96JG8|MAGD4_HUMAN	tr|A0A7J8J7W8|A0A7J8J7W8_MOLMO
OG0001147	sp|O75323|NIPS2_HUMAN	tr|A0A7J8J1H3|A0A7J8J1H3_MOLMO
OG0001147	sp|Q9BPW8|NIPS1_HUMAN	tr|A0A7J8BYY4|A0A7J8BYY4_MOLMO
OG0001148	sp|P62508|ERR3_HUMAN	tr|A0A7J8BMR9|A0A7J8BMR9_MOLMO
OG0001148	sp|O95718|ERR2_HUMAN	tr|A0A7J8JSY1|A0A7J8JSY1_MOLMO
OG0001149	sp|P06396|GELS_HUMAN	tr|A0A7J8EDW3|A0A7J8EDW3_MOLMO
OG0001149	sp|Q9Y6U3|SCIN_HUMAN	tr|A0A7J8HD77|A0A7J8HD77_MOLMO
OG0001150	sp|P31260|HXA10_HUMAN, sp|Q9NYD6|HXC10_HUMAN, sp|P28358|HXD10_HUMAN	tr|A0A7J8FR82|A0A7J8FR82_MOLMO
OG0001151	sp|P36544|ACHA7_HUMAN, tr|A0A1W2PN81|A0A1W2PN81_HUMAN, sp|Q494W8|CRFM7_HUMAN	tr|A0A7J8BJV2|A0A7J8BJV2_MOLMO
OG0001152	sp|Q8IVE3|PKHH2_HUMAN	tr|A0A7J8E4G6|A0A7J8E4G6_MOLMO
OG0001152	sp|Q9ULM0|PKHH1_HUMAN	tr|A0A7J8JYP9|A0A7J8JYP9_MOLMO
OG0001153	sp|Q9UI32|GLSL_HUMAN	tr|A0A7J8FZY0|A0A7J8FZY0_MOLMO
OG0001153	sp|O94925|GLSK_HUMAN	tr|A0A7J8FRC4|A0A7J8FRC4_MOLMO
OG0001154	sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NH57|O52P1_HUMAN	tr|A0A7J8ESH9|A0A7J8ESH9_MOLMO
OG0001155	sp|Q86VQ6|TRXR3_HUMAN, sp|Q16881|TRXR1_HUMAN, sp|Q9NNW7|TRXR2_HUMAN	tr|A0A7J8HHU7|A0A7J8HHU7_MOLMO
OG0001156	sp|Q9ULW2|FZD10_HUMAN	tr|A0A7J8BX23|A0A7J8BX23_MOLMO
OG0001156	sp|O00144|FZD9_HUMAN	tr|A0A7J8IZG4|A0A7J8IZG4_MOLMO
OG0001158	sp|P36897|TGFR1_HUMAN	tr|A0A7J8EGR3|A0A7J8EGR3_MOLMO
OG0001158	sp|P36896|ACV1B_HUMAN	tr|A0A7J8FWJ9|A0A7J8FWJ9_MOLMO
OG0001159	sp|Q504Y3|ZCPW2_HUMAN	tr|A0A7J8GKY4|A0A7J8GKY4_MOLMO, tr|A0A7J8BLB0|A0A7J8BLB0_MOLMO, tr|A0A7J8DEG5|A0A7J8DEG5_MOLMO
OG0001160	sp|Q96HU8|DIRA2_HUMAN	tr|A0A7J8BJG7|A0A7J8BJG7_MOLMO
OG0001160	sp|O95057|DIRA1_HUMAN	tr|A0A7J8I5V9|A0A7J8I5V9_MOLMO
OG0001161	sp|Q9BWM7|SFXN3_HUMAN	tr|A0A7J8DRK2|A0A7J8DRK2_MOLMO
OG0001161	sp|Q9H9B4|SFXN1_HUMAN	tr|A0A7J8ICF0|A0A7J8ICF0_MOLMO
OG0001162	sp|Q13591|SEM5A_HUMAN	tr|A0A7J8J238|A0A7J8J238_MOLMO
OG0001162	sp|Q9P283|SEM5B_HUMAN	tr|A0A7J8I2H6|A0A7J8I2H6_MOLMO
OG0001163	sp|Q9NTI5|PDS5B_HUMAN	tr|A0A7J8GLK2|A0A7J8GLK2_MOLMO
OG0001163	sp|Q29RF7|PDS5A_HUMAN	tr|A0A7J8K0H3|A0A7J8K0H3_MOLMO
OG0001164	sp|O75339|CILP1_HUMAN	tr|A0A7J8JSK2|A0A7J8JSK2_MOLMO
OG0001164	sp|Q8IUL8|CILP2_HUMAN	tr|A0A7J8I5E1|A0A7J8I5E1_MOLMO
OG0001165	sp|Q92819|HYAS2_HUMAN	tr|A0A7J8DSY0|A0A7J8DSY0_MOLMO
OG0001165	sp|O00219|HYAS3_HUMAN	tr|A0A7J8C7S2|A0A7J8C7S2_MOLMO
OG0001166	sp|Q9BY11|PACN1_HUMAN	tr|A0A7J8GRZ7|A0A7J8GRZ7_MOLMO
OG0001166	sp|Q9UNF0|PACN2_HUMAN	tr|A0A7J8FZW1|A0A7J8FZW1_MOLMO
OG0001167	sp|Q86UR5|RIMS1_HUMAN	tr|A0A7J8GTT1|A0A7J8GTT1_MOLMO
OG0001167	sp|Q9UQ26|RIMS2_HUMAN	tr|A0A7J8DUA7|A0A7J8DUA7_MOLMO
OG0001168	sp|O00154|BACH_HUMAN, sp|Q6ZUV0|BACHL_HUMAN	tr|A0A7J8GKW5|A0A7J8GKW5_MOLMO, tr|A0A7J8F5Y4|A0A7J8F5Y4_MOLMO
OG0001169	sp|O94855|SC24D_HUMAN	tr|A0A7J8ICC5|A0A7J8ICC5_MOLMO
OG0001169	sp|P53992|SC24C_HUMAN	tr|A0A7J8DRK4|A0A7J8DRK4_MOLMO
OG0001171	sp|Q13480|GAB1_HUMAN, sp|Q9UQC2|GAB2_HUMAN, sp|Q2WGN9|GAB4_HUMAN	tr|A0A7J8I658|A0A7J8I658_MOLMO
OG0001172	sp|Q5VWW1|C1QL3_HUMAN	tr|A0A7J8JT02|A0A7J8JT02_MOLMO
OG0001172	sp|O75973|C1QRF_HUMAN	tr|A0A7J8CVZ2|A0A7J8CVZ2_MOLMO
OG0001173	sp|Q9Y3R0|GRIP1_HUMAN	tr|A0A7J8FXQ4|A0A7J8FXQ4_MOLMO
OG0001173	sp|Q9C0E4|GRIP2_HUMAN	tr|A0A7J8DBS1|A0A7J8DBS1_MOLMO
OG0001174	sp|P84022|SMAD3_HUMAN	tr|A0A7J8K1X0|A0A7J8K1X0_MOLMO
OG0001174	sp|Q15796|SMAD2_HUMAN	tr|A0A7J8HKX5|A0A7J8HKX5_MOLMO
OG0001175	sp|Q8IYY4|DZI1L_HUMAN	tr|A0A7J8DAW5|A0A7J8DAW5_MOLMO
OG0001175	sp|Q86YF9|DZIP1_HUMAN	tr|A0A7J8GKX7|A0A7J8GKX7_MOLMO
OG0001176	sp|P50502|F10A1_HUMAN, sp|Q8NFI4|F10A5_HUMAN, sp|Q8IZP2|ST134_HUMAN	tr|A0A7J8G1V2|A0A7J8G1V2_MOLMO
OG0001177	sp|O75923|DYSF_HUMAN	tr|A0A7J8E172|A0A7J8E172_MOLMO
OG0001177	sp|Q9NZM1|MYOF_HUMAN	tr|A0A7J8DR33|A0A7J8DR33_MOLMO
OG0001178	sp|Q9Y3P9|RBGP1_HUMAN	tr|A0A7J8EFK2|A0A7J8EFK2_MOLMO
OG0001178	sp|Q5R372|RBG1L_HUMAN	tr|A0A7J8CTL8|A0A7J8CTL8_MOLMO
OG0001179	sp|Q9HCN6|GPVI_HUMAN, sp|P24071|FCAR_HUMAN, sp|B6A8C7|TARM1_HUMAN	tr|A0A7J8C7K3|A0A7J8C7K3_MOLMO
OG0001180	sp|P41162|ETV3_HUMAN	tr|A0A7J8CQG3|A0A7J8CQG3_MOLMO
OG0001180	sp|P50548|ERF_HUMAN	tr|A0A7J8CQP2|A0A7J8CQP2_MOLMO
OG0001181	sp|Q5SVS4|KMCP1_HUMAN	tr|A0A7J8GLM8|A0A7J8GLM8_MOLMO
OG0001181	sp|O95258|UCP5_HUMAN	tr|A0A7J8J7Y8|A0A7J8J7Y8_MOLMO
OG0001182	sp|Q7Z553|MDGA2_HUMAN	tr|A0A7J8JWX4|A0A7J8JWX4_MOLMO
OG0001182	sp|Q8NFP4|MDGA1_HUMAN	tr|A0A7J8GS94|A0A7J8GS94_MOLMO
OG0001183	sp|Q9HC58|NCKX3_HUMAN	tr|A0A7J8HK99|A0A7J8HK99_MOLMO
OG0001183	sp|Q8NFF2|NCKX4_HUMAN	tr|A0A7J8K1P1|A0A7J8K1P1_MOLMO
OG0001184	sp|Q96BM9|ARL8A_HUMAN	tr|A0A7J8BL35|A0A7J8BL35_MOLMO
OG0001184	sp|Q9NVJ2|ARL8B_HUMAN	tr|A0A7J8DA53|A0A7J8DA53_MOLMO
OG0001185	sp|P09327|VILI_HUMAN	tr|A0A7J8FUJ6|A0A7J8FUJ6_MOLMO
OG0001185	sp|O75366|AVIL_HUMAN	tr|A0A7J8FVJ4|A0A7J8FVJ4_MOLMO
OG0001186	sp|P33908|MA1A1_HUMAN	tr|A0A7J8GS89|A0A7J8GS89_MOLMO
OG0001186	sp|O60476|MA1A2_HUMAN	tr|A0A7J8CSJ0|A0A7J8CSJ0_MOLMO
OG0001187	sp|Q6P9F7|LRC8B_HUMAN	tr|A0A7J8F9W8|A0A7J8F9W8_MOLMO
OG0001187	sp|Q8IWT6|LRC8A_HUMAN	tr|A0A7J8EET0|A0A7J8EET0_MOLMO
OG0001188	sp|Q86X29|LSR_HUMAN, sp|Q71H61|ILDR2_HUMAN, sp|Q86SU0|ILDR1_HUMAN	tr|A0A7J8C948|A0A7J8C948_MOLMO
OG0001189	sp|Q8IVU1|IGDC3_HUMAN, sp|Q8TDY8|IGDC4_HUMAN, sp|Q2VWP7|PRTG_HUMAN	tr|A0A7J8K0D4|A0A7J8K0D4_MOLMO
OG0001190	sp|P49590|SYHM_HUMAN	tr|A0A7J8I7V5|A0A7J8I7V5_MOLMO
OG0001190	sp|P12081|HARS1_HUMAN	tr|A0A7J8I6Q0|A0A7J8I6Q0_MOLMO
OG0001191	sp|Q8WXR4|MYO3B_HUMAN	tr|A0A7J8FTH2|A0A7J8FTH2_MOLMO
OG0001191	sp|Q8NEV4|MYO3A_HUMAN	tr|A0A7J8JVH6|A0A7J8JVH6_MOLMO
OG0001192	sp|Q96BD6|SPSB1_HUMAN	tr|A0A7J8FBU3|A0A7J8FBU3_MOLMO
OG0001192	sp|Q96A44|SPSB4_HUMAN	tr|A0A7J8DDN1|A0A7J8DDN1_MOLMO
OG0001193	sp|Q6P1Q9|MET2B_HUMAN, sp|Q96IZ6|MET2A_HUMAN	tr|A0A7J8D076|A0A7J8D076_MOLMO, tr|A0A7J8JWZ9|A0A7J8JWZ9_MOLMO
OG0001194	sp|Q9H0M0|WWP1_HUMAN	tr|A0A7J8DVG4|A0A7J8DVG4_MOLMO
OG0001194	sp|Q96J02|ITCH_HUMAN	tr|A0A7J8HGE0|A0A7J8HGE0_MOLMO
OG0001195	sp|P0CG47|UBB_HUMAN	tr|A0A7J8BK42|A0A7J8BK42_MOLMO
OG0001195	sp|P0CG48|UBC_HUMAN	tr|A0A7J8C0I1|A0A7J8C0I1_MOLMO
OG0001196	sp|P56545|CTBP2_HUMAN	tr|A0A7J8DPA1|A0A7J8DPA1_MOLMO
OG0001196	sp|Q13363|CTBP1_HUMAN	tr|A0A7J8JRX0|A0A7J8JRX0_MOLMO
OG0001197	sp|Q13574|DGKZ_HUMAN	tr|A0A7J8EQ45|A0A7J8EQ45_MOLMO
OG0001197	sp|O75912|DGKI_HUMAN	tr|A0A7J8HA60|A0A7J8HA60_MOLMO
OG0001198	sp|Q8NCG5|CHST4_HUMAN, sp|Q9GZS9|CHST5_HUMAN, sp|Q9GZX3|CHST6_HUMAN	tr|A0A7J8C6H5|A0A7J8C6H5_MOLMO
OG0001199	sp|P36959|GMPR1_HUMAN	tr|A0A7J8F7Y5|A0A7J8F7Y5_MOLMO
OG0001199	sp|Q9P2T1|GMPR2_HUMAN	tr|A0A7J8JUI7|A0A7J8JUI7_MOLMO
OG0001200	sp|P07996|TSP1_HUMAN	tr|A0A7J8K1R2|A0A7J8K1R2_MOLMO
OG0001200	sp|P35442|TSP2_HUMAN	tr|A0A7J8GUV0|A0A7J8GUV0_MOLMO
OG0001202	sp|P0CK96|S352B_HUMAN, sp|P0CK97|S35E2_HUMAN, sp|Q96K37|S35E1_HUMAN	tr|A0A7J8B8A8|A0A7J8B8A8_MOLMO
OG0001203	sp|Q8TAG9|EXOC6_HUMAN	tr|A0A7J8DNP1|A0A7J8DNP1_MOLMO
OG0001203	sp|Q9Y2D4|EXC6B_HUMAN	tr|A0A7J8E1L4|A0A7J8E1L4_MOLMO
OG0001204	sp|Q9H4A6|GOLP3_HUMAN	tr|A0A7J8IY47|A0A7J8IY47_MOLMO
OG0001204	sp|Q9H4A5|GLP3L_HUMAN	tr|A0A7J8CQU7|A0A7J8CQU7_MOLMO
OG0001205	sp|Q01959|SC6A3_HUMAN	tr|A0A7J8J3M9|A0A7J8J3M9_MOLMO
OG0001205	sp|P23975|SC6A2_HUMAN	tr|A0A7J8CB46|A0A7J8CB46_MOLMO
