Orthogroup	Homo_sapiens	Suricata_suricatta
OG0001298	sp|Q8TAG9|EXOC6_HUMAN	tr|A0A673TKD4|A0A673TKD4_SURSU
OG0001299	sp|P23975|SC6A2_HUMAN	tr|A0A673V9J0|A0A673V9J0_SURSU
OG0001299	sp|Q01959|SC6A3_HUMAN	tr|A0A673SXY8|A0A673SXY8_SURSU
OG0001300	sp|Q5JWF2|GNAS1_HUMAN	tr|A0A673V884|A0A673V884_SURSU
OG0001300	sp|P38405|GNAL_HUMAN	tr|A0A673VR69|A0A673VR69_SURSU
OG0001301	sp|Q9C009|FOXQ1_HUMAN, sp|Q6ZQN5|FOXI2_HUMAN, sp|Q12951|FOXI1_HUMAN	tr|A0A673UJ30|A0A673UJ30_SURSU
OG0001302	sp|Q8NA75|DC4L2_HUMAN, sp|Q3SXM0|DC4L1_HUMAN, sp|Q8WV16|DCAF4_HUMAN	tr|A0A673UD20|A0A673UD20_SURSU
OG0001303	sp|Q96R30|OR2V2_HUMAN	tr|A0A673TIU7|A0A673TIU7_SURSU
OG0001303	sp|Q8NHB1|OR2V1_HUMAN	tr|A0A673UA74|A0A673UA74_SURSU
OG0001304	sp|P15882|CHIN_HUMAN	tr|A0A673VT01|A0A673VT01_SURSU
OG0001304	sp|P52757|CHIO_HUMAN	tr|A0A673UTV1|A0A673UTV1_SURSU
OG0001305	sp|P49279|NRAM1_HUMAN	tr|A0A673TEC5|A0A673TEC5_SURSU
OG0001305	sp|P49281|NRAM2_HUMAN	tr|A0A673TMA0|A0A673TMA0_SURSU
OG0001306	sp|P58397|ATS12_HUMAN	tr|A0A673SRS3|A0A673SRS3_SURSU
OG0001306	sp|Q9UKP4|ATS7_HUMAN	tr|A0A673U8E5|A0A673U8E5_SURSU
OG0001307	sp|Q5T3F8|CSCL2_HUMAN	tr|A0A673SXV6|A0A673SXV6_SURSU
OG0001307	sp|O94886|CSCL1_HUMAN	tr|A0A673T2J9|A0A673T2J9_SURSU
OG0001308	sp|O75190|DNJB6_HUMAN, sp|Q8WWF6|DNJB3_HUMAN, sp|Q7Z6W7|DNJB7_HUMAN	tr|A0A673TL07|A0A673TL07_SURSU
OG0001309	sp|Q8TDW4|ST7L_HUMAN	tr|A0A673VUP6|A0A673VUP6_SURSU
OG0001309	sp|Q9NRC1|ST7_HUMAN	tr|A0A673VGA4|A0A673VGA4_SURSU
OG0001310	sp|Q8TEM1|PO210_HUMAN	tr|A0A673TIC7|A0A673TIC7_SURSU
OG0001310	sp|Q5VU65|P210L_HUMAN	tr|A0A673TAN8|A0A673TAN8_SURSU
OG0001311	sp|Q96FA3|PELI1_HUMAN	tr|A0A673SUZ5|A0A673SUZ5_SURSU
OG0001311	sp|Q9HAT8|PELI2_HUMAN	tr|A0A673UFR9|A0A673UFR9_SURSU
OG0001312	sp|Q8TC17|GRAPL_HUMAN, sp|P62993|GRB2_HUMAN, sp|Q13588|GRAP_HUMAN	tr|A0A673VM20|A0A673VM20_SURSU
OG0001313	sp|Q9BR39|JPH2_HUMAN	tr|A0A673U565|A0A673U565_SURSU
OG0001313	sp|Q9HDC5|JPH1_HUMAN	tr|A0A673V1B4|A0A673V1B4_SURSU
OG0001315	sp|P35670|ATP7B_HUMAN	tr|A0A673SXP7|A0A673SXP7_SURSU
OG0001315	sp|Q04656|ATP7A_HUMAN	tr|A0A673VMS0|A0A673VMS0_SURSU
OG0001316	sp|Q5VZY2|PLPP4_HUMAN	tr|A0A673SY56|A0A673SY56_SURSU
OG0001316	sp|Q8NEB5|PLPP5_HUMAN	tr|A0A673T4C3|A0A673T4C3_SURSU
OG0001317	sp|Q9Y519|T184B_HUMAN	tr|A0A673UTC6|A0A673UTC6_SURSU
OG0001317	sp|Q6ZMB5|T184A_HUMAN	tr|A0A673TNT9|A0A673TNT9_SURSU
OG0001318	sp|P00374|DYR_HUMAN, sp|Q86XF0|DYR2_HUMAN	tr|A0A673V1G5|A0A673V1G5_SURSU, tr|A0A673TYH7|A0A673TYH7_SURSU
OG0001320	sp|O60706|ABCC9_HUMAN	tr|A0A673VI27|A0A673VI27_SURSU
OG0001320	sp|Q09428|ABCC8_HUMAN	tr|A0A673V9F6|A0A673V9F6_SURSU
OG0001321	sp|P22059|OSBP1_HUMAN	tr|A0A673TGZ3|A0A673TGZ3_SURSU
OG0001321	sp|Q969R2|OSBP2_HUMAN	tr|A0A673U9U3|A0A673U9U3_SURSU
OG0001322	sp|P23443|KS6B1_HUMAN	tr|A0A673VRP0|A0A673VRP0_SURSU
OG0001322	sp|Q9UBS0|KS6B2_HUMAN	tr|A0A673TRC8|A0A673TRC8_SURSU
OG0001323	sp|Q16478|GRIK5_HUMAN	tr|A0A673VHZ3|A0A673VHZ3_SURSU
OG0001323	sp|Q16099|GRIK4_HUMAN	tr|A0A673TL97|A0A673TL97_SURSU
OG0001324	sp|Q16822|PCKGM_HUMAN	tr|A0A673UPL7|A0A673UPL7_SURSU
OG0001324	sp|P35558|PCKGC_HUMAN	tr|A0A673UQV0|A0A673UQV0_SURSU
OG0001325	sp|O75891|AL1L1_HUMAN	tr|A0A673U479|A0A673U479_SURSU
OG0001325	sp|Q3SY69|AL1L2_HUMAN	tr|A0A673TAH6|A0A673TAH6_SURSU
OG0001326	sp|Q9H0E7|UBP44_HUMAN	tr|A0A673T6H1|A0A673T6H1_SURSU
OG0001326	sp|Q70CQ1|UBP49_HUMAN	tr|A0A673SU31|A0A673SU31_SURSU
OG0001327	sp|Q9H7E2|TDRD3_HUMAN	tr|A0A673SKL6|A0A673SKL6_SURSU
OG0001327	sp|Q9H9A7|RMI1_HUMAN	tr|A0A673SX92|A0A673SX92_SURSU
OG0001328	sp|P15036|ETS2_HUMAN	tr|A0A673SUP0|A0A673SUP0_SURSU
OG0001328	sp|P14921|ETS1_HUMAN	tr|A0A673TT39|A0A673TT39_SURSU
OG0001329	sp|Q86YV6|MYLK4_HUMAN	tr|A0A673SYK4|A0A673SYK4_SURSU
OG0001329	sp|Q32MK0|MYLK3_HUMAN	tr|A0A673UK14|A0A673UK14_SURSU
OG0001330	sp|Q5VZM2|RRAGB_HUMAN	tr|A0A673VER4|A0A673VER4_SURSU
OG0001330	sp|Q7L523|RRAGA_HUMAN	tr|A0A673TM82|A0A673TM82_SURSU
OG0001331	sp|Q8NH69|OR5W2_HUMAN	tr|A0A673TDF6|A0A673TDF6_SURSU, tr|A0A673U5R8|A0A673U5R8_SURSU, tr|A0A673U4Y5|A0A673U4Y5_SURSU
OG0001332	sp|A4QPH2|PI4P2_HUMAN, sp|Q8N8J0|PI4P1_HUMAN, sp|P42356|PI4KA_HUMAN	tr|A0A673UWD2|A0A673UWD2_SURSU
OG0001333	sp|Q0VAM2|RGF1B_HUMAN	tr|A0A673V1T6|A0A673V1T6_SURSU
OG0001333	sp|Q8N431|RGF1C_HUMAN	tr|A0A673TE87|A0A673TE87_SURSU
OG0001334	sp|Q96G03|PGM2_HUMAN	tr|A0A673SX78|A0A673SX78_SURSU
OG0001334	sp|Q6PCE3|PGM2L_HUMAN	tr|A0A673T1N9|A0A673T1N9_SURSU
OG0001335	sp|Q9BXI3|5NT1A_HUMAN	tr|A0A673U4P4|A0A673U4P4_SURSU
OG0001335	sp|Q96P26|5NT1B_HUMAN	tr|A0A673U024|A0A673U024_SURSU
OG0001336	sp|Q9UPW6|SATB2_HUMAN	tr|A0A673T8P7|A0A673T8P7_SURSU
OG0001336	sp|Q01826|SATB1_HUMAN	tr|A0A673T0B7|A0A673T0B7_SURSU
OG0001337	sp|O43747|AP1G1_HUMAN	tr|A0A673V209|A0A673V209_SURSU
OG0001337	sp|O75843|AP1G2_HUMAN	tr|A0A673V470|A0A673V470_SURSU
OG0001338	sp|P51512|MMP16_HUMAN	tr|A0A673UR56|A0A673UR56_SURSU
OG0001338	sp|Q9Y5R2|MMP24_HUMAN	tr|A0A673TMS2|A0A673TMS2_SURSU
OG0001339	sp|Q9UQL6|HDAC5_HUMAN	tr|A0A673VG38|A0A673VG38_SURSU
OG0001339	sp|P56524|HDAC4_HUMAN	tr|A0A673T923|A0A673T923_SURSU
OG0001340	sp|P84550|SKOR1_HUMAN	tr|A0A673TGG2|A0A673TGG2_SURSU
OG0001340	sp|Q2VWA4|SKOR2_HUMAN	tr|A0A673VUR2|A0A673VUR2_SURSU
OG0001341	sp|Q9H3H9|TCAL2_HUMAN, sp|Q96EI5|TCAL4_HUMAN	tr|A0A673U6U2|A0A673U6U2_SURSU, tr|A0A673U9N1|A0A673U9N1_SURSU
OG0001342	sp|Q9H857|NT5D2_HUMAN	tr|A0A673TN04|A0A673TN04_SURSU
OG0001342	sp|Q86UY8|NT5D3_HUMAN	tr|A0A673TSH2|A0A673TSH2_SURSU
OG0001343	sp|O15243|OBRG_HUMAN	tr|A0A673USY5|A0A673USY5_SURSU
OG0001343	sp|O95214|LERL1_HUMAN	tr|A0A673T297|A0A673T297_SURSU
OG0001344	sp|Q14641|INSL4_HUMAN, sp|P04808|REL1_HUMAN, sp|P04090|REL2_HUMAN	tr|A0A673VE33|A0A673VE33_SURSU
OG0001345	sp|P62191|PRS4_HUMAN	tr|A0A673UUP4|A0A673UUP4_SURSU
OG0001345	sp|P17980|PRS6A_HUMAN	tr|A0A673U6L9|A0A673U6L9_SURSU
OG0001346	sp|Q14938|NFIX_HUMAN	tr|A0A673UID2|A0A673UID2_SURSU
OG0001346	sp|Q12857|NFIA_HUMAN	tr|A0A673VFP6|A0A673VFP6_SURSU
OG0001347	sp|Q14151|SAFB2_HUMAN, sp|Q15424|SAFB1_HUMAN	tr|A0A673T5S9|A0A673T5S9_SURSU, tr|A0A673TCQ4|A0A673TCQ4_SURSU
OG0001348	sp|Q5T2N8|ATD3C_HUMAN, sp|Q5T9A4|ATD3B_HUMAN, sp|Q9NVI7|ATD3A_HUMAN	tr|A0A673TZN9|A0A673TZN9_SURSU
OG0001349	sp|Q9UKC9|FBXL2_HUMAN	tr|A0A673TGV2|A0A673TGV2_SURSU
OG0001349	sp|Q96IG2|FXL20_HUMAN	tr|A0A673VBS4|A0A673VBS4_SURSU
OG0001350	sp|Q9H160|ING2_HUMAN	tr|A0A673STI2|A0A673STI2_SURSU
OG0001350	sp|Q9UK53|ING1_HUMAN	tr|A0A673UJH4|A0A673UJH4_SURSU
OG0001351	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A673V6A6|A0A673V6A6_SURSU
OG0001351	sp|Q8N141|ZFP82_HUMAN	tr|A0A673V516|A0A673V516_SURSU
OG0001352	sp|Q13207|TBX2_HUMAN	tr|A0A673VR80|A0A673VR80_SURSU
OG0001352	sp|O15119|TBX3_HUMAN	tr|A0A673V7U1|A0A673V7U1_SURSU
OG0001353	sp|P10827|THA_HUMAN	tr|A0A673UWS2|A0A673UWS2_SURSU
OG0001353	sp|P10828|THB_HUMAN	tr|A0A673T540|A0A673T540_SURSU
OG0001354	sp|P56377|AP1S2_HUMAN	tr|A0A673US24|A0A673US24_SURSU
OG0001354	sp|P61966|AP1S1_HUMAN	tr|A0A673VDD6|A0A673VDD6_SURSU
OG0001355	sp|Q96KC2|ARL5B_HUMAN	tr|A0A673V733|A0A673V733_SURSU
OG0001355	sp|A6NH57|ARL5C_HUMAN	tr|A0A673VML3|A0A673VML3_SURSU
OG0001356	sp|P36894|BMR1A_HUMAN	tr|A0A673SUJ1|A0A673SUJ1_SURSU
OG0001356	sp|O00238|BMR1B_HUMAN	tr|A0A673UG40|A0A673UG40_SURSU
OG0001357	sp|O75636|FCN3_HUMAN, sp|Q15485|FCN2_HUMAN, sp|O00602|FCN1_HUMAN	tr|A0A673VI71|A0A673VI71_SURSU
OG0001358	sp|Q16513|PKN2_HUMAN	tr|A0A673TJ64|A0A673TJ64_SURSU
OG0001358	sp|Q16512|PKN1_HUMAN	tr|A0A673VEF8|A0A673VEF8_SURSU
OG0001359	sp|Q8NE35|CPEB3_HUMAN	tr|A0A673T557|A0A673T557_SURSU
OG0001359	sp|Q7Z5Q1|CPEB2_HUMAN	tr|A0A673SSS8|A0A673SSS8_SURSU
OG0001360	sp|O43861|ATP9B_HUMAN	tr|A0A673V1R6|A0A673V1R6_SURSU
OG0001360	sp|O75110|ATP9A_HUMAN	tr|A0A673UNE5|A0A673UNE5_SURSU
OG0001361	sp|Q13156|RFA4_HUMAN, sp|P15927|RFA2_HUMAN	tr|A0A673T4L2|A0A673T4L2_SURSU, tr|A0A673UES7|A0A673UES7_SURSU
OG0001362	sp|Q93045|STMN2_HUMAN, sp|P16949|STMN1_HUMAN, sp|Q9NZ72|STMN3_HUMAN	tr|A0A673V7N4|A0A673V7N4_SURSU
OG0001363	sp|P05412|JUN_HUMAN	tr|A0A673TCB5|A0A673TCB5_SURSU
OG0001363	sp|P17535|JUND_HUMAN	tr|A0A673TE30|A0A673TE30_SURSU
OG0001364	sp|Q9H1N7|S35B3_HUMAN, sp|Q969S0|S35B4_HUMAN, sp|P78383|S35B1_HUMAN	tr|A0A673UET6|A0A673UET6_SURSU
OG0001365	sp|P49759|CLK1_HUMAN	tr|A0A673TD87|A0A673TD87_SURSU
OG0001365	sp|Q9HAZ1|CLK4_HUMAN	tr|A0A673SX65|A0A673SX65_SURSU
OG0001366	sp|Q9NQ66|PLCB1_HUMAN	tr|A0A673TIM2|A0A673TIM2_SURSU
OG0001366	sp|Q01970|PLCB3_HUMAN	tr|A0A673V9I0|A0A673V9I0_SURSU
OG0001367	sp|O43639|NCK2_HUMAN	tr|A0A673TTP2|A0A673TTP2_SURSU
OG0001367	sp|P16333|NCK1_HUMAN	tr|A0A673TLF1|A0A673TLF1_SURSU
OG0001368	sp|Q86SJ6|DSG4_HUMAN	tr|A0A673U5R3|A0A673U5R3_SURSU
OG0001368	sp|P32926|DSG3_HUMAN	tr|A0A673U419|A0A673U419_SURSU
OG0001369	sp|Q5TBA9|FRY_HUMAN	tr|A0A673THR7|A0A673THR7_SURSU
OG0001369	sp|O94915|FRYL_HUMAN	tr|A0A673TBP3|A0A673TBP3_SURSU
OG0001370	sp|Q8TBR7|TLC3A_HUMAN	tr|A0A673UFM8|A0A673UFM8_SURSU
OG0001370	sp|Q71RH2|TLC3B_HUMAN	tr|A0A673VFA3|A0A673VFA3_SURSU
OG0001371	sp|Q8IWY4|SCUB1_HUMAN	tr|A0A673UNH9|A0A673UNH9_SURSU
OG0001371	sp|Q8IX30|SCUB3_HUMAN	tr|A0A673SYS0|A0A673SYS0_SURSU
OG0001372	sp|O00141|SGK1_HUMAN	tr|A0A673UFB0|A0A673UFB0_SURSU
OG0001372	sp|Q9HBY8|SGK2_HUMAN	tr|A0A673VBZ5|A0A673VBZ5_SURSU
OG0001373	sp|Q9Y2K6|UBP20_HUMAN	tr|A0A673T9E1|A0A673T9E1_SURSU
OG0001373	sp|Q8TEY7|UBP33_HUMAN	tr|A0A673TZG2|A0A673TZG2_SURSU
OG0001374	sp|Q5JUK3|KCNT1_HUMAN	tr|A0A673ULC4|A0A673ULC4_SURSU
OG0001374	sp|Q6UVM3|KCNT2_HUMAN	tr|A0A673T3V0|A0A673T3V0_SURSU
OG0001375	sp|Q9NW07|ZN358_HUMAN	tr|A0A673VPP9|A0A673VPP9_SURSU
OG0001375	sp|Q7L3S4|ZN771_HUMAN	tr|A0A673U208|A0A673U208_SURSU
OG0001376	sp|Q9Y2A7|NCKP1_HUMAN	tr|A0A673U0Y7|A0A673U0Y7_SURSU
OG0001376	sp|P55160|NCKPL_HUMAN	tr|A0A673TTX3|A0A673TTX3_SURSU
OG0001377	sp|O94805|ACL6B_HUMAN	tr|A0A673VKL7|A0A673VKL7_SURSU
OG0001377	sp|O96019|ACL6A_HUMAN	tr|A0A673TJF8|A0A673TJF8_SURSU
OG0001378	sp|P49768|PSN1_HUMAN	tr|A0A673U746|A0A673U746_SURSU
OG0001378	sp|P49810|PSN2_HUMAN	tr|A0A673SSM7|A0A673SSM7_SURSU
OG0001379	sp|Q68BL8|OLM2B_HUMAN	tr|A0A673U0K9|A0A673U0K9_SURSU
OG0001379	sp|Q68BL7|OLM2A_HUMAN	tr|A0A673T752|A0A673T752_SURSU
OG0001380	sp|Q86TA1|MOB3B_HUMAN	tr|A0A673VJQ0|A0A673VJQ0_SURSU
OG0001380	sp|Q96BX8|MOB3A_HUMAN	tr|A0A673ULT1|A0A673ULT1_SURSU
OG0001381	sp|Q96P88|GNRR2_HUMAN	tr|A0A673TUW0|A0A673TUW0_SURSU
OG0001381	sp|P30968|GNRHR_HUMAN	tr|A0A673T5Y4|A0A673T5Y4_SURSU
OG0001382	sp|Q96D59|RN183_HUMAN, sp|M0QZC1|RN225_HUMAN, sp|E7ERA6|RN223_HUMAN	tr|A0A673UX80|A0A673UX80_SURSU
OG0001383	sp|Q9Y6T7|DGKB_HUMAN	tr|A0A673T0J4|A0A673T0J4_SURSU
OG0001383	sp|P49619|DGKG_HUMAN	tr|A0A673T955|A0A673T955_SURSU
OG0001384	sp|P49841|GSK3B_HUMAN	tr|A0A673SU43|A0A673SU43_SURSU
OG0001384	sp|P49840|GSK3A_HUMAN	tr|A0A673VRA8|A0A673VRA8_SURSU
OG0001385	sp|Q6PCB7|S27A1_HUMAN	tr|A0A673U2D6|A0A673U2D6_SURSU
OG0001385	sp|Q6P1M0|S27A4_HUMAN	tr|A0A673U1L0|A0A673U1L0_SURSU
OG0001386	sp|Q8IYM2|SLN12_HUMAN, sp|Q6IEE8|SN12L_HUMAN	tr|A0A673UXP0|A0A673UXP0_SURSU, tr|A0A673V6W7|A0A673V6W7_SURSU
OG0001387	sp|Q9HBY0|NOX3_HUMAN	tr|A0A673SY74|A0A673SY74_SURSU
OG0001387	sp|P04839|CY24B_HUMAN	tr|A0A673VFJ9|A0A673VFJ9_SURSU
OG0001388	sp|Q9NWW6|NRK1_HUMAN	tr|A0A673USW4|A0A673USW4_SURSU
OG0001388	sp|Q9NPI5|NRK2_HUMAN	tr|A0A673TNH9|A0A673TNH9_SURSU
OG0001389	sp|Q9Y6R1|S4A4_HUMAN	tr|A0A673SPQ8|A0A673SPQ8_SURSU
OG0001389	sp|Q9BY07|S4A5_HUMAN	tr|A0A673TBG2|A0A673TBG2_SURSU
OG0001390	sp|A2A288|ZC12D_HUMAN	tr|A0A673T7I5|A0A673T7I5_SURSU
OG0001390	sp|Q5D1E8|ZC12A_HUMAN	tr|A0A673V0T8|A0A673V0T8_SURSU
OG0001391	sp|A6NHQ2|FBLL1_HUMAN	tr|A0A673USX5|A0A673USX5_SURSU
OG0001391	sp|P22087|FBRL_HUMAN	tr|A0A673UXM2|A0A673UXM2_SURSU
OG0001392	sp|P35354|PGH2_HUMAN	tr|A0A673VEV2|A0A673VEV2_SURSU
OG0001392	sp|P23219|PGH1_HUMAN	tr|A0A673TL52|A0A673TL52_SURSU
OG0001393	sp|Q13185|CBX3_HUMAN	tr|A0A673V3H5|A0A673V3H5_SURSU, tr|A0A673TVQ8|A0A673TVQ8_SURSU, tr|A0A673U3G8|A0A673U3G8_SURSU
OG0001394	sp|P32297|ACHA3_HUMAN	tr|A0A673UJ25|A0A673UJ25_SURSU
OG0001394	sp|Q15825|ACHA6_HUMAN	tr|A0A673T099|A0A673T099_SURSU
OG0001395	sp|Q9UH62|ARMX3_HUMAN	tr|A0A673U504|A0A673U504_SURSU
OG0001395	sp|Q5H9R4|ARMX4_HUMAN	tr|A0A673U4R3|A0A673U4R3_SURSU
OG0001396	sp|Q9H8M5|CNNM2_HUMAN	tr|A0A673ST52|A0A673ST52_SURSU
OG0001396	sp|Q6P4Q7|CNNM4_HUMAN	tr|A0A673UY88|A0A673UY88_SURSU
OG0001397	sp|Q6PJF5|RHDF2_HUMAN	tr|A0A673V126|A0A673V126_SURSU
OG0001397	sp|Q96CC6|RHDF1_HUMAN	tr|A0A673UT46|A0A673UT46_SURSU
OG0001398	sp|Q96MG7|NSE3_HUMAN	tr|A0A673TDB8|A0A673TDB8_SURSU, tr|A0A673VBU7|A0A673VBU7_SURSU, tr|A0A673UAP5|A0A673UAP5_SURSU
OG0001399	sp|P12074|CX6A1_HUMAN	tr|A0A673UEL6|A0A673UEL6_SURSU, tr|A0A673TPB8|A0A673TPB8_SURSU, tr|A0A673UE21|A0A673UE21_SURSU
OG0001400	sp|P63162|RSMN_HUMAN	tr|A0A673UL37|A0A673UL37_SURSU
OG0001400	sp|P14678|RSMB_HUMAN	tr|A0A673UJA0|A0A673UJA0_SURSU
OG0001401	sp|Q15678|PTN14_HUMAN	tr|A0A673V3A4|A0A673V3A4_SURSU
OG0001401	sp|Q16825|PTN21_HUMAN	tr|A0A673VC81|A0A673VC81_SURSU
OG0001402	sp|Q6P4F7|RHGBA_HUMAN, sp|Q3KRB8|RHGBB_HUMAN, tr|A0A499FJF3|A0A499FJF3_HUMAN	tr|A0A673UCN4|A0A673UCN4_SURSU
OG0001403	sp|Q9BT22|ALG1_HUMAN, sp|C9J202|AG1L2_HUMAN, sp|Q6GMV1|ALG1L_HUMAN	tr|A0A673TQN0|A0A673TQN0_SURSU
OG0001404	sp|O95343|SIX3_HUMAN	tr|A0A673VB55|A0A673VB55_SURSU
OG0001404	sp|O95475|SIX6_HUMAN	tr|A0A673UJQ0|A0A673UJQ0_SURSU
OG0001406	sp|Q5VV63|ATRN1_HUMAN	tr|A0A673TI09|A0A673TI09_SURSU
OG0001406	sp|O75882|ATRN_HUMAN	tr|A0A673TL55|A0A673TL55_SURSU
OG0001407	sp|P55008|AIF1_HUMAN	tr|A0A673T929|A0A673T929_SURSU
OG0001407	sp|Q9BQI0|AIF1L_HUMAN	tr|A0A673VGX8|A0A673VGX8_SURSU
OG0001408	sp|Q9BXA9|SALL3_HUMAN	tr|A0A673UQ21|A0A673UQ21_SURSU
OG0001408	sp|Q9NSC2|SALL1_HUMAN	tr|A0A673VE72|A0A673VE72_SURSU
OG0001409	sp|Q92626|PXDN_HUMAN	tr|A0A673VDL4|A0A673VDL4_SURSU
OG0001409	sp|A1KZ92|PXDNL_HUMAN	tr|A0A673VJC2|A0A673VJC2_SURSU
OG0001410	sp|P12532|KCRU_HUMAN	tr|A0A673VG63|A0A673VG63_SURSU
OG0001410	sp|P17540|KCRS_HUMAN	tr|A0A673VEU9|A0A673VEU9_SURSU
OG0001411	sp|Q12899|TRI26_HUMAN, sp|Q9BZY9|TRI31_HUMAN	tr|A0A673SRW9|A0A673SRW9_SURSU, tr|A0A673T2Y9|A0A673T2Y9_SURSU
OG0001412	sp|Q13131|AAPK1_HUMAN	tr|A0A673T851|A0A673T851_SURSU
OG0001412	sp|P54646|AAPK2_HUMAN	tr|A0A673TD25|A0A673TD25_SURSU
OG0001413	sp|Q9H8S9|MOB1A_HUMAN	tr|A0A673TC41|A0A673TC41_SURSU
OG0001413	sp|Q7L9L4|MOB1B_HUMAN	tr|A0A673SXH1|A0A673SXH1_SURSU
OG0001414	sp|Q8TEU7|RPGF6_HUMAN	tr|A0A673U266|A0A673U266_SURSU
OG0001414	sp|Q9Y4G8|RPGF2_HUMAN	tr|A0A673SZU5|A0A673SZU5_SURSU
OG0001415	sp|Q9C000|NLRP1_HUMAN	tr|A0A673VC87|A0A673VC87_SURSU
OG0001415	sp|Q9Y2G2|CARD8_HUMAN	tr|A0A673TV93|A0A673TV93_SURSU
OG0001416	sp|Q9BZ23|PANK2_HUMAN	tr|A0A673TR71|A0A673TR71_SURSU
OG0001416	sp|Q9H999|PANK3_HUMAN	tr|A0A673USP6|A0A673USP6_SURSU
OG0001417	sp|A6NMK7|CPS4L_HUMAN	tr|A0A673VCS5|A0A673VCS5_SURSU
OG0001417	sp|O95639|CPSF4_HUMAN	tr|A0A673UP90|A0A673UP90_SURSU
OG0001418	sp|Q9BY50|SC11C_HUMAN, sp|P67812|SC11A_HUMAN, sp|P0C7V7|SC11B_HUMAN	tr|A0A673UMJ2|A0A673UMJ2_SURSU
OG0001419	sp|P17706|PTN2_HUMAN	tr|A0A673UIM9|A0A673UIM9_SURSU
OG0001419	sp|P18031|PTN1_HUMAN	tr|A0A673U5D1|A0A673U5D1_SURSU
OG0001420	sp|Q9ULD0|OGDHL_HUMAN	tr|A0A673SSB4|A0A673SSB4_SURSU
OG0001420	sp|Q02218|ODO1_HUMAN	tr|A0A673SQY5|A0A673SQY5_SURSU
OG0001421	sp|Q6PH85|DCNL2_HUMAN	tr|A0A673U7U0|A0A673U7U0_SURSU
OG0001421	sp|Q96GG9|DCNL1_HUMAN	tr|A0A673UYE5|A0A673UYE5_SURSU
OG0001422	sp|P25685|DNJB1_HUMAN	tr|A0A673VE64|A0A673VE64_SURSU
OG0001422	sp|Q9UDY4|DNJB4_HUMAN	tr|A0A673U2Q7|A0A673U2Q7_SURSU
OG0001423	sp|P27037|AVR2A_HUMAN	tr|A0A673T5A5|A0A673T5A5_SURSU
OG0001423	sp|Q13705|AVR2B_HUMAN	tr|A0A673U6J3|A0A673U6J3_SURSU
OG0001424	sp|Q8NFJ6|PKR2_HUMAN	tr|A0A673TB35|A0A673TB35_SURSU
OG0001424	sp|Q8TCW9|PKR1_HUMAN	tr|A0A673SNE5|A0A673SNE5_SURSU
OG0001425	sp|O75446|SAP30_HUMAN	tr|A0A673UK82|A0A673UK82_SURSU
OG0001425	sp|Q9HAJ7|SP30L_HUMAN	tr|A0A673UFL8|A0A673UFL8_SURSU
OG0001426	sp|Q9NVU7|SDA1_HUMAN	tr|A0A673V5V3|A0A673V5V3_SURSU, tr|A0A673TIT5|A0A673TIT5_SURSU, tr|A0A673TAR3|A0A673TAR3_SURSU
OG0001427	sp|Q9NS71|GKN1_HUMAN, sp|P0CG01|GKN3_HUMAN	tr|A0A673SS44|A0A673SS44_SURSU, tr|A0A673VKJ2|A0A673VKJ2_SURSU
OG0001428	sp|Q9Y2R2|PTN22_HUMAN	tr|A0A673VSG8|A0A673VSG8_SURSU
OG0001428	sp|Q99952|PTN18_HUMAN	tr|A0A673SX85|A0A673SX85_SURSU
OG0001429	sp|Q15646|OASL_HUMAN	tr|A0A673V7P9|A0A673V7P9_SURSU, tr|A0A673V5B6|A0A673V5B6_SURSU, tr|A0A673SUG7|A0A673SUG7_SURSU
OG0001430	sp|Q9BZV2|S19A3_HUMAN	tr|A0A673VGB2|A0A673VGB2_SURSU
OG0001430	sp|Q53S99|CB083_HUMAN	tr|A0A673VGS2|A0A673VGS2_SURSU
OG0001431	sp|Q5TD94|RSH4A_HUMAN	tr|A0A673UUY4|A0A673UUY4_SURSU
OG0001431	sp|Q9H0K4|RSH6A_HUMAN	tr|A0A673VK07|A0A673VK07_SURSU
OG0001432	sp|A0A0B4J274|TVA20_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J272|TVA24_HUMAN	tr|A0A673T9W5|A0A673T9W5_SURSU
OG0001433	sp|Q00536|CDK16_HUMAN	tr|A0A673V816|A0A673V816_SURSU
OG0001433	sp|Q00537|CDK17_HUMAN	tr|A0A673T0C6|A0A673T0C6_SURSU
OG0001434	sp|Q9UPR0|PLCL2_HUMAN	tr|A0A673SSF6|A0A673SSF6_SURSU
OG0001434	sp|Q15111|PLCL1_HUMAN	tr|A0A673T985|A0A673T985_SURSU
OG0001435	sp|O43791|SPOP_HUMAN	tr|A0A673UKH5|A0A673UKH5_SURSU
OG0001435	sp|Q6IQ16|SPOPL_HUMAN	tr|A0A673T9N4|A0A673T9N4_SURSU
OG0001436	sp|Q86VY4|TSYL5_HUMAN	tr|A0A673UPZ7|A0A673UPZ7_SURSU
OG0001436	sp|Q9UJ04|TSYL4_HUMAN	tr|A0A673UQJ9|A0A673UQJ9_SURSU
OG0001437	sp|Q8TCU6|PREX1_HUMAN	tr|A0A673VIR9|A0A673VIR9_SURSU
OG0001437	sp|Q70Z35|PREX2_HUMAN	tr|A0A673UYR2|A0A673UYR2_SURSU
