Orthogroup	Homo_sapiens	Balaenoptera_musculus
OG0000970	sp|Q8WY21|SORC1_HUMAN	tr|A0A8B8VJX6|A0A8B8VJX6_BALMU
OG0000970	sp|Q9UPU3|SORC3_HUMAN	tr|A0A8B8VIJ2|A0A8B8VIJ2_BALMU
OG0000971	sp|Q9H6K1|ILRUN_HUMAN	tr|A0A8B8VTC4|A0A8B8VTC4_BALMU, tr|A0A8B8VMY4|A0A8B8VMY4_BALMU, tr|A0A8C0CYJ6|A0A8C0CYJ6_BALMU
OG0000972	sp|Q96FL8|S47A1_HUMAN	tr|A0A8B8W273|A0A8B8W273_BALMU
OG0000972	sp|Q86VL8|S47A2_HUMAN	tr|A0A8B8W9D8|A0A8B8W9D8_BALMU
OG0000973	sp|O95319|CELF2_HUMAN	tr|A0A8B8WML5|A0A8B8WML5_BALMU
OG0000973	sp|Q92879|CELF1_HUMAN	tr|A0A8B8YGG5|A0A8B8YGG5_BALMU
OG0000974	sp|O14646|CHD1_HUMAN	tr|A0A8B8WW95|A0A8B8WW95_BALMU
OG0000974	sp|O14647|CHD2_HUMAN	tr|A0A8B8WR75|A0A8B8WR75_BALMU
OG0000975	sp|Q8IUD2|RB6I2_HUMAN	tr|A0A8B8YH35|A0A8B8YH35_BALMU
OG0000975	sp|O15083|ERC2_HUMAN	tr|A0A8B8YU60|A0A8B8YU60_BALMU
OG0000976	sp|O00159|MYO1C_HUMAN	tr|A0A8B8W5S6|A0A8B8W5S6_BALMU
OG0000976	sp|Q8N1T3|MYO1H_HUMAN	tr|A0A8B8V1Y8|A0A8B8V1Y8_BALMU
OG0000977	sp|P45974|UBP5_HUMAN	tr|A0A8C0DJT9|A0A8C0DJT9_BALMU
OG0000977	sp|Q92995|UBP13_HUMAN	tr|A0A8B8XD14|A0A8B8XD14_BALMU
OG0000978	sp|Q8TCQ1|MARH1_HUMAN	tr|A0A8B8XH84|A0A8B8XH84_BALMU
OG0000978	sp|Q5T0T0|MARH8_HUMAN	tr|A0A8B8VI75|A0A8B8VI75_BALMU
OG0000979	sp|P49326|FMO5_HUMAN	tr|A0A8B8V2K4|A0A8B8V2K4_BALMU, tr|A0A8B8YJ72|A0A8B8YJ72_BALMU, tr|A0A8B8Y4K4|A0A8B8Y4K4_BALMU
OG0000980	sp|Q9P2P5|HECW2_HUMAN	tr|A0A8B8XUT8|A0A8B8XUT8_BALMU
OG0000980	sp|Q76N89|HECW1_HUMAN	tr|A0A8B8YGL5|A0A8B8YGL5_BALMU
OG0000981	sp|Q15366|PCBP2_HUMAN	tr|A0A8B8YUR3|A0A8B8YUR3_BALMU
OG0000981	sp|Q15365|PCBP1_HUMAN	tr|A0A8C0DIW6|A0A8C0DIW6_BALMU
OG0000982	sp|Q96A57|TM230_HUMAN	tr|A0A8B8WKJ7|A0A8B8WKJ7_BALMU, tr|A0A8B8YZG9|A0A8B8YZG9_BALMU, tr|A0A8B8VE01|A0A8B8VE01_BALMU
OG0000983	sp|Q9Y2Y0|AR2BP_HUMAN	tr|A0A8B8YQ64|A0A8B8YQ64_BALMU, tr|A0A8B8VVT2|A0A8B8VVT2_BALMU, tr|A0A8B8V1T0|A0A8B8V1T0_BALMU
OG0000984	sp|Q01959|SC6A3_HUMAN	tr|A0A8C0DCZ9|A0A8C0DCZ9_BALMU
OG0000984	sp|P23975|SC6A2_HUMAN	tr|A0A8B8VYK2|A0A8B8VYK2_BALMU
OG0000985	sp|Q9NZR1|TMOD2_HUMAN	tr|A0A8B8W3I3|A0A8B8W3I3_BALMU
OG0000985	sp|Q9NYL9|TMOD3_HUMAN	tr|A0A8B8W3H8|A0A8B8W3H8_BALMU
OG0000986	sp|A6NI28|RHG42_HUMAN	tr|A0A8B8Y399|A0A8B8Y399_BALMU
OG0000986	sp|O60890|OPHN1_HUMAN	tr|A0A8B8WHN3|A0A8B8WHN3_BALMU
OG0000988	sp|P63098|CANB1_HUMAN	tr|A0A8C0DJP3|A0A8C0DJP3_BALMU
OG0000988	sp|Q96LZ3|CANB2_HUMAN	tr|A0A8B8XS17|A0A8B8XS17_BALMU
OG0000989	sp|Q8IWU9|TPH2_HUMAN	tr|A0A8C0I5L0|A0A8C0I5L0_BALMU
OG0000989	sp|P17752|TPH1_HUMAN	tr|A0A8B8YDX6|A0A8B8YDX6_BALMU
OG0000990	sp|Q16877|F264_HUMAN	tr|A0A8B8YQZ6|A0A8B8YQZ6_BALMU
OG0000990	sp|P16118|F261_HUMAN	tr|A0A8B8WD36|A0A8B8WD36_BALMU
OG0000991	sp|Q499Y3|YJ016_HUMAN, sp|Q9H8K7|PAAT_HUMAN	tr|A0A8C0DEG8|A0A8C0DEG8_BALMU, tr|A0A8B8VGS0|A0A8B8VGS0_BALMU
OG0000992	sp|Q9P2T1|GMPR2_HUMAN	tr|A0A8C0D5F0|A0A8C0D5F0_BALMU
OG0000992	sp|P36959|GMPR1_HUMAN	tr|A0A8C0HYA8|A0A8C0HYA8_BALMU
OG0000993	sp|P42766|RL35_HUMAN	tr|A0A8B8XMN3|A0A8B8XMN3_BALMU, tr|A0A8B8XX64|A0A8B8XX64_BALMU, tr|A0A8B8XVM8|A0A8B8XVM8_BALMU
OG0000994	sp|Q13283|G3BP1_HUMAN	tr|A0A8B8WWL1|A0A8B8WWL1_BALMU, tr|A0A8B8Z1G0|A0A8B8Z1G0_BALMU, tr|A0A8B8W0Z4|A0A8B8W0Z4_BALMU
OG0000995	sp|P29353|SHC1_HUMAN	tr|A0A8C0C828|A0A8C0C828_BALMU
OG0000995	sp|P98077|SHC2_HUMAN	tr|A0A8B8X5B3|A0A8B8X5B3_BALMU
OG0000996	sp|P32969|RL9_HUMAN	tr|A0A8B8WDY7|A0A8B8WDY7_BALMU, tr|A0A8C0CNE4|A0A8C0CNE4_BALMU, tr|A0A8B8VE40|A0A8B8VE40_BALMU
OG0000997	sp|Q15041|AR6P1_HUMAN	tr|A0A8B8XGP6|A0A8B8XGP6_BALMU, tr|A0A8B8YEX4|A0A8B8YEX4_BALMU, tr|A0A8C0I2A9|A0A8C0I2A9_BALMU
OG0000998	sp|Q8TD30|ALAT2_HUMAN	tr|A0A8C0I4Q4|A0A8C0I4Q4_BALMU
OG0000998	sp|P24298|ALAT1_HUMAN	tr|A0A8C0DI64|A0A8C0DI64_BALMU
OG0000999	sp|Q8TE59|ATS19_HUMAN	tr|A0A8B8WVT3|A0A8B8WVT3_BALMU
OG0000999	sp|Q8TE56|ATS17_HUMAN	tr|A0A8B8WX82|A0A8B8WX82_BALMU
OG0001000	sp|Q15424|SAFB1_HUMAN	tr|A0A8B8WZ49|A0A8B8WZ49_BALMU
OG0001000	sp|Q14151|SAFB2_HUMAN	tr|A0A8B8WZ18|A0A8B8WZ18_BALMU
OG0001001	sp|Q9H920|RN121_HUMAN	tr|A0A8C0DZ72|A0A8C0DZ72_BALMU
OG0001001	sp|Q8N4F7|RN175_HUMAN	tr|A0A8B8XEL3|A0A8B8XEL3_BALMU
OG0001002	sp|P49674|KC1E_HUMAN	tr|A0A8B8YHK8|A0A8B8YHK8_BALMU
OG0001002	sp|P48730|KC1D_HUMAN	tr|A0A8B8W9Z3|A0A8B8W9Z3_BALMU
OG0001003	sp|P61586|RHOA_HUMAN	tr|A0A8B8YPG0|A0A8B8YPG0_BALMU
OG0001003	sp|P08134|RHOC_HUMAN	tr|A0A8B8Y5Q5|A0A8B8Y5Q5_BALMU
OG0001004	sp|Q8IWU6|SULF1_HUMAN	tr|A0A8B8VND7|A0A8B8VND7_BALMU
OG0001004	sp|Q8IWU5|SULF2_HUMAN	tr|A0A8C0I5T4|A0A8C0I5T4_BALMU
OG0001005	sp|Q9H422|HIPK3_HUMAN	tr|A0A8B8Y878|A0A8B8Y878_BALMU, tr|A0A8B8XK23|A0A8B8XK23_BALMU, tr|A0A8B8VG28|A0A8B8VG28_BALMU
OG0001006	sp|Q969G6|RIFK_HUMAN	tr|A0A8B8YS58|A0A8B8YS58_BALMU, tr|A0A8C0C8R2|A0A8C0C8R2_BALMU, tr|A0A8B8XR86|A0A8B8XR86_BALMU
OG0001007	sp|Q9NRJ5|PAPOB_HUMAN	tr|A0A8B8VAQ9|A0A8B8VAQ9_BALMU
OG0001007	sp|P51003|PAPOA_HUMAN	tr|A0A8B8WSQ6|A0A8B8WSQ6_BALMU
OG0001008	sp|Q6PFW1|VIP1_HUMAN	tr|A0A8B8WQ61|A0A8B8WQ61_BALMU
OG0001008	sp|O43314|VIP2_HUMAN	tr|A0A8B8WXU7|A0A8B8WXU7_BALMU
OG0001009	sp|P10828|THB_HUMAN	tr|A0A8B8X7U0|A0A8B8X7U0_BALMU
OG0001009	sp|P10827|THA_HUMAN	tr|A0A8B8WAG4|A0A8B8WAG4_BALMU
OG0001010	sp|Q9NWT8|AKIP_HUMAN	tr|A0A8C0C7T7|A0A8C0C7T7_BALMU, tr|A0A8B8YGR8|A0A8B8YGR8_BALMU, tr|A0A8B8YJN8|A0A8B8YJN8_BALMU
OG0001011	sp|Q9H1H9|KI13A_HUMAN	tr|A0A8B8YQJ1|A0A8B8YQJ1_BALMU
OG0001011	sp|Q9NQT8|KI13B_HUMAN	tr|A0A8B8XJL6|A0A8B8XJL6_BALMU
OG0001012	sp|O75882|ATRN_HUMAN	tr|A0A8B8V672|A0A8B8V672_BALMU
OG0001012	sp|Q5VV63|ATRN1_HUMAN	tr|A0A8C0DKA9|A0A8C0DKA9_BALMU
OG0001013	sp|P58107|EPIPL_HUMAN	tr|A0A8B8VPJ2|A0A8B8VPJ2_BALMU, tr|A0A8B8VPI5|A0A8B8VPI5_BALMU, tr|A0A8B8YMG1|A0A8B8YMG1_BALMU
OG0001014	sp|Q8N7P3|CLD22_HUMAN, sp|A6NM45|CLD24_HUMAN	tr|A0A8C0E1Y2|A0A8C0E1Y2_BALMU, tr|A0A8B8WC96|A0A8B8WC96_BALMU
OG0001015	sp|Q99962|SH3G2_HUMAN	tr|A0A8C0C5J5|A0A8C0C5J5_BALMU
OG0001015	sp|Q99961|SH3G1_HUMAN	tr|A0A8B8X225|A0A8B8X225_BALMU
OG0001016	sp|Q8N695|SC5A8_HUMAN	tr|A0A8B8YM34|A0A8B8YM34_BALMU
OG0001016	sp|Q1EHB4|SC5AC_HUMAN	tr|A0A8B8Y5V1|A0A8B8Y5V1_BALMU
OG0001017	sp|Q15759|MK11_HUMAN	tr|A0A8B8YFN3|A0A8B8YFN3_BALMU
OG0001017	sp|Q16539|MK14_HUMAN	tr|A0A8B8YWM2|A0A8B8YWM2_BALMU
OG0001018	sp|Q5SY68|S1A7B_HUMAN, sp|Q86SG5|S1A7A_HUMAN, sp|P31151|S10A7_HUMAN	tr|A0A8B8W7M2|A0A8B8W7M2_BALMU
OG0001019	sp|Q13490|BIRC2_HUMAN	tr|A0A8B8Y2M5|A0A8B8Y2M5_BALMU
OG0001019	sp|Q13489|BIRC3_HUMAN	tr|A0A8B8YC11|A0A8B8YC11_BALMU
OG0001020	sp|Q9H936|GHC1_HUMAN	tr|A0A8B8Y8R8|A0A8B8Y8R8_BALMU
OG0001020	sp|Q9H1K4|GHC2_HUMAN	tr|A0A8B8YPZ8|A0A8B8YPZ8_BALMU
OG0001021	sp|Q14C87|T132D_HUMAN	tr|A0A8C0E0B2|A0A8C0E0B2_BALMU
OG0001021	sp|Q8N3T6|T132C_HUMAN	tr|A0A8B8Z779|A0A8B8Z779_BALMU
OG0001022	sp|O95271|TNKS1_HUMAN	tr|A0A8C0I7J1|A0A8C0I7J1_BALMU
OG0001022	sp|Q9H2K2|TNKS2_HUMAN	tr|A0A8B8VHH3|A0A8B8VHH3_BALMU
OG0001023	sp|O43252|PAPS1_HUMAN	tr|A0A8C0CX10|A0A8C0CX10_BALMU
OG0001023	sp|O95340|PAPS2_HUMAN	tr|A0A8B8VHM7|A0A8B8VHM7_BALMU
OG0001024	tr|A0A0G2JLY3|A0A0G2JLY3_HUMAN, sp|Q8NHW4|CC4L_HUMAN, sp|P13236|CCL4_HUMAN	tr|A0A8B8W7G6|A0A8B8W7G6_BALMU
OG0001025	sp|Q9UQ26|RIMS2_HUMAN	tr|A0A8B8VP29|A0A8B8VP29_BALMU
OG0001025	sp|Q86UR5|RIMS1_HUMAN	tr|A0A8B8YY61|A0A8B8YY61_BALMU
OG0001026	sp|Q9Y675|SNURF_HUMAN	tr|A0A8B8WNI6|A0A8B8WNI6_BALMU, tr|A0A8C0E2F4|A0A8C0E2F4_BALMU, tr|A0A8B8Z0Y5|A0A8B8Z0Y5_BALMU
OG0001027	sp|P17029|ZKSC1_HUMAN	tr|A0A8B8WHP7|A0A8B8WHP7_BALMU, tr|A0A8C0D7J3|A0A8C0D7J3_BALMU, tr|A0A8B8V6V6|A0A8B8V6V6_BALMU
OG0001028	sp|Q8IVP5|FUND1_HUMAN	tr|A0A8B8VFJ7|A0A8B8VFJ7_BALMU, tr|A0A8B8WI47|A0A8B8WI47_BALMU, tr|A0A8B8WT83|A0A8B8WT83_BALMU
OG0001029	sp|O94844|RHBT1_HUMAN	tr|A0A8B8VI40|A0A8B8VI40_BALMU
OG0001029	sp|Q9BYZ6|RHBT2_HUMAN	tr|A0A8B8XW39|A0A8B8XW39_BALMU
OG0001030	sp|Q92556|ELMO1_HUMAN	tr|A0A8B8YA03|A0A8B8YA03_BALMU
OG0001030	sp|Q96JJ3|ELMO2_HUMAN	tr|A0A8B8V9C0|A0A8B8V9C0_BALMU
OG0001031	sp|P24539|AT5F1_HUMAN	tr|A0A8B8VM55|A0A8B8VM55_BALMU, tr|A0A8B8XX38|A0A8B8XX38_BALMU, tr|A0A8C0CWV1|A0A8C0CWV1_BALMU
OG0001032	sp|Q9NVW2|RNF12_HUMAN	tr|A0A8B8WEV1|A0A8B8WEV1_BALMU, tr|A0A8B8WGY1|A0A8B8WGY1_BALMU, tr|A0A8B8WFG5|A0A8B8WFG5_BALMU
OG0001033	sp|O43865|SAHH2_HUMAN	tr|A0A8B8X619|A0A8B8X619_BALMU
OG0001033	sp|Q96HN2|SAHH3_HUMAN	tr|A0A8B8YJL3|A0A8B8YJL3_BALMU
OG0001034	sp|Q6PKG0|LARP1_HUMAN	tr|A0A8C0CCD1|A0A8C0CCD1_BALMU
OG0001034	sp|Q659C4|LAR1B_HUMAN	tr|A0A8B8XFU9|A0A8B8XFU9_BALMU
OG0001035	sp|Q07960|RHG01_HUMAN	tr|A0A8B8Y494|A0A8B8Y494_BALMU
OG0001035	sp|P85298|RHG08_HUMAN	tr|A0A8B8YLQ7|A0A8B8YLQ7_BALMU
OG0001036	sp|P37108|SRP14_HUMAN	tr|A0A8C0CCV9|A0A8C0CCV9_BALMU, tr|A0A8B8YSY1|A0A8B8YSY1_BALMU, tr|A0A8B8WMW6|A0A8B8WMW6_BALMU
OG0001037	sp|Q92841|DDX17_HUMAN	tr|A0A8B8YQP8|A0A8B8YQP8_BALMU
OG0001037	sp|P17844|DDX5_HUMAN	tr|A0A8B8W750|A0A8B8W750_BALMU
OG0001038	sp|Q9NRF8|PYRG2_HUMAN	tr|A0A8B8WEQ8|A0A8B8WEQ8_BALMU
OG0001038	sp|P17812|PYRG1_HUMAN	tr|A0A8B8YQU1|A0A8B8YQU1_BALMU
OG0001039	sp|O00602|FCN1_HUMAN, sp|Q15485|FCN2_HUMAN	tr|A0A8B8XWC5|A0A8B8XWC5_BALMU, tr|A0A8B8XQA1|A0A8B8XQA1_BALMU
OG0001040	sp|O94808|GFPT2_HUMAN	tr|A0A8C0CVF9|A0A8C0CVF9_BALMU
OG0001040	sp|Q06210|GFPT1_HUMAN	tr|A0A8B8Z1A0|A0A8B8Z1A0_BALMU
OG0001041	sp|O43520|AT8B1_HUMAN	tr|A0A8B8ZBD7|A0A8B8ZBD7_BALMU
OG0001041	sp|O60423|AT8B3_HUMAN	tr|A0A8B8X1B4|A0A8B8X1B4_BALMU
OG0001042	sp|Q96HA1|P121A_HUMAN, sp|A6NF01|P121B_HUMAN, sp|A8CG34|P121C_HUMAN	tr|A0A8B8V898|A0A8B8V898_BALMU
OG0001043	sp|Q5VZY2|PLPP4_HUMAN	tr|A0A8C0DBW1|A0A8C0DBW1_BALMU
OG0001043	sp|Q8NEB5|PLPP5_HUMAN	tr|A0A8B8WBR5|A0A8B8WBR5_BALMU
OG0001044	sp|P30613|KPYR_HUMAN	tr|A0A8B8VRW9|A0A8B8VRW9_BALMU
OG0001044	sp|P14618|KPYM_HUMAN	tr|A0A8B8WDE3|A0A8B8WDE3_BALMU
OG0001045	sp|Q8NBV4|PLPP7_HUMAN	tr|A0A8B8XZ06|A0A8B8XZ06_BALMU
OG0001045	sp|Q8IY26|PLPP6_HUMAN	tr|A0A8B8XYE9|A0A8B8XYE9_BALMU
OG0001046	sp|Q9UJW2|TINAG_HUMAN	tr|A0A8B8YVZ8|A0A8B8YVZ8_BALMU
OG0001046	sp|Q9GZM7|TINAL_HUMAN	tr|A0A8B8YFH2|A0A8B8YFH2_BALMU
OG0001047	sp|Q8IX30|SCUB3_HUMAN	tr|A0A8B8YVC0|A0A8B8YVC0_BALMU
OG0001047	sp|Q8IWY4|SCUB1_HUMAN	tr|A0A8B8YRD8|A0A8B8YRD8_BALMU
OG0001048	sp|Q9Y6E0|STK24_HUMAN	tr|A0A8C0DYV9|A0A8C0DYV9_BALMU
OG0001048	sp|Q9P289|STK26_HUMAN	tr|A0A8C0E1G8|A0A8C0E1G8_BALMU
OG0001049	sp|A0A494C0N9|F246B_HUMAN, sp|A0A494C0Y3|F246A_HUMAN, sp|P0DSO1|F246C_HUMAN	tr|A0A8B8V3R5|A0A8B8V3R5_BALMU
OG0001050	sp|O43301|HS12A_HUMAN	tr|A0A8C0DI87|A0A8C0DI87_BALMU
OG0001050	sp|Q96MM6|HS12B_HUMAN	tr|A0A8B8VAN3|A0A8B8VAN3_BALMU
OG0001051	sp|Q8IUX7|AEBP1_HUMAN	tr|A0A8C0CV98|A0A8C0CV98_BALMU
OG0001051	sp|Q8N436|CPXM2_HUMAN	tr|A0A8B8VIP8|A0A8B8VIP8_BALMU
OG0001052	sp|Q8IYR6|TEFF1_HUMAN	tr|A0A8B8Y1S0|A0A8B8Y1S0_BALMU, tr|A0A8B8XNP9|A0A8B8XNP9_BALMU, tr|A0A8C0CPW5|A0A8C0CPW5_BALMU
OG0001053	sp|Q96HD1|CREL1_HUMAN	tr|A0A8B8YQA8|A0A8B8YQA8_BALMU
OG0001053	sp|Q6UXH1|CREL2_HUMAN	tr|A0A8B8YIK9|A0A8B8YIK9_BALMU
OG0001054	sp|Q9Y4J8|DTNA_HUMAN	tr|A0A8B8Z6K4|A0A8B8Z6K4_BALMU
OG0001054	sp|O60941|DTNB_HUMAN	tr|A0A8B8ZBE3|A0A8B8ZBE3_BALMU
OG0001055	sp|Q6ZMN7|PZRN4_HUMAN	tr|A0A8C0DFT3|A0A8C0DFT3_BALMU
OG0001055	sp|Q9UPQ7|PZRN3_HUMAN	tr|A0A8B8YUT7|A0A8B8YUT7_BALMU
OG0001056	sp|Q5H9L4|TAF7L_HUMAN	tr|A0A8C0DWR2|A0A8C0DWR2_BALMU
OG0001056	sp|Q15545|TAF7_HUMAN	tr|A0A8B8X3F7|A0A8B8X3F7_BALMU
OG0001057	sp|Q9Y4G8|RPGF2_HUMAN	tr|A0A8B8XHB5|A0A8B8XHB5_BALMU
OG0001057	sp|Q8TEU7|RPGF6_HUMAN	tr|A0A8B8X071|A0A8B8X071_BALMU
OG0001058	sp|Q9Y6L6|SO1B1_HUMAN, sp|G3V0H7|SO1B7_HUMAN, sp|Q9NPD5|SO1B3_HUMAN	tr|A0A8B8YGR2|A0A8B8YGR2_BALMU
OG0001059	sp|Q92523|CPT1B_HUMAN	tr|A0A8B8YJG6|A0A8B8YJG6_BALMU
OG0001059	sp|P50416|CPT1A_HUMAN	tr|A0A8B8Y1H4|A0A8B8Y1H4_BALMU
OG0001060	sp|Q00532|CDKL1_HUMAN	tr|A0A8B8WF12|A0A8B8WF12_BALMU
OG0001060	sp|Q5MAI5|CDKL4_HUMAN	tr|A0A8B8ZB10|A0A8B8ZB10_BALMU
OG0001061	sp|O95263|PDE8B_HUMAN	tr|A0A8C0HWU2|A0A8C0HWU2_BALMU
OG0001061	sp|O60658|PDE8A_HUMAN	tr|A0A8B8WSX2|A0A8B8WSX2_BALMU
OG0001062	sp|P52736|ZN133_HUMAN	tr|A0A8B8VDZ9|A0A8B8VDZ9_BALMU
OG0001062	sp|P10072|ZN875_HUMAN	tr|A0A8B8VV29|A0A8B8VV29_BALMU
OG0001063	sp|P13674|P4HA1_HUMAN	tr|A0A8B8VLA8|A0A8B8VLA8_BALMU
OG0001063	sp|O15460|P4HA2_HUMAN	tr|A0A8B8WWX1|A0A8B8WWX1_BALMU
OG0001064	sp|Q08AF3|SLFN5_HUMAN, sp|Q68D06|SLN13_HUMAN, sp|Q7Z7L1|SLN11_HUMAN	tr|A0A8B8WAN4|A0A8B8WAN4_BALMU
OG0001065	sp|P51513|NOVA1_HUMAN	tr|A0A8B8WST9|A0A8B8WST9_BALMU
OG0001065	sp|Q9UNW9|NOVA2_HUMAN	tr|A0A8C0I6S3|A0A8C0I6S3_BALMU
OG0001066	sp|Q15796|SMAD2_HUMAN	tr|A0A8B8Z9K9|A0A8B8Z9K9_BALMU
OG0001066	sp|P84022|SMAD3_HUMAN	tr|A0A8B8WU27|A0A8B8WU27_BALMU
OG0001067	sp|Q13185|CBX3_HUMAN	tr|A0A8B8Y9K3|A0A8B8Y9K3_BALMU, tr|A0A8B8X3M8|A0A8B8X3M8_BALMU, tr|A0A8B8YIK7|A0A8B8YIK7_BALMU
OG0001068	sp|Q9UNF0|PACN2_HUMAN	tr|A0A8B8YF59|A0A8B8YF59_BALMU
OG0001068	sp|Q9BY11|PACN1_HUMAN	tr|A0A8B8YXR5|A0A8B8YXR5_BALMU
OG0001069	sp|Q8IYP2|PRS58_HUMAN	tr|A0A8B8YEA0|A0A8B8YEA0_BALMU, tr|A0A8C0DFB3|A0A8C0DFB3_BALMU, tr|A0A8B8YKT4|A0A8B8YKT4_BALMU
OG0001070	sp|Q9NQA5|TRPV5_HUMAN	tr|A0A8C0DN63|A0A8C0DN63_BALMU
OG0001070	sp|Q9H1D0|TRPV6_HUMAN	tr|A0A8B8YCB0|A0A8B8YCB0_BALMU
OG0001071	sp|Q6UXF7|CL18B_HUMAN, sp|Q8NCF0|CL18C_HUMAN, sp|A5D8T8|CL18A_HUMAN	tr|A0A8B8W1R8|A0A8B8W1R8_BALMU
OG0001072	sp|P60842|IF4A1_HUMAN	tr|A0A8B8W556|A0A8B8W556_BALMU
OG0001072	sp|Q14240|IF4A2_HUMAN	tr|A0A8B8X968|A0A8B8X968_BALMU
OG0001073	sp|P25440|BRD2_HUMAN	tr|A0A8B8YW02|A0A8B8YW02_BALMU
OG0001073	sp|Q15059|BRD3_HUMAN	tr|A0A8B8XLW6|A0A8B8XLW6_BALMU
OG0001074	sp|Q05513|KPCZ_HUMAN	tr|A0A8B8YGR5|A0A8B8YGR5_BALMU
OG0001074	sp|P41743|KPCI_HUMAN	tr|A0A8C0CA65|A0A8C0CA65_BALMU
OG0001075	sp|Q8NC26|ZN114_HUMAN, sp|Q86TJ5|ZN554_HUMAN, sp|A8MT65|ZN891_HUMAN	tr|A0A8B8Z8C2|A0A8B8Z8C2_BALMU
OG0001076	sp|Q6PIU2|NCEH1_HUMAN, sp|P22760|AAAD_HUMAN, sp|Q6P093|ADCL2_HUMAN	tr|A0A8C0CG86|A0A8C0CG86_BALMU
OG0001077	sp|Q8TDW0|LRC8C_HUMAN	tr|A0A8B8VI87|A0A8B8VI87_BALMU
OG0001077	sp|Q6NSJ5|LRC8E_HUMAN	tr|A0A8C0HSV5|A0A8C0HSV5_BALMU
OG0001078	sp|Q9ULM6|CNOT6_HUMAN	tr|A0A8C0CUP8|A0A8C0CUP8_BALMU
OG0001078	sp|Q96LI5|CNO6L_HUMAN	tr|A0A8B8XKW9|A0A8B8XKW9_BALMU
OG0001079	sp|O75746|S2512_HUMAN	tr|A0A8C0DYP6|A0A8C0DYP6_BALMU
OG0001079	sp|Q9UJS0|S2513_HUMAN	tr|A0A8B8Y9K6|A0A8B8Y9K6_BALMU
OG0001080	sp|Q6PEW1|ZCH12_HUMAN	tr|A0A8B8WHJ8|A0A8B8WHJ8_BALMU
OG0001080	sp|P0CG32|ZCC18_HUMAN	tr|A0A8B8WFW8|A0A8B8WFW8_BALMU
OG0001081	sp|Q9BZA5|TXNG2_HUMAN, sp|Q9NUQ3|TXLNG_HUMAN	tr|A0A8B8WIU8|A0A8B8WIU8_BALMU, tr|A0A8B8WF80|A0A8B8WF80_BALMU
OG0001083	sp|Q99755|PI51A_HUMAN, sp|A2A3N6|PIPSL_HUMAN	tr|A0A8B8W5W7|A0A8B8W5W7_BALMU, tr|A0A8B8WWG1|A0A8B8WWG1_BALMU
OG0001084	sp|Q8NGQ5|OR9Q1_HUMAN	tr|A0A8B8Y713|A0A8B8Y713_BALMU
OG0001084	sp|Q8NGE9|OR9Q2_HUMAN	tr|A0A8B8YF37|A0A8B8YF37_BALMU
OG0001085	sp|Q03721|KCNC4_HUMAN	tr|A0A8C0CVG2|A0A8C0CVG2_BALMU
OG0001085	sp|P48547|KCNC1_HUMAN	tr|A0A8C0DBN7|A0A8C0DBN7_BALMU
OG0001086	sp|O76027|ANXA9_HUMAN, sp|P13928|ANXA8_HUMAN, sp|Q5VT79|AXA81_HUMAN	tr|A0A8C0I6Z7|A0A8C0I6Z7_BALMU
OG0001087	sp|Q96T83|SL9A7_HUMAN	tr|A0A8B8WEE3|A0A8B8WEE3_BALMU
OG0001087	sp|Q92581|SL9A6_HUMAN	tr|A0A8B8WIA4|A0A8B8WIA4_BALMU
OG0001088	sp|Q71UI9|H2AV_HUMAN	tr|A0A8B8YBD8|A0A8B8YBD8_BALMU
OG0001088	sp|P0C0S5|H2AZ_HUMAN	tr|A0A8B8XQJ3|A0A8B8XQJ3_BALMU
OG0001089	sp|Q6ZUT9|DEN5B_HUMAN	tr|A0A8B8YFC9|A0A8B8YFC9_BALMU
OG0001089	sp|Q6IQ26|DEN5A_HUMAN	tr|A0A8C0CV87|A0A8C0CV87_BALMU
OG0001090	sp|A8MTT3|CEBOS_HUMAN	tr|A0A8B8Z2R0|A0A8B8Z2R0_BALMU, tr|A0A8B8VMM5|A0A8B8VMM5_BALMU, tr|A0A8B8WB54|A0A8B8WB54_BALMU
OG0001091	sp|P23396|RS3_HUMAN	tr|A0A8B8WGR8|A0A8B8WGR8_BALMU, tr|A0A8B8X474|A0A8B8X474_BALMU, tr|A0A8C0HWL4|A0A8C0HWL4_BALMU
OG0001092	sp|P59025|RTP1_HUMAN	tr|A0A8B8X8L0|A0A8B8X8L0_BALMU
OG0001092	sp|Q5QGT7|RTP2_HUMAN	tr|A0A8B8XIG5|A0A8B8XIG5_BALMU
OG0001093	sp|P05496|AT5G1_HUMAN	tr|A0A8B8V295|A0A8B8V295_BALMU, tr|A0A8B8WCS4|A0A8B8WCS4_BALMU, tr|A0A8B8Z471|A0A8B8Z471_BALMU
OG0001094	tr|A0A7P0TBJ1|A0A7P0TBJ1_HUMAN	tr|A0A8C0DY85|A0A8C0DY85_BALMU
OG0001094	sp|Q14CZ0|HAPR1_HUMAN	tr|A0A8C0E5Y3|A0A8C0E5Y3_BALMU
OG0001095	sp|P17010|ZFX_HUMAN	tr|A0A8B8WG21|A0A8B8WG21_BALMU
OG0001095	sp|P08048|ZFY_HUMAN	tr|A0A8B8WIU2|A0A8B8WIU2_BALMU
OG0001096	sp|P06213|INSR_HUMAN	tr|A0A8C0CAA7|A0A8C0CAA7_BALMU
