Orthogroup	Homo_sapiens	Marmota_marmota_marmota
OG0000338	sp|Q92769|HDAC2_HUMAN	tr|A0A8C5ZLU8|A0A8C5ZLU8_MARMA
OG0000338	sp|Q13547|HDAC1_HUMAN	tr|A0A8C5ZT60|A0A8C5ZT60_MARMA, tr|A0A8C5Z4V8|A0A8C5Z4V8_MARMA, tr|A0A8C5YTK0|A0A8C5YTK0_MARMA, tr|A0A8C5Z541|A0A8C5Z541_MARMA
OG0000339	sp|Q99418|CYH2_HUMAN	tr|A0A8C5ZIQ8|A0A8C5ZIQ8_MARMA
OG0000339	sp|Q15438|CYH1_HUMAN	tr|A0A8C6EQT7|A0A8C6EQT7_MARMA
OG0000339	sp|Q9UIA0|CYH4_HUMAN, sp|O43739|CYH3_HUMAN	tr|A0A8C6EQP3|A0A8C6EQP3_MARMA
OG0000340	sp|P17252|KPCA_HUMAN	tr|A0A8C5ZD58|A0A8C5ZD58_MARMA
OG0000340	sp|P05771|KPCB_HUMAN	tr|A0A8C6EZH4|A0A8C6EZH4_MARMA
OG0000340	sp|P05129|KPCG_HUMAN	tr|A0A8C5Z2I8|A0A8C5Z2I8_MARMA, tr|A0A8C6ENS5|A0A8C6ENS5_MARMA
OG0000341	sp|P23468|PTPRD_HUMAN	tr|A0A8C6EMT6|A0A8C6EMT6_MARMA
OG0000341	sp|P10586|PTPRF_HUMAN	tr|A0A8C6EM62|A0A8C6EM62_MARMA
OG0000341	sp|Q13332|PTPRS_HUMAN	tr|A0A8C5ZWW6|A0A8C5ZWW6_MARMA, tr|A0A8C5ZY68|A0A8C5ZY68_MARMA
OG0000342	sp|Q9NYV8|T2R14_HUMAN	tr|A0A8C5ZSN5|A0A8C5ZSN5_MARMA, tr|A0A8C5ZN63|A0A8C5ZN63_MARMA, tr|A0A8C5ZPU1|A0A8C5ZPU1_MARMA, tr|A0A8C5ZN68|A0A8C5ZN68_MARMA, tr|A0A8C5ZNM7|A0A8C5ZNM7_MARMA, tr|A0A8C6EUW7|A0A8C6EUW7_MARMA
OG0000343	sp|P61550|ENVT1_HUMAN	tr|A0A8C6A4Q9|A0A8C6A4Q9_MARMA, tr|A0A8C6A6E7|A0A8C6A6E7_MARMA, tr|A0A8C6A7E6|A0A8C6A7E6_MARMA, tr|A0A8C5ZSZ2|A0A8C5ZSZ2_MARMA, tr|A0A8C5ZBY4|A0A8C5ZBY4_MARMA, tr|A0A8C5ZLD0|A0A8C5ZLD0_MARMA
OG0000344	sp|P67936|TPM4_HUMAN	tr|A0A8C5YN06|A0A8C5YN06_MARMA, tr|A0A8C5ZNB8|A0A8C5ZNB8_MARMA, tr|A0A8C6EVK8|A0A8C6EVK8_MARMA, tr|A0A8C5YYL2|A0A8C5YYL2_MARMA, tr|A0A8C6EYS5|A0A8C6EYS5_MARMA, tr|A0A8C6EP63|A0A8C6EP63_MARMA
OG0000348	sp|Q969W8|ZN566_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A8C5YWA7|A0A8C5YWA7_MARMA
OG0000349	sp|Q5TF39|MFS4B_HUMAN	tr|A0A8C5ZMC5|A0A8C5ZMC5_MARMA, tr|A0A8C5ZNP2|A0A8C5ZNP2_MARMA, tr|A0A8C6EUE0|A0A8C6EUE0_MARMA, tr|A0A8C5ZLQ9|A0A8C5ZLQ9_MARMA, tr|A0A8C5ZKP3|A0A8C5ZKP3_MARMA
OG0000350	sp|P62834|RAP1A_HUMAN	tr|A0A8C5ZDF9|A0A8C5ZDF9_MARMA
OG0000350	sp|P61224|RAP1B_HUMAN	tr|A0A8C5YZ48|A0A8C5YZ48_MARMA
OG0000350	sp|A6NIZ1|RP1BL_HUMAN	tr|A0A8C5ZRQ4|A0A8C5ZRQ4_MARMA
OG0000351	sp|Q13117|DAZ2_HUMAN, sp|Q9NQZ3|DAZ1_HUMAN, sp|Q86SG3|DAZ4_HUMAN, sp|Q9NR90|DAZ3_HUMAN, sp|Q92904|DAZL_HUMAN	tr|A0A8C5Z6F0|A0A8C5Z6F0_MARMA
OG0000352	sp|P07101|TY3H_HUMAN	tr|A0A8C5YWS2|A0A8C5YWS2_MARMA
OG0000352	sp|P17752|TPH1_HUMAN	tr|A0A8C5YVB2|A0A8C5YVB2_MARMA
OG0000352	sp|Q8IWU9|TPH2_HUMAN	tr|A0A8C5YT20|A0A8C5YT20_MARMA
OG0000353	sp|Q9H7D0|DOCK5_HUMAN	tr|A0A8C5ZJN8|A0A8C5ZJN8_MARMA
OG0000353	sp|Q14185|DOCK1_HUMAN	tr|A0A8C6ENA5|A0A8C6ENA5_MARMA
OG0000353	sp|Q92608|DOCK2_HUMAN	tr|A0A8C5ZEF8|A0A8C5ZEF8_MARMA
OG0000354	sp|Q8N7N1|F86B1_HUMAN, sp|P0C5J1|F86B2_HUMAN, sp|Q96G04|EF2KT_HUMAN, sp|Q9NVL1|F86C1_HUMAN, sp|A6NEL3|F86C2_HUMAN	tr|A0A8C5YXC0|A0A8C5YXC0_MARMA
OG0000356	sp|P35913|PDE6B_HUMAN	tr|A0A8C6ERL0|A0A8C6ERL0_MARMA
OG0000356	sp|P16499|PDE6A_HUMAN	tr|A0A8C6A062|A0A8C6A062_MARMA
OG0000356	sp|P51160|PDE6C_HUMAN	tr|A0A8C5ZQP4|A0A8C5ZQP4_MARMA
OG0000358	sp|Q8N7R7|CCYL1_HUMAN	tr|A0A8C5ZL65|A0A8C5ZL65_MARMA
OG0000358	sp|Q5T2Q4|CCYL2_HUMAN, sp|P0C7X3|CCYL3_HUMAN, sp|Q8ND76|CCNY_HUMAN	tr|A0A8C6EUR4|A0A8C6EUR4_MARMA
OG0000359	sp|Q8NDX2|VGLU3_HUMAN	tr|A0A8C5ZWT6|A0A8C5ZWT6_MARMA
OG0000359	sp|Q9P2U8|VGLU2_HUMAN	tr|A0A8C5YZW3|A0A8C5YZW3_MARMA
OG0000359	sp|Q9P2U7|VGLU1_HUMAN	tr|A0A8C6ES19|A0A8C6ES19_MARMA
OG0000360	sp|Q8NF50|DOCK8_HUMAN	tr|A0A8C5YUM4|A0A8C5YUM4_MARMA
OG0000360	sp|Q96HP0|DOCK6_HUMAN	tr|A0A8C6A2B9|A0A8C6A2B9_MARMA
OG0000360	sp|Q96N67|DOCK7_HUMAN	tr|A0A8C5ZJE8|A0A8C5ZJE8_MARMA
OG0000361	sp|Q7Z407|CSMD3_HUMAN	tr|A0A8C6EVU6|A0A8C6EVU6_MARMA
OG0000361	sp|Q7Z408|CSMD2_HUMAN	tr|A0A8C6ER14|A0A8C6ER14_MARMA
OG0000361	sp|Q96PZ7|CSMD1_HUMAN	tr|A0A8C6ADK8|A0A8C6ADK8_MARMA
OG0000362	sp|P55285|CADH6_HUMAN	tr|A0A8C5YSQ7|A0A8C5YSQ7_MARMA
OG0000362	sp|Q9Y6N8|CAD10_HUMAN	tr|A0A8C5YV03|A0A8C5YV03_MARMA
OG0000362	sp|Q9ULB4|CADH9_HUMAN	tr|A0A8C5YUZ2|A0A8C5YUZ2_MARMA
OG0000363	sp|Q9Y4C2|TCAF1_HUMAN	tr|A0A8C5Z2R1|A0A8C5Z2R1_MARMA
OG0000363	tr|A0A1B0GVM2|A0A1B0GVM2_HUMAN	tr|A0A8C5Z382|A0A8C5Z382_MARMA
OG0000363	sp|A6NFQ2|TCAF2_HUMAN	tr|A0A8C6EQT3|A0A8C6EQT3_MARMA
OG0000364	sp|P06340|DOA_HUMAN	tr|A0A8C6AFX2|A0A8C6AFX2_MARMA
OG0000364	sp|P01906|DQA2_HUMAN, sp|P01909|DQA1_HUMAN, sp|P20036|DPA1_HUMAN	tr|A0A8C6AD95|A0A8C6AD95_MARMA
OG0000365	sp|A8K0Z3|WASH1_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN	tr|A0A8C6AEP5|A0A8C6AEP5_MARMA
OG0000366	sp|P06733|ENOA_HUMAN	tr|A0A8C5ZTK5|A0A8C5ZTK5_MARMA
OG0000366	sp|P13929|ENOB_HUMAN	tr|A0A8C6EW76|A0A8C6EW76_MARMA
OG0000366	sp|P09104|ENOG_HUMAN	tr|A0A8C5ZR18|A0A8C5ZR18_MARMA
OG0000367	sp|Q14571|ITPR2_HUMAN	tr|A0A8C6A0C5|A0A8C6A0C5_MARMA
OG0000367	sp|Q14643|ITPR1_HUMAN	tr|A0A8C6EQS4|A0A8C6EQS4_MARMA
OG0000367	sp|Q14573|ITPR3_HUMAN	tr|A0A8C6AE54|A0A8C6AE54_MARMA
OG0000368	sp|Q8TDI0|CHD5_HUMAN	tr|A0A8C5ZWP3|A0A8C5ZWP3_MARMA
OG0000368	sp|Q14839|CHD4_HUMAN	tr|A0A8C5ZXY5|A0A8C5ZXY5_MARMA
OG0000368	sp|Q12873|CHD3_HUMAN	tr|A0A8C6A4M1|A0A8C6A4M1_MARMA
OG0000369	sp|Q96GM5|SMRD1_HUMAN	tr|A0A8C6A7T9|A0A8C6A7T9_MARMA
OG0000369	sp|Q92925|SMRD2_HUMAN	tr|A0A8C5Z8X6|A0A8C5Z8X6_MARMA
OG0000369	sp|Q6STE5|SMRD3_HUMAN	tr|A0A8C5Z0N2|A0A8C5Z0N2_MARMA
OG0000370	sp|Q14315|FLNC_HUMAN	tr|A0A8C5ZU62|A0A8C5ZU62_MARMA
OG0000370	sp|P21333|FLNA_HUMAN	tr|A0A8C5ZPB9|A0A8C5ZPB9_MARMA
OG0000370	sp|O75369|FLNB_HUMAN	tr|A0A8C5Z7D8|A0A8C5Z7D8_MARMA
OG0000371	sp|P01242|SOM2_HUMAN, sp|P01241|SOMA_HUMAN, sp|Q14406|CSHL_HUMAN, sp|P0DML3|CSH2_HUMAN, sp|P0DML2|CSH1_HUMAN	tr|A0A8C5ZB63|A0A8C5ZB63_MARMA
OG0000373	sp|Q8NGU2|OR9A4_HUMAN	tr|A0A8C6ESG5|A0A8C6ESG5_MARMA
OG0000373	sp|Q8NGU1|OR9A1_HUMAN	tr|A0A8C5ZEK4|A0A8C5ZEK4_MARMA
OG0000373	sp|Q8NGT5|OR9A2_HUMAN	tr|A0A8C5Z3J2|A0A8C5Z3J2_MARMA
OG0000374	sp|Q49AS3|L37A5_HUMAN, sp|O60309|L37A3_HUMAN, sp|A6NMS7|L37A1_HUMAN, sp|A6NM11|L37A2_HUMAN, sp|Q96QE4|LR37B_HUMAN	tr|A0A8C5YLL1|A0A8C5YLL1_MARMA
OG0000375	sp|Q86YQ8|CPNE8_HUMAN	tr|A0A8C6A8P8|A0A8C6A8P8_MARMA
OG0000375	sp|Q8IYJ1|CPNE9_HUMAN	tr|A0A8C5Z5G0|A0A8C5Z5G0_MARMA
OG0000375	sp|Q9HCH3|CPNE5_HUMAN	tr|A0A8C6AE23|A0A8C6AE23_MARMA
OG0000376	sp|P0DN87|CGB7_HUMAN, sp|Q6NT52|CGB2_HUMAN, sp|P0DN86|CGB3_HUMAN, sp|A6NKQ9|CGB1_HUMAN, sp|P01229|LSHB_HUMAN	tr|A0A8C5ZFM0|A0A8C5ZFM0_MARMA
OG0000377	sp|Q15797|SMAD1_HUMAN	tr|A0A8C5YLB3|A0A8C5YLB3_MARMA
OG0000377	sp|O15198|SMAD9_HUMAN	tr|A0A8C6EYN6|A0A8C6EYN6_MARMA
OG0000377	sp|Q99717|SMAD5_HUMAN	tr|A0A8C5YYM5|A0A8C5YYM5_MARMA
OG0000378	sp|Q15059|BRD3_HUMAN	tr|A0A8C5ZFK9|A0A8C5ZFK9_MARMA
OG0000378	sp|P25440|BRD2_HUMAN	tr|A0A8C6EZJ6|A0A8C6EZJ6_MARMA
OG0000378	sp|O60885|BRD4_HUMAN	tr|A0A8C6A5S1|A0A8C6A5S1_MARMA
OG0000379	sp|P28562|DUS1_HUMAN	tr|A0A8C5Z9A4|A0A8C5Z9A4_MARMA
OG0000379	sp|Q05923|DUS2_HUMAN	tr|A0A8C6EM79|A0A8C6EM79_MARMA
OG0000379	sp|Q13115|DUS4_HUMAN	tr|A0A8C5Z7R3|A0A8C5Z7R3_MARMA
OG0000380	sp|Q2VIR3|IF2GL_HUMAN	tr|A0A8C5Z8K8|A0A8C5Z8K8_MARMA, tr|A0A8C5YS92|A0A8C5YS92_MARMA
OG0000380	sp|P41091|IF2G_HUMAN	tr|A0A8C6A5E9|A0A8C6A5E9_MARMA, tr|A0A8C6A6I4|A0A8C6A6I4_MARMA
OG0000383	sp|O60243|H6ST1_HUMAN	tr|A0A8C6A4A4|A0A8C6A4A4_MARMA
OG0000383	sp|Q96MM7|H6ST2_HUMAN	tr|A0A8C5YSA2|A0A8C5YSA2_MARMA
OG0000383	sp|Q8IZP7|H6ST3_HUMAN	tr|A0A8C6EY97|A0A8C6EY97_MARMA
OG0000384	sp|Q5KSL6|DGKK_HUMAN	tr|A0A8C5ZBC2|A0A8C5ZBC2_MARMA
OG0000384	sp|Q16760|DGKD_HUMAN	tr|A0A8C6ENA7|A0A8C6ENA7_MARMA
OG0000384	sp|Q86XP1|DGKH_HUMAN	tr|A0A8C6AC20|A0A8C6AC20_MARMA
OG0000385	sp|Q6XPR3|RPTN_HUMAN	tr|A0A8C5ZUW3|A0A8C5ZUW3_MARMA
OG0000385	sp|A6NMZ2|SNTAN_HUMAN, sp|P04271|S100B_HUMAN, sp|P23297|S10A1_HUMAN	tr|A0A8C5ZU78|A0A8C5ZU78_MARMA
OG0000386	sp|Q9BZK7|TBL1R_HUMAN	tr|A0A8C5YWI5|A0A8C5YWI5_MARMA
OG0000386	sp|O60907|TBL1X_HUMAN, sp|Q9BQ87|TBL1Y_HUMAN	tr|A0A8C6ETG8|A0A8C6ETG8_MARMA, tr|A0A8C6AGR7|A0A8C6AGR7_MARMA
OG0000387	sp|Q08AF3|SLFN5_HUMAN, sp|Q6IEE8|SN12L_HUMAN, sp|Q8IYM2|SLN12_HUMAN, sp|Q7Z7L1|SLN11_HUMAN, sp|Q68D06|SLN13_HUMAN	tr|A0A8C5ZW27|A0A8C5ZW27_MARMA
OG0000388	tr|A0A087X1C1|A0A087X1C1_HUMAN, sp|Q86U02|CN165_HUMAN, sp|A0A096LPI5|GVQW2_HUMAN, sp|Q8NDZ0|BEND2_HUMAN, sp|Q6UX73|CP089_HUMAN	tr|A0A8C5Z196|A0A8C5Z196_MARMA
OG0000389	sp|P51854|TKTL1_HUMAN	tr|A0A8C5Z8Z3|A0A8C5Z8Z3_MARMA
OG0000389	sp|P29401|TKT_HUMAN	tr|A0A8C5ZBS2|A0A8C5ZBS2_MARMA
OG0000389	sp|Q9H0I9|TKTL2_HUMAN	tr|A0A8C5ZMT3|A0A8C5ZMT3_MARMA
OG0000391	sp|Q96S37|S22AC_HUMAN, sp|Q63ZE4|S22AA_HUMAN, sp|Q8N4F4|S22AO_HUMAN, sp|Q8IVM8|S22A9_HUMAN, sp|Q6T423|S22AP_HUMAN	tr|A0A8C5Z3T0|A0A8C5Z3T0_MARMA
OG0000392	sp|Q14410|GLPK2_HUMAN	tr|A0A8C6EPT2|A0A8C6EPT2_MARMA
OG0000392	sp|Q14409|GLPK3_HUMAN, sp|P32189|GLPK_HUMAN	tr|A0A8C5Z8E1|A0A8C5Z8E1_MARMA, tr|A0A8C6ERJ0|A0A8C6ERJ0_MARMA
OG0000393	sp|Q9UKE5|TNIK_HUMAN	tr|A0A8C5YZC7|A0A8C5YZC7_MARMA
OG0000393	sp|Q8N4C8|MINK1_HUMAN	tr|A0A8C5ZUL1|A0A8C5ZUL1_MARMA
OG0000393	sp|O95819|M4K4_HUMAN	tr|A0A8C6A025|A0A8C6A025_MARMA
OG0000394	sp|O95416|SOX14_HUMAN, sp|Q9Y651|SOX21_HUMAN, sp|O94993|SOX30_HUMAN, sp|Q06945|SOX4_HUMAN, sp|O15370|SOX12_HUMAN	tr|A0A8C5ZUX9|A0A8C5ZUX9_MARMA
OG0000395	sp|P0DV77|TPRX2_HUMAN, sp|Q8N7U7|TPRX1_HUMAN, sp|Q8N693|ESX1_HUMAN, sp|P56915|GSC_HUMAN, sp|O15499|GSC2_HUMAN	tr|A0A8C5YSY0|A0A8C5YSY0_MARMA
OG0000396	sp|Q93084|AT2A3_HUMAN	tr|A0A8C5ZYS7|A0A8C5ZYS7_MARMA
OG0000396	sp|P16615|AT2A2_HUMAN	tr|A0A8C5YRJ5|A0A8C5YRJ5_MARMA
OG0000396	sp|O14983|AT2A1_HUMAN	tr|A0A8C6ACD5|A0A8C6ACD5_MARMA
OG0000397	sp|Q9BV97|ZN747_HUMAN, sp|Q96H86|ZN764_HUMAN	tr|A0A8C6ACC0|A0A8C6ACC0_MARMA
OG0000397	sp|A8K8V0|ZN785_HUMAN, sp|P0C7X2|ZN688_HUMAN	tr|A0A8C6AAU9|A0A8C6AAU9_MARMA
OG0000398	sp|Q9HCU4|CELR2_HUMAN	tr|A0A8C6A1S3|A0A8C6A1S3_MARMA
OG0000398	sp|Q9NYQ6|CELR1_HUMAN	tr|A0A8C6ABI7|A0A8C6ABI7_MARMA
OG0000398	sp|Q9NYQ7|CELR3_HUMAN	tr|A0A8C5YYH4|A0A8C5YYH4_MARMA
OG0000399	sp|Q9Y6L7|TLL2_HUMAN	tr|A0A8C6A650|A0A8C6A650_MARMA
OG0000399	sp|O43897|TLL1_HUMAN	tr|A0A8C5ZM78|A0A8C5ZM78_MARMA
OG0000399	sp|P13497|BMP1_HUMAN	tr|A0A8C6EW77|A0A8C6EW77_MARMA
OG0000400	sp|O60814|H2B1K_HUMAN, sp|P57053|H2BFS_HUMAN, sp|P06899|H2B1J_HUMAN	tr|A0A8C5YSQ9|A0A8C5YSQ9_MARMA, tr|A0A8C5YM72|A0A8C5YM72_MARMA, tr|A0A8C5YS48|A0A8C5YS48_MARMA
OG0000401	sp|P26378|ELAV4_HUMAN	tr|A0A8C5ZWM0|A0A8C5ZWM0_MARMA
OG0000401	sp|Q12926|ELAV2_HUMAN	tr|A0A8C5Z9D2|A0A8C5Z9D2_MARMA
OG0000401	sp|Q14576|ELAV3_HUMAN	tr|A0A8C6A0U3|A0A8C6A0U3_MARMA
OG0000402	sp|Q496Y0|LONF3_HUMAN	tr|A0A8C5Z168|A0A8C5Z168_MARMA
OG0000402	sp|Q1L5Z9|LONF2_HUMAN	tr|A0A8C6A281|A0A8C6A281_MARMA
OG0000402	sp|Q17RB8|LONF1_HUMAN	tr|A0A8C5Z642|A0A8C5Z642_MARMA
OG0000403	sp|Q8TC56|GAR3_HUMAN	tr|A0A8C6EU35|A0A8C6EU35_MARMA
OG0000403	sp|Q8IYT1|GAR4_HUMAN	tr|A0A8C5YM00|A0A8C5YM00_MARMA
OG0000403	sp|Q8NEG0|GAR6_HUMAN	tr|A0A8C6A3Z4|A0A8C6A3Z4_MARMA
OG0000404	sp|O75094|SLIT3_HUMAN	tr|A0A8C5ZCT2|A0A8C5ZCT2_MARMA
OG0000404	sp|O94813|SLIT2_HUMAN	tr|A0A8C5ZSB8|A0A8C5ZSB8_MARMA
OG0000404	sp|O75093|SLIT1_HUMAN	tr|A0A8C6A4T5|A0A8C6A4T5_MARMA
OG0000405	sp|Q9UKA9|PTBP2_HUMAN	tr|A0A8C6ABR1|A0A8C6ABR1_MARMA
OG0000405	sp|P26599|PTBP1_HUMAN	tr|A0A8C5ZCZ6|A0A8C5ZCZ6_MARMA
OG0000405	sp|O95758|PTBP3_HUMAN	tr|A0A8C6EMT5|A0A8C6EMT5_MARMA
OG0000406	sp|Q13576|IQGA2_HUMAN	tr|A0A8C6EM54|A0A8C6EM54_MARMA
OG0000406	sp|P46940|IQGA1_HUMAN	tr|A0A8C5ZZC3|A0A8C5ZZC3_MARMA
OG0000406	sp|Q86VI3|IQGA3_HUMAN	tr|A0A8C5ZI59|A0A8C5ZI59_MARMA
OG0000407	sp|A0A0B4J273|TVA34_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|P0DPF4|TVA35_HUMAN	tr|A0A8C5ZLM7|A0A8C5ZLM7_MARMA
OG0000408	sp|P52294|IMA5_HUMAN	tr|A0A8C5ZHP3|A0A8C5ZHP3_MARMA
OG0000408	sp|O60684|IMA7_HUMAN	tr|A0A8C5Z661|A0A8C5Z661_MARMA
OG0000408	sp|O15131|IMA6_HUMAN	tr|A0A8C5ZNY6|A0A8C5ZNY6_MARMA
OG0000409	sp|P47870|GBRB2_HUMAN	tr|A0A8C5ZFE1|A0A8C5ZFE1_MARMA
OG0000409	sp|P18505|GBRB1_HUMAN	tr|A0A8C6A0C9|A0A8C6A0C9_MARMA
OG0000409	sp|P28472|GBRB3_HUMAN	tr|A0A8C6AAS3|A0A8C6AAS3_MARMA
OG0000410	sp|P04437|TVA29_HUMAN	tr|A0A8C5ZMU6|A0A8C5ZMU6_MARMA
OG0000410	sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN	tr|A0A8C6ETZ9|A0A8C6ETZ9_MARMA
OG0000411	sp|P40424|PBX1_HUMAN	tr|A0A8C6A6X0|A0A8C6A6X0_MARMA
OG0000411	sp|P40425|PBX2_HUMAN	tr|A0A8C5ZWG5|A0A8C5ZWG5_MARMA
OG0000411	sp|P40426|PBX3_HUMAN	tr|A0A8C5ZVN4|A0A8C5ZVN4_MARMA
OG0000412	sp|Q8WXX0|DYH7_HUMAN	tr|A0A8C5ZAN0|A0A8C5ZAN0_MARMA
OG0000412	sp|Q6ZR08|DYH12_HUMAN	tr|A0A8C5Z8W6|A0A8C5Z8W6_MARMA
OG0000412	sp|Q8TD57|DYH3_HUMAN	tr|A0A8C6AAK3|A0A8C6AAK3_MARMA
OG0000413	sp|Q12840|KIF5A_HUMAN	tr|A0A8C5ZEZ3|A0A8C5ZEZ3_MARMA
OG0000413	sp|O60282|KIF5C_HUMAN	tr|A0A8C6A6M9|A0A8C6A6M9_MARMA
OG0000413	sp|P33176|KINH_HUMAN	tr|A0A8C5ZTH4|A0A8C5ZTH4_MARMA
OG0000414	sp|Q13606|OR5I1_HUMAN, sp|O95221|OR5F1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN	tr|A0A8C5ZSM7|A0A8C5ZSM7_MARMA
OG0000415	sp|Q8TD08|MK15_HUMAN	tr|A0A8C5ZBV4|A0A8C5ZBV4_MARMA
OG0000415	sp|P28482|MK01_HUMAN	tr|A0A8C6EM12|A0A8C6EM12_MARMA
OG0000415	sp|P27361|MK03_HUMAN	tr|A0A8C6AAK1|A0A8C6AAK1_MARMA
OG0000416	sp|P84077|ARF1_HUMAN	tr|A0A8C6A7G2|A0A8C6A7G2_MARMA
OG0000416	sp|P61204|ARF3_HUMAN	tr|A0A8C5Z4J6|A0A8C5Z4J6_MARMA, tr|A0A8C5ZWZ6|A0A8C5ZWZ6_MARMA, tr|A0A8C6A2N8|A0A8C6A2N8_MARMA
OG0000417	sp|Q2PZI1|D19L1_HUMAN	tr|A0A8C5ZBF5|A0A8C5ZBF5_MARMA
OG0000417	sp|Q6ZN68|D19P2_HUMAN, sp|Q6NXN4|D19P1_HUMAN, sp|Q6NUT2|D19L2_HUMAN	tr|A0A8C5ZGZ8|A0A8C5ZGZ8_MARMA
OG0000418	sp|Q96PQ5|IPP2L_HUMAN, sp|Q6NXS1|IPP2B_HUMAN, sp|P41236|IPP2_HUMAN	tr|A0A8C6A2D4|A0A8C6A2D4_MARMA, tr|A0A8C5ZWM9|A0A8C5ZWM9_MARMA, tr|A0A8C5ZBH8|A0A8C5ZBH8_MARMA
OG0000419	sp|Q6IN85|P4R3A_HUMAN	tr|A0A8C6EXX3|A0A8C6EXX3_MARMA
OG0000419	sp|Q6ZMV5|P4R3C_HUMAN	tr|A0A8C5Z5D1|A0A8C5Z5D1_MARMA
OG0000419	sp|Q5MIZ7|P4R3B_HUMAN	tr|A0A8C5Z5F3|A0A8C5Z5F3_MARMA
OG0000420	tr|A0A2R8YF49|A0A2R8YF49_HUMAN, sp|Q12774|ARHG5_HUMAN, tr|A0A2R8YFR7|A0A2R8YFR7_HUMAN, tr|A0A5F9ZGZ6|A0A5F9ZGZ6_HUMAN, sp|A5YM69|ARG35_HUMAN	tr|A0A8C5Z686|A0A8C5Z686_MARMA
OG0000423	sp|Q9BQW3|COE4_HUMAN	tr|A0A8C6AB12|A0A8C6AB12_MARMA
OG0000423	sp|Q9HAK2|COE2_HUMAN, sp|Q9H4W6|COE3_HUMAN, sp|Q9UH73|COE1_HUMAN	tr|A0A8C5ZKH6|A0A8C5ZKH6_MARMA
OG0000424	sp|P0C5Y4|KRA14_HUMAN	tr|A0A8C5Z1U8|A0A8C5Z1U8_MARMA
OG0000424	sp|Q8IUG1|KRA13_HUMAN, sp|Q07627|KRA11_HUMAN, sp|Q9BYS1|KRA15_HUMAN	tr|A0A8C5Z5L9|A0A8C5Z5L9_MARMA
OG0000425	sp|Q9Y4K4|M4K5_HUMAN	tr|A0A8C5YPS7|A0A8C5YPS7_MARMA
OG0000425	sp|Q8IVH8|M4K3_HUMAN	tr|A0A8C5ZSD2|A0A8C5ZSD2_MARMA
OG0000425	sp|Q12851|M4K2_HUMAN	tr|A0A8C6ERE5|A0A8C6ERE5_MARMA
OG0000427	sp|P62750|RL23A_HUMAN	tr|A0A8C5ZEV6|A0A8C5ZEV6_MARMA, tr|A0A8C5ZK85|A0A8C5ZK85_MARMA, tr|A0A8C5YUF0|A0A8C5YUF0_MARMA, tr|A0A8C6AEI7|A0A8C6AEI7_MARMA, tr|A0A8C5ZDS9|A0A8C5ZDS9_MARMA
OG0000428	sp|Q86T26|TM11B_HUMAN	tr|A0A8C6EYX6|A0A8C6EYX6_MARMA
OG0000428	sp|Q9UL52|TM11E_HUMAN	tr|A0A8C6AAU2|A0A8C6AAU2_MARMA, tr|A0A8C6AAX9|A0A8C6AAX9_MARMA, tr|A0A8C6A9B5|A0A8C6A9B5_MARMA
OG0000429	sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH67|O52I2_HUMAN	tr|A0A8C5ZET0|A0A8C5ZET0_MARMA, tr|A0A8C6ET94|A0A8C6ET94_MARMA, tr|A0A8C5ZJI1|A0A8C5ZJI1_MARMA, tr|A0A8C6ET96|A0A8C6ET96_MARMA
OG0000430	sp|P16389|KCNA2_HUMAN	tr|A0A8C6EY58|A0A8C6EY58_MARMA
OG0000430	sp|P22001|KCNA3_HUMAN	tr|A0A8C6A6A2|A0A8C6A6A2_MARMA
OG0000430	sp|Q09470|KCNA1_HUMAN	tr|A0A8C5ZX18|A0A8C5ZX18_MARMA
OG0000431	sp|Q9UBM8|MGT4C_HUMAN	tr|A0A8C5YKD7|A0A8C5YKD7_MARMA, tr|A0A8C5ZIZ1|A0A8C5ZIZ1_MARMA, tr|A0A8C5ZIN1|A0A8C5ZIN1_MARMA, tr|A0A8C5ZGL7|A0A8C5ZGL7_MARMA, tr|A0A8C5ZHH6|A0A8C5ZHH6_MARMA
OG0000433	sp|P51795|CLCN5_HUMAN	tr|A0A8C6ESG9|A0A8C6ESG9_MARMA
OG0000433	sp|P51793|CLCN4_HUMAN	tr|A0A8C6EP24|A0A8C6EP24_MARMA
OG0000433	sp|P51790|CLCN3_HUMAN	tr|A0A8C5ZPL6|A0A8C5ZPL6_MARMA
OG0000435	sp|P35555|FBN1_HUMAN	tr|A0A8C6EVE4|A0A8C6EVE4_MARMA
