Orthogroup	Homo_sapiens	Orycteropus_afer_afer
OG0000192	sp|A6NHC0|CAN8_HUMAN	tr|A0A8B6ZJ65|A0A8B6ZJ65_ORYAF
OG0000192	sp|P17655|CAN2_HUMAN	tr|A0A8B6ZHI1|A0A8B6ZHI1_ORYAF
OG0000192	sp|Q9UMQ6|CAN11_HUMAN	tr|A0A8B6ZH09|A0A8B6ZH09_ORYAF
OG0000194	sp|O60403|O10H2_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN	tr|A0A8B7B6M9|A0A8B7B6M9_ORYAF
OG0000194	sp|Q8NH08|O10AC_HUMAN, sp|O60404|O10H3_HUMAN, sp|Q8NGA5|O10H4_HUMAN	tr|A0A8B7B6N9|A0A8B7B6N9_ORYAF
OG0000195	sp|P07910|HNRPC_HUMAN, sp|O60812|HNRC1_HUMAN, tr|A0A0G2JPF8|A0A0G2JPF8_HUMAN, sp|B7ZW38|HNRC3_HUMAN, sp|P0DMR1|HNRC4_HUMAN, tr|A0A0G2JNQ3|A0A0G2JNQ3_HUMAN, sp|B2RXH8|HNRC2_HUMAN	tr|A0A8B7AMW0|A0A8B7AMW0_ORYAF
OG0000196	sp|P40426|PBX3_HUMAN	tr|A0A8B7A544|A0A8B7A544_ORYAF
OG0000196	sp|P40425|PBX2_HUMAN	tr|A0A8B7ANC5|A0A8B7ANC5_ORYAF
OG0000196	sp|Q9BYU1|PBX4_HUMAN	tr|A0A8B7A6J8|A0A8B7A6J8_ORYAF
OG0000196	sp|P40424|PBX1_HUMAN	tr|A0A8B6ZJT4|A0A8B6ZJT4_ORYAF
OG0000199	sp|Q15262|PTPRK_HUMAN	tr|A0A8B7AFN3|A0A8B7AFN3_ORYAF
OG0000199	sp|Q92729|PTPRU_HUMAN	tr|A0A8B6ZEE4|A0A8B6ZEE4_ORYAF
OG0000199	sp|O14522|PTPRT_HUMAN	tr|A0A8B6ZFV9|A0A8B6ZFV9_ORYAF
OG0000199	sp|P28827|PTPRM_HUMAN	tr|A0A8B7AI73|A0A8B7AI73_ORYAF
OG0000200	sp|Q08043|ACTN3_HUMAN	tr|A0A8B7A4N1|A0A8B7A4N1_ORYAF
OG0000200	sp|P35609|ACTN2_HUMAN	tr|A0A8B7B2L3|A0A8B7B2L3_ORYAF
OG0000200	sp|O43707|ACTN4_HUMAN	tr|A0A8B7B1E0|A0A8B7B1E0_ORYAF
OG0000200	sp|P12814|ACTN1_HUMAN	tr|A0A8B6ZXU9|A0A8B6ZXU9_ORYAF
OG0000202	sp|Q96RI8|TAAR6_HUMAN	tr|A0A8B7AC61|A0A8B7AC61_ORYAF, tr|A0A8B7AHR9|A0A8B7AHR9_ORYAF
OG0000202	sp|Q96RI9|TAAR9_HUMAN	tr|A0A8B7AC63|A0A8B7AC63_ORYAF, tr|A0A8B7AC81|A0A8B7AC81_ORYAF
OG0000202	sp|Q969N4|TAAR8_HUMAN	tr|A0A8B7AC90|A0A8B7AC90_ORYAF
OG0000203	sp|Q9UGF7|O12D3_HUMAN	tr|A0A8B7B6K9|A0A8B7B6K9_ORYAF, tr|A0A8B7ANU9|A0A8B7ANU9_ORYAF, tr|A0A8B7B900|A0A8B7B900_ORYAF, tr|A0A8B7B5P6|A0A8B7B5P6_ORYAF, tr|A0A8B7B915|A0A8B7B915_ORYAF, tr|A0A8B7B509|A0A8B7B509_ORYAF, tr|A0A8B7B5R3|A0A8B7B5R3_ORYAF
OG0000204	sp|P05538|DQB2_HUMAN, sp|P01920|DQB1_HUMAN, sp|P04440|DPB1_HUMAN, sp|P13762|DRB4_HUMAN, sp|P01911|DRB1_HUMAN, sp|P79483|DRB3_HUMAN, sp|Q30154|DRB5_HUMAN	tr|A0A8B7ATL8|A0A8B7ATL8_ORYAF
OG0000205	sp|O43295|SRGP3_HUMAN	tr|A0A8B7A7V4|A0A8B7A7V4_ORYAF
OG0000205	sp|Q7Z6B7|SRGP1_HUMAN	tr|A0A8B7A428|A0A8B7A428_ORYAF
OG0000205	sp|P0DJJ0|SRG2C_HUMAN, sp|P0DMP2|SRG2B_HUMAN, sp|O75044|SRGP2_HUMAN	tr|A0A8B7ATZ8|A0A8B7ATZ8_ORYAF
OG0000206	sp|Q13555|KCC2G_HUMAN	tr|A0A8B6ZT72|A0A8B6ZT72_ORYAF
OG0000206	sp|Q13554|KCC2B_HUMAN	tr|A0A8B7BBC6|A0A8B7BBC6_ORYAF
OG0000206	sp|Q13557|KCC2D_HUMAN	tr|A0A8B6ZT92|A0A8B6ZT92_ORYAF
OG0000206	sp|Q9UQM7|KCC2A_HUMAN	tr|A0A8B7A1H3|A0A8B7A1H3_ORYAF
OG0000207	sp|Q07343|PDE4B_HUMAN	tr|A0A8B7BB84|A0A8B7BB84_ORYAF
OG0000207	sp|P27815|PDE4A_HUMAN	tr|A0A8B7AW36|A0A8B7AW36_ORYAF
OG0000207	sp|Q08499|PDE4D_HUMAN	tr|A0A8B7A317|A0A8B7A317_ORYAF
OG0000207	sp|Q08493|PDE4C_HUMAN	tr|A0A8B7A6S7|A0A8B7A6S7_ORYAF
OG0000208	sp|P51589|CP2J2_HUMAN	tr|A0A8B7ARE5|A0A8B7ARE5_ORYAF, tr|A0A8B7AQ50|A0A8B7AQ50_ORYAF, tr|A0A8B7ADR9|A0A8B7ADR9_ORYAF, tr|A0A8B7BBE4|A0A8B7BBE4_ORYAF, tr|A0A8B6ZEW4|A0A8B6ZEW4_ORYAF, tr|A0A8B7AQ56|A0A8B7AQ56_ORYAF, tr|A0A8B7AQ18|A0A8B7AQ18_ORYAF
OG0000209	sp|P51878|CASP5_HUMAN, sp|P49662|CASP4_HUMAN	tr|A0A8B7A8D5|A0A8B7A8D5_ORYAF
OG0000209	sp|Q6UXS9|CASPC_HUMAN	tr|A0A8B7A8E3|A0A8B7A8E3_ORYAF
OG0000209	sp|P29466|CASP1_HUMAN	tr|A0A8B7A8A8|A0A8B7A8A8_ORYAF
OG0000210	sp|P07947|YES_HUMAN	tr|A0A8B6ZDQ2|A0A8B6ZDQ2_ORYAF
OG0000210	sp|P09769|FGR_HUMAN	tr|A0A8B6ZE97|A0A8B6ZE97_ORYAF
OG0000210	sp|P06241|FYN_HUMAN	tr|A0A8B6ZTH0|A0A8B6ZTH0_ORYAF
OG0000210	sp|P12931|SRC_HUMAN	tr|A0A8B6ZB33|A0A8B6ZB33_ORYAF
OG0000211	sp|A0A494C1R9|TSPY9_HUMAN, sp|P0CV99|TSPY4_HUMAN, sp|P0CW00|TSPY8_HUMAN, sp|P0CW01|TSPYA_HUMAN, sp|P0CV98|TSPY3_HUMAN, sp|Q01534|TSPY1_HUMAN, sp|A6NKD2|TSPY2_HUMAN	tr|A0A8B7B704|A0A8B7B704_ORYAF
OG0000212	tr|A0A1W2PQC6|A0A1W2PQC6_HUMAN, tr|A0A1W2PQ27|A0A1W2PQ27_HUMAN, tr|A0A1W2PQ64|A0A1W2PQ64_HUMAN, tr|A0A1W2PQJ5|A0A1W2PQJ5_HUMAN, tr|A0A1W2PQD8|A0A1W2PQD8_HUMAN, tr|A0A1W2PR75|A0A1W2PR75_HUMAN, sp|Q9NP77|SSU72_HUMAN	tr|A0A8B7A854|A0A8B7A854_ORYAF
OG0000213	sp|Q08477|CP4F3_HUMAN	tr|A0A8B7B6Q7|A0A8B7B6Q7_ORYAF
OG0000213	sp|P78329|CP4F2_HUMAN, sp|Q9HBI6|CP4FB_HUMAN, sp|Q9HCS2|CP4FC_HUMAN, sp|P98187|CP4F8_HUMAN, sp|Q6NT55|CP4FN_HUMAN	tr|A0A8B7BAN8|A0A8B7BAN8_ORYAF
OG0000214	sp|Q92764|KRT35_HUMAN	tr|A0A8B6ZYX3|A0A8B6ZYX3_ORYAF, tr|A0A8B7A275|A0A8B7A275_ORYAF, tr|A0A8B6ZXC9|A0A8B6ZXC9_ORYAF, tr|A0A8B7A2G4|A0A8B7A2G4_ORYAF, tr|A0A8B6ZX85|A0A8B6ZX85_ORYAF, tr|A0A8B7A270|A0A8B7A270_ORYAF, tr|A0A8B6ZYW6|A0A8B6ZYW6_ORYAF
OG0000215	sp|Q9HAV0|GBB4_HUMAN	tr|A0A8B7AK69|A0A8B7AK69_ORYAF
OG0000215	sp|P62879|GBB2_HUMAN	tr|A0A8B7B2S9|A0A8B7B2S9_ORYAF
OG0000215	sp|P62873|GBB1_HUMAN	tr|A0A8B7A6P2|A0A8B7A6P2_ORYAF
OG0000215	sp|P16520|GBB3_HUMAN	tr|A0A8B6ZI21|A0A8B6ZI21_ORYAF
OG0000216	sp|Q13698|CAC1S_HUMAN	tr|A0A8B6ZUA2|A0A8B6ZUA2_ORYAF
OG0000216	sp|O60840|CAC1F_HUMAN	tr|A0A8B7B8R8|A0A8B7B8R8_ORYAF
OG0000216	sp|Q01668|CAC1D_HUMAN	tr|A0A8B6ZIC3|A0A8B6ZIC3_ORYAF
OG0000216	sp|Q13936|CAC1C_HUMAN	tr|A0A8B6ZJD6|A0A8B6ZJD6_ORYAF
OG0000217	sp|P60507|EFC1_HUMAN, sp|P60608|EFC2_HUMAN, sp|P61550|ENVT1_HUMAN, sp|Q9UQF0|SYCY1_HUMAN, sp|Q9N2K0|ENH1_HUMAN, sp|Q9N2J8|ENH3_HUMAN, sp|P60508|SYCY2_HUMAN	tr|A0A8B7AER2|A0A8B7AER2_ORYAF
OG0000218	sp|Q9UIW2|PLXA1_HUMAN	tr|A0A8B7BBP7|A0A8B7BBP7_ORYAF
OG0000218	sp|P51805|PLXA3_HUMAN	tr|A0A8B7B6Y4|A0A8B7B6Y4_ORYAF
OG0000218	sp|O75051|PLXA2_HUMAN	tr|A0A8B7AUJ0|A0A8B7AUJ0_ORYAF
OG0000218	sp|Q9HCM2|PLXA4_HUMAN	tr|A0A8B7AVN9|A0A8B7AVN9_ORYAF
OG0000219	sp|P35237|SPB6_HUMAN	tr|A0A8B6ZD14|A0A8B6ZD14_ORYAF
OG0000219	sp|P50453|SPB9_HUMAN	tr|A0A8B6ZEQ0|A0A8B6ZEQ0_ORYAF, tr|A0A8B6ZD48|A0A8B6ZD48_ORYAF
OG0000219	sp|A8MTL9|HMSD_HUMAN, sp|P50452|SPB8_HUMAN	tr|A0A8B6ZF19|A0A8B6ZF19_ORYAF
OG0000220	sp|Q14194|DPYL1_HUMAN	tr|A0A8B7B670|A0A8B7B670_ORYAF
OG0000220	sp|O14531|DPYL4_HUMAN	tr|A0A8B6ZH46|A0A8B6ZH46_ORYAF
OG0000220	sp|Q16555|DPYL2_HUMAN	tr|A0A8B6ZSN4|A0A8B6ZSN4_ORYAF
OG0000220	sp|Q14195|DPYL3_HUMAN	tr|A0A8B7AIJ4|A0A8B7AIJ4_ORYAF
OG0000221	sp|P78352|DLG4_HUMAN	tr|A0A8B7AVY6|A0A8B7AVY6_ORYAF
OG0000221	sp|Q12959|DLG1_HUMAN	tr|A0A8B7B519|A0A8B7B519_ORYAF
OG0000221	sp|Q15700|DLG2_HUMAN	tr|A0A8B7A8Y9|A0A8B7A8Y9_ORYAF
OG0000221	sp|Q92796|DLG3_HUMAN	tr|A0A8B7B8Q9|A0A8B7B8Q9_ORYAF
OG0000222	sp|Q9H223|EHD4_HUMAN	tr|A0A8B6ZCW0|A0A8B6ZCW0_ORYAF
OG0000222	sp|Q9NZN4|EHD2_HUMAN	tr|A0A8B6ZZU8|A0A8B6ZZU8_ORYAF
OG0000222	sp|Q9NZN3|EHD3_HUMAN	tr|A0A8B6ZPG2|A0A8B6ZPG2_ORYAF
OG0000222	sp|Q9H4M9|EHD1_HUMAN	tr|A0A8B7A4W0|A0A8B7A4W0_ORYAF
OG0000223	sp|P49792|RBP2_HUMAN, sp|P0DJD1|RGPD2_HUMAN, sp|P0DJD0|RGPD1_HUMAN, sp|A6NKT7|RGPD3_HUMAN, sp|Q7Z3J3|RGPD4_HUMAN, sp|O14715|RGPD8_HUMAN, sp|Q99666|RGPD5_HUMAN	tr|A0A8B6ZXZ9|A0A8B6ZXZ9_ORYAF
OG0000224	sp|Q8NGY3|OR6K3_HUMAN	tr|A0A8B7AIU1|A0A8B7AIU1_ORYAF
OG0000224	sp|Q8NGY2|OR6K2_HUMAN	tr|A0A8B7AD92|A0A8B7AD92_ORYAF
OG0000224	sp|Q8NGW6|OR6K6_HUMAN	tr|A0A8B7AD89|A0A8B7AD89_ORYAF
OG0000225	sp|Q9Y3Q4|HCN4_HUMAN	tr|A0A8B7AI54|A0A8B7AI54_ORYAF
OG0000225	sp|O60741|HCN1_HUMAN	tr|A0A8B7AL75|A0A8B7AL75_ORYAF
OG0000225	sp|Q9UL51|HCN2_HUMAN	tr|A0A8B7AYT8|A0A8B7AYT8_ORYAF
OG0000225	sp|Q9P1Z3|HCN3_HUMAN	tr|A0A8B7AFA2|A0A8B7AFA2_ORYAF
OG0000226	sp|P07948|LYN_HUMAN	tr|A0A8B6ZPT5|A0A8B6ZPT5_ORYAF
OG0000226	sp|P08631|HCK_HUMAN	tr|A0A8B6ZAT2|A0A8B6ZAT2_ORYAF
OG0000226	sp|P06239|LCK_HUMAN	tr|A0A8B7AKX0|A0A8B7AKX0_ORYAF
OG0000226	sp|P51451|BLK_HUMAN	tr|A0A8B6ZMH3|A0A8B6ZMH3_ORYAF
OG0000227	sp|Q16720|AT2B3_HUMAN	tr|A0A8B7B9A6|A0A8B7B9A6_ORYAF
OG0000227	sp|Q01814|AT2B2_HUMAN	tr|A0A8B7A7R4|A0A8B7A7R4_ORYAF
OG0000227	sp|P23634|AT2B4_HUMAN	tr|A0A8B6ZUF6|A0A8B6ZUF6_ORYAF
OG0000227	sp|P20020|AT2B1_HUMAN	tr|A0A8B7ASU0|A0A8B7ASU0_ORYAF
OG0000228	sp|P02794|FRIH_HUMAN	tr|A0A8B7A550|A0A8B7A550_ORYAF
OG0000228	sp|Q8N4E7|FTMT_HUMAN	tr|A0A8B6ZXM7|A0A8B6ZXM7_ORYAF
OG0000228	sp|P0C7X4|FHL19_HUMAN, sp|Q9BXU8|FHL17_HUMAN	tr|A0A8B7BCJ6|A0A8B7BCJ6_ORYAF, tr|A0A8B7B608|A0A8B7B608_ORYAF
OG0000229	sp|Q8NGV5|O13D1_HUMAN	tr|A0A8B7AVD6|A0A8B7AVD6_ORYAF, tr|A0A8B7AWH2|A0A8B7AWH2_ORYAF, tr|A0A8B7BDD3|A0A8B7BDD3_ORYAF, tr|A0A8B7AVG1|A0A8B7AVG1_ORYAF, tr|A0A8B7AJX6|A0A8B7AJX6_ORYAF, tr|A0A8B7AKF3|A0A8B7AKF3_ORYAF, tr|A0A8B7AKG4|A0A8B7AKG4_ORYAF
OG0000230	sp|Q6N022|TEN4_HUMAN	tr|A0A8B6ZU17|A0A8B6ZU17_ORYAF
OG0000230	sp|Q9UKZ4|TEN1_HUMAN	tr|A0A8B7ARJ4|A0A8B7ARJ4_ORYAF
OG0000230	sp|Q9NT68|TEN2_HUMAN	tr|A0A8B6ZS71|A0A8B6ZS71_ORYAF
OG0000230	sp|Q9P273|TEN3_HUMAN	tr|A0A8B6ZTN0|A0A8B6ZTN0_ORYAF
OG0000231	sp|Q9NY91|SC5A4_HUMAN	tr|A0A8B7AX44|A0A8B7AX44_ORYAF, tr|A0A8B7AW01|A0A8B7AW01_ORYAF
OG0000231	sp|P13866|SC5A1_HUMAN	tr|A0A8B7AW37|A0A8B7AW37_ORYAF
OG0000231	sp|P31639|SC5A2_HUMAN	tr|A0A8B7B5Z5|A0A8B7B5Z5_ORYAF, tr|A0A8B7B5K2|A0A8B7B5K2_ORYAF
OG0000232	sp|Q99418|CYH2_HUMAN	tr|A0A8B7B7X9|A0A8B7B7X9_ORYAF
OG0000232	sp|Q9UIA0|CYH4_HUMAN	tr|A0A8B6ZVW8|A0A8B6ZVW8_ORYAF
OG0000232	sp|O43739|CYH3_HUMAN	tr|A0A8B6ZYW5|A0A8B6ZYW5_ORYAF
OG0000232	sp|Q15438|CYH1_HUMAN	tr|A0A8B7BCY6|A0A8B7BCY6_ORYAF
OG0000233	sp|Q9BYR4|KRA43_HUMAN	tr|A0A8B6ZYV2|A0A8B6ZYV2_ORYAF, tr|A0A8B6ZXD5|A0A8B6ZXD5_ORYAF, tr|A0A8B6ZXC4|A0A8B6ZXC4_ORYAF, tr|A0A8B6ZX70|A0A8B6ZX70_ORYAF, tr|A0A8B6ZZ17|A0A8B6ZZ17_ORYAF, tr|A0A8B7A254|A0A8B7A254_ORYAF, tr|A0A8B6ZX86|A0A8B6ZX86_ORYAF
OG0000234	sp|P12838|DEF4_HUMAN, sp|Q01524|DEF6_HUMAN, sp|Q01523|DEF5_HUMAN	tr|A0A8B7B7B4|A0A8B7B7B4_ORYAF, tr|A0A8B7BB80|A0A8B7BB80_ORYAF, tr|A0A8B7B7Y3|A0A8B7B7Y3_ORYAF, tr|A0A8B7B906|A0A8B7B906_ORYAF, tr|A0A8B7B793|A0A8B7B793_ORYAF
OG0000235	sp|P68104|EF1A1_HUMAN	tr|A0A8B7B3C7|A0A8B7B3C7_ORYAF
OG0000235	sp|Q05639|EF1A2_HUMAN	tr|A0A8B7AZA3|A0A8B7AZA3_ORYAF
OG0000235	sp|Q5VTE0|EF1A3_HUMAN	tr|A0A8B7A621|A0A8B7A621_ORYAF, tr|A0A8B7APD6|A0A8B7APD6_ORYAF, tr|A0A8B7AJC6|A0A8B7AJC6_ORYAF
OG0000236	sp|Q9UKF2|ADA30_HUMAN	tr|A0A8B7AK62|A0A8B7AK62_ORYAF, tr|A0A8B7AQD1|A0A8B7AQD1_ORYAF, tr|A0A8B6ZZK6|A0A8B6ZZK6_ORYAF, tr|A0A8B7A4E6|A0A8B7A4E6_ORYAF, tr|A0A8B6ZL92|A0A8B6ZL92_ORYAF, tr|A0A8B6ZMX7|A0A8B6ZMX7_ORYAF, tr|A0A8B6ZLC2|A0A8B6ZLC2_ORYAF
OG0000244	sp|Q3I5F7|ACOT6_HUMAN	tr|A0A8B6ZV59|A0A8B6ZV59_ORYAF
OG0000244	sp|Q8N9L9|ACOT4_HUMAN	tr|A0A8B6ZWT4|A0A8B6ZWT4_ORYAF
OG0000244	sp|P49753|ACOT2_HUMAN, sp|Q86TX2|ACOT1_HUMAN	tr|A0A8B7A040|A0A8B7A040_ORYAF
OG0000245	sp|Q8TD07|RAE1E_HUMAN, sp|Q9BZM4|ULBP3_HUMAN, sp|Q9BZM6|ULBP1_HUMAN, sp|Q9BZM5|ULBP2_HUMAN, sp|Q5VY80|ULBP6_HUMAN, sp|Q6H3X3|ULBP5_HUMAN	tr|A0A8B7A5I3|A0A8B7A5I3_ORYAF
OG0000246	sp|Q8NF50|DOCK8_HUMAN	tr|A0A8B7B3L5|A0A8B7B3L5_ORYAF
OG0000246	sp|Q96HP0|DOCK6_HUMAN	tr|A0A8B7AV06|A0A8B7AV06_ORYAF
OG0000246	sp|Q96N67|DOCK7_HUMAN	tr|A0A8B7BE37|A0A8B7BE37_ORYAF
OG0000247	sp|Q7Z408|CSMD2_HUMAN	tr|A0A8B7AKS7|A0A8B7AKS7_ORYAF
OG0000247	sp|Q7Z407|CSMD3_HUMAN	tr|A0A8B7B111|A0A8B7B111_ORYAF
OG0000247	sp|Q96PZ7|CSMD1_HUMAN	tr|A0A8B7AJM1|A0A8B7AJM1_ORYAF, tr|A0A8B7A3V4|A0A8B7A3V4_ORYAF
OG0000248	sp|Q14241|ELOA1_HUMAN, sp|Q8IYF1|ELOA2_HUMAN, tr|A0A087WVK4|A0A087WVK4_HUMAN, tr|A0A8I5KDJ8|A0A8I5KDJ8_HUMAN, tr|A0A8I5KCP1|A0A8I5KCP1_HUMAN, tr|A0A8I5KIY5|A0A8I5KIY5_HUMAN	tr|A0A8B6ZE22|A0A8B6ZE22_ORYAF
OG0000250	sp|P86481|PR20B_HUMAN, sp|P86480|PR20D_HUMAN, sp|P86479|PR20C_HUMAN, sp|P86496|PR20A_HUMAN, sp|P86478|PR20E_HUMAN, sp|P0DPQ3|PR20G_HUMAN	tr|A0A8B7ATW1|A0A8B7ATW1_ORYAF
OG0000255	sp|Q9UDX3|S14L4_HUMAN	tr|A0A8B7AX03|A0A8B7AX03_ORYAF
OG0000255	sp|Q9UDX4|S14L3_HUMAN	tr|A0A8B7AVY7|A0A8B7AVY7_ORYAF
OG0000255	sp|O76054|S14L2_HUMAN	tr|A0A8B7AWZ1|A0A8B7AWZ1_ORYAF
OG0000256	sp|Q9NYQ6|CELR1_HUMAN	tr|A0A8B7B1S4|A0A8B7B1S4_ORYAF
OG0000256	sp|Q9NYQ7|CELR3_HUMAN	tr|A0A8B7B128|A0A8B7B128_ORYAF
OG0000256	sp|Q9HCU4|CELR2_HUMAN	tr|A0A8B7AJD3|A0A8B7AJD3_ORYAF
OG0000257	sp|Q8NH50|OR8K5_HUMAN	tr|A0A8B7BA20|A0A8B7BA20_ORYAF, tr|A0A8B7BDP1|A0A8B7BDP1_ORYAF
OG0000257	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A8B7BBX8|A0A8B7BBX8_ORYAF
OG0000257	sp|Q8NH51|OR8K3_HUMAN	tr|A0A8B7BB36|A0A8B7BB36_ORYAF
OG0000258	sp|Q9P0G3|KLK14_HUMAN	tr|A0A8B7ATL6|A0A8B7ATL6_ORYAF
OG0000258	sp|P07477|TRY1_HUMAN, sp|P07478|TRY2_HUMAN, sp|P35030|TRY3_HUMAN, sp|Q8NHM4|TRY6_HUMAN	tr|A0A8B7B535|A0A8B7B535_ORYAF
OG0000259	sp|P51689|ARSD_HUMAN	tr|A0A8B7B1U9|A0A8B7B1U9_ORYAF
OG0000259	sp|Q5FYA8|ARSH_HUMAN, sp|P54793|ARSF_HUMAN, sp|P51690|ARSL_HUMAN, sp|P08842|STS_HUMAN	tr|A0A8B7AX97|A0A8B7AX97_ORYAF
OG0000260	sp|Q6NXN4|D19P1_HUMAN	tr|A0A8B7B8Z4|A0A8B7B8Z4_ORYAF
OG0000260	sp|Q2PZI1|D19L1_HUMAN	tr|A0A8B7B8C9|A0A8B7B8C9_ORYAF
OG0000260	sp|Q6ZN68|D19P2_HUMAN	tr|A0A8B7B8Y6|A0A8B7B8Y6_ORYAF
OG0000261	sp|A0A096LPI5|GVQW2_HUMAN, sp|Q8N976|YG039_HUMAN, sp|Q96MD7|CI085_HUMAN, sp|F2Z398|LMO7D_HUMAN, sp|Q5T7P6|TMM78_HUMAN, sp|Q8N2A0|CX062_HUMAN	tr|A0A8B7A1S3|A0A8B7A1S3_ORYAF
OG0000262	sp|Q9C035|TRIM5_HUMAN	tr|A0A8B7B2I0|A0A8B7B2I0_ORYAF
OG0000262	sp|Q9C030|TRIM6_HUMAN	tr|A0A8B7AXK9|A0A8B7AXK9_ORYAF
OG0000262	sp|Q9BYJ4|TRI34_HUMAN, sp|Q8IYM9|TRI22_HUMAN	tr|A0A8B7AWL9|A0A8B7AWL9_ORYAF
OG0000263	sp|Q8NHC6|O14L1_HUMAN, sp|Q96R54|O14A2_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|A6ND48|O14I1_HUMAN	tr|A0A8B7B361|A0A8B7B361_ORYAF
OG0000265	sp|P15121|ALDR_HUMAN	tr|A0A8B7AU87|A0A8B7AU87_ORYAF
OG0000265	sp|O60218|AK1BA_HUMAN, sp|C9JRZ8|AK1BF_HUMAN	tr|A0A8B7AXP4|A0A8B7AXP4_ORYAF, tr|A0A8B7ASY4|A0A8B7ASY4_ORYAF, tr|A0A8B7AT18|A0A8B7AT18_ORYAF
OG0000266	sp|Q9NZI6|TF2L1_HUMAN	tr|A0A8B6ZK53|A0A8B6ZK53_ORYAF
OG0000266	sp|Q12800|TFCP2_HUMAN	tr|A0A8B7B9X5|A0A8B7B9X5_ORYAF
OG0000266	sp|Q9NZI7|UBIP1_HUMAN	tr|A0A8B7AFS0|A0A8B7AFS0_ORYAF
OG0000267	sp|Q9UKJ8|ADA21_HUMAN	tr|A0A8B6ZXX7|A0A8B6ZXX7_ORYAF
OG0000267	sp|O43506|ADA20_HUMAN	tr|A0A8B7A2W2|A0A8B7A2W2_ORYAF
OG0000267	sp|Q9UKF5|ADA29_HUMAN	tr|A0A8B7AKL8|A0A8B7AKL8_ORYAF, tr|A0A8B7AL45|A0A8B7AL45_ORYAF
OG0000268	sp|P78324|SHPS1_HUMAN, sp|Q9P1W8|SIRPG_HUMAN, sp|O00241|SIRB1_HUMAN	tr|A0A8B6ZB79|A0A8B6ZB79_ORYAF, tr|A0A8B7BF15|A0A8B7BF15_ORYAF, tr|A0A8B6ZB76|A0A8B6ZB76_ORYAF, tr|A0A8B6ZB80|A0A8B6ZB80_ORYAF
OG0000269	sp|P11940|PABP1_HUMAN	tr|A0A8B6ZD63|A0A8B6ZD63_ORYAF
OG0000269	sp|Q13310|PABP4_HUMAN	tr|A0A8B7ATA7|A0A8B7ATA7_ORYAF
OG0000269	sp|Q4VXU2|PAP1L_HUMAN	tr|A0A8B6ZNG3|A0A8B6ZNG3_ORYAF
OG0000270	sp|Q5EBN2|TRI61_HUMAN, sp|Q495X7|TRI60_HUMAN	tr|A0A8B7BDH6|A0A8B7BDH6_ORYAF, tr|A0A8B7BE10|A0A8B7BE10_ORYAF, tr|A0A8B7BBH7|A0A8B7BBH7_ORYAF
OG0000270	sp|A6NK02|TRI75_HUMAN	tr|A0A8B7BBU1|A0A8B7BBU1_ORYAF
OG0000271	sp|P59533|T2R38_HUMAN	tr|A0A8B7A2S0|A0A8B7A2S0_ORYAF
OG0000271	sp|Q9NYW3|TA2R7_HUMAN	tr|A0A8B7BA39|A0A8B7BA39_ORYAF
OG0000271	sp|Q9NYW2|TA2R8_HUMAN	tr|A0A8B7AW56|A0A8B7AW56_ORYAF, tr|A0A8B7B8C4|A0A8B7B8C4_ORYAF
OG0000272	sp|Q8N0W4|NLGNX_HUMAN, sp|Q8NFZ3|NLGNY_HUMAN	tr|A0A8B7AX93|A0A8B7AX93_ORYAF
OG0000272	sp|Q9NZ94|NLGN3_HUMAN	tr|A0A8B7BAP8|A0A8B7BAP8_ORYAF
OG0000272	sp|Q8N2Q7|NLGN1_HUMAN	tr|A0A8B7AJP5|A0A8B7AJP5_ORYAF
OG0000273	sp|Q5VSP4|LC1L1_HUMAN, sp|P31025|LCN1_HUMAN	tr|A0A8B7B986|A0A8B7B986_ORYAF, tr|A0A8B7BB97|A0A8B7BB97_ORYAF
OG0000273	sp|Q9NPH6|OBP2B_HUMAN, sp|Q9NY56|OBP2A_HUMAN	tr|A0A8B7AAM6|A0A8B7AAM6_ORYAF
OG0000274	sp|P23415|GLRA1_HUMAN	tr|A0A8B7A1L5|A0A8B7A1L5_ORYAF
OG0000274	sp|O75311|GLRA3_HUMAN	tr|A0A8B7AKM1|A0A8B7AKM1_ORYAF
OG0000274	sp|P23416|GLRA2_HUMAN	tr|A0A8B7B4F0|A0A8B7B4F0_ORYAF, tr|A0A8B7ATR8|A0A8B7ATR8_ORYAF
OG0000275	sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN	tr|A0A8B7AZK4|A0A8B7AZK4_ORYAF, tr|A0A8B7B727|A0A8B7B727_ORYAF, tr|A0A8B7AIF6|A0A8B7AIF6_ORYAF, tr|A0A8B7B5D4|A0A8B7B5D4_ORYAF, tr|A0A8B7AZD1|A0A8B7AZD1_ORYAF
OG0000276	sp|P12236|ADT3_HUMAN	tr|A0A8B7BAR2|A0A8B7BAR2_ORYAF
OG0000276	sp|P05141|ADT2_HUMAN	tr|A0A8B7AYT0|A0A8B7AYT0_ORYAF, tr|A0A8B7B6R8|A0A8B7B6R8_ORYAF
