Orthogroup	Homo_sapiens	Loxodonta_africana
OG0002657	sp|Q7Z4V5|HDGR2_HUMAN	tr|G3UJH7|G3UJH7_LOXAF
OG0002658	sp|Q7Z6R9|AP2D_HUMAN	tr|G3SXN6|G3SXN6_LOXAF
OG0002659	sp|Q86UT6|NLRX1_HUMAN	tr|G3U114|G3U114_LOXAF
OG0002660	sp|Q86VQ1|GLCI1_HUMAN	tr|G3SVW1|G3SVW1_LOXAF
OG0002661	sp|Q86XE3|MICU3_HUMAN	tr|G3TSE6|G3TSE6_LOXAF
OG0002662	sp|Q8N1V2|CFA52_HUMAN	tr|G3TCU5|G3TCU5_LOXAF
OG0002663	sp|Q8N4F0|BPIB2_HUMAN	tr|G3T2W1|G3T2W1_LOXAF
OG0002664	sp|Q8N8U9|BMPER_HUMAN	tr|G3ST19|G3ST19_LOXAF
OG0002665	sp|Q8NDY8|TMM52_HUMAN	tr|G3TRJ2|G3TRJ2_LOXAF
OG0002666	sp|Q8NHY6|ZFP28_HUMAN	tr|G3T4V9|G3T4V9_LOXAF
OG0002667	sp|Q8TAC1|RFESD_HUMAN	tr|G3UKE9|G3UKE9_LOXAF
OG0002668	sp|Q8TAG5|VTM2A_HUMAN	tr|G3UK50|G3UK50_LOXAF
OG0002669	sp|Q8TDU6|GPBAR_HUMAN	tr|G3UAW1|G3UAW1_LOXAF
OG0002670	sp|Q8WUA2|PPIL4_HUMAN	tr|G3ULX2|G3ULX2_LOXAF
OG0002671	sp|Q8WVL7|ANR49_HUMAN	tr|G3ST48|G3ST48_LOXAF
OG0002672	sp|Q92569|P55G_HUMAN	tr|G3U3I2|G3U3I2_LOXAF
OG0002673	sp|Q92800|EZH1_HUMAN	tr|G3T5L6|G3T5L6_LOXAF
OG0002674	sp|Q96BR5|COA7_HUMAN	tr|G3TH68|G3TH68_LOXAF
OG0002675	sp|Q96G30|MRAP2_HUMAN	tr|G3ULF4|G3ULF4_LOXAF
OG0002676	sp|Q96GX1|TECT2_HUMAN	tr|G3SZR5|G3SZR5_LOXAF
OG0002677	sp|Q96LR2|LURA1_HUMAN	tr|G3SSW4|G3SSW4_LOXAF
OG0002678	sp|Q96MK3|FA20A_HUMAN	tr|G3SLL7|G3SLL7_LOXAF
OG0002679	sp|Q9BYW2|SETD2_HUMAN	tr|G3SS46|G3SS46_LOXAF
OG0002680	sp|Q9H6Z4|RANB3_HUMAN	tr|G3SPC5|G3SPC5_LOXAF
OG0002681	sp|Q9H867|MT21D_HUMAN	tr|G3TQS6|G3TQS6_LOXAF
OG0002682	sp|Q9NPQ8|RIC8A_HUMAN	tr|G3TT75|G3TT75_LOXAF
OG0002683	sp|Q9NU23|LYRM2_HUMAN	tr|G3T555|G3T555_LOXAF
OG0002684	sp|Q9NUD7|CT096_HUMAN	tr|G3TIX1|G3TIX1_LOXAF
OG0002685	sp|Q9NV23|SAST_HUMAN	tr|G3SNP5|G3SNP5_LOXAF
OG0002686	sp|Q9NV35|NUD15_HUMAN	tr|G3TIH8|G3TIH8_LOXAF
OG0002687	sp|Q9NYK6|EURL_HUMAN	tr|G3UJS3|G3UJS3_LOXAF
OG0002688	sp|Q9ULZ1|APEL_HUMAN	tr|G3U153|G3U153_LOXAF
OG0002689	sp|Q9Y3T6|R3HC1_HUMAN	tr|G3TGE8|G3TGE8_LOXAF
OG0002690	sp|Q9Y5U5|TNR18_HUMAN	tr|G3THS7|G3THS7_LOXAF
OG0002691	sp|Q9Y6A4|CFA20_HUMAN	tr|G3TMW6|G3TMW6_LOXAF
OG0002692	sp|A0A1B0GTH6|CS2IP_HUMAN	tr|G3TRW6|G3TRW6_LOXAF
OG0002693	sp|O00743|PPP6_HUMAN	tr|G3T4V8|G3T4V8_LOXAF
OG0002694	sp|O43598|DNPH1_HUMAN	tr|G3T5C2|G3T5C2_LOXAF
OG0002695	sp|O43752|STX6_HUMAN	tr|G3SUA3|G3SUA3_LOXAF
OG0002696	sp|O43827|ANGL7_HUMAN	tr|G3TFM2|G3TFM2_LOXAF
OG0002697	sp|O75031|HSF2B_HUMAN	tr|G3SMC3|G3SMC3_LOXAF
OG0002698	sp|P02790|HEMO_HUMAN	tr|G3TCC3|G3TCC3_LOXAF
OG0002699	sp|P06454|PTMA_HUMAN	tr|G3TQY9|G3TQY9_LOXAF
OG0002700	sp|P08185|CBG_HUMAN	tr|G3SU98|G3SU98_LOXAF
OG0002701	sp|P08833|IBP1_HUMAN	tr|G3U9C7|G3U9C7_LOXAF
OG0002702	sp|P15407|FOSL1_HUMAN	tr|G3SP69|G3SP69_LOXAF
OG0002703	sp|P22897|MRC1_HUMAN	tr|G3TNX9|G3TNX9_LOXAF
OG0002704	sp|P30542|AA1R_HUMAN	tr|G3SN99|G3SN99_LOXAF
OG0002705	sp|P42224|STAT1_HUMAN	tr|G3TZB1|G3TZB1_LOXAF
OG0002706	sp|P48047|ATPO_HUMAN	tr|G3TAK8|G3TAK8_LOXAF
OG0002707	sp|P49720|PSB3_HUMAN	tr|G3SQ27|G3SQ27_LOXAF
OG0002708	sp|P49773|HINT1_HUMAN	tr|G3U9K7|G3U9K7_LOXAF
OG0002709	sp|P54845|NRL_HUMAN	tr|G5E6Y7|G5E6Y7_LOXAF
OG0002710	sp|P56282|DPOE2_HUMAN	tr|G3SSD0|G3SSD0_LOXAF
OG0002711	sp|P57678|GEMI4_HUMAN	tr|G3ULJ0|G3ULJ0_LOXAF
OG0002712	sp|P62195|PRS8_HUMAN	tr|G3SS12|G3SS12_LOXAF
OG0002713	sp|Q03828|EVX2_HUMAN	tr|G3TAZ9|G3TAZ9_LOXAF
OG0002714	sp|Q075Z2|BSPH1_HUMAN	tr|G3TLL8|G3TLL8_LOXAF
OG0002715	sp|Q07864|DPOE1_HUMAN	tr|G3T6B0|G3T6B0_LOXAF
OG0002716	sp|Q13045|FLII_HUMAN	tr|G3TVB2|G3TVB2_LOXAF
OG0002717	sp|Q13415|ORC1_HUMAN	tr|G3ST10|G3ST10_LOXAF
OG0002718	sp|Q14542|S29A2_HUMAN	tr|G3SKZ2|G3SKZ2_LOXAF
OG0002719	sp|Q15650|TRIP4_HUMAN	tr|G3TJ80|G3TJ80_LOXAF
OG0002720	sp|Q502W7|CCD38_HUMAN	tr|G3TIX0|G3TIX0_LOXAF
OG0002721	sp|Q567V2|M17L2_HUMAN	tr|G3UNH6|G3UNH6_LOXAF
OG0002722	sp|Q5JTN6|WDR38_HUMAN	tr|G3T4U6|G3T4U6_LOXAF
OG0002723	sp|Q5JU67|CF157_HUMAN	tr|G3THM8|G3THM8_LOXAF
OG0002724	sp|Q5RL73|RBM48_HUMAN	tr|G3TKZ6|G3TKZ6_LOXAF
OG0002725	sp|Q5VZ52|MORN5_HUMAN	tr|G3T8U6|G3T8U6_LOXAF
OG0002726	sp|Q68CL5|TPGS2_HUMAN	tr|G3SS59|G3SS59_LOXAF
OG0002728	sp|Q6STE5|SMRD3_HUMAN	tr|G3UHP9|G3UHP9_LOXAF
OG0002729	sp|Q86TW2|ADCK1_HUMAN	tr|G3UL13|G3UL13_LOXAF
OG0002730	sp|Q8IZ40|RCOR2_HUMAN	tr|G3TZI7|G3TZI7_LOXAF
OG0002731	sp|Q8N2U0|TM256_HUMAN	tr|G3U637|G3U637_LOXAF
OG0002732	sp|Q8N531|FBXL6_HUMAN	tr|G3U3U4|G3U3U4_LOXAF
OG0002733	sp|Q8N684|CPSF7_HUMAN	tr|G3UHI3|G3UHI3_LOXAF
OG0002734	sp|Q8NEF9|SRFB1_HUMAN	tr|G3TEW3|G3TEW3_LOXAF
OG0002735	sp|Q8NHR7|TERB2_HUMAN	tr|G3SX50|G3SX50_LOXAF
OG0002736	sp|Q8NHS2|AATC2_HUMAN	tr|G3UB01|G3UB01_LOXAF
OG0002737	sp|Q8TAE7|KCNG3_HUMAN	tr|G3U4D2|G3U4D2_LOXAF
OG0002738	sp|Q8TER0|SNED1_HUMAN	tr|G3SSY9|G3SSY9_LOXAF
OG0002739	sp|Q8TES7|FBF1_HUMAN	tr|G3UH79|G3UH79_LOXAF
OG0002740	sp|Q92995|UBP13_HUMAN	tr|G3UDC0|G3UDC0_LOXAF
OG0002741	sp|Q96A54|PAQR1_HUMAN	tr|G3SSJ5|G3SSJ5_LOXAF
OG0002742	sp|Q96EP9|NTCP4_HUMAN	tr|G3UAV8|G3UAV8_LOXAF
OG0002743	sp|Q96GS4|BORC6_HUMAN	tr|G3UA93|G3UA93_LOXAF
OG0002744	sp|Q96KP4|CNDP2_HUMAN	tr|G3U8X7|G3U8X7_LOXAF
OG0002745	sp|Q96MX6|DAA10_HUMAN	tr|G3SL01|G3SL01_LOXAF
OG0002746	sp|Q96PD5|PGRP2_HUMAN	tr|G3T2H2|G3T2H2_LOXAF
OG0002747	sp|Q96Q89|KI20B_HUMAN	tr|G3SUL9|G3SUL9_LOXAF
OG0002748	sp|Q96QU8|XPO6_HUMAN	tr|G3UKR7|G3UKR7_LOXAF
OG0002749	sp|Q9BTC0|DIDO1_HUMAN	tr|G3SWP5|G3SWP5_LOXAF
OG0002750	sp|Q9BYV6|TRI55_HUMAN	tr|G3UJA4|G3UJA4_LOXAF
OG0002751	sp|Q9GZV5|WWTR1_HUMAN	tr|G3T0W0|G3T0W0_LOXAF
OG0002752	sp|Q9H9P5|UNKL_HUMAN	tr|G3TKF3|G3TKF3_LOXAF
OG0002753	sp|Q9HB40|RISC_HUMAN	tr|G3T5D9|G3T5D9_LOXAF
OG0002754	sp|Q9NPA3|M1IP1_HUMAN	tr|G3U3R7|G3U3R7_LOXAF
OG0002755	sp|Q9NQX0|PRDM6_HUMAN	tr|G3U1W5|G3U1W5_LOXAF
OG0002756	sp|Q9UK58|CCNL1_HUMAN	tr|G3T0I3|G3T0I3_LOXAF
OG0002757	sp|Q9Y3U8|RL36_HUMAN	tr|G3U7E9|G3U7E9_LOXAF
OG0002758	sp|Q9Y4E6|WDR7_HUMAN	tr|G3TEU0|G3TEU0_LOXAF
OG0002759	sp|Q9Y6E2|5MP1_HUMAN	tr|G3STC5|G3STC5_LOXAF
OG0002760	sp|A6NE02|BTBDH_HUMAN	tr|G3SLK5|G3SLK5_LOXAF
OG0002761	sp|A6NGH7|CC160_HUMAN	tr|G3SY79|G3SY79_LOXAF
OG0002762	sp|A6NHS7|MANS4_HUMAN	tr|G3T5Q2|G3T5Q2_LOXAF
OG0002763	sp|O00233|PSMD9_HUMAN	tr|G3T241|G3T241_LOXAF
OG0002764	sp|O14545|TRAD1_HUMAN	tr|G3TC73|G3TC73_LOXAF
OG0002765	sp|O14639|ABLM1_HUMAN	tr|G3U8N0|G3U8N0_LOXAF
OG0002766	sp|O15371|EIF3D_HUMAN	tr|G3SP37|G3SP37_LOXAF
OG0002767	sp|O15379|HDAC3_HUMAN	tr|G3T0Y1|G3T0Y1_LOXAF
OG0002768	sp|O43169|CYB5B_HUMAN	tr|G3UBE4|G3UBE4_LOXAF
OG0002769	sp|O60353|FZD6_HUMAN	tr|G3SS79|G3SS79_LOXAF
OG0002770	sp|O75128|COBL_HUMAN	tr|G3SSN3|G3SSN3_LOXAF
OG0002771	sp|O76036|NCTR1_HUMAN	tr|G3TJH9|G3TJH9_LOXAF
OG0002772	sp|O95363|SYFM_HUMAN	tr|G5E6X3|G5E6X3_LOXAF
OG0002773	sp|O95620|DUS4L_HUMAN	tr|G3SMP5|G3SMP5_LOXAF
OG0002774	sp|O95785|WIZ_HUMAN	tr|G3SUK2|G3SUK2_LOXAF
OG0002775	sp|P05160|F13B_HUMAN	tr|G3SU06|G3SU06_LOXAF
OG0002776	sp|P09466|PAEP_HUMAN	tr|G3TUE8|G3TUE8_LOXAF
OG0002777	sp|P09681|GIP_HUMAN	tr|G3SUF9|G3SUF9_LOXAF
OG0002778	sp|P17275|JUNB_HUMAN	tr|G3TZP5|G3TZP5_LOXAF
OG0002779	sp|P43657|LPAR6_HUMAN	tr|G3U698|G3U698_LOXAF
OG0002780	sp|P48764|SL9A3_HUMAN	tr|G3UIH1|G3UIH1_LOXAF
OG0002781	sp|P49207|RL34_HUMAN	tr|G3UCL5|G3UCL5_LOXAF
OG0002782	sp|P50539|MXI1_HUMAN	tr|G3TUB3|G3TUB3_LOXAF
OG0002783	sp|P52798|EFNA4_HUMAN	tr|G3TG44|G3TG44_LOXAF
OG0002784	sp|P53007|TXTP_HUMAN	tr|G3TQN4|G3TQN4_LOXAF
OG0002785	sp|P56278|MTCP1_HUMAN	tr|G3TUQ4|G3TUQ4_LOXAF
OG0002786	sp|P56715|RP1_HUMAN	tr|G3TP35|G3TP35_LOXAF
OG0002787	sp|P59826|BPIB3_HUMAN	tr|G3TK99|G3TK99_LOXAF
OG0002788	sp|P62910|RL32_HUMAN	tr|G3TZK0|G3TZK0_LOXAF
OG0002789	sp|Q08289|CACB2_HUMAN	tr|G3TP37|G3TP37_LOXAF
OG0002790	sp|Q08357|S20A2_HUMAN	tr|G3STE6|G3STE6_LOXAF
OG0002791	sp|Q0VG06|FP100_HUMAN	tr|G3UMD2|G3UMD2_LOXAF
OG0002792	sp|Q19T08|ECSCR_HUMAN	tr|G3U8D7|G3U8D7_LOXAF
OG0002793	sp|Q4G0X9|CCD40_HUMAN	tr|G3T5R8|G3T5R8_LOXAF
OG0002794	sp|Q5T0L3|SPT46_HUMAN	tr|G3TKV4|G3TKV4_LOXAF
OG0002795	sp|Q6ICB4|SESQ2_HUMAN	tr|G3U0R5|G3U0R5_LOXAF
OG0002796	sp|Q6X4U4|SOSD1_HUMAN	tr|G3UMC2|G3UMC2_LOXAF
OG0002797	sp|Q6ZN32|ETV3L_HUMAN	tr|G3UJQ2|G3UJQ2_LOXAF
OG0002798	sp|Q6ZWE6|PKHM3_HUMAN	tr|G3U215|G3U215_LOXAF
OG0002799	sp|Q70EL2|UBP45_HUMAN	tr|G3T1N7|G3T1N7_LOXAF
OG0002800	sp|Q7RTS6|OTOP2_HUMAN	tr|G3UHS2|G3UHS2_LOXAF
OG0002801	sp|Q86SS6|SYT9_HUMAN	tr|G3SW50|G3SW50_LOXAF
OG0002802	sp|Q86Z20|CC125_HUMAN	tr|G3T8R5|G3T8R5_LOXAF
OG0002803	sp|Q8IXQ8|PDZD9_HUMAN	tr|G3U290|G3U290_LOXAF
OG0002804	sp|Q8N205|SYNE4_HUMAN	tr|G3UGS6|G3UGS6_LOXAF
OG0002805	sp|Q8N729|NPW_HUMAN	tr|G3TQ33|G3TQ33_LOXAF
OG0002806	sp|Q8TAE8|G45IP_HUMAN	tr|G3UFG7|G3UFG7_LOXAF
OG0002807	sp|Q8TAG6|VEXIN_HUMAN	tr|G3SV03|G3SV03_LOXAF
OG0002808	sp|Q8TCY9|URGCP_HUMAN	tr|G3UKI5|G3UKI5_LOXAF
OG0002809	sp|Q92685|ALG3_HUMAN	tr|G3TLN0|G3TLN0_LOXAF
OG0002810	sp|Q96CM8|ACSF2_HUMAN	tr|G3SZA6|G3SZA6_LOXAF
OG0002811	sp|Q96FH0|BORC8_HUMAN	tr|G3U9A6|G3U9A6_LOXAF
OG0002812	sp|Q96JK2|DCAF5_HUMAN	tr|G3TN15|G3TN15_LOXAF
OG0002813	sp|Q99675|CGRF1_HUMAN	tr|G3SUP2|G3SUP2_LOXAF
OG0002814	sp|Q9BRG1|VPS25_HUMAN	tr|G3STE0|G3STE0_LOXAF
OG0002815	sp|Q9BTA9|WAC_HUMAN	tr|G3SYI6|G3SYI6_LOXAF
OG0002816	sp|Q9BVW5|TIPIN_HUMAN	tr|G3TYT5|G3TYT5_LOXAF
OG0002817	sp|Q9BXS6|NUSAP_HUMAN	tr|G3SSL4|G3SSL4_LOXAF
OG0002818	sp|Q9GZT5|WN10A_HUMAN	tr|G3T9L8|G3T9L8_LOXAF
OG0002819	sp|Q9H093|NUAK2_HUMAN	tr|G3UFX2|G3UFX2_LOXAF
OG0002820	sp|Q9H8W4|PKHF2_HUMAN	tr|G3UCQ4|G3UCQ4_LOXAF
OG0002821	sp|Q9HC98|NEK6_HUMAN	tr|G5E7A0|G5E7A0_LOXAF
OG0002822	sp|Q9HCU9|BRMS1_HUMAN	tr|G3TA08|G3TA08_LOXAF
OG0002823	sp|Q9NQ32|CK016_HUMAN	tr|G3T621|G3T621_LOXAF
OG0002824	sp|Q9NY15|STAB1_HUMAN	tr|G3TC85|G3TC85_LOXAF
OG0002825	sp|Q9P206|K1522_HUMAN	tr|G3TZ59|G3TZ59_LOXAF
OG0002826	sp|Q9UMR3|TBX20_HUMAN	tr|G3TMI8|G3TMI8_LOXAF
OG0002827	sp|Q9Y6E7|SIR4_HUMAN	tr|G3SQ38|G3SQ38_LOXAF
OG0002829	sp|A6NKF7|TM88B_HUMAN	tr|G3SLV7|G3SLV7_LOXAF
OG0002830	sp|O00566|MPP10_HUMAN	tr|G3T7B4|G3T7B4_LOXAF
OG0002831	sp|O15056|SYNJ2_HUMAN	tr|G3T8J5|G3T8J5_LOXAF
OG0002832	sp|O15144|ARPC2_HUMAN	tr|G3SZY8|G3SZY8_LOXAF
OG0002833	sp|O43248|HXC11_HUMAN	tr|G3TK74|G3TK74_LOXAF
OG0002834	sp|O43310|CTIF_HUMAN	tr|G3TGT6|G3TGT6_LOXAF
OG0002835	sp|O75333|TBX10_HUMAN	tr|G3TPV6|G3TPV6_LOXAF
OG0002836	sp|O75347|TBCA_HUMAN	tr|G3SW01|G3SW01_LOXAF
OG0002837	sp|O75953|DNJB5_HUMAN	tr|G3TMY5|G3TMY5_LOXAF
OG0002838	sp|O94905|ERLN2_HUMAN	tr|G3T7G0|G3T7G0_LOXAF
OG0002839	sp|P01100|FOS_HUMAN	tr|G3U9U7|G3U9U7_LOXAF
OG0002840	sp|P04216|THY1_HUMAN	tr|G3THT3|G3THT3_LOXAF
OG0002841	sp|P05231|IL6_HUMAN	tr|G3TFE8|G3TFE8_LOXAF
OG0002843	sp|P27487|DPP4_HUMAN	tr|G3TVN4|G3TVN4_LOXAF
OG0002844	sp|P29972|AQP1_HUMAN	tr|G3T544|G3T544_LOXAF
OG0002845	sp|P30040|ERP29_HUMAN	tr|G3U6M4|G3U6M4_LOXAF
OG0002846	sp|P51460|INSL3_HUMAN	tr|G3U3G3|G3U3G3_LOXAF
OG0002847	sp|Q01831|XPC_HUMAN	tr|G3TN09|G3TN09_LOXAF
OG0002849	sp|Q13164|MK07_HUMAN	tr|G3T5A7|G3T5A7_LOXAF
OG0002850	sp|Q13630|FCL_HUMAN	tr|G3T628|G3T628_LOXAF
OG0002851	sp|Q14289|FAK2_HUMAN	tr|G3SVS7|G3SVS7_LOXAF
OG0002852	sp|Q15014|MO4L2_HUMAN	tr|G3TZG8|G3TZG8_LOXAF
OG0002853	sp|Q15116|PDCD1_HUMAN	tr|G3TR78|G3TR78_LOXAF
OG0002854	sp|Q15813|TBCE_HUMAN	tr|G3SYP7|G3SYP7_LOXAF
OG0002855	sp|Q2M2I8|AAK1_HUMAN	tr|G3TA06|G3TA06_LOXAF
OG0002856	sp|Q2NL68|PRSR3_HUMAN	tr|G3TAD7|G3TAD7_LOXAF
OG0002857	sp|Q3B8N5|PROX2_HUMAN	tr|G3T9M0|G3T9M0_LOXAF
OG0002858	sp|Q53EZ4|CEP55_HUMAN	tr|G3TEL0|G3TEL0_LOXAF
OG0002859	sp|Q5JTW2|CEP78_HUMAN	tr|G3TA78|G3TA78_LOXAF
OG0002860	sp|Q5T7P8|SYT6_HUMAN	tr|G3UFL2|G3UFL2_LOXAF
OG0002861	sp|Q6UWI2|PARM1_HUMAN	tr|G3ST63|G3ST63_LOXAF
OG0002862	sp|Q6ZMT1|STAC2_HUMAN	tr|G3TP02|G3TP02_LOXAF
OG0002863	sp|Q6ZWI9|RFPLB_HUMAN	tr|G3TNQ5|G3TNQ5_LOXAF
OG0002864	sp|Q7L0R7|RNF44_HUMAN	tr|G3SW33|G3SW33_LOXAF
OG0002865	sp|Q7Z589|EMSY_HUMAN	tr|G3T840|G3T840_LOXAF
OG0002866	sp|Q7Z6K3|PTAR1_HUMAN	tr|G3SNB8|G3SNB8_LOXAF
OG0002867	sp|Q7Z6M1|RABEK_HUMAN	tr|G3T4W1|G3T4W1_LOXAF
OG0002868	sp|Q86VD9|PIGZ_HUMAN	tr|G3UH15|G3UH15_LOXAF
OG0002869	sp|Q86X83|COMD2_HUMAN	tr|G3T014|G3T014_LOXAF
OG0002870	sp|Q8IYT4|KATL2_HUMAN	tr|G3SU80|G3SU80_LOXAF
OG0002871	sp|Q8N336|ELMD1_HUMAN	tr|G3SQ36|G3SQ36_LOXAF
OG0002872	sp|Q8N3R3|TCAIM_HUMAN	tr|G3SWM3|G3SWM3_LOXAF
OG0002873	sp|Q8N4L1|T151A_HUMAN	tr|G3U220|G3U220_LOXAF
OG0002874	sp|Q8N5M4|TTC9C_HUMAN	tr|G3T824|G3T824_LOXAF
OG0002875	sp|Q8NEG5|ZSWM2_HUMAN	tr|G3SZ06|G3SZ06_LOXAF
OG0002876	sp|Q8NHS3|MFSD8_HUMAN	tr|G3TKT8|G3TKT8_LOXAF
OG0002877	sp|Q8TC05|MDM1_HUMAN	tr|G3TY57|G3TY57_LOXAF
OG0002878	sp|Q8TC57|M1AP_HUMAN	tr|G3TKP2|G3TKP2_LOXAF
OG0002879	sp|Q96BZ4|PLD4_HUMAN	tr|G3T654|G3T654_LOXAF
OG0002880	sp|Q96NW7|LRRC7_HUMAN	tr|G5E7B1|G5E7B1_LOXAF
OG0002881	sp|Q9BTY2|FUCO2_HUMAN	tr|G3TPL3|G3TPL3_LOXAF
OG0002882	sp|Q9C0I3|CCSE1_HUMAN	tr|G3SMP3|G3SMP3_LOXAF
OG0002883	sp|Q9HAT2|SIAE_HUMAN	tr|G3TGM8|G3TGM8_LOXAF
OG0002884	sp|Q9HCK1|ZDBF2_HUMAN	tr|G3TCW5|G3TCW5_LOXAF
OG0002885	sp|Q9NP50|SHCAF_HUMAN	tr|G3SNN1|G3SNN1_LOXAF
OG0002886	sp|Q9NQP4|PFD4_HUMAN	tr|G3TI48|G3TI48_LOXAF
OG0002887	sp|Q9NRF2|SH2B1_HUMAN	tr|G3THH9|G3THH9_LOXAF
OG0002888	sp|Q9NRS6|SNX15_HUMAN	tr|G3TEL7|G3TEL7_LOXAF
OG0002889	sp|Q9NRX3|NUA4L_HUMAN	tr|G3TQC1|G3TQC1_LOXAF
OG0002890	sp|Q9NUJ3|T11L1_HUMAN	tr|G3T2C3|G3T2C3_LOXAF
OG0002891	sp|Q9UBQ5|EIF3K_HUMAN	tr|G3U635|G3U635_LOXAF
OG0002892	sp|Q9Y274|SIA10_HUMAN	tr|G3SX32|G3SX32_LOXAF
OG0002893	sp|Q9Y2Z4|SYYM_HUMAN	tr|G3TIR4|G3TIR4_LOXAF
OG0002894	sp|Q9Y394|DHRS7_HUMAN	tr|G3TCT4|G3TCT4_LOXAF
OG0002895	sp|Q9Y5N5|N6MT1_HUMAN	tr|G3SNK8|G3SNK8_LOXAF
OG0002896	sp|A0A1W2PQ72|MSD7_HUMAN	tr|G3U0U6|G3U0U6_LOXAF
OG0002897	sp|O15226|NKRF_HUMAN	tr|G3U182|G3U182_LOXAF
OG0002898	sp|O43182|RHG06_HUMAN	tr|G3SUX2|G3SUX2_LOXAF
OG0002899	sp|O43526|KCNQ2_HUMAN	tr|G3TZD6|G3TZD6_LOXAF
OG0002900	sp|O43766|LIAS_HUMAN	tr|G3T8M3|G3T8M3_LOXAF
OG0002901	sp|O95476|CNEP1_HUMAN	tr|G3SMA7|G3SMA7_LOXAF
OG0002902	sp|P08F94|PKHD1_HUMAN	tr|G3T9X7|G3T9X7_LOXAF
OG0002903	sp|P13861|KAP2_HUMAN	tr|G3TXQ4|G3TXQ4_LOXAF
OG0002904	sp|P14415|AT1B2_HUMAN	tr|G3UEK9|G3UEK9_LOXAF
OG0002905	sp|P17040|ZSC20_HUMAN	tr|G3TQC9|G3TQC9_LOXAF
OG0002906	sp|P19971|TYPH_HUMAN	tr|G3ULU6|G3ULU6_LOXAF
OG0002907	sp|P26022|PTX3_HUMAN	tr|G3T6R4|G3T6R4_LOXAF
OG0002908	sp|P30085|KCY_HUMAN	tr|G3SYF2|G3SYF2_LOXAF
OG0002909	sp|P50995|ANX11_HUMAN	tr|G3TN32|G3TN32_LOXAF
OG0002910	sp|P51684|CCR6_HUMAN	tr|G3UIW8|G3UIW8_LOXAF
OG0002911	sp|P52746|ZN142_HUMAN	tr|G3TS87|G3TS87_LOXAF
OG0002912	sp|P62891|RL39_HUMAN	tr|G3TST4|G3TST4_LOXAF
OG0002913	sp|Q02577|HEN2_HUMAN	tr|G3T017|G3T017_LOXAF
OG0002914	sp|Q05195|MAD1_HUMAN	tr|G3SPE8|G3SPE8_LOXAF
OG0002915	sp|Q08AI8|MB214_HUMAN	tr|G3U332|G3U332_LOXAF
OG0002916	sp|Q13087|PDIA2_HUMAN	tr|G3UCF5|G3UCF5_LOXAF
OG0002917	sp|Q14674|ESPL1_HUMAN	tr|G3T1N3|G3T1N3_LOXAF
OG0002918	sp|Q15466|NR0B2_HUMAN	tr|G3THH1|G3THH1_LOXAF
OG0002919	sp|Q155Q3|DIXC1_HUMAN	tr|G3TUP7|G3TUP7_LOXAF
OG0002920	sp|Q15849|UT2_HUMAN	tr|G3TWM2|G3TWM2_LOXAF
OG0002921	sp|Q16394|EXT1_HUMAN	tr|G3U480|G3U480_LOXAF
OG0002922	sp|Q3YBR2|TBRG1_HUMAN	tr|G3TGM1|G3TGM1_LOXAF
OG0002923	sp|Q5BJH7|YIF1B_HUMAN	tr|G3SL57|G3SL57_LOXAF
OG0002924	sp|Q5TEJ8|THMS2_HUMAN	tr|G3T3U1|G3T3U1_LOXAF
OG0002925	sp|Q5VTE6|ANGE2_HUMAN	tr|G3TC98|G3TC98_LOXAF
OG0002926	sp|Q5VV67|PPRC1_HUMAN	tr|G3TCV0|G3TCV0_LOXAF
OG0002927	sp|Q6NUS6|TECT3_HUMAN	tr|G3UFK2|G3UFK2_LOXAF
OG0002928	sp|Q6ZV89|SH2D5_HUMAN	tr|G3SM48|G3SM48_LOXAF
OG0002929	sp|Q76FK4|NOL8_HUMAN	tr|G3SPZ7|G3SPZ7_LOXAF
OG0002930	sp|Q7Z745|MRO2B_HUMAN	tr|G3SS98|G3SS98_LOXAF
OG0002931	sp|Q86VZ5|SMS1_HUMAN	tr|G3ULW4|G3ULW4_LOXAF
OG0002932	sp|Q8IV56|PRR15_HUMAN	tr|G3SQS9|G3SQS9_LOXAF
OG0002933	sp|Q8IWE2|NXP20_HUMAN	tr|G3TBI7|G3TBI7_LOXAF
OG0002934	sp|Q8N0Z3|SPICE_HUMAN	tr|G3T3R2|G3T3R2_LOXAF
OG0002935	sp|Q8NBT3|TM145_HUMAN	tr|G3UEN8|G3UEN8_LOXAF
OG0002936	sp|Q8NER5|ACV1C_HUMAN	tr|G3TQF4|G3TQF4_LOXAF
OG0002937	sp|Q8WWI1|LMO7_HUMAN	tr|G3SM01|G3SM01_LOXAF
OG0002938	sp|Q92575|UBXN4_HUMAN	tr|G3T319|G3T319_LOXAF
OG0002939	sp|Q92945|FUBP2_HUMAN	tr|G3UFK7|G3UFK7_LOXAF
OG0002940	sp|Q96A70|AZIN2_HUMAN	tr|G3T163|G3T163_LOXAF
OG0002941	sp|Q96CN4|EVI5L_HUMAN	tr|G3UE58|G3UE58_LOXAF
OG0002942	sp|Q96EY8|MMAB_HUMAN	tr|G3TDN5|G3TDN5_LOXAF
OG0002943	sp|Q9BQP7|MGME1_HUMAN	tr|G3T5X5|G3T5X5_LOXAF
OG0002944	sp|Q9BRX8|PXL2A_HUMAN	tr|G3SUB4|G3SUB4_LOXAF
OG0002945	sp|Q9BUR5|MIC26_HUMAN	tr|G3UDR2|G3UDR2_LOXAF
