Orthogroup	Homo_sapiens	Propithecus_coquereli
OG0001969	sp|P35232|PHB1_HUMAN	tr|A0A2K6EI57|A0A2K6EI57_PROCO, tr|A0A2K6EEM9|A0A2K6EEM9_PROCO
OG0001970	sp|P0C7U0|ELFN1_HUMAN, sp|Q5R3F8|PPR29_HUMAN	tr|A0A2K6EM03|A0A2K6EM03_PROCO
OG0001972	sp|Q8WUT4|LRRN4_HUMAN, sp|Q8ND94|LRN4L_HUMAN	tr|A0A2K6GV34|A0A2K6GV34_PROCO
OG0001973	sp|Q1W6H9|F110C_HUMAN, sp|Q8TAY7|F110D_HUMAN	tr|A0A2K6EXJ8|A0A2K6EXJ8_PROCO
OG0001974	sp|Q96P20|NLRP3_HUMAN	tr|A0A2K6FH46|A0A2K6FH46_PROCO, tr|A0A2K6F7X9|A0A2K6F7X9_PROCO
OG0001975	sp|A0A1B0GTK4|F237A_HUMAN, sp|A0A1B0GVD1|F237B_HUMAN	tr|A0A2K6FFT8|A0A2K6FFT8_PROCO
OG0001976	sp|Q14CZ0|HAPR1_HUMAN, tr|A0A7P0TBJ1|A0A7P0TBJ1_HUMAN	tr|A0A2K6EV46|A0A2K6EV46_PROCO
OG0001977	sp|Q9NP95|FGF20_HUMAN, sp|P12034|FGF5_HUMAN	tr|A0A2K6GYH8|A0A2K6GYH8_PROCO
OG0001978	sp|O75886|STAM2_HUMAN, sp|Q92783|STAM1_HUMAN	tr|A0A2K6F454|A0A2K6F454_PROCO
OG0001979	sp|Q9BWL3|CA043_HUMAN	tr|A0A2K6G0P7|A0A2K6G0P7_PROCO, tr|A0A2K6EQ77|A0A2K6EQ77_PROCO
OG0001980	sp|Q9ULW2|FZD10_HUMAN, sp|O00144|FZD9_HUMAN	tr|A0A2K6EP12|A0A2K6EP12_PROCO
OG0001981	sp|P57054|PIGP_HUMAN	tr|A0A2K6F0Q1|A0A2K6F0Q1_PROCO, tr|A0A2K6G3E4|A0A2K6G3E4_PROCO
OG0001982	sp|A2RUC4|TYW5_HUMAN, sp|Q8N371|KDM8_HUMAN	tr|A0A2K6FW84|A0A2K6FW84_PROCO
OG0001983	sp|O43716|GATC_HUMAN	tr|A0A2K6F3J5|A0A2K6F3J5_PROCO, tr|A0A2K6EN36|A0A2K6EN36_PROCO
OG0001984	sp|Q5XX13|FBW10_HUMAN, sp|O95170|CDRT1_HUMAN	tr|A0A2K6EUS8|A0A2K6EUS8_PROCO
OG0001985	sp|Q15054|DPOD3_HUMAN	tr|A0A2K6FYH2|A0A2K6FYH2_PROCO, tr|A0A2K6GEL9|A0A2K6GEL9_PROCO
OG0001986	sp|A6NKX4|S22AV_HUMAN, sp|Q8WUG5|S22AH_HUMAN	tr|A0A2K6GTY7|A0A2K6GTY7_PROCO
OG0001987	sp|Q6ZUV0|BACHL_HUMAN, sp|O00154|BACH_HUMAN	tr|A0A2K6GBH2|A0A2K6GBH2_PROCO
OG0001988	sp|P0DMW5|SIL2B_HUMAN, sp|P0DMW4|SIL2A_HUMAN	tr|A0A2K6EGU6|A0A2K6EGU6_PROCO
OG0001989	sp|Q9UQC2|GAB2_HUMAN, sp|Q2WGN9|GAB4_HUMAN	tr|A0A2K6G3R4|A0A2K6G3R4_PROCO
OG0001990	sp|Q5TZA2|CROCC_HUMAN, sp|Q8IVE0|CROL2_HUMAN	tr|A0A2K6FJH5|A0A2K6FJH5_PROCO
OG0001991	sp|O43422|P52K_HUMAN	tr|A0A2K6GU87|A0A2K6GU87_PROCO, tr|A0A2K6EUY2|A0A2K6EUY2_PROCO
OG0001992	sp|P0CG35|TB15B_HUMAN, sp|P0CG34|TB15A_HUMAN	tr|A0A2K6FLE8|A0A2K6FLE8_PROCO
OG0001993	sp|P51864|TDGF3_HUMAN, sp|P13385|TDGF1_HUMAN	tr|A0A2K6GWG3|A0A2K6GWG3_PROCO
OG0001994	sp|Q9NS66|GP173_HUMAN, sp|P60893|GPR85_HUMAN	tr|A0A2K6EHZ0|A0A2K6EHZ0_PROCO
OG0001995	sp|Q8TCD6|PHOP2_HUMAN, sp|Q8TCT1|PHOP1_HUMAN	tr|A0A2K6GIJ9|A0A2K6GIJ9_PROCO
OG0001996	sp|Q9UJN7|ZN391_HUMAN, sp|Q99676|ZN184_HUMAN	tr|A0A2K6G393|A0A2K6G393_PROCO
OG0001997	sp|Q99832|TCPH_HUMAN	tr|A0A2K6GAA3|A0A2K6GAA3_PROCO, tr|A0A2K6GIT8|A0A2K6GIT8_PROCO
OG0001998	sp|Q9H5V9|STEEP_HUMAN	tr|A0A2K6GPL3|A0A2K6GPL3_PROCO, tr|A0A2K6GS76|A0A2K6GS76_PROCO
OG0001999	sp|O15218|GP182_HUMAN, sp|P25106|ACKR3_HUMAN	tr|A0A2K6EHR0|A0A2K6EHR0_PROCO
OG0002000	sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2|GAL3A_HUMAN	tr|A0A2K6ELE9|A0A2K6ELE9_PROCO
OG0002001	sp|Q96GW9|SYMM_HUMAN, sp|P26640|SYVC_HUMAN	tr|A0A2K6EPL5|A0A2K6EPL5_PROCO
OG0002002	sp|Q16849|PTPRN_HUMAN, sp|Q92932|PTPR2_HUMAN	tr|A0A2K6F6R7|A0A2K6F6R7_PROCO
OG0002003	sp|P21675|TAF1_HUMAN, sp|Q8IZX4|TAF1L_HUMAN	tr|A0A2K6ELM1|A0A2K6ELM1_PROCO
OG0002004	sp|Q8N5W8|FA24B_HUMAN, sp|A6NFZ4|FA24A_HUMAN	tr|A0A2K6EM47|A0A2K6EM47_PROCO
OG0002005	sp|Q8NFP4|MDGA1_HUMAN, sp|Q7Z553|MDGA2_HUMAN	tr|A0A2K6EIN1|A0A2K6EIN1_PROCO
OG0002006	sp|Q687X5|STEA4_HUMAN, sp|Q8NFT2|STEA2_HUMAN	tr|A0A2K6FDH3|A0A2K6FDH3_PROCO
OG0002007	sp|P41229|KDM5C_HUMAN, sp|Q9BY66|KDM5D_HUMAN	tr|A0A2K6EJ14|A0A2K6EJ14_PROCO
OG0002008	sp|Q9NUQ2|PLCE_HUMAN	tr|A0A2K6F944|A0A2K6F944_PROCO, tr|A0A2K6GXJ6|A0A2K6GXJ6_PROCO
OG0002009	sp|P51659|DHB4_HUMAN, sp|Q9UJQ7|SCP2D_HUMAN	tr|A0A2K6GZX3|A0A2K6GZX3_PROCO
OG0002010	sp|Q6ZRS4|ITPI1_HUMAN, sp|P28290|ITPI2_HUMAN	tr|A0A2K6FM01|A0A2K6FM01_PROCO
OG0002011	sp|O60476|MA1A2_HUMAN, sp|P33908|MA1A1_HUMAN	tr|A0A2K6FR24|A0A2K6FR24_PROCO
OG0002012	sp|P52788|SPSY_HUMAN	tr|A0A2K6FCR8|A0A2K6FCR8_PROCO, tr|A0A2K6EI93|A0A2K6EI93_PROCO
OG0002014	sp|Q96BD8|SKA1_HUMAN	tr|A0A2K6EWJ1|A0A2K6EWJ1_PROCO, tr|A0A2K6FTJ5|A0A2K6FTJ5_PROCO
OG0002015	sp|O15392|BIRC5_HUMAN	tr|A0A2K6G0R6|A0A2K6G0R6_PROCO, tr|A0A2K6GD02|A0A2K6GD02_PROCO
OG0002016	sp|P0C5Y9|H2AB1_HUMAN, sp|P0C5Z0|H2AB2_HUMAN	tr|A0A2K6GIM0|A0A2K6GIM0_PROCO
OG0002017	sp|P41225|SOX3_HUMAN, sp|P48431|SOX2_HUMAN	tr|A0A2K6EQR6|A0A2K6EQR6_PROCO
OG0002018	sp|P53611|PGTB2_HUMAN	tr|A0A2K6FPM1|A0A2K6FPM1_PROCO, tr|A0A2K6GBU7|A0A2K6GBU7_PROCO
OG0002019	sp|Q07326|PIGF_HUMAN	tr|A0A2K6FZT4|A0A2K6FZT4_PROCO, tr|A0A2K6EJK0|A0A2K6EJK0_PROCO
OG0002020	sp|Q96A44|SPSB4_HUMAN, sp|Q96BD6|SPSB1_HUMAN	tr|A0A2K6GY96|A0A2K6GY96_PROCO
OG0002021	sp|Q6P1Q9|MET2B_HUMAN, sp|Q96IZ6|MET2A_HUMAN	tr|A0A2K6G3Q9|A0A2K6G3Q9_PROCO
OG0002023	sp|P0C7N4|T191B_HUMAN, sp|A6NGB0|T191C_HUMAN	tr|A0A2K6EEZ2|A0A2K6EEZ2_PROCO
OG0002024	sp|Q9HCN6|GPVI_HUMAN, sp|B6A8C7|TARM1_HUMAN	tr|A0A2K6GSZ7|A0A2K6GSZ7_PROCO
OG0002025	sp|Q8TD33|SG1C1_HUMAN, sp|P0DMR2|SG1C2_HUMAN	tr|A0A2K6GFW9|A0A2K6GFW9_PROCO
OG0002026	sp|P40818|UBP8_HUMAN	tr|A0A2K6GQ36|A0A2K6GQ36_PROCO, tr|A0A2K6GKR3|A0A2K6GKR3_PROCO
OG0002027	sp|Q06828|FMOD_HUMAN, sp|P51884|LUM_HUMAN	tr|A0A2K6GXT4|A0A2K6GXT4_PROCO
OG0002028	sp|Q5VSP4|LC1L1_HUMAN, sp|P31025|LCN1_HUMAN	tr|A0A2K6GDI1|A0A2K6GDI1_PROCO
OG0002029	sp|Q8N9Z2|CC71L_HUMAN, sp|Q8IV32|CCD71_HUMAN	tr|A0A2K6GFW4|A0A2K6GFW4_PROCO
OG0002030	sp|Q8TDV5|GP119_HUMAN, sp|Q13639|5HT4R_HUMAN	tr|A0A2K6GPD7|A0A2K6GPD7_PROCO
OG0002031	sp|Q9C0E2|XPO4_HUMAN	tr|A0A2K6ETE4|A0A2K6ETE4_PROCO, tr|A0A2K6GH78|A0A2K6GH78_PROCO
OG0002032	sp|Q9HCM4|E41L5_HUMAN	tr|A0A2K6FKM1|A0A2K6FKM1_PROCO, tr|A0A2K6FB56|A0A2K6FB56_PROCO
OG0002033	sp|Q9Y3C6|PPIL1_HUMAN	tr|A0A2K6F4A4|A0A2K6F4A4_PROCO, tr|A0A2K6FT87|A0A2K6FT87_PROCO
OG0002034	sp|P0CK97|S35E2_HUMAN, sp|P0CK96|S352B_HUMAN	tr|A0A2K6FSG5|A0A2K6FSG5_PROCO
OG0002035	sp|Q6A1A2|PDPK2_HUMAN, sp|O15530|PDPK1_HUMAN	tr|A0A2K6ESZ6|A0A2K6ESZ6_PROCO
OG0002036	sp|Q8IYS8|BD1L2_HUMAN, sp|Q96IK1|BOD1_HUMAN	tr|A0A2K6FDI0|A0A2K6FDI0_PROCO
OG0002037	sp|Q96B45|BORC7_HUMAN	tr|A0A2K6GBW2|A0A2K6GBW2_PROCO, tr|A0A2K6EZ73|A0A2K6EZ73_PROCO
OG0002038	sp|O14737|PDCD5_HUMAN	tr|A0A2K6FBQ3|A0A2K6FBQ3_PROCO, tr|A0A2K6F842|A0A2K6F842_PROCO
OG0002039	sp|A8MTJ6|FOXI3_HUMAN, sp|Q12951|FOXI1_HUMAN	tr|A0A2K6G6B3|A0A2K6G6B3_PROCO
OG0002040	sp|Q15836|VAMP3_HUMAN	tr|A0A2K6EYG8|A0A2K6EYG8_PROCO, tr|A0A2K6EJU8|A0A2K6EJU8_PROCO
OG0002041	sp|C9J798|RAS4B_HUMAN, sp|O43374|RASL2_HUMAN	tr|A0A2K6FUB4|A0A2K6FUB4_PROCO
OG0002042	sp|Q9BY27|DGC6L_HUMAN, sp|Q14129|DGCR6_HUMAN	tr|A0A2K6F809|A0A2K6F809_PROCO
OG0002043	sp|Q86UD4|ZN329_HUMAN, sp|Q9UJW8|ZN180_HUMAN	tr|A0A2K6GEI2|A0A2K6GEI2_PROCO
OG0002044	sp|Q96I13|ABHD8_HUMAN	tr|A0A2K6G0F1|A0A2K6G0F1_PROCO, tr|A0A2K6FHF2|A0A2K6FHF2_PROCO
OG0002045	sp|Q96LZ7|RMD2_HUMAN	tr|A0A2K6FGA9|A0A2K6FGA9_PROCO, tr|A0A2K6FWB8|A0A2K6FWB8_PROCO
OG0002046	sp|Q99547|MPH6_HUMAN	tr|A0A2K6GVW0|A0A2K6GVW0_PROCO, tr|A0A2K6EWK9|A0A2K6EWK9_PROCO
OG0002047	sp|Q9BVR0|HRC23_HUMAN, sp|O95714|HERC2_HUMAN	tr|A0A2K6EY55|A0A2K6EY55_PROCO
OG0002048	sp|Q9UN86|G3BP2_HUMAN, sp|Q13283|G3BP1_HUMAN	tr|A0A2K6F168|A0A2K6F168_PROCO
OG0002049	sp|P60983|GMFB_HUMAN, sp|O60234|GMFG_HUMAN	tr|A0A2K6FJC3|A0A2K6FJC3_PROCO
OG0002050	sp|P62269|RS18_HUMAN	tr|A0A2K6GDV0|A0A2K6GDV0_PROCO, tr|A0A2K6GWD4|A0A2K6GWD4_PROCO
OG0002051	sp|P62917|RL8_HUMAN	tr|A0A2K6F330|A0A2K6F330_PROCO, tr|A0A2K6F401|A0A2K6F401_PROCO
OG0002052	sp|Q5JT82|KLF17_HUMAN, sp|A0A0U1RQI7|KLF18_HUMAN	tr|A0A2K6GHG9|A0A2K6GHG9_PROCO
OG0002053	sp|Q9H2W1|M4A6A_HUMAN, sp|Q96DS6|M4A6E_HUMAN	tr|A0A2K6EPQ0|A0A2K6EPQ0_PROCO
OG0002054	sp|Q13057|COASY_HUMAN	tr|A0A2K6FN87|A0A2K6FN87_PROCO, tr|A0A2K6EHH4|A0A2K6EHH4_PROCO
OG0002055	sp|Q13607|OR2F1_HUMAN, sp|O95006|OR2F2_HUMAN	tr|A0A2K6EEQ9|A0A2K6EEQ9_PROCO
OG0002056	sp|Q9NZB2|F120A_HUMAN, sp|Q5T035|CI129_HUMAN	tr|A0A2K6FJY2|A0A2K6FJY2_PROCO
OG0002057	sp|Q9H477|RBSK_HUMAN, sp|P55263|ADK_HUMAN	tr|A0A2K6GX96|A0A2K6GX96_PROCO
OG0002058	sp|Q9NQ39|RS10L_HUMAN, sp|P46783|RS10_HUMAN	tr|A0A2K6F4W5|A0A2K6F4W5_PROCO
OG0002059	sp|P0C0L5|CO4B_HUMAN, sp|P0C0L4|CO4A_HUMAN	tr|A0A2K6G8H2|A0A2K6G8H2_PROCO
OG0002060	sp|Q86VQ3|TXND2_HUMAN, sp|P10599|THIO_HUMAN	tr|A0A2K6F445|A0A2K6F445_PROCO
OG0002061	sp|P62888|RL30_HUMAN	tr|A0A2K6F8I5|A0A2K6F8I5_PROCO, tr|A0A2K6F862|A0A2K6F862_PROCO
OG0002063	sp|Q9UMR7|CLC4A_HUMAN, sp|Q8IZS7|CLCL1_HUMAN	tr|A0A2K6FB06|A0A2K6FB06_PROCO
OG0002064	sp|Q15672|TWST1_HUMAN, sp|Q8WVJ9|TWST2_HUMAN	tr|A0A2K6EHD6|A0A2K6EHD6_PROCO
OG0002065	sp|Q99623|PHB2_HUMAN	tr|A0A2K6FZR7|A0A2K6FZR7_PROCO, tr|A0A2K6GKW4|A0A2K6GKW4_PROCO
OG0002066	sp|Q9H0E7|UBP44_HUMAN	tr|A0A2K6EWA6|A0A2K6EWA6_PROCO, tr|A0A2K6FYE9|A0A2K6FYE9_PROCO
OG0002067	sp|Q9H7E2|TDRD3_HUMAN, sp|Q9H9A7|RMI1_HUMAN	tr|A0A2K6FQT6|A0A2K6FQT6_PROCO
OG0002069	sp|P45985|MP2K4_HUMAN	tr|A0A2K6GZW2|A0A2K6GZW2_PROCO, tr|A0A2K6GZ26|A0A2K6GZ26_PROCO
OG0002070	sp|P47756|CAPZB_HUMAN	tr|A0A2K6G8I8|A0A2K6G8I8_PROCO, tr|A0A2K6FRV6|A0A2K6FRV6_PROCO
OG0002071	sp|Q5TAH2|SL9C2_HUMAN, sp|Q4G0N8|SL9C1_HUMAN	tr|A0A2K6F700|A0A2K6F700_PROCO
OG0002072	sp|Q8WW33|GTSF1_HUMAN	tr|A0A2K6F1K9|A0A2K6F1K9_PROCO, tr|A0A2K6FA68|A0A2K6FA68_PROCO
OG0002073	sp|Q9H204|MED28_HUMAN	tr|A0A2K6GD27|A0A2K6GD27_PROCO, tr|A0A2K6FZR1|A0A2K6FZR1_PROCO
OG0002074	sp|Q9UKI2|BORG2_HUMAN, sp|O14613|BORG1_HUMAN	tr|A0A2K6EER8|A0A2K6EER8_PROCO
OG0002075	sp|P17026|ZNF22_HUMAN, sp|Q6U7Q0|ZN322_HUMAN	tr|A0A2K6EQK5|A0A2K6EQK5_PROCO
OG0002076	sp|Q9HCE5|MET14_HUMAN, sp|Q86U44|MTA70_HUMAN	tr|A0A2K6GDT5|A0A2K6GDT5_PROCO
OG0002077	sp|Q9HBH7|BEX1_HUMAN, sp|Q9BXY8|BEX2_HUMAN	tr|A0A2K6FXI7|A0A2K6FXI7_PROCO
OG0002078	sp|Q9GZQ8|MLP3B_HUMAN, sp|A6NCE7|MP3B2_HUMAN	tr|A0A2K6FNH8|A0A2K6FNH8_PROCO
OG0002079	sp|Q9H4T2|ZSC16_HUMAN, sp|P49910|ZN165_HUMAN	tr|A0A2K6EUB1|A0A2K6EUB1_PROCO
OG0002080	sp|Q9UHE5|NAT8_HUMAN, sp|Q9UHF3|NAT8B_HUMAN	tr|A0A2K6FK11|A0A2K6FK11_PROCO
OG0002081	sp|Q9UNU6|CP8B1_HUMAN, sp|Q16647|PTGIS_HUMAN	tr|A0A2K6G780|A0A2K6G780_PROCO
OG0002082	sp|Q01826|SATB1_HUMAN, sp|Q9UPW6|SATB2_HUMAN	tr|A0A2K6FQX1|A0A2K6FQX1_PROCO
OG0002083	sp|A0JLT2|MED19_HUMAN	tr|A0A2K6FLI3|A0A2K6FLI3_PROCO, tr|A0A2K6G3A7|A0A2K6G3A7_PROCO
OG0002084	sp|Q5I7T1|AG10B_HUMAN, sp|Q5BKT4|AG10A_HUMAN	tr|A0A2K6FXD1|A0A2K6FXD1_PROCO
OG0002085	sp|Q96L58|B3GT6_HUMAN, sp|Q8NCR0|B3GL2_HUMAN	tr|A0A2K6GBI6|A0A2K6GBI6_PROCO
OG0002086	sp|Q9H1D9|RPC6_HUMAN	tr|A0A2K6F2S0|A0A2K6F2S0_PROCO, tr|A0A2K6EI85|A0A2K6EI85_PROCO
OG0002087	sp|Q9UK99|FBX3_HUMAN	tr|A0A2K6EI58|A0A2K6EI58_PROCO, tr|A0A2K6FI01|A0A2K6FI01_PROCO
OG0002088	sp|A0A3B3IRV3|MCTS2_HUMAN, sp|Q9ULC4|MCTS1_HUMAN	tr|A0A2K6FU74|A0A2K6FU74_PROCO
OG0002089	sp|A8MWV9|SM34A_HUMAN, tr|A0A2R8Y550|A0A2R8Y550_HUMAN	tr|A0A2K6GNN0|A0A2K6GNN0_PROCO
OG0002090	sp|P35998|PRS7_HUMAN	tr|A0A2K6F7E7|A0A2K6F7E7_PROCO, tr|A0A2K6END9|A0A2K6END9_PROCO
OG0002091	sp|Q12872|SFSWA_HUMAN	tr|A0A2K6ES39|A0A2K6ES39_PROCO, tr|A0A2K6GAP4|A0A2K6GAP4_PROCO
OG0002092	sp|Q7Z3Z3|PIWL3_HUMAN, sp|Q96J94|PIWL1_HUMAN	tr|A0A2K6EL76|A0A2K6EL76_PROCO
OG0002093	sp|Q96K19|RN170_HUMAN	tr|A0A2K6FS64|A0A2K6FS64_PROCO, tr|A0A2K6GZR6|A0A2K6GZR6_PROCO
OG0002094	sp|Q96NB1|CEP20_HUMAN	tr|A0A2K6FAI4|A0A2K6FAI4_PROCO, tr|A0A2K6F2A8|A0A2K6F2A8_PROCO
OG0002095	sp|Q9NWN3|FBX34_HUMAN, sp|Q6PJ61|FBX46_HUMAN	tr|A0A2K6EEF3|A0A2K6EEF3_PROCO
OG0002096	sp|Q9NY37|ASIC5_HUMAN, tr|A0A0G2JLG4|A0A0G2JLG4_HUMAN	tr|A0A2K6FN64|A0A2K6FN64_PROCO
OG0002097	sp|A6NM10|AQ12B_HUMAN, sp|Q8IXF9|AQ12A_HUMAN	tr|A0A2K6FI25|A0A2K6FI25_PROCO
OG0002098	sp|Q7Z2G1|H2BWT_HUMAN, sp|P0C1H6|H2BFM_HUMAN	tr|A0A2K6EX36|A0A2K6EX36_PROCO
OG0002099	sp|Q8WZA1|PMGT1_HUMAN, sp|P26572|MGAT1_HUMAN	tr|A0A2K6G9X8|A0A2K6G9X8_PROCO
OG0002100	sp|P48146|NPBW2_HUMAN, sp|P48145|NPBW1_HUMAN	tr|A0A2K6GI46|A0A2K6GI46_PROCO
OG0002101	sp|Q17RY0|CPEB4_HUMAN, sp|Q7Z5Q1|CPEB2_HUMAN	tr|A0A2K6EIF6|A0A2K6EIF6_PROCO
OG0002102	sp|Q9H227|GBA3_HUMAN, sp|Q6UWM7|LCTL_HUMAN	tr|A0A2K6FGV2|A0A2K6FGV2_PROCO
OG0002103	sp|P08637|FCG3A_HUMAN, sp|O75015|FCG3B_HUMAN	tr|A0A2K6FFV7|A0A2K6FFV7_PROCO
OG0002104	sp|P15927|RFA2_HUMAN, sp|Q13156|RFA4_HUMAN	tr|A0A2K6GA52|A0A2K6GA52_PROCO
OG0002105	sp|P17535|JUND_HUMAN, sp|P05412|JUN_HUMAN	tr|A0A2K6EWT8|A0A2K6EWT8_PROCO
OG0002106	sp|O15499|GSC2_HUMAN, sp|P56915|GSC_HUMAN	tr|A0A2K6F1Q7|A0A2K6F1Q7_PROCO
OG0002107	sp|Q9H1N7|S35B3_HUMAN, sp|P78383|S35B1_HUMAN	tr|A0A2K6G1H8|A0A2K6G1H8_PROCO
OG0002108	sp|Q9NPI7|KRCC1_HUMAN, sp|Q5H9K5|ZMAT1_HUMAN	tr|A0A2K6FY83|A0A2K6FY83_PROCO
OG0002109	sp|Q6NVU6|UFSP1_HUMAN, sp|Q9NUQ7|UFSP2_HUMAN	tr|A0A2K6FUV2|A0A2K6FUV2_PROCO
OG0002110	sp|Q9NS93|TM7S3_HUMAN	tr|A0A2K6G1Y5|A0A2K6G1Y5_PROCO, tr|A0A2K6GR33|A0A2K6GR33_PROCO
OG0002111	sp|P40616|ARL1_HUMAN	tr|A0A2K6F3I7|A0A2K6F3I7_PROCO, tr|A0A2K6EP40|A0A2K6EP40_PROCO
OG0002112	sp|O60674|JAK2_HUMAN, sp|P52333|JAK3_HUMAN	tr|A0A2K6EQQ8|A0A2K6EQQ8_PROCO
OG0002113	sp|Q8NCK3|ZN485_HUMAN, sp|Q5EBM4|ZN542_HUMAN	tr|A0A2K6FKT7|A0A2K6FKT7_PROCO
OG0002114	sp|Q9BR11|ZSWM1_HUMAN, sp|Q96MP5|ZSWM3_HUMAN	tr|A0A2K6GXD7|A0A2K6GXD7_PROCO
OG0002115	sp|Q9NRE1|MMP26_HUMAN, sp|P09237|MMP7_HUMAN	tr|A0A2K6GS81|A0A2K6GS81_PROCO
OG0002116	sp|Q9UBK8|MTRR_HUMAN	tr|A0A2K6FUP3|A0A2K6FUP3_PROCO, tr|A0A2K6EFC8|A0A2K6EFC8_PROCO
OG0002117	sp|Q96MV8|ZDH15_HUMAN, sp|Q9UIJ5|ZDHC2_HUMAN	tr|A0A2K6F2K2|A0A2K6F2K2_PROCO
OG0002118	sp|Q86XI6|PPR3B_HUMAN, sp|Q9UQK1|PPR3C_HUMAN	tr|A0A2K6G4I3|A0A2K6G4I3_PROCO
OG0002119	sp|P28070|PSB4_HUMAN	tr|A0A2K6GAH7|A0A2K6GAH7_PROCO, tr|A0A2K6GSN9|A0A2K6GSN9_PROCO
OG0002120	sp|Q96LZ3|CANB2_HUMAN, sp|P63098|CANB1_HUMAN	tr|A0A2K6G3A0|A0A2K6G3A0_PROCO
OG0002121	sp|Q15120|PDK3_HUMAN	tr|A0A2K6FGX4|A0A2K6FGX4_PROCO, tr|A0A2K6G3F5|A0A2K6G3F5_PROCO
OG0002122	sp|Q9BSK4|FEM1A_HUMAN, sp|Q96JP0|FEM1C_HUMAN	tr|A0A2K6FWT3|A0A2K6FWT3_PROCO
OG0002123	sp|Q9BWT6|MND1_HUMAN	tr|A0A2K6F3R7|A0A2K6F3R7_PROCO, tr|A0A2K6GPQ2|A0A2K6GPQ2_PROCO
OG0002124	sp|Q9UJC3|HOOK1_HUMAN, sp|Q96ED9|HOOK2_HUMAN	tr|A0A2K6GU76|A0A2K6GU76_PROCO
OG0002125	sp|Q9Y5T4|DJC15_HUMAN, sp|Q96DA6|TIM14_HUMAN	tr|A0A2K6G4U7|A0A2K6G4U7_PROCO
OG0002126	sp|O95416|SOX14_HUMAN, sp|Q05066|SRY_HUMAN	tr|A0A2K6GPZ6|A0A2K6GPZ6_PROCO
OG0002127	sp|P0DPA2|VSIG8_HUMAN, sp|P0DPA3|SNH28_HUMAN	tr|A0A2K6EKK1|A0A2K6EKK1_PROCO
OG0002128	sp|Q58FF3|ENPLL_HUMAN, sp|P14625|ENPL_HUMAN	tr|A0A2K6GI82|A0A2K6GI82_PROCO
OG0002129	sp|P55854|SUMO3_HUMAN, sp|P61956|SUMO2_HUMAN	tr|A0A2K6FJ08|A0A2K6FJ08_PROCO
OG0002130	sp|P02042|HBD_HUMAN, sp|P68871|HBB_HUMAN	tr|A0A2K6ERW8|A0A2K6ERW8_PROCO
OG0002131	sp|Q1ED39|KNOP1_HUMAN	tr|A0A2K6GGS3|A0A2K6GGS3_PROCO, tr|A0A2K6F6B2|A0A2K6F6B2_PROCO
OG0002132	sp|Q9NZC9|SMAL1_HUMAN, sp|Q5FWF4|ZRAB3_HUMAN	tr|A0A2K6EHJ1|A0A2K6EHJ1_PROCO
OG0002133	sp|Q8WU90|ZC3HF_HUMAN	tr|A0A2K6FW07|A0A2K6FW07_PROCO, tr|A0A2K6EJB3|A0A2K6EJB3_PROCO
OG0002134	sp|P30968|GNRHR_HUMAN, sp|Q96P88|GNRR2_HUMAN	tr|A0A2K6EYQ8|A0A2K6EYQ8_PROCO
OG0002135	sp|Q96LL9|DJC30_HUMAN, sp|Q9H3Z4|DNJC5_HUMAN	tr|A0A2K6EQ80|A0A2K6EQ80_PROCO
OG0002136	sp|Q9UHE8|STEA1_HUMAN, sp|Q6NZ63|STEAL_HUMAN	tr|A0A2K6FKE6|A0A2K6FKE6_PROCO
OG0002137	sp|P50135|HNMT_HUMAN	tr|A0A2K6G7K8|A0A2K6G7K8_PROCO, tr|A0A2K6F9M7|A0A2K6F9M7_PROCO
OG0002138	sp|Q8TBB0|THAP6_HUMAN, sp|Q9BT49|THAP7_HUMAN	tr|A0A2K6FKJ3|A0A2K6FKJ3_PROCO
OG0002139	sp|Q9BTF0|THUM2_HUMAN	tr|A0A2K6GYM4|A0A2K6GYM4_PROCO, tr|A0A2K6EEK3|A0A2K6EEK3_PROCO
OG0002140	sp|Q9GZZ9|UBA5_HUMAN, sp|O95396|MOCS3_HUMAN	tr|A0A2K6EQN1|A0A2K6EQN1_PROCO
OG0002141	sp|O95810|CAVN2_HUMAN	tr|A0A2K6EWE1|A0A2K6EWE1_PROCO, tr|A0A2K6FK09|A0A2K6FK09_PROCO
OG0002142	sp|P10072|ZN875_HUMAN, sp|P52736|ZN133_HUMAN	tr|A0A2K6F198|A0A2K6F198_PROCO
OG0002143	sp|P78381|S35A2_HUMAN, sp|Q9Y2D2|S35A3_HUMAN	tr|A0A2K6GA61|A0A2K6GA61_PROCO
OG0002144	sp|P82921|RT21_HUMAN	tr|A0A2K6EKW2|A0A2K6EKW2_PROCO, tr|A0A2K6G972|A0A2K6G972_PROCO
OG0002145	sp|P04632|CPNS1_HUMAN, sp|Q96L46|CPNS2_HUMAN	tr|A0A2K6FTT2|A0A2K6FTT2_PROCO
OG0002146	sp|Q96G79|S35A4_HUMAN, sp|P78382|S35A1_HUMAN	tr|A0A2K6FS07|A0A2K6FS07_PROCO
OG0002147	sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN	tr|A0A2K6FUN0|A0A2K6FUN0_PROCO
OG0002148	sp|P13591|NCAM1_HUMAN, sp|O15394|NCAM2_HUMAN	tr|A0A2K6G6F0|A0A2K6G6F0_PROCO
