Orthogroup	Homo_sapiens	Balaenoptera_acutorostrata_scammoni
OG0002425	sp|Q96L14|C170L_HUMAN, sp|Q5SW79|CE170_HUMAN	tr|A0A452CH89|A0A452CH89_BALAS
OG0002426	sp|Q9NR71|ASAH2_HUMAN, sp|P0C7U1|ASA2B_HUMAN	tr|A0A384A6G8|A0A384A6G8_BALAS
OG0002427	sp|O95147|DUS14_HUMAN, sp|Q4G0W2|DUS28_HUMAN	tr|A0A384AT31|A0A384AT31_BALAS
OG0002428	sp|Q9Y399|RT02_HUMAN	tr|A0A384B4W7|A0A384B4W7_BALAS, tr|A0A384B5A8|A0A384B5A8_BALAS
OG0002429	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A452CHZ6|A0A452CHZ6_BALAS, tr|A0A452CI00|A0A452CI00_BALAS
OG0002430	sp|P52298|NCBP2_HUMAN, sp|A6PVI3|NCB2L_HUMAN	tr|A0A383Z9C0|A0A383Z9C0_BALAS
OG0002431	sp|Q7Z5P4|DHB13_HUMAN, sp|Q8NBQ5|DHB11_HUMAN	tr|A0A383ZQL4|A0A383ZQL4_BALAS
OG0002432	sp|P14209|CD99_HUMAN, sp|Q8TCZ2|C99L2_HUMAN	tr|A0A383ZVE0|A0A383ZVE0_BALAS
OG0002433	sp|Q96RE9|ZN300_HUMAN, sp|Q2M218|ZN630_HUMAN	tr|A0A452CLR8|A0A452CLR8_BALAS
OG0002434	sp|Q92748|THRSP_HUMAN, sp|Q9NPA3|M1IP1_HUMAN	tr|A0A452CKW2|A0A452CKW2_BALAS
OG0002435	tr|A0A096LPK6|A0A096LPK6_HUMAN, sp|Q9UJW3|DNM3L_HUMAN	tr|A0A383ZD30|A0A383ZD30_BALAS
OG0002436	sp|Q9NV66|TYW1_HUMAN, sp|Q6NUM6|TYW1B_HUMAN	tr|A0A384AH68|A0A384AH68_BALAS
OG0002437	sp|P0C860|MS3L2_HUMAN, sp|Q8N5Y2|MS3L1_HUMAN	tr|A0A384BCQ9|A0A384BCQ9_BALAS
OG0002438	sp|Q71SY5|MED25_HUMAN, sp|Q86YD1|PTOV1_HUMAN	tr|A0A384ACI4|A0A384ACI4_BALAS
OG0002439	sp|Q9H1F0|WF10A_HUMAN, sp|Q8IUB3|WF10B_HUMAN	tr|A0A384ADW1|A0A384ADW1_BALAS
OG0002440	sp|Q96IU2|ZBED3_HUMAN, sp|Q9BTP6|ZBED2_HUMAN	tr|A0A384BG02|A0A384BG02_BALAS
OG0002441	sp|Q5T7M4|ADIPL_HUMAN, sp|Q4G0M1|ERFE_HUMAN	tr|A0A383YU63|A0A383YU63_BALAS
OG0002442	sp|Q0VDD8|DYH14_HUMAN, sp|Q9C0G6|DYH6_HUMAN	tr|A0A383ZJZ6|A0A383ZJZ6_BALAS
OG0002443	sp|Q6ZUI0|TPRG1_HUMAN, sp|Q5T0D9|TPRGL_HUMAN	tr|A0A384B6J9|A0A384B6J9_BALAS
OG0002444	sp|Q7Z494|NPHP3_HUMAN, sp|Q6P2S7|TTC41_HUMAN	tr|A0A384A0W1|A0A384A0W1_BALAS
OG0002445	tr|A0A3B3IU46|A0A3B3IU46_HUMAN, sp|Q9BTL3|RAMAC_HUMAN	tr|A0A384B3M8|A0A384B3M8_BALAS
OG0002446	sp|Q5TGJ6|HDGL1_HUMAN, sp|P51858|HDGF_HUMAN	tr|A0A383ZAJ2|A0A383ZAJ2_BALAS
OG0002447	sp|P08236|BGLR_HUMAN, sp|Q6P575|BGP11_HUMAN	tr|A0A384AGT4|A0A384AGT4_BALAS
OG0002448	sp|A0A1B0GTK4|F237A_HUMAN, sp|A0A1B0GVD1|F237B_HUMAN	tr|A0A384ATE6|A0A384ATE6_BALAS
OG0002449	sp|O60729|CC14B_HUMAN, sp|A4D256|CC14C_HUMAN	tr|A0A383ZPL7|A0A383ZPL7_BALAS
OG0002450	sp|P80162|CXCL6_HUMAN, sp|P42830|CXCL5_HUMAN	tr|A0A383ZXR3|A0A383ZXR3_BALAS
OG0002451	sp|Q13526|PIN1_HUMAN, sp|O15428|PINL_HUMAN	tr|A0A383Z2G1|A0A383Z2G1_BALAS
OG0002452	sp|Q3C1V0|M4A18_HUMAN, sp|Q9NXJ0|M4A12_HUMAN	tr|A0A383ZHH8|A0A383ZHH8_BALAS
OG0002453	sp|Q6NUR6|R216L_HUMAN, sp|Q9NWF9|RN216_HUMAN	tr|A0A384AHK0|A0A384AHK0_BALAS
OG0002454	sp|E5RIL1|UPKL2_HUMAN, sp|B0FP48|UPK3L_HUMAN	tr|A0A384AID0|A0A384AID0_BALAS
OG0002455	sp|Q96A44|SPSB4_HUMAN, sp|Q96BD6|SPSB1_HUMAN	tr|A0A384AM07|A0A384AM07_BALAS
OG0002481	sp|O00341|EAA5_HUMAN	tr|A0A383YP59|A0A383YP59_BALAS
OG0002482	sp|Q6X4U4|SOSD1_HUMAN	tr|A0A383YPZ8|A0A383YPZ8_BALAS
OG0002483	sp|O76094|SRP72_HUMAN	tr|A0A383YRC2|A0A383YRC2_BALAS
OG0002484	sp|Q9HBM0|VEZA_HUMAN	tr|A0A383YT86|A0A383YT86_BALAS
OG0002485	sp|P49458|SRP09_HUMAN	tr|A0A383YWK9|A0A383YWK9_BALAS
OG0002486	sp|Q6PEW0|PRS54_HUMAN	tr|A0A383YXX3|A0A383YXX3_BALAS
OG0002487	sp|Q9GZR1|SENP6_HUMAN	tr|A0A383YYT9|A0A383YYT9_BALAS
OG0002488	sp|O75414|NDK6_HUMAN	tr|A0A383Z172|A0A383Z172_BALAS
OG0002489	sp|Q96IQ9|ZN414_HUMAN	tr|A0A383Z1R4|A0A383Z1R4_BALAS
OG0002490	sp|Q5TBC7|B2L15_HUMAN	tr|A0A383Z2U9|A0A383Z2U9_BALAS
OG0002491	sp|Q6ZN44|UNC5A_HUMAN	tr|A0A383Z415|A0A383Z415_BALAS
OG0002492	sp|P50542|PEX5_HUMAN	tr|A0A383Z5L1|A0A383Z5L1_BALAS
OG0002493	sp|Q8TCT8|SPP2A_HUMAN	tr|A0A383Z5M9|A0A383Z5M9_BALAS
OG0002494	sp|Q9BUE0|MED18_HUMAN	tr|A0A383Z6A5|A0A383Z6A5_BALAS
OG0002495	sp|Q16204|CCDC6_HUMAN	tr|A0A383Z6U4|A0A383Z6U4_BALAS
OG0002496	sp|O95749|GGPPS_HUMAN	tr|A0A383Z6U6|A0A383Z6U6_BALAS
OG0002497	sp|Q92985|IRF7_HUMAN	tr|A0A383Z8Y1|A0A383Z8Y1_BALAS
OG0002498	sp|Q13291|SLAF1_HUMAN	tr|A0A383Z9F3|A0A383Z9F3_BALAS
OG0002499	sp|Q8IYL2|TRM44_HUMAN	tr|A0A383ZB48|A0A383ZB48_BALAS
OG0002500	sp|Q9UH65|SWP70_HUMAN	tr|A0A383ZCE0|A0A383ZCE0_BALAS
OG0002501	sp|Q13315|ATM_HUMAN	tr|A0A383ZCZ2|A0A383ZCZ2_BALAS
OG0002502	sp|Q99598|TSNAX_HUMAN	tr|A0A383ZFH6|A0A383ZFH6_BALAS
OG0002503	sp|Q6DKK2|TTC19_HUMAN	tr|A0A383ZGF5|A0A383ZGF5_BALAS
OG0002504	sp|Q75V66|ANO5_HUMAN	tr|A0A383ZI97|A0A383ZI97_BALAS
OG0002505	sp|Q9NR63|CP26B_HUMAN	tr|A0A383ZKE7|A0A383ZKE7_BALAS
OG0002506	sp|Q13075|BIRC1_HUMAN	tr|A0A383ZLP9|A0A383ZLP9_BALAS
OG0002507	sp|Q8N434|SVOPL_HUMAN	tr|A0A383ZPW7|A0A383ZPW7_BALAS
OG0002508	sp|A6NFE3|EFC10_HUMAN	tr|A0A383ZQH6|A0A383ZQH6_BALAS
OG0002509	sp|Q9NNX1|TUFT1_HUMAN	tr|A0A383ZSL8|A0A383ZSL8_BALAS
OG0002510	sp|Q9UBS5|GABR1_HUMAN	tr|A0A383ZVR3|A0A383ZVR3_BALAS
OG0002511	sp|O14744|ANM5_HUMAN	tr|A0A383ZZU9|A0A383ZZU9_BALAS
OG0002512	sp|Q4VC44|FWCH1_HUMAN	tr|A0A384A386|A0A384A386_BALAS
OG0002513	sp|Q53H76|PLA1A_HUMAN	tr|A0A384A3K8|A0A384A3K8_BALAS
OG0002514	sp|Q6P0N0|M18BP_HUMAN	tr|A0A384A427|A0A384A427_BALAS
OG0002515	sp|Q08334|I10R2_HUMAN	tr|A0A384A8X0|A0A384A8X0_BALAS
OG0002516	sp|Q9Y3R5|DOP2_HUMAN	tr|A0A384A8X6|A0A384A8X6_BALAS
OG0002517	sp|Q99712|KCJ15_HUMAN	tr|A0A384A938|A0A384A938_BALAS
OG0002518	sp|Q14667|K0100_HUMAN	tr|A0A384A9E8|A0A384A9E8_BALAS
OG0002519	sp|P37840|SYUA_HUMAN	tr|A0A384AA13|A0A384AA13_BALAS
OG0002520	sp|Q8NEA4|FBX36_HUMAN	tr|A0A384AC74|A0A384AC74_BALAS
OG0002521	sp|Q9NV79|PCMD2_HUMAN	tr|A0A384AD31|A0A384AD31_BALAS
OG0002522	sp|Q4G0X9|CCD40_HUMAN	tr|A0A384AF32|A0A384AF32_BALAS
OG0002523	sp|P31327|CPSM_HUMAN	tr|A0A384AL46|A0A384AL46_BALAS
OG0002524	sp|O43567|RNF13_HUMAN	tr|A0A384ALH4|A0A384ALH4_BALAS
OG0002525	sp|Q8TCJ0|FBX25_HUMAN	tr|A0A384APA3|A0A384APA3_BALAS
OG0002526	sp|Q2MV58|TECT1_HUMAN	tr|A0A384AQA9|A0A384AQA9_BALAS
OG0002527	sp|Q13617|CUL2_HUMAN	tr|A0A384AR85|A0A384AR85_BALAS
OG0002528	sp|A6NHZ5|LR14B_HUMAN	tr|A0A384AWD9|A0A384AWD9_BALAS
OG0002529	sp|Q8TEL6|TP4AP_HUMAN	tr|A0A384B0X3|A0A384B0X3_BALAS
OG0002530	sp|Q8N690|DB119_HUMAN	tr|A0A384B159|A0A384B159_BALAS
OG0002531	sp|Q9H3G5|CPVL_HUMAN	tr|A0A384B1H4|A0A384B1H4_BALAS
OG0002532	sp|Q6UXC1|AEGP_HUMAN	tr|A0A384B520|A0A384B520_BALAS
OG0002533	sp|Q9UGQ3|GTR6_HUMAN	tr|A0A384B5A4|A0A384B5A4_BALAS
OG0002534	sp|Q96EY5|MB12A_HUMAN	tr|A0A384B765|A0A384B765_BALAS
OG0002535	sp|Q9Y225|RNF24_HUMAN	tr|A0A384B8F6|A0A384B8F6_BALAS
OG0002536	sp|Q13224|NMDE2_HUMAN	tr|A0A384B8U9|A0A384B8U9_BALAS
OG0002537	sp|Q9H0R4|HDHD2_HUMAN	tr|A0A384BDA5|A0A384BDA5_BALAS
OG0002538	sp|Q9UJ42|GP160_HUMAN	tr|A0A384BDR2|A0A384BDR2_BALAS
OG0002539	sp|Q9C0I9|LRC27_HUMAN	tr|A0A384BG20|A0A384BG20_BALAS
OG0002540	sp|Q9BZL4|PP12C_HUMAN	tr|A0A384BG95|A0A384BG95_BALAS
OG0002541	sp|Q96G46|DUS3L_HUMAN	tr|A0A452C7Y8|A0A452C7Y8_BALAS
OG0002542	sp|P35368|ADA1B_HUMAN	tr|A0A452C9J9|A0A452C9J9_BALAS
OG0002543	sp|Q12986|NFX1_HUMAN	tr|A0A452CD39|A0A452CD39_BALAS
OG0002544	sp|Q9H2A9|CHST8_HUMAN	tr|A0A452CDQ5|A0A452CDQ5_BALAS
OG0002545	sp|A8MT66|YU005_HUMAN	tr|A0A452CEZ5|A0A452CEZ5_BALAS
OG0002546	tr|A0A2R8YED5|A0A2R8YED5_HUMAN	tr|A0A452CF27|A0A452CF27_BALAS
OG0002547	sp|Q9P2S6|ANKY1_HUMAN	tr|A0A452CIX8|A0A452CIX8_BALAS
OG0002548	sp|Q92887|MRP2_HUMAN	tr|A0A452CKN5|A0A452CKN5_BALAS
OG0002549	sp|O75394|RM33_HUMAN	tr|A0A452CNL4|A0A452CNL4_BALAS
OG0002550	sp|P02647|APOA1_HUMAN	sp|P0DMA6|APOA1_BALAS
OG0002551	sp|Q9NZJ4|SACS_HUMAN	tr|A0A383YND5|A0A383YND5_BALAS
OG0002552	sp|Q9BX74|TM2D1_HUMAN	tr|A0A383YNK6|A0A383YNK6_BALAS
OG0002553	sp|O60909|B4GT2_HUMAN	tr|A0A383YPJ9|A0A383YPJ9_BALAS
OG0002554	sp|Q9UNL2|SSRG_HUMAN	tr|A0A383YPS9|A0A383YPS9_BALAS
OG0002555	sp|O43541|SMAD6_HUMAN	tr|A0A383YTH8|A0A383YTH8_BALAS
OG0002556	sp|Q14699|RFTN1_HUMAN	tr|A0A383YW49|A0A383YW49_BALAS
OG0002557	sp|Q6ZUA9|MROH5_HUMAN	tr|A0A383YWF8|A0A383YWF8_BALAS
OG0002558	sp|Q8TDM5|SACA4_HUMAN	tr|A0A383YZQ3|A0A383YZQ3_BALAS
OG0002559	sp|Q8IYA8|IHO1_HUMAN	tr|A0A383Z0Z8|A0A383Z0Z8_BALAS
OG0002560	sp|Q9BSH3|NICN1_HUMAN	tr|A0A383Z1M9|A0A383Z1M9_BALAS
OG0002561	sp|Q9UKW4|VAV3_HUMAN	tr|A0A383Z3A4|A0A383Z3A4_BALAS
OG0002562	sp|O43175|SERA_HUMAN	tr|A0A383Z3A7|A0A383Z3A7_BALAS
OG0002563	sp|Q6UVJ0|SAS6_HUMAN	tr|A0A383Z3Q1|A0A383Z3Q1_BALAS
OG0002564	sp|Q5T8I3|F102B_HUMAN	tr|A0A383Z3V1|A0A383Z3V1_BALAS
OG0002565	sp|Q99999|G3ST1_HUMAN	tr|A0A383Z6G7|A0A383Z6G7_BALAS
OG0002566	sp|Q9HBE1|PATZ1_HUMAN	tr|A0A383Z6I6|A0A383Z6I6_BALAS
OG0002567	sp|P57081|WDR4_HUMAN	tr|A0A383ZC78|A0A383ZC78_BALAS
OG0002568	sp|P0C7W6|CC172_HUMAN	tr|A0A383ZDE1|A0A383ZDE1_BALAS
OG0002569	sp|P10746|HEM4_HUMAN	tr|A0A383ZE38|A0A383ZE38_BALAS
OG0002570	sp|O43823|AKAP8_HUMAN	tr|A0A383ZEI4|A0A383ZEI4_BALAS
OG0002571	sp|A0PJK1|SC5AA_HUMAN	tr|A0A383ZGB2|A0A383ZGB2_BALAS
OG0002572	sp|Q96CH1|GP146_HUMAN	tr|A0A383ZHU7|A0A383ZHU7_BALAS
OG0002573	sp|Q8NE62|CHDH_HUMAN	tr|A0A383ZJ09|A0A383ZJ09_BALAS
OG0002574	sp|Q96AG4|LRC59_HUMAN	tr|A0A383ZN22|A0A383ZN22_BALAS
OG0002575	sp|Q17RC7|EX3L4_HUMAN	tr|A0A383ZN40|A0A383ZN40_BALAS
OG0002576	sp|Q6UW60|PCSK4_HUMAN	tr|A0A383ZNK7|A0A383ZNK7_BALAS
OG0002577	sp|O43913|ORC5_HUMAN	tr|A0A383ZQH9|A0A383ZQH9_BALAS
OG0002578	sp|Q92633|LPAR1_HUMAN	tr|A0A383ZT73|A0A383ZT73_BALAS
OG0002579	sp|P28329|CLAT_HUMAN	tr|A0A383ZV31|A0A383ZV31_BALAS
OG0002580	sp|Q15329|E2F5_HUMAN	tr|A0A383ZYL6|A0A383ZYL6_BALAS
OG0002581	sp|Q7Z3D6|GLUCM_HUMAN	tr|A0A384A0N8|A0A384A0N8_BALAS
OG0002582	sp|Q9NWW6|NRK1_HUMAN	tr|A0A384A4U3|A0A384A4U3_BALAS
OG0002583	sp|P01275|GLUC_HUMAN	tr|A0A384A7C0|A0A384A7C0_BALAS
OG0002584	sp|Q6UY27|PATE2_HUMAN	tr|A0A384A7Z3|A0A384A7Z3_BALAS
OG0002585	sp|A6NI15|MSGN1_HUMAN	tr|A0A384A8C1|A0A384A8C1_BALAS
OG0002586	sp|Q86X02|CDR2L_HUMAN	tr|A0A384AEG6|A0A384AEG6_BALAS
OG0002587	sp|O00232|PSD12_HUMAN	tr|A0A384AFE9|A0A384AFE9_BALAS
OG0002588	sp|O60343|TBCD4_HUMAN	tr|A0A384AG19|A0A384AG19_BALAS
OG0002589	sp|Q9Y3A5|SBDS_HUMAN	tr|A0A384AGU8|A0A384AGU8_BALAS
OG0002590	sp|Q9NP71|MLXPL_HUMAN	tr|A0A384AH97|A0A384AH97_BALAS
OG0002591	sp|Q6ZMU5|TRI72_HUMAN	tr|A0A384AIK7|A0A384AIK7_BALAS
OG0002592	sp|O60502|OGA_HUMAN	tr|A0A384AJ30|A0A384AJ30_BALAS
OG0002593	sp|Q5NUL3|FFAR4_HUMAN	tr|A0A384AJM7|A0A384AJM7_BALAS
OG0002594	sp|A6NNE9|MARHB_HUMAN	tr|A0A384ALX3|A0A384ALX3_BALAS
OG0002595	sp|Q9NW64|RBM22_HUMAN	tr|A0A384AMW6|A0A384AMW6_BALAS
OG0002596	sp|P08133|ANXA6_HUMAN	tr|A0A384AMZ0|A0A384AMZ0_BALAS
OG0002597	sp|Q96CV9|OPTN_HUMAN	tr|A0A384ARL3|A0A384ARL3_BALAS
OG0002598	sp|A6NEY8|PRXD1_HUMAN	tr|A0A384ARR2|A0A384ARR2_BALAS
OG0002599	sp|O60462|NRP2_HUMAN	tr|A0A384ATM3|A0A384ATM3_BALAS
OG0002600	sp|Q9BZD4|NUF2_HUMAN	tr|A0A384AUS0|A0A384AUS0_BALAS
OG0002601	sp|Q8N2K0|ABD12_HUMAN	tr|A0A384AWY8|A0A384AWY8_BALAS
OG0002602	sp|Q9UHK6|AMACR_HUMAN	tr|A0A384AXZ4|A0A384AXZ4_BALAS
OG0002603	sp|Q8NDC0|MISSL_HUMAN	tr|A0A384AZX2|A0A384AZX2_BALAS
OG0002604	sp|Q9Y333|LSM2_HUMAN	tr|A0A384B304|A0A384B304_BALAS
OG0002605	sp|P01375|TNFA_HUMAN	tr|A0A384B3B3|A0A384B3B3_BALAS
OG0002606	sp|Q96L96|ALPK3_HUMAN	tr|A0A384B501|A0A384B501_BALAS
OG0002607	sp|Q8IUH5|ZDH17_HUMAN	tr|A0A384B684|A0A384B684_BALAS
OG0002608	sp|P42766|RL35_HUMAN	tr|A0A384B6E8|A0A384B6E8_BALAS
OG0002609	sp|Q9Y2A9|B3GN3_HUMAN	tr|A0A384B7N4|A0A384B7N4_BALAS
OG0002610	sp|Q8NBS3|S4A11_HUMAN	tr|A0A384B8B7|A0A384B8B7_BALAS
OG0002611	sp|P28566|5HT1E_HUMAN	tr|A0A384B8J1|A0A384B8J1_BALAS
OG0002612	sp|Q99996|AKAP9_HUMAN	tr|A0A384B8J5|A0A384B8J5_BALAS
OG0002613	sp|P52566|GDIR2_HUMAN	tr|A0A384B8R7|A0A384B8R7_BALAS
OG0002614	sp|P41238|ABEC1_HUMAN	tr|A0A384B9H5|A0A384B9H5_BALAS
OG0002615	sp|Q96T25|ZIC5_HUMAN	tr|A0A384BBC6|A0A384BBC6_BALAS
OG0002616	sp|Q5VYM1|CI131_HUMAN	tr|A0A384BCZ2|A0A384BCZ2_BALAS
OG0002617	sp|Q5EBM0|CMPK2_HUMAN	tr|A0A452C4K2|A0A452C4K2_BALAS
OG0002618	sp|P01137|TGFB1_HUMAN	tr|A0A452C7A3|A0A452C7A3_BALAS
OG0002619	sp|Q8IUC3|KRA71_HUMAN	tr|A0A452CI65|A0A452CI65_BALAS
OG0002620	sp|Q92565|RPGF5_HUMAN	tr|A0A452CI97|A0A452CI97_BALAS
OG0002621	sp|Q9HBX9|RXFP1_HUMAN	tr|A0A452CIG7|A0A452CIG7_BALAS
OG0002622	sp|P61218|RPAB2_HUMAN	tr|A0A452CM26|A0A452CM26_BALAS
OG0002623	sp|P32314|FOXN2_HUMAN	tr|A0A452CMP4|A0A452CMP4_BALAS
OG0002624	sp|Q6PEX7|TEX38_HUMAN	tr|A0A383YQ14|A0A383YQ14_BALAS
OG0002625	sp|Q8IWV1|LAX1_HUMAN	tr|A0A383YU87|A0A383YU87_BALAS
OG0002626	sp|P20849|CO9A1_HUMAN	tr|A0A383YV47|A0A383YV47_BALAS
OG0002627	sp|P09874|PARP1_HUMAN	tr|A0A383YWJ2|A0A383YWJ2_BALAS
OG0002628	sp|Q9BZE4|GTPB4_HUMAN	tr|A0A383YXJ4|A0A383YXJ4_BALAS
OG0002629	sp|Q99715|COCA1_HUMAN	tr|A0A383YZ21|A0A383YZ21_BALAS
OG0002630	sp|Q04912|RON_HUMAN	tr|A0A383Z1E6|A0A383Z1E6_BALAS
OG0002631	sp|O75360|PROP1_HUMAN	tr|A0A383Z4S7|A0A383Z4S7_BALAS
OG0002632	sp|P60174|TPIS_HUMAN	tr|A0A383Z527|A0A383Z527_BALAS
OG0002633	sp|Q9Y6W5|WASF2_HUMAN	tr|A0A383Z5W4|A0A383Z5W4_BALAS
OG0002634	sp|Q9H9Y4|GPN2_HUMAN	tr|A0A383Z659|A0A383Z659_BALAS
OG0002635	sp|P42224|STAT1_HUMAN	tr|A0A383Z8K7|A0A383Z8K7_BALAS
OG0002636	sp|O43264|ZW10_HUMAN	tr|A0A383ZAZ0|A0A383ZAZ0_BALAS
OG0002637	sp|Q9UL36|ZN236_HUMAN	tr|A0A383ZD54|A0A383ZD54_BALAS
OG0002638	sp|Q9H008|LHPP_HUMAN	tr|A0A383ZE28|A0A383ZE28_BALAS
OG0002639	sp|Q6WN34|CRDL2_HUMAN	tr|A0A383ZF56|A0A383ZF56_BALAS
OG0002640	sp|Q96KN8|PLAT5_HUMAN	tr|A0A383ZHA2|A0A383ZHA2_BALAS
OG0002641	sp|Q96LM6|TEX37_HUMAN	tr|A0A383ZJP3|A0A383ZJP3_BALAS
OG0002642	sp|P01135|TGFA_HUMAN	tr|A0A383ZKJ2|A0A383ZKJ2_BALAS
OG0002643	sp|P52742|ZN135_HUMAN	tr|A0A383ZKS4|A0A383ZKS4_BALAS
OG0002644	sp|Q8NA66|CNBD1_HUMAN	tr|A0A383ZM49|A0A383ZM49_BALAS
OG0002645	sp|Q96FV0|LRC46_HUMAN	tr|A0A383ZR56|A0A383ZR56_BALAS
OG0002646	sp|Q53GG5|PDLI3_HUMAN	tr|A0A383ZS73|A0A383ZS73_BALAS
OG0002647	sp|Q9HCH0|NCK5L_HUMAN	tr|A0A383ZW84|A0A383ZW84_BALAS
OG0002648	sp|Q13520|AQP6_HUMAN	tr|A0A383ZWS7|A0A383ZWS7_BALAS
OG0002649	sp|P48556|PSMD8_HUMAN	tr|A0A383ZY83|A0A383ZY83_BALAS
OG0002650	sp|Q6ZNF0|ACP7_HUMAN	tr|A0A383ZYV9|A0A383ZYV9_BALAS
OG0002651	sp|Q8TB37|NUBPL_HUMAN	tr|A0A384A0P1|A0A384A0P1_BALAS
OG0002652	sp|P29074|PTN4_HUMAN	tr|A0A384A1T3|A0A384A1T3_BALAS
OG0002653	sp|Q53FP2|NACHO_HUMAN	tr|A0A384A2B7|A0A384A2B7_BALAS
OG0002654	sp|Q96C24|SYTL4_HUMAN	tr|A0A384A2F4|A0A384A2F4_BALAS
OG0002655	sp|Q99819|GDIR3_HUMAN	tr|A0A384A3E0|A0A384A3E0_BALAS
OG0002656	sp|Q96S19|MTL26_HUMAN	tr|A0A384A3E3|A0A384A3E3_BALAS
OG0002657	sp|Q8WXD9|CSKI1_HUMAN	tr|A0A384A479|A0A384A479_BALAS
OG0002658	sp|Q96LW2|KS6R_HUMAN	tr|A0A384A9A8|A0A384A9A8_BALAS
OG0002659	sp|Q9BTV7|CABL2_HUMAN	tr|A0A384ADQ1|A0A384ADQ1_BALAS
OG0002660	sp|P51570|GALK1_HUMAN	tr|A0A384AEI6|A0A384AEI6_BALAS
OG0002661	sp|Q96GE4|CEP95_HUMAN	tr|A0A384AFA0|A0A384AFA0_BALAS
OG0002662	sp|Q9UKT4|FBX5_HUMAN	tr|A0A384AFU7|A0A384AFU7_BALAS
OG0002663	sp|Q9GZV3|SC5A7_HUMAN	tr|A0A384AIX0|A0A384AIX0_BALAS
OG0002664	sp|Q6PI77|BHLH9_HUMAN	tr|A0A384ALK0|A0A384ALK0_BALAS
OG0002665	sp|Q9H6L5|RETR1_HUMAN	tr|A0A384ALU1|A0A384ALU1_BALAS
OG0002666	sp|Q96BN8|OTUL_HUMAN	tr|A0A384ALU5|A0A384ALU5_BALAS
OG0002667	sp|Q9NQX0|PRDM6_HUMAN	tr|A0A384AMR2|A0A384AMR2_BALAS
OG0002668	sp|Q8WWX0|ASB5_HUMAN	tr|A0A384ANW0|A0A384ANW0_BALAS
OG0002669	sp|Q9C040|TRIM2_HUMAN	tr|A0A384AQ40|A0A384AQ40_BALAS
OG0002670	sp|P29279|CCN2_HUMAN	tr|A0A384AUU0|A0A384AUU0_BALAS
OG0002671	sp|Q9BQG2|NUD12_HUMAN	tr|A0A384AWW3|A0A384AWW3_BALAS
OG0002672	sp|O00194|RB27B_HUMAN	tr|A0A384AX51|A0A384AX51_BALAS
OG0002673	sp|O60524|NEMF_HUMAN	tr|A0A384AZX7|A0A384AZX7_BALAS
OG0002674	sp|P29374|ARI4A_HUMAN	tr|A0A384B141|A0A384B141_BALAS
OG0002675	sp|Q9BR39|JPH2_HUMAN	tr|A0A384B193|A0A384B193_BALAS
OG0002676	sp|Q9NS87|KIF15_HUMAN	tr|A0A384B1Z6|A0A384B1Z6_BALAS
OG0002677	sp|Q02930|CREB5_HUMAN	tr|A0A384B2M8|A0A384B2M8_BALAS
OG0002678	sp|P16442|BGAT_HUMAN	tr|A0A384B4A0|A0A384B4A0_BALAS
OG0002679	sp|Q10713|MPPA_HUMAN	tr|A0A384B4G4|A0A384B4G4_BALAS
OG0002680	sp|Q9H0V1|TM168_HUMAN	tr|A0A384B6J7|A0A384B6J7_BALAS
OG0002681	sp|Q5TEA3|DAAF9_HUMAN	tr|A0A384B880|A0A384B880_BALAS
OG0002682	sp|P09693|CD3G_HUMAN	tr|A0A384BAX3|A0A384BAX3_BALAS
OG0002683	sp|O60939|SCN2B_HUMAN	tr|A0A384BBG6|A0A384BBG6_BALAS
OG0002684	sp|Q9BU70|TRMO_HUMAN	tr|A0A384BBL5|A0A384BBL5_BALAS
OG0002685	sp|Q9BRR3|PGAP4_HUMAN	tr|A0A384BBT7|A0A384BBT7_BALAS
OG0002686	sp|Q99743|NPAS2_HUMAN	tr|A0A384BCE9|A0A384BCE9_BALAS
OG0002687	sp|Q92570|NR4A3_HUMAN	tr|A0A384BCH2|A0A384BCH2_BALAS
OG0002688	sp|Q8N4H5|TOM5_HUMAN	tr|A0A384BCR8|A0A384BCR8_BALAS
OG0002689	sp|Q9UIQ6|LCAP_HUMAN	tr|A0A384BCZ6|A0A384BCZ6_BALAS
OG0002690	sp|O75541|ZN821_HUMAN	tr|A0A452C6H6|A0A452C6H6_BALAS
OG0002691	sp|Q15784|NDF2_HUMAN	tr|A0A452CDP3|A0A452CDP3_BALAS
OG0002692	sp|Q6SA08|TSSK4_HUMAN	tr|A0A452CFP7|A0A452CFP7_BALAS
OG0002693	sp|O15417|TNC18_HUMAN	tr|A0A452CKD6|A0A452CKD6_BALAS
OG0002694	sp|Q9Y4K1|CRBG1_HUMAN	tr|A0A452CNJ1|A0A452CNJ1_BALAS
OG0002695	sp|Q9UHP3|UBP25_HUMAN	tr|A0A452CP97|A0A452CP97_BALAS
OG0002696	sp|P08174|DAF_HUMAN	tr|A0A383YME8|A0A383YME8_BALAS
OG0002697	sp|Q9NSI8|SAMN1_HUMAN	tr|A0A383YMX8|A0A383YMX8_BALAS
OG0002698	sp|Q9BQC6|RT63_HUMAN	tr|A0A383YN97|A0A383YN97_BALAS
OG0002699	sp|Q13508|NAR3_HUMAN	tr|A0A383YRZ0|A0A383YRZ0_BALAS
OG0002700	sp|Q8N5Y8|PAR16_HUMAN	tr|A0A383YTA7|A0A383YTA7_BALAS
