Orthogroup	Homo_sapiens	Castor_canadensis
OG0001415	sp|P42356|PI4KA_HUMAN, sp|A4QPH2|PI4P2_HUMAN, sp|Q8N8J0|PI4P1_HUMAN	tr|A0A8C0XE86|A0A8C0XE86_CASCN
OG0001416	sp|Q8IY17|PLPL6_HUMAN	tr|A0A8B7VHV4|A0A8B7VHV4_CASCN
OG0001416	sp|Q6ZV29|PLPL7_HUMAN	tr|A0A8B7UPN7|A0A8B7UPN7_CASCN
OG0001417	sp|P53816|PLAT3_HUMAN, sp|Q9NWW9|PLAT2_HUMAN, sp|Q9UL19|PLAT4_HUMAN	tr|A0A250YAN6|A0A250YAN6_CASCN
OG0001418	sp|P99999|CYC_HUMAN	tr|A0A250Y908|A0A250Y908_CASCN, tr|A0A8B7V3W3|A0A8B7V3W3_CASCN, tr|A0A8B7TS56|A0A8B7TS56_CASCN
OG0001419	sp|P11171|EPB41_HUMAN	tr|A0A8B7U3G2|A0A8B7U3G2_CASCN
OG0001419	sp|O43491|E41L2_HUMAN	tr|A0A8B7UJA9|A0A8B7UJA9_CASCN
OG0001420	sp|Q8N5J2|MINY1_HUMAN	tr|A0A8B7U191|A0A8B7U191_CASCN
OG0001420	sp|Q8NBR6|MINY2_HUMAN	tr|A0A8B7UXV6|A0A8B7UXV6_CASCN
OG0001421	sp|P11274|BCR_HUMAN	tr|A0A8B7V190|A0A8B7V190_CASCN
OG0001421	sp|Q12979|ABR_HUMAN	tr|A0A8C0WUX8|A0A8C0WUX8_CASCN
OG0001422	sp|P39023|RL3_HUMAN	tr|A0A8B7VF01|A0A8B7VF01_CASCN
OG0001422	sp|Q92901|RL3L_HUMAN	tr|A0A8B7V2P3|A0A8B7V2P3_CASCN
OG0001423	sp|Q8N9B5|JMY_HUMAN, sp|Q1A5X7|WHAL1_HUMAN, sp|Q8TF30|WHAMM_HUMAN	tr|A0A8C0WYX0|A0A8C0WYX0_CASCN
OG0001424	sp|P31946|1433B_HUMAN	tr|A0A250XX18|A0A250XX18_CASCN
OG0001424	sp|P63104|1433Z_HUMAN	tr|A0A250XWX3|A0A250XWX3_CASCN
OG0001425	sp|Q08945|SSRP1_HUMAN	tr|A0A8B7UWA7|A0A8B7UWA7_CASCN, tr|A0A8B7UXU7|A0A8B7UXU7_CASCN, tr|A0A250Y4R2|A0A250Y4R2_CASCN
OG0001426	sp|Q96NX9|DACH2_HUMAN	tr|A0A8B7TJL2|A0A8B7TJL2_CASCN
OG0001426	sp|Q9UI36|DACH1_HUMAN	tr|A0A8B7VPS3|A0A8B7VPS3_CASCN
OG0001427	sp|O60658|PDE8A_HUMAN	tr|A0A8B7W4N2|A0A8B7W4N2_CASCN
OG0001427	sp|O95263|PDE8B_HUMAN	tr|A0A8B7VSY8|A0A8B7VSY8_CASCN
OG0001428	sp|P47736|RPGP1_HUMAN	tr|A0A8B7VL21|A0A8B7VL21_CASCN
OG0001428	sp|Q684P5|RPGP2_HUMAN	tr|A0A8B7WD23|A0A8B7WD23_CASCN
OG0001429	sp|O43286|B4GT5_HUMAN	tr|A0A8B7V312|A0A8B7V312_CASCN
OG0001429	sp|Q9UBX8|B4GT6_HUMAN	tr|A0A8B7WH33|A0A8B7WH33_CASCN
OG0001430	sp|Q496J9|SV2C_HUMAN	tr|A0A8B7WK46|A0A8B7WK46_CASCN
OG0001430	sp|Q7L0J3|SV2A_HUMAN	tr|A0A8B7TMH0|A0A8B7TMH0_CASCN
OG0001431	sp|P15170|ERF3A_HUMAN	tr|A0A8B7UTI2|A0A8B7UTI2_CASCN
OG0001431	sp|Q8IYD1|ERF3B_HUMAN	tr|A0A8C0W547|A0A8C0W547_CASCN
OG0001432	sp|Q7Z6J6|FRMD5_HUMAN	tr|A0A8B7TKT8|A0A8B7TKT8_CASCN
OG0001432	sp|A2A2Y4|FRMD3_HUMAN	tr|A0A8B7UY36|A0A8B7UY36_CASCN
OG0001433	sp|O00329|PK3CD_HUMAN, sp|P42338|PK3CB_HUMAN	tr|A0A8B7TY19|A0A8B7TY19_CASCN, tr|A0A250YLU7|A0A250YLU7_CASCN
OG0001434	sp|O76074|PDE5A_HUMAN	tr|A0A8B7UEV5|A0A8B7UEV5_CASCN, tr|A0A8B7TPG7|A0A8B7TPG7_CASCN, tr|A0A8B7TST6|A0A8B7TST6_CASCN
OG0001435	sp|P13584|CP4B1_HUMAN	tr|A0A8B7TVT9|A0A8B7TVT9_CASCN, tr|A0A8B7VQT6|A0A8B7VQT6_CASCN, tr|A0A250Y216|A0A250Y216_CASCN
OG0001436	sp|Q86TV6|TTC7B_HUMAN	tr|A0A8B7UQU5|A0A8B7UQU5_CASCN
OG0001436	sp|Q9ULT0|TTC7A_HUMAN	tr|A0A8C0ZVY0|A0A8C0ZVY0_CASCN
OG0001437	sp|O95198|KLHL2_HUMAN	tr|A0A8B7UTN0|A0A8B7UTN0_CASCN
OG0001437	sp|Q9UH77|KLHL3_HUMAN	tr|A0A8B7UPX6|A0A8B7UPX6_CASCN
OG0001438	sp|P08246|ELNE_HUMAN, sp|P20160|CAP7_HUMAN, sp|P24158|PRTN3_HUMAN	tr|A0A8B7VFB6|A0A8B7VFB6_CASCN
OG0001439	sp|Q7RTN6|STRAA_HUMAN	tr|A0A8B7WJT8|A0A8B7WJT8_CASCN
OG0001439	sp|Q9C0K7|STRAB_HUMAN	tr|A0A8B7WJV6|A0A8B7WJV6_CASCN
OG0001440	sp|P51817|PRKX_HUMAN, sp|O43930|PRKY_HUMAN	tr|A0A250XZ12|A0A250XZ12_CASCN, tr|A0A8B7WFR1|A0A8B7WFR1_CASCN
OG0001441	sp|Q9NZM1|MYOF_HUMAN	tr|A0A8B7U772|A0A8B7U772_CASCN
OG0001441	sp|O75923|DYSF_HUMAN	tr|A0A8B7TQF9|A0A8B7TQF9_CASCN
OG0001442	sp|Q6UXF7|CL18B_HUMAN, sp|Q8NCF0|CL18C_HUMAN, sp|A5D8T8|CL18A_HUMAN	tr|A0A8B7UDG3|A0A8B7UDG3_CASCN
OG0001443	sp|Q96MD7|CI085_HUMAN, sp|Q8N2A0|CX062_HUMAN, sp|Q8N976|YG039_HUMAN	tr|A0A8C0WZV2|A0A8C0WZV2_CASCN
OG0001444	sp|O60315|ZEB2_HUMAN	tr|A0A8B7V1Q2|A0A8B7V1Q2_CASCN, tr|A0A250YME9|A0A250YME9_CASCN, tr|A0A8B7TIT0|A0A8B7TIT0_CASCN
OG0001445	sp|Q9C000|NLRP1_HUMAN, sp|Q9Y2G2|CARD8_HUMAN	tr|A0A8B7UGF0|A0A8B7UGF0_CASCN, tr|A0A8B7UC28|A0A8B7UC28_CASCN
OG0001446	sp|P31350|RIR2_HUMAN	tr|A0A8B7VRQ2|A0A8B7VRQ2_CASCN
OG0001446	sp|Q7LG56|RIR2B_HUMAN	tr|A0A8B7VQI4|A0A8B7VQI4_CASCN
OG0001447	sp|P10827|THA_HUMAN	tr|A0A250Y059|A0A250Y059_CASCN
OG0001447	sp|P10828|THB_HUMAN	tr|A0A8B7UBP4|A0A8B7UBP4_CASCN
OG0001448	sp|Q9UFN0|NPS3A_HUMAN, sp|Q9BS92|NPS3B_HUMAN	tr|A0A250YDJ5|A0A250YDJ5_CASCN, tr|A0A8B7V9Q5|A0A8B7V9Q5_CASCN
OG0001449	sp|Q86UE8|TLK2_HUMAN	tr|A0A8B7VVB3|A0A8B7VVB3_CASCN
OG0001449	sp|Q9UKI8|TLK1_HUMAN	tr|A0A8B7VV63|A0A8B7VV63_CASCN
OG0001450	sp|O00423|EMAL1_HUMAN	tr|A0A8C0VWE6|A0A8C0VWE6_CASCN
OG0001450	sp|O95834|EMAL2_HUMAN	tr|A0A8B7VCK1|A0A8B7VCK1_CASCN
OG0001451	sp|Q8IUL8|CILP2_HUMAN	tr|A0A8B7TR77|A0A8B7TR77_CASCN
OG0001451	sp|O75339|CILP1_HUMAN	tr|A0A8B7V924|A0A8B7V924_CASCN
OG0001452	sp|O60551|NMT2_HUMAN	tr|A0A8B7V4I7|A0A8B7V4I7_CASCN
OG0001452	sp|P30419|NMT1_HUMAN	tr|A0A250YJ00|A0A250YJ00_CASCN
OG0001453	sp|Q16816|PHKG1_HUMAN	tr|A0A8B7TNN2|A0A8B7TNN2_CASCN
OG0001453	sp|P15735|PHKG2_HUMAN	tr|A0A250Y070|A0A250Y070_CASCN
OG0001454	sp|Q9BWM7|SFXN3_HUMAN	tr|A0A8C0XL25|A0A8C0XL25_CASCN
OG0001454	sp|Q9H9B4|SFXN1_HUMAN	tr|A0A8B7V4M4|A0A8B7V4M4_CASCN
OG0001455	sp|P55851|UCP2_HUMAN	tr|A0A250YFC6|A0A250YFC6_CASCN
OG0001455	sp|P55916|UCP3_HUMAN	tr|A0A8B7UF00|A0A8B7UF00_CASCN
OG0001456	sp|P11717|MPRI_HUMAN	tr|A0A8B7U481|A0A8B7U481_CASCN, tr|A0A8B7U3S2|A0A8B7U3S2_CASCN, tr|A0A8B7U8V4|A0A8B7U8V4_CASCN
OG0001457	sp|Q86XT4|TRI50_HUMAN, sp|Q86UV7|TRI73_HUMAN, sp|Q86UV6|TRI74_HUMAN	tr|A0A8B7UD32|A0A8B7UD32_CASCN
OG0001458	sp|O00442|RTCA_HUMAN	tr|A0A250YGN2|A0A250YGN2_CASCN, tr|A0A8B7UR59|A0A8B7UR59_CASCN, tr|A0A8B7THK6|A0A8B7THK6_CASCN
OG0001459	sp|Q86VL8|S47A2_HUMAN	tr|A0A8B7W840|A0A8B7W840_CASCN
OG0001459	sp|Q96FL8|S47A1_HUMAN	tr|A0A8B7W7J5|A0A8B7W7J5_CASCN
OG0001460	sp|Q9Y678|COPG1_HUMAN	tr|A0A8B7VUZ3|A0A8B7VUZ3_CASCN
OG0001460	sp|Q9UBF2|COPG2_HUMAN	tr|A0A250Y5Q3|A0A250Y5Q3_CASCN
OG0001461	sp|Q9H6B9|EPHX3_HUMAN	tr|A0A8B7TXX8|A0A8B7TXX8_CASCN
OG0001461	sp|Q8IUS5|EPHX4_HUMAN	tr|A0A8B7U3G1|A0A8B7U3G1_CASCN
OG0001462	sp|O15131|IMA6_HUMAN	tr|A0A8B7UKQ9|A0A8B7UKQ9_CASCN
OG0001462	sp|O60684|IMA7_HUMAN	tr|A0A250YJI9|A0A250YJI9_CASCN
OG0001463	sp|P10768|ESTD_HUMAN	tr|A0A250XXK4|A0A250XXK4_CASCN, tr|A0A8B7VJM0|A0A8B7VJM0_CASCN, tr|A0A8B7VKM8|A0A8B7VKM8_CASCN
OG0001464	sp|P20382|MCH_HUMAN, sp|Q9BQD1|MCHL2_HUMAN, sp|Q16048|MCHL1_HUMAN	tr|A0A8C0Y0N1|A0A8C0Y0N1_CASCN
OG0001465	sp|Q99574|NEUS_HUMAN, sp|A8MV23|SERP3_HUMAN, sp|O75830|SPI2_HUMAN	tr|A0A8C0ZSH1|A0A8C0ZSH1_CASCN
OG0001466	sp|Q8NEB5|PLPP5_HUMAN	tr|A0A8B7UU18|A0A8B7UU18_CASCN
OG0001466	sp|Q5VZY2|PLPP4_HUMAN	tr|A0A8B7WC65|A0A8B7WC65_CASCN
OG0001467	sp|Q96Q77|CIB3_HUMAN	tr|A0A8B7UUJ8|A0A8B7UUJ8_CASCN
OG0001467	sp|O75838|CIB2_HUMAN	tr|A0A8B7U609|A0A8B7U609_CASCN
OG0001468	sp|Q9Y651|SOX21_HUMAN, sp|O95416|SOX14_HUMAN, sp|Q05066|SRY_HUMAN	tr|A0A8B7TVT5|A0A8B7TVT5_CASCN
OG0001469	sp|O14925|TIM23_HUMAN	tr|A0A250YC72|A0A250YC72_CASCN
OG0001469	sp|Q5SRD1|TI23B_HUMAN	tr|A0A8B7UCQ7|A0A8B7UCQ7_CASCN
OG0001470	sp|Q9Y217|MTMR6_HUMAN	tr|A0A8B7VP31|A0A8B7VP31_CASCN
OG0001470	sp|Q96EF0|MTMR8_HUMAN	tr|A0A8B7TMA7|A0A8B7TMA7_CASCN
OG0001471	sp|P09429|HMGB1_HUMAN, sp|B2RPK0|HGB1A_HUMAN, sp|P23497|SP100_HUMAN	tr|A0A250YCD0|A0A250YCD0_CASCN
OG0001472	sp|Q8NFB2|T185A_HUMAN	tr|A0A250YG63|A0A250YG63_CASCN
OG0001472	sp|Q9H7F4|T185B_HUMAN	tr|A0A8C0WE25|A0A8C0WE25_CASCN
OG0001473	sp|P02724|GLPA_HUMAN, sp|P06028|GLPB_HUMAN, sp|P15421|GLPE_HUMAN	tr|A0A8B7VF34|A0A8B7VF34_CASCN
OG0001474	sp|P49674|KC1E_HUMAN	tr|A0A8B7VED4|A0A8B7VED4_CASCN
OG0001474	sp|P48730|KC1D_HUMAN	tr|A0A8B7WJQ9|A0A8B7WJQ9_CASCN
OG0001475	sp|Q8IZI9|IFNL3_HUMAN, sp|Q8IZJ0|IFNL2_HUMAN, sp|Q8IU54|IFNL1_HUMAN	tr|A0A8B7TYC1|A0A8B7TYC1_CASCN
OG0001476	sp|P15382|KCNE1_HUMAN, tr|A0A087WU88|A0A087WU88_HUMAN, sp|A0A087WTH5|KCE1B_HUMAN	tr|A0A8C0ZZT1|A0A8C0ZZT1_CASCN
OG0001477	sp|O94887|FARP2_HUMAN	tr|A0A8B7U1P1|A0A8B7U1P1_CASCN
OG0001477	sp|Q9Y4F1|FARP1_HUMAN	tr|A0A8B7W579|A0A8B7W579_CASCN
OG0001478	sp|Q8TDJ6|DMXL2_HUMAN	tr|A0A8B7UVR7|A0A8B7UVR7_CASCN
OG0001478	sp|Q9Y485|DMXL1_HUMAN	tr|A0A8B7V0A6|A0A8B7V0A6_CASCN
OG0001479	sp|A6NMY6|AXA2L_HUMAN, sp|P07355|ANXA2_HUMAN	tr|A0A8B7V122|A0A8B7V122_CASCN, tr|A0A250YFY8|A0A250YFY8_CASCN
OG0001480	sp|O94805|ACL6B_HUMAN	tr|A0A8B7WG28|A0A8B7WG28_CASCN
OG0001480	sp|O96019|ACL6A_HUMAN	tr|A0A8C0XNQ1|A0A8C0XNQ1_CASCN
OG0001481	sp|O94906|PRP6_HUMAN	tr|A0A8B7UAS7|A0A8B7UAS7_CASCN, tr|A0A8B7UBF5|A0A8B7UBF5_CASCN, tr|A0A250YLQ0|A0A250YLQ0_CASCN
OG0001482	sp|Q15907|RB11B_HUMAN	tr|A0A250YCR0|A0A250YCR0_CASCN
OG0001482	sp|P62491|RB11A_HUMAN	tr|A0A250YCL4|A0A250YCL4_CASCN
OG0001483	sp|O00757|F16P2_HUMAN	tr|A0A250YG10|A0A250YG10_CASCN
OG0001483	sp|P09467|F16P1_HUMAN	tr|A0A8B7U5W4|A0A8B7U5W4_CASCN
OG0001484	sp|O95477|ABCA1_HUMAN	tr|A0A8C0X3V9|A0A8C0X3V9_CASCN
OG0001484	sp|Q8IZY2|ABCA7_HUMAN	tr|A0A8B7VGA8|A0A8B7VGA8_CASCN
OG0001485	sp|P98196|AT11A_HUMAN	tr|A0A8B7UIH1|A0A8B7UIH1_CASCN
OG0001485	sp|Q8NB49|AT11C_HUMAN	tr|A0A8B7UC24|A0A8B7UC24_CASCN
OG0001486	sp|P41439|FOLR3_HUMAN, sp|P15328|FOLR1_HUMAN, sp|P14207|FOLR2_HUMAN	tr|A0A8C0W6S1|A0A8C0W6S1_CASCN
OG0001487	sp|X6R8R1|ST15B_HUMAN, sp|Q9BQS2|SYT15_HUMAN, tr|A0A096LNH4|A0A096LNH4_HUMAN	tr|A0A8B7UCF0|A0A8B7UCF0_CASCN
OG0001488	sp|Q9NZH4|PTTG3_HUMAN, sp|Q9NZH5|PTTG2_HUMAN, sp|O95997|PTTG1_HUMAN	tr|A0A8B7ULD3|A0A8B7ULD3_CASCN
OG0001489	sp|Q92503|S14L1_HUMAN	tr|A0A8C0X6Y8|A0A8C0X6Y8_CASCN
OG0001489	sp|O43304|S14L5_HUMAN	tr|A0A8C0W2V4|A0A8C0W2V4_CASCN
OG0001490	sp|O94822|LTN1_HUMAN	tr|A0A8B7TK96|A0A8B7TK96_CASCN, tr|A0A8B7U493|A0A8B7U493_CASCN, tr|A0A250Y846|A0A250Y846_CASCN
OG0001491	sp|Q9NS40|KCNH7_HUMAN	tr|A0A8B7TV49|A0A8B7TV49_CASCN
OG0001491	sp|Q12809|KCNH2_HUMAN	tr|A0A8B7VK07|A0A8B7VK07_CASCN
OG0001492	sp|P47893|OR3A2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47881|OR3A1_HUMAN	tr|A0A8B7TZQ8|A0A8B7TZQ8_CASCN
OG0001493	sp|Q9NZR1|TMOD2_HUMAN	tr|A0A250XZ46|A0A250XZ46_CASCN
OG0001493	sp|Q9NYL9|TMOD3_HUMAN	tr|A0A250YGB8|A0A250YGB8_CASCN
OG0001494	sp|Q96P11|NSUN5_HUMAN, sp|Q3KNT7|NSN5B_HUMAN, sp|Q63ZY6|NSN5C_HUMAN	tr|A0A8B7UHF4|A0A8B7UHF4_CASCN
OG0001495	sp|O60706|ABCC9_HUMAN	tr|A0A8B7UDR0|A0A8B7UDR0_CASCN
OG0001495	sp|Q09428|ABCC8_HUMAN	tr|A0A8B7VMP1|A0A8B7VMP1_CASCN
OG0001496	sp|O00219|HYAS3_HUMAN	tr|A0A8B7VK34|A0A8B7VK34_CASCN
OG0001496	sp|Q92819|HYAS2_HUMAN	tr|A0A8B7TQB6|A0A8B7TQB6_CASCN
OG0001497	sp|Q5TGJ6|HDGL1_HUMAN	tr|A0A8B7TUY6|A0A8B7TUY6_CASCN
OG0001497	sp|P51858|HDGF_HUMAN	tr|A0A250YCY8|A0A250YCY8_CASCN
OG0001498	sp|Q13131|AAPK1_HUMAN	tr|A0A8C0XA28|A0A8C0XA28_CASCN
OG0001498	sp|P54646|AAPK2_HUMAN	tr|A0A250Y2Q7|A0A250Y2Q7_CASCN
OG0001499	sp|Q9P121|NTRI_HUMAN, sp|Q14982|OPCM_HUMAN, sp|A6NGN9|IGLO5_HUMAN	tr|A0A8B7TLR5|A0A8B7TLR5_CASCN
OG0001500	sp|Q5XXA6|ANO1_HUMAN	tr|A0A8B7U7E6|A0A8B7U7E6_CASCN
OG0001500	sp|Q9NQ90|ANO2_HUMAN	tr|A0A8B7U2H1|A0A8B7U2H1_CASCN
OG0001501	sp|Q8IUQ4|SIAH1_HUMAN	tr|A0A250YEI7|A0A250YEI7_CASCN, tr|A0A8B7W069|A0A8B7W069_CASCN, tr|A0A8B7VDT7|A0A8B7VDT7_CASCN
OG0001502	sp|Q04741|EMX1_HUMAN	tr|A0A8B7VSJ5|A0A8B7VSJ5_CASCN
OG0001502	sp|Q04743|EMX2_HUMAN	tr|A0A8C0XPP5|A0A8C0XPP5_CASCN
OG0001503	sp|P62633|CNBP_HUMAN	tr|A0A250YBA3|A0A250YBA3_CASCN
OG0001503	sp|Q8WW36|ZCH13_HUMAN	tr|A0A8B7VU07|A0A8B7VU07_CASCN
OG0001504	sp|Q9C0D3|ZY11B_HUMAN	tr|A0A8B7WD84|A0A8B7WD84_CASCN
OG0001504	sp|Q6WRX3|ZY11A_HUMAN	tr|A0A8B7WDS3|A0A8B7WDS3_CASCN
OG0001505	sp|Q04656|ATP7A_HUMAN	tr|A0A250Y7V7|A0A250Y7V7_CASCN
OG0001505	sp|P35670|ATP7B_HUMAN	tr|A0A8B7UYV5|A0A8B7UYV5_CASCN
OG0001506	sp|Q96QU4|FRG2B_HUMAN, sp|Q64ET8|FRG2_HUMAN, sp|A6NGY1|FRG2C_HUMAN	tr|A0A8B7TLL8|A0A8B7TLL8_CASCN
OG0001507	sp|Q92769|HDAC2_HUMAN	tr|A0A8B7U3G5|A0A8B7U3G5_CASCN
OG0001507	sp|Q13547|HDAC1_HUMAN	tr|A0A250Y1P3|A0A250Y1P3_CASCN
OG0001508	sp|Q9Y2H1|ST38L_HUMAN	tr|A0A8B7UX20|A0A8B7UX20_CASCN
OG0001508	sp|Q15208|STK38_HUMAN	tr|A0A8B7VY68|A0A8B7VY68_CASCN
OG0001509	sp|P20336|RAB3A_HUMAN, sp|P20337|RAB3B_HUMAN, sp|Q96E17|RAB3C_HUMAN	tr|A0A250XWG8|A0A250XWG8_CASCN
OG0001510	sp|P37059|DHB2_HUMAN	tr|A0A8B7TSK9|A0A8B7TSK9_CASCN
OG0001510	sp|P80365|DHI2_HUMAN	tr|A0A8B7V5S5|A0A8B7V5S5_CASCN
OG0001511	sp|Q96J94|PIWL1_HUMAN	tr|A0A8C0WU31|A0A8C0WU31_CASCN
OG0001511	sp|Q7Z3Z3|PIWL3_HUMAN	tr|A0A8B7WFS7|A0A8B7WFS7_CASCN
OG0001512	sp|P49019|HCAR3_HUMAN, sp|Q8TDS4|HCAR2_HUMAN, sp|Q8TDS5|OXER1_HUMAN	tr|A0A250YGB4|A0A250YGB4_CASCN
OG0001513	sp|Q9NVI7|ATD3A_HUMAN, sp|Q5T2N8|ATD3C_HUMAN, sp|Q5T9A4|ATD3B_HUMAN	tr|A0A250Y333|A0A250Y333_CASCN
OG0001514	sp|Q9Y6L6|SO1B1_HUMAN, sp|G3V0H7|SO1B7_HUMAN, sp|Q9NPD5|SO1B3_HUMAN	tr|A0A8B7TZT4|A0A8B7TZT4_CASCN
OG0001515	sp|Q8NEM7|SP20H_HUMAN, sp|P0C7V6|SP202_HUMAN, sp|Q3ZLR7|SP201_HUMAN	tr|A0A8B7WD53|A0A8B7WD53_CASCN
OG0001516	sp|Q3KRB8|RHGBB_HUMAN, tr|A0A499FJF3|A0A499FJF3_HUMAN, sp|Q6P4F7|RHGBA_HUMAN	tr|A0A8B7WEC8|A0A8B7WEC8_CASCN
OG0001517	sp|Q7Z3S7|CA2D4_HUMAN	tr|A0A8B7WJ61|A0A8B7WJ61_CASCN
OG0001517	sp|Q8IZS8|CA2D3_HUMAN	tr|A0A8B7TSD3|A0A8B7TSD3_CASCN
OG0001518	sp|O95573|ACSL3_HUMAN	tr|A0A8B7WCV4|A0A8B7WCV4_CASCN
OG0001518	sp|O60488|ACSL4_HUMAN	tr|A0A8B7U4S1|A0A8B7U4S1_CASCN
OG0001519	sp|P51801|CLCKB_HUMAN, sp|P51800|CLCKA_HUMAN	tr|A0A8B7VAS2|A0A8B7VAS2_CASCN, tr|A0A8B7WGW3|A0A8B7WGW3_CASCN
OG0001520	sp|Q96PD7|DGAT2_HUMAN, sp|Q6ZPD8|DG2L6_HUMAN, sp|Q86VF5|MOGT3_HUMAN	tr|A0A250YHA0|A0A250YHA0_CASCN
OG0001521	sp|A2A3N6|PIPSL_HUMAN, sp|Q99755|PI51A_HUMAN, sp|O14986|PI51B_HUMAN	tr|A0A8B7TX79|A0A8B7TX79_CASCN
OG0001522	tr|A0A0G2JMS6|A0A0G2JMS6_HUMAN, sp|Q6IE36|OVOS2_HUMAN, sp|Q6IE37|OVOS1_HUMAN	tr|A0A8B7VDD4|A0A8B7VDD4_CASCN
OG0001523	sp|P36959|GMPR1_HUMAN	tr|A0A250XYY4|A0A250XYY4_CASCN
OG0001523	sp|Q9P2T1|GMPR2_HUMAN	tr|A0A250YG27|A0A250YG27_CASCN
OG0001524	sp|Q4KMZ8|NKAI1_HUMAN	tr|A0A8B7TZ93|A0A8B7TZ93_CASCN
OG0001524	sp|Q5VXU1|NKAI2_HUMAN	tr|A0A8B7W255|A0A8B7W255_CASCN
OG0001525	tr|A0A0G2JLY3|A0A0G2JLY3_HUMAN, sp|Q8NHW4|CC4L_HUMAN, sp|P13236|CCL4_HUMAN	tr|A0A8B7U625|A0A8B7U625_CASCN
OG0001526	sp|Q96QA5|GSDMA_HUMAN, sp|Q9BYG8|GSDMC_HUMAN, sp|Q8TAX9|GSDMB_HUMAN	tr|A0A8B7VJX8|A0A8B7VJX8_CASCN
OG0001527	sp|P17480|UBF1_HUMAN, sp|P0CB47|UBFL1_HUMAN, sp|P0CB48|UBFL6_HUMAN	tr|A0A8B7VWE3|A0A8B7VWE3_CASCN
OG0001528	sp|Q96BM0|I27L1_HUMAN, sp|P40305|IFI27_HUMAN, sp|P09912|IFI6_HUMAN	tr|A0A8B7VZS2|A0A8B7VZS2_CASCN
OG0001554	sp|Q15170|TCAL1_HUMAN	tr|A0A250XVE3|A0A250XVE3_CASCN, tr|A0A8B7WCQ8|A0A8B7WCQ8_CASCN
OG0001555	sp|Q6ZN54|DEFI8_HUMAN	tr|A0A8B7VB38|A0A8B7VB38_CASCN, tr|A0A250Y0Z9|A0A250Y0Z9_CASCN
OG0001556	sp|Q92917|GPKOW_HUMAN	tr|A0A8C0W759|A0A8C0W759_CASCN, tr|A0A250Y254|A0A250Y254_CASCN
OG0001557	sp|P10253|LYAG_HUMAN	tr|A0A250Y6G4|A0A250Y6G4_CASCN, tr|A0A8B7UFS3|A0A8B7UFS3_CASCN
OG0001558	sp|Q9NV12|TM140_HUMAN	tr|A0A8B7VGI2|A0A8B7VGI2_CASCN, tr|A0A250YBF8|A0A250YBF8_CASCN
OG0001559	sp|O43353|RIPK2_HUMAN	tr|A0A8B7UYV2|A0A8B7UYV2_CASCN, tr|A0A250YJL5|A0A250YJL5_CASCN
OG0001560	sp|Q9UGF7|O12D3_HUMAN	tr|A0A8B7TSX7|A0A8B7TSX7_CASCN, tr|A0A8B7TUC2|A0A8B7TUC2_CASCN
OG0001561	sp|A4D2P6|GRD2I_HUMAN	tr|A0A8B7UEY1|A0A8B7UEY1_CASCN, tr|A0A8B7UEI7|A0A8B7UEI7_CASCN
OG0001562	sp|P81408|EREP3_HUMAN	tr|A0A8B7UPY2|A0A8B7UPY2_CASCN, tr|A0A250YKJ6|A0A250YKJ6_CASCN
OG0001563	sp|Q6ZVW7|I17EL_HUMAN, sp|Q8NFR9|I17RE_HUMAN	tr|A0A8B7UXS5|A0A8B7UXS5_CASCN
OG0001564	sp|Q9Y303|NAGA_HUMAN	tr|A0A8B7V1P3|A0A8B7V1P3_CASCN, tr|A0A8B7V066|A0A8B7V066_CASCN
OG0001565	sp|Q969M7|UBE2F_HUMAN	tr|A0A8B7VF80|A0A8B7VF80_CASCN, tr|A0A250YBD8|A0A250YBD8_CASCN
OG0001566	sp|O95503|CBX6_HUMAN	tr|A0A250Y0C6|A0A250Y0C6_CASCN, tr|A0A8B7VFM0|A0A8B7VFM0_CASCN
OG0001567	sp|O43236|SEPT4_HUMAN	tr|A0A8B7VV94|A0A8B7VV94_CASCN, tr|A0A250XZ95|A0A250XZ95_CASCN
OG0001568	sp|Q9NUE0|ZDH18_HUMAN	tr|A0A250YGX8|A0A250YGX8_CASCN, tr|A0A8B7W4R5|A0A8B7W4R5_CASCN
OG0001569	sp|Q9UKB3|DJC12_HUMAN	tr|A0A8B7U8N8|A0A8B7U8N8_CASCN, tr|A0A250XVZ3|A0A250XVZ3_CASCN
OG0001570	sp|Q8TCJ0|FBX25_HUMAN	tr|A0A250XZM5|A0A250XZM5_CASCN, tr|A0A8B7VVP7|A0A8B7VVP7_CASCN
OG0001571	sp|Q5QP82|DCA10_HUMAN	tr|A0A250Y2R0|A0A250Y2R0_CASCN, tr|A0A8B7U1T1|A0A8B7U1T1_CASCN
OG0001572	sp|P16144|ITB4_HUMAN	tr|A0A250Y7Y9|A0A250Y7Y9_CASCN, tr|A0A8B7VS04|A0A8B7VS04_CASCN
OG0001573	sp|P49795|RGS19_HUMAN	tr|A0A8B7UAX0|A0A8B7UAX0_CASCN, tr|A0A250Y9G3|A0A250Y9G3_CASCN
OG0001574	sp|Q17R31|TATD3_HUMAN	tr|A0A250YE72|A0A250YE72_CASCN, tr|A0A8B7VBZ0|A0A8B7VBZ0_CASCN
OG0001575	sp|Q86X53|ERIC1_HUMAN	tr|A0A250YGD6|A0A250YGD6_CASCN, tr|A0A8B7VU98|A0A8B7VU98_CASCN
