Orthogroup	Homo_sapiens	Physeter_macrocephalus
OG0000261	sp|P07477|TRY1_HUMAN, sp|Q8NHM4|TRY6_HUMAN, sp|P35030|TRY3_HUMAN, sp|P07478|TRY2_HUMAN, sp|Q9H2R5|KLK15_HUMAN, sp|Q9UKR0|KLK12_HUMAN	tr|A0A2Y9EJP1|A0A2Y9EJP1_PHYMC
OG0000262	sp|P08842|STS_HUMAN	tr|A0A2Y9FJX8|A0A2Y9FJX8_PHYMC
OG0000262	sp|P54793|ARSF_HUMAN, sp|Q5FYA8|ARSH_HUMAN, sp|P51689|ARSD_HUMAN, sp|P51690|ARSL_HUMAN	tr|A0A2Y9FQV2|A0A2Y9FQV2_PHYMC
OG0000263	sp|Q5MIZ7|P4R3B_HUMAN	tr|A0A2Y9S6Z5|A0A2Y9S6Z5_PHYMC, tr|A0A2Y9S6N6|A0A2Y9S6N6_PHYMC
OG0000263	sp|Q6IN85|P4R3A_HUMAN	tr|A0A2Y9TD40|A0A2Y9TD40_PHYMC
OG0000263	sp|Q6ZMV5|P4R3C_HUMAN	tr|A0A2Y9FIH8|A0A2Y9FIH8_PHYMC
OG0000264	sp|Q9NXZ1|SAGE1_HUMAN, sp|A6NJ88|SGE2P_HUMAN	tr|A0A2Y9T0L8|A0A2Y9T0L8_PHYMC
OG0000264	sp|Q9UL03|INT6_HUMAN	tr|A0A2Y9SU27|A0A2Y9SU27_PHYMC
OG0000264	sp|Q5JSJ4|INT6L_HUMAN	tr|A0A2Y9SYZ3|A0A2Y9SYZ3_PHYMC
OG0000266	sp|Q5VW00|DC122_HUMAN, sp|Q5VU92|DC121_HUMAN	tr|A0A2Y9T0U8|A0A2Y9T0U8_PHYMC, tr|A0A2Y9T364|A0A2Y9T364_PHYMC, tr|A0A2Y9SCE6|A0A2Y9SCE6_PHYMC
OG0000266	sp|Q5T6F0|DCA12_HUMAN	tr|A0A2Y9EE84|A0A2Y9EE84_PHYMC
OG0000267	sp|Q13310|PABP4_HUMAN	tr|A0A2Y9SZF4|A0A2Y9SZF4_PHYMC
OG0000267	sp|Q4VXU2|PAP1L_HUMAN	tr|A0A455BBD3|A0A455BBD3_PHYMC
OG0000267	sp|Q9H361|PABP3_HUMAN, sp|P11940|PABP1_HUMAN	tr|A0A2Y9ELR6|A0A2Y9ELR6_PHYMC
OG0000268	sp|P53778|MK12_HUMAN	tr|A0A455BCY9|A0A455BCY9_PHYMC
OG0000268	sp|Q16539|MK14_HUMAN	tr|A0A2Y9SFQ4|A0A2Y9SFQ4_PHYMC
OG0000268	sp|Q15759|MK11_HUMAN	tr|A0A2Y9T159|A0A2Y9T159_PHYMC
OG0000269	sp|P51793|CLCN4_HUMAN	tr|A0A455BH81|A0A455BH81_PHYMC
OG0000269	sp|P51790|CLCN3_HUMAN	tr|A0A2Y9T8F0|A0A2Y9T8F0_PHYMC
OG0000269	sp|P51795|CLCN5_HUMAN	tr|A0A2Y9S5T5|A0A2Y9S5T5_PHYMC, tr|A0A2Y9S252|A0A2Y9S252_PHYMC
OG0000270	sp|Q12756|KIF1A_HUMAN	tr|A0A455ARM2|A0A455ARM2_PHYMC
OG0000270	sp|O60333|KIF1B_HUMAN	tr|A0A455B6K5|A0A455B6K5_PHYMC
OG0000270	sp|O43896|KIF1C_HUMAN	tr|A0A455B8B1|A0A455B8B1_PHYMC, tr|A0A455AV17|A0A455AV17_PHYMC
OG0000271	sp|P23415|GLRA1_HUMAN	tr|A0A2Y9EU19|A0A2Y9EU19_PHYMC
OG0000271	sp|O75311|GLRA3_HUMAN	tr|A0A2Y9TEW4|A0A2Y9TEW4_PHYMC
OG0000271	sp|P23416|GLRA2_HUMAN	tr|A0A2Y9S3M6|A0A2Y9S3M6_PHYMC, tr|A0A2Y9FB02|A0A2Y9FB02_PHYMC
OG0000272	sp|P21266|GSTM3_HUMAN	tr|A0A2Y9EPD0|A0A2Y9EPD0_PHYMC
OG0000272	sp|P46439|GSTM5_HUMAN, sp|Q03013|GSTM4_HUMAN, sp|P28161|GSTM2_HUMAN, sp|P09488|GSTM1_HUMAN	tr|A0A455BBV0|A0A455BBV0_PHYMC
OG0000273	sp|Q14324|MYPC2_HUMAN	tr|A0A2Y9EKL0|A0A2Y9EKL0_PHYMC
OG0000273	sp|Q00872|MYPC1_HUMAN	tr|A0A455BC09|A0A455BC09_PHYMC
OG0000273	sp|Q14896|MYPC3_HUMAN	tr|A0A455C8Z1|A0A455C8Z1_PHYMC, tr|A0A455B9D8|A0A455B9D8_PHYMC
OG0000274	sp|Q9UPR5|NAC2_HUMAN	tr|A0A455AEF6|A0A455AEF6_PHYMC, tr|A0A455AXP2|A0A455AXP2_PHYMC
OG0000274	sp|P57103|NAC3_HUMAN	tr|A0A455AY91|A0A455AY91_PHYMC
OG0000274	sp|P32418|NAC1_HUMAN	tr|A0A2Y9S867|A0A2Y9S867_PHYMC
OG0000275	sp|O43462|MBTP2_HUMAN	tr|A0A2Y9FPM1|A0A2Y9FPM1_PHYMC
OG0000275	sp|Q96MM3|ZFP42_HUMAN	tr|A0A2Y9EEX3|A0A2Y9EEX3_PHYMC
OG0000275	sp|P25490|TYY1_HUMAN	tr|A0A455C881|A0A455C881_PHYMC
OG0000276	sp|Q9NZH6|IL37_HUMAN, sp|Q9NZH7|IL36B_HUMAN	tr|A0A2Y9T7I7|A0A2Y9T7I7_PHYMC
OG0000276	sp|Q9UHA7|IL36A_HUMAN	tr|A0A2Y9T3M5|A0A2Y9T3M5_PHYMC
OG0000276	sp|Q9NZH8|IL36G_HUMAN	tr|A0A2Y9FIJ6|A0A2Y9FIJ6_PHYMC
OG0000277	sp|P38919|IF4A3_HUMAN	tr|A0A455C5T6|A0A455C5T6_PHYMC
OG0000277	sp|Q14240|IF4A2_HUMAN	tr|A0A2Y9F6P4|A0A2Y9F6P4_PHYMC
OG0000277	sp|P60842|IF4A1_HUMAN	tr|A0A2Y9EEK1|A0A2Y9EEK1_PHYMC
OG0000278	sp|P06213|INSR_HUMAN	tr|A0A455C341|A0A455C341_PHYMC
OG0000278	sp|P08069|IGF1R_HUMAN	tr|A0A455BQL4|A0A455BQL4_PHYMC
OG0000278	sp|P14616|INSRR_HUMAN	tr|A0A2Y9EX12|A0A2Y9EX12_PHYMC
OG0000279	sp|Q9Y2E4|DIP2C_HUMAN	tr|A0A455BPK2|A0A455BPK2_PHYMC
OG0000279	sp|Q14689|DIP2A_HUMAN	tr|A0A455BHX9|A0A455BHX9_PHYMC
OG0000279	sp|Q9P265|DIP2B_HUMAN	tr|A0A455BGV7|A0A455BGV7_PHYMC
OG0000280	sp|P20702|ITAX_HUMAN	tr|A0A2Y9SGG0|A0A2Y9SGG0_PHYMC
OG0000280	sp|Q13349|ITAD_HUMAN	tr|A0A2Y9F4T8|A0A2Y9F4T8_PHYMC
OG0000280	sp|P11215|ITAM_HUMAN	tr|A0A455BXU7|A0A455BXU7_PHYMC, tr|A0A455B669|A0A455B669_PHYMC
OG0000281	sp|Q9Y6E0|STK24_HUMAN	tr|A0A455AZH3|A0A455AZH3_PHYMC
OG0000281	sp|O00506|STK25_HUMAN	tr|A0A2Y9SSW6|A0A2Y9SSW6_PHYMC
OG0000281	sp|Q56UN5|M3K19_HUMAN, sp|Q9P289|STK26_HUMAN	tr|A0A2Y9T599|A0A2Y9T599_PHYMC
OG0000282	sp|Q9NQX4|MYO5C_HUMAN	tr|A0A2Y9T523|A0A2Y9T523_PHYMC
OG0000282	sp|Q9Y4I1|MYO5A_HUMAN	tr|A0A2Y9T2V7|A0A2Y9T2V7_PHYMC
OG0000282	sp|Q9ULV0|MYO5B_HUMAN	tr|A0A455AGY0|A0A455AGY0_PHYMC, tr|A0A455AJ59|A0A455AJ59_PHYMC
OG0000283	sp|P41208|CETN2_HUMAN	tr|A0A2Y9FGX9|A0A2Y9FGX9_PHYMC
OG0000283	sp|Q12798|CETN1_HUMAN	tr|A0A2Y9ERW3|A0A2Y9ERW3_PHYMC, tr|A0A2Y9S5X3|A0A2Y9S5X3_PHYMC, tr|A0A2Y9S4V8|A0A2Y9S4V8_PHYMC, tr|A0A455BX48|A0A455BX48_PHYMC
OG0000284	sp|Q5VST6|AB17B_HUMAN	tr|A0A2Y9SVD1|A0A2Y9SVD1_PHYMC
OG0000284	sp|Q96GS6|AB17A_HUMAN	tr|A0A2Y9TJK1|A0A2Y9TJK1_PHYMC
OG0000284	sp|Q6PCB6|AB17C_HUMAN	tr|A0A2Y9TBP5|A0A2Y9TBP5_PHYMC
OG0000285	sp|P19440|GGT1_HUMAN, sp|P36268|GGT2_HUMAN, sp|A6NGU5|GGT3_HUMAN, sp|Q9BX51|GGTL1_HUMAN, sp|Q14390|GGTL2_HUMAN, sp|B5MD39|GGTL3_HUMAN	tr|A0A2Y9FQM1|A0A2Y9FQM1_PHYMC
OG0000286	sp|Q8WY07|CTR3_HUMAN	tr|A0A2Y9F3R8|A0A2Y9F3R8_PHYMC
OG0000286	sp|P30825|CTR1_HUMAN	tr|A0A2Y9SSI3|A0A2Y9SSI3_PHYMC
OG0000286	sp|P52569|CTR2_HUMAN	tr|A0A455AKL7|A0A455AKL7_PHYMC
OG0000287	sp|P48730|KC1D_HUMAN	tr|A0A455CAC6|A0A455CAC6_PHYMC
OG0000287	sp|P49674|KC1E_HUMAN	tr|A0A2Y9F0V4|A0A2Y9F0V4_PHYMC
OG0000287	sp|Q8N752|KC1AL_HUMAN, sp|P48729|KC1A_HUMAN	tr|A0A455BMR6|A0A455BMR6_PHYMC
OG0000288	sp|P62888|RL30_HUMAN	tr|A0A2Y9SHH4|A0A2Y9SHH4_PHYMC, tr|A0A2Y9T367|A0A2Y9T367_PHYMC, tr|A0A2Y9SYB4|A0A2Y9SYB4_PHYMC, tr|A0A2Y9SVV1|A0A2Y9SVV1_PHYMC, tr|A0A2Y9SXL7|A0A2Y9SXL7_PHYMC, tr|A0A2Y9EGX2|A0A2Y9EGX2_PHYMC
OG0000289	sp|P61956|SUMO2_HUMAN	tr|A0A2Y9SHI3|A0A2Y9SHI3_PHYMC, tr|A0A2Y9SKS1|A0A2Y9SKS1_PHYMC, tr|A0A2Y9FJ40|A0A2Y9FJ40_PHYMC, tr|A0A2Y9EVR3|A0A2Y9EVR3_PHYMC, tr|A0A2Y9EFW6|A0A2Y9EFW6_PHYMC, tr|A0A2Y9ECB4|A0A2Y9ECB4_PHYMC
OG0000290	sp|Q8N4E7|FTMT_HUMAN	tr|A0A2Y9F6L6|A0A2Y9F6L6_PHYMC
OG0000290	sp|Q9BXU8|FHL17_HUMAN, sp|P0C7X4|FHL19_HUMAN, sp|P02792|FRIL_HUMAN, sp|P02794|FRIH_HUMAN	tr|A0A2Y9THG1|A0A2Y9THG1_PHYMC
OG0000291	sp|Q8TE04|PANK1_HUMAN	tr|A0A2Y9SJ31|A0A2Y9SJ31_PHYMC
OG0000291	sp|Q9BZ23|PANK2_HUMAN	tr|A0A455C301|A0A455C301_PHYMC
OG0000291	sp|Q9H999|PANK3_HUMAN	tr|A0A2Y9EWX5|A0A2Y9EWX5_PHYMC, tr|A0A2Y9ST27|A0A2Y9ST27_PHYMC
OG0000292	sp|P61225|RAP2B_HUMAN	tr|A0A2Y9TBM7|A0A2Y9TBM7_PHYMC
OG0000292	sp|P10114|RAP2A_HUMAN	tr|A0A2Y9EGG0|A0A2Y9EGG0_PHYMC
OG0000292	sp|Q9Y3L5|RAP2C_HUMAN	tr|A0A2Y9TD26|A0A2Y9TD26_PHYMC, tr|A0A2Y9FTX4|A0A2Y9FTX4_PHYMC
OG0000293	sp|Q9NU39|FX4L1_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN	tr|A0A2Y9SYV8|A0A2Y9SYV8_PHYMC
OG0000294	sp|Q56UQ5|TPT1L_HUMAN, sp|Q9HAU6|TCTP8_HUMAN	tr|A0A2Y9S4P4|A0A2Y9S4P4_PHYMC
OG0000294	sp|P13693|TCTP_HUMAN	tr|A0A2Y9FUN2|A0A2Y9FUN2_PHYMC, tr|A0A2Y9SCA8|A0A2Y9SCA8_PHYMC, tr|A0A455BJ80|A0A455BJ80_PHYMC
OG0000295	sp|Q9NRW1|RAB6B_HUMAN	tr|A0A2Y9EWB7|A0A2Y9EWB7_PHYMC
OG0000295	sp|Q53S08|RAB6D_HUMAN, sp|Q9H0N0|RAB6C_HUMAN, sp|P20340|RAB6A_HUMAN, sp|Q5JT25|RAB41_HUMAN	tr|A0A2Y9T8T4|A0A2Y9T8T4_PHYMC
OG0000296	sp|P49223|SPIT3_HUMAN	tr|A0A455CAV9|A0A455CAV9_PHYMC, tr|A0A2Y9F6C1|A0A2Y9F6C1_PHYMC, tr|A0A455C6S4|A0A455C6S4_PHYMC, tr|A0A455AWY4|A0A455AWY4_PHYMC, tr|A0A2Y9F5M6|A0A2Y9F5M6_PHYMC, tr|A0A2Y9T475|A0A2Y9T475_PHYMC
OG0000297	sp|Q9NY91|SC5A4_HUMAN	tr|A0A455AJK5|A0A455AJK5_PHYMC
OG0000297	sp|P13866|SC5A1_HUMAN	tr|A0A2Y9FQU0|A0A2Y9FQU0_PHYMC
OG0000297	sp|P31639|SC5A2_HUMAN	tr|A0A455AKF5|A0A455AKF5_PHYMC, tr|A0A2Y9F6M1|A0A2Y9F6M1_PHYMC
OG0000298	sp|P22352|GPX3_HUMAN	tr|A0A2Y9EYH4|A0A2Y9EYH4_PHYMC
OG0000298	sp|P59796|GPX6_HUMAN, tr|A3KN74|A3KN74_HUMAN	tr|A0A2Y9EXS7|A0A2Y9EXS7_PHYMC
OG0000298	sp|O75715|GPX5_HUMAN	tr|A0A2Y9EX94|A0A2Y9EX94_PHYMC
OG0000299	sp|P51531|SMCA2_HUMAN	tr|A0A455BLT4|A0A455BLT4_PHYMC, tr|A0A455AYF0|A0A455AYF0_PHYMC
OG0000299	sp|P51532|SMCA4_HUMAN	tr|A0A455C2X1|A0A455C2X1_PHYMC, tr|A0A455BTD1|A0A455BTD1_PHYMC, tr|A0A455B376|A0A455B376_PHYMC
OG0000300	sp|P17252|KPCA_HUMAN	tr|A0A455C2Q6|A0A455C2Q6_PHYMC
OG0000300	sp|P05771|KPCB_HUMAN	tr|A0A2Y9STV5|A0A2Y9STV5_PHYMC
OG0000300	sp|P05129|KPCG_HUMAN	tr|A0A2Y9F1M4|A0A2Y9F1M4_PHYMC
OG0000301	sp|P10586|PTPRF_HUMAN	tr|A0A2Y9SUJ5|A0A2Y9SUJ5_PHYMC
OG0000301	sp|Q13332|PTPRS_HUMAN	tr|A0A2Y9THR9|A0A2Y9THR9_PHYMC
OG0000301	sp|P23468|PTPRD_HUMAN	tr|A0A2Y9SVD7|A0A2Y9SVD7_PHYMC
OG0000302	sp|Q92913|FGF13_HUMAN	tr|A0A2Y9SZ68|A0A2Y9SZ68_PHYMC
OG0000302	sp|Q92915|FGF14_HUMAN	tr|A0A2Y9SR87|A0A2Y9SR87_PHYMC
OG0000302	sp|Q92914|FGF11_HUMAN, sp|P61328|FGF12_HUMAN	tr|A0A2Y9FL38|A0A2Y9FL38_PHYMC
OG0000303	sp|Q6IF99|O10K2_HUMAN	tr|A0A2Y9S7A8|A0A2Y9S7A8_PHYMC
OG0000303	sp|Q8NGX5|O10K1_HUMAN	tr|A0A2Y9RZC0|A0A2Y9RZC0_PHYMC, tr|A0A455B533|A0A455B533_PHYMC, tr|A0A2Y9T2T7|A0A2Y9T2T7_PHYMC, tr|A0A2Y9TL26|A0A2Y9TL26_PHYMC
OG0000304	sp|Q5T9Z0|TEDM1_HUMAN	tr|A0A455BJX7|A0A455BJX7_PHYMC, tr|A0A455B5J8|A0A455B5J8_PHYMC, tr|A0A2Y9FJ48|A0A2Y9FJ48_PHYMC, tr|A0A2Y9FH33|A0A2Y9FH33_PHYMC, tr|A0A2Y9S9C6|A0A2Y9S9C6_PHYMC, tr|A0A2Y9TC47|A0A2Y9TC47_PHYMC
OG0000307	sp|Q13268|DHRS2_HUMAN	tr|A0A2Y9TGZ2|A0A2Y9TGZ2_PHYMC
OG0000307	sp|Q6PKH6|DR4L2_HUMAN, sp|Q9BTZ2|DHRS4_HUMAN, sp|P0CG22|DR4L1_HUMAN	tr|A0A2Y9FWA6|A0A2Y9FWA6_PHYMC
OG0000308	sp|Q6ZQQ2|S31D1_HUMAN, sp|P0C874|S31D3_HUMAN, sp|Q6ZUB0|S31D4_HUMAN	tr|A0A455B3D3|A0A455B3D3_PHYMC, tr|A0A455BKK2|A0A455BKK2_PHYMC, tr|A0A2Y9SKL7|A0A2Y9SKL7_PHYMC
OG0000309	sp|Q92904|DAZL_HUMAN, sp|Q13117|DAZ2_HUMAN, sp|Q9NR90|DAZ3_HUMAN, sp|Q86SG3|DAZ4_HUMAN, sp|Q9NQZ3|DAZ1_HUMAN	tr|A0A2Y9ETG1|A0A2Y9ETG1_PHYMC
OG0000310	sp|O94823|AT10B_HUMAN	tr|A0A2Y9F615|A0A2Y9F615_PHYMC
OG0000310	sp|Q9P241|AT10D_HUMAN	tr|A0A2Y9T9S4|A0A2Y9T9S4_PHYMC
OG0000310	sp|O60312|AT10A_HUMAN	tr|A0A455BPM5|A0A455BPM5_PHYMC
OG0000311	sp|Q6P3V2|Z585A_HUMAN, sp|Q52M93|Z585B_HUMAN, sp|P17032|ZN37A_HUMAN, sp|P51786|ZN157_HUMAN	tr|A0A455APJ1|A0A455APJ1_PHYMC, tr|A0A455APV4|A0A455APV4_PHYMC
OG0000312	sp|Q8NGA4|G32P1_HUMAN, sp|O75388|GPR32_HUMAN, sp|P25089|FPR3_HUMAN, sp|P25090|FPR2_HUMAN, sp|P21462|FPR1_HUMAN	tr|A0A2Y9TC19|A0A2Y9TC19_PHYMC
OG0000313	sp|Q8N7N1|F86B1_HUMAN, sp|P0C5J1|F86B2_HUMAN, sp|Q96G04|EF2KT_HUMAN, sp|Q9NVL1|F86C1_HUMAN, sp|A6NEL3|F86C2_HUMAN	tr|A0A2Y9FM64|A0A2Y9FM64_PHYMC
OG0000314	sp|P78356|PI42B_HUMAN	tr|A0A2Y9FF38|A0A2Y9FF38_PHYMC
OG0000314	sp|P48426|PI42A_HUMAN	tr|A0A2Y9TBF3|A0A2Y9TBF3_PHYMC
OG0000314	sp|Q8TBX8|PI42C_HUMAN	tr|A0A455BGG4|A0A455BGG4_PHYMC
OG0000315	sp|Q8WXS8|ATS14_HUMAN	tr|A0A455AL65|A0A455AL65_PHYMC
OG0000315	sp|O15072|ATS3_HUMAN	tr|A0A2Y9S4X4|A0A2Y9S4X4_PHYMC
OG0000315	sp|O95450|ATS2_HUMAN	tr|A0A2Y9S7G1|A0A2Y9S7G1_PHYMC
OG0000316	sp|Q969T4|UB2E3_HUMAN	tr|A0A2Y9SP15|A0A2Y9SP15_PHYMC
OG0000316	sp|P51965|UB2E1_HUMAN	tr|A0A2Y9S0B5|A0A2Y9S0B5_PHYMC
OG0000316	sp|Q96LR5|UB2E2_HUMAN	tr|A0A2Y9S0E1|A0A2Y9S0E1_PHYMC
OG0000317	sp|Q9UK58|CCNL1_HUMAN	tr|A0A2Y9F7N2|A0A2Y9F7N2_PHYMC
OG0000317	sp|Q96S94|CCNL2_HUMAN	tr|A0A455B313|A0A455B313_PHYMC, tr|A0A455B2A4|A0A455B2A4_PHYMC, tr|A0A455B5D5|A0A455B5D5_PHYMC
OG0000319	sp|A6NJG6|ARGFX_HUMAN, sp|F2Z398|LMO7D_HUMAN, tr|A0A087X1C1|A0A087X1C1_HUMAN, sp|A0A096LPI5|GVQW2_HUMAN, sp|Q5T7P6|TMM78_HUMAN	tr|A0A455BPJ7|A0A455BPJ7_PHYMC
OG0000320	sp|P01034|CYTC_HUMAN, sp|P28325|CYTD_HUMAN, sp|P01036|CYTS_HUMAN, sp|P01037|CYTN_HUMAN, sp|P09228|CYTT_HUMAN	tr|A0A2Y9EE80|A0A2Y9EE80_PHYMC
OG0000321	sp|P19793|RXRA_HUMAN	tr|A0A455BW26|A0A455BW26_PHYMC
OG0000321	sp|P28702|RXRB_HUMAN	tr|A0A2Y9ETG3|A0A2Y9ETG3_PHYMC
OG0000321	sp|P48443|RXRG_HUMAN	tr|A0A455BKU0|A0A455BKU0_PHYMC
OG0000322	sp|P51160|PDE6C_HUMAN	tr|A0A2Y9ER64|A0A2Y9ER64_PHYMC
OG0000322	sp|P16499|PDE6A_HUMAN	tr|A0A2Y9FUE8|A0A2Y9FUE8_PHYMC
OG0000322	sp|P35913|PDE6B_HUMAN	tr|A0A2Y9F445|A0A2Y9F445_PHYMC
OG0000324	sp|Q8N7R7|CCYL1_HUMAN	tr|A0A2Y9EX31|A0A2Y9EX31_PHYMC
OG0000324	sp|Q5T2Q4|CCYL2_HUMAN, sp|P0C7X3|CCYL3_HUMAN, sp|Q8ND76|CCNY_HUMAN	tr|A0A2Y9T971|A0A2Y9T971_PHYMC
OG0000325	sp|Q9P2U8|VGLU2_HUMAN	tr|A0A2Y9EPY4|A0A2Y9EPY4_PHYMC
OG0000325	sp|Q8NDX2|VGLU3_HUMAN	tr|A0A2Y9EJQ3|A0A2Y9EJQ3_PHYMC
OG0000325	sp|Q9P2U7|VGLU1_HUMAN	tr|A0A2Y9TFU3|A0A2Y9TFU3_PHYMC
OG0000326	sp|Q96N67|DOCK7_HUMAN	tr|A0A455BAX6|A0A455BAX6_PHYMC
OG0000326	sp|Q8NF50|DOCK8_HUMAN	tr|A0A2Y9SWE0|A0A2Y9SWE0_PHYMC
OG0000326	sp|Q96HP0|DOCK6_HUMAN	tr|A0A2Y9TGA0|A0A2Y9TGA0_PHYMC
OG0000327	sp|Q7Z407|CSMD3_HUMAN	tr|A0A2Y9T6G1|A0A2Y9T6G1_PHYMC
OG0000327	sp|Q7Z408|CSMD2_HUMAN	tr|A0A455AWT6|A0A455AWT6_PHYMC
OG0000327	sp|Q96PZ7|CSMD1_HUMAN	tr|A0A455AKH6|A0A455AKH6_PHYMC
OG0000328	sp|Q53FV1|ORML2_HUMAN	tr|A0A2Y9FKS2|A0A2Y9FKS2_PHYMC
OG0000328	sp|Q8N138|ORML3_HUMAN	tr|A0A2Y9F279|A0A2Y9F279_PHYMC
OG0000328	sp|Q9P0S3|ORML1_HUMAN	tr|A0A2Y9F731|A0A2Y9F731_PHYMC
OG0000329	sp|C4AMC7|WASH3_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|A8K0Z3|WASH1_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN	tr|A0A455B1W3|A0A455B1W3_PHYMC
OG0000330	sp|P51148|RAB5C_HUMAN	tr|A0A2Y9FRI0|A0A2Y9FRI0_PHYMC
OG0000330	sp|P20339|RAB5A_HUMAN	tr|A0A2Y9S4X9|A0A2Y9S4X9_PHYMC
OG0000330	sp|P61020|RAB5B_HUMAN	tr|A0A2Y9FUJ5|A0A2Y9FUJ5_PHYMC
OG0000331	sp|P34932|HSP74_HUMAN	tr|A0A2Y9EPK6|A0A2Y9EPK6_PHYMC
OG0000331	sp|Q92598|HS105_HUMAN	tr|A0A2Y9EX30|A0A2Y9EX30_PHYMC
OG0000331	sp|O95757|HS74L_HUMAN	tr|A0A2Y9F1Q5|A0A2Y9F1Q5_PHYMC
OG0000332	sp|Q8TDI0|CHD5_HUMAN	tr|A0A2Y9SUZ3|A0A2Y9SUZ3_PHYMC
OG0000332	sp|Q14839|CHD4_HUMAN	tr|A0A2Y9T5A1|A0A2Y9T5A1_PHYMC
OG0000332	sp|Q12873|CHD3_HUMAN	tr|A0A455AQV1|A0A455AQV1_PHYMC
OG0000333	sp|F8VTS6|RFAL1_HUMAN, sp|A6NLU0|RFPLA_HUMAN, sp|O75678|RFPL2_HUMAN, sp|O75677|RFPL1_HUMAN, sp|O75679|RFPL3_HUMAN	tr|A0A2Y9FID7|A0A2Y9FID7_PHYMC
OG0000334	sp|Q12918|KLRB1_HUMAN	tr|A0A2Y9T422|A0A2Y9T422_PHYMC
OG0000334	sp|D3W0D1|KLRF2_HUMAN, sp|Q9NZS2|KLRF1_HUMAN, sp|Q8IZS7|CLCL1_HUMAN	tr|A0A2Y9F369|A0A2Y9F369_PHYMC
OG0000335	sp|O75369|FLNB_HUMAN	tr|A0A455AF07|A0A455AF07_PHYMC
OG0000335	sp|Q14315|FLNC_HUMAN	tr|A0A455AUB0|A0A455AUB0_PHYMC
OG0000335	sp|P21333|FLNA_HUMAN	tr|A0A2Y9S1N4|A0A2Y9S1N4_PHYMC
OG0000336	sp|Q14406|CSHL_HUMAN, sp|P0DML2|CSH1_HUMAN, sp|P0DML3|CSH2_HUMAN, sp|P01242|SOM2_HUMAN, sp|P01241|SOMA_HUMAN	tr|A0A455C1Z4|A0A455C1Z4_PHYMC
OG0000337	sp|O94806|KPCD3_HUMAN	tr|A0A2Y9EJR7|A0A2Y9EJR7_PHYMC
OG0000337	sp|Q9BZL6|KPCD2_HUMAN	tr|A0A455AVL7|A0A455AVL7_PHYMC
OG0000337	sp|Q15139|KPCD1_HUMAN	tr|A0A455BR65|A0A455BR65_PHYMC
OG0000338	sp|P61088|UBE2N_HUMAN	tr|A0A455BPC1|A0A455BPC1_PHYMC, tr|A0A2Y9S3L3|A0A2Y9S3L3_PHYMC
OG0000338	sp|Q5JXB2|UE2NL_HUMAN	tr|A0A2Y9SF48|A0A2Y9SF48_PHYMC, tr|A0A455BE93|A0A455BE93_PHYMC
OG0000340	sp|Q00975|CAC1B_HUMAN	tr|A0A455C162|A0A455C162_PHYMC
OG0000340	sp|O00555|CAC1A_HUMAN	tr|A0A2Y9TJX2|A0A2Y9TJX2_PHYMC
OG0000340	sp|Q15878|CAC1E_HUMAN	tr|A0A2Y9ENQ1|A0A2Y9ENQ1_PHYMC
OG0000341	sp|Q99717|SMAD5_HUMAN	tr|A0A2Y9SI56|A0A2Y9SI56_PHYMC
OG0000341	sp|Q15797|SMAD1_HUMAN	tr|A0A2Y9T0I4|A0A2Y9T0I4_PHYMC
OG0000341	sp|O15198|SMAD9_HUMAN	tr|A0A2Y9SW90|A0A2Y9SW90_PHYMC
OG0000342	sp|P29992|GNA11_HUMAN	tr|A0A2Y9TKW2|A0A2Y9TKW2_PHYMC
OG0000342	sp|P50148|GNAQ_HUMAN	tr|A0A2Y9SWK4|A0A2Y9SWK4_PHYMC
OG0000342	sp|O95837|GNA14_HUMAN	tr|A0A2Y9SWT0|A0A2Y9SWT0_PHYMC
OG0000343	sp|Q9BRH9|ZN251_HUMAN, sp|Q6ZMY9|ZN517_HUMAN	tr|A0A2Y9ESG6|A0A2Y9ESG6_PHYMC
OG0000343	sp|Q6ZNG0|ZN620_HUMAN	tr|A0A455AGY7|A0A455AGY7_PHYMC, tr|A0A455AFV4|A0A455AFV4_PHYMC
OG0000344	sp|P36896|ACV1B_HUMAN	tr|A0A455ATA6|A0A455ATA6_PHYMC
OG0000344	sp|P36897|TGFR1_HUMAN	tr|A0A2Y9T0D7|A0A2Y9T0D7_PHYMC
OG0000344	sp|Q8NER5|ACV1C_HUMAN	tr|A0A2Y9SH87|A0A2Y9SH87_PHYMC
OG0000345	sp|P21796|VDAC1_HUMAN	tr|A0A2Y9SDC8|A0A2Y9SDC8_PHYMC
OG0000345	sp|Q9Y277|VDAC3_HUMAN	tr|A0A2Y9TC59|A0A2Y9TC59_PHYMC
OG0000345	sp|P45880|VDAC2_HUMAN	tr|A0A2Y9EGH8|A0A2Y9EGH8_PHYMC
OG0000346	sp|P0CG30|GSTT2_HUMAN, sp|P0CG29|GST2_HUMAN	tr|A0A455AIW2|A0A455AIW2_PHYMC
