Orthogroup	Homo_sapiens	Microtus_ochrogaster
OG0001685	sp|Q4ZG55|GREB1_HUMAN	tr|A0A8J6GX13|A0A8J6GX13_MICOH
OG0001685	sp|Q9C091|GRB1L_HUMAN	tr|A0A8J6GH38|A0A8J6GH38_MICOH
OG0001686	sp|Q7L5N1|CSN6_HUMAN	tr|A0A8J6G830|A0A8J6G830_MICOH, tr|A0A8J6L8W8|A0A8J6L8W8_MICOH, tr|A0A8J6H0R4|A0A8J6H0R4_MICOH
OG0001689	sp|Q9H1J7|WNT5B_HUMAN	tr|A0A8J6KXE9|A0A8J6KXE9_MICOH
OG0001689	sp|P41221|WNT5A_HUMAN	tr|A0A8J6L1A5|A0A8J6L1A5_MICOH
OG0001690	sp|O60548|FOXD2_HUMAN	tr|A0A8J6KSN2|A0A8J6KSN2_MICOH
OG0001690	sp|Q16676|FOXD1_HUMAN	tr|A0A8J6GKY7|A0A8J6GKY7_MICOH
OG0001691	sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN	tr|A0A8J6GKC9|A0A8J6GKC9_MICOH, tr|A0A8J6GE06|A0A8J6GE06_MICOH
OG0001692	sp|Q5JU85|IQEC2_HUMAN	tr|A0A8J6GST9|A0A8J6GST9_MICOH
OG0001692	sp|Q6DN90|IQEC1_HUMAN	tr|A0A8J6GW98|A0A8J6GW98_MICOH
OG0001693	sp|P36578|RL4_HUMAN	tr|A0A8J6L5C6|A0A8J6L5C6_MICOH, tr|A0A8J6KLB2|A0A8J6KLB2_MICOH, tr|A0A8J6KT33|A0A8J6KT33_MICOH
OG0001694	sp|Q8NEG0|GAR6_HUMAN	tr|A0A8J6GWI6|A0A8J6GWI6_MICOH
OG0001694	sp|Q8IYT1|GAR4_HUMAN	tr|A0A8J6GGN7|A0A8J6GGN7_MICOH
OG0001695	sp|Q92556|ELMO1_HUMAN	tr|A0A8J6GFU9|A0A8J6GFU9_MICOH
OG0001695	sp|Q96JJ3|ELMO2_HUMAN	tr|A0A8J6GIT5|A0A8J6GIT5_MICOH
OG0001696	sp|Q15124|PGM5_HUMAN	tr|A0A8J6H1R2|A0A8J6H1R2_MICOH
OG0001696	sp|P36871|PGM1_HUMAN	tr|A0A8J6GGY3|A0A8J6GGY3_MICOH
OG0001697	sp|P46597|ASMT_HUMAN, sp|O95671|ASML_HUMAN	tr|A0A8J6L438|A0A8J6L438_MICOH, tr|A0A8J6KYK5|A0A8J6KYK5_MICOH
OG0001698	sp|Q01844|EWS_HUMAN	tr|A0A8J6GRR5|A0A8J6GRR5_MICOH, tr|A0A8J6KPB7|A0A8J6KPB7_MICOH, tr|A0A8J6KKF3|A0A8J6KKF3_MICOH
OG0001699	sp|Q4VNC1|AT134_HUMAN	tr|A0A8J6G968|A0A8J6G968_MICOH
OG0001699	sp|Q4VNC0|AT135_HUMAN	tr|A0A8J6GAV7|A0A8J6GAV7_MICOH
OG0001700	sp|O15083|ERC2_HUMAN	tr|A0A8J6GQ01|A0A8J6GQ01_MICOH
OG0001700	sp|Q8IUD2|RB6I2_HUMAN	tr|A0A8J6GKF3|A0A8J6GKF3_MICOH
OG0001701	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8J6L0K3|A0A8J6L0K3_MICOH, tr|A0A8J6GSC9|A0A8J6GSC9_MICOH, tr|A0A8J6KMT5|A0A8J6KMT5_MICOH
OG0001702	sp|Q86VE0|MYPOP_HUMAN	tr|A0A8J6GA79|A0A8J6GA79_MICOH, tr|A0A8J6FY61|A0A8J6FY61_MICOH, tr|A0A8J6H2D8|A0A8J6H2D8_MICOH
OG0001703	sp|O75487|GPC4_HUMAN	tr|A0A8J6KS77|A0A8J6KS77_MICOH
OG0001703	sp|Q9Y625|GPC6_HUMAN	tr|A0A8J6GUJ6|A0A8J6GUJ6_MICOH
OG0001704	sp|Q9Y639|NPTN_HUMAN	tr|A0A8J6GV99|A0A8J6GV99_MICOH, tr|A0A8J6GN70|A0A8J6GN70_MICOH, tr|A0A8J6G2S4|A0A8J6G2S4_MICOH
OG0001705	sp|P55283|CADH4_HUMAN	tr|A0A8J6GKC7|A0A8J6GKC7_MICOH
OG0001705	sp|P19022|CADH2_HUMAN	tr|A0A8J6GDJ3|A0A8J6GDJ3_MICOH
OG0001706	sp|Q9BXW6|OSBL1_HUMAN	tr|A0A8J6GVR9|A0A8J6GVR9_MICOH
OG0001706	sp|Q9H1P3|OSBL2_HUMAN	tr|A0A8J6L603|A0A8J6L603_MICOH
OG0001707	sp|Q9Y5N1|HRH3_HUMAN	tr|A0A8J6GS00|A0A8J6GS00_MICOH
OG0001707	sp|Q9H3N8|HRH4_HUMAN	tr|A0A8J6GUX9|A0A8J6GUX9_MICOH
OG0001708	sp|Q8N6G2|TEX26_HUMAN	tr|A0A8J6G2C5|A0A8J6G2C5_MICOH
OG0001708	sp|Q8IV35|WDR49_HUMAN	tr|A0A8J6GGP1|A0A8J6GGP1_MICOH
OG0001709	sp|P11678|PERE_HUMAN	tr|A0A8J6FWI0|A0A8J6FWI0_MICOH
OG0001709	sp|P05164|PERM_HUMAN	tr|A0A8J6KZH5|A0A8J6KZH5_MICOH
OG0001710	sp|P21397|AOFA_HUMAN	tr|A0A8J6GFC2|A0A8J6GFC2_MICOH
OG0001710	sp|P27338|AOFB_HUMAN	tr|A0A8J6GDW5|A0A8J6GDW5_MICOH
OG0001711	sp|Q8TCQ1|MARH1_HUMAN	tr|A0A8J6G493|A0A8J6G493_MICOH
OG0001711	sp|Q5T0T0|MARH8_HUMAN	tr|A0A8J6GZB9|A0A8J6GZB9_MICOH
OG0001712	sp|P42679|MATK_HUMAN, sp|P41240|CSK_HUMAN	tr|A0A8J6G299|A0A8J6G299_MICOH, tr|A0A8J6KWT8|A0A8J6KWT8_MICOH
OG0001713	sp|Q9NPH2|INO1_HUMAN	tr|A0A8J6KTI1|A0A8J6KTI1_MICOH, tr|A0A8J6GK26|A0A8J6GK26_MICOH, tr|A0A8J6GEN8|A0A8J6GEN8_MICOH
OG0001714	sp|Q9UEW8|STK39_HUMAN	tr|A0A8J6FVZ3|A0A8J6FVZ3_MICOH
OG0001714	sp|O95747|OXSR1_HUMAN	tr|A0A8J6GCY3|A0A8J6GCY3_MICOH
OG0001715	sp|Q7RTX0|TS1R3_HUMAN	tr|A0A8J6GJF2|A0A8J6GJF2_MICOH, tr|A0A8J6L1J4|A0A8J6L1J4_MICOH, tr|A0A8J6KLW3|A0A8J6KLW3_MICOH
OG0001716	sp|O60884|DNJA2_HUMAN	tr|A0A8J6GYA1|A0A8J6GYA1_MICOH
OG0001716	sp|Q8WW22|DNJA4_HUMAN	tr|A0A8J6KKI0|A0A8J6KKI0_MICOH
OG0001717	sp|P38919|IF4A3_HUMAN	tr|A0A8J6GVC4|A0A8J6GVC4_MICOH, tr|A0A8J6KLP0|A0A8J6KLP0_MICOH, tr|A0A8J6L4C2|A0A8J6L4C2_MICOH
OG0001718	sp|Q16626|MEA1_HUMAN	tr|A0A8J6L8E1|A0A8J6L8E1_MICOH, tr|A0A8J6GSP1|A0A8J6GSP1_MICOH, tr|A0A8J6H234|A0A8J6H234_MICOH
OG0001719	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8J6KKT4|A0A8J6KKT4_MICOH, tr|A0A8J6KLI4|A0A8J6KLI4_MICOH, tr|A0A8J6FXC5|A0A8J6FXC5_MICOH
OG0001720	sp|P11388|TOP2A_HUMAN	tr|A0A8J6G0C0|A0A8J6G0C0_MICOH
OG0001720	sp|Q02880|TOP2B_HUMAN	tr|A0A8J6GMQ0|A0A8J6GMQ0_MICOH
OG0001721	sp|Q5VSL9|STRP1_HUMAN	tr|A0A8J6KKW3|A0A8J6KKW3_MICOH
OG0001721	sp|Q9ULQ0|STRP2_HUMAN	tr|A0A8J6GDJ2|A0A8J6GDJ2_MICOH
OG0001722	sp|Q6UX27|VSTM1_HUMAN, sp|Q6ISS4|LAIR2_HUMAN, sp|Q6GTX8|LAIR1_HUMAN	tr|A0A8J6G025|A0A8J6G025_MICOH
OG0001723	sp|Q9BW62|KATL1_HUMAN	tr|A0A8J6G6L6|A0A8J6G6L6_MICOH
OG0001723	sp|O75449|KTNA1_HUMAN	tr|A0A8J6KSL2|A0A8J6KSL2_MICOH
OG0001724	sp|P54727|RD23B_HUMAN	tr|A0A8J6GTS7|A0A8J6GTS7_MICOH
OG0001724	sp|P54725|RD23A_HUMAN	tr|A0A8J6H0B8|A0A8J6H0B8_MICOH
OG0001725	sp|Q8TCJ2|STT3B_HUMAN	tr|A0A8J6GYH9|A0A8J6GYH9_MICOH
OG0001725	sp|P46977|STT3A_HUMAN	tr|A0A8J6L1W4|A0A8J6L1W4_MICOH
OG0001726	sp|Q03252|LMNB2_HUMAN	tr|A0A8J6KYZ9|A0A8J6KYZ9_MICOH
OG0001726	sp|P20700|LMNB1_HUMAN	tr|A0A8J6KL88|A0A8J6KL88_MICOH
OG0001727	sp|Q9UEU0|VTI1B_HUMAN	tr|A0A8J6GIK5|A0A8J6GIK5_MICOH, tr|A0A8J6GSU5|A0A8J6GSU5_MICOH, tr|A0A8J6KZT2|A0A8J6KZT2_MICOH
OG0001728	sp|Q96EZ8|MCRS1_HUMAN	tr|A0A8J6KVE2|A0A8J6KVE2_MICOH, tr|A0A8J6G234|A0A8J6G234_MICOH, tr|A0A8J6KLJ8|A0A8J6KLJ8_MICOH
OG0001729	sp|Q99490|AGAP2_HUMAN	tr|A0A8J6H0A8|A0A8J6H0A8_MICOH, tr|A0A8J6KXE5|A0A8J6KXE5_MICOH, tr|A0A8J6GPD4|A0A8J6GPD4_MICOH
OG0001730	sp|Q9NWC5|TM45A_HUMAN	tr|A0A8J6GS42|A0A8J6GS42_MICOH
OG0001730	sp|A1A4G5|LNP1_HUMAN	tr|A0A8J6L100|A0A8J6L100_MICOH
OG0001731	sp|O43808|PM34_HUMAN	tr|A0A8J6KTE7|A0A8J6KTE7_MICOH, tr|A0A8J6KYA5|A0A8J6KYA5_MICOH, tr|A0A8J6GMQ7|A0A8J6GMQ7_MICOH
OG0001732	sp|P53677|AP3M2_HUMAN	tr|A0A8J6G296|A0A8J6G296_MICOH
OG0001732	sp|Q9Y2T2|AP3M1_HUMAN	tr|A0A8J6L4C6|A0A8J6L4C6_MICOH
OG0001733	sp|P12004|PCNA_HUMAN	tr|A0A8J6KPV9|A0A8J6KPV9_MICOH, tr|A0A8J6GN82|A0A8J6GN82_MICOH, tr|A0A8J6GNF4|A0A8J6GNF4_MICOH
OG0001734	sp|Q9Y6D5|BIG2_HUMAN	tr|A0A8J6GHP7|A0A8J6GHP7_MICOH
OG0001734	sp|Q9Y6D6|BIG1_HUMAN	tr|A0A8J6L5P6|A0A8J6L5P6_MICOH
OG0001735	sp|Q13404|UB2V1_HUMAN	tr|A0A8J6GIH6|A0A8J6GIH6_MICOH
OG0001735	sp|Q15819|UB2V2_HUMAN	tr|A0A8J6KYN5|A0A8J6KYN5_MICOH
OG0001736	sp|Q8NH18|OR5J2_HUMAN	tr|A0A8J6G5G8|A0A8J6G5G8_MICOH, tr|A0A8J6KU57|A0A8J6KU57_MICOH, tr|A0A8J6KR15|A0A8J6KR15_MICOH
OG0001737	sp|P61247|RS3A_HUMAN	tr|A0A8J6KSK0|A0A8J6KSK0_MICOH, tr|A0A8J6L0P3|A0A8J6L0P3_MICOH, tr|A0A8J6GPB8|A0A8J6GPB8_MICOH
OG0001738	sp|Q9NZ09|UBAP1_HUMAN	tr|A0A8J6G513|A0A8J6G513_MICOH, tr|A0A8J6GPR0|A0A8J6GPR0_MICOH, tr|A0A8J6G3A8|A0A8J6G3A8_MICOH
OG0001739	sp|P51148|RAB5C_HUMAN	tr|A0A8J6G1U3|A0A8J6G1U3_MICOH, tr|A0A8J6GZ94|A0A8J6GZ94_MICOH, tr|A0A8J6KW78|A0A8J6KW78_MICOH
OG0001740	sp|P61421|VA0D1_HUMAN	tr|A0A8J6GMB4|A0A8J6GMB4_MICOH, tr|A0A8J6G3X4|A0A8J6G3X4_MICOH, tr|A0A8J6GM37|A0A8J6GM37_MICOH
OG0001741	sp|O00629|IMA3_HUMAN, sp|O00505|IMA4_HUMAN	tr|A0A8J6KWG7|A0A8J6KWG7_MICOH, tr|A0A8J6GDJ7|A0A8J6GDJ7_MICOH
OG0001742	sp|Q96A32|MYL11_HUMAN	tr|A0A8J6GPQ9|A0A8J6GPQ9_MICOH
OG0001742	sp|P10916|MLRV_HUMAN	tr|A0A8J6KQE1|A0A8J6KQE1_MICOH
OG0001743	sp|Q9BVN2|RUSC1_HUMAN	tr|A0A8J6KX21|A0A8J6KX21_MICOH, tr|A0A8J6FXK4|A0A8J6FXK4_MICOH, tr|A0A8J6KVR8|A0A8J6KVR8_MICOH
OG0001744	sp|P61457|PHS_HUMAN	tr|A0A8J6L6X3|A0A8J6L6X3_MICOH
OG0001744	sp|Q9H0N5|PHS2_HUMAN	tr|A0A8J6G517|A0A8J6G517_MICOH
OG0001745	sp|Q9HD89|RETN_HUMAN, sp|Q9BQ08|RETNB_HUMAN	tr|A0A8J6L3Z1|A0A8J6L3Z1_MICOH, tr|A0A8J6KYG7|A0A8J6KYG7_MICOH
OG0001746	sp|Q8IX30|SCUB3_HUMAN	tr|A0A8J6GMH9|A0A8J6GMH9_MICOH
OG0001746	sp|Q9NQ36|SCUB2_HUMAN	tr|A0A8J6L538|A0A8J6L538_MICOH
OG0001747	sp|P08246|ELNE_HUMAN, sp|P20160|CAP7_HUMAN, sp|P24158|PRTN3_HUMAN	tr|A0A8J6GW50|A0A8J6GW50_MICOH
OG0001748	sp|P59510|ATS20_HUMAN	tr|A0A8J6FYI7|A0A8J6FYI7_MICOH
OG0001748	sp|Q9P2N4|ATS9_HUMAN	tr|A0A8J6GUZ3|A0A8J6GUZ3_MICOH
OG0001749	sp|Q63HN8|RN213_HUMAN	tr|A0A8J6L372|A0A8J6L372_MICOH, tr|A0A8J6L4D1|A0A8J6L4D1_MICOH, tr|A0A8J6L4N0|A0A8J6L4N0_MICOH
OG0001750	sp|Q9H6U6|BCAS3_HUMAN	tr|A0A8J6FYV9|A0A8J6FYV9_MICOH, tr|A0A8J6G058|A0A8J6G058_MICOH, tr|A0A8J6GN28|A0A8J6GN28_MICOH
OG0001751	sp|A0A2Z4LIS9|FXO3B_HUMAN, sp|P0CG31|Z286B_HUMAN, sp|O43524|FOXO3_HUMAN	tr|A0A8J6GCT6|A0A8J6GCT6_MICOH
OG0001752	sp|O14647|CHD2_HUMAN	tr|A0A8J6KS94|A0A8J6KS94_MICOH
OG0001752	sp|O14646|CHD1_HUMAN	tr|A0A8J6KKP1|A0A8J6KKP1_MICOH
OG0001753	sp|P53671|LIMK2_HUMAN	tr|A0A8J6L691|A0A8J6L691_MICOH, tr|A0A8J6G3W2|A0A8J6G3W2_MICOH, tr|A0A8J6FZ35|A0A8J6FZ35_MICOH
OG0001754	sp|Q8IUI8|CRLF3_HUMAN	tr|A0A8J6GJ58|A0A8J6GJ58_MICOH, tr|A0A8J6KT98|A0A8J6KT98_MICOH, tr|A0A8J6KVF5|A0A8J6KVF5_MICOH
OG0001755	sp|O00159|MYO1C_HUMAN	tr|A0A8J6GI54|A0A8J6GI54_MICOH
OG0001755	sp|Q8N1T3|MYO1H_HUMAN	tr|A0A8J6GU99|A0A8J6GU99_MICOH
OG0001756	sp|O15460|P4HA2_HUMAN	tr|A0A8J6GG43|A0A8J6GG43_MICOH
OG0001756	sp|P13674|P4HA1_HUMAN	tr|A0A8J6KZW4|A0A8J6KZW4_MICOH
OG0001757	sp|Q9Y224|RTRAF_HUMAN	tr|A0A8J6KZP4|A0A8J6KZP4_MICOH, tr|A0A8J6H075|A0A8J6H075_MICOH, tr|A0A8J6L0Y4|A0A8J6L0Y4_MICOH
OG0001758	sp|P16157|ANK1_HUMAN	tr|A0A8J6KRY6|A0A8J6KRY6_MICOH, tr|A0A8J6L812|A0A8J6L812_MICOH, tr|A0A8J6FXT7|A0A8J6FXT7_MICOH
OG0001759	sp|Q9BVG4|PBDC1_HUMAN	tr|A0A8J6FVT1|A0A8J6FVT1_MICOH, tr|A0A8J6L6N6|A0A8J6L6N6_MICOH, tr|A0A8J6L3L5|A0A8J6L3L5_MICOH
OG0001760	sp|P17707|DCAM_HUMAN	tr|A0A8J6G8R8|A0A8J6G8R8_MICOH, tr|A0A8J6GFZ7|A0A8J6GFZ7_MICOH, tr|A0A8J6G040|A0A8J6G040_MICOH
OG0001761	sp|Q96HE7|ERO1A_HUMAN	tr|A0A8J6KUB5|A0A8J6KUB5_MICOH
OG0001761	sp|Q86YB8|ERO1B_HUMAN	tr|A0A8J6GA97|A0A8J6GA97_MICOH
OG0001762	sp|O75909|CCNK_HUMAN	tr|A0A8J6G1R8|A0A8J6G1R8_MICOH, tr|A0A8J6G2D0|A0A8J6G2D0_MICOH, tr|A0A8J6G8E6|A0A8J6G8E6_MICOH
OG0001763	sp|Q01469|FABP5_HUMAN, sp|A8MUU1|FB5L3_HUMAN	tr|A0A8J6KN68|A0A8J6KN68_MICOH, tr|A0A8J6GB70|A0A8J6GB70_MICOH
OG0001764	sp|P46531|NOTC1_HUMAN	tr|A0A8J6G3G2|A0A8J6G3G2_MICOH
OG0001764	sp|Q99466|NOTC4_HUMAN	tr|A0A8J6G7R4|A0A8J6G7R4_MICOH
OG0001765	sp|Q9BTC8|MTA3_HUMAN	tr|A0A8J6GEJ4|A0A8J6GEJ4_MICOH
OG0001765	sp|Q13330|MTA1_HUMAN	tr|A0A8J6KUR6|A0A8J6KUR6_MICOH
OG0001766	sp|Q9P0M9|RM27_HUMAN	tr|A0A8J6FXT0|A0A8J6FXT0_MICOH, tr|A0A8J6L424|A0A8J6L424_MICOH, tr|A0A8J6GTN6|A0A8J6GTN6_MICOH
OG0001767	sp|O14561|ACPM_HUMAN	tr|A0A8J6GP02|A0A8J6GP02_MICOH, tr|A0A8J6G4S5|A0A8J6G4S5_MICOH, tr|A0A8J6H4E5|A0A8J6H4E5_MICOH
OG0001768	sp|P48735|IDHP_HUMAN	tr|A0A8J6G7F7|A0A8J6G7F7_MICOH
OG0001768	sp|O75874|IDHC_HUMAN	tr|A0A8J6GBT0|A0A8J6GBT0_MICOH
OG0001769	sp|Q86VQ6|TRXR3_HUMAN	tr|A0A8J6GUH5|A0A8J6GUH5_MICOH
OG0001769	sp|Q16881|TRXR1_HUMAN	tr|A0A8J6L1E4|A0A8J6L1E4_MICOH
OG0001770	sp|Q96LB9|PGRP3_HUMAN	tr|A0A8J6GQ03|A0A8J6GQ03_MICOH
OG0001770	sp|Q96LB8|PGRP4_HUMAN	tr|A0A8J6GPZ5|A0A8J6GPZ5_MICOH
OG0001771	sp|P50458|LHX2_HUMAN	tr|A0A8J6GY45|A0A8J6GY45_MICOH
OG0001771	sp|Q9NQ69|LHX9_HUMAN	tr|A0A8J6KX07|A0A8J6KX07_MICOH
OG0001772	sp|Q96QU6|1A1L1_HUMAN	tr|A0A8J6KJR7|A0A8J6KJR7_MICOH
OG0001772	sp|Q4AC99|1A1L2_HUMAN	tr|A0A8J6FU44|A0A8J6FU44_MICOH
OG0001773	sp|Q6PI25|CNIH2_HUMAN	tr|A0A8J6KRK8|A0A8J6KRK8_MICOH
OG0001773	sp|Q8TBE1|CNIH3_HUMAN	tr|A0A8J6GMC4|A0A8J6GMC4_MICOH
OG0001774	sp|Q13347|EIF3I_HUMAN	tr|A0A8J6L043|A0A8J6L043_MICOH, tr|A0A8J6GFL9|A0A8J6GFL9_MICOH, tr|A0A8J6FZR1|A0A8J6FZR1_MICOH
OG0001775	sp|O75593|FOXH1_HUMAN	tr|A0A8J6GXM7|A0A8J6GXM7_MICOH, tr|A0A8J6GD65|A0A8J6GD65_MICOH, tr|A0A8J6GDD1|A0A8J6GDD1_MICOH
OG0001776	sp|Q9NYU2|UGGG1_HUMAN	tr|A0A8J6KV45|A0A8J6KV45_MICOH
OG0001776	sp|Q9NYU1|UGGG2_HUMAN	tr|A0A8J6GUT2|A0A8J6GUT2_MICOH
OG0001777	sp|O43286|B4GT5_HUMAN	tr|A0A8J6GHQ0|A0A8J6GHQ0_MICOH
OG0001777	sp|Q9UBX8|B4GT6_HUMAN	tr|A0A8J6FWY4|A0A8J6FWY4_MICOH
OG0001778	sp|Q13084|RM28_HUMAN	tr|A0A8J6H2U4|A0A8J6H2U4_MICOH, tr|A0A8J6GWR1|A0A8J6GWR1_MICOH, tr|A0A8J6FW94|A0A8J6FW94_MICOH
OG0001779	sp|Q8NGF1|O52R1_HUMAN	tr|A0A8J6L5E7|A0A8J6L5E7_MICOH, tr|A0A8J6GPJ6|A0A8J6GPJ6_MICOH, tr|A0A8J6GNR6|A0A8J6GNR6_MICOH
OG0001780	sp|P35613|BASI_HUMAN	tr|A0A8J6GNA4|A0A8J6GNA4_MICOH, tr|A0A8J6GRD9|A0A8J6GRD9_MICOH, tr|A0A8J6G392|A0A8J6G392_MICOH
OG0001781	sp|Q8WXG8|S100Z_HUMAN	tr|A0A8J6L2R7|A0A8J6L2R7_MICOH, tr|A0A8J6KQ37|A0A8J6KQ37_MICOH, tr|A0A8J6KQL1|A0A8J6KQL1_MICOH
OG0001782	sp|O75157|T22D2_HUMAN	tr|A0A8J6KUB0|A0A8J6KUB0_MICOH, tr|A0A8J6GVI8|A0A8J6GVI8_MICOH, tr|A0A8J6L0T4|A0A8J6L0T4_MICOH
OG0001783	sp|P36969|GPX4_HUMAN	tr|A0A8J6KSU7|A0A8J6KSU7_MICOH, tr|A0A8J6GN06|A0A8J6GN06_MICOH, tr|A0A8J6GDY4|A0A8J6GDY4_MICOH
OG0001784	sp|Q02846|GUC2D_HUMAN	tr|A0A8J6FWL6|A0A8J6FWL6_MICOH, tr|A0A8J6GB01|A0A8J6GB01_MICOH, tr|A0A8J6GJ83|A0A8J6GJ83_MICOH
OG0001785	sp|Q9UBE0|SAE1_HUMAN	tr|A0A8J6G1U2|A0A8J6G1U2_MICOH, tr|A0A8J6KRY0|A0A8J6KRY0_MICOH, tr|A0A8J6KWZ6|A0A8J6KWZ6_MICOH
OG0001786	sp|P19827|ITIH1_HUMAN	tr|A0A8J6G009|A0A8J6G009_MICOH
OG0001786	sp|Q06033|ITIH3_HUMAN	tr|A0A8J6GM19|A0A8J6GM19_MICOH
OG0001787	sp|Q9H9L7|AKIR1_HUMAN	tr|A0A8J6G2Q2|A0A8J6G2Q2_MICOH
OG0001787	sp|Q53H80|AKIR2_HUMAN	tr|A0A8J6L5J9|A0A8J6L5J9_MICOH
OG0001788	sp|Q9H8H3|MET7A_HUMAN	tr|A0A8J6GH10|A0A8J6GH10_MICOH, tr|A0A8J6GHP3|A0A8J6GHP3_MICOH, tr|A0A8J6GD23|A0A8J6GD23_MICOH
OG0001789	sp|Q9UJS0|S2513_HUMAN	tr|A0A8J6KRV9|A0A8J6KRV9_MICOH
OG0001789	sp|O75746|S2512_HUMAN	tr|A0A8J6KIZ7|A0A8J6KIZ7_MICOH
OG0001790	sp|P02654|APOC1_HUMAN	tr|A0A8J6KR95|A0A8J6KR95_MICOH, tr|A0A8J6GYD7|A0A8J6GYD7_MICOH, tr|A0A8J6KSC1|A0A8J6KSC1_MICOH
OG0001791	sp|Q8NF64|ZMIZ2_HUMAN	tr|A0A8J6GT16|A0A8J6GT16_MICOH, tr|A0A8J6GW57|A0A8J6GW57_MICOH, tr|A0A8J6GWL1|A0A8J6GWL1_MICOH
OG0001792	sp|P04629|NTRK1_HUMAN	tr|A0A8J6KNC8|A0A8J6KNC8_MICOH, tr|A0A8J6GCV4|A0A8J6GCV4_MICOH, tr|A0A8J6KWP9|A0A8J6KWP9_MICOH
OG0001793	sp|P12270|TPR_HUMAN	tr|A0A8J6KVX6|A0A8J6KVX6_MICOH, tr|A0A8J6G2G5|A0A8J6G2G5_MICOH, tr|A0A8J6L1K1|A0A8J6L1K1_MICOH
OG0001794	sp|Q96NC0|ZMAT2_HUMAN	tr|A0A8J6KQQ0|A0A8J6KQQ0_MICOH, tr|A0A8J6G9H7|A0A8J6G9H7_MICOH, tr|A0A8J6L4Y5|A0A8J6L4Y5_MICOH
OG0001795	sp|Q14789|GOGB1_HUMAN	tr|A0A8J6FYZ0|A0A8J6FYZ0_MICOH, tr|A0A8J6KUN2|A0A8J6KUN2_MICOH, tr|A0A8J6G2K8|A0A8J6G2K8_MICOH
OG0001810	sp|O96009|NAPSA_HUMAN, sp|P07339|CATD_HUMAN	tr|A0A8J6KQT4|A0A8J6KQT4_MICOH
OG0001811	sp|P17081|RHOQ_HUMAN, sp|Q9H4E5|RHOJ_HUMAN	tr|A0A8J6H1G6|A0A8J6H1G6_MICOH
OG0001812	sp|P37088|SCNNA_HUMAN, sp|P51172|SCNND_HUMAN	tr|A0A8J6H249|A0A8J6H249_MICOH
OG0001813	sp|P0C7T5|ATX1L_HUMAN, sp|P54253|ATX1_HUMAN	tr|A0A8J6GHQ2|A0A8J6GHQ2_MICOH
OG0001814	sp|Q13214|SEM3B_HUMAN	tr|A0A8J6G2W1|A0A8J6G2W1_MICOH, tr|A0A8J6KR70|A0A8J6KR70_MICOH
OG0001815	sp|Q5TF39|MFS4B_HUMAN	tr|A0A8J6GD56|A0A8J6GD56_MICOH, tr|A0A8J6GBL9|A0A8J6GBL9_MICOH
OG0001816	sp|O95863|SNAI1_HUMAN, sp|Q6ZNH5|ZN497_HUMAN	tr|A0A8J6GHQ8|A0A8J6GHQ8_MICOH
OG0001817	sp|A6PVY3|F177B_HUMAN, sp|Q8N128|F177A_HUMAN	tr|A0A8J6L3G2|A0A8J6L3G2_MICOH
OG0001818	sp|Q93050|VPP1_HUMAN, sp|Q9HBG4|VPP4_HUMAN	tr|A0A8J6KM73|A0A8J6KM73_MICOH
OG0001819	sp|A8MXE2|B3GT9_HUMAN, sp|Q9BYG0|B3GN5_HUMAN	tr|A0A8J6KWU0|A0A8J6KWU0_MICOH
OG0001820	sp|Q9BZE3|BARH1_HUMAN	tr|A0A8J6G117|A0A8J6G117_MICOH, tr|A0A8J6KWE0|A0A8J6KWE0_MICOH
OG0001821	sp|Q9NVZ3|NECP2_HUMAN	tr|A0A8J6GWW6|A0A8J6GWW6_MICOH, tr|A0A8J6GNB8|A0A8J6GNB8_MICOH
OG0001822	sp|O14867|BACH1_HUMAN	tr|A0A8J6KP87|A0A8J6KP87_MICOH, tr|A0A8J6G661|A0A8J6G661_MICOH
OG0001823	sp|O75387|LAT3_HUMAN	tr|A0A8J6GM44|A0A8J6GM44_MICOH, tr|A0A8J6KZ72|A0A8J6KZ72_MICOH
OG0001824	sp|P59797|SELV_HUMAN, sp|P63302|SELW_HUMAN	tr|A0A8J6KMS0|A0A8J6KMS0_MICOH
OG0001826	sp|Q96LY2|CC74B_HUMAN, sp|Q96AQ1|CC74A_HUMAN	tr|A0A8J6G987|A0A8J6G987_MICOH
OG0001827	sp|Q5M7Z0|RNFT1_HUMAN, sp|Q96EX2|RNFT2_HUMAN	tr|A0A8J6GP67|A0A8J6GP67_MICOH
OG0001828	sp|Q9BRP4|PAAF1_HUMAN, sp|Q86TI4|WDR86_HUMAN	tr|A0A8J6KZB9|A0A8J6KZB9_MICOH
OG0001829	sp|Q9HA64|KT3K_HUMAN, sp|Q9H479|FN3K_HUMAN	tr|A0A8J6GVB3|A0A8J6GVB3_MICOH
OG0001830	sp|Q9NRS4|TMPS4_HUMAN	tr|A0A8J6L980|A0A8J6L980_MICOH, tr|A0A8J6GPB7|A0A8J6GPB7_MICOH
OG0001831	sp|Q9NSD7|RL3R1_HUMAN, sp|Q8TDU9|RL3R2_HUMAN	tr|A0A8J6KTW2|A0A8J6KTW2_MICOH
