Orthogroup	Homo_sapiens	Theropithecus_gelada
OG0001639	sp|P30953|OR1E1_HUMAN	tr|A0A8D2FHB8|A0A8D2FHB8_THEGE, tr|A0A8D2FIM9|A0A8D2FIM9_THEGE
OG0001640	sp|Q75LS8|FKB9L_HUMAN, sp|O95302|FKBP9_HUMAN	tr|A0A8D2FM55|A0A8D2FM55_THEGE
OG0001641	sp|Q7Z4J2|GL6D1_HUMAN	tr|A0A8D2GAG1|A0A8D2GAG1_THEGE, tr|A0A8D2EY69|A0A8D2EY69_THEGE
OG0001642	sp|A8MT19|RHN2P_HUMAN, sp|Q8IUC4|RHPN2_HUMAN	tr|A0A8D2FD49|A0A8D2FD49_THEGE
OG0001643	sp|Q86US8|EST1A_HUMAN, sp|Q9UPR3|SMG5_HUMAN	tr|A0A8D2FCM9|A0A8D2FCM9_THEGE
OG0001644	sp|Q4ZJI4|SL9B1_HUMAN, sp|A6NJY1|SL9P1_HUMAN	tr|A0A8D2GBT0|A0A8D2GBT0_THEGE
OG0001645	sp|P08579|RU2B_HUMAN	tr|A0A8D2K3Q4|A0A8D2K3Q4_THEGE, tr|A0A8D2GI71|A0A8D2GI71_THEGE
OG0001646	sp|Q6ZN11|ZN793_HUMAN	tr|A0A8D2ENQ3|A0A8D2ENQ3_THEGE, tr|A0A8D2FQ50|A0A8D2FQ50_THEGE
OG0001647	sp|A0A096LP55|QCR6L_HUMAN, sp|P07919|QCR6_HUMAN	tr|A0A8D2E515|A0A8D2E515_THEGE
OG0001648	sp|O00743|PPP6_HUMAN	tr|A0A8D2FDR1|A0A8D2FDR1_THEGE, tr|A0A8D2G5D4|A0A8D2G5D4_THEGE
OG0001649	sp|E9PQ53|NDUCR_HUMAN, sp|O95298|NDUC2_HUMAN	tr|A0A8D2EB43|A0A8D2EB43_THEGE
OG0001650	sp|P0DMS8|AA3R_HUMAN, sp|P30542|AA1R_HUMAN	tr|A0A8D2FKM7|A0A8D2FKM7_THEGE
OG0001651	sp|Q075Z2|BSPH1_HUMAN	tr|A0A8D2K7I7|A0A8D2K7I7_THEGE, tr|A0A8D2G5B8|A0A8D2G5B8_THEGE
OG0001652	sp|P26927|HGFL_HUMAN, sp|Q2TV78|MST1L_HUMAN	tr|A0A8D2ELF4|A0A8D2ELF4_THEGE
OG0001653	sp|Q6NZ67|MZT2B_HUMAN, sp|Q6P582|MZT2A_HUMAN	tr|A0A8D2GL41|A0A8D2GL41_THEGE
OG0001654	sp|A4D256|CC14C_HUMAN, sp|O60729|CC14B_HUMAN	tr|A0A8D2EKC9|A0A8D2EKC9_THEGE
OG0001655	sp|Q08380|LG3BP_HUMAN, sp|A6NE02|BTBDH_HUMAN	tr|A0A8D2EKT6|A0A8D2EKT6_THEGE
OG0001656	sp|O15379|HDAC3_HUMAN	tr|A0A8D2FSP3|A0A8D2FSP3_THEGE, tr|A0A8D2G7F4|A0A8D2G7F4_THEGE
OG0001657	sp|P25940|CO5A3_HUMAN, sp|P20908|CO5A1_HUMAN	tr|A0A8D2EWE9|A0A8D2EWE9_THEGE
OG0001658	sp|P51003|PAPOA_HUMAN, sp|Q9NRJ5|PAPOB_HUMAN	tr|A0A8D2EHI6|A0A8D2EHI6_THEGE
OG0001659	sp|Q6ZUB1|S31E1_HUMAN	tr|A0A8D2JUI5|A0A8D2JUI5_THEGE, tr|A0A8D2EA85|A0A8D2EA85_THEGE
OG0001660	sp|Q8TAG6|VEXIN_HUMAN	tr|A0A8D2FZP7|A0A8D2FZP7_THEGE, tr|A0A8D2FSK4|A0A8D2FSK4_THEGE
OG0001661	sp|Q8TCY9|URGCP_HUMAN, sp|Q7Z2Y8|GVIN1_HUMAN	tr|A0A8D2F841|A0A8D2F841_THEGE
OG0001662	sp|Q99675|CGRF1_HUMAN	tr|A0A8D2ENA3|A0A8D2ENA3_THEGE, tr|A0A8D2EXL1|A0A8D2EXL1_THEGE
OG0001663	sp|Q9UMW8|UBP18_HUMAN, sp|Q3LFD5|UBP41_HUMAN	tr|A0A8D2E5I6|A0A8D2E5I6_THEGE
OG0001664	tr|A0A3B3IT34|A0A3B3IT34_HUMAN, sp|P0DV60|LCE7A_HUMAN	tr|A0A8D2FL32|A0A8D2FL32_THEGE
OG0001665	sp|Q08648|SG11B_HUMAN, sp|Q6PDA7|SG11A_HUMAN	tr|A0A8D2F3H5|A0A8D2F3H5_THEGE
OG0001666	sp|Q9NP50|SHCAF_HUMAN	tr|A0A8D2GEY9|A0A8D2GEY9_THEGE, tr|A0A8D2GIU7|A0A8D2GIU7_THEGE
OG0001667	sp|Q9NQP4|PFD4_HUMAN	tr|A0A8D2FW34|A0A8D2FW34_THEGE, tr|A0A8D2FBX3|A0A8D2FBX3_THEGE
OG0001668	sp|Q9UBQ5|EIF3K_HUMAN	tr|A0A8D2FNJ8|A0A8D2FNJ8_THEGE, tr|A0A8D2EEH1|A0A8D2EEH1_THEGE
OG0001669	sp|Q9Y5N5|N6MT1_HUMAN	tr|A0A8D2EQB4|A0A8D2EQB4_THEGE, tr|A0A8D2GAU8|A0A8D2GAU8_THEGE
OG0001670	sp|A0A1W2PQ72|MSD7_HUMAN, sp|Q8IWY8|ZSC29_HUMAN	tr|A0A8D2EJK3|A0A8D2EJK3_THEGE
OG0001672	sp|O95476|CNEP1_HUMAN	tr|A0A8D2G4Z4|A0A8D2G4Z4_THEGE, tr|A0A8D2FV51|A0A8D2FV51_THEGE
OG0001673	sp|Q13526|PIN1_HUMAN, sp|O15428|PINL_HUMAN	tr|A0A8D2K7P0|A0A8D2K7P0_THEGE
OG0001674	sp|O95361|TRI16_HUMAN, sp|Q309B1|TR16L_HUMAN	tr|A0A8D2E598|A0A8D2E598_THEGE
OG0001675	sp|Q76FK4|NOL8_HUMAN	tr|A0A8D2FQE8|A0A8D2FQE8_THEGE, tr|A0A8D2ECQ7|A0A8D2ECQ7_THEGE
OG0001676	sp|Q86VZ5|SMS1_HUMAN, sp|Q8NHU3|SMS2_HUMAN	tr|A0A8D2E7U3|A0A8D2E7U3_THEGE
OG0001677	sp|Q9BUR5|MIC26_HUMAN	tr|A0A8D2FST5|A0A8D2FST5_THEGE, tr|A0A8D2FY89|A0A8D2FY89_THEGE
OG0001678	sp|Q9H0Z9|RBM38_HUMAN	tr|A0A8D2F5J8|A0A8D2F5J8_THEGE, tr|A0A8D2G0G5|A0A8D2G0G5_THEGE
OG0001679	sp|Q9BSA4|TTYH2_HUMAN, sp|Q9H313|TTYH1_HUMAN	tr|A0A8D2EYY6|A0A8D2EYY6_THEGE
OG0001680	sp|Q9Y4G2|PKHM1_HUMAN	tr|A0A8D2G7X4|A0A8D2G7X4_THEGE, tr|A0A8D2K3W1|A0A8D2K3W1_THEGE
OG0001681	sp|P15923|TFE2_HUMAN	tr|A0A8D2F275|A0A8D2F275_THEGE, tr|A0A8D2FMY0|A0A8D2FMY0_THEGE
OG0001682	sp|Q16663|CCL15_HUMAN, sp|P55773|CCL23_HUMAN	tr|A0A8D2FJA4|A0A8D2FJA4_THEGE
OG0001683	sp|Q8IVW1|ARL17_HUMAN, tr|A0A0G2JMH3|A0A0G2JMH3_HUMAN	tr|A0A8D2FIV6|A0A8D2FIV6_THEGE
OG0001684	sp|P0CG30|GSTT2_HUMAN, sp|P0CG29|GST2_HUMAN	tr|A0A8D2GJ65|A0A8D2GJ65_THEGE
OG0001685	sp|Q63HM9|PLCX3_HUMAN, sp|Q0VAA5|PLCX2_HUMAN	tr|A0A8D2EYG6|A0A8D2EYG6_THEGE
OG0001686	sp|Q7Z7M9|GALT5_HUMAN	tr|A0A8D2K580|A0A8D2K580_THEGE, tr|A0A8D2FTR9|A0A8D2FTR9_THEGE
OG0001687	sp|Q9NV06|DCA13_HUMAN	tr|A0A8D2FEX7|A0A8D2FEX7_THEGE, tr|A0A8D2JW45|A0A8D2JW45_THEGE
OG0001688	sp|O14862|AIM2_HUMAN, sp|W6CW81|PYDC5_HUMAN	tr|A0A8D2EF82|A0A8D2EF82_THEGE
OG0001689	sp|Q9NX95|SYBU_HUMAN, sp|O15079|SNPH_HUMAN	tr|A0A8D2EK39|A0A8D2EK39_THEGE
OG0001690	sp|P12525|MYCP1_HUMAN, sp|P12524|MYCL_HUMAN	tr|A0A8D2G3C2|A0A8D2G3C2_THEGE
OG0001691	sp|P58180|OR4D2_HUMAN, sp|Q15615|OR4D1_HUMAN	tr|A0A8D2G219|A0A8D2G219_THEGE
OG0001692	sp|Q8N878|FRMD1_HUMAN, sp|Q96NE9|FRMD6_HUMAN	tr|A0A8D2EUU3|A0A8D2EUU3_THEGE
OG0001693	sp|Q8WWP7|GIMA1_HUMAN	tr|A0A8D2EC67|A0A8D2EC67_THEGE, tr|A0A8D2JVR5|A0A8D2JVR5_THEGE
OG0001694	sp|Q96EY4|TMA16_HUMAN	tr|A0A8D2FM24|A0A8D2FM24_THEGE, tr|A0A8D2FMB3|A0A8D2FMB3_THEGE
OG0001695	sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN	tr|A0A8D2EIN5|A0A8D2EIN5_THEGE
OG0001696	sp|P00918|CAH2_HUMAN, sp|P43166|CAH7_HUMAN	tr|A0A8D2G8F1|A0A8D2G8F1_THEGE
OG0001697	sp|Q13405|RM49_HUMAN	tr|A0A8D2EXX0|A0A8D2EXX0_THEGE, tr|A0A8D2JZ95|A0A8D2JZ95_THEGE
OG0001698	sp|Q16352|AINX_HUMAN	tr|A0A8D2JYE5|A0A8D2JYE5_THEGE, tr|A0A8D2FPR6|A0A8D2FPR6_THEGE
OG0001699	sp|Q8NC54|KCT2_HUMAN	tr|A0A8D2FS36|A0A8D2FS36_THEGE, tr|A0A8D2G439|A0A8D2G439_THEGE
OG0001700	sp|Q96HM7|PED1B_HUMAN	tr|A0A8D2EJX7|A0A8D2EJX7_THEGE, tr|A0A8D2G3N0|A0A8D2G3N0_THEGE
OG0001701	sp|Q9ULW3|ABT1_HUMAN	tr|A0A8D2E918|A0A8D2E918_THEGE, tr|A0A8D2GAH9|A0A8D2GAH9_THEGE
OG0001702	sp|P14651|HXB3_HUMAN, sp|O43365|HXA3_HUMAN	tr|A0A8D2FT59|A0A8D2FT59_THEGE
OG0001703	sp|P19388|RPAB1_HUMAN	tr|A0A8D2EY42|A0A8D2EY42_THEGE, tr|A0A8D2FGH9|A0A8D2FGH9_THEGE
OG0001704	sp|Q96IU4|ABHEB_HUMAN, sp|Q9BUJ0|ABHEA_HUMAN	tr|A0A8D2ECC6|A0A8D2ECC6_THEGE
OG0001705	sp|Q9NY27|PP4R2_HUMAN	tr|A0A8D2FYX3|A0A8D2FYX3_THEGE, tr|A0A8D2FGZ3|A0A8D2FGZ3_THEGE
OG0001706	sp|Q7RTU9|STRC_HUMAN, sp|A6NGW2|STRCL_HUMAN	tr|A0A8D2GC75|A0A8D2GC75_THEGE
OG0001707	sp|O76031|CLPX_HUMAN	tr|A0A8D2FVZ0|A0A8D2FVZ0_THEGE, tr|A0A8D2G1Q7|A0A8D2G1Q7_THEGE
OG0001708	sp|P0CB48|UBFL6_HUMAN, sp|P0CB47|UBFL1_HUMAN	tr|A0A8D2ETI6|A0A8D2ETI6_THEGE
OG0001709	sp|Q86XT9|TM219_HUMAN	tr|A0A8D2K1D0|A0A8D2K1D0_THEGE, tr|A0A8D2K8C4|A0A8D2K8C4_THEGE
OG0001710	sp|Q96AT9|RPE_HUMAN, sp|Q2QD12|RPEL1_HUMAN	tr|A0A8D2EIA6|A0A8D2EIA6_THEGE
OG0001711	sp|P78508|KCJ10_HUMAN, sp|Q99712|KCJ15_HUMAN	tr|A0A8D2EYQ9|A0A8D2EYQ9_THEGE
OG0001712	sp|Q5H9B9|BM2KL_HUMAN, sp|Q9NSY1|BMP2K_HUMAN	tr|A0A8D2EVX7|A0A8D2EVX7_THEGE
OG0001713	sp|O00180|KCNK1_HUMAN, sp|Q9Y2U2|KCNK7_HUMAN	tr|A0A8D2F5W9|A0A8D2F5W9_THEGE
OG0001714	sp|O75095|MEGF6_HUMAN, sp|Q0D2K5|EGFEM_HUMAN	tr|A0A8D2F4X0|A0A8D2F4X0_THEGE
OG0001715	sp|P0C7U3|ZH11B_HUMAN, sp|Q9H8X9|ZDH11_HUMAN	tr|A0A8D2GB82|A0A8D2GB82_THEGE
OG0001716	sp|P15289|ARSA_HUMAN	tr|A0A8D2GNI4|A0A8D2GNI4_THEGE, tr|A0A8D2GKG7|A0A8D2GKG7_THEGE
OG0001717	sp|Q86VY9|T200A_HUMAN, sp|A6NKL6|T200C_HUMAN	tr|A0A8D2EVK0|A0A8D2EVK0_THEGE
OG0001718	sp|A6NKX1|F223B_HUMAN, sp|Q8IWN6|F223A_HUMAN	tr|A0A8D2FDT4|A0A8D2FDT4_THEGE
OG0001719	sp|Q9Y4E5|ZN451_HUMAN, sp|Q9HCI6|K1586_HUMAN	tr|A0A8D2ET59|A0A8D2ET59_THEGE
OG0001720	sp|A6NJ78|MET15_HUMAN, sp|P0C7V9|ME15P_HUMAN	tr|A0A8D2EGS6|A0A8D2EGS6_THEGE
OG0001721	sp|P78417|GSTO1_HUMAN	tr|A0A8D2FZR7|A0A8D2FZR7_THEGE, tr|A0A8D2GCZ1|A0A8D2GCZ1_THEGE
OG0001722	sp|Q5T2W1|NHRF3_HUMAN, sp|A8MUH7|PDZ1P_HUMAN	tr|A0A8D2EVQ7|A0A8D2EVQ7_THEGE
OG0001723	sp|Q5TYW1|ZN658_HUMAN, sp|Q4V348|Z658B_HUMAN	tr|A0A8D2EDB2|A0A8D2EDB2_THEGE
OG0001724	sp|Q8IXT5|RB12B_HUMAN, sp|Q9NTZ6|RBM12_HUMAN	tr|A0A8D2G8V6|A0A8D2G8V6_THEGE
OG0001725	sp|Q9NY26|S39A1_HUMAN	tr|A0A8D2ERP3|A0A8D2ERP3_THEGE, tr|A0A8D2FKQ1|A0A8D2FKQ1_THEGE
OG0001726	sp|Q9UL19|PLAT4_HUMAN	tr|A0A8D2FBY6|A0A8D2FBY6_THEGE, tr|A0A8D2FAJ8|A0A8D2FAJ8_THEGE
OG0001727	sp|O14544|SOCS6_HUMAN, sp|O14512|SOCS7_HUMAN	tr|A0A8D2EKB3|A0A8D2EKB3_THEGE
OG0001728	sp|Q15834|CC85B_HUMAN	tr|A0A8D2FCQ2|A0A8D2FCQ2_THEGE, tr|A0A8D2ENU0|A0A8D2ENU0_THEGE
OG0001729	sp|O43674|NDUB5_HUMAN	tr|A0A8D2G0B3|A0A8D2G0B3_THEGE, tr|A0A8D2GDF4|A0A8D2GDF4_THEGE
OG0001730	sp|P54819|KAD2_HUMAN	tr|A0A8D2K0E7|A0A8D2K0E7_THEGE, tr|A0A8D2FDY8|A0A8D2FDY8_THEGE
OG0001731	sp|O14493|CLD4_HUMAN, sp|P56747|CLD6_HUMAN	tr|A0A8D2JVU9|A0A8D2JVU9_THEGE
OG0001732	sp|Q6UXV4|MIC27_HUMAN	tr|A0A8D2GBE7|A0A8D2GBE7_THEGE, tr|A0A8D2EC14|A0A8D2EC14_THEGE
OG0001733	sp|Q06055|AT5G2_HUMAN	tr|A0A8D2JYW0|A0A8D2JYW0_THEGE, tr|A0A8D2EW24|A0A8D2EW24_THEGE
OG0001734	sp|Q9BYR6|KRA33_HUMAN, sp|Q9BYR7|KRA32_HUMAN	tr|A0A8D2ER23|A0A8D2ER23_THEGE
OG0001735	sp|O75787|RENR_HUMAN	tr|A0A8D2FWF4|A0A8D2FWF4_THEGE, tr|A0A8D2ERD2|A0A8D2ERD2_THEGE
OG0001736	sp|B7ZAQ6|GPHRA_HUMAN, sp|P0CG08|GPHRB_HUMAN	tr|A0A8D2EUV6|A0A8D2EUV6_THEGE
OG0001737	sp|Q496Y0|LONF3_HUMAN, sp|Q6PID6|TTC33_HUMAN	tr|A0A8D2FPE1|A0A8D2FPE1_THEGE
OG0001738	sp|Q86T20|SIM29_HUMAN, sp|Q9UK00|CC018_HUMAN	tr|A0A8D2JVH2|A0A8D2JVH2_THEGE
OG0001739	sp|Q8NH51|OR8K3_HUMAN	tr|A0A8D2G2Q7|A0A8D2G2Q7_THEGE, tr|A0A8D2G2R5|A0A8D2G2R5_THEGE
OG0001740	sp|Q92905|CSN5_HUMAN	tr|A0A8D2FV88|A0A8D2FV88_THEGE, tr|A0A8D2FVC0|A0A8D2FVC0_THEGE
OG0001741	sp|Q8N3X6|LCORL_HUMAN, sp|Q96JN0|LCOR_HUMAN	tr|A0A8D2FCL5|A0A8D2FCL5_THEGE
OG0001742	sp|O14595|CTDS2_HUMAN	tr|A0A8D2G9E2|A0A8D2G9E2_THEGE, tr|A0A8D2FQW8|A0A8D2FQW8_THEGE
OG0001743	sp|Q66PJ3|AR6P4_HUMAN	tr|A0A8D2JXF5|A0A8D2JXF5_THEGE, tr|A0A8D2GF88|A0A8D2GF88_THEGE
OG0001744	sp|Q96P71|NECA3_HUMAN	tr|A0A8D2E433|A0A8D2E433_THEGE, tr|A0A8D2EMM9|A0A8D2EMM9_THEGE
OG0001745	sp|Q6TCH4|PAQR6_HUMAN, sp|Q9NXK6|PAQR5_HUMAN	tr|A0A8D2G6Y4|A0A8D2G6Y4_THEGE
OG0001746	sp|Q9NZV7|ZIM2_HUMAN, sp|Q9GZU2|PEG3_HUMAN	tr|A0A8D2F9K3|A0A8D2F9K3_THEGE
OG0001747	sp|Q9UBS8|RNF14_HUMAN	tr|A0A8D2EDH3|A0A8D2EDH3_THEGE, tr|A0A8D2G8C2|A0A8D2G8C2_THEGE
OG0001748	sp|O00161|SNP23_HUMAN	tr|A0A8D2FHF3|A0A8D2FHF3_THEGE, tr|A0A8D2EII7|A0A8D2EII7_THEGE
OG0001749	sp|O15305|PMM2_HUMAN	tr|A0A8D2GDU2|A0A8D2GDU2_THEGE, tr|A0A8D2EX34|A0A8D2EX34_THEGE
OG0001750	sp|P04003|C4BPA_HUMAN	tr|A0A8D2F171|A0A8D2F171_THEGE, tr|A0A8D2F3C1|A0A8D2F3C1_THEGE
OG0001751	sp|Q02543|RL18A_HUMAN	tr|A0A8D2FW85|A0A8D2FW85_THEGE, tr|A0A8D2F764|A0A8D2F764_THEGE
OG0001752	sp|Q8NCN2|ZBT34_HUMAN, sp|Q5TC79|ZBT37_HUMAN	tr|A0A8D2ECL2|A0A8D2ECL2_THEGE
OG0001753	sp|Q9H0R4|HDHD2_HUMAN	tr|A0A8D2E308|A0A8D2E308_THEGE, tr|A0A8D2G5G7|A0A8D2G5G7_THEGE
OG0001754	sp|Q8NCH0|CHSTE_HUMAN, sp|Q9NPF2|CHSTB_HUMAN	tr|A0A8D2JZH7|A0A8D2JZH7_THEGE
OG0001755	sp|Q9UNS2|CSN3_HUMAN	tr|A0A8D2GB42|A0A8D2GB42_THEGE, tr|A0A8D2EIM9|A0A8D2EIM9_THEGE
OG0001756	sp|E5RIL1|UPKL2_HUMAN, sp|B0FP48|UPK3L_HUMAN	tr|A0A8D2EIW0|A0A8D2EIW0_THEGE
OG0001757	sp|O00165|HAX1_HUMAN	tr|A0A8D2FUY8|A0A8D2FUY8_THEGE, tr|A0A8D2ENR6|A0A8D2ENR6_THEGE
OG0001758	sp|O75444|MAF_HUMAN, sp|Q9Y5Q3|MAFB_HUMAN	tr|A0A8D2FUB3|A0A8D2FUB3_THEGE
OG0001759	sp|O75452|RDH16_HUMAN	tr|A0A8D2FCJ3|A0A8D2FCJ3_THEGE, tr|A0A8D2FEB9|A0A8D2FEB9_THEGE
OG0001760	sp|P02741|CRP_HUMAN	tr|A0A8D2EB44|A0A8D2EB44_THEGE, tr|A0A8D2JWB5|A0A8D2JWB5_THEGE
OG0001761	sp|P09093|CEL3A_HUMAN, sp|P08861|CEL3B_HUMAN	tr|A0A8D2ECP2|A0A8D2ECP2_THEGE
OG0001762	sp|Q9H1M0|N62CL_HUMAN, sp|P37198|NUP62_HUMAN	tr|A0A8D2FCI5|A0A8D2FCI5_THEGE
OG0001763	sp|Q6UWV6|ENPP7_HUMAN	tr|A0A8D2EVH7|A0A8D2EVH7_THEGE, tr|A0A8D2EP77|A0A8D2EP77_THEGE
OG0001764	sp|Q8TAD7|OCC1_HUMAN	tr|A0A8D2F9H0|A0A8D2F9H0_THEGE, tr|A0A8D2F0Y3|A0A8D2F0Y3_THEGE
OG0001765	sp|Q9BPX1|DHB14_HUMAN, sp|Q9BUT1|DHRS6_HUMAN	tr|A0A8D2GDP9|A0A8D2GDP9_THEGE
OG0001766	sp|Q9H300|PARL_HUMAN	tr|A0A8D2G5Z0|A0A8D2G5Z0_THEGE, tr|A0A8D2EGV2|A0A8D2EGV2_THEGE
OG0001767	sp|Q6ZV70|LANC3_HUMAN, sp|Q9NS86|LANC2_HUMAN	tr|A0A8D2EFF7|A0A8D2EFF7_THEGE
OG0001768	sp|Q9Y5P3|RAI2_HUMAN, sp|A7XYQ1|SOBP_HUMAN	tr|A0A8D2G682|A0A8D2G682_THEGE
OG0001769	sp|O00507|USP9Y_HUMAN, sp|Q93008|USP9X_HUMAN	tr|A0A8D2EXW8|A0A8D2EXW8_THEGE
OG0001770	sp|P01298|PAHO_HUMAN	tr|A0A8D2EQ15|A0A8D2EQ15_THEGE, tr|A0A8D2F9H2|A0A8D2F9H2_THEGE
OG0001771	sp|P09131|P3_HUMAN, sp|Q5PT55|NTCP5_HUMAN	tr|A0A8D2G3E1|A0A8D2G3E1_THEGE
OG0001772	sp|P54257|HAP1_HUMAN, sp|Q9UPV9|TRAK1_HUMAN	tr|A0A8D2FCW6|A0A8D2FCW6_THEGE
OG0001774	sp|Q14094|CCNI_HUMAN, sp|Q6ZMN8|CCNI2_HUMAN	tr|A0A8D2F499|A0A8D2F499_THEGE
OG0001775	sp|Q6UY14|ATL4_HUMAN, sp|Q6ZMP0|THSD4_HUMAN	tr|A0A8D2F8V2|A0A8D2F8V2_THEGE
OG0001776	sp|Q6ZQQ6|WDR87_HUMAN	tr|A0A8D2EM52|A0A8D2EM52_THEGE, tr|A0A8D2EMN5|A0A8D2EMN5_THEGE
OG0001777	sp|Q96DE0|NUD16_HUMAN	tr|A0A8D2EHU5|A0A8D2EHU5_THEGE, tr|A0A8D2FBE6|A0A8D2FBE6_THEGE
OG0001778	sp|Q9H0Q3|FXYD6_HUMAN	tr|A0A8D2F2G1|A0A8D2F2G1_THEGE, tr|A0A8D2F257|A0A8D2F257_THEGE
OG0001779	sp|Q9BQ50|TREX2_HUMAN, sp|Q9NSU2|TREX1_HUMAN	tr|A0A8D2JYJ6|A0A8D2JYJ6_THEGE
OG0001780	sp|P21912|SDHB_HUMAN	tr|A0A8D2FB86|A0A8D2FB86_THEGE, tr|A0A8D2G527|A0A8D2G527_THEGE
OG0001781	sp|P55084|ECHB_HUMAN	tr|A0A8D2FRS4|A0A8D2FRS4_THEGE, tr|A0A8D2F530|A0A8D2F530_THEGE
OG0001782	sp|Q03933|HSF2_HUMAN	tr|A0A8D2EEU6|A0A8D2EEU6_THEGE, tr|A0A8D2JZX3|A0A8D2JZX3_THEGE
OG0001783	sp|Q8WTZ4|CA5BL_HUMAN, sp|Q9Y2D0|CAH5B_HUMAN	tr|A0A8D2FGL2|A0A8D2FGL2_THEGE
OG0001784	sp|P98170|XIAP_HUMAN, sp|Q96P09|BIRC8_HUMAN	tr|A0A8D2K5W0|A0A8D2K5W0_THEGE
OG0001785	sp|Q99929|ASCL2_HUMAN, sp|P50553|ASCL1_HUMAN	tr|A0A8D2EST4|A0A8D2EST4_THEGE
OG0001786	sp|Q9NYS7|WSB2_HUMAN	tr|A0A8D2FYF9|A0A8D2FYF9_THEGE, tr|A0A8D2EKH9|A0A8D2EKH9_THEGE
OG0001787	sp|Q5JRK9|GGEE3_HUMAN, sp|Q7Z2X7|PAGE2_HUMAN	tr|A0A8D2K9K1|A0A8D2K9K1_THEGE
OG0001788	sp|Q8N328|PGBD3_HUMAN, sp|Q6P3X8|PGBD2_HUMAN	tr|A0A8D2FSR2|A0A8D2FSR2_THEGE
OG0001789	sp|P29622|KAIN_HUMAN, sp|Q6UXR4|SPA13_HUMAN	tr|A0A8D2EJY8|A0A8D2EJY8_THEGE
OG0001790	sp|Q7Z7H5|TMED4_HUMAN	tr|A0A8D2F1Z6|A0A8D2F1Z6_THEGE, tr|A0A8D2FMJ3|A0A8D2FMJ3_THEGE
OG0001791	sp|Q92785|REQU_HUMAN	tr|A0A8D2JZB2|A0A8D2JZB2_THEGE, tr|A0A8D2EUL1|A0A8D2EUL1_THEGE
OG0001792	sp|Q92890|UFD1_HUMAN	tr|A0A8D2FEU4|A0A8D2FEU4_THEGE, tr|A0A8D2ECS5|A0A8D2ECS5_THEGE
OG0001793	sp|Q5JTD0|TJAP1_HUMAN, sp|Q9BUH8|BEGIN_HUMAN	tr|A0A8D2ELA4|A0A8D2ELA4_THEGE
OG0001794	sp|Q9UKD2|MRT4_HUMAN	tr|A0A8D2G8D8|A0A8D2G8D8_THEGE, tr|A0A8D2JUL1|A0A8D2JUL1_THEGE
OG0001795	sp|Q9BRP0|OVOL2_HUMAN, sp|O00110|OVOL3_HUMAN	tr|A0A8D2FN16|A0A8D2FN16_THEGE
OG0001796	sp|P00813|ADA_HUMAN	tr|A0A8D2K3L6|A0A8D2K3L6_THEGE, tr|A0A8D2FVS9|A0A8D2FVS9_THEGE
OG0001797	sp|Q6ZUA9|MROH5_HUMAN	tr|A0A8D2G036|A0A8D2G036_THEGE, tr|A0A8D2FDN6|A0A8D2FDN6_THEGE
OG0001798	sp|Q8IWD4|CC117_HUMAN	tr|A0A8D2E5K9|A0A8D2E5K9_THEGE, tr|A0A8D2G7V8|A0A8D2G7V8_THEGE
OG0001799	sp|A6NM45|CLD24_HUMAN, sp|Q8N7P3|CLD22_HUMAN	tr|A0A8D2G2K2|A0A8D2G2K2_THEGE
OG0001800	sp|Q9UHF1|EGFL7_HUMAN, sp|Q99944|EGFL8_HUMAN	tr|A0A8D2EJY9|A0A8D2EJY9_THEGE
OG0001801	sp|O43759|SNG1_HUMAN, sp|O43761|SNG3_HUMAN	tr|A0A8D2EYA9|A0A8D2EYA9_THEGE
OG0001802	sp|O75368|SH3L1_HUMAN, sp|P55822|SH3BG_HUMAN	tr|A0A8D2GDA1|A0A8D2GDA1_THEGE
OG0001803	sp|Q99217|AMELX_HUMAN, sp|Q99218|AMELY_HUMAN	tr|A0A8D2FAV8|A0A8D2FAV8_THEGE
OG0001804	sp|Q9NYF8|BCLF1_HUMAN	tr|A0A8D2F6M4|A0A8D2F6M4_THEGE, tr|A0A8D2ETT3|A0A8D2ETT3_THEGE
OG0001805	sp|P16442|BGAT_HUMAN, sp|U3KPV4|A3LT2_HUMAN	tr|A0A8D2K0G7|A0A8D2K0G7_THEGE
OG0001806	sp|P05538|DQB2_HUMAN, sp|P01920|DQB1_HUMAN	tr|A0A8D2GE25|A0A8D2GE25_THEGE
OG0001807	sp|P20151|KLK2_HUMAN, sp|P07288|KLK3_HUMAN	tr|A0A8D2EBL5|A0A8D2EBL5_THEGE
OG0001808	sp|P22105|TENX_HUMAN, sp|Q16473|TENXA_HUMAN	tr|A0A8D2GHJ8|A0A8D2GHJ8_THEGE
OG0001809	sp|Q8NH09|OR8S1_HUMAN	tr|A0A8D2E2E6|A0A8D2E2E6_THEGE, tr|A0A8D2G980|A0A8D2G980_THEGE
OG0001810	sp|Q96NL1|TMM74_HUMAN, sp|Q9NUR3|TM74B_HUMAN	tr|A0A8D2EXN9|A0A8D2EXN9_THEGE
OG0001811	sp|Q9NY59|NSMA2_HUMAN	tr|A0A8D2JYL0|A0A8D2JYL0_THEGE, tr|A0A8D2FK55|A0A8D2FK55_THEGE
OG0001812	sp|Q9UFN0|NPS3A_HUMAN, sp|Q9BS92|NPS3B_HUMAN	tr|A0A8D2E106|A0A8D2E106_THEGE
