Orthogroup	Homo_sapiens	Myotis_lucifugus
OG0002230	sp|Q9UPU7|TBD2B_HUMAN, sp|Q9BYX2|TBD2A_HUMAN	tr|G1P3E3|G1P3E3_MYOLU
OG0002231	sp|Q9H4B0|OSGL1_HUMAN, sp|Q9NPF4|OSGEP_HUMAN	tr|G1NWQ3|G1NWQ3_MYOLU
OG0002232	sp|Q99676|ZN184_HUMAN, sp|Q9Y2P0|ZN835_HUMAN	tr|G1PT73|G1PT73_MYOLU
OG0002233	sp|Q9BY11|PACN1_HUMAN, sp|Q9UNF0|PACN2_HUMAN	tr|G1P2U3|G1P2U3_MYOLU
OG0002234	sp|A0A0B4J268|TVA4_HUMAN, sp|A0A087WT03|TVAZ1_HUMAN	tr|G1Q996|G1Q996_MYOLU
OG0002235	sp|O00154|BACH_HUMAN, sp|Q6ZUV0|BACHL_HUMAN	tr|G1Q3K6|G1Q3K6_MYOLU
OG0002236	sp|P0DMW4|SIL2A_HUMAN, sp|P0DMW5|SIL2B_HUMAN	tr|G1Q3A1|G1Q3A1_MYOLU
OG0002237	sp|Q9UQC2|GAB2_HUMAN, sp|Q2WGN9|GAB4_HUMAN	tr|G1PTI9|G1PTI9_MYOLU
OG0002238	sp|Q7L3V2|BOP_HUMAN, sp|Q6ICC9|RTL6_HUMAN	tr|G1P2E4|G1P2E4_MYOLU
OG0002239	sp|Q5TZA2|CROCC_HUMAN, sp|Q8IVE0|CROL2_HUMAN	tr|G1NSC9|G1NSC9_MYOLU
OG0002240	sp|Q8N7B9|EFCB3_HUMAN	tr|G1QCR5|G1QCR5_MYOLU, tr|G1P6G2|G1P6G2_MYOLU
OG0002241	sp|O14602|IF1AY_HUMAN, sp|P47813|IF1AX_HUMAN	tr|G1Q5M7|G1Q5M7_MYOLU
OG0002242	sp|P51864|TDGF3_HUMAN, sp|P13385|TDGF1_HUMAN	tr|G1PKT8|G1PKT8_MYOLU
OG0002243	sp|Q14206|RCAN2_HUMAN, sp|P53805|RCAN1_HUMAN	tr|G1PS02|G1PS02_MYOLU
OG0002244	sp|Q5VST6|AB17B_HUMAN, sp|Q6PCB6|AB17C_HUMAN	tr|G1Q4H0|G1Q4H0_MYOLU
OG0002245	sp|Q7RTY1|MOT9_HUMAN	tr|G1PZB5|G1PZB5_MYOLU, tr|L7N1S4|L7N1S4_MYOLU
OG0002246	sp|Q86YF9|DZIP1_HUMAN, sp|Q8IYY4|DZI1L_HUMAN	tr|G1PEF5|G1PEF5_MYOLU
OG0002247	sp|Q8IZF3|AGRF4_HUMAN	tr|G1NYU9|G1NYU9_MYOLU, tr|G1QA05|G1QA05_MYOLU
OG0002248	sp|Q8TCT1|PHOP1_HUMAN	tr|G1P5H0|G1P5H0_MYOLU, tr|G1QD09|G1QD09_MYOLU
OG0002249	sp|Q53GL0|PKHO1_HUMAN, sp|Q8TD55|PKHO2_HUMAN	tr|G1PUH5|G1PUH5_MYOLU
OG0002250	sp|Q92622|RUBIC_HUMAN	tr|G1QA23|G1QA23_MYOLU, tr|G1P7E3|G1P7E3_MYOLU
OG0002251	sp|Q9H5V9|STEEP_HUMAN	tr|G1Q5U2|G1Q5U2_MYOLU, tr|G1PT19|G1PT19_MYOLU
OG0002252	sp|P68036|UB2L3_HUMAN, sp|A0A1B0GUS4|UB2L5_HUMAN	tr|G1QBI4|G1QBI4_MYOLU
OG0002253	sp|O95749|GGPPS_HUMAN	tr|G1QD49|G1QD49_MYOLU, tr|L7N1U4|L7N1U4_MYOLU
OG0002254	sp|Q9NRG1|PRDC1_HUMAN, sp|P00492|HPRT_HUMAN	tr|G1P0I7|G1P0I7_MYOLU
OG0002255	sp|P03956|MMP1_HUMAN	tr|G1PD04|G1PD04_MYOLU, tr|G1QCH0|G1QCH0_MYOLU
OG0002256	sp|P03973|SLPI_HUMAN	tr|G1Q883|G1Q883_MYOLU, tr|G1PJ61|G1PJ61_MYOLU
OG0002257	sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2|GAL3A_HUMAN	tr|G1P3C0|G1P3C0_MYOLU
OG0002258	sp|P13196|HEM1_HUMAN	tr|G1QC24|G1QC24_MYOLU, tr|L7N1F1|L7N1F1_MYOLU
OG0002259	sp|Q96GW9|SYMM_HUMAN, sp|P26640|SYVC_HUMAN	tr|G1PM36|G1PM36_MYOLU
OG0002260	sp|P31947|1433S_HUMAN	tr|G1QAC1|G1QAC1_MYOLU, tr|G1PFE8|G1PFE8_MYOLU
OG0002261	sp|P49326|FMO5_HUMAN	tr|G1QEL7|G1QEL7_MYOLU, tr|L7N1Q9|L7N1Q9_MYOLU
OG0002262	sp|Q76KP1|B4GN4_HUMAN, sp|Q6L9W6|B4GN3_HUMAN	tr|G1PCU3|G1PCU3_MYOLU
OG0002263	sp|Q8NBP0|TTC13_HUMAN	tr|G1QET2|G1QET2_MYOLU, tr|G1PGJ8|G1PGJ8_MYOLU
OG0002264	sp|P41229|KDM5C_HUMAN, sp|Q9BY66|KDM5D_HUMAN	tr|G1P3Q3|G1P3Q3_MYOLU
OG0002265	sp|O75936|BODG_HUMAN, sp|Q9NVH6|TMLH_HUMAN	tr|G1Q506|G1Q506_MYOLU
OG0002266	sp|Q9NVJ2|ARL8B_HUMAN, sp|Q96BM9|ARL8A_HUMAN	tr|G1P880|G1P880_MYOLU
OG0002267	sp|Q9UJH8|METRN_HUMAN, sp|Q641Q3|METRL_HUMAN	tr|G1NU44|G1NU44_MYOLU
OG0002268	sp|O00499|BIN1_HUMAN, sp|P49418|AMPH_HUMAN	tr|G1PDH2|G1PDH2_MYOLU
OG0002269	sp|O75494|SRS10_HUMAN	tr|G1Q5H7|G1Q5H7_MYOLU, tr|G1P4E6|G1P4E6_MYOLU
OG0002270	sp|O95342|ABCBB_HUMAN	tr|G1QAG3|G1QAG3_MYOLU, tr|G1PM60|G1PM60_MYOLU
OG0002271	sp|P00450|CERU_HUMAN	tr|G1QBQ4|G1QBQ4_MYOLU, tr|G1NW60|G1NW60_MYOLU
OG0002272	sp|O75366|AVIL_HUMAN, sp|P09327|VILI_HUMAN	tr|G1P5Y2|G1P5Y2_MYOLU
OG0002273	sp|P52788|SPSY_HUMAN	tr|G1PM82|G1PM82_MYOLU, tr|G1QCS3|G1QCS3_MYOLU
OG0002274	sp|Q9HAZ2|PRD16_HUMAN, sp|Q03112|MECOM_HUMAN	tr|G1PT22|G1PT22_MYOLU
OG0002275	sp|Q12962|TAF10_HUMAN	tr|G1Q0N6|G1Q0N6_MYOLU, tr|G1PCP6|G1PCP6_MYOLU
OG0002276	sp|Q9UJL9|ZF69B_HUMAN, sp|Q49AA0|ZFP69_HUMAN	tr|G1Q3J4|G1Q3J4_MYOLU
OG0002277	sp|Q6NYC8|PPR18_HUMAN, sp|Q4KMQ1|TPRN_HUMAN	tr|G1Q965|G1Q965_MYOLU
OG0002278	sp|Q6P9F7|LRC8B_HUMAN	tr|G1PZP4|G1PZP4_MYOLU, tr|G1Q7Q8|G1Q7Q8_MYOLU
OG0002279	sp|Q6ZMZ3|SYNE3_HUMAN, sp|Q8NF91|SYNE1_HUMAN	tr|G1PPK0|G1PPK0_MYOLU
OG0002280	sp|Q8TAD8|SNIP1_HUMAN	tr|G1PW63|G1PW63_MYOLU, tr|G1PAL4|G1PAL4_MYOLU
OG0002281	sp|Q9UL12|SARDH_HUMAN, sp|Q9UI17|M2GD_HUMAN	tr|G1PD03|G1PD03_MYOLU
OG0002282	sp|P13584|CP4B1_HUMAN	tr|G1Q3L9|G1Q3L9_MYOLU, tr|G1NYM9|G1NYM9_MYOLU
OG0002283	sp|Q9UHB4|NDOR1_HUMAN, sp|P16435|NCPR_HUMAN	tr|G1PXQ0|G1PXQ0_MYOLU
OG0002284	sp|Q9NXC2|GFOD1_HUMAN, sp|Q3B7J2|GFOD2_HUMAN	tr|G1P4E0|G1P4E0_MYOLU
OG0002285	sp|Q8WXR4|MYO3B_HUMAN	tr|G1PF16|G1PF16_MYOLU, tr|G1Q789|G1Q789_MYOLU
OG0002286	sp|Q969X0|RIPL2_HUMAN	tr|G1Q3R7|G1Q3R7_MYOLU, tr|G1PW97|G1PW97_MYOLU
OG0002287	sp|Q96IZ6|MET2A_HUMAN, sp|Q6P1Q9|MET2B_HUMAN	tr|G1PJH6|G1PJH6_MYOLU
OG0002288	sp|Q96AD5|PLPL2_HUMAN, sp|Q9NST1|PLPL3_HUMAN	tr|G1Q1A8|G1Q1A8_MYOLU
OG0002289	sp|Q9UHI7|S23A1_HUMAN	tr|G1Q0A0|G1Q0A0_MYOLU, tr|G1NZ62|G1NZ62_MYOLU
OG0002290	sp|A0A5B7|TVB29_HUMAN	tr|G1QC42|G1QC42_MYOLU, tr|G1QBI8|G1QBI8_MYOLU
OG0002291	sp|O94763|RMP_HUMAN	tr|G1PY68|G1PY68_MYOLU, tr|G1NSG4|G1NSG4_MYOLU
OG0002292	sp|P0CG47|UBB_HUMAN, sp|P0CG48|UBC_HUMAN	tr|G1QBA9|G1QBA9_MYOLU
OG0002293	sp|Q9P0M2|AKA7G_HUMAN, sp|P0CW23|AKAI1_HUMAN	tr|G1P715|G1P715_MYOLU
OG0002294	sp|Q06828|FMOD_HUMAN	tr|G1QE54|G1QE54_MYOLU, tr|G1PEW1|G1PEW1_MYOLU
OG0002295	sp|Q6VY07|PACS1_HUMAN, sp|Q86VP3|PACS2_HUMAN	tr|G1PHT4|G1PHT4_MYOLU
OG0002296	sp|Q9BXJ4|C1QT3_HUMAN	tr|G1QEZ4|G1QEZ4_MYOLU, tr|G1PYY5|G1PYY5_MYOLU
OG0002297	sp|Q9GZS9|CHST5_HUMAN, sp|Q9GZX3|CHST6_HUMAN	tr|G1PMT4|G1PMT4_MYOLU
OG0002298	sp|P0CK97|S35E2_HUMAN, sp|P0CK96|S352B_HUMAN	tr|G1NUX2|G1NUX2_MYOLU
OG0002299	sp|O15530|PDPK1_HUMAN, sp|Q6A1A2|PDPK2_HUMAN	tr|G1P2R5|G1P2R5_MYOLU
OG0002300	sp|Q8IYS8|BD1L2_HUMAN, sp|Q96IK1|BOD1_HUMAN	tr|G1PJN9|G1PJN9_MYOLU
OG0002301	sp|Q9C0H9|SRCN1_HUMAN, sp|Q5T5P2|SKT_HUMAN	tr|G1P2W1|G1P2W1_MYOLU
OG0002302	sp|P53816|PLAT3_HUMAN, sp|Q9NWW9|PLAT2_HUMAN	tr|G1PNB7|G1PNB7_MYOLU
OG0002303	sp|Q9H3S3|TMPS5_HUMAN, sp|P57727|TMPS3_HUMAN	tr|G1PYK3|G1PYK3_MYOLU
OG0002304	sp|Q06495|NPT2A_HUMAN, sp|Q8N130|NPT2C_HUMAN	tr|G1PDT3|G1PDT3_MYOLU
OG0002305	sp|Q6ZQN5|FOXI2_HUMAN, sp|Q12951|FOXI1_HUMAN	tr|G1Q471|G1Q471_MYOLU
OG0002306	sp|Q96JY6|PDLI2_HUMAN	tr|G1PAC9|G1PAC9_MYOLU, tr|G1Q971|G1Q971_MYOLU
OG0002307	sp|Q13907|IDI1_HUMAN, sp|Q9BXS1|IDI2_HUMAN	tr|G1QFR5|G1QFR5_MYOLU
OG0002308	sp|C9J798|RAS4B_HUMAN, sp|O43374|RASL2_HUMAN	tr|G1PG19|G1PG19_MYOLU
OG0002309	sp|O43313|ATMIN_HUMAN	tr|G1P5S6|G1P5S6_MYOLU, tr|G1Q806|G1Q806_MYOLU
OG0002311	sp|P51451|BLK_HUMAN, sp|P06239|LCK_HUMAN	tr|G1P745|G1P745_MYOLU
OG0002312	sp|P54296|MYOM2_HUMAN, sp|P52179|MYOM1_HUMAN	tr|G1P053|G1P053_MYOLU
OG0002313	sp|Q9BY27|DGC6L_HUMAN, sp|Q14129|DGCR6_HUMAN	tr|G1PRN9|G1PRN9_MYOLU
OG0002314	sp|Q6UUV7|CRTC3_HUMAN	tr|G1PXF6|G1PXF6_MYOLU, tr|G1QD29|G1QD29_MYOLU
OG0002315	sp|Q6ZNC4|ZN704_HUMAN	tr|G1QCI9|G1QCI9_MYOLU, tr|G1QCQ1|G1QCQ1_MYOLU
OG0002316	sp|Q86X55|CARM1_HUMAN	tr|G1QE67|G1QE67_MYOLU, tr|G1PHF0|G1PHF0_MYOLU
OG0002317	sp|Q8NBN7|RDH13_HUMAN	tr|G1Q1Y2|G1Q1Y2_MYOLU, tr|G1NT65|G1NT65_MYOLU
OG0002318	sp|Q92985|IRF7_HUMAN, sp|Q14653|IRF3_HUMAN	tr|G1Q4B8|G1Q4B8_MYOLU
OG0002319	sp|Q96ET8|TV23C_HUMAN, sp|Q9NYZ1|TV23B_HUMAN	tr|G1NYS0|G1NYS0_MYOLU
OG0002320	sp|Q96PN6|ADCYA_HUMAN	tr|G1PB33|G1PB33_MYOLU, tr|G1PJ83|G1PJ83_MYOLU
OG0002321	sp|Q9BVR0|HRC23_HUMAN, sp|O95714|HERC2_HUMAN	tr|G1PA61|G1PA61_MYOLU
OG0002322	sp|Q9HAI6|TASL_HUMAN	tr|G1Q3K7|G1Q3K7_MYOLU, tr|G1P0Y3|G1P0Y3_MYOLU
OG0002323	sp|P49279|NRAM1_HUMAN, sp|P49281|NRAM2_HUMAN	tr|G1PNV2|G1PNV2_MYOLU
OG0002324	sp|P58397|ATS12_HUMAN, sp|Q9UKP4|ATS7_HUMAN	tr|G1PHX3|G1PHX3_MYOLU
OG0002325	sp|Q6UX46|ALKL2_HUMAN, sp|Q6UXT8|ALKL1_HUMAN	tr|G1PXI1|G1PXI1_MYOLU
OG0002326	sp|Q9Y4Z2|NGN3_HUMAN, sp|Q9H2A3|NGN2_HUMAN	tr|G1Q6A0|G1Q6A0_MYOLU
OG0002327	sp|Q9Y6Z7|COL10_HUMAN, sp|Q9BWP8|COL11_HUMAN	tr|G1NZ08|G1NZ08_MYOLU
OG0002328	sp|P15812|CD1E_HUMAN	tr|G1Q2A3|G1Q2A3_MYOLU, tr|G1PA21|G1PA21_MYOLU
OG0002329	sp|P30411|BKRB2_HUMAN, sp|P46663|BKRB1_HUMAN	tr|G1Q158|G1Q158_MYOLU
OG0002330	sp|Q13601|KRR1_HUMAN	tr|G1NXM1|G1NXM1_MYOLU, tr|G1QGE6|G1QGE6_MYOLU
OG0002331	sp|Q9NZB2|F120A_HUMAN, sp|Q5T035|CI129_HUMAN	tr|G1PX29|G1PX29_MYOLU
OG0002332	sp|Q68D85|NR3L1_HUMAN, sp|Q9BX59|TPSNR_HUMAN	tr|G1PPR0|G1PPR0_MYOLU
OG0002333	sp|Q92543|SNX19_HUMAN	tr|G1PBR7|G1PBR7_MYOLU, tr|G1Q9Z0|G1Q9Z0_MYOLU
OG0002334	sp|P46783|RS10_HUMAN, sp|Q9NQ39|RS10L_HUMAN	tr|G1PZV8|G1PZV8_MYOLU
OG0002335	sp|Q96B18|DACT3_HUMAN, sp|Q9NYF0|DACT1_HUMAN	tr|G1PA67|G1PA67_MYOLU
OG0002336	sp|Q08174|PCDH1_HUMAN, sp|O60245|PCDH7_HUMAN	tr|G1PTW3|G1PTW3_MYOLU
OG0002337	sp|P0C0L4|CO4A_HUMAN, sp|P0C0L5|CO4B_HUMAN	tr|G1P6M7|G1P6M7_MYOLU
OG0002338	sp|P10599|THIO_HUMAN, sp|Q86VQ3|TXND2_HUMAN	tr|G1PCU4|G1PCU4_MYOLU
OG0002339	sp|P42785|PCP_HUMAN, sp|Q9UHL4|DPP2_HUMAN	tr|G1P929|G1P929_MYOLU
OG0002340	sp|P49335|PO3F4_HUMAN	tr|G1P1Q9|G1P1Q9_MYOLU, tr|G1P1R3|G1P1R3_MYOLU
OG0002342	sp|Q9Y519|T184B_HUMAN, sp|Q6ZMB5|T184A_HUMAN	tr|G1PI41|G1PI41_MYOLU
OG0002343	sp|P00374|DYR_HUMAN, sp|Q86XF0|DYR2_HUMAN	tr|G1QES9|G1QES9_MYOLU
OG0002344	sp|Q96EW2|HBAP1_HUMAN	tr|G1PY39|G1PY39_MYOLU, tr|G1PAP7|G1PAP7_MYOLU
OG0002345	sp|Q9UMR7|CLC4A_HUMAN, sp|Q8IZS7|CLCL1_HUMAN	tr|G1Q9Q0|G1Q9Q0_MYOLU
OG0002346	tr|A0A2R8Y422|A0A2R8Y422_HUMAN, sp|P62979|RS27A_HUMAN	tr|G1PW07|G1PW07_MYOLU
OG0002347	sp|P47871|GLR_HUMAN, sp|P48546|GIPR_HUMAN	tr|G1NVA0|G1NVA0_MYOLU
OG0002348	sp|P61626|LYSC_HUMAN	tr|G1QAP4|G1QAP4_MYOLU, tr|G1P1T7|G1P1T7_MYOLU
OG0002349	sp|Q16877|F264_HUMAN, sp|P16118|F261_HUMAN	tr|G1PUA0|G1PUA0_MYOLU
OG0002350	sp|Q5T7M4|ADIPL_HUMAN, sp|Q4G0M1|ERFE_HUMAN	tr|G1NVB9|G1NVB9_MYOLU
OG0002351	sp|Q8WVJ9|TWST2_HUMAN, sp|Q15672|TWST1_HUMAN	tr|G1QCG6|G1QCG6_MYOLU
OG0002352	sp|P16157|ANK1_HUMAN, sp|Q9HB75|PIDD1_HUMAN	tr|G1P4E4|G1P4E4_MYOLU
OG0002353	sp|Q9NQS7|INCE_HUMAN	tr|G1Q0H5|G1Q0H5_MYOLU, tr|G1P951|G1P951_MYOLU
OG0002354	sp|A0A2R8YFL7|OSP4A_HUMAN, sp|Q9HBJ0|PLAC1_HUMAN	tr|G1Q9D7|G1Q9D7_MYOLU
OG0002355	sp|O14490|DLGP1_HUMAN, sp|Q9P1A6|DLGP2_HUMAN	tr|G1PJX7|G1PJX7_MYOLU
OG0002356	sp|P00439|PH4H_HUMAN, sp|P07101|TY3H_HUMAN	tr|G1P4I7|G1P4I7_MYOLU
OG0002357	sp|P0DP74|D130A_HUMAN, sp|P0DP73|D130B_HUMAN	tr|G1Q356|G1Q356_MYOLU
OG0002358	sp|P49770|EI2BB_HUMAN	tr|G1Q812|G1Q812_MYOLU, tr|G1P5X4|G1P5X4_MYOLU
OG0002359	sp|Q2M2I5|K1C24_HUMAN	tr|G1P698|G1P698_MYOLU, tr|G1PZE7|G1PZE7_MYOLU
OG0002360	sp|Q8WW33|GTSF1_HUMAN	tr|G1Q0R7|G1Q0R7_MYOLU, tr|G1PLQ1|G1PLQ1_MYOLU
OG0002361	sp|Q9GZN0|GPR88_HUMAN, sp|Q9NQS5|GPR84_HUMAN	tr|G1PYY6|G1PYY6_MYOLU
OG0002362	sp|Q9H5Z1|DHX35_HUMAN, sp|Q8IY37|DHX37_HUMAN	tr|G1PD91|G1PD91_MYOLU
OG0002363	sp|Q9P0M4|IL17C_HUMAN, sp|Q8TAD2|IL17D_HUMAN	tr|G1PCC0|G1PCC0_MYOLU
OG0002364	sp|Q8N8N0|RN152_HUMAN, tr|A0A7I2V3R4|A0A7I2V3R4_HUMAN	tr|G1NT81|G1NT81_MYOLU
OG0002365	sp|Q9HBH7|BEX1_HUMAN, sp|Q9BXY8|BEX2_HUMAN	tr|G1Q6I5|G1Q6I5_MYOLU
OG0002366	sp|Q9P2V4|LRIT1_HUMAN, sp|A6NDA9|LRIT2_HUMAN	tr|G1PVT7|G1PVT7_MYOLU
OG0002367	sp|Q16647|PTGIS_HUMAN, sp|Q9UNU6|CP8B1_HUMAN	tr|G1NZM3|G1NZM3_MYOLU
OG0002368	sp|Q15046|SYK_HUMAN	tr|G1QEM0|G1QEM0_MYOLU, tr|G1PRK4|G1PRK4_MYOLU
OG0002369	sp|Q2TAC6|KIF19_HUMAN, sp|Q86Y91|KI18B_HUMAN	tr|G1PK19|G1PK19_MYOLU
OG0002370	sp|Q6ZT52|FA43B_HUMAN, sp|Q8N2R8|FA43A_HUMAN	tr|G1NWR0|G1NWR0_MYOLU
OG0002371	sp|Q9H1E3|NUCKS_HUMAN	tr|G1QAY9|G1QAY9_MYOLU, tr|G1PIJ5|G1PIJ5_MYOLU
OG0002372	sp|Q9H267|VP33B_HUMAN	tr|G1Q2K7|G1Q2K7_MYOLU, tr|G1P8V5|G1P8V5_MYOLU
OG0002373	sp|Q9H3H9|TCAL2_HUMAN, sp|Q96EI5|TCAL4_HUMAN	tr|G1QE04|G1QE04_MYOLU
OG0002374	sp|Q9Y2M0|FAN1_HUMAN	tr|G1Q122|G1Q122_MYOLU, tr|G1PTA7|G1PTA7_MYOLU
OG0002375	sp|P57739|CLD2_HUMAN, sp|O95500|CLD14_HUMAN	tr|G1PAG4|G1PAG4_MYOLU
OG0002376	sp|P04808|REL1_HUMAN, sp|P04090|REL2_HUMAN	tr|G1PDZ5|G1PDZ5_MYOLU
OG0002377	sp|Q5I7T1|AG10B_HUMAN, sp|Q5BKT4|AG10A_HUMAN	tr|G1P1D2|G1P1D2_MYOLU
OG0002378	sp|Q8TDM0|BCAS4_HUMAN, sp|Q9NUP1|BL1S4_HUMAN	tr|G1PMN1|G1PMN1_MYOLU
OG0002379	sp|A0A3B3IRV3|MCTS2_HUMAN, sp|Q9ULC4|MCTS1_HUMAN	tr|G1Q0K7|G1Q0K7_MYOLU
OG0002380	sp|Q9Y2Y6|TMM98_HUMAN	tr|G1NV12|G1NV12_MYOLU, tr|G1QG24|G1QG24_MYOLU
OG0002381	sp|O15033|AREL1_HUMAN	tr|G1Q891|G1Q891_MYOLU, tr|G1PKF9|G1PKF9_MYOLU
OG0002382	sp|P08887|IL6RA_HUMAN	tr|G1PZ65|G1PZ65_MYOLU, tr|G1P4R2|G1P4R2_MYOLU
OG0002383	sp|P10827|THA_HUMAN, sp|P10828|THB_HUMAN	tr|G1PE40|G1PE40_MYOLU
OG0002384	sp|P11229|ACM1_HUMAN, sp|P08912|ACM5_HUMAN	tr|G1PXW6|G1PXW6_MYOLU
OG0002385	sp|Q92692|NECT2_HUMAN, sp|P15151|PVR_HUMAN	tr|G1QEX8|G1QEX8_MYOLU
OG0002386	sp|P18428|LBP_HUMAN	tr|G1PUW1|G1PUW1_MYOLU, tr|G1Q3Z1|G1Q3Z1_MYOLU
OG0002387	sp|P10144|GRAB_HUMAN, sp|P20718|GRAH_HUMAN	tr|G1PAW9|G1PAW9_MYOLU
OG0002388	sp|Q6ZVH7|ESPNL_HUMAN	tr|G1Q412|G1Q412_MYOLU, tr|G1NVA4|G1NVA4_MYOLU
OG0002389	sp|Q12870|TCF15_HUMAN, sp|Q7RTU7|SCX_HUMAN	tr|G1QAN3|G1QAN3_MYOLU
OG0002390	sp|Q9NWN3|FBX34_HUMAN	tr|G1Q5G0|G1Q5G0_MYOLU, tr|G1Q776|G1Q776_MYOLU
OG0002391	sp|Q9Y314|NOSIP_HUMAN	tr|L7N1W5|L7N1W5_MYOLU, tr|G1Q1Z5|G1Q1Z5_MYOLU
OG0002392	sp|Q9NY37|ASIC5_HUMAN, tr|A0A0G2JLG4|A0A0G2JLG4_HUMAN	tr|G1PIE4|G1PIE4_MYOLU
OG0002393	sp|Q8IXF9|AQ12A_HUMAN, sp|A6NM10|AQ12B_HUMAN	tr|G1P264|G1P264_MYOLU
OG0002394	sp|Q9UPS6|SET1B_HUMAN, sp|O15047|SET1A_HUMAN	tr|G1Q6C8|G1Q6C8_MYOLU
OG0002395	sp|P20073|ANXA7_HUMAN	tr|G1PL44|G1PL44_MYOLU, tr|G1QC14|G1QC14_MYOLU
OG0002396	sp|Q58F21|BRDT_HUMAN	tr|G1Q0D7|G1Q0D7_MYOLU, tr|G1P6J9|G1P6J9_MYOLU
OG0002397	sp|Q504Y0|S39AC_HUMAN, sp|Q6P5W5|S39A4_HUMAN	tr|G1P8G9|G1P8G9_MYOLU
OG0002398	sp|Q86WB0|ZC3C1_HUMAN	tr|G1Q1W5|G1Q1W5_MYOLU, tr|G1NSG0|G1NSG0_MYOLU
OG0002399	sp|Q96PE7|MCEE_HUMAN	tr|G1QFH5|G1QFH5_MYOLU, tr|G1QAH5|G1QAH5_MYOLU
OG0002400	sp|O43823|AKAP8_HUMAN	tr|G1Q525|G1Q525_MYOLU, tr|G1P4T8|G1P4T8_MYOLU
OG0002401	sp|O95402|MED26_HUMAN	tr|G1PNU8|G1PNU8_MYOLU, tr|G1QAR3|G1QAR3_MYOLU
OG0002402	sp|O75015|FCG3B_HUMAN, sp|P08637|FCG3A_HUMAN	tr|G1NTR2|G1NTR2_MYOLU
OG0002403	sp|Q13156|RFA4_HUMAN, sp|P15927|RFA2_HUMAN	tr|G1NSM2|G1NSM2_MYOLU
OG0002404	sp|P17535|JUND_HUMAN, sp|P05412|JUN_HUMAN	tr|G1Q234|G1Q234_MYOLU
OG0002405	sp|Q2M3R5|S35G1_HUMAN	tr|G1P859|G1P859_MYOLU, tr|G1Q5L7|G1Q5L7_MYOLU
OG0002406	sp|Q6NVU6|UFSP1_HUMAN, sp|Q9NUQ7|UFSP2_HUMAN	tr|G1P666|G1P666_MYOLU
OG0002407	sp|Q9NQ66|PLCB1_HUMAN	tr|G1Q7E5|G1Q7E5_MYOLU, tr|G1PJ21|G1PJ21_MYOLU
OG0002408	sp|P60033|CD81_HUMAN, sp|P21926|CD9_HUMAN	tr|G1P828|G1P828_MYOLU
OG0002409	sp|P40616|ARL1_HUMAN, sp|Q0P5N6|ARL16_HUMAN	tr|G1NXM8|G1NXM8_MYOLU
OG0002410	sp|P14770|GPIX_HUMAN, sp|Q2I0M4|LRC26_HUMAN	tr|G1Q4C2|G1Q4C2_MYOLU
OG0002411	sp|Q8IWY4|SCUB1_HUMAN, sp|Q8IX30|SCUB3_HUMAN	tr|G1PBS6|G1PBS6_MYOLU
OG0002412	sp|Q8TE85|GRHL3_HUMAN	tr|L7N1M5|L7N1M5_MYOLU, tr|G1Q3J1|G1Q3J1_MYOLU
OG0002413	sp|Q9BR11|ZSWM1_HUMAN, sp|Q96MP5|ZSWM3_HUMAN	tr|G1NSW1|G1NSW1_MYOLU
OG0002414	sp|Q9H019|MFR1L_HUMAN	tr|G1PGK8|G1PGK8_MYOLU, tr|G1QFW4|G1QFW4_MYOLU
OG0002415	sp|Q9NP59|S40A1_HUMAN	tr|G1PXY7|G1PXY7_MYOLU, tr|G1PCQ4|G1PCQ4_MYOLU
OG0002416	sp|Q9NZM5|NOP53_HUMAN	tr|G1QFA3|G1QFA3_MYOLU, tr|G1PZJ0|G1PZJ0_MYOLU
OG0002417	sp|O00267|SPT5H_HUMAN	tr|G1Q195|G1Q195_MYOLU, tr|G1PNV3|G1PNV3_MYOLU
OG0002418	sp|P35070|BTC_HUMAN	tr|L7N137|L7N137_MYOLU, tr|G1QF72|G1QF72_MYOLU
OG0002419	sp|Q15120|PDK3_HUMAN	tr|G1P2M3|G1P2M3_MYOLU, tr|G1Q4P6|G1Q4P6_MYOLU
OG0002420	sp|Q6UVM3|KCNT2_HUMAN, sp|Q5JUK3|KCNT1_HUMAN	tr|G1NZW4|G1NZW4_MYOLU
OG0002421	sp|Q5T1C6|THEM4_HUMAN	tr|G1PMF0|G1PMF0_MYOLU, tr|G1Q4R2|G1Q4R2_MYOLU
OG0002422	sp|Q9H1C4|UN93B_HUMAN, sp|Q86WB7|UN93A_HUMAN	tr|G1PX97|G1PX97_MYOLU
OG0002423	sp|Q96M34|TEX55_HUMAN	tr|G1Q4N2|G1Q4N2_MYOLU, tr|G1PJC9|G1PJC9_MYOLU
OG0002424	sp|A6NM43|TCPQL_HUMAN, sp|Q96SF2|TCPQM_HUMAN	tr|G1Q635|G1Q635_MYOLU
OG0002425	sp|Q9UBM4|OPT_HUMAN, sp|Q99645|EPYC_HUMAN	tr|G1P9U0|G1P9U0_MYOLU
OG0002426	tr|A0A1B0GWI6|A0A1B0GWI6_HUMAN, sp|A8MYA2|CX049_HUMAN	tr|G1Q5S4|G1Q5S4_MYOLU
OG0002427	sp|A5D8V7|ODAD3_HUMAN, sp|Q5T5S1|CC183_HUMAN	tr|G1PUA5|G1PUA5_MYOLU
