Orthogroup	Homo_sapiens	Nomascus_leucogenys
OG0002757	sp|Q15691|MARE1_HUMAN	tr|G1RFI0|G1RFI0_NOMLE, tr|A0A2I3HZN0|A0A2I3HZN0_NOMLE
OG0002758	sp|P22234|PUR6_HUMAN	tr|A0A2I3GE22|A0A2I3GE22_NOMLE, tr|A0A2I3GPP9|A0A2I3GPP9_NOMLE
OG0002759	sp|Q8N7M2|ZN283_HUMAN	tr|A0A2I3GE34|A0A2I3GE34_NOMLE, tr|G1QMI3|G1QMI3_NOMLE
OG0002760	sp|P62805|H4_HUMAN	tr|G1QWQ9|G1QWQ9_NOMLE, tr|G1SAW1|G1SAW1_NOMLE
OG0002761	sp|Q9NQ92|COPRS_HUMAN	tr|A0A2I3GJA2|A0A2I3GJA2_NOMLE, tr|A0A2I3HYV5|A0A2I3HYV5_NOMLE
OG0002762	sp|O75436|VP26A_HUMAN	tr|A0A2I3G516|A0A2I3G516_NOMLE, tr|A0A2I3FSA1|A0A2I3FSA1_NOMLE
OG0002763	sp|O75964|ATP5L_HUMAN	tr|G1SBV3|G1SBV3_NOMLE, tr|G1R710|G1R710_NOMLE
OG0002764	sp|P62258|1433E_HUMAN	tr|A0A2I3HMV2|A0A2I3HMV2_NOMLE, tr|A0A2I3HHF3|A0A2I3HHF3_NOMLE
OG0002765	sp|Q9UJT0|TBE_HUMAN	tr|A0A2I3GT69|A0A2I3GT69_NOMLE, tr|G1RRA2|G1RRA2_NOMLE
OG0002766	sp|Q9Y2Y1|RPC10_HUMAN	tr|G1R900|G1R900_NOMLE, tr|A0A2I3HEV7|A0A2I3HEV7_NOMLE
OG0002778	sp|A0PJE2|DHR12_HUMAN	tr|G1QUZ9|G1QUZ9_NOMLE
OG0002779	sp|A6NCL1|GEMC1_HUMAN	tr|G1R4V5|G1R4V5_NOMLE
OG0002780	sp|O15021|MAST4_HUMAN	tr|A0A2I3HMZ2|A0A2I3HMZ2_NOMLE
OG0002781	sp|O15182|CETN3_HUMAN	tr|A0A2I3GRD3|A0A2I3GRD3_NOMLE
OG0002782	sp|O15552|FFAR2_HUMAN	tr|A0A2I3HE13|A0A2I3HE13_NOMLE
OG0002783	sp|O43638|FOXS1_HUMAN	tr|G1REZ7|G1REZ7_NOMLE
OG0002784	sp|O95926|SYF2_HUMAN	tr|A0A2I3HZ55|A0A2I3HZ55_NOMLE
OG0002785	sp|P03999|OPSB_HUMAN	tr|G1RPB5|G1RPB5_NOMLE
OG0002786	sp|P0C7T8|TM253_HUMAN	tr|G1RW03|G1RW03_NOMLE
OG0002787	sp|P28360|MSX1_HUMAN	tr|G1S212|G1S212_NOMLE
OG0002788	sp|P31267|HXA6_HUMAN	tr|G1RY96|G1RY96_NOMLE
OG0002789	sp|P36021|MOT8_HUMAN	tr|G1QJX7|G1QJX7_NOMLE
OG0002790	sp|P37088|SCNNA_HUMAN	tr|A0A2I3H0X4|A0A2I3H0X4_NOMLE
OG0002791	sp|P43652|AFAM_HUMAN	tr|G1R8V9|G1R8V9_NOMLE
OG0002792	sp|P47775|GPR12_HUMAN	tr|A0A2I3H7W5|A0A2I3H7W5_NOMLE
OG0002793	sp|P54253|ATX1_HUMAN	tr|G1QJZ8|G1QJZ8_NOMLE
OG0002794	sp|P58499|FAM3B_HUMAN	tr|A0A2I3GLV4|A0A2I3GLV4_NOMLE
OG0002795	sp|P59773|MNARL_HUMAN	tr|G1RPB9|G1RPB9_NOMLE
OG0002796	sp|Q09019|DMWD_HUMAN	tr|G1QPC1|G1QPC1_NOMLE
OG0002797	sp|Q12981|SEC20_HUMAN	tr|G1QHY2|G1QHY2_NOMLE
OG0002798	sp|Q13214|SEM3B_HUMAN	tr|A0A2I3H5J4|A0A2I3H5J4_NOMLE
OG0002799	sp|Q13535|ATR_HUMAN	tr|A0A2I3FYG5|A0A2I3FYG5_NOMLE
OG0002800	sp|Q13615|MTMR3_HUMAN	tr|G1QTD0|G1QTD0_NOMLE
OG0002801	sp|Q14585|ZN345_HUMAN	tr|G1S572|G1S572_NOMLE
OG0002802	sp|Q14765|STAT4_HUMAN	tr|G1R4S6|G1R4S6_NOMLE
OG0002803	sp|Q15560|TCEA2_HUMAN	tr|G1RGW9|G1RGW9_NOMLE
OG0002804	sp|Q4G163|FBX43_HUMAN	tr|G1QRP8|G1QRP8_NOMLE
OG0002805	sp|Q5SZJ8|BEND6_HUMAN	tr|G1QRH8|G1QRH8_NOMLE
OG0002806	sp|Q5TF39|MFS4B_HUMAN	tr|A0A2I3GW71|A0A2I3GW71_NOMLE
OG0002807	sp|Q5TIA1|MEI1_HUMAN	tr|G1S0C7|G1S0C7_NOMLE
OG0002808	sp|Q6NV75|GP153_HUMAN	tr|M3ZCC1|M3ZCC1_NOMLE
OG0002809	sp|Q6PB30|CSAG1_HUMAN	tr|A0A2I3FYF6|A0A2I3FYF6_NOMLE
OG0002810	sp|Q6TGC4|PADI6_HUMAN	tr|G1R8C6|G1R8C6_NOMLE
OG0002811	sp|Q6URK8|TEPP_HUMAN	tr|G1QSW9|G1QSW9_NOMLE
OG0002812	sp|Q6UXV1|IZUM2_HUMAN	tr|G1R0H4|G1R0H4_NOMLE
OG0002813	sp|Q6ZNE9|RUFY4_HUMAN	tr|G1R6R9|G1R6R9_NOMLE
OG0002814	sp|Q6ZNH5|ZN497_HUMAN	tr|A0A2I3HXC5|A0A2I3HXC5_NOMLE
OG0002815	sp|Q86UF1|TSN33_HUMAN	tr|G1RPU7|G1RPU7_NOMLE
OG0002816	sp|Q86YV5|PRAG1_HUMAN	tr|G1RY45|G1RY45_NOMLE
OG0002817	sp|Q8IU57|INLR1_HUMAN	tr|G1RC92|G1RC92_NOMLE
OG0002818	sp|Q8IVV8|NKAI4_HUMAN	tr|G1RG20|G1RG20_NOMLE
OG0002819	sp|Q8IX01|SUGP2_HUMAN	tr|G1R2Q6|G1R2Q6_NOMLE
OG0002820	sp|Q8N8F6|YIPF7_HUMAN	tr|G1S669|G1S669_NOMLE
OG0002821	sp|Q8NAT1|PMGT2_HUMAN	tr|G1R1Q8|G1R1Q8_NOMLE
OG0002822	sp|Q8NB25|F184A_HUMAN	tr|A0A2I3GV55|A0A2I3GV55_NOMLE
OG0002823	sp|Q8NE63|HIPK4_HUMAN	tr|G1RV38|G1RV38_NOMLE
OG0002824	sp|Q8NEB7|ACRBP_HUMAN	tr|A0A2I3H557|A0A2I3H557_NOMLE
OG0002825	sp|Q8TBY0|RBM46_HUMAN	tr|G1R2S6|G1R2S6_NOMLE
OG0002826	sp|Q96CA5|BIRC7_HUMAN	tr|G1RG16|G1RG16_NOMLE
OG0002827	sp|Q96G97|BSCL2_HUMAN	tr|G1QVE4|G1QVE4_NOMLE
OG0002828	sp|Q96HD1|CREL1_HUMAN	tr|A0A2I3HD29|A0A2I3HD29_NOMLE
OG0002829	sp|Q96HD9|ACY3_HUMAN	tr|G1R3Y2|G1R3Y2_NOMLE
OG0002830	sp|Q96HI0|SENP5_HUMAN	tr|G1QM88|G1QM88_NOMLE
OG0002831	sp|Q96NH3|BROMI_HUMAN	tr|G1RTN9|G1RTN9_NOMLE
OG0002832	sp|Q96SZ5|AEDO_HUMAN	tr|A0A2I3HDI7|A0A2I3HDI7_NOMLE
OG0002833	sp|Q9BQ61|TRIR_HUMAN	tr|A0A2I3G9F9|A0A2I3G9F9_NOMLE
OG0002834	sp|Q9BRA2|TXD17_HUMAN	tr|A0A2I3H5Q4|A0A2I3H5Q4_NOMLE
OG0002835	sp|Q9BU40|CRDL1_HUMAN	tr|A0A2I3GGV1|A0A2I3GGV1_NOMLE
OG0002836	sp|Q9BV40|VAMP8_HUMAN	tr|A0A2I3HDB5|A0A2I3HDB5_NOMLE
OG0002837	sp|Q9BYG0|B3GN5_HUMAN	tr|G1SBB1|G1SBB1_NOMLE
OG0002838	sp|Q9BZL4|PP12C_HUMAN	tr|A0A2I3GY26|A0A2I3GY26_NOMLE
OG0002839	sp|Q9C086|IN80B_HUMAN	tr|A0A2I3G953|A0A2I3G953_NOMLE
OG0002840	sp|Q9H2E6|SEM6A_HUMAN	tr|A0A2I3HLT7|A0A2I3HLT7_NOMLE
OG0002841	sp|Q9NSK0|KLC4_HUMAN	tr|G1QWG3|G1QWG3_NOMLE
OG0002842	sp|Q9NVZ3|NECP2_HUMAN	tr|A0A2I3HJF2|A0A2I3HJF2_NOMLE
OG0002843	sp|Q9NZC4|EHF_HUMAN	tr|A0A2I3GRJ0|A0A2I3GRJ0_NOMLE
OG0002844	sp|Q9P0V8|SLAF8_HUMAN	tr|G1RS65|G1RS65_NOMLE
OG0002845	sp|Q9P2E3|ZNFX1_HUMAN	tr|G1R5M1|G1R5M1_NOMLE
OG0002846	sp|Q9UGC6|RGS17_HUMAN	tr|G1RZT6|G1RZT6_NOMLE
OG0002847	sp|Q9UKV0|HDAC9_HUMAN	tr|G1S3X8|G1S3X8_NOMLE
OG0002848	sp|Q9UL25|RAB21_HUMAN	tr|G1QWN6|G1QWN6_NOMLE
OG0002849	sp|A6H8M9|CDHR4_HUMAN	tr|G1R5D8|G1R5D8_NOMLE
OG0002850	sp|A6NKC9|SH2D7_HUMAN	tr|A0A2I3GKS0|A0A2I3GKS0_NOMLE
OG0002851	sp|A9YTQ3|AHRR_HUMAN	tr|A0A2I3GC19|A0A2I3GC19_NOMLE
OG0002852	sp|O14867|BACH1_HUMAN	tr|G1QT20|G1QT20_NOMLE
OG0002853	sp|O14905|WNT9B_HUMAN	tr|G1QYD5|G1QYD5_NOMLE
OG0002854	sp|O15547|P2RX6_HUMAN	tr|G1R9A7|G1R9A7_NOMLE
OG0002855	sp|O75078|ADA11_HUMAN	tr|G1QZF7|G1QZF7_NOMLE
OG0002856	sp|O75387|LAT3_HUMAN	tr|G1RQK4|G1RQK4_NOMLE
OG0002857	sp|O94956|SO2B1_HUMAN	tr|A0A2I3GGE3|A0A2I3GGE3_NOMLE
OG0002858	sp|O95479|G6PE_HUMAN	tr|G1RDJ1|G1RDJ1_NOMLE
OG0002859	sp|O95772|STR3N_HUMAN	tr|A0A2I3H1B7|A0A2I3H1B7_NOMLE
OG0002860	sp|P06729|CD2_HUMAN	tr|G1QZ89|G1QZ89_NOMLE
OG0002861	sp|P26436|ASPX_HUMAN	tr|G1R7A2|G1R7A2_NOMLE
OG0002862	sp|P50591|TNF10_HUMAN	tr|A0A2I3HA28|A0A2I3HA28_NOMLE
OG0002863	sp|P51816|AFF2_HUMAN	tr|G1RSS3|G1RSS3_NOMLE
OG0002864	sp|P51888|PRELP_HUMAN	tr|G1S918|G1S918_NOMLE
OG0002865	sp|P53985|MOT1_HUMAN	tr|G1QW85|G1QW85_NOMLE
OG0002866	sp|P55082|MFAP3_HUMAN	tr|G1S3J9|G1S3J9_NOMLE
OG0002867	sp|P59797|SELV_HUMAN	tr|G1RVS7|G1RVS7_NOMLE
OG0002868	sp|P78367|NKX32_HUMAN	tr|G1S2H4|G1S2H4_NOMLE
OG0002869	sp|Q02241|KIF23_HUMAN	tr|G1RT23|G1RT23_NOMLE
OG0002870	sp|Q15084|PDIA6_HUMAN	tr|A0A2I3GIL9|A0A2I3GIL9_NOMLE
OG0002871	sp|Q17RN3|FA98C_HUMAN	tr|G1S4P3|G1S4P3_NOMLE
OG0002872	sp|Q2QGD7|ZXDC_HUMAN	tr|G1QK11|G1QK11_NOMLE
OG0002873	sp|Q5EBM0|CMPK2_HUMAN	tr|A0A2I3HRA9|A0A2I3HRA9_NOMLE
OG0002874	sp|Q5T1R4|ZEP3_HUMAN	tr|G1RNU5|G1RNU5_NOMLE
OG0002875	sp|Q6IPT4|NB5R5_HUMAN	tr|A0A2I3GFW2|A0A2I3GFW2_NOMLE
OG0002876	sp|Q7Z3D6|GLUCM_HUMAN	tr|G1S5F0|G1S5F0_NOMLE
OG0002877	sp|Q7Z6G3|NECA2_HUMAN	tr|G1RIZ2|G1RIZ2_NOMLE
OG0002878	sp|Q8IV33|K0825_HUMAN	tr|G1RUJ7|G1RUJ7_NOMLE
OG0002879	sp|Q8IYB1|M21D2_HUMAN	tr|A0A2I3HWL1|A0A2I3HWL1_NOMLE
OG0002880	sp|Q8N539|FBCD1_HUMAN	tr|G1RPV4|G1RPV4_NOMLE
OG0002881	sp|Q8N5S9|KKCC1_HUMAN	tr|A0A2I3HPY1|A0A2I3HPY1_NOMLE
OG0002882	sp|Q8NBB4|ZSCA1_HUMAN	tr|G1RJM9|G1RJM9_NOMLE
OG0002883	sp|Q8NBJ7|SUMF2_HUMAN	tr|G1S0T2|G1S0T2_NOMLE
OG0002884	sp|Q8WU66|TSEAR_HUMAN	tr|A0A2I3H6Z7|A0A2I3H6Z7_NOMLE
OG0002885	sp|Q8WVC0|LEO1_HUMAN	tr|G1R3V4|G1R3V4_NOMLE
OG0002886	sp|Q96AQ7|CIDEC_HUMAN	tr|G1QVZ2|G1QVZ2_NOMLE
OG0002887	sp|Q96EX2|RNFT2_HUMAN	tr|G1QHD6|G1QHD6_NOMLE
OG0002888	sp|Q96NR8|RDH12_HUMAN	tr|G1QJC0|G1QJC0_NOMLE
OG0002889	sp|Q96PL1|SG3A2_HUMAN	tr|G1RG39|G1RG39_NOMLE
OG0002890	sp|Q9BRP4|PAAF1_HUMAN	tr|A0A2I3G7U6|A0A2I3G7U6_NOMLE
OG0002891	sp|Q9GZV9|FGF23_HUMAN	tr|G1QS31|G1QS31_NOMLE
OG0002892	sp|Q9H0E9|BRD8_HUMAN	tr|A0A2I3G9U0|A0A2I3G9U0_NOMLE
OG0002893	sp|Q9H2B4|S26A1_HUMAN	tr|G1QJQ9|G1QJQ9_NOMLE
OG0002894	sp|Q9H9C1|SPE39_HUMAN	tr|A0A2I3GF19|A0A2I3GF19_NOMLE
OG0002895	sp|Q9NRS4|TMPS4_HUMAN	tr|G1R6Z7|G1R6Z7_NOMLE
OG0002896	sp|Q9NRX5|SERC1_HUMAN	tr|M3ZAQ7|M3ZAQ7_NOMLE
OG0002897	sp|Q9NZN5|ARHGC_HUMAN	tr|A0A2I3HFE2|A0A2I3HFE2_NOMLE
OG0002898	sp|Q9P202|WHRN_HUMAN	tr|G1S4K1|G1S4K1_NOMLE
OG0002899	sp|Q9P241|AT10D_HUMAN	tr|G1S6C1|G1S6C1_NOMLE
OG0002900	sp|Q9P2D0|IBTK_HUMAN	tr|G1RPT0|G1RPT0_NOMLE
OG0002901	sp|Q9UBQ0|VPS29_HUMAN	tr|A0A2I3GK26|A0A2I3GK26_NOMLE
OG0002902	sp|Q9UBS9|SUCO_HUMAN	tr|G1RZ51|G1RZ51_NOMLE
OG0002903	sp|Q9UHF5|IL17B_HUMAN	tr|A0A2I3G8G8|A0A2I3G8G8_NOMLE
OG0002904	sp|Q9UJW2|TINAG_HUMAN	tr|G1QT07|G1QT07_NOMLE
OG0002905	sp|Q9UM63|PLAL1_HUMAN	tr|G1RYS5|G1RYS5_NOMLE
OG0002906	sp|Q9Y574|ASB4_HUMAN	tr|G1S134|G1S134_NOMLE
OG0002907	sp|A0AV96|RBM47_HUMAN	tr|A0A2I3GJI6|A0A2I3GJI6_NOMLE
OG0002908	sp|A1L157|TSN11_HUMAN	tr|G1S3A5|G1S3A5_NOMLE
OG0002909	sp|O14817|TSN4_HUMAN	tr|G1RBL8|G1RBL8_NOMLE
OG0002910	sp|O43187|IRAK2_HUMAN	tr|G1QWM8|G1QWM8_NOMLE
OG0002911	sp|O95816|BAG2_HUMAN	tr|G1QR25|G1QR25_NOMLE
OG0002912	sp|P01138|NGF_HUMAN	tr|A0A2I3GD87|A0A2I3GD87_NOMLE
OG0002913	sp|P03901|NU4LM_HUMAN	tr|E7EAD2|E7EAD2_NOMLE
OG0002914	sp|P0CW18|PRS56_HUMAN	tr|G1RVT2|G1RVT2_NOMLE
OG0002915	sp|P14923|PLAK_HUMAN	tr|G1RJN3|G1RJN3_NOMLE
OG0002916	sp|P17031|ZNF26_HUMAN	tr|A0A2I3G6J4|A0A2I3G6J4_NOMLE
OG0002917	sp|P17032|ZN37A_HUMAN	tr|G1RBP5|G1RBP5_NOMLE
OG0002918	sp|P27824|CALX_HUMAN	tr|G1QM21|G1QM21_NOMLE
OG0002919	sp|P42765|THIM_HUMAN	tr|G1RLJ7|G1RLJ7_NOMLE
OG0002920	sp|P46059|S15A1_HUMAN	tr|A0A2I3GDB1|A0A2I3GDB1_NOMLE
OG0002921	sp|P50120|RET2_HUMAN	tr|G1QWS0|G1QWS0_NOMLE
OG0002922	sp|P51811|XK_HUMAN	tr|G1QJI4|G1QJI4_NOMLE
OG0002923	sp|P51828|ADCY7_HUMAN	tr|G1QJ62|G1QJ62_NOMLE
OG0002924	sp|P55039|DRG2_HUMAN	tr|G1RUB6|G1RUB6_NOMLE
OG0002925	sp|P61925|IPKA_HUMAN	tr|G1QNA1|G1QNA1_NOMLE
OG0002926	sp|P62314|SMD1_HUMAN	tr|A0A2I3FTG4|A0A2I3FTG4_NOMLE
OG0002927	sp|P63172|DYLT1_HUMAN	tr|A0A2I3HCA2|A0A2I3HCA2_NOMLE
OG0002928	sp|P78406|RAE1L_HUMAN	tr|G1R5X8|G1R5X8_NOMLE
OG0002929	sp|Q02575|HEN1_HUMAN	tr|G1RTD2|G1RTD2_NOMLE
OG0002930	sp|Q09MP3|R51A2_HUMAN	tr|G1QLJ1|G1QLJ1_NOMLE
OG0002931	sp|Q12884|SEPR_HUMAN	tr|A0A2I3GN71|A0A2I3GN71_NOMLE
OG0002932	sp|Q13905|RPGF1_HUMAN	tr|G1RQQ6|G1RQQ6_NOMLE
OG0002933	sp|Q15276|RABE1_HUMAN	tr|A0A2I3GVK2|A0A2I3GVK2_NOMLE
OG0002934	sp|Q16533|SNPC1_HUMAN	tr|A0A2I3HG62|A0A2I3HG62_NOMLE
OG0002935	sp|Q53GT1|KLH22_HUMAN	tr|G1R8V4|G1R8V4_NOMLE
OG0002936	sp|Q5T7R7|CA185_HUMAN	tr|H9HA50|H9HA50_NOMLE
OG0002937	sp|Q75T13|PGAP1_HUMAN	tr|A0A2I3HF16|A0A2I3HF16_NOMLE
OG0002938	sp|Q7RTV3|ZN367_HUMAN	tr|G1S4I3|G1S4I3_NOMLE
OG0002939	sp|Q7Z2T5|TRM1L_HUMAN	tr|G1S8R4|G1S8R4_NOMLE
OG0002940	sp|Q7Z478|DHX29_HUMAN	tr|G1QLC3|G1QLC3_NOMLE
OG0002941	sp|Q7Z4T8|GLTL5_HUMAN	tr|G1QXB2|G1QXB2_NOMLE
OG0002942	sp|Q8IVW4|CDKL3_HUMAN	tr|A0A2I3GUZ8|A0A2I3GUZ8_NOMLE
OG0002943	sp|Q8IW03|SIAH3_HUMAN	tr|G1QPZ2|G1QPZ2_NOMLE
OG0002944	sp|Q8IZL2|MAML2_HUMAN	tr|A0A2I3G3H9|A0A2I3G3H9_NOMLE
OG0002945	sp|Q8N103|TAGAP_HUMAN	tr|G1RJL1|G1RJL1_NOMLE
OG0002946	sp|Q8N812|CL076_HUMAN	tr|A0A2I3GLI3|A0A2I3GLI3_NOMLE
OG0002947	sp|Q8NG08|HELB_HUMAN	tr|G1QSN6|G1QSN6_NOMLE
OG0002948	sp|Q8TAS1|UHMK1_HUMAN	tr|M3Z904|M3Z904_NOMLE
OG0002949	sp|Q8TBX8|PI42C_HUMAN	tr|G1S643|G1S643_NOMLE
OG0002950	sp|Q96C45|ULK4_HUMAN	tr|G1R1C4|G1R1C4_NOMLE
OG0002951	sp|Q96CG3|TIFA_HUMAN	tr|A0A2I3GUQ8|A0A2I3GUQ8_NOMLE
OG0002952	sp|Q96GW7|PGCB_HUMAN	tr|G1RQD0|G1RQD0_NOMLE
OG0002953	sp|Q96KF7|SMIM8_HUMAN	tr|A0A2I3GPX8|A0A2I3GPX8_NOMLE
OG0002954	sp|Q96QH8|LYZL5_HUMAN	tr|G1QTF5|G1QTF5_NOMLE
OG0002955	sp|Q9BRQ3|NUD22_HUMAN	tr|G1QY53|G1QY53_NOMLE
OG0002956	sp|Q9BTM9|URM1_HUMAN	tr|A0A2I3G169|A0A2I3G169_NOMLE
OG0002957	sp|Q9BV87|CNPD1_HUMAN	tr|A0A2I3GS34|A0A2I3GS34_NOMLE
OG0002958	sp|Q9BZM4|ULBP3_HUMAN	tr|G1RZG8|G1RZG8_NOMLE
OG0002959	sp|Q9H5I1|SUV92_HUMAN	tr|G1RN95|G1RN95_NOMLE
OG0002960	sp|Q9H6E5|STPAP_HUMAN	tr|G1QUG8|G1QUG8_NOMLE
OG0002961	sp|Q9HCJ1|ANKH_HUMAN	tr|G1RME8|G1RME8_NOMLE
OG0002962	sp|Q9NR99|MXRA5_HUMAN	tr|G1RB04|G1RB04_NOMLE
OG0002963	sp|Q9NXK8|FXL12_HUMAN	tr|A0A2I3HIX4|A0A2I3HIX4_NOMLE
OG0002964	sp|Q9NY74|ETAA1_HUMAN	tr|G1RFZ9|G1RFZ9_NOMLE
OG0002965	sp|Q9NYZ2|MFRN1_HUMAN	tr|G1S1G7|G1S1G7_NOMLE
OG0002966	sp|Q9P0L9|PK2L1_HUMAN	tr|G1RXF9|G1RXF9_NOMLE
OG0002967	sp|Q9P104|DOK5_HUMAN	tr|G1R5U3|G1R5U3_NOMLE
OG0002968	sp|Q9ULH4|LRFN2_HUMAN	tr|G1QI87|G1QI87_NOMLE
OG0002969	sp|Q9Y512|SAM50_HUMAN	tr|A0A2I3H4U8|A0A2I3H4U8_NOMLE
OG0002970	sp|Q9Y6U7|RN215_HUMAN	tr|A0A2I3HQW7|A0A2I3HQW7_NOMLE
OG0002971	sp|A0A096LP49|CC187_HUMAN	tr|A0A2I3GIZ0|A0A2I3GIZ0_NOMLE
OG0002972	sp|A6NDV4|TMM8B_HUMAN	tr|G1QV89|G1QV89_NOMLE
OG0002973	sp|O00321|ETV2_HUMAN	tr|A0A2I3HKY5|A0A2I3HKY5_NOMLE
OG0002974	sp|O00548|DLL1_HUMAN	tr|A0A2I3GAD8|A0A2I3GAD8_NOMLE
OG0002975	sp|O14792|HS3S1_HUMAN	tr|G1S2F3|G1S2F3_NOMLE
OG0002976	sp|O60381|HBP1_HUMAN	tr|A0A2I3HDI5|A0A2I3HDI5_NOMLE
OG0002977	sp|O75460|ERN1_HUMAN	tr|G1RYK6|G1RYK6_NOMLE
OG0002978	sp|O75899|GABR2_HUMAN	tr|G1S578|G1S578_NOMLE
OG0002979	sp|O95936|EOMES_HUMAN	tr|G1QVE0|G1QVE0_NOMLE
OG0002980	sp|P01034|CYTC_HUMAN	tr|A0A2I3H2G9|A0A2I3H2G9_NOMLE
OG0002981	sp|P01275|GLUC_HUMAN	tr|G1QQ90|G1QQ90_NOMLE
OG0002982	sp|P07476|INVO_HUMAN	tr|A0A2I3H0M5|A0A2I3H0M5_NOMLE
OG0002983	sp|P0C875|F228B_HUMAN	tr|G1QJ95|G1QJ95_NOMLE
OG0002984	sp|P11177|ODPB_HUMAN	tr|G1R6U9|G1R6U9_NOMLE
OG0002985	sp|P14210|HGF_HUMAN	tr|M3ZBA9|M3ZBA9_NOMLE
OG0002986	sp|P16591|FER_HUMAN	tr|G1RKA0|G1RKA0_NOMLE
OG0002987	sp|P28039|AOAH_HUMAN	tr|G1QPH5|G1QPH5_NOMLE
OG0002988	sp|P45877|PPIC_HUMAN	tr|G1RN31|G1RN31_NOMLE
OG0002989	sp|P85299|PRR5_HUMAN	tr|A0A2I3H8I4|A0A2I3H8I4_NOMLE
OG0002990	sp|Q00587|BORG5_HUMAN	tr|A0A2I3HBN6|A0A2I3HBN6_NOMLE
OG0002991	sp|Q09327|MGAT3_HUMAN	tr|A0A2I3HIN4|A0A2I3HIN4_NOMLE
OG0002992	sp|Q14623|IHH_HUMAN	tr|G1RCS4|G1RCS4_NOMLE
OG0002993	sp|Q15121|PEA15_HUMAN	tr|A0A2I3GK01|A0A2I3GK01_NOMLE
OG0002994	sp|Q16378|PROL4_HUMAN	tr|A0A2I3H1Q0|A0A2I3H1Q0_NOMLE
OG0002995	sp|Q2YD98|UVSSA_HUMAN	tr|G1QK36|G1QK36_NOMLE
OG0002996	sp|Q5H8A4|PIGG_HUMAN	tr|G1QJB2|G1QJB2_NOMLE
OG0002997	sp|Q5T0D9|TPRGL_HUMAN	tr|A0A2I3GEA5|A0A2I3GEA5_NOMLE
OG0002998	sp|Q5T7W0|ZN618_HUMAN	tr|A0A2I3GXI7|A0A2I3GXI7_NOMLE
OG0002999	sp|Q6P5X7|TMM71_HUMAN	tr|G1R1C1|G1R1C1_NOMLE
OG0003000	sp|Q6PEW0|PRS54_HUMAN	tr|G1QT79|G1QT79_NOMLE
OG0003001	sp|Q6T4R5|NHS_HUMAN	tr|A0A2I3GGA5|A0A2I3GGA5_NOMLE
OG0003002	sp|Q6UX65|DRAM2_HUMAN	tr|G1QU81|G1QU81_NOMLE
OG0003003	sp|Q7L8A9|VASH1_HUMAN	tr|G1S3S9|G1S3S9_NOMLE
OG0003004	sp|Q7RTY5|PRS48_HUMAN	tr|G1R1I2|G1R1I2_NOMLE
OG0003005	sp|Q7Z4J2|GL6D1_HUMAN	tr|G1RC29|G1RC29_NOMLE
OG0003006	sp|Q86XK2|FBX11_HUMAN	tr|G1RBE7|G1RBE7_NOMLE
OG0003007	sp|Q8N4H0|SPA6L_HUMAN	tr|G1RC68|G1RC68_NOMLE
OG0003008	sp|Q8N5M9|JAGN1_HUMAN	tr|G1QVZ4|G1QVZ4_NOMLE
OG0003009	sp|Q8TBE9|NANP_HUMAN	tr|G1S0L7|G1S0L7_NOMLE
OG0003010	sp|Q8WTW3|COG1_HUMAN	tr|A0A2I3GL12|A0A2I3GL12_NOMLE
OG0003011	sp|Q8WUY1|THEM6_HUMAN	tr|G1QKR7|G1QKR7_NOMLE
OG0003012	sp|Q92813|IOD2_HUMAN	tr|A0A2I3GP03|A0A2I3GP03_NOMLE
OG0003013	sp|Q96DZ9|CKLF5_HUMAN	tr|A0A2I3GTR5|A0A2I3GTR5_NOMLE
OG0003014	sp|Q96F63|CCD97_HUMAN	tr|A0A2I3H297|A0A2I3H297_NOMLE
OG0003015	sp|Q96JB3|HIC2_HUMAN	tr|G1QH52|G1QH52_NOMLE
OG0003016	sp|Q99470|SDF2_HUMAN	tr|G1QQR9|G1QQR9_NOMLE
OG0003017	sp|Q99615|DNJC7_HUMAN	tr|G1RKI8|G1RKI8_NOMLE
OG0003018	sp|Q99963|SH3G3_HUMAN	tr|G1RIU0|G1RIU0_NOMLE
OG0003019	sp|Q99988|GDF15_HUMAN	tr|A0A2I3GFM5|A0A2I3GFM5_NOMLE
OG0003020	sp|Q9BRQ0|PYGO2_HUMAN	tr|G1RL91|G1RL91_NOMLE
OG0003021	sp|Q9NPF5|DMAP1_HUMAN	tr|A0A2I3GJZ0|A0A2I3GJZ0_NOMLE
OG0003022	sp|Q9NRY4|RHG35_HUMAN	tr|G1QRJ8|G1QRJ8_NOMLE
OG0003023	sp|Q9NVF9|EKI2_HUMAN	tr|A0A2I3G243|A0A2I3G243_NOMLE
OG0003024	sp|Q9NZQ3|SPN90_HUMAN	tr|G1R4K3|G1R4K3_NOMLE
OG0003025	sp|Q9P2M1|LR2BP_HUMAN	tr|G1RJY8|G1RJY8_NOMLE
OG0003026	sp|Q9UEY8|ADDG_HUMAN	tr|G1RZS3|G1RZS3_NOMLE
OG0003027	sp|Q9UPR3|SMG5_HUMAN	tr|G1RPI6|G1RPI6_NOMLE
OG0003028	sp|Q9Y244|POMP_HUMAN	tr|G1QIE1|G1QIE1_NOMLE
OG0003029	sp|A0A1B0GVZ9|TM269_HUMAN	tr|A0A2I3G7K4|A0A2I3G7K4_NOMLE
OG0003030	sp|A2RUB1|MEIOC_HUMAN	tr|G1QZK1|G1QZK1_NOMLE
