Orthogroup	Homo_sapiens	Aotus_nancymaae
OG0002568	sp|P30559|OXYR_HUMAN, sp|Q8NGU9|GP150_HUMAN	tr|A0A2K5E354|A0A2K5E354_AOTNA
OG0002569	sp|P17538|CTRB1_HUMAN, sp|Q6GPI1|CTRB2_HUMAN	tr|A0A2K5E9Q9|A0A2K5E9Q9_AOTNA
OG0002570	sp|Q53FE4|CD017_HUMAN, sp|Q96M53|TBATA_HUMAN	tr|A0A2K5DTC0|A0A2K5DTC0_AOTNA
OG0002571	sp|Q9H9Y4|GPN2_HUMAN	tr|A0A2K5ERQ0|A0A2K5ERQ0_AOTNA, tr|A0A2K5E9G1|A0A2K5E9G1_AOTNA
OG0002572	sp|Q9H741|SPRNG_HUMAN	tr|A0A2K5EJT6|A0A2K5EJT6_AOTNA, tr|A0A2K5ED15|A0A2K5ED15_AOTNA
OG0002573	sp|Q6PEY1|TMM88_HUMAN, sp|A6NKF7|TM88B_HUMAN	tr|A0A2K5EKK5|A0A2K5EKK5_AOTNA
OG0002574	sp|P11802|CDK4_HUMAN	tr|A0A2K5CHE0|A0A2K5CHE0_AOTNA, tr|A0A2K5ELS4|A0A2K5ELS4_AOTNA
OG0002575	sp|Q9NUQ3|TXLNG_HUMAN, sp|Q9BZA5|TXNG2_HUMAN	tr|A0A2K5CEN8|A0A2K5CEN8_AOTNA
OG0002576	sp|Q6PID6|TTC33_HUMAN	tr|A0A2K5CWN1|A0A2K5CWN1_AOTNA, tr|A0A2K5ET17|A0A2K5ET17_AOTNA
OG0002577	sp|O60493|SNX3_HUMAN	tr|A0A2K5DLK8|A0A2K5DLK8_AOTNA, tr|A0A2K5D1J5|A0A2K5D1J5_AOTNA
OG0002578	sp|Q96PX9|PKH4B_HUMAN, sp|Q58EX7|PKHG4_HUMAN	tr|A0A2K5EVM4|A0A2K5EVM4_AOTNA
OG0002579	sp|Q3LFD5|UBP41_HUMAN, sp|Q9UMW8|UBP18_HUMAN	tr|A0A2K5F7H5|A0A2K5F7H5_AOTNA
OG0002580	sp|Q4AC99|1A1L2_HUMAN	tr|A0A2K5D0D3|A0A2K5D0D3_AOTNA, tr|A0A2K5FAJ1|A0A2K5FAJ1_AOTNA
OG0002581	sp|Q8IZA3|H18_HUMAN	tr|A0A2K5DCZ6|A0A2K5DCZ6_AOTNA, tr|A0A2K5D9R1|A0A2K5D9R1_AOTNA
OG0002582	sp|Q9NQW5|PRDM7_HUMAN, sp|Q9NQV7|PRDM9_HUMAN	tr|A0A2K5DFM2|A0A2K5DFM2_AOTNA
OG0002583	sp|Q15170|TCAL1_HUMAN, sp|Q9UHQ7|TCAL9_HUMAN	tr|A0A2K5DZM3|A0A2K5DZM3_AOTNA
OG0002584	sp|O15260|SURF4_HUMAN	tr|A0A2K5CHS1|A0A2K5CHS1_AOTNA, tr|A0A2K5EB59|A0A2K5EB59_AOTNA
OG0002585	sp|Q8N3Z0|PRS35_HUMAN, sp|O95084|PRS23_HUMAN	tr|A0A2K5BYF3|A0A2K5BYF3_AOTNA
OG0002586	sp|P13569|CFTR_HUMAN	sp|Q07DV2|CFTR_AOTNA, tr|A0A2K5C1X2|A0A2K5C1X2_AOTNA
OG0002587	sp|Q2TBE0|C19L2_HUMAN	tr|A0A2K5CTH8|A0A2K5CTH8_AOTNA, tr|A0A2K5E599|A0A2K5E599_AOTNA
OG0002588	sp|O43474|KLF4_HUMAN	tr|A0A2K5ELF0|A0A2K5ELF0_AOTNA, tr|A0A2K5DVB9|A0A2K5DVB9_AOTNA
OG0002589	sp|P30046|DOPD_HUMAN, sp|A6NHG4|DDTL_HUMAN	tr|A0A2K5BV45|A0A2K5BV45_AOTNA
OG0002590	sp|B7Z1M9|C2D4D_HUMAN, sp|Q8TF44|C2C4C_HUMAN	tr|A0A2K5CRJ3|A0A2K5CRJ3_AOTNA
OG0002591	sp|Q16186|ADRM1_HUMAN	tr|A0A2K5E277|A0A2K5E277_AOTNA, tr|A0A2K5CLJ2|A0A2K5CLJ2_AOTNA
OG0002592	sp|Q9H772|GREM2_HUMAN, sp|O60565|GREM1_HUMAN	tr|A0A2K5C3I5|A0A2K5C3I5_AOTNA
OG0002593	sp|O95714|HERC2_HUMAN, sp|Q9BVR0|HRC23_HUMAN	tr|A0A2K5CH94|A0A2K5CH94_AOTNA
OG0002594	sp|Q96KS0|EGLN2_HUMAN	tr|A0A2K5DNK6|A0A2K5DNK6_AOTNA, tr|A0A2K5D6S1|A0A2K5D6S1_AOTNA
OG0002595	sp|Q9NNX6|CD209_HUMAN, sp|Q9H2X3|CLC4M_HUMAN	tr|A0A2K5D7X1|A0A2K5D7X1_AOTNA
OG0002596	sp|P10966|CD8B_HUMAN, sp|A6NJW9|CD8B2_HUMAN	tr|A0A2K5DPL9|A0A2K5DPL9_AOTNA
OG0002597	sp|O43592|XPOT_HUMAN	tr|A0A2K5EAS6|A0A2K5EAS6_AOTNA, tr|A0A2K5DTW7|A0A2K5DTW7_AOTNA
OG0002598	sp|Q6PF06|TM10B_HUMAN, sp|Q7L0Y3|TM10C_HUMAN	tr|A0A2K5EGG6|A0A2K5EGG6_AOTNA
OG0002599	sp|Q9Y3C4|TPRKB_HUMAN	tr|A0A2K5D6B6|A0A2K5D6B6_AOTNA, tr|A0A2K5EIN2|A0A2K5EIN2_AOTNA
OG0002600	sp|Q9ULZ3|ASC_HUMAN, sp|Q8WXC3|PYDC1_HUMAN	tr|A0A2K5BYQ4|A0A2K5BYQ4_AOTNA
OG0002601	sp|Q9BXM0|PRAX_HUMAN, sp|Q8IVF2|AHNK2_HUMAN	tr|A0A2K5C0M3|A0A2K5C0M3_AOTNA
OG0002602	sp|Q86SQ9|DHDDS_HUMAN	tr|A0A2K5CG13|A0A2K5CG13_AOTNA, tr|A0A2K5CSE6|A0A2K5CSE6_AOTNA
OG0002603	sp|Q9BTP7|FAP24_HUMAN	tr|A0A2K5BVD6|A0A2K5BVD6_AOTNA, tr|A0A2K5D0B3|A0A2K5D0B3_AOTNA
OG0002604	sp|Q9P296|C5AR2_HUMAN, sp|P21730|C5AR1_HUMAN	tr|A0A2K5E0U9|A0A2K5E0U9_AOTNA
OG0002605	sp|Q86UP8|GTD2A_HUMAN, sp|Q6EKJ0|GTD2B_HUMAN	tr|A0A2K5E959|A0A2K5E959_AOTNA
OG0002606	sp|A0A0B4J2F2|SIK1B_HUMAN, sp|P57059|SIK1_HUMAN	tr|A0A2K5F7Z6|A0A2K5F7Z6_AOTNA
OG0002607	sp|Q8N4N8|KIF2B_HUMAN, sp|O00139|KIF2A_HUMAN	tr|A0A2K5CYN4|A0A2K5CYN4_AOTNA
OG0002608	sp|Q9H4T2|ZSC16_HUMAN, sp|Q5T619|ZN648_HUMAN	tr|A0A2K5DI76|A0A2K5DI76_AOTNA
OG0002609	sp|P18577|RHCE_HUMAN, sp|Q02161|RHD_HUMAN	tr|A0A2K5E4J1|A0A2K5E4J1_AOTNA
OG0002610	sp|Q9NSY1|BMP2K_HUMAN, sp|Q5H9B9|BM2KL_HUMAN	tr|A0A2K5E6P2|A0A2K5E6P2_AOTNA
OG0002611	sp|Q99102|MUC4_HUMAN, sp|Q9UGT4|SUSD2_HUMAN	tr|A0A2K5CPA6|A0A2K5CPA6_AOTNA
OG0002612	sp|Q9Y614|ACL7B_HUMAN, sp|Q9Y615|ACL7A_HUMAN	tr|A0A2K5CXT2|A0A2K5CXT2_AOTNA
OG0002613	sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|A0A2K5D7G3|A0A2K5D7G3_AOTNA
OG0002614	sp|Q8TDR2|STK35_HUMAN	tr|A0A2K5DFE1|A0A2K5DFE1_AOTNA, tr|A0A2K5D7U0|A0A2K5D7U0_AOTNA
OG0002615	sp|Q9BZ67|FRMD8_HUMAN, sp|Q9BZ68|FR8P1_HUMAN	tr|A0A2K5E1U1|A0A2K5E1U1_AOTNA
OG0002616	sp|Q8IZJ0|IFNL2_HUMAN, sp|Q8IZI9|IFNL3_HUMAN	tr|A0A2K5CW05|A0A2K5CW05_AOTNA
OG0002617	sp|O75330|HMMR_HUMAN	tr|A0A2K5EXA4|A0A2K5EXA4_AOTNA, tr|A0A2K5DLA3|A0A2K5DLA3_AOTNA
OG0002618	sp|Q9BZX2|UCK2_HUMAN	tr|A0A2K5E4Q7|A0A2K5E4Q7_AOTNA, tr|A0A2K5D434|A0A2K5D434_AOTNA
OG0002619	sp|O43930|PRKY_HUMAN, sp|P51817|PRKX_HUMAN	tr|A0A2K5CHI8|A0A2K5CHI8_AOTNA
OG0002620	sp|O00458|IFRD1_HUMAN	tr|A0A2K5DW74|A0A2K5DW74_AOTNA, tr|A0A2K5CN46|A0A2K5CN46_AOTNA
OG0002621	sp|Q8N443|RIBC1_HUMAN	tr|A0A2K5DIW1|A0A2K5DIW1_AOTNA, tr|A0A2K5EB19|A0A2K5EB19_AOTNA
OG0002622	sp|O60397|COX7S_HUMAN, sp|P14406|CX7A2_HUMAN	tr|A0A2K5EM12|A0A2K5EM12_AOTNA
OG0002623	sp|P40305|IFI27_HUMAN, sp|Q96BM0|I27L1_HUMAN	tr|A0A2K5CWW2|A0A2K5CWW2_AOTNA
OG0002624	sp|Q9HC73|CRLF2_HUMAN, sp|Q01113|IL9R_HUMAN	tr|A0A2K5CYV4|A0A2K5CYV4_AOTNA
OG0002625	sp|Q9NVR0|KLH11_HUMAN, sp|Q13939|CALI_HUMAN	tr|A0A2K5D4S0|A0A2K5D4S0_AOTNA
OG0002626	sp|Q7Z5H3|RHG22_HUMAN, sp|Q8N264|RHG24_HUMAN	tr|A0A2K5DAH3|A0A2K5DAH3_AOTNA
OG0002627	sp|Q6UWQ5|LYZL1_HUMAN, sp|Q7Z4W2|LYZL2_HUMAN	tr|A0A2K5DUX5|A0A2K5DUX5_AOTNA
OG0002628	sp|A8MUM7|LEG16_HUMAN	tr|A0A2K5DZ20|A0A2K5DZ20_AOTNA, tr|A0A2K5C2N8|A0A2K5C2N8_AOTNA
OG0002629	sp|A7XYQ1|SOBP_HUMAN, sp|Q9Y5P3|RAI2_HUMAN	tr|A0A2K5EHD4|A0A2K5EHD4_AOTNA
OG0002630	sp|Q9H0A9|SPC1L_HUMAN, sp|Q76KD6|SPERI_HUMAN	tr|A0A2K5F2X6|A0A2K5F2X6_AOTNA
OG0002631	sp|O15551|CLD3_HUMAN, sp|O00501|CLD5_HUMAN	tr|A0A2K5BX04|A0A2K5BX04_AOTNA
OG0002632	sp|Q92748|THRSP_HUMAN, sp|Q9NPA3|M1IP1_HUMAN	tr|A0A2K5C1D8|A0A2K5C1D8_AOTNA
OG0002633	sp|E9PI22|P23D1_HUMAN, sp|P0DMB1|P23D2_HUMAN	tr|A0A2K5C8Q0|A0A2K5C8Q0_AOTNA
OG0002634	sp|O75153|CLU_HUMAN, sp|Q96NS8|CLUP3_HUMAN	tr|A0A2K5CK32|A0A2K5CK32_AOTNA
OG0002635	sp|Q9Y271|CLTR1_HUMAN, sp|Q9NS75|CLTR2_HUMAN	tr|A0A2K5CXR9|A0A2K5CXR9_AOTNA
OG0002636	sp|P41440|S19A1_HUMAN	tr|A0A2K5EHW6|A0A2K5EHW6_AOTNA, tr|A0A2K5DZ53|A0A2K5DZ53_AOTNA
OG0002637	sp|Q92600|CNOT9_HUMAN	tr|A0A2K5E857|A0A2K5E857_AOTNA, tr|A0A2K5FAD0|A0A2K5FAD0_AOTNA
OG0002638	sp|Q9UQ88|CD11A_HUMAN, sp|P21127|CD11B_HUMAN	tr|A0A2K5ELL5|A0A2K5ELL5_AOTNA
OG0002639	sp|Q969I3|GLYL1_HUMAN, sp|A0A0U1RQE8|GLYLB_HUMAN	tr|A0A2K5DG94|A0A2K5DG94_AOTNA
OG0002640	sp|Q9NUR3|TM74B_HUMAN, sp|Q96NL1|TMM74_HUMAN	tr|A0A2K5E246|A0A2K5E246_AOTNA
OG0002641	sp|Q9UHX3|AGRE2_HUMAN, sp|P48960|AGRE5_HUMAN	tr|A0A2K5EE49|A0A2K5EE49_AOTNA
OG0002642	sp|Q9NRZ7|PLCC_HUMAN	tr|A0A2K5E2Q8|A0A2K5E2Q8_AOTNA, tr|A0A2K5EV38|A0A2K5EV38_AOTNA
OG0002643	sp|Q9NWN3|FBX34_HUMAN, sp|Q6PJ61|FBX46_HUMAN	tr|A0A2K5C2F0|A0A2K5C2F0_AOTNA
OG0002644	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A2K5CIT1|A0A2K5CIT1_AOTNA, tr|A0A2K5C5P1|A0A2K5C5P1_AOTNA
OG0002645	sp|Q9Y2L8|ZKSC5_HUMAN	tr|A0A2K5CKC2|A0A2K5CKC2_AOTNA, tr|A0A2K5EAH1|A0A2K5EAH1_AOTNA
OG0002646	sp|Q9NXH8|TOR4A_HUMAN, sp|Q5JU69|TOR2A_HUMAN	tr|A0A2K5CTN4|A0A2K5CTN4_AOTNA
OG0002647	sp|Q6P1K8|T2H2L_HUMAN, sp|Q13888|TF2H2_HUMAN	tr|A0A2K5DSU8|A0A2K5DSU8_AOTNA
OG0002648	sp|Q5TFE4|NT5D1_HUMAN	tr|A0A2K5E1M0|A0A2K5E1M0_AOTNA, tr|A0A2K5E647|A0A2K5E647_AOTNA
OG0002649	sp|Q9H3N1|TMX1_HUMAN	tr|A0A2K5F341|A0A2K5F341_AOTNA, tr|A0A2K5CIF9|A0A2K5CIF9_AOTNA
OG0002650	sp|P54105|ICLN_HUMAN	tr|A0A2K5BXI5|A0A2K5BXI5_AOTNA, tr|A0A2K5C8U2|A0A2K5C8U2_AOTNA
OG0002651	sp|Q8WWP7|GIMA1_HUMAN, sp|Q8NHV1|GIMA7_HUMAN	tr|A0A2K5C540|A0A2K5C540_AOTNA
OG0002652	sp|Q6NUR6|R216L_HUMAN, sp|Q9NWF9|RN216_HUMAN	tr|A0A2K5CP39|A0A2K5CP39_AOTNA
OG0002653	tr|A0A096LPK6|A0A096LPK6_HUMAN, sp|Q9UJW3|DNM3L_HUMAN	tr|A0A2K5DH05|A0A2K5DH05_AOTNA
OG0002654	sp|P55073|IOD3_HUMAN, sp|P49895|IOD1_HUMAN	tr|A0A2K5DWE5|A0A2K5DWE5_AOTNA
OG0002655	sp|Q0VAA2|LR74A_HUMAN, sp|Q6ZQY2|LR74B_HUMAN	tr|A0A2K5DXY4|A0A2K5DXY4_AOTNA
OG0002656	sp|Q9NR71|ASAH2_HUMAN, sp|P0C7U1|ASA2B_HUMAN	tr|A0A2K5DZ80|A0A2K5DZ80_AOTNA
OG0002657	sp|P51864|TDGF3_HUMAN, sp|P13385|TDGF1_HUMAN	tr|A0A2K5CDN6|A0A2K5CDN6_AOTNA
OG0002658	sp|Q9UGI8|TES_HUMAN	sp|Q07DW1|TES_AOTNA, tr|A0A2K5DRV4|A0A2K5DRV4_AOTNA
OG0002659	sp|P15509|CSF2R_HUMAN, sp|P26951|IL3RA_HUMAN	tr|A0A2K5BZV6|A0A2K5BZV6_AOTNA
OG0002660	sp|Q9HBT8|Z286A_HUMAN, sp|P0CG31|Z286B_HUMAN	tr|A0A2K5C031|A0A2K5C031_AOTNA
OG0002661	sp|Q13443|ADAM9_HUMAN	tr|A0A2K5EHD1|A0A2K5EHD1_AOTNA, tr|A0A2K5ELT8|A0A2K5ELT8_AOTNA
OG0002662	sp|Q9NQ55|SSF1_HUMAN	tr|A0A2K5C795|A0A2K5C795_AOTNA, tr|A0A2K5F7I4|A0A2K5F7I4_AOTNA
OG0002663	sp|P08913|ADA2A_HUMAN, sp|P18825|ADA2C_HUMAN	tr|A0A2K5DSC3|A0A2K5DSC3_AOTNA
OG0002664	sp|Q5SRD1|TI23B_HUMAN, sp|O14925|TIM23_HUMAN	tr|A0A2K5DYA4|A0A2K5DYA4_AOTNA
OG0002665	sp|Q86V40|TIKI1_HUMAN, sp|A6NFA1|TIKI2_HUMAN	tr|A0A2K5EZF1|A0A2K5EZF1_AOTNA
OG0002666	sp|Q9UBM8|MGT4C_HUMAN	tr|A0A2K5D593|A0A2K5D593_AOTNA, tr|A0A2K5F2N7|A0A2K5F2N7_AOTNA
OG0002667	sp|Q96T17|MA7D2_HUMAN, sp|Q8IWC1|MA7D3_HUMAN	tr|A0A2K5F3R7|A0A2K5F3R7_AOTNA
OG0002668	sp|Q96HU8|DIRA2_HUMAN, sp|O95661|DIRA3_HUMAN	tr|A0A2K5DZN0|A0A2K5DZN0_AOTNA
OG0002669	sp|Q6UXN9|WDR82_HUMAN	tr|A0A2K5F3X2|A0A2K5F3X2_AOTNA, tr|A0A2K5F850|A0A2K5F850_AOTNA
OG0002670	sp|E5RIL1|UPKL2_HUMAN, sp|B0FP48|UPK3L_HUMAN	tr|A0A2K5D6E5|A0A2K5D6E5_AOTNA
OG0002671	sp|Q6ZNH5|ZN497_HUMAN, sp|O95863|SNAI1_HUMAN	tr|A0A2K5DLA5|A0A2K5DLA5_AOTNA
OG0002672	sp|P08861|CEL3B_HUMAN, sp|P09093|CEL3A_HUMAN	tr|A0A2K5DZ63|A0A2K5DZ63_AOTNA
OG0002673	sp|Q8IZF3|AGRF4_HUMAN, sp|Q8IZF7|AGRF2_HUMAN	tr|A0A2K5E8R6|A0A2K5E8R6_AOTNA
OG0002674	sp|Q8N8Y2|VA0D2_HUMAN	tr|A0A2K5EVN6|A0A2K5EVN6_AOTNA, tr|A0A2K5E1V0|A0A2K5E1V0_AOTNA
OG0002675	sp|Q9NZL9|MAT2B_HUMAN	tr|A0A2K5F7K7|A0A2K5F7K7_AOTNA, tr|A0A2K5EU63|A0A2K5EU63_AOTNA
OG0002676	sp|P08581|MET_HUMAN	tr|A0A2K5CM73|A0A2K5CM73_AOTNA, sp|Q07DV8|MET_AOTNA
OG0002677	sp|Q14500|KCJ12_HUMAN, sp|B7U540|KCJ18_HUMAN	tr|A0A2K5C155|A0A2K5C155_AOTNA
OG0002678	sp|Q8NGX5|O10K1_HUMAN	tr|A0A2K5EVS8|A0A2K5EVS8_AOTNA, tr|A0A2K5C567|A0A2K5C567_AOTNA
OG0002679	sp|Q6P9A2|GLT18_HUMAN, sp|Q9NY28|GALT8_HUMAN	tr|A0A2K5D2J2|A0A2K5D2J2_AOTNA
OG0002680	sp|P07204|TRBM_HUMAN, sp|Q9HCU0|CD248_HUMAN	tr|A0A2K5EIC5|A0A2K5EIC5_AOTNA
OG0002681	sp|Q8IY37|DHX37_HUMAN	tr|A0A2K5CN71|A0A2K5CN71_AOTNA, tr|A0A2K5ELB2|A0A2K5ELB2_AOTNA
OG0002682	sp|Q5T7P8|SYT6_HUMAN, sp|Q6XYQ8|SYT10_HUMAN	tr|A0A2K5D6M6|A0A2K5D6M6_AOTNA
OG0002683	sp|P54819|KAD2_HUMAN	tr|A0A2K5DKW2|A0A2K5DKW2_AOTNA, tr|A0A2K5D892|A0A2K5D892_AOTNA
OG0002684	sp|Q8TDV0|GP151_HUMAN, sp|P47211|GALR1_HUMAN	tr|A0A2K5DVC0|A0A2K5DVC0_AOTNA
OG0002685	sp|P09131|P3_HUMAN, sp|Q5PT55|NTCP5_HUMAN	tr|A0A2K5E0S3|A0A2K5E0S3_AOTNA
OG0002686	sp|O00303|EIF3F_HUMAN	tr|A0A2K5E596|A0A2K5E596_AOTNA, tr|A0A2K5CTW5|A0A2K5CTW5_AOTNA
OG0002687	sp|Q9BXG8|SPZ1_HUMAN, sp|Q5JRA6|TGO1_HUMAN	tr|A0A2K5E8Z1|A0A2K5E8Z1_AOTNA
OG0002688	tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN, sp|Q15269|PWP2_HUMAN	tr|A0A2K5EMZ2|A0A2K5EMZ2_AOTNA
OG0002689	sp|Q6ZVN8|RGMC_HUMAN	tr|A0A2K5D7B3|A0A2K5D7B3_AOTNA, tr|A0A2K5BV77|A0A2K5BV77_AOTNA
OG0002690	sp|Q96KA5|CLP1L_HUMAN	tr|A0A2K5DCE5|A0A2K5DCE5_AOTNA, tr|A0A2K5C293|A0A2K5C293_AOTNA
OG0002691	sp|O76094|SRP72_HUMAN	tr|A0A2K5CAW8|A0A2K5CAW8_AOTNA, tr|A0A2K5EG61|A0A2K5EG61_AOTNA
OG0002692	sp|P54368|OAZ1_HUMAN	tr|A0A2K5CYS9|A0A2K5CYS9_AOTNA, tr|A0A2K5CTC1|A0A2K5CTC1_AOTNA
OG0002693	sp|P56750|CLD17_HUMAN, sp|P56748|CLD8_HUMAN	tr|A0A2K5C5D2|A0A2K5C5D2_AOTNA
OG0002694	sp|O43719|HTSF1_HUMAN	tr|A0A2K5DHI9|A0A2K5DHI9_AOTNA, tr|A0A2K5D2D9|A0A2K5D2D9_AOTNA
OG0002695	sp|Q99757|THIOM_HUMAN	tr|A0A2K5C8T5|A0A2K5C8T5_AOTNA, tr|A0A2K5EAW7|A0A2K5EAW7_AOTNA
OG0002696	sp|P12524|MYCL_HUMAN, sp|P12525|MYCP1_HUMAN	tr|A0A2K5ESL5|A0A2K5ESL5_AOTNA
OG0002697	sp|Q96B45|BORC7_HUMAN	tr|A0A2K5F6K3|A0A2K5F6K3_AOTNA, tr|A0A2K5E5K2|A0A2K5E5K2_AOTNA
OG0002698	sp|Q9NQS5|GPR84_HUMAN	tr|A0A2K5BVQ0|A0A2K5BVQ0_AOTNA, tr|A0A2K5D057|A0A2K5D057_AOTNA
OG0002699	sp|Q9NTX9|F217B_HUMAN, sp|Q8IXS0|F217A_HUMAN	tr|A0A2K5BVX6|A0A2K5BVX6_AOTNA
OG0002700	sp|Q14534|ERG1_HUMAN	tr|A0A2K5E7J3|A0A2K5E7J3_AOTNA, tr|A0A2K5ECR0|A0A2K5ECR0_AOTNA
OG0002701	sp|P01877|IGHA2_HUMAN, sp|P01876|IGHA1_HUMAN	tr|A0A2K5BYP6|A0A2K5BYP6_AOTNA
OG0002702	sp|P15515|HIS1_HUMAN, sp|P15516|HIS3_HUMAN	tr|A0A2K5DNP6|A0A2K5DNP6_AOTNA
OG0002703	sp|P52298|NCBP2_HUMAN, sp|A6PVI3|NCB2L_HUMAN	tr|A0A2K5C1C7|A0A2K5C1C7_AOTNA
OG0002704	sp|D6RIA3|CD054_HUMAN, sp|Q711Q0|CEFIP_HUMAN	tr|A0A2K5C421|A0A2K5C421_AOTNA
OG0002705	sp|Q9BSA4|TTYH2_HUMAN, sp|Q9C0H2|TTYH3_HUMAN	tr|A0A2K5DEB8|A0A2K5DEB8_AOTNA
OG0002706	sp|Q9Y226|S22AD_HUMAN, sp|Q9Y267|S22AE_HUMAN	tr|A0A2K5DTB2|A0A2K5DTB2_AOTNA
OG0002707	sp|O43819|SCO2_HUMAN, sp|O75880|SCO1_HUMAN	tr|A0A2K5ET48|A0A2K5ET48_AOTNA
OG0002708	sp|P78381|S35A2_HUMAN, sp|Q9Y2D2|S35A3_HUMAN	tr|A0A2K5F736|A0A2K5F736_AOTNA
OG0002709	sp|Q9NPC1|LT4R2_HUMAN, sp|Q15722|LT4R1_HUMAN	tr|A0A2K5C0U5|A0A2K5C0U5_AOTNA
OG0002710	sp|P35346|SSR5_HUMAN, sp|P30874|SSR2_HUMAN	tr|A0A2K5C5L2|A0A2K5C5L2_AOTNA
OG0002711	sp|Q99954|SMR3A_HUMAN, sp|P02814|SMR3B_HUMAN	tr|A0A2K5C906|A0A2K5C906_AOTNA
OG0002712	sp|O75534|CSDE1_HUMAN	tr|A0A2K5CXX8|A0A2K5CXX8_AOTNA, tr|A0A2K5DJM8|A0A2K5DJM8_AOTNA
OG0002713	sp|O43759|SNG1_HUMAN, sp|O43761|SNG3_HUMAN	tr|A0A2K5ED11|A0A2K5ED11_AOTNA
OG0002714	sp|P16619|CL3L1_HUMAN, sp|P10147|CCL3_HUMAN	tr|A0A2K5C805|A0A2K5C805_AOTNA
OG0002715	sp|Q9Y5U8|MPC1_HUMAN, sp|P0DKB6|MPC1L_HUMAN	tr|A0A2K5D0U1|A0A2K5D0U1_AOTNA
OG0002716	sp|Q92670|ZN75C_HUMAN, sp|P51815|ZN75D_HUMAN	tr|A0A2K5DG26|A0A2K5DG26_AOTNA
OG0002717	sp|O75874|IDHC_HUMAN	tr|A0A2K5D963|A0A2K5D963_AOTNA, tr|A0A2K5DPC4|A0A2K5DPC4_AOTNA
OG0002718	sp|Q9P0L1|ZKSC7_HUMAN, sp|Q6ZMS4|ZN852_HUMAN	tr|A0A2K5D233|A0A2K5D233_AOTNA
OG0002719	sp|Q7Z4S9|SH2D6_HUMAN, sp|Q8WV28|BLNK_HUMAN	tr|A0A2K5DCR7|A0A2K5DCR7_AOTNA
OG0002720	sp|P32754|HPPD_HUMAN, sp|Q96IR7|HPDL_HUMAN	tr|A0A2K5DN17|A0A2K5DN17_AOTNA
OG0002721	sp|Q9H479|FN3K_HUMAN, sp|Q9HA64|KT3K_HUMAN	tr|A0A2K5DUT3|A0A2K5DUT3_AOTNA
OG0002722	sp|O75365|TP4A3_HUMAN, sp|Q93096|TP4A1_HUMAN	tr|A0A2K5CGZ7|A0A2K5CGZ7_AOTNA
OG0002723	sp|Q13347|EIF3I_HUMAN	tr|A0A2K5CMU1|A0A2K5CMU1_AOTNA, tr|A0A2K5DMW1|A0A2K5DMW1_AOTNA
OG0002724	sp|A6NKF1|SAC31_HUMAN, sp|O60318|GANP_HUMAN	tr|A0A2K5DK12|A0A2K5DK12_AOTNA
OG0002725	sp|Q9BW60|ELOV1_HUMAN, sp|A1L3X0|ELOV7_HUMAN	tr|A0A2K5EY08|A0A2K5EY08_AOTNA
OG0002726	sp|P24046|GBRR1_HUMAN, sp|P28476|GBRR2_HUMAN	tr|A0A2K5DE33|A0A2K5DE33_AOTNA
OG0002727	sp|Q8WZ33|MAFIP_HUMAN, sp|Q8WW24|TEKT4_HUMAN	tr|A0A2K5DME8|A0A2K5DME8_AOTNA
OG0002728	sp|A2RUB1|MEIOC_HUMAN	tr|A0A2K5DFG1|A0A2K5DFG1_AOTNA, tr|A0A2K5EW98|A0A2K5EW98_AOTNA
OG0002729	sp|O15151|MDM4_HUMAN	tr|A0A2K5F0G3|A0A2K5F0G3_AOTNA, tr|A0A2K5D4A1|A0A2K5D4A1_AOTNA
OG0002730	sp|E9PQ53|NDUCR_HUMAN, sp|O95298|NDUC2_HUMAN	tr|A0A2K5E9N1|A0A2K5E9N1_AOTNA
OG0002731	sp|Q3ZLR7|SP201_HUMAN, sp|P0C7V6|SP202_HUMAN	tr|A0A2K5BVL5|A0A2K5BVL5_AOTNA
OG0002732	sp|Q9Y6E0|STK24_HUMAN, sp|Q8TF76|HASP_HUMAN	tr|A0A2K5CRY0|A0A2K5CRY0_AOTNA
OG0002733	sp|Q8WV44|TRI41_HUMAN, sp|Q96A61|TRI52_HUMAN	tr|A0A2K5CYS6|A0A2K5CYS6_AOTNA
OG0002734	sp|P55851|UCP2_HUMAN, sp|P55916|UCP3_HUMAN	tr|A0A2K5D586|A0A2K5D586_AOTNA
OG0002735	sp|Q8TF30|WHAMM_HUMAN, sp|Q1A5X7|WHAL1_HUMAN	tr|A0A2K5DBD9|A0A2K5DBD9_AOTNA
OG0002736	sp|P98179|RBM3_HUMAN	tr|A0A2K5DKV8|A0A2K5DKV8_AOTNA, tr|A0A2K5DMM9|A0A2K5DMM9_AOTNA
OG0002737	sp|Q99679|GPR21_HUMAN, sp|Q9Y2T5|GPR52_HUMAN	tr|A0A2K5BXC1|A0A2K5BXC1_AOTNA
OG0002738	sp|Q8NEY8|PPHLN_HUMAN	tr|A0A2K5EG00|A0A2K5EG00_AOTNA, tr|A0A2K5DT76|A0A2K5DT76_AOTNA
OG0002739	sp|Q96BP3|PPWD1_HUMAN	tr|A0A2K5DUY7|A0A2K5DUY7_AOTNA, tr|A0A2K5F1L7|A0A2K5F1L7_AOTNA
